('SL04652-2022-11-02-5533','S231-13','GFmPaTlETqHCC', 'MB')
('SL22517-2022-11-02-6041','S252-17','gkmpKdK', 'LB')
('SL04652-2022-11-02-6056','S253-8','SMcIiBLXT', 'SU')
('SL04652-2022-11-01-5973','S249-21','OfEbHL', 'MB')
('AC22517-2022-11-02-6100','A339-16','dpOVJJAkq', 'UB')
('SL22517-2022-11-01-5970','S249-18','dFvukw', 'MB')
('SL22517-2022-11-01-5971','S249-19','vsYkFhF', 'UB')
('SL12058-2022-11-01-5917','S247-13','SZDuwb', 'MB')
('SL12058-2022-11-01-5918','S247-14','ZYtrMkmVdGkjxvi', 'UB')
('AC04652-2022-11-01-6342','A353-6','ARbpeIw', 'SU')
('SL12058-2022-11-01-5930','S248-2','FGHAWxxnQT', 'MB')
('SL04652-2022-11-02-6072','S253-24','ajKCrZmsstBAVQbG', 'SU')
('AC22517-2022-11-01-6128','A341-8','PZLFr', 'LB')
('SL22517-2022-11-02-6091','S254-19','dszTQW', 'UB')
('SL12058-2022-11-01-5952','S248-24','EmjYxpSz', 'SU')
('SL22517-2022-11-02-6093','S254-21','Fbdf', 'MB')
('SL22517-2022-11-01-6010','S251-10','fGjUsgK', 'MB')
('SL12058-2022-11-01-5957','S249-5','kCGLqUhbh', 'MB')
('AC22517-2022-11-01-6167','A343-11','CWJm', 'SL')
('AC12058-2022-11-01-6150','A342-12','yZhSi', 'SU')
('SL22517-2022-11-01-6039','S252-15','oRQvZ', 'SL')
('SL04652-2022-11-02-6121','S256-1','ZZYlUKr', 'LB')
('AC04652-2022-11-01-6423','A357-15','dRxTLW', 'UB')
('SL04652-2022-11-01-6042','S252-18','nwF', 'MB')
('AC12058-2022-11-01-6158','A343-2','csSwKQocz', 'LB')
('SL04652-2022-11-02-6124','S256-4','LrTgmk', 'LB')
('AC04652-2022-11-02-6213','A346-3','aiCTRqzGpgYIn', 'UB')
('SL04652-2022-11-02-6129','S256-9','N', 'LB')
('SL04652-2022-11-01-6052','S253-4','vLWYX', 'LB')
('AC22517-2022-11-01-6183','A344-9','uTPBcd', 'UB')
('AC22517-2022-11-02-6194','A345-2','gLPBh', 'LB')
('SL12058-2022-11-01-5993','S250-17','ETvhJdBvZWGzPej', 'LB')
('AC12058-2022-11-01-6173','A343-17','twIMxsoKbaTfXebY', 'SL')
('SL04652-2022-11-01-6059','S253-11','gsGp', 'UB')
('SL04652-2022-11-01-6060','S253-12','NvKqN', 'LB')
('AC04652-2022-11-01-6443','A358-17','OBpRM', 'SL')
('AC04652-2022-11-02-6226','A346-16','CJQpk', 'UB')
('AC22517-2022-11-02-6204','A345-12','EBv', 'SU')
('SL04652-2022-11-02-6151','S257-7','AZbYunH', 'SL')
('SL22517-2022-11-02-6153','S257-9','vJaaSk', 'LB')
('AC04652-2022-11-02-6232','A347-4','iTrD', 'UB')
('AC04652-2022-11-02-6233','A347-5','yKmoHUnctsNlpaZD', 'SL')
('SL22517-2022-11-01-6073','S254-1','tIpJKVLzLv', 'LB')
('SL04652-2022-11-01-6074','S254-2','cA', 'MB')
('SL22517-2022-11-01-6075','S254-3','wJcwzdrtPyS', 'UB')
('SL04652-2022-11-01-6077','S254-5','aPsEtqbqOZm', 'MB')
('AC12058-2022-11-01-6193','A345-1','MFw', 'LB')
('SL04652-2022-11-02-6181','S258-13','AqSBTToIIhnWo', 'MB')
('SL22517-2022-11-01-6121','S256-1','UikrH', 'LB')
('SL04652-2022-11-02-6186','S258-18','IhT', 'MB')
('AC04652-2022-11-02-6336','A352-18','ITHDVCiaMNpK', 'SU')
('AC22517-2022-11-02-6320','A352-2','qZmCrfIhAKp', 'LB')
('AC12058-2022-11-01-6320','A352-2','PTcHSrRfbK', 'LB')
('SL22517-2022-11-02-6279','S262-15','K', 'SL')
('SL22517-2022-11-01-6205','S259-13','uOAlNkeHxgK', 'MB')
('AC12058-2022-11-01-6330','A352-12','hWBotjalXDw', 'SU')
('AC22517-2022-11-02-6335','A352-17','QY', 'SL')
('SL04652-2022-11-02-6318','S264-6','SKtjCEjbXUKcP', 'UB')
('SL04652-2022-11-01-6318','S264-6','AXtD', 'UB')
('SL22517-2022-11-02-6393','S267-9','JAxPV', 'LB')
('SL22517-2022-11-02-6437','S269-5','DlLBqxconZQCW', 'MB')
('AC22517-2022-11-01-6479','A360-17','J', 'SL')
('AC22517-2022-11-02-6488','A361-8','AgW', 'LB')
('SL22517-2022-11-02-6500','S271-20','bgPUqAlFZ', 'LB')
('SL12058-2022-11-01-6348','S265-12','CUNgmgKXOhSnOeY', 'LB')
('AC04652-2022-11-01-6823','A380-1','vn', 'LB')
('SL22517-2022-11-01-6439','S269-7','hZsGtCneYoiXISck', 'SL')
('AC12058-2022-11-01-6545','A364-11','eawoSWi', 'SL')
('SL22517-2022-11-02-6511','S272-7','o', 'SL')
('AC04652-2022-11-02-6557','A365-5','Fca', 'SL')
('SL04652-2022-11-01-6450','S269-18','fkst', 'MB')
('SL12058-2022-11-01-6354','S265-18','muFtkwPKFeGzxMf', 'MB')
('SL04652-2022-11-02-6513','S272-9','mKgDfIyTBRTOc', 'LB')
('SL04652-2022-11-02-6514','S272-10','cnQQI', 'MB')
('SL22517-2022-11-01-6448','S269-16','HcbqtRVoswiFL', 'SU')
('AC04652-2022-11-01-6832','A380-10','BRpW', 'UB')
('AC22517-2022-11-01-6576','A366-6','N', 'SU')
('AC12058-2022-11-01-6565','A365-13','zewSGpZuGUwU', 'LB')
('SL12058-2022-11-01-6370','S266-10','bVVmocwQOaFIfo', 'MB')
('SL22517-2022-11-01-6468','S270-12','uypKkYAxpuZXuxP', 'LB')
('SL22517-2022-11-01-6514','S272-10','zIdZDvyrbqDwPoYv', 'MB')
('SL22517-2022-11-02-6604','S276-4','gYlMMZoANyONgnAn', 'LB')
('AC12058-2022-11-01-6652','A370-10','u', 'UB')
('AC04652-2022-11-02-6664','A371-4','J', 'UB')
('AC22517-2022-11-02-6659','A370-17','Fu', 'SL')
('AC04652-2022-11-02-6667','A371-7','VxLhrcbuAnfk', 'LB')
('AC04652-2022-11-01-6941','A386-11','AHyYi', 'SL')
('AC22517-2022-11-02-6677','A371-17','WCfJgkgYGZH', 'SL')
('SL04652-2022-11-01-6593','S275-17','lMmfuOsRLgBqP', 'LB')
('AC22517-2022-11-01-6697','A373-1','tDBFBoQtcVwMATDn', 'LB')
('AC12058-2022-11-01-6714','A373-18','lEWeNQCveBgdLhGn', 'SU')
('SL04652-2022-11-02-6704','S280-8','wdRovlChyBIblcpX', 'SU')
('AC04652-2022-11-02-6740','A375-8','PjcWNVpkdY', 'LB')
('SL12058-2022-11-01-6543','S273-15','oQJxiSVqjAkb', 'SL')
('AC22517-2022-11-01-6751','A376-1','PFntvuem', 'LB')
('AC04652-2022-11-01-7022','A391-2','KjtyvDxoGRenYZ', 'LB')
('SL22517-2022-11-02-6723','S281-3','rRiiyjtQGZRNv', 'UB')
('AC22517-2022-11-01-6764','A376-14','cebxYymEnzlsz', 'LB')
('SL22517-2022-11-02-6730','S281-10','CrEoyuWnItiC', 'MB')
('SL12058-2022-11-01-6562','S274-10','JvM', 'MB')
('SL22517-2022-11-01-6626','S277-2','vdKHbHZKmsOwmr', 'MB')
('AC04652-2022-11-01-7041','A392-3','OwDabrPCeK', 'UB')
('AC12058-2022-11-01-6790','A378-4','EVhpHqjJlO', 'UB')
('SL04652-2022-11-01-6693','S279-21','infuBSUCuo', 'MB')
('SL04652-2022-11-01-6752','S282-8','LVlLWMqtHjdWapcu', 'SU')
('SL22517-2022-11-02-6813','S284-21','njOkpxgCvg', 'MB')
('SL04652-2022-11-02-6800','S284-8','YZeGM', 'SU')
('AC04652-2022-11-01-7103','A395-11','ZSI', 'SL')
('SL12058-2022-11-01-6640','S277-16','lQ', 'SU')
('AC04652-2022-11-02-6831','A380-9','MfOM', 'UB')
('SL04652-2022-11-01-6766','S282-22','nnrw', 'UB')
('SL22517-2022-11-02-6815','S284-23','WejkTfv', 'SL')
('AC12058-2022-11-01-6865','A382-7','SAQjBJQgKlmysIVY', 'LB')
('AC22517-2022-11-01-6848','A381-8','NtiAmDd', 'LB')
('SL04652-2022-11-02-6803','S284-11','wSPqgpyjJIslBlO', 'UB')
('SL04652-2022-11-02-6804','S284-12','UtkLQvHOH', 'LB')
('AC22517-2022-11-01-6850','A381-10','mPAqsZYfyar', 'UB')
('AC12058-2022-11-01-6885','A383-9','WeWNQptxCrNVv', 'UB')
('SL22517-2022-11-01-6715','S280-19','Gj', 'UB')
('SL04652-2022-11-01-6793','S284-1','jNXKjshC', 'LB')
('SL04652-2022-11-02-6819','S285-3','EHgbRHfBmieRXaVE', 'UB')
('AC04652-2022-11-01-7131','A397-3','hnydxRorccQRm', 'UB')
('AC22517-2022-11-01-6863','A382-5','l', 'SL')
('SL12058-2022-11-01-6673','S279-1','FWuqHRMcmtokgbcK', 'LB')
('AC04652-2022-11-01-7159','A398-13','jjPBzFGuWHYHNhc', 'LB')
('AC12058-2022-11-01-6925','A385-13','CYBiOGc', 'LB')
('SL12058-2022-11-01-6721','S281-1','UDyYayHvyv', 'LB')
('SL12058-2022-11-01-6733','S281-13','ZlKgkB', 'MB')
('SL22517-2022-11-02-6885','S287-21','vpxkSyKIqoc', 'MB')
('AC22517-2022-11-01-6924','A385-12','HNPjYVDmsShAox', 'SU')
('SL22517-2022-11-01-6789','S283-21','GEQw', 'MB')
('AC04652-2022-11-02-6915','A385-3','lqiEgRkHd', 'UB')
('AC04652-2022-11-02-6916','A385-4','WPuZjqAUkwOWHXdf', 'UB')
('SL12058-2022-11-01-6735','S281-15','xE', 'SL')
('SL22517-2022-11-02-6889','S288-1','Fs', 'LB')
('AC22517-2022-11-01-6935','A386-5','JNpkvgYIz', 'SL')
('SL04652-2022-11-02-6902','S288-14','Bw', 'UB')
('SL12058-2022-11-01-6783','S283-15','OgEo', 'SL')
('SL12058-2022-11-01-6812','S284-20','x', 'LB')
('AC04652-2022-11-02-7032','A391-12','AMc', 'SU')
('AC12058-2022-11-01-7061','A393-5','aVSDCtOwxjsFe', 'SL')
('SL04652-2022-11-01-7016','S293-8','bPngziZGPyYdozxG', 'SU')
('AC04652-2022-11-01-7357','A409-13','SRHs', 'LB')
('SL04652-2022-11-02-7050','S294-18','HXRs', 'MB')
('SL22517-2022-11-01-6935','S289-23','PnvJCxRpS', 'SL')
('AC22517-2022-11-02-7096','A395-4','TLNkYJuGqql', 'UB')
('AC04652-2022-11-01-7359','A409-15','yPihEbjsve', 'UB')
('AC22517-2022-11-02-7098','A395-6','mHStnjF', 'SU')
('AC22517-2022-11-02-7102','A395-10','iYYDqHp', 'UB')
('SL04652-2022-11-01-7022','S293-14','VYgsuOiMEvPTsGt', 'UB')
('AC12058-2022-11-01-7101','A395-9','UZG', 'UB')
('AC22517-2022-11-02-7105','A395-13','PUrXokdIQrHdw', 'LB')
('AC22517-2022-11-01-7089','A394-15','HenbxycLrhVY', 'UB')
('AC04652-2022-11-02-7093','A395-1','CdbDiBi', 'LB')
('AC22517-2022-11-02-7115','A396-5','KRkdpAwWwd', 'SL')
('SL12058-2022-11-01-6895','S288-7','goyLvazn', 'SL')
('AC12058-2022-11-01-7113','A396-3','cpqYbphuxS', 'UB')
('SL04652-2022-11-02-7070','S295-14','GDRaBWrSOao', 'UB')
('SL22517-2022-11-01-6967','S291-7','RKbStgkjEdMhRcg', 'SL')
('SL12058-2022-11-01-6904','S288-16','SNmMlEQofzW', 'SU')
('AC04652-2022-11-02-7106','A395-14','LirtMskNEXqPkEMi', 'LB')
('SL04652-2022-11-02-7076','S295-20','XeuiKMjYAP', 'LB')
('AC04652-2022-11-01-7383','A411-3','KBDbVRUPzh', 'UB')
('SL12058-2022-11-01-6911','S288-23','YaAdo', 'SL')
('SL04652-2022-11-02-7079','S295-23','aT', 'SL')
('SL04652-2022-11-02-7080','S295-24','NJTgGWZPKc', 'SU')
('SL12058-2022-11-01-6914','S289-2','OCAfuzbUDBCIXNvt', 'MB')
('SL22517-2022-11-02-7056','S294-24','c', 'SU')
('AC12058-2022-11-01-7123','A396-13','BvYIbwqkphSvW', 'LB')
('SL12058-2022-11-01-6919','S289-7','LCldLEnLkZoN', 'SL')
('AC22517-2022-11-01-7115','A396-5','U', 'SL')
('SL22517-2022-11-01-6979','S291-19','CLt', 'UB')
('SL12058-2022-11-01-6928','S289-16','NRRKTyVzYPQ', 'SU')
('SL12058-2022-11-01-6929','S289-17','rMXUelPPWWQ', 'LB')
('SL04652-2022-11-02-7091','S296-11','F', 'UB')
('SL12058-2022-11-01-6931','S289-19','qwOmjcXfNM', 'UB')
('SL12058-2022-11-01-6932','S289-20','iXb', 'LB')
('SL04652-2022-11-01-7055','S294-23','sOKOqZGuhZnqml', 'SL')
('AC22517-2022-11-02-7146','A397-18','PRlJah', 'SU')
('SL22517-2022-11-02-7072','S295-16','BuDMkFANkKo', 'SU')
('AC12058-2022-11-01-7137','A397-9','vyafHCZnyDP', 'UB')
('AC04652-2022-11-02-7121','A396-11','H', 'SL')
('SL12058-2022-11-01-6980','S291-20','kThHJUNd', 'LB')
('SL04652-2022-11-01-7101','S296-21','GKaKYrtxAh', 'MB')
('SL04652-2022-11-01-7108','S297-4','LyfQmdwGTfGv', 'LB')
('SL22517-2022-11-01-7040','S294-8','RbHmFKcUXdDaB', 'SU')
('SL04652-2022-11-02-7141','S298-13','tsdTMGb', 'MB')
('SL22517-2022-11-02-7132','S298-4','FBsy', 'LB')
('SL12058-2022-11-01-6999','S292-15','G', 'SL')
('AC22517-2022-11-02-7220','A402-2','QiB', 'LB')
('SL22517-2022-11-02-7138','S298-10','AuoniQLFGKbZHYt', 'MB')
('SL04652-2022-11-01-7123','S297-19','donhZwDUnICM', 'UB')
('SL22517-2022-11-02-7141','S298-13','pNdwinwIX', 'MB')
('SL04652-2022-11-02-7149','S298-21','yFomPKXCITOlzlc', 'MB')
('AC04652-2022-11-01-7473','A416-3','pvuDUeLsDje', 'UB')
('AC22517-2022-11-01-7203','A401-3','HbZbphFQ', 'UB')
('SL22517-2022-11-02-7142','S298-14','yiTNOqCqcD', 'UB')
('SL22517-2022-11-01-7061','S295-5','rrgSNzLOvvNpZ', 'MB')
('SL22517-2022-11-01-7062','S295-6','BOOXOx', 'UB')
('AC04652-2022-11-01-7483','A416-13','BVWfrYMTequra', 'LB')
('SL12058-2022-11-01-7020','S293-12','eLgzBBEYrmeAcXH', 'LB')
('SL22517-2022-11-01-7072','S295-16','Hv', 'SU')
('SL12058-2022-11-01-7033','S294-1','lcROOcokTzlvckOQ', 'LB')
('AC12058-2022-11-01-7227','A402-9','rSQ', 'UB')
('SL22517-2022-11-01-7087','S296-7','vrUQIlOzjsqULXXG', 'SL')
('SL12058-2022-11-01-7040','S294-8','kZCvSq', 'SU')
('AC22517-2022-11-02-7259','A404-5','znHiJoevt', 'SL')
('SL04652-2022-11-01-7162','S299-10','ZmowSmm', 'MB')
('SL04652-2022-11-02-7189','S300-13','dyXdFsYGsPd', 'MB')
('AC22517-2022-11-02-7372','A410-10','vEOGVYDDNOzVRvS', 'UB')
('SL22517-2022-11-02-7285','S304-13','RUbflFFeya', 'MB')
('AC22517-2022-11-01-7348','A409-4','ZRfJaQ', 'UB')
('SL04652-2022-11-02-7289','S304-17','btXPUDvHuQwC', 'LB')
('SL04652-2022-11-01-7268','S303-20','LGguNEfIZiya', 'LB')
('SL04652-2022-11-02-7292','S304-20','DqmRUleajRWVwlF', 'LB')
('AC04652-2022-11-02-7324','A407-16','NfMVrGPBwWQi', 'UB')
('AC12058-2022-11-01-7348','A409-4','WOQJNBcgHzElIKZ', 'UB')
('SL04652-2022-11-02-7294','S304-22','JLY', 'UB')
('AC12058-2022-11-01-7349','A409-5','j', 'SL')
('SL04652-2022-11-02-7296','S304-24','FtHPmchRFlwwgJdF', 'SU')
('AC12058-2022-11-01-7353','A409-9','zzLQhLssoWAoxElG', 'UB')
('AC12058-2022-11-01-7354','A409-10','BETKzag', 'UB')
('SL04652-2022-11-01-7292','S304-20','fCwcHssIn', 'LB')
('SL22517-2022-11-01-7218','S301-18','bNQdEwxAsZkesuTj', 'MB')
('AC04652-2022-11-02-7379','A410-17','UVFpFIB', 'SL')
('SL04652-2022-11-01-7345','S307-1','NSzIO', 'LB')
('SL22517-2022-11-02-7368','S307-24','WS', 'SU')
('AC22517-2022-11-01-7413','A412-15','TB', 'UB')
('SL04652-2022-11-02-7354','S307-10','WNFtHpeECpqw', 'MB')
('AC12058-2022-11-01-7416','A412-18','ziunsmIveu', 'SU')
('AC22517-2022-11-02-7489','A417-1','rJVtfyccbFtf', 'LB')
('SL04652-2022-11-02-7373','S308-5','QOgno', 'MB')
('AC04652-2022-11-01-7708','A429-4','SAMKFpV', 'UB')
('AC04652-2022-11-01-7709','A429-5','VO', 'SL')
('SL22517-2022-11-01-7302','S305-6','minMwvUwgcWzVb', 'UB')
('SL04652-2022-11-02-7388','S308-20','LFtnSmjDlDuyRQt', 'LB')
('AC04652-2022-11-01-7714','A429-10','DmAZdLM', 'UB')
('SL04652-2022-11-02-7392','S308-24','VAGoNmLYQueX', 'SU')
('SL04652-2022-11-02-7395','S309-3','YCE', 'UB')
('SL22517-2022-11-01-7311','S305-15','vjJm', 'SL')
('AC22517-2022-11-01-7451','A414-17','owfgAONR', 'SL')
('AC22517-2022-11-02-7525','A419-1','znFOHjCFt', 'LB')
('AC04652-2022-11-02-7457','A415-5','kcdVvmnTHtvI', 'SL')
('AC12058-2022-11-01-7459','A415-7','Q', 'LB')
('AC04652-2022-11-01-7725','A430-3','tvHxXPpTkksnoAXT', 'UB')
('AC12058-2022-11-01-7465','A415-13','wYqkcbhpHIBkPM', 'LB')
('SL04652-2022-11-01-7402','S309-10','ivFGmDQUYJTZ', 'MB')
('SL04652-2022-11-02-7415','S309-23','xp', 'SL')
('SL22517-2022-11-01-7324','S306-4','tCXhgJRcAFLeQ', 'LB')
('AC04652-2022-11-01-7731','A430-9','agAjMqpJvSOW', 'UB')
('SL04652-2022-11-02-7431','S310-15','AWuE', 'SL')
('SL04652-2022-11-01-7421','S310-5','HhCzSGk', 'MB')
('AC12058-2022-11-01-7496','A417-8','UenSaGkvDJmvA', 'LB')
('AC04652-2022-11-01-7762','A432-4','TSnKvFuQfs', 'UB')
('AC04652-2022-11-01-7763','A432-5','rtzpok', 'SL')
('SL12058-2022-11-01-7297','S305-1','sbtBFPbMCUJku', 'LB')
('AC22517-2022-11-02-7572','A421-12','AXoiucvWhD', 'SU')
('AC12058-2022-11-01-7505','A417-17','ytqpKiXt', 'SL')
('SL04652-2022-11-01-7443','S311-3','Wdr', 'UB')
('AC12058-2022-11-01-7507','A418-1','olbwSFlUcDpZGy', 'LB')
('SL22517-2022-11-01-7360','S307-16','PnfajbBHnVkI', 'SU')
('SL04652-2022-11-02-7453','S311-13','BSurvxLNrin', 'MB')
('AC22517-2022-11-01-7506','A417-18','CUmABJeVw', 'SU')
('SL22517-2022-11-01-7362','S307-18','lypf', 'MB')
('AC04652-2022-11-02-7511','A418-5','xFbrjeYs', 'SL')
('SL04652-2022-11-02-7462','S311-22','WJUxyOoHV', 'UB')
('SL04652-2022-11-02-7471','S312-7','VlzYzkK', 'SL')
('AC12058-2022-11-01-7557','A420-15','fHJhxiL', 'UB')
('AC04652-2022-11-02-7556','A420-14','mR', 'LB')
('SL22517-2022-11-02-7523','S314-11','e', 'UB')
('SL04652-2022-11-01-7486','S312-22','hLNLXrRP', 'UB')
('SL04652-2022-11-02-7523','S314-11','UyokGhALkrOOLVFK', 'UB')
('AC04652-2022-11-02-7578','A421-18','foXDdDK', 'SU')
('SL22517-2022-11-01-7445','S311-5','cOZUBh', 'MB')
('SL04652-2022-11-01-7526','S314-14','MDrUDO', 'UB')
('AC04652-2022-11-01-7865','A437-17','sWgtMQdp', 'SL')
('SL04652-2022-11-02-7562','S316-2','vlyqiNWVEBkCifMh', 'MB')
('SL22517-2022-11-01-7490','S313-2','fQjwSJzeiLsYTvgC', 'MB')
('SL22517-2022-11-02-7596','S317-12','zEdIKIs', 'LB')
('SL04652-2022-11-01-7568','S316-8','HcBpnduVZUzcEoW', 'SU')
('AC04652-2022-11-02-7654','A426-4','QZAXAWmfWiptc', 'UB')
('SL12058-2022-11-01-7435','S310-19','UxgIygkOefkyeEQf', 'UB')
('AC22517-2022-11-01-7643','A425-11','XRwMCXc', 'SL')
('AC22517-2022-11-01-7646','A425-14','IregpLORc', 'LB')
('AC04652-2022-11-02-7660','A426-10','xZzZ', 'UB')
('AC22517-2022-11-01-7659','A426-9','GhBCRXPjJBERP', 'UB')
('SL12058-2022-11-01-7453','S311-13','iXfqwHx', 'MB')
('SL22517-2022-11-02-7618','S318-10','OYSBSvKBhNQPPfJU', 'MB')
('SL22517-2022-11-01-7516','S314-4','JXASGFXZ', 'LB')
('AC22517-2022-11-01-7692','A428-6','vAIorL', 'SU')
