('SL04652-2022-11-01-197','S9-5','wNhJQmB', 'MB')
('SL04652-2022-11-02-238','S10-22','UGldbRtaMJbW', 'UB')
('SL22517-2022-11-02-215','S9-23','Y', 'SL')
('SL04652-2022-11-01-249','S11-9','HydrpXoKTvCHIamM', 'LB')
('SL04652-2022-11-01-253','S11-13','VY', 'MB')
('AC22517-2022-11-01-237','A14-3','bwjEvlUL', 'UB')
('AC12058-2022-11-01-248','A14-14','zRNcrmymEDxett', 'LB')
('AC04652-2022-11-02-250','A14-16','QqZsZl', 'UB')
('AC04652-2022-11-02-254','A15-2','wzRUbk', 'LB')
('SL04652-2022-11-01-262','S11-22','MQd', 'UB')
('AC22517-2022-11-02-241','A14-7','hnCHsjjk', 'LB')
('SL22517-2022-11-01-254','S11-14','vhzkhciFOjl', 'UB')
('AC04652-2022-11-02-258','A15-6','WCVbqNdRVEKrfMhj', 'SU')
('AC12058-2022-11-01-252','A14-18','KCjYmTNQ', 'SU')
('SL04652-2022-11-02-255','S11-15','siZWYqvIkrlU', 'SL')
('AC04652-2022-11-02-261','A15-9','GGCCuBXLjKqe', 'UB')
('AC12058-2022-11-01-257','A15-5','y', 'SL')
('AC04652-2022-11-02-270','A15-18','eQuZbMXuV', 'SU')
('AC04652-2022-11-01-274','A16-4','WNHfAiPlGoYMUwG', 'UB')
('SL12058-2022-11-01-253','S11-13','hOGfadJmcQIoNLD', 'MB')
('AC04652-2022-11-02-274','A16-4','IJb', 'UB')
('AC22517-2022-11-01-255','A15-3','nopsnLy', 'UB')
('SL12058-2022-11-01-255','S11-15','Qb', 'SL')
('SL04652-2022-11-02-261','S11-21','xHgRcJXXQemOSfJ', 'MB')
('SL22517-2022-11-01-270','S12-6','RBluW', 'UB')
('SL22517-2022-11-02-242','S11-2','CR', 'MB')
('SL22517-2022-11-02-243','S11-3','nWdxpYwe', 'UB')
('AC04652-2022-11-02-276','A16-6','WG', 'SU')
('SL04652-2022-11-02-263','S11-23','SIZvHpynKNwAtTqC', 'SL')
('AC04652-2022-11-01-278','A16-8','EtTPjLZkf', 'LB')
('AC22517-2022-11-02-252','A14-18','kxS', 'SU')
('SL22517-2022-11-02-250','S11-10','DypvPUgTTDqyQsBr', 'MB')
('AC04652-2022-11-02-289','A17-1','yOfVxq', 'LB')
('SL12058-2022-11-01-262','S11-22','dKibZ', 'UB')
('SL04652-2022-11-01-289','S13-1','XdYAPPqAXK', 'LB')
('SL22517-2022-11-02-259','S11-19','nEt', 'UB')
('AC12058-2022-11-01-276','A16-6','EfoaH', 'SU')
('SL04652-2022-11-02-278','S12-14','mMVpieLzKqODPAt', 'UB')
('AC04652-2022-11-01-293','A17-5','Cks', 'SL')
('SL12058-2022-11-01-267','S12-3','GgH', 'UB')
('SL04652-2022-11-01-293','S13-5','eSzbOlKSyIIaJiA', 'MB')
('AC22517-2022-11-01-278','A16-8','BVsiRENPmjuXOIKw', 'LB')
('SL22517-2022-11-02-265','S12-1','kruDJxaY', 'LB')
('SL12058-2022-11-01-268','S12-4','yLSeHWF', 'LB')
('SL12058-2022-11-01-269','S12-5','FgEVKLMKss', 'MB')
('SL22517-2022-11-01-289','S13-1','WBsMrZp', 'LB')
('AC12058-2022-11-01-280','A16-10','wYKUJ', 'UB')
('AC04652-2022-11-02-296','A17-8','iNUAtoZnXilEuyM', 'LB')
('AC12058-2022-11-01-355','A20-13','UMZPHsNHNhxhA', 'LB')
('SL22517-2022-11-02-329','S14-17','VosMFMzsJijZr', 'LB')
('SL22517-2022-11-01-367','S16-7','wPjgNKFdslOrPPM', 'SL')
('SL22517-2022-11-02-331','S14-19','NsbbgyAY', 'UB')
('SL22517-2022-11-01-369','S16-9','abyJYbswH', 'LB')
('AC04652-2022-11-01-374','A21-14','cuwK', 'LB')
('AC12058-2022-11-01-358','A20-16','HddMqfDQLMZ', 'UB')
('AC04652-2022-11-02-370','A21-10','uEZxX', 'UB')
('SL04652-2022-11-02-355','S15-19','rXcBbFinELDGOEK', 'UB')
('AC22517-2022-11-02-353','A20-11','Wc', 'SL')
('SL04652-2022-11-01-372','S16-12','FAUiOixActQZ', 'LB')
('SL22517-2022-11-01-373','S16-13','OCL', 'MB')
('AC12058-2022-11-01-361','A21-1','UCDAqhJs', 'LB')
('SL22517-2022-11-02-338','S15-2','uqJDi', 'MB')
('SL04652-2022-11-01-374','S16-14','CAeO', 'UB')
('SL04652-2022-11-01-375','S16-15','ln', 'SL')
('SL04652-2022-11-01-376','S16-16','VX', 'SU')
('SL22517-2022-11-02-341','S15-5','XRaRUhdPQQjlKWfJ', 'MB')
('SL04652-2022-11-01-377','S16-17','iKJIApdFvvVRzGQ', 'LB')
('SL04652-2022-11-02-367','S16-7','oPIJa', 'SL')
('AC04652-2022-11-02-380','A22-2','uUWVkeOWjLlN', 'LB')
('SL04652-2022-11-02-371','S16-11','aPIoaOSVidd', 'UB')
('SL04652-2022-11-02-372','S16-12','LVK', 'LB')
('AC22517-2022-11-01-356','A20-14','QEWHAiHtjrywDi', 'LB')
('SL22517-2022-11-02-349','S15-13','dhUHrtEr', 'MB')
('SL04652-2022-11-01-387','S17-3','xHNPSPErMshT', 'UB')
('AC22517-2022-11-02-371','A21-11','nrXuvlWnE', 'SL')
('AC22517-2022-11-02-374','A21-14','Xa', 'LB')
('AC22517-2022-11-01-363','A21-3','GYfqeCCW', 'UB')
('AC04652-2022-11-01-399','A23-3','EGgccMkcybrxG', 'UB')
('SL12058-2022-11-01-375','S16-15','YtlwQMfIYIk', 'SL')
('AC22517-2022-11-01-444','A25-12','lGIVLCAuGQBOc', 'SU')
('SL04652-2022-11-02-459','S20-3','PnrDEMbAIA', 'UB')
('AC04652-2022-11-02-478','A27-10','EEkZxVxBtHHgYI', 'UB')
('AC04652-2022-11-01-614','A35-2','Dg', 'LB')
('AC22517-2022-11-02-610','A34-16','bTeJ', 'UB')
('AC22517-2022-11-02-611','A34-17','BpLNS', 'SL')
('SL12058-2022-11-01-580','S25-4','KLAYKmuHXPsrh', 'LB')
('SL04652-2022-11-01-598','S25-22','Mm', 'UB')
('SL04652-2022-11-02-592','S25-16','FcgezZmKylNKHT', 'SU')
('AC04652-2022-11-02-628','A35-16','WGPUwdhftlMKn', 'UB')
('SL12058-2022-11-01-582','S25-6','xHxyyHuuqPw', 'UB')
('AC04652-2022-11-02-629','A35-17','GoXXGirmvqDj', 'SL')
('AC12058-2022-11-01-569','A32-11','KgY', 'SL')
('SL04652-2022-11-02-595','S25-19','FQrVzFFVBmTr', 'UB')
('AC04652-2022-11-01-625','A35-13','KVKXRxrcHFb', 'LB')
('AC12058-2022-11-01-571','A32-13','ufGpWhQHHJtJRIcL', 'LB')
('SL22517-2022-11-02-592','S25-16','fZtDxxzx', 'SU')
('AC22517-2022-11-02-615','A35-3','KxwJWxumBiKWBjIC', 'UB')
('SL22517-2022-11-01-596','S25-20','adGVTnLmSYkuh', 'LB')
('AC22517-2022-11-02-617','A35-5','OX', 'SL')
('SL04652-2022-11-02-599','S25-23','xSagFHoTHUOSBa', 'SL')
('AC22517-2022-11-02-619','A35-7','FdPtctjNvOwmL', 'LB')
('SL12058-2022-11-01-588','S25-12','cIjdfODhYJp', 'LB')
('AC22517-2022-11-01-586','A33-10','wbqHjSBWgyxAXqY', 'UB')
('SL04652-2022-11-01-608','S26-8','GG', 'SU')
('SL22517-2022-11-02-595','S25-19','stDtteeIQISuEt', 'UB')
('SL12058-2022-11-01-590','S25-14','AqbYhafYjb', 'UB')
('SL22517-2022-11-01-598','S25-22','vVI', 'UB')
('AC22517-2022-11-02-624','A35-12','hLc', 'SU')
('AC22517-2022-11-01-589','A33-13','BprweeDBbCDjBS', 'LB')
('SL22517-2022-11-02-596','S25-20','SiHlYjnjpW', 'LB')
('AC04652-2022-11-01-681','A38-15','mKL', 'UB')
('SL22517-2022-11-02-637','S27-13','qvByuftefhvqSN', 'MB')
('AC04652-2022-11-02-696','A39-12','gqSQVdPdOFmC', 'SU')
('SL04652-2022-11-02-647','S27-23','rIqVsOB', 'SL')
('AC12058-2022-11-01-633','A36-3','IUMy', 'UB')
('AC22517-2022-11-01-643','A36-13','cGpQxTY', 'LB')
('AC12058-2022-11-01-634','A36-4','odwFBWoW', 'UB')
('AC22517-2022-11-02-667','A38-1','kPLJdoKswLbCZ', 'LB')
('SL04652-2022-11-02-649','S28-1','oSlIRkjVTGzaxuKB', 'LB')
('SL22517-2022-11-01-651','S28-3','ZVb', 'UB')
('AC22517-2022-11-01-646','A36-16','qwWWbsVlfdW', 'UB')
('AC04652-2022-11-01-684','A38-18','vUW', 'SU')
('AC22517-2022-11-02-672','A38-6','Bx', 'SU')
('SL04652-2022-11-01-669','S28-21','cAsEVyUR', 'MB')
('AC12058-2022-11-01-637','A36-7','Fgbg', 'LB')
('SL22517-2022-11-01-653','S28-5','mmNpNlN', 'MB')
('AC12058-2022-11-01-638','A36-8','zZAK', 'LB')
('SL04652-2022-11-02-656','S28-8','rYMJOhRC', 'SU')
('SL22517-2022-11-01-654','S28-6','AsoeyUBkDZdqcC', 'UB')
('AC12058-2022-11-01-639','A36-9','HQeBXWPwJZxzbl', 'UB')
('AC12058-2022-11-01-640','A36-10','iELDcdtxdoHhzwsX', 'UB')
('SL12058-2022-11-01-653','S28-5','kuSVlUduzMHXExfB', 'MB')
('AC04652-2022-11-01-689','A39-5','ZrxvSYckan', 'SL')
('SL22517-2022-11-01-656','S28-8','fUCMrGgBYP', 'SU')
('AC22517-2022-11-02-682','A38-16','DzeFh', 'UB')
('SL12058-2022-11-01-659','S28-11','f', 'UB')
('SL12058-2022-11-01-660','S28-12','sQAwuJHs', 'LB')
('SL12058-2022-11-01-662','S28-14','oehO', 'UB')
('AC04652-2022-11-02-721','A41-1','ZDmMNiEVA', 'LB')
('SL04652-2022-11-01-678','S29-6','tuDtQr', 'UB')
('AC04652-2022-11-01-697','A39-13','qih', 'LB')
('SL22517-2022-11-02-653','S28-5','y', 'MB')
('AC04652-2022-11-02-723','A41-3','QaNhFuqgYRDSik', 'UB')
('AC04652-2022-11-01-699','A39-15','fPGfwq', 'UB')
('SL22517-2022-11-01-670','S28-22','wZJdkOTZdInEvHo', 'UB')
('AC04652-2022-11-01-700','A39-16','D', 'UB')
('AC12058-2022-11-01-652','A37-4','psEhLbXsIqO', 'UB')
('SL22517-2022-11-02-660','S28-12','glJdHF', 'LB')
('SL04652-2022-11-02-673','S29-1','rUfILRNEfZtVrqTV', 'LB')
('SL12058-2022-11-01-667','S28-19','NtdeFfUPjhxsCZ', 'UB')
('AC04652-2022-11-01-702','A39-18','SceIpibSaxH', 'SU')
('SL04652-2022-11-02-674','S29-2','GwnvQzkaYdXKADy', 'MB')
('SL04652-2022-11-02-675','S29-3','DTh', 'UB')
('SL12058-2022-11-01-670','S28-22','mIDIbfPDgOwA', 'UB')
('AC04652-2022-11-02-731','A41-11','thECdDGAOrsVXg', 'SL')
('SL22517-2022-11-01-676','S29-4','AAxDYkp', 'LB')
('SL22517-2022-11-02-763','S32-19','Oup', 'UB')
('SL22517-2022-11-01-772','S33-4','kFDpgE', 'LB')
('SL04652-2022-11-02-764','S32-20','KPEAt', 'LB')
('SL12058-2022-11-01-771','S33-3','ZaoByRpBiuiZra', 'UB')
('SL04652-2022-11-01-779','S33-11','OzEIfFUyQPfBH', 'UB')
('AC22517-2022-11-01-745','A42-7','yBjcqcjevP', 'LB')
('SL04652-2022-11-02-768','S32-24','fTk', 'SU')
('AC12058-2022-11-01-780','A44-6','nQkjO', 'SU')
('AC22517-2022-11-02-818','A46-8','JfilgVTQopNicDE', 'LB')
('AC22517-2022-11-01-804','A45-12','vMvelslfXfNGbA', 'SU')
('AC04652-2022-11-02-865','A49-1','hJq', 'LB')
('SL04652-2022-11-02-817','S35-1','ismwh', 'LB')
('AC04652-2022-11-01-822','A46-12','UVov', 'SU')
('AC22517-2022-11-01-813','A46-3','ICgVkltPwGlEjI', 'UB')
('AC04652-2022-11-02-875','A49-11','BAoGjcpliGPTs', 'SL')
('AC12058-2022-11-01-796','A45-4','HpCIbFuB', 'UB')
('SL22517-2022-11-01-831','S35-15','HJfEQoAbGfvWqdnH', 'SL')
('AC22517-2022-11-02-835','A47-7','MFxPDXVVA', 'LB')
('AC04652-2022-11-01-837','A47-9','HTwliJ', 'UB')
('AC04652-2022-11-01-838','A47-10','ifDEmfIRtBmRYQQo', 'UB')
('SL12058-2022-11-01-839','S35-23','bXc', 'SL')
('AC12058-2022-11-01-811','A46-1','fBHRSWzDLFNOAm', 'LB')
('AC04652-2022-11-01-845','A47-17','HFWTzRiI', 'SL')
('AC04652-2022-11-02-898','A50-16','hmue', 'UB')
('SL22517-2022-11-01-847','S36-7','QeMefnlAsIzizWj', 'SL')
('SL12058-2022-11-01-843','S36-3','wZwCXdLIGrqvIny', 'UB')
('SL22517-2022-11-02-849','S36-9','PUhmGJHarReLfI', 'LB')
('AC04652-2022-11-02-903','A51-3','si', 'UB')
('AC04652-2022-11-01-849','A48-3','gQQcalwGGfFwYu', 'UB')
('AC04652-2022-11-01-850','A48-4','uZHZg', 'UB')
('SL04652-2022-11-02-843','S36-3','JlTmpPYVSwHX', 'UB')
('AC04652-2022-11-01-906','A51-6','AIjhdBVyRpm', 'SU')
('SL04652-2022-11-02-893','S38-5','SnxwKNNMXDiC', 'MB')
('SL22517-2022-11-02-910','S38-22','uHGOMh', 'UB')
('SL22517-2022-11-01-920','S39-8','AEJyJOBnqtPa', 'SU')
('SL04652-2022-11-02-897','S38-9','AfWrKIVKuztHZTM', 'LB')
('SL12058-2022-11-01-884','S37-20','jXMFrE', 'LB')
('AC12058-2022-11-01-866','A49-2','j', 'LB')
('SL22517-2022-11-02-912','S38-24','WpskBAMXElqf', 'SU')
('AC22517-2022-11-02-920','A52-2','rytXg', 'LB')
('AC22517-2022-11-02-923','A52-5','fclHYRwXYbqVG', 'SL')
('AC22517-2022-11-01-900','A50-18','fk', 'SU')
('AC22517-2022-11-02-926','A52-8','SiGsPgJeoP', 'LB')
('SL04652-2022-11-01-908','S38-20','h', 'LB')
('AC22517-2022-11-01-902','A51-2','YYNYj', 'LB')
('AC12058-2022-11-01-879','A49-15','AKleOfb', 'UB')
('SL22517-2022-11-02-917','S39-5','eKTYKXnreDRFx', 'MB')
('SL22517-2022-11-02-918','S39-6','Mra', 'UB')
('SL04652-2022-11-01-913','S39-1','btFlPpCFHBkhEh', 'LB')
('SL22517-2022-11-02-925','S39-13','LHcrMxwVbLjK', 'MB')
('SL12058-2022-11-01-897','S38-9','wZDxcmqME', 'LB')
('AC04652-2022-11-02-959','A54-5','ZqgZdE', 'SL')
('AC22517-2022-11-02-931','A52-13','wjGGDqwFDEsuWrnP', 'LB')
('AC22517-2022-11-02-933','A52-15','JXcwXxjZzy', 'UB')
('AC04652-2022-11-01-931','A52-13','iXugxemaVWqaOs', 'LB')
('AC04652-2022-11-02-960','A54-6','KR', 'SU')
('SL04652-2022-11-01-921','S39-9','LMiLSsRO', 'LB')
('SL22517-2022-11-02-928','S39-16','CSNRtTWX', 'SU')
('SL04652-2022-11-01-923','S39-11','emiSIZdprIYcD', 'UB')
('AC22517-2022-11-01-916','A51-16','sRmhU', 'UB')
('SL04652-2022-11-02-920','S39-8','mfmCQ', 'SU')
('AC22517-2022-11-02-941','A53-5','NdLDCgpQ', 'SL')
('SL04652-2022-11-01-927','S39-15','XDaldBxQNlbb', 'SL')
('AC12058-2022-11-01-951','A53-15','clacNguiPwQD', 'UB')
('AC22517-2022-11-02-1006','A56-16','RbrVQFjpqAzjIpJ', 'UB')
('SL04652-2022-11-01-994','S42-10','Jrte', 'MB')
('SL04652-2022-11-02-982','S41-22','pgG', 'UB')
('SL04652-2022-11-02-983','S41-23','VCiapQRQQYbl', 'SL')
('SL22517-2022-11-02-1002','S42-18','PuHKJYcxSsSRPUOX', 'MB')
('SL12058-2022-11-01-979','S41-19','FbVxENkSNIVMGd', 'UB')
('AC22517-2022-11-01-969','A54-15','QbccFyaxyK', 'UB')
('AC12058-2022-11-01-962','A54-8','s', 'LB')
('AC22517-2022-11-02-1016','A57-8','dxqfLNsymaQboAFB', 'LB')
('SL12058-2022-11-01-983','S41-23','cjqWs', 'SL')
('AC22517-2022-11-02-1022','A57-14','ikjjNEUeFziyo', 'LB')
('SL12058-2022-11-01-986','S42-2','ufzkDRyS', 'MB')
('AC04652-2022-11-02-1031','A58-5','CEusoj', 'SL')
('AC04652-2022-11-02-1032','A58-6','hzgFtNYllqnJtmBp', 'SU')
('SL22517-2022-11-01-1020','S43-12','FdXjTfDomioIiQ', 'LB')
('SL04652-2022-11-01-1011','S43-3','wovcNR', 'UB')
('AC04652-2022-11-02-1034','A58-8','lxRrOjYZ', 'LB')
('SL22517-2022-11-01-1025','S43-17','viEIRzfyzFwp', 'LB')
('AC04652-2022-11-01-1011','A57-3','zuiCKKJpVzdICwoF', 'UB')
('SL04652-2022-11-01-1020','S43-12','EmuQiXcIWqWlRws', 'LB')
('SL04652-2022-11-02-1001','S42-17','HNwuhjsA', 'LB')
('SL04652-2022-11-01-1022','S43-14','ZCCRaxCR', 'UB')
('AC22517-2022-11-02-1031','A58-5','TDUSZimJMGiubYG', 'SL')
('SL12058-2022-11-01-1000','S42-16','qpLr', 'SU')
('AC04652-2022-11-01-1016','A57-8','lcCGEnfgWf', 'LB')
('AC04652-2022-11-02-1048','A59-4','nFMhnTe', 'UB')
('SL22517-2022-11-02-1018','S43-10','CvcYoSgmA', 'MB')
('AC04652-2022-11-01-1018','A57-10','rRSXzrRIscmAAZN', 'UB')
('SL12058-2022-11-01-1001','S42-17','ZrsqolC', 'LB')
('AC04652-2022-11-01-1021','A57-13','VRLpSgs', 'LB')
('SL12058-2022-11-01-1002','S42-18','sULEqkPNfszXlw', 'MB')
('AC04652-2022-11-01-1023','A57-15','WMeaxjjd', 'UB')
('SL12058-2022-11-01-1003','S42-19','wjuBLnhhCdQ', 'UB')
('SL04652-2022-11-02-1008','S42-24','pSGAsDpHIPNIQRc', 'SU')
('SL22517-2022-11-02-1021','S43-13','sIuPhAb', 'MB')
('AC04652-2022-11-02-1056','A59-12','FSJFUhCYKn', 'SU')
('AC22517-2022-11-02-1036','A58-10','vGsnAtN', 'UB')
('SL22517-2022-11-01-1037','S44-5','FnTzXfetzQMx', 'MB')
('SL04652-2022-11-02-1013','S43-5','sCmmw', 'MB')
('AC22517-2022-11-02-1039','A58-13','uIxojDrBXJxMX', 'LB')
('AC12058-2022-11-01-988','A55-16','BMwynFmlMOuyvU', 'UB')
('SL04652-2022-11-02-1015','S43-7','PQb', 'SL')
('AC22517-2022-11-02-1041','A58-15','StwmwdrDBN', 'UB')
('AC22517-2022-11-02-1042','A58-16','TPEJVfaOeB', 'UB')
('SL04652-2022-11-01-1037','S44-5','bEMTEYPTnhyZfaIN', 'MB')
('SL22517-2022-11-02-1031','S43-23','EL', 'SL')
('SL04652-2022-11-01-1041','S44-9','dCqLKwBZyctt', 'LB')
('SL04652-2022-11-02-1019','S43-11','qQHmAQaOfG', 'UB')
('AC22517-2022-11-01-1056','A59-12','ueufZlS', 'SU')
('SL22517-2022-11-02-1142','S48-14','qPFRrLpf', 'UB')
('SL22517-2022-11-01-1147','S48-19','boXB', 'UB')
('AC04652-2022-11-02-1175','A66-5','LdTbzJlmWst', 'SL')
('AC22517-2022-11-02-1158','A65-6','OIqjnJpTgpb', 'SU')
('AC22517-2022-11-02-1159','A65-7','gDYW', 'LB')
('SL04652-2022-11-01-1151','S48-23','FCINsgROj', 'SL')
('SL12058-2022-11-01-1125','S47-21','yLTMmFuTjEXzzbL', 'MB')
('SL12058-2022-11-01-1126','S47-22','lsMtvjcYmSRNaq', 'UB')
('AC04652-2022-11-01-1147','A64-13','JIyMbTde', 'LB')
('SL04652-2022-11-01-1154','S49-2','GjNXng', 'MB')
('SL04652-2022-11-01-1155','S49-3','HkgdLQ', 'UB')
('SL22517-2022-11-02-1153','S49-1','uamQzzNw', 'LB')
('SL12058-2022-11-01-1130','S48-2','rrEr', 'MB')
('AC04652-2022-11-02-1186','A66-16','vFBKKSGfvPzbzPn', 'UB')
('SL22517-2022-11-01-1160','S49-8','BUxcJX', 'SU')
('SL04652-2022-11-02-1137','S48-9','qkQTnVcyfzcsasFH', 'LB')
('SL04652-2022-11-01-1161','S49-9','LprTPyRQxpLWh', 'LB')
('AC04652-2022-11-01-1152','A64-18','XSxWrSZ', 'SU')
('AC04652-2022-11-01-1154','A65-2','ssUymqj', 'LB')
('SL22517-2022-11-02-1162','S49-10','gGyakWtuKDBAFES', 'MB')
('AC04652-2022-11-02-1196','A67-8','rEdRbIXwtHQ', 'LB')
('AC22517-2022-11-01-1127','A63-11','nwACSdQPUNiIN', 'SL')
('AC04652-2022-11-01-1163','A65-11','hfDKSYLNjeXIH', 'SL')
('AC12058-2022-11-01-1122','A63-6','xYqiHwWphPoRDSA', 'SU')
('SL22517-2022-11-02-1173','S49-21','RIvwoptIG', 'MB')
('AC04652-2022-11-01-1167','A65-15','VAcgfRsJDnYJD', 'UB')
('AC22517-2022-11-01-1137','A64-3','tYl', 'UB')
('SL22517-2022-11-01-1179','S50-3','ElwaFqAdpTKYElgw', 'UB')
('AC12058-2022-11-01-1132','A63-16','yjuwfOifcJ', 'UB')
('SL22517-2022-11-01-1182','S50-6','goc', 'UB')
('SL22517-2022-11-01-1183','S50-7','XYpJnZKt', 'SL')
('SL22517-2022-11-01-1184','S50-8','TWRrFVIzPy', 'SU')
('SL12058-2022-11-01-1151','S48-23','sTMI', 'SL')
('AC04652-2022-11-01-1175','A66-5','ULW', 'SL')
('AC12058-2022-11-01-1136','A64-2','ualzJ', 'LB')
('SL22517-2022-11-01-1187','S50-11','exnrclILV', 'UB')
('AC04652-2022-11-02-1217','A68-11','BvMQXOEMv', 'SL')
('AC22517-2022-11-01-1146','A64-12','tiLsc', 'SU')
('AC04652-2022-11-01-1176','A66-6','xEeiDXjELNB', 'SU')
('AC22517-2022-11-01-1147','A64-13','rNfYckogY', 'LB')
('SL04652-2022-11-02-1167','S49-15','FNjXbHBRg', 'SL')
('AC04652-2022-11-02-1220','A68-14','eYvMixTzUt', 'LB')
('AC04652-2022-11-02-1221','A68-15','RSYkNfC', 'UB')
('AC22517-2022-11-01-1153','A65-1','AThYAB', 'LB')
('AC12058-2022-11-01-1147','A64-13','daXmm', 'LB')
('SL12058-2022-11-01-1163','S49-11','PPlxIEEGnMxgn', 'UB')
('SL04652-2022-11-02-1177','S50-1','G', 'LB')
('SL22517-2022-11-02-1199','S50-23','KaTQcI', 'SL')
('SL22517-2022-11-01-1206','S51-6','cmp', 'UB')
('SL12058-2022-11-01-1169','S49-17','QYqDgjsnFx', 'LB')
('SL22517-2022-11-01-1210','S51-10','jWrC', 'MB')
('AC04652-2022-11-01-1196','A67-8','RI', 'LB')
('AC22517-2022-11-01-1177','A66-7','UQrKtE', 'LB')
('AC04652-2022-11-02-1241','A69-17','zMMlGfDVDtCM', 'SL')
('AC04652-2022-11-02-1242','A69-18','ecEexzzDX', 'SU')
('AC04652-2022-11-01-1205','A67-17','K', 'SL')
('SL04652-2022-11-01-1206','S51-6','cHII', 'UB')
('SL04652-2022-11-01-1207','S51-7','KOtkKUbbAxvRli', 'SL')
('AC12058-2022-11-01-1161','A65-9','moSntGSTNkNPQR', 'UB')
('SL04652-2022-11-02-1199','S50-23','tagvrRUqHaPG', 'SL')
('AC22517-2022-11-02-1222','A68-16','JFxww', 'UB')
('SL22517-2022-11-01-1230','S52-6','siFoCkpNWnveXkJR', 'UB')
('AC04652-2022-11-01-1221','A68-15','tBTOaUWgT', 'UB')
('SL22517-2022-11-01-1233','S52-9','plFrwwDGyKwXwoEa', 'LB')
('SL22517-2022-11-01-1234','S52-10','VQBma', 'MB')
('AC12058-2022-11-01-1181','A66-11','YMjjJql', 'SL')
('SL04652-2022-11-01-1225','S52-1','TxCVQml', 'LB')
('AC22517-2022-11-02-1237','A69-13','hQAH', 'LB')
('AC04652-2022-11-02-1269','A71-9','dcGbukcUoJwo', 'UB')
('AC04652-2022-11-01-1233','A69-9','cBzFQmWJTAWIbXXF', 'UB')
('AC04652-2022-11-02-1270','A71-10','pESo', 'UB')
('SL04652-2022-11-02-1267','S53-19','XfvAZByPrwvXImrl', 'UB')
('SL04652-2022-11-01-1300','S55-4','oFOYReULRMudve', 'LB')
('AC04652-2022-11-01-1320','A74-6','CLgERLYScuV', 'SU')
('SL04652-2022-11-01-1305','S55-9','XqRECVI', 'LB')
('SL12058-2022-11-01-1271','S53-23','fZfWtOunXUXDX', 'SL')
('SL12058-2022-11-01-1272','S53-24','oSZUWouBbzv', 'SU')
('AC22517-2022-11-02-1304','A73-8','bQ', 'LB')
('AC22517-2022-11-02-1305','A73-9','pGxm', 'UB')
