('SL04652-2022-11-01-2625','S110-9','uil', 'LB')
('SL22517-2022-11-01-2923','S122-19','M', 'UB')
('AC22517-2022-11-02-2918','A163-2','fxSuvIDauKqsYbJ', 'LB')
('SL04652-2022-11-02-2948','S123-20','ZPENQECbgKAn', 'LB')
('AC22517-2022-11-02-2923','A163-7','b', 'LB')
('SL22517-2022-11-02-2896','S121-16','amqxLlhQN', 'SU')
('SL22517-2022-11-01-2929','S123-1','oNle', 'LB')
('AC04652-2022-11-01-3045','A170-3','SF', 'UB')
('SL22517-2022-11-01-2930','S123-2','OHS', 'MB')
('SL04652-2022-11-02-2961','S124-9','eRnRGjMCcECqYlak', 'LB')
('SL04652-2022-11-01-2920','S122-16','iaAzDsQncUgP', 'SU')
('AC12058-2022-11-01-2889','A161-9','RQsYtNy', 'UB')
('SL04652-2022-11-01-2924','S122-20','PFkIMuludujcvt', 'LB')
('SL22517-2022-11-01-2936','S123-8','VWMONHYVBGzyh', 'SU')
('SL12058-2022-11-01-2852','S119-20','kHqxVoUikqUOf', 'LB')
('SL04652-2022-11-01-2926','S122-22','TgylEjfGoEvdli', 'UB')
('SL04652-2022-11-02-2972','S124-20','HRGKfim', 'LB')
('SL22517-2022-11-02-2903','S121-23','VmMCB', 'SL')
('SL22517-2022-11-01-2938','S123-10','TmqCbZfmIDwaj', 'MB')
('AC12058-2022-11-01-2897','A161-17','ztVOkYRgFhXJkMkZ', 'SL')
('SL22517-2022-11-02-2905','S122-1','awEMfWhYuI', 'LB')
('SL04652-2022-11-01-2932','S123-4','PvXKZkmkd', 'LB')
('SL04652-2022-11-02-2978','S125-2','DxW', 'MB')
('SL04652-2022-11-01-2939','S123-11','NmEZjCkmmMIyfd', 'UB')
('SL12058-2022-11-01-2866','S120-10','cwZjw', 'MB')
('AC04652-2022-11-02-2931','A163-15','kmCtgdhTvJy', 'UB')
('SL22517-2022-11-01-2952','S123-24','NnYoDQGHcdEeH', 'SU')
('SL22517-2022-11-01-2953','S124-1','rLWjxUPMGfDavjd', 'LB')
('AC22517-2022-11-02-2987','A166-17','lKrk', 'SL')
('SL22517-2022-11-01-2984','S125-8','CN', 'SU')
('SL12058-2022-11-01-2909','S122-5','VSjbI', 'MB')
('AC04652-2022-11-01-3104','A173-8','QlLQThEfhcKb', 'LB')
('SL22517-2022-11-02-2955','S124-3','eVwgUdmyr', 'UB')
('SL12058-2022-11-01-2932','S123-4','tGpVIiFXsbyXX', 'LB')
('AC22517-2022-11-01-3088','A172-10','xfkv', 'UB')
('SL04652-2022-11-01-3071','S128-23','pFMJQKdoPStNWc', 'SL')
('AC12058-2022-11-01-3013','A168-7','TuYwdawRjPZ', 'LB')
('AC22517-2022-11-02-3088','A172-10','EGPpQpgCuDfyvIPm', 'UB')
('AC04652-2022-11-02-3069','A171-9','fGt', 'UB')
('SL12058-2022-11-01-3004','S126-4','EPFGMzzugikwUSp', 'LB')
('AC04652-2022-11-01-3199','A178-13','RaJpW', 'LB')
('AC22517-2022-11-01-3137','A175-5','T', 'SL')
('AC04652-2022-11-02-3080','A172-2','GzEoJRHHkbN', 'LB')
('SL12058-2022-11-01-3011','S126-11','ycd', 'UB')
('AC12058-2022-11-01-3032','A169-8','X', 'LB')
('SL12058-2022-11-01-3016','S126-16','viJC', 'SU')
('AC04652-2022-11-02-3118','A174-4','dBRlzM', 'UB')
('SL22517-2022-11-01-3110','S130-14','D', 'UB')
('SL12058-2022-11-01-3043','S127-19','OtXQNXLyNTP', 'UB')
('SL22517-2022-11-02-3070','S128-22','DzJqyor', 'UB')
('SL12058-2022-11-01-3071','S128-23','cvkRUUT', 'SL')
('AC12058-2022-11-01-3093','A172-15','ZVRTxlyjdZJbXA', 'UB')
('SL22517-2022-11-02-3110','S130-14','begcBDJLYfCIjnX', 'UB')
('AC04652-2022-11-02-3149','A175-17','aVSuH', 'SL')
('AC12058-2022-11-01-3098','A173-2','sNiCzaqGeLVXbz', 'LB')
('SL04652-2022-11-02-3210','S134-18','TnTelJlZHhd', 'MB')
('SL12058-2022-11-01-3085','S129-13','rS', 'MB')
('SL04652-2022-11-02-3213','S134-21','yUTlhwzp', 'MB')
('AC04652-2022-11-02-3157','A176-7','Nv', 'LB')
('SL12058-2022-11-01-3094','S129-22','GEtHJnBZ', 'UB')
('SL22517-2022-11-01-3149','S132-5','QbhhizjahG', 'MB')
('AC22517-2022-11-02-3167','A176-17','zhJY', 'SL')
('AC04652-2022-11-01-3293','A183-17','hH', 'SL')
('SL22517-2022-11-01-3154','S132-10','ulygzSp', 'MB')
('AC22517-2022-11-02-3173','A177-5','sIYtxbjzJ', 'SL')
('SL04652-2022-11-02-3229','S135-13','oKT', 'MB')
('AC22517-2022-11-01-3217','A179-13','aDVvcz', 'LB')
('SL12058-2022-11-01-3110','S130-14','kaqjluiuElyR', 'UB')
('AC04652-2022-11-02-3175','A177-7','lCoQNHMELsNn', 'LB')
('SL22517-2022-11-02-3136','S131-16','klmlyL', 'SU')
('SL22517-2022-11-01-3159','S132-15','y', 'SL')
('AC04652-2022-11-01-3302','A184-8','gUVsNvTASJYXCSy', 'LB')
('AC12058-2022-11-01-3124','A174-10','gxFRtfscah', 'UB')
('AC22517-2022-11-02-3178','A177-10','KCFXvS', 'UB')
('AC22517-2022-11-02-3182','A177-14','HDSokZjomlSMMKu', 'LB')
('SL04652-2022-11-02-3241','S136-1','VNaS', 'LB')
('AC12058-2022-11-01-3134','A175-2','cTgReDEqiJpHii', 'LB')
('SL12058-2022-11-01-3121','S131-1','mCAWxiGbCnWAcv', 'LB')
('AC04652-2022-11-01-3318','A185-6','jiTVir', 'SU')
('AC04652-2022-11-02-3194','A178-8','FruOAHfwCAbZcPC', 'LB')
('AC12058-2022-11-01-3146','A175-14','SgnSAaRXcQKBzW', 'LB')
('SL04652-2022-11-02-3258','S136-18','KdfpXWdBpJbqmF', 'MB')
('AC12058-2022-11-01-3154','A176-4','jSGGBu', 'UB')
('AC22517-2022-11-02-3209','A179-5','dvTNyvw', 'SL')
('SL04652-2022-11-01-3200','S134-8','GAyGPNfcj', 'SU')
('SL22517-2022-11-01-3189','S133-21','zjiyDuYREIXrAXd', 'MB')
('AC04652-2022-11-01-3365','A187-17','MzoxHLAw', 'SL')
('SL04652-2022-11-02-3301','S138-13','iFgweI', 'MB')
('SL12058-2022-11-01-3169','S133-1','eFw', 'LB')
('AC04652-2022-11-01-3421','A191-1','aucjuxGEQJR', 'LB')
('SL22517-2022-11-02-3247','S136-7','FlRB', 'SL')
('AC12058-2022-11-01-3260','A182-2','MHenrKZziaBkyX', 'LB')
('AC22517-2022-11-02-3312','A184-18','xTmsJG', 'SU')
('SL04652-2022-11-02-3365','S141-5','bVWZUZHHmm', 'MB')
('SL04652-2022-11-02-3377','S141-17','fLOyjj', 'LB')
('SL12058-2022-11-01-3273','S137-9','fiGpaMGN', 'LB')
('SL12058-2022-11-01-3282','S137-18','AuzYMKoXRxTqViu', 'MB')
('SL12058-2022-11-01-3294','S138-6','hLrWygwgXqsZhZhH', 'UB')
('AC22517-2022-11-02-3386','A189-2','HQFRDesxihxkoSiV', 'LB')
('SL04652-2022-11-02-3426','S143-18','NbOrfa', 'MB')
('SL04652-2022-11-01-3364','S141-4','dK', 'LB')
('SL12058-2022-11-01-3302','S138-14','OJUMJkjCHJqZYnLn', 'UB')
('SL22517-2022-11-02-3322','S139-10','dMUciIXZKQQllIc', 'MB')
('SL04652-2022-11-01-3372','S141-12','CJtqCqPTxjnPOKv', 'LB')
('AC22517-2022-11-02-3394','A189-10','TkyZTanIWsvb', 'UB')
('AC04652-2022-11-02-3385','A189-1','XTHjhpFRgQ', 'LB')
('AC12058-2022-11-01-3339','A186-9','nLkjmmnmB', 'UB')
('AC22517-2022-11-02-3401','A189-17','wQWYVJ', 'SL')
('AC04652-2022-11-01-3518','A196-8','dOSW', 'LB')
('AC04652-2022-11-02-3390','A189-6','QzzsIANl', 'SU')
('SL04652-2022-11-01-3385','S142-1','fgFnplLDoueGi', 'LB')
('AC22517-2022-11-01-3460','A193-4','uLURgvur', 'UB')
('SL04652-2022-11-02-3445','S144-13','hSddaTotd', 'MB')
('AC04652-2022-11-02-3392','A189-8','UnHMQDgV', 'LB')
('SL12058-2022-11-01-3318','S139-6','jB', 'UB')
('SL04652-2022-11-01-3388','S142-4','oMZAGGSinzvgB', 'LB')
('SL04652-2022-11-02-3449','S144-17','NHplPUizYkc', 'LB')
('SL22517-2022-11-02-3344','S140-8','XVtvSqpOsJTvrk', 'SU')
('SL22517-2022-11-01-3373','S141-13','mDZzUQwPjPS', 'MB')
('AC04652-2022-11-02-3393','A189-9','veiiyYXDUtwMwvw', 'UB')
('AC12058-2022-11-01-3350','A187-2','rIgNn', 'LB')
('AC22517-2022-11-02-3409','A190-7','qCnfGgufPKkjT', 'LB')
('AC22517-2022-11-01-3470','A193-14','FGzcRqvIGjaERff', 'LB')
('SL04652-2022-11-02-3457','S145-1','EKC', 'LB')
('AC04652-2022-11-02-3403','A190-1','TfntXWpD', 'LB')
('AC04652-2022-11-02-3404','A190-2','hWIF', 'LB')
('SL04652-2022-11-01-3399','S142-15','fXmY', 'SL')
('SL04652-2022-11-02-3478','S145-22','yFvWJd', 'UB')
('SL04652-2022-11-02-3479','S145-23','dfOwQxCu', 'SL')
('AC04652-2022-11-02-3423','A191-3','fYLqJheHl', 'UB')
('SL04652-2022-11-01-3426','S143-18','qPgmsiPBpB', 'MB')
('SL04652-2022-11-02-3487','S146-7','jxJwbIBHNHzce', 'SL')
('SL22517-2022-11-01-3408','S142-24','doqXqNDPjSe', 'SU')
('SL12058-2022-11-01-3357','S140-21','fV', 'MB')
('SL12058-2022-11-01-3358','S140-22','hzeWaSiaVuzjzKjp', 'UB')
('AC04652-2022-11-02-3430','A191-10','nuwU', 'UB')
('AC22517-2022-11-01-3507','A195-15','bYedJ', 'UB')
('AC22517-2022-11-02-3456','A192-18','MWFZtkWXz', 'SU')
('SL04652-2022-11-01-3470','S145-14','wXLbjyXsGJ', 'UB')
('SL04652-2022-11-01-3471','S145-15','SzBW', 'SL')
('AC04652-2022-11-01-3613','A201-13','jMhSFgFNfxjWwjC', 'LB')
('AC12058-2022-11-01-3435','A191-15','uycfTPwrdmspLS', 'UB')
('AC04652-2022-11-01-3616','A201-16','UX', 'UB')
('SL04652-2022-11-01-3475','S145-19','YpVLb', 'UB')
('AC04652-2022-11-02-3470','A193-14','eawNFIypZuw', 'LB')
('AC04652-2022-11-01-3622','A202-4','Ij', 'UB')
('AC22517-2022-11-01-3555','A198-9','ZNGAq', 'UB')
('SL04652-2022-11-02-3544','S148-16','UCCAWVJGZMov', 'SU')
('AC04652-2022-11-01-3625','A202-7','xWVxHHafAH', 'LB')
('AC22517-2022-11-02-3510','A195-18','TOcgPCsVZdSVNx', 'SU')
('AC04652-2022-11-01-3636','A202-18','ZALRRbgTDrsSj', 'SU')
('AC04652-2022-11-02-3484','A194-10','uLAZ', 'UB')
('SL22517-2022-11-01-3484','S146-4','zyumLfZyzIBk', 'LB')
('SL12058-2022-11-01-3418','S143-10','lbWnTsVQ', 'MB')
('AC12058-2022-11-01-3462','A193-6','Hba', 'SU')
('SL04652-2022-11-01-3495','S146-15','bnrTrKvAHFLNy', 'SL')
('SL12058-2022-11-01-3433','S144-1','lhCDcSODLApZ', 'LB')
('SL04652-2022-11-02-3571','S149-19','fYb', 'UB')
('AC12058-2022-11-01-3488','A194-14','VuLEvrtCXvG', 'LB')
('SL22517-2022-11-01-3515','S147-11','iOnCBlZF', 'UB')
('SL22517-2022-11-01-3516','S147-12','K', 'LB')
('SL12058-2022-11-01-3442','S144-10','IQ', 'MB')
('SL22517-2022-11-01-3521','S147-17','jblOnrynBLvJbm', 'LB')
('AC12058-2022-11-01-3513','A196-3','cAxUfpDJwHhMrE', 'UB')
('SL12058-2022-11-01-3464','S145-8','RHnaOCxhhLfh', 'SU')
('SL22517-2022-11-01-3545','S148-17','TCQUf', 'LB')
('SL04652-2022-11-01-3540','S148-12','kTlovUaXl', 'LB')
('AC04652-2022-11-02-3547','A198-1','PIbtnABxo', 'LB')
('AC04652-2022-11-02-3548','A198-2','zjYXS', 'LB')
('AC22517-2022-11-01-3645','A203-9','T', 'UB')
('AC22517-2022-11-01-3651','A203-15','laJZIs', 'UB')
('SL22517-2022-11-02-3511','S147-7','UhqYRVSYmOkuRIES', 'SL')
('SL22517-2022-11-02-3517','S147-13','euqaQFsA', 'MB')
('AC12058-2022-11-01-3569','A199-5','XIJQEbqW', 'SL')
('AC04652-2022-11-01-3730','A208-4','IgRtgubtJJr', 'UB')
('SL04652-2022-11-01-3568','S149-16','yaQQeCnTUtFL', 'SU')
('SL22517-2022-11-02-3537','S148-9','MhsZbRd', 'LB')
('AC22517-2022-11-02-3621','A202-3','hEiigaVSvdq', 'UB')
('SL04652-2022-11-01-3570','S149-18','aDsWcX', 'MB')
('SL22517-2022-11-01-3605','S151-5','Nfu', 'MB')
('SL04652-2022-11-02-3662','S153-14','psiQwZE', 'UB')
('SL04652-2022-11-02-3666','S153-18','PczE', 'MB')
('AC22517-2022-11-01-3689','A205-17','ZJaGDAJUdGNLDQcs', 'SL')
('AC04652-2022-11-02-3608','A201-8','mYNsYfMU', 'LB')
('AC04652-2022-11-01-3746','A209-2','FspKUBBywPd', 'LB')
('SL22517-2022-11-01-3623','S151-23','GYKnQnoTsEt', 'SL')
('AC04652-2022-11-01-3795','A211-15','PzEaOAb', 'UB')
('AC12058-2022-11-01-3688','A205-16','NZ', 'UB')
('AC04652-2022-11-01-3844','A214-10','bwTPZrapUnfY', 'UB')
('SL04652-2022-11-02-3756','S157-12','d', 'LB')
('AC04652-2022-11-01-3846','A214-12','VgmINZTjnBmXQgG', 'SU')
('AC12058-2022-11-01-3693','A206-3','krOm', 'UB')
('AC12058-2022-11-01-3694','A206-4','nXEgRP', 'UB')
('SL04652-2022-11-02-3764','S157-20','wuhTLvSc', 'LB')
('AC22517-2022-11-02-3733','A208-7','YgPIjacIDfBG', 'LB')
('AC22517-2022-11-01-3789','A211-9','farofzInpKShnI', 'UB')
('SL04652-2022-11-02-3765','S157-21','Gpmh', 'MB')
('AC04652-2022-11-02-3714','A207-6','LZIkMJZkZeqRq', 'SU')
('AC22517-2022-11-02-3742','A208-16','Q', 'UB')
('AC12058-2022-11-01-3706','A206-16','ftNutIklKO', 'UB')
('SL04652-2022-11-02-3770','S158-2','lIiRNmxGHJs', 'MB')
('SL04652-2022-11-01-3683','S154-11','XuVs', 'UB')
('AC12058-2022-11-01-3710','A207-2','P', 'LB')
('SL22517-2022-11-01-3721','S156-1','KYaViCw', 'LB')
('AC22517-2022-11-01-3828','A213-12','NOLTyYbGT', 'SU')
('SL22517-2022-11-01-3751','S157-7','jbD', 'SL')
('AC04652-2022-11-02-3756','A209-12','X', 'SU')
('SL04652-2022-11-02-3801','S159-9','VORaNwlc', 'LB')
('AC04652-2022-11-01-3905','A217-17','lVmsOIA', 'SL')
('AC04652-2022-11-01-3908','A218-2','K', 'LB')
('SL04652-2022-11-01-3729','S156-9','qFh', 'LB')
('SL22517-2022-11-01-3766','S157-22','OytghACbpocbfyX', 'UB')
('SL04652-2022-11-02-3808','S159-16','oIvB', 'SU')
('SL04652-2022-11-01-3732','S156-12','oLFlXfcyAi', 'LB')
('SL22517-2022-11-02-3678','S154-6','bEZL', 'UB')
('SL04652-2022-11-01-3734','S156-14','Plj', 'UB')
('AC04652-2022-11-01-3992','A222-14','aWmHiMp', 'LB')
('AC04652-2022-11-02-3862','A215-10','mwSOYGMnrmNvU', 'UB')
('AC12058-2022-11-01-3850','A214-16','pHdMuw', 'UB')
('SL04652-2022-11-01-3813','S159-21','JWMdeG', 'MB')
('SL12058-2022-11-01-3744','S156-24','PXggdmEWDEVW', 'SU')
('AC04652-2022-11-01-4020','A224-6','HGzMSkrHE', 'SU')
('AC22517-2022-11-02-3883','A216-13','jndoNAwqJBV', 'LB')
('AC22517-2022-11-02-3884','A216-14','AQPIaUvxntncxB', 'LB')
('SL22517-2022-11-01-3856','S161-16','J', 'SU')
('SL22517-2022-11-01-3857','S161-17','zwqEJONZHMYQ', 'LB')
('AC04652-2022-11-01-4024','A224-10','AfVCuNaSmRA', 'UB')
('AC04652-2022-11-02-3881','A216-11','gzElgYhFJpRPkt', 'SL')
('SL12058-2022-11-01-3758','S157-14','zGIE', 'UB')
('AC22517-2022-11-01-3949','A220-7','VTHYAMHnNvpvqKDN', 'LB')
('SL12058-2022-11-01-3760','S157-16','ZlxMJlJmveK', 'SU')
('SL12058-2022-11-01-3761','S157-17','ZUqqX', 'LB')
('SL22517-2022-11-01-3862','S161-22','r', 'UB')
('AC04652-2022-11-01-4036','A225-4','a', 'UB')
('SL12058-2022-11-01-3769','S158-1','qZdwqe', 'LB')
('AC04652-2022-11-01-4038','A225-6','AwwyjYObIpmpmwXn', 'SU')
('SL22517-2022-11-02-3799','S159-7','JJyDBMTQEOnpYU', 'SL')
('SL04652-2022-11-01-3848','S161-8','vPNkhMLTTkWn', 'SU')
('SL12058-2022-11-01-3776','S158-8','dIhpTfL', 'SU')
('AC22517-2022-11-01-3971','A221-11','W', 'SL')
('SL04652-2022-11-01-3852','S161-12','Yjv', 'LB')
('AC12058-2022-11-01-3889','A217-1','xM', 'LB')
('AC22517-2022-11-01-3977','A221-17','eAmRZzOjYtMXN', 'SL')
('AC04652-2022-11-02-3903','A217-15','phnDj', 'UB')
('SL12058-2022-11-01-3786','S158-18','OYTFhmmaElzssT', 'MB')
('SL04652-2022-11-02-3933','S164-21','vmlpjRKMuD', 'MB')
('AC22517-2022-11-02-3905','A217-17','AfiAvAHMDSviTdS', 'SL')
('AC22517-2022-11-01-3980','A222-2','IixYfoMcILebpm', 'LB')
('AC12058-2022-11-01-3901','A217-13','KMInSNwTj', 'LB')
('SL12058-2022-11-01-3790','S158-22','rMBLd', 'UB')
('AC04652-2022-11-01-4057','A226-7','vWSNhQEZg', 'LB')
('SL04652-2022-11-02-3936','S164-24','BsCoTqAv', 'SU')
('AC22517-2022-11-01-3986','A222-8','zEfqSQaQS', 'LB')
('SL04652-2022-11-02-3938','S165-2','hhg', 'MB')
('SL22517-2022-11-01-3895','S163-7','swQDLig', 'SL')
('AC04652-2022-11-01-4061','A226-11','VRcCunbKoTVzM', 'SL')
('SL04652-2022-11-01-3863','S161-23','wAwKkUGMKSPkQlT', 'SL')
('AC12058-2022-11-01-3911','A218-5','GunDrKcih', 'SL')
('SL12058-2022-11-01-3793','S159-1','zqXAm', 'LB')
('AC04652-2022-11-02-3927','A219-3','EivsBGKgniUAWPc', 'UB')
('SL04652-2022-11-02-3953','S165-17','SmGTAhEb', 'LB')
('SL04652-2022-11-02-3954','S165-18','BYqj', 'MB')
('AC12058-2022-11-01-3930','A219-6','hrEtwmLa', 'SU')
('SL04652-2022-11-01-3886','S162-22','Aqturq', 'UB')
('SL04652-2022-11-02-3960','S165-24','Lp', 'SU')
('SL22517-2022-11-01-3912','S163-24','Abpf', 'SU')
('SL12058-2022-11-01-3812','S159-20','xRcHlyngcLcnOoP', 'LB')
('AC12058-2022-11-01-3940','A219-16','OWkkJYlOfnWmG', 'UB')
('AC04652-2022-11-02-3944','A220-2','zqaP', 'LB')
('SL04652-2022-11-02-4027','S168-19','omwlpnAOk', 'UB')
('SL22517-2022-11-01-4026','S168-18','XOWnU', 'MB')
('AC22517-2022-11-02-4042','A225-10','HDIQRSMCdAIAcLk', 'UB')
('AC04652-2022-11-02-4056','A226-6','CdevFEcnsNfYp', 'SU')
('AC22517-2022-11-01-4118','A229-14','IRIGOGOegFfiVT', 'LB')
('SL12058-2022-11-01-3925','S164-13','cpdwtSBzJ', 'MB')
('SL04652-2022-11-02-4069','S170-13','wLttnzStrvMmxAj', 'MB')
('AC04652-2022-11-02-4080','A227-12','o', 'SU')
('AC04652-2022-11-02-4184','A233-8','eVSMjMUaYmN', 'LB')
('AC04652-2022-11-02-4185','A233-9','ZQYAAw', 'UB')
('SL22517-2022-11-02-4088','S171-8','SsQE', 'SU')
('SL22517-2022-11-02-4089','S171-9','ydQU', 'LB')
('AC04652-2022-11-01-4351','A242-13','KfEeWfvfwx', 'LB')
('AC04652-2022-11-01-4352','A242-14','OlFX', 'LB')
('SL04652-2022-11-01-4117','S172-13','oVkyvsFfPpzhGQv', 'MB')
('AC22517-2022-11-01-4250','A237-2','nYCsmqOkkjxxqDV', 'LB')
('AC22517-2022-11-02-4171','A232-13','Ekgpm', 'LB')
('SL22517-2022-11-02-4106','S172-2','iP', 'MB')
('SL22517-2022-11-01-4159','S174-7','veRCXYDjkG', 'SL')
('AC22517-2022-11-02-4190','A233-14','HNepaBQNq', 'LB')
('SL12058-2022-11-01-4079','S170-23','JmnHMQTdd', 'SL')
('SL22517-2022-11-01-4175','S174-23','pcyieuZsH', 'SL')
('AC04652-2022-11-02-4222','A235-10','AuM', 'UB')
('SL22517-2022-11-01-4177','S175-1','xCZjNHJVvYZI', 'LB')
('SL22517-2022-11-02-4128','S172-24','ePMy', 'SU')
('AC12058-2022-11-01-4223','A235-11','EEpVJ', 'SL')
('AC04652-2022-11-01-4386','A244-12','fhoQrveSsLGEe', 'SU')
('SL22517-2022-11-02-4135','S173-7','CfipvE', 'SL')
('AC04652-2022-11-01-4397','A245-5','Un', 'SL')
('SL04652-2022-11-01-4170','S174-18','DlNQvtHdOXDNAyb', 'MB')
('AC04652-2022-11-02-4245','A236-15','kF', 'UB')
('AC22517-2022-11-02-4230','A235-18','sWoKX', 'SU')
('AC04652-2022-11-01-4412','A246-2','YcUVyuQRZmFkL', 'LB')
('AC04652-2022-11-01-4413','A246-3','Mwzg', 'UB')
('SL04652-2022-11-01-4177','S175-1','yyVzzzDb', 'LB')
('AC22517-2022-11-01-4307','A240-5','VtMmN', 'SL')
('AC22517-2022-11-02-4240','A236-10','TtAgcBQq', 'UB')
('SL04652-2022-11-02-4246','S177-22','M', 'UB')
('AC04652-2022-11-02-4258','A237-10','nHIKToGyoWefEh', 'UB')
('SL04652-2022-11-02-4249','S178-1','QJZjRuj', 'LB')
('AC22517-2022-11-01-4313','A240-11','FW', 'SL')
('SL12058-2022-11-01-4123','S172-19','pDnlpl', 'UB')
('AC04652-2022-11-02-4262','A237-14','cSPjl', 'LB')
('SL04652-2022-11-01-4200','S175-24','cyUtMb', 'SU')
('AC04652-2022-11-01-4446','A247-18','zjKJ', 'SU')
('AC12058-2022-11-01-4275','A238-9','YtOweHBJJGdWhgY', 'UB')
('SL04652-2022-11-02-4266','S178-18','H', 'MB')
('SL12058-2022-11-01-4274','S179-2','PYXzaNWTNkjE', 'MB')
('SL22517-2022-11-02-4298','S180-2','YNGADvGlzvED', 'MB')
('SL22517-2022-11-02-4303','S180-7','nwvA', 'SL')
('SL22517-2022-11-01-4347','S182-3','QHvROEHcBLglxE', 'UB')
('AC12058-2022-11-01-4416','A246-6','DCQf', 'SU')
('SL04652-2022-11-02-4429','S185-13','v', 'MB')
('SL12058-2022-11-01-4333','S181-13','QU', 'MB')
('SL04652-2022-11-02-4430','S185-14','gRczGXqYOMEYxpi', 'UB')
('AC22517-2022-11-02-4459','A248-13','YDJPelepBnRbYKQo', 'LB')
('SL04652-2022-11-02-4434','S185-18','PBliwWwd', 'MB')
('AC22517-2022-11-01-4512','A251-12','TwDaHRiYLiwElefi', 'SU')
('SL04652-2022-11-02-4438','S185-22','ijnJVqtacVBJfa', 'UB')
('SL04652-2022-11-01-4385','S183-17','YYchXdsZbAleN', 'LB')
('SL04652-2022-11-02-4443','S186-3','OuEOOkiyHjTZrM', 'UB')
('SL22517-2022-11-02-4365','S182-21','yf', 'MB')
('AC04652-2022-11-02-4483','A250-1','oW', 'LB')
('AC22517-2022-11-02-4504','A251-4','s', 'UB')
('AC22517-2022-11-01-4556','A254-2','saunRvnxAVUGM', 'LB')
('AC04652-2022-11-02-4523','A252-5','PStGOTP', 'SL')
('AC22517-2022-11-02-4507','A251-7','gJDNmpqr', 'LB')
('AC22517-2022-11-01-4559','A254-5','X', 'SL')
('AC04652-2022-11-01-4739','A264-5','okt', 'SL')
('SL22517-2022-11-02-4463','S186-23','wN', 'SL')
('AC04652-2022-11-01-4763','A265-11','DOFDWoqFXLdrElM', 'SL')
('SL22517-2022-11-01-4515','S189-3','WPO', 'UB')
('AC12058-2022-11-01-4583','A255-11','dciUQMjWOfgIh', 'SL')
('AC22517-2022-11-02-4623','A257-15','LeBbrpfJbY', 'UB')
('SL12058-2022-11-01-4475','S187-11','uNP', 'UB')
('AC22517-2022-11-02-4628','A258-2','XfF', 'LB')
('SL12058-2022-11-01-4482','S187-18','WJqHgyRnQpFY', 'MB')
('AC22517-2022-11-02-4659','A259-15','lLk', 'UB')
('SL12058-2022-11-01-4507','S188-19','YqWxiXMs', 'UB')
