('SL22517-2022-11-01-148','S7-4','YbTtbvI', 'LB')
('AC22517-2022-11-01-712','A40-10','otrfnwWpTduScfk', 'UB')
('SL22517-2022-11-02-719','S30-23','nlgyN', 'SL')
('SL04652-2022-11-02-732','S31-12','TMtneatBjr', 'LB')
('AC22517-2022-11-01-719','A40-17','ufZIC', 'SL')
('SL12058-2022-11-01-737','S31-17','KpJR', 'LB')
('AC22517-2022-11-01-722','A41-2','gGycUxOkRHaQL', 'LB')
('SL04652-2022-11-02-734','S31-14','dDfMejyso', 'UB')
('SL12058-2022-11-01-739','S31-19','vTSECL', 'UB')
('SL04652-2022-11-01-746','S32-2','uPWGivBwGVaMJAId', 'MB')
('AC04652-2022-11-02-796','A45-4','ziMEacPE', 'UB')
('SL12058-2022-11-01-743','S31-23','JGfmwKDCkb', 'SL')
('SL22517-2022-11-01-746','S32-2','ApiYjMhYjdDrUZK', 'MB')
('SL12058-2022-11-01-745','S32-1','nLcHcUIFV', 'LB')
('SL22517-2022-11-01-749','S32-5','qkoUYcVT', 'MB')
('AC04652-2022-11-01-757','A43-1','UhfVPeBtsnmCfBmb', 'LB')
('SL04652-2022-11-02-741','S31-21','nDALlcw', 'MB')
('SL12058-2022-11-01-746','S32-2','XBbFTDbdqdBtzEAZ', 'MB')
('AC04652-2022-11-01-758','A43-2','itxTNdecMyNhrtT', 'LB')
('AC22517-2022-11-01-725','A41-5','bQQcAozAgdnicx', 'SL')
('SL12058-2022-11-01-747','S32-3','bVxh', 'UB')
('SL12058-2022-11-01-750','S32-6','pT', 'UB')
('AC04652-2022-11-01-763','A43-7','BBrQoUKufslLkXk', 'LB')
('SL12058-2022-11-01-752','S32-8','euySrgCnDuUdjny', 'SU')
('SL22517-2022-11-02-741','S31-21','GuEAJrUeiQCrr', 'MB')
('AC12058-2022-11-01-725','A41-5','wq', 'SL')
('AC12058-2022-11-01-726','A41-6','nxmS', 'SU')
('SL04652-2022-11-02-747','S32-3','bHrNygWgAWCHygE', 'UB')
('SL04652-2022-11-01-759','S32-15','LXSJk', 'SL')
('SL22517-2022-11-02-745','S32-1','tSPLF', 'LB')
('AC12058-2022-11-01-727','A41-7','PFifmRNkChgNDVZK', 'LB')
('SL04652-2022-11-01-761','S32-17','KWItJfQii', 'LB')
('AC12058-2022-11-01-729','A41-9','VYuWsTRu', 'UB')
('AC22517-2022-11-02-764','A43-8','fV', 'LB')
('SL12058-2022-11-01-756','S32-12','MamxgjNwYLK', 'LB')
('SL04652-2022-11-01-763','S32-19','bUz', 'UB')
('AC22517-2022-11-01-730','A41-10','qdsYzmyK', 'UB')
('SL22517-2022-11-01-759','S32-15','HbgSKWBl', 'SL')
('SL12058-2022-11-01-758','S32-14','cHfppRpsGLpW', 'UB')
('SL04652-2022-11-01-764','S32-20','kQBgxjvsmq', 'LB')
('AC12058-2022-11-01-732','A41-12','KxDuoK', 'SU')
('AC04652-2022-11-02-806','A45-14','bJransHz', 'LB')
('AC04652-2022-11-01-772','A43-16','SlTvkFbqaWnqYXp', 'UB')
('AC04652-2022-11-02-807','A45-15','XugV', 'UB')
('SL12058-2022-11-01-759','S32-15','xmpOnyTUOCURr', 'SL')
('AC04652-2022-11-01-773','A43-17','gOFnAJEaEsH', 'SL')
('SL22517-2022-11-01-764','S32-20','wuDhBOzBFi', 'LB')
('SL04652-2022-11-01-769','S33-1','KHfZuSGbciVVzDx', 'LB')
('SL12058-2022-11-01-761','S32-17','IpA', 'LB')
('AC22517-2022-11-01-736','A41-16','cZnFJiLSmWkqg', 'UB')
('SL12058-2022-11-01-762','S32-18','WfykqDUzI', 'MB')
('SL04652-2022-11-02-753','S32-9','UhxUmoOg', 'LB')
('SL12058-2022-11-01-764','S32-20','X', 'LB')
('AC04652-2022-11-01-777','A44-3','BFJKILlGvYbVqes', 'UB')
('AC04652-2022-11-01-778','A44-4','PRAPFAkYkvzYUv', 'UB')
('SL22517-2022-11-01-769','S33-1','oubOrGn', 'LB')
('AC04652-2022-11-02-813','A46-3','MCkezqDKttU', 'UB')
('SL22517-2022-11-01-770','S33-2','YYTeBqyXfNW', 'MB')
('AC04652-2022-11-01-779','A44-5','tu', 'SL')
('SL22517-2022-11-02-761','S32-17','XLnjKnlgqKi', 'LB')
('SL12058-2022-11-01-767','S32-23','fYbU', 'SL')
('AC22517-2022-11-02-775','A44-1','wan', 'LB')
('SL12058-2022-11-01-768','S32-24','sJnAKzdESJvExq', 'SU')
('SL04652-2022-11-02-759','S32-15','hHCqmLvRiCtmmKc', 'SL')
('SL04652-2022-11-01-777','S33-9','AYp', 'LB')
('SL04652-2022-11-02-762','S32-18','PTgBxpcChOQNkRu', 'MB')
('SL22517-2022-11-01-774','S33-6','oSnHFSNXhTCYP', 'UB')
('AC12058-2022-11-01-747','A42-9','TEf', 'UB')
