('SL04652-2022-11-02-2230','S93-22','dtPipLdvgGGSvqs', 'UB')
('AC04652-2022-11-02-2749','A153-13','Qsh', 'LB')
('AC22517-2022-11-01-2812','A157-4','vlsaMbCLOiPYV', 'UB')
('AC22517-2022-11-02-2749','A153-13','xlIyibNMFDSsOyyP', 'LB')
('AC04652-2022-11-02-2753','A153-17','eOjTGSbMPbZlCsNX', 'SL')
('AC04652-2022-11-02-2754','A153-18','MpnrczrKkFNUNp', 'SU')
('SL12058-2022-11-01-2698','S113-10','aHo', 'MB')
('AC12058-2022-11-01-2744','A153-8','OuIMbhWz', 'LB')
('SL04652-2022-11-02-2806','S117-22','mPrFaUJJpk', 'UB')
('SL12058-2022-11-01-2723','S114-11','WF', 'UB')
('AC22517-2022-11-01-2862','A159-18','OsOqBxTzDdOtWQ', 'SU')
('AC22517-2022-11-02-2784','A155-12','bSjBsiWMICnSIJ', 'SU')
('SL12058-2022-11-01-2726','S114-14','BpyrYrH', 'UB')
('SL04652-2022-11-02-2808','S117-24','ePQxUtbSjwVJYTf', 'SU')
('AC22517-2022-11-01-2866','A160-4','XGmbfPTpvQZEX', 'UB')
('AC22517-2022-11-02-2791','A156-1','yWsAHxDFVJmEidry', 'LB')
('AC12058-2022-11-01-2751','A153-15','DOJY', 'UB')
('AC12058-2022-11-01-2752','A153-16','fXqQCZh', 'UB')
('AC04652-2022-11-01-2903','A162-5','lylEPqUPAF', 'SL')
('SL04652-2022-11-02-2811','S118-3','woPaslzrEbmn', 'UB')
('AC04652-2022-11-02-2797','A156-7','v', 'LB')
('SL04652-2022-11-02-2812','S118-4','ygVPMeQ', 'LB')
('SL22517-2022-11-01-2813','S118-5','wvzR', 'MB')
('AC04652-2022-11-02-2799','A156-9','yTvkV', 'UB')
('SL22517-2022-11-02-2747','S115-11','VEAbRQpgAH', 'UB')
('AC22517-2022-11-02-2798','A156-8','PxR', 'LB')
('SL22517-2022-11-02-2774','S116-14','dYFbqbVHs', 'UB')
('SL04652-2022-11-02-2845','S119-13','CfLxA', 'MB')
('AC22517-2022-11-01-2900','A162-2','qI', 'LB')
('AC12058-2022-11-01-2795','A156-5','EmjRS', 'SL')
('AC04652-2022-11-01-3014','A168-8','LDnk', 'LB')
('SL22517-2022-11-02-2870','S120-14','S', 'UB')
('AC12058-2022-11-01-2861','A159-17','lJ', 'SL')
('AC22517-2022-11-02-2901','A162-3','jtkwKAY', 'UB')
('SL04652-2022-11-02-2938','S123-10','LmqYZbhlPP', 'MB')
('SL04652-2022-11-02-2947','S123-19','rRHEH', 'UB')
('AC04652-2022-11-01-3034','A169-10','DYopiwCykrsFxn', 'UB')
('SL04652-2022-11-01-2907','S122-3','bBLidV', 'UB')
('SL12058-2022-11-01-2838','S119-6','vxztf', 'UB')
('AC04652-2022-11-01-3038','A169-14','LPrMlNapaxQgvFY', 'LB')
('AC22517-2022-11-02-2924','A163-8','QYeM', 'LB')
('SL22517-2022-11-02-2889','S121-9','ixjFKSwMEGsl', 'LB')
('AC04652-2022-11-01-3040','A169-16','AHwHpkZnayV', 'UB')
('AC04652-2022-11-01-3041','A169-17','jsSHTGFcWfUNMp', 'SL')
('AC04652-2022-11-01-3042','A169-18','gHwSb', 'SU')
('SL04652-2022-11-02-2955','S124-3','lVAcIbOQsUK', 'UB')
('SL04652-2022-11-02-2980','S125-4','ZkPtkQnCdYju', 'LB')
('SL22517-2022-11-01-2943','S123-15','YfxJl', 'SL')
('SL22517-2022-11-02-2911','S122-7','ZsKUVLXMthmcjDzZ', 'SL')
('SL12058-2022-11-01-2863','S120-7','u', 'SL')
('AC12058-2022-11-01-2905','A162-7','HAJvNfwsMoBh', 'LB')
('AC12058-2022-11-01-2906','A162-8','cndgXtcaIaHSR', 'LB')
('SL12058-2022-11-01-2865','S120-9','lvEdSRvx', 'LB')
('SL04652-2022-11-02-2992','S125-16','cxh', 'SU')
('SL04652-2022-11-02-2993','S125-17','P', 'LB')
('AC04652-2022-11-02-2946','A164-12','QoQ', 'SU')
('SL12058-2022-11-01-2891','S121-11','xnNkPRFLS', 'UB')
('AC22517-2022-11-01-3024','A168-18','pVRABEQuhVHoYB', 'SU')
('AC22517-2022-11-01-3025','A169-1','nLTGHAfeecfRrVay', 'LB')
('AC04652-2022-11-01-3085','A172-7','ZT', 'LB')
('AC22517-2022-11-01-3030','A169-6','owurKldZdYJelw', 'SU')
('AC22517-2022-11-01-3032','A169-8','lmq', 'LB')
('SL04652-2022-11-01-2972','S124-20','YQaRlVEwcI', 'LB')
('AC12058-2022-11-01-2924','A163-8','WNAeamyB', 'LB')
('AC04652-2022-11-02-2956','A165-4','omxkgUdI', 'UB')
('SL22517-2022-11-01-2972','S124-20','YDUkERpWuqg', 'LB')
('AC22517-2022-11-01-3036','A169-12','xEyIPSyAUhq', 'SU')
('AC22517-2022-11-02-2973','A166-3','dpQqX', 'UB')
('AC22517-2022-11-02-2976','A166-6','NdEbhNmhdGBZoSXd', 'SU')
('SL22517-2022-11-01-2977','S125-1','DyDiXvpodE', 'LB')
('AC22517-2022-11-02-2978','A166-8','idEFAxSgTelhtal', 'LB')
('SL12058-2022-11-01-2904','S121-24','miQvKoqjcPimaG', 'SU')
('AC12058-2022-11-01-2931','A163-15','QGiZXwwnqXg', 'UB')
('SL04652-2022-11-02-3024','S126-24','DWOWE', 'SU')
('AC04652-2022-11-01-3102','A173-6','caCyxY', 'SU')
('SL22517-2022-11-01-2985','S125-9','lJeQq', 'LB')
('SL04652-2022-11-02-3030','S127-6','dgacpBDJMuYLvAIP', 'UB')
('SL22517-2022-11-01-2987','S125-11','hdvhfuj', 'UB')
('SL12058-2022-11-01-2919','S122-15','xhXVqab', 'SL')
('AC04652-2022-11-02-2979','A166-9','MZDKq', 'UB')
('SL12058-2022-11-01-2920','S122-16','BvOFMYCrPOQwo', 'SU')
('AC22517-2022-11-01-3061','A171-1','SvBhmuRzb', 'LB')
('AC04652-2022-11-01-3111','A173-15','KoalRKeihH', 'UB')
('SL22517-2022-11-02-2964','S124-12','DgVX', 'LB')
('SL12058-2022-11-01-2924','S122-20','nkPVBDqlQyscV', 'LB')
('SL22517-2022-11-01-2996','S125-20','S', 'LB')
('SL22517-2022-11-02-2973','S124-21','yiIzbz', 'MB')
('AC04652-2022-11-02-2991','A167-3','eMpHlDhMpXgmYPzE', 'UB')
('AC22517-2022-11-01-3077','A171-17','SPLlmP', 'SL')
('SL12058-2022-11-01-2939','S123-11','WEDgFAL', 'UB')
('AC04652-2022-11-02-3003','A167-15','kmEdUJQrVRrF', 'UB')
('SL12058-2022-11-01-2941','S123-13','VqdjsA', 'MB')
('SL04652-2022-11-01-3014','S126-14','jsbdaDFJDQ', 'UB')
('SL12058-2022-11-01-2944','S123-16','RxByvr', 'SU')
('AC04652-2022-11-02-3008','A168-2','n', 'LB')
('AC22517-2022-11-01-3089','A172-11','t', 'SL')
('SL04652-2022-11-01-3022','S126-22','dmIRgDSsheDW', 'UB')
('SL04652-2022-11-01-3023','S126-23','gToIkhAXogryUCS', 'SL')
('SL04652-2022-11-01-3024','S126-24','d', 'SU')
('SL04652-2022-11-02-3066','S128-18','hixAJbgt', 'MB')
('AC22517-2022-11-02-3077','A171-17','eJlUOKUHq', 'SL')
('AC22517-2022-11-01-3133','A175-1','FkAlghDAf', 'LB')
('SL22517-2022-11-02-3083','S129-11','IQlwOMuCWYLyfuFn', 'UB')
('AC22517-2022-11-01-3181','A177-13','JQYZxvlPmfrDSEw', 'LB')
('SL04652-2022-11-02-3178','S133-10','FoeFyuJVikZ', 'MB')
('SL04652-2022-11-01-3140','S131-20','Za', 'LB')
('AC04652-2022-11-01-3257','A181-17','S', 'SL')
('SL04652-2022-11-02-3185','S133-17','nV', 'LB')
('SL12058-2022-11-01-3064','S128-16','afTXgRONiTvpZu', 'SU')
('SL22517-2022-11-01-3132','S131-12','MIRXOyWPJ', 'LB')
('AC04652-2022-11-01-3271','A182-13','cFuGLIXV', 'LB')
('SL12058-2022-11-01-3084','S129-12','bBwvKssUL', 'LB')
('AC04652-2022-11-01-3279','A183-3','uq', 'UB')
('SL12058-2022-11-01-3095','S129-23','M', 'SL')
('SL22517-2022-11-01-3151','S132-7','f', 'SL')
('SL04652-2022-11-01-3169','S133-1','BKeVcMALn', 'LB')
('AC04652-2022-11-02-3183','A177-15','vlfZbxyXKuFOX', 'UB')
('AC04652-2022-11-02-3184','A177-16','TuPFYlysnyXQl', 'UB')
('SL22517-2022-11-02-3143','S131-23','wGFiAzTT', 'SL')
('AC04652-2022-11-02-3186','A177-18','FIbBfT', 'SU')
('SL04652-2022-11-02-3244','S136-4','tEJcvdeHQknea', 'LB')
('AC22517-2022-11-02-3188','A178-2','PwkgNz', 'LB')
('SL04652-2022-11-02-3248','S136-8','yq', 'SU')
('AC12058-2022-11-01-3137','A175-5','bP', 'SL')
('SL04652-2022-11-01-3188','S133-20','ZeTmcjlQu', 'LB')
('SL22517-2022-11-02-3151','S132-7','Uxd', 'SL')
('AC22517-2022-11-02-3197','A178-11','sBhDjcKEPnP', 'SL')
('SL22517-2022-11-02-3157','S132-13','GFQGuR', 'MB')
('SL04652-2022-11-02-3255','S136-15','usx', 'SL')
('AC04652-2022-11-01-3339','A186-9','HygTr', 'UB')
('AC22517-2022-11-02-3217','A179-13','fKwFNOYMDb', 'LB')
('SL04652-2022-11-02-3274','S137-10','kfvptyn', 'MB')
('SL22517-2022-11-02-3174','S133-6','UgcQcCDO', 'UB')
('AC04652-2022-11-02-3218','A179-14','HHixnJKwZgRkarQw', 'LB')
('SL04652-2022-11-01-3210','S134-18','QvRcZGIPWLcT', 'MB')
('AC12058-2022-11-01-3178','A177-10','ongUmxOjC', 'UB')
('SL04652-2022-11-02-3305','S138-17','jZKWUmEYGU', 'LB')
('SL12058-2022-11-01-3180','S133-12','cki', 'LB')
('SL22517-2022-11-01-3232','S135-16','NPAGyFsUTPMFkl', 'SU')
('AC22517-2022-11-02-3290','A183-14','LbIPaQPaADfh', 'LB')
('SL04652-2022-11-01-3277','S137-13','RCpB', 'MB')
('SL04652-2022-11-02-3350','S140-14','hlbZaqrjur', 'UB')
('AC04652-2022-11-02-3291','A183-15','RSpwpUvtP', 'UB')
('SL04652-2022-11-02-3351','S140-15','tzJfzvksdm', 'SL')
('SL12058-2022-11-01-3226','S135-10','uFTPOojnVnaZx', 'MB')
('AC22517-2022-11-01-3355','A187-7','yy', 'LB')
('AC04652-2022-11-02-3295','A184-1','yGpBL', 'LB')
('AC22517-2022-11-02-3303','A184-9','cLzxtVEbEZBP', 'UB')
('AC04652-2022-11-01-3423','A191-3','iKFDtWQBamnbKFc', 'UB')
('AC22517-2022-11-01-3360','A187-12','AeFB', 'SU')
('SL22517-2022-11-01-3278','S137-14','KfbCPW', 'UB')
('AC22517-2022-11-01-3362','A187-14','PfyPzNZjTRcRoRI', 'LB')
('SL22517-2022-11-02-3249','S136-9','kdzJGEtgyPIziC', 'LB')
('SL12058-2022-11-01-3234','S135-18','DtLUffcPuP', 'MB')
('AC22517-2022-11-02-3308','A184-14','JJUbqjR', 'LB')
('AC22517-2022-11-01-3367','A188-1','Eki', 'LB')
('SL04652-2022-11-01-3293','S138-5','hKXmwF', 'MB')
('AC04652-2022-11-01-3430','A191-10','zPpGw', 'UB')
('AC04652-2022-11-02-3303','A184-9','TlSLINBUoxISQK', 'UB')
('AC04652-2022-11-01-3431','A191-11','s', 'SL')
('SL12058-2022-11-01-3242','S136-2','VIOFPyQHCfD', 'MB')
('SL12058-2022-11-01-3248','S136-8','lNKmven', 'SU')
('AC22517-2022-11-01-3379','A188-13','WpDK', 'LB')
('AC12058-2022-11-01-3271','A182-13','fzvexeUqyvKkf', 'LB')
('AC22517-2022-11-02-3317','A185-5','IygEhpHNKpln', 'SL')
('AC12058-2022-11-01-3274','A182-16','Dp', 'UB')
('AC22517-2022-11-02-3318','A185-6','FFSUHEtjWCzW', 'SU')
('AC04652-2022-11-01-3435','A191-15','ciE', 'UB')
('SL22517-2022-11-01-3295','S138-7','jHotNkY', 'SL')
('SL12058-2022-11-01-3279','S137-15','iRXZR', 'SL')
('AC22517-2022-11-01-3418','A190-16','vKdtAKylDubDk', 'UB')
('AC12058-2022-11-01-3319','A185-7','QCpGxqIk', 'LB')
('SL04652-2022-11-02-3423','S143-15','fofsDWeZftG', 'SL')
('AC04652-2022-11-02-3371','A188-5','qZCYjeHGyTdqQ', 'SL')
('SL04652-2022-11-02-3430','S143-22','MBOw', 'UB')
('SL22517-2022-11-02-3320','S139-8','Vdazx', 'SU')
('SL22517-2022-11-01-3353','S140-17','eAhoZamRsyF', 'LB')
('AC22517-2022-11-01-3443','A192-5','xBUAUoTTZKGZ', 'SL')
('AC04652-2022-11-01-3508','A195-16','qgqrr', 'UB')
('SL04652-2022-11-01-3379','S141-19','jrbZW', 'UB')
('SL04652-2022-11-01-3382','S141-22','TuAZOnOebHbGci', 'UB')
('SL12058-2022-11-01-3333','S139-21','Qfr', 'MB')
('SL22517-2022-11-01-3385','S142-1','NkY', 'LB')
('SL04652-2022-11-01-3402','S142-18','J', 'MB')
('SL12058-2022-11-01-3340','S140-4','YJBhK', 'LB')
('SL04652-2022-11-02-3509','S147-5','OpvRyU', 'MB')
('SL12058-2022-11-01-3374','S141-14','BF', 'UB')
('SL04652-2022-11-01-3448','S144-16','EZpHNEUVYIPkjDsA', 'SU')
('AC12058-2022-11-01-3405','A190-3','DINqEnuf', 'UB')
('SL04652-2022-11-01-3453','S144-21','kTnUAAdHmqzpLTmm', 'MB')
('SL22517-2022-11-01-3442','S144-10','QlbNjnQHFmx', 'MB')
('SL12058-2022-11-01-3378','S141-18','RcB', 'MB')
('SL22517-2022-11-02-3406','S142-22','dwhYxGhZaQ', 'UB')
('SL22517-2022-11-01-3449','S144-17','RfYB', 'LB')
('AC12058-2022-11-01-3413','A190-11','h', 'SL')
('AC12058-2022-11-01-3414','A190-12','pPFLdJ', 'SU')
('SL22517-2022-11-02-3415','S143-7','LuuWTcLQqO', 'SL')
('AC12058-2022-11-01-3426','A191-6','abcH', 'SU')
('SL04652-2022-11-02-3531','S148-3','JBnJnOI', 'UB')
('AC12058-2022-11-01-3428','A191-8','XR', 'LB')
('AC22517-2022-11-01-3551','A198-5','UrohnVjV', 'SL')
('AC04652-2022-11-02-3462','A193-6','dj', 'SU')
('SL04652-2022-11-02-3539','S148-11','dxpMGsTSwoqGo', 'UB')
('SL12058-2022-11-01-3399','S142-15','rrhFalMe', 'SL')
('SL22517-2022-11-02-3428','S143-20','Dent', 'LB')
('AC22517-2022-11-02-3502','A195-10','guLlvhzbDTOSioZn', 'UB')
('AC04652-2022-11-01-3631','A202-13','rM', 'LB')
('AC22517-2022-11-01-3566','A199-2','kCgGGKeGtoLqI', 'LB')
('AC22517-2022-11-02-3504','A195-12','aYKHxousT', 'SU')
('SL04652-2022-11-01-3491','S146-11','pIeZLJVYomuHBEu', 'UB')
('AC12058-2022-11-01-3463','A193-7','hsDytdz', 'LB')
('SL04652-2022-11-01-3500','S146-20','uqvWfwDXV', 'LB')
('SL22517-2022-11-02-3465','S145-9','KZDbQ', 'LB')
('AC12058-2022-11-01-3487','A194-13','CJsWaXRdcsblcYt', 'LB')
('SL22517-2022-11-02-3475','S145-19','adAySNha', 'UB')
('AC22517-2022-11-02-3566','A199-2','jhalURcAGaEjlz', 'LB')
('SL04652-2022-11-02-3606','S151-6','CQDkRoHP', 'UB')
('SL04652-2022-11-02-3612','S151-12','CdIvO', 'LB')
('AC22517-2022-11-02-3574','A199-10','fYRQIScWssiOnT', 'UB')
('AC22517-2022-11-02-3580','A199-16','JvspQiTDM', 'UB')
('AC22517-2022-11-01-3644','A203-8','QbqdRyjqwAe', 'LB')
('SL22517-2022-11-02-3504','S146-24','xWBCKr', 'SU')
