('AC04652-2022-11-02-7','A1-7','YTd', 'LB')
('SL12058-2022-11-01-268','S12-4','kFsZxcBiZzIgylai', 'LB')
('SL04652-2022-11-01-260','S11-20','ttZIPrHmqXYKCT', 'LB')
('AC04652-2022-11-02-266','A15-14','zIuEoKwpOy', 'LB')
('AC22517-2022-11-01-268','A15-16','bkl', 'UB')
('AC04652-2022-11-01-294','A17-6','ynYtYXRBtXqnAaA', 'SU')
('AC12058-2022-11-01-292','A17-4','lkqrceuXE', 'UB')
('AC04652-2022-11-01-296','A17-8','BpuR', 'LB')
('AC22517-2022-11-01-270','A15-18','aCyhxSuIwebpsk', 'SU')
('SL22517-2022-11-01-276','S12-12','XuTxdIijiZNcmc', 'LB')
('SL04652-2022-11-01-267','S12-3','EJgHSnMoNJ', 'UB')
('AC22517-2022-11-01-272','A16-2','ewWDEUSEUqi', 'LB')
('SL12058-2022-11-01-273','S12-9','SI', 'LB')
('SL22517-2022-11-02-285','S12-21','iVrue', 'MB')
('AC12058-2022-11-01-309','A18-3','xZjFwiplZChFcaBm', 'UB')
('SL22517-2022-11-02-287','S12-23','hTvePeseCyvBawOq', 'SL')
('AC04652-2022-11-02-353','A20-11','BNtjfRmipVOzltB', 'SL')
('SL12058-2022-11-01-362','S16-2','hciqVUZ', 'MB')
('AC12058-2022-11-01-500','A28-14','pqubhoE', 'LB')
('SL04652-2022-11-01-464','S20-8','TPqAXFSn', 'SU')
('AC22517-2022-11-02-514','A29-10','FTOKY', 'UB')
('AC04652-2022-11-02-488','A28-2','MYNyESLbDVCCJiG', 'LB')
('SL12058-2022-11-01-480','S20-24','MFyKPzUrg', 'SU')
('SL22517-2022-11-02-484','S21-4','RgGDX', 'LB')
('AC22517-2022-11-01-440','A25-8','BllGepgTUWkO', 'LB')
('AC12058-2022-11-01-524','A30-2','pVXo', 'LB')
('AC22517-2022-11-01-444','A25-12','LYHN', 'SU')
('AC12058-2022-11-01-526','A30-4','KLfll', 'UB')
('SL22517-2022-11-01-489','S21-9','skfQflKAAD', 'LB')
('SL04652-2022-11-02-459','S20-3','SqpJ', 'UB')
('AC22517-2022-11-02-538','A30-16','W', 'UB')
('SL04652-2022-11-02-468','S20-12','KIEl', 'LB')
('AC04652-2022-11-01-514','A29-10','cTs', 'UB')
('SL22517-2022-11-02-496','S21-16','d', 'SU')
('AC04652-2022-11-01-516','A29-12','NvMEl', 'SU')
('AC22517-2022-11-02-546','A31-6','JAKqlQ', 'SU')
('SL22517-2022-11-01-503','S21-23','OBhvBFbMZ', 'SL')
('AC22517-2022-11-02-549','A31-9','bhSHCtEzUCnKMRne', 'UB')
('AC22517-2022-11-02-550','A31-10','w', 'UB')
('AC04652-2022-11-01-521','A29-17','uKfUABngIgn', 'SL')
('AC12058-2022-11-01-549','A31-9','skvcdgppTwUyFeXD', 'UB')
('AC04652-2022-11-01-523','A30-1','H', 'LB')
('SL22517-2022-11-02-519','S22-15','ptjvhlnwZAtb', 'SL')
('SL04652-2022-11-01-524','S22-20','iDpNElVwgmQo', 'LB')
('AC22517-2022-11-02-584','A33-8','oMLTE', 'LB')
('AC04652-2022-11-02-542','A31-2','ChaUbgyeiUaZp', 'LB')
('SL22517-2022-11-01-537','S23-9','hE', 'LB')
('SL22517-2022-11-01-538','S23-10','xnVobvrIEZAyA', 'MB')
('SL04652-2022-11-01-531','S23-3','TEvVRVg', 'UB')
('SL04652-2022-11-02-502','S21-22','cznHOWoQexP', 'UB')
('AC04652-2022-11-01-550','A31-10','u', 'UB')
('SL12058-2022-11-01-540','S23-12','vljPbcCEvbSs', 'LB')
('SL22517-2022-11-01-547','S23-19','oWCEabExbJWm', 'UB')
('AC22517-2022-11-02-597','A34-3','GNoerNEXMncHl', 'UB')
('AC12058-2022-11-01-579','A33-3','l', 'UB')
('AC04652-2022-11-02-549','A31-9','GbBfLuVEDD', 'UB')
('AC22517-2022-11-01-495','A28-9','bmrcazDmnbxHWKY', 'UB')
('SL12058-2022-11-01-544','S23-16','hRfgbmNLLWEym', 'SU')
('SL22517-2022-11-01-555','S24-3','OptylGvmYhm', 'UB')
('AC22517-2022-11-02-603','A34-9','yAZtuZewsaqjW', 'UB')
('AC22517-2022-11-01-501','A28-15','EnRjDkrNOmgfM', 'UB')
('SL04652-2022-11-01-545','S23-17','ggXIN', 'LB')
('SL12058-2022-11-01-557','S24-5','uAngLtZUl', 'MB')
('SL12058-2022-11-01-558','S24-6','T', 'UB')
('AC22517-2022-11-02-612','A34-18','bimGtwRtnVIVfiKp', 'SU')
('AC22517-2022-11-02-613','A35-1','xmeERbWFrqIAeJz', 'LB')
('SL12058-2022-11-01-559','S24-7','PrtAzzAXsE', 'SL')
('AC22517-2022-11-01-508','A29-4','TIoAx', 'UB')
('AC04652-2022-11-01-566','A32-8','FYWCVwHjQcoZ', 'LB')
('SL04652-2022-11-02-518','S22-14','GXVl', 'UB')
('AC22517-2022-11-01-515','A29-11','Uempht', 'SL')
('AC22517-2022-11-01-516','A29-12','KKwKhrWFOjxNtxo', 'SU')
('SL04652-2022-11-02-519','S22-15','ZPQfwimhHT', 'SL')
('AC22517-2022-11-01-519','A29-15','EWbYmD', 'UB')
('AC22517-2022-11-01-528','A30-6','uwIoJfxke', 'SU')
('SL04652-2022-11-01-579','S25-3','NDUJoqAbJelf', 'UB')
('SL04652-2022-11-01-589','S25-13','raiImzQLZaykYbfr', 'MB')
('SL22517-2022-11-01-598','S25-22','yTGJto', 'UB')
('AC04652-2022-11-01-594','A33-18','Ht', 'SU')
('SL04652-2022-11-02-570','S24-18','KF', 'MB')
('SL22517-2022-11-02-606','S26-6','wkDrYZKdZ', 'UB')
('SL22517-2022-11-01-630','S27-6','azNJ', 'UB')
('SL04652-2022-11-02-573','S24-21','CGU', 'MB')
('SL04652-2022-11-01-624','S26-24','OIYzcotdqCTJE', 'SU')
('AC22517-2022-11-01-574','A32-16','gWTBPZXCnrKaWI', 'UB')
('SL22517-2022-11-02-610','S26-10','ysCAthlmWgnE', 'MB')
('AC22517-2022-11-02-658','A37-10','nFtImKnYj', 'UB')
('AC22517-2022-11-02-659','A37-11','knExdUNeP', 'SL')
('SL22517-2022-11-02-613','S26-13','pXHPqyBB', 'MB')
('AC04652-2022-11-01-628','A35-16','miirg', 'UB')
('AC04652-2022-11-02-629','A35-17','VvUushn', 'SL')
('SL12058-2022-11-01-619','S26-19','cNiKXDLq', 'UB')
('SL22517-2022-11-02-616','S26-16','Kssgda', 'SU')
('SL04652-2022-11-02-581','S25-5','QKSOdoLHbOhMOi', 'MB')
('AC04652-2022-11-02-634','A36-4','mbq', 'UB')
('AC04652-2022-11-01-632','A36-2','LDULsIvVskAvy', 'LB')
('AC04652-2022-11-02-635','A36-5','m', 'SL')
('SL04652-2022-11-02-585','S25-9','VLzPmiamfCzRevCm', 'LB')
('SL12058-2022-11-01-625','S27-1','KuoVAhTRi', 'LB')
('SL12058-2022-11-01-626','S27-2','ueIEzzZRMbuUz', 'MB')
('AC22517-2022-11-02-671','A38-5','CBPYuVUzwDkEHMnx', 'SL')
('AC04652-2022-11-01-637','A36-7','YcgFXSNFWD', 'LB')
('AC12058-2022-11-01-652','A37-4','iMDwZhdmSXjuDCYq', 'UB')
('AC04652-2022-11-01-639','A36-9','NcDIkofHn', 'UB')
('SL04652-2022-11-02-587','S25-11','BF', 'UB')
('SL22517-2022-11-02-625','S27-1','KZyQXEwwFBr', 'LB')
('AC04652-2022-11-02-645','A36-15','WthyoCfAx', 'UB')
('AC22517-2022-11-02-693','A39-9','EfbBbOpWxgSYj', 'UB')
('SL04652-2022-11-02-611','S26-11','Zutl', 'UB')
('AC04652-2022-11-01-650','A37-2','dksZpzYNZFcTbZS', 'LB')
('SL04652-2022-11-01-654','S28-6','bNv', 'UB')
('AC22517-2022-11-02-695','A39-11','MofcS', 'SL')
('SL22517-2022-11-02-650','S28-2','OvCDIcVwZ', 'MB')
('SL04652-2022-11-01-656','S28-8','awjGggs', 'SU')
('SL22517-2022-11-02-653','S28-5','LyLCkwJqmFjtm', 'MB')
('AC22517-2022-11-02-701','A39-17','Lrt', 'SL')
('SL12058-2022-11-01-656','S28-8','TFuXYyhiU', 'SU')
('AC22517-2022-11-01-615','A35-3','YCOzFdTHF', 'UB')
('AC22517-2022-11-02-705','A40-3','iqPowGptgLk', 'UB')
('SL12058-2022-11-01-662','S28-14','dKjLRvvTEj', 'UB')
('SL22517-2022-11-02-659','S28-11','DdjBMuTWvmUtsUOn', 'UB')
('SL12058-2022-11-01-665','S28-17','GOKYih', 'LB')
('SL04652-2022-11-02-630','S27-6','QeVnOjwFtOBSN', 'UB')
('SL12058-2022-11-01-668','S28-20','VxRWcfiqDss', 'LB')
('SL22517-2022-11-02-664','S28-16','NVFqi', 'SU')
('AC22517-2022-11-01-623','A35-11','CjNcwVxz', 'SL')
('AC04652-2022-11-01-666','A37-18','MvJyPwLLIEzmkH', 'SU')
('SL04652-2022-11-02-636','S27-12','UEMkxCVLfifyS', 'LB')
('AC12058-2022-11-01-688','A39-4','EwyXCEM', 'UB')
('SL12058-2022-11-01-679','S29-7','ApgDDGIBH', 'SL')
('SL04652-2022-11-02-640','S27-16','truwgUcuqFPFeoUr', 'SU')
('AC22517-2022-11-01-626','A35-14','EDyBbuHqdqLfjKUc', 'LB')
('SL12058-2022-11-01-682','S29-10','xHjlBlhW', 'MB')
('SL22517-2022-11-01-688','S29-16','O', 'SU')
('SL22517-2022-11-01-690','S29-18','TIqmwQYVGjCUD', 'MB')
('SL04652-2022-11-02-652','S28-4','C', 'LB')
('SL22517-2022-11-02-679','S29-7','T', 'SL')
('SL04652-2022-11-01-691','S29-19','peUMUuZhGPYK', 'UB')
('SL12058-2022-11-01-698','S30-2','UkSS', 'MB')
('AC12058-2022-11-01-703','A40-1','YMPeT', 'LB')
('AC22517-2022-11-01-647','A36-17','XcF', 'SL')
('AC12058-2022-11-01-704','A40-2','XCpl', 'LB')
('SL04652-2022-11-02-668','S28-20','pxIYpNiRdZP', 'LB')
('AC22517-2022-11-01-690','A39-6','RDWivAHoC', 'SU')
('SL04652-2022-11-02-704','S30-8','WCcWZujdg', 'SU')
('AC04652-2022-11-02-726','A41-6','GIvMqOTndWwFFjv', 'SU')
('SL04652-2022-11-01-737','S31-17','e', 'LB')
('AC22517-2022-11-02-770','A43-14','WyZjEVsmLAHh', 'LB')
('SL22517-2022-11-01-747','S32-3','QsMhjXmBxLKKBq', 'UB')
('AC22517-2022-11-02-771','A43-15','coFsFwzabRcE', 'UB')
('AC04652-2022-11-01-735','A41-15','dIVLinNGjOIv', 'UB')
('AC12058-2022-11-01-745','A42-7','ZWDPAgjxBxOIV', 'LB')
('AC22517-2022-11-02-792','A44-18','Tk', 'SU')
('AC22517-2022-11-01-709','A40-7','HhVhkkFXKyhn', 'LB')
('AC22517-2022-11-01-710','A40-8','zIIpytiYm', 'LB')
('SL22517-2022-11-01-763','S32-19','PHnhQDNdcJjAFmhR', 'UB')
('SL04652-2022-11-02-726','S31-6','VJrSKLqUYeLIIJV', 'UB')
('SL04652-2022-11-01-768','S32-24','GHhLsohyivyG', 'SU')
('AC22517-2022-11-01-727','A41-7','bLqSrSwHTaGDA', 'LB')
('SL04652-2022-11-01-770','S33-2','NVHoPqgqL', 'MB')
('SL04652-2022-11-01-771','S33-3','zEMlXRgCmTUuUQkX', 'UB')
('AC04652-2022-11-01-759','A43-3','tiDjh', 'UB')
('SL22517-2022-11-01-782','S33-14','MNbyj', 'UB')
('AC22517-2022-11-02-809','A45-17','EcQnxB', 'SL')
('AC22517-2022-11-01-733','A41-13','Rng', 'LB')
('SL22517-2022-11-02-778','S33-10','nzjjwGP', 'MB')
('SL22517-2022-11-02-779','S33-11','wvX', 'UB')
('SL04652-2022-11-01-801','S34-9','GHvPkfg', 'LB')
('SL12058-2022-11-01-824','S35-8','BbDS', 'SU')
('SL04652-2022-11-01-808','S34-16','xFVpAPDsvILpETP', 'SU')
('SL04652-2022-11-02-770','S33-2','zMzXcOBLFJJk', 'MB')
('AC04652-2022-11-01-822','A46-12','UnmNn', 'SU')
('SL12058-2022-11-01-835','S35-19','GbSp', 'UB')
('SL22517-2022-11-02-833','S35-17','sfhtKbCnE', 'LB')
('AC12058-2022-11-01-834','A47-6','DPfXP', 'SU')
('SL04652-2022-11-01-822','S35-6','merfwzPiYlCsVc', 'UB')
('SL12058-2022-11-01-839','S35-23','ENIaWpAdUjTlqxdA', 'SL')
('AC22517-2022-11-02-869','A49-5','jREypIwPiMAQuCNv', 'SL')
('SL12058-2022-11-01-840','S35-24','DxWpaqZoxCCE', 'SU')
('AC12058-2022-11-01-835','A47-7','EJgAVjVEFl', 'LB')
('SL22517-2022-11-02-835','S35-19','pFne', 'UB')
('SL22517-2022-11-02-836','S35-20','lvjYrDemiNrBdWDX', 'LB')
('SL12058-2022-11-01-843','S36-3','VydpLRqcCycq', 'UB')
('SL04652-2022-11-02-789','S33-21','mhNhXOhJffqudQL', 'MB')
('SL22517-2022-11-01-837','S35-21','con', 'MB')
('AC04652-2022-11-02-816','A46-6','KtSKnLen', 'SU')
('SL22517-2022-11-01-838','S35-22','PgzrM', 'UB')
('SL22517-2022-11-02-841','S36-1','UrPepAUOrZkmfma', 'LB')
('SL04652-2022-11-02-794','S34-2','Sv', 'MB')
('SL22517-2022-11-01-841','S36-1','fmryhGHwU', 'LB')
('AC12058-2022-11-01-845','A47-17','KayWCXwGcSbuaT', 'SL')
('SL04652-2022-11-01-835','S35-19','aQvRVWyHLnKBulV', 'UB')
('SL12058-2022-11-01-855','S36-15','liSz', 'SL')
('AC22517-2022-11-02-887','A50-5','Mk', 'SL')
('AC04652-2022-11-02-836','A47-8','JrVnMHDnF', 'LB')
('AC04652-2022-11-01-856','A48-10','BuUaW', 'UB')
('SL12058-2022-11-01-871','S37-7','cxPo', 'SL')
('SL22517-2022-11-02-860','S36-20','hPjyZCImk', 'LB')
('SL04652-2022-11-02-818','S35-2','YtWJJnS', 'MB')
('SL12058-2022-11-01-877','S37-13','XPojYTmeJDnfg', 'MB')
('SL22517-2022-11-02-865','S37-1','DJjTvMlnqgKLRvMb', 'LB')
('AC12058-2022-11-01-872','A49-8','PdAiQ', 'LB')
('SL12058-2022-11-01-885','S37-21','eaXRJDzk', 'MB')
('SL04652-2022-11-01-858','S36-18','lxWTsOEg', 'MB')
('SL04652-2022-11-01-891','S38-3','uRptJH', 'UB')
('AC22517-2022-11-01-859','A48-13','uvgRxGsJe', 'LB')
('SL04652-2022-11-02-862','S36-22','FZTtdFKPTQOR', 'UB')
('AC22517-2022-11-01-863','A48-17','yqcI', 'SL')
('SL12058-2022-11-01-930','S39-18','mpaQ', 'MB')
('SL04652-2022-11-01-898','S38-10','rQqufOoQ', 'MB')
('AC04652-2022-11-02-893','A50-11','WC', 'SL')
('AC04652-2022-11-02-895','A50-13','Xhp', 'LB')
('SL12058-2022-11-01-935','S39-23','EWvUCkSBHnujyG', 'SL')
('SL22517-2022-11-01-912','S38-24','MhctMOGaJ', 'SU')
('SL12058-2022-11-01-937','S40-1','rIqcQqXiQleXJt', 'LB')
('AC22517-2022-11-02-956','A54-2','LvCumUtrztUXQlw', 'LB')
('SL12058-2022-11-01-939','S40-3','iQ', 'UB')
('SL22517-2022-11-02-929','S39-17','AkJ', 'LB')
('SL04652-2022-11-01-945','S40-9','LfepebHtRUUZM', 'LB')
('SL12058-2022-11-01-980','S41-20','fnBb', 'LB')
('SL04652-2022-11-02-912','S38-24','nkrghucXRY', 'SU')
('AC22517-2022-11-02-1005','A56-15','jKjDJ', 'UB')
('AC04652-2022-11-02-937','A53-1','DVRkuOgpBVD', 'LB')
('SL22517-2022-11-01-969','S41-9','LqYVuYCgKIGgddXb', 'LB')
('AC04652-2022-11-02-944','A53-8','INoNEb', 'LB')
('SL22517-2022-11-02-1044','S44-12','ZrV', 'LB')
('SL22517-2022-11-01-1015','S43-7','OSdYvwAOrAea', 'SL')
('AC22517-2022-11-02-1054','A59-10','mST', 'UB')
('AC04652-2022-11-01-1023','A57-15','KskKXvCxYhP', 'UB')
('SL12058-2022-11-01-1031','S43-23','wxFJBeUzy', 'SL')
('AC04652-2022-11-01-1024','A57-16','GqcqNPzMT', 'UB')
('SL12058-2022-11-01-1032','S43-24','EfdZnY', 'SU')
('AC22517-2022-11-02-1061','A59-17','CYQ', 'SL')
('SL04652-2022-11-02-963','S41-3','Oa', 'UB')
('SL22517-2022-11-01-1030','S43-22','mK', 'UB')
('SL22517-2022-11-02-1110','S47-6','NfuwqlZvjCKLdXcN', 'UB')
('AC04652-2022-11-02-1045','A59-1','VuLHESvIToQ', 'LB')
('AC22517-2022-11-02-1101','A62-3','KNEYwRqIrrR', 'UB')
('AC22517-2022-11-02-1102','A62-4','GgpTryOpXANJb', 'UB')
('AC12058-2022-11-01-1061','A59-17','OvRQxXeTyRFXZaD', 'SL')
('AC22517-2022-11-02-1105','A62-7','oHXQpoEsEqPS', 'LB')
('AC12058-2022-11-01-1067','A60-5','ByaxQLsUSq', 'SL')
('SL04652-2022-11-02-1031','S43-23','YLmCkzNtMR', 'SL')
('AC04652-2022-11-02-1054','A59-10','lqCNtP', 'UB')
('SL22517-2022-11-02-1116','S47-12','kVNqzMKmP', 'LB')
('AC22517-2022-11-02-1110','A62-12','gBIPMCKMuaHLb', 'SU')
('SL04652-2022-11-01-1078','S45-22','MCCrq', 'UB')
('AC04652-2022-11-01-1089','A61-9','YleQZZUhu', 'UB')
('SL22517-2022-11-02-1120','S47-16','iAqfk', 'SU')
('AC22517-2022-11-01-1062','A59-18','UIcveeVoiaJWnF', 'SU')
('AC04652-2022-11-01-1096','A61-16','RtfadVNw', 'UB')
('AC04652-2022-11-01-1106','A62-8','JMfjvksCjBacwf', 'LB')
('AC22517-2022-11-01-1077','A60-15','rhhJn', 'UB')
('AC22517-2022-11-02-1121','A63-5','ObCbOdyP', 'SL')
('SL22517-2022-11-01-1093','S46-13','LepSrLlTRxtzYU', 'MB')
('SL22517-2022-11-01-1094','S46-14','BtXFQjaeoUH', 'UB')
('AC22517-2022-11-02-1123','A63-7','yVU', 'LB')
('AC22517-2022-11-01-1080','A60-18','pdGoHWQfffhLZWg', 'SU')
('AC04652-2022-11-02-1071','A60-9','zVFf', 'UB')
('AC22517-2022-11-01-1083','A61-3','VzeW', 'UB')
('AC04652-2022-11-01-1116','A62-18','PeJQKPicItW', 'SU')
('AC22517-2022-11-01-1086','A61-6','CFcCstXEfb', 'SU')
('AC04652-2022-11-02-1090','A61-10','TLyy', 'UB')
('SL12058-2022-11-01-1101','S46-21','IeAXY', 'MB')
('AC22517-2022-11-02-1137','A64-3','aDcwTefc', 'UB')
('SL04652-2022-11-01-1112','S47-8','tpUpqqtdHidB', 'SU')
('AC04652-2022-11-01-1127','A63-11','scnQyW', 'SL')
('AC22517-2022-11-01-1095','A61-15','rAbsMlEGOFldhIFq', 'UB')
('SL04652-2022-11-02-1082','S46-2','H', 'MB')
('AC04652-2022-11-02-1095','A61-15','iHaqpnX', 'UB')
('SL22517-2022-11-02-1153','S49-1','rdEwrMANJWUmckIr', 'LB')
('SL04652-2022-11-01-1118','S47-14','YtvjNl', 'UB')
('AC22517-2022-11-02-1143','A64-9','Xhxxf', 'UB')
('SL22517-2022-11-02-1157','S49-5','kbgjWgHYBADQsv', 'MB')
('SL22517-2022-11-02-1158','S49-6','WhqpOtwWFqnju', 'UB')
('SL22517-2022-11-02-1159','S49-7','hwOsCp', 'SL')
('AC22517-2022-11-02-1151','A64-17','kmNLUzgIcz', 'SL')
('SL04652-2022-11-01-1134','S48-6','e', 'UB')
('AC22517-2022-11-01-1113','A62-15','CTIVtX', 'UB')
('SL12058-2022-11-01-1116','S47-12','MU', 'LB')
('SL22517-2022-11-01-1137','S48-9','UTwjxPmoKbe', 'LB')
('SL04652-2022-11-02-1100','S46-20','BJkYBEV', 'LB')
('AC04652-2022-11-02-1116','A62-18','CURfWRuDyZf', 'SU')
('AC04652-2022-11-02-1118','A63-2','tfFsuqT', 'LB')
('AC22517-2022-11-01-1124','A63-8','uGMzaOvEyjFEiidb', 'LB')
('SL22517-2022-11-01-1145','S48-17','jBEnAyWPqtH', 'LB')
('SL04652-2022-11-02-1112','S47-8','g', 'SU')
('AC04652-2022-11-01-1164','A65-12','Fs', 'SU')
('SL22517-2022-11-01-1154','S49-2','R', 'MB')
('AC22517-2022-11-01-1136','A64-2','nSrs', 'LB')
('AC22517-2022-11-02-1181','A66-11','kYYb', 'SL')
('SL22517-2022-11-02-1194','S50-18','OWuSKTuKm', 'MB')
('AC22517-2022-11-02-1185','A66-15','vVSocfMA', 'UB')
('AC22517-2022-11-02-1186','A66-16','pebSQadwP', 'UB')
('SL12058-2022-11-01-1145','S48-17','SwHSUrCsRtFYWzFl', 'LB')
('AC04652-2022-11-02-1139','A64-5','zssq', 'SL')
('AC22517-2022-11-02-1189','A67-1','rRoxTzX', 'LB')
('AC22517-2022-11-02-1190','A67-2','Lnmb', 'LB')
('SL04652-2022-11-01-1162','S49-10','IcfNzbZF', 'MB')
('SL12058-2022-11-01-1150','S48-22','tCpzYMd', 'UB')
('SL04652-2022-11-02-1127','S47-23','aNPulKu', 'SL')
('AC12058-2022-11-01-1151','A64-17','Wxm', 'SL')
('SL22517-2022-11-01-1177','S50-1','FNYLHKrLYinnKh', 'LB')
('AC04652-2022-11-01-1193','A67-5','YyOKmgHJeRvfBk', 'SL')
('SL12058-2022-11-01-1161','S49-9','wTKxgcQqUQCrgOMv', 'LB')
('SL04652-2022-11-01-1175','S49-23','EJVqzFds', 'SL')
('SL04652-2022-11-02-1147','S48-19','FhiHBrESctjkKym', 'UB')
('SL22517-2022-11-02-1217','S51-17','RMjjmGzChHetQbBD', 'LB')
('SL22517-2022-11-01-1184','S50-8','EUHKBA', 'SU')
('SL22517-2022-11-01-1187','S50-11','GkrAECyTsq', 'UB')
('AC12058-2022-11-01-1171','A66-1','Y', 'LB')
('AC04652-2022-11-02-1164','A65-12','kVlYi', 'SU')
('AC04652-2022-11-01-1206','A67-18','BZxijrruZrfvWh', 'SU')
('AC04652-2022-11-01-1207','A68-1','PeypXYjbPahvfSTq', 'LB')
('SL04652-2022-11-02-1158','S49-6','m', 'UB')
('SL22517-2022-11-01-1196','S50-20','kxlOBHwd', 'LB')
('AC04652-2022-11-02-1171','A66-1','vl', 'LB')
('AC04652-2022-11-02-1172','A66-2','XxcYDsPaLVSe', 'LB')
('SL12058-2022-11-01-1178','S50-2','OdQzyXPoxDCn', 'MB')
('AC12058-2022-11-01-1184','A66-14','YbBXnvrKvOETgwd', 'LB')
('SL04652-2022-11-01-1191','S50-15','STclGeTY', 'SL')
('AC04652-2022-11-02-1184','A66-14','iTlfKkwQImYJ', 'LB')
('SL22517-2022-11-01-1214','S51-14','dsJ', 'UB')
('SL04652-2022-11-01-1208','S51-8','UYBVu', 'SU')
('SL04652-2022-11-01-1209','S51-9','dIkfHdcqwdnd', 'LB')
('AC04652-2022-11-02-1191','A67-3','USJ', 'UB')
('SL22517-2022-11-01-1220','S51-20','YSG', 'LB')
('SL04652-2022-11-01-1214','S51-14','RXsK', 'UB')
('SL22517-2022-11-01-1222','S51-22','jALqfpUOybxftFKn', 'UB')
('SL22517-2022-11-01-1225','S52-1','oiYjy', 'LB')
('AC12058-2022-11-01-1208','A68-2','xKjmtdbZKzOGszmQ', 'LB')
('SL22517-2022-11-02-1247','S52-23','jUrPifxWqnyhEQH', 'SL')
('AC04652-2022-11-02-1236','A69-12','Vtm', 'SU')
('SL22517-2022-11-02-1291','S54-19','ceoCc', 'UB')
('SL22517-2022-11-01-1269','S53-21','ZECxn', 'MB')
('AC12058-2022-11-01-1258','A70-16','gXVkq', 'UB')
('SL04652-2022-11-02-1233','S52-9','Th', 'LB')
