('AC22517-2022-11-01-2208','A123-12','JXszNdqMPowwP', 'SU')
('AC22517-2022-11-02-2287','A128-1','JwVNVfhRexExllLI', 'LB')
('AC04652-2022-11-02-2296','A128-10','gcGYbrbyQ', 'UB')
('SL12058-2022-11-01-2256','S94-24','zQiddjU', 'SU')
('SL04652-2022-11-02-2319','S97-15','R', 'SL')
('SL22517-2022-11-02-2303','S96-23','hkT', 'SL')
('AC12058-2022-11-01-2297','A128-11','kequesnSnxDpPG', 'SL')
('SL22517-2022-11-01-2361','S99-9','T', 'LB')
('AC22517-2022-11-01-2407','A134-13','bvzS', 'LB')
('SL04652-2022-11-02-2357','S99-5','zwXpNeQGYNMl', 'MB')
('AC22517-2022-11-02-2344','A131-4','YcxPOPkOrvr', 'UB')
('SL04652-2022-11-02-2359','S99-7','olGLZRZRMkXkv', 'SL')
('AC04652-2022-11-01-2473','A138-7','zNdXzLRj', 'LB')
('AC12058-2022-11-01-2347','A131-7','XYbnl', 'LB')
('SL22517-2022-11-01-2388','S100-12','XqFYpyS', 'LB')
('SL04652-2022-11-01-2351','S98-23','e', 'SL')
('AC22517-2022-11-02-2414','A135-2','VTuPgqVwnI', 'LB')
('SL12058-2022-11-01-2433','S102-9','qIoSSZZwHDJYrsz', 'LB')
('SL12058-2022-11-01-2436','S102-12','LRCyzoquUwoyGT', 'LB')
('AC22517-2022-11-02-2475','A138-9','oxpwUbtp', 'UB')
('SL12058-2022-11-01-2437','S102-13','xhTtJpIGEaysfs', 'MB')
('SL04652-2022-11-01-2451','S103-3','jjoKzradRe', 'UB')
('AC22517-2022-11-01-2538','A141-18','sAUMMLbeIoBcGPeV', 'SU')
('AC04652-2022-11-02-2497','A139-13','hqgzZhZl', 'LB')
('AC22517-2022-11-01-2542','A142-4','VCAhAhMywG', 'UB')
('AC22517-2022-11-01-2544','A142-6','RhtLQrQja', 'SU')
('SL22517-2022-11-02-2470','S103-22','AJKqAtOvaxGBpLLi', 'UB')
('SL22517-2022-11-01-2519','S105-23','hjHztJEDfrlYsWB', 'SL')
('SL22517-2022-11-01-2520','S105-24','XDRLX', 'SU')
('SL04652-2022-11-02-2510','S105-14','WfNBoGgwSkIF', 'UB')
('SL22517-2022-11-02-2478','S104-6','zeHNXCMdBEU', 'UB')
('SL04652-2022-11-02-2522','S106-2','GFKTRYDkwrHM', 'MB')
('AC04652-2022-11-02-2518','A140-16','JJCTuodWrJ', 'UB')
('SL22517-2022-11-01-2531','S106-11','Pj', 'UB')
('AC04652-2022-11-02-2524','A141-4','slYpj', 'UB')
('SL22517-2022-11-02-2485','S104-13','E', 'MB')
('AC12058-2022-11-01-2508','A140-6','qUWDKGtsKwlyQ', 'SU')
('SL22517-2022-11-02-2487','S104-15','suyivrHRM', 'SL')
('SL04652-2022-11-01-2481','S104-9','RDVuvFEddpIDhTY', 'LB')
('AC12058-2022-11-01-2514','A140-12','gnXweNWPHCrZDSbI', 'SU')
('SL22517-2022-11-01-2545','S107-1','MBEwCSQSQpgAYK', 'LB')
('SL04652-2022-11-02-2541','S106-21','EHwRO', 'MB')
('SL04652-2022-11-02-2544','S106-24','WXVoTMWiBpigwV', 'SU')
('SL12058-2022-11-01-2523','S106-3','rSWVcs', 'UB')
('SL04652-2022-11-01-2550','S107-6','iYsTYYgwbOwjK', 'UB')
('SL22517-2022-11-01-2600','S109-8','WaBRppcWIJMC', 'SU')
('AC04652-2022-11-01-2685','A150-3','MhEspz', 'UB')
('SL12058-2022-11-01-2539','S106-19','tB', 'UB')
('SL04652-2022-11-02-2604','S109-12','RYZsWMFpTyID', 'LB')
('SL12058-2022-11-01-2548','S107-4','ZWeXYNqZqBUjNMx', 'LB')
('SL22517-2022-11-02-2549','S107-5','yedTgso', 'MB')
('AC04652-2022-11-01-2695','A150-13','WxZdcZWPZsJ', 'LB')
('AC22517-2022-11-02-2581','A144-7','CEgcKuIuOXpd', 'LB')
('SL22517-2022-11-02-2556','S107-12','XE', 'LB')
('AC22517-2022-11-01-2643','A147-15','SfmmeFrXZxEut', 'UB')
('SL04652-2022-11-01-2565','S107-21','pbqKDSq', 'MB')
('SL12058-2022-11-01-2562','S107-18','hUCl', 'MB')
('AC12058-2022-11-01-2578','A144-4','HugzBLik', 'UB')
('SL04652-2022-11-02-2615','S109-23','oLsUvxKUPk', 'SL')
('SL12058-2022-11-01-2565','S107-21','HhXgtHrJGE', 'MB')
('SL04652-2022-11-01-2571','S108-3','ECClRnnQlEfSpe', 'UB')
('SL04652-2022-11-01-2572','S108-4','TEXLpd', 'LB')
('AC04652-2022-11-02-2612','A146-2','XgR', 'LB')
('AC04652-2022-11-02-2613','A146-3','KspQKaOtUOv', 'UB')
('AC22517-2022-11-01-2674','A149-10','sYVjMk', 'UB')
('SL22517-2022-11-01-2649','S111-9','jBKxW', 'LB')
('AC22517-2022-11-02-2627','A146-17','StzkFcJG', 'SL')
('SL04652-2022-11-01-2632','S110-16','hZhZuW', 'SU')
('SL12058-2022-11-01-2623','S110-7','CYsXZzcOXTR', 'SL')
('SL12058-2022-11-01-2625','S110-9','odrDClkTGV', 'LB')
('AC22517-2022-11-01-2715','A151-15','U', 'UB')
('AC22517-2022-11-02-2657','A148-11','oJGAFv', 'SL')
('SL04652-2022-11-01-2659','S111-19','XN', 'UB')
('AC12058-2022-11-01-2655','A148-9','eMG', 'UB')
('SL04652-2022-11-01-2665','S112-1','WZiU', 'LB')
('AC22517-2022-11-01-2747','A153-11','MGDFKaYykucTLWy', 'SL')
('AC04652-2022-11-02-2693','A150-11','ulbGOzlNPFyfY', 'SL')
('SL22517-2022-11-02-2650','S111-10','aQFwoSzGwnhLwqh', 'MB')
('AC04652-2022-11-02-2694','A150-12','vWajiXSoPaSL', 'SU')
('AC22517-2022-11-02-2692','A150-10','NtzzycwcRyXCwjJ', 'UB')
('AC04652-2022-11-01-2803','A156-13','uaKZKRaNjzMkpax', 'LB')
('SL04652-2022-11-01-2672','S112-8','gjtqvhXvJQXj', 'SU')
('SL12058-2022-11-01-2662','S111-22','xSWiysQQOgBrHa', 'UB')
('SL04652-2022-11-02-2752','S115-16','VqKYJZdzJue', 'SU')
('SL22517-2022-11-01-2768','S116-8','qu', 'SU')
('SL22517-2022-11-01-2773','S116-13','xZcDY', 'MB')
('AC12058-2022-11-01-2714','A151-14','fNpKnwYlphwyJ', 'LB')
('SL04652-2022-11-01-2723','S114-11','kkTaOQ', 'UB')
('SL12058-2022-11-01-2690','S113-2','MPmtnzwAs', 'MB')
('SL22517-2022-11-01-2778','S116-18','AmonEPW', 'MB')
('SL04652-2022-11-01-2726','S114-14','KEZrq', 'UB')
('SL12058-2022-11-01-2695','S113-7','qJbwPF', 'SL')
('AC04652-2022-11-01-2856','A159-12','RgOz', 'SU')
('AC12058-2022-11-01-2725','A152-7','sWdwBj', 'LB')
('AC04652-2022-11-01-2868','A160-6','AZYeSzxt', 'SU')
('SL22517-2022-11-01-2793','S117-9','MdyPzUTVbbVd', 'LB')
('AC12058-2022-11-01-2739','A153-3','dAiqUvLRyoReK', 'UB')
('SL22517-2022-11-01-2798','S117-14','qIWfhtdQ', 'UB')
('SL04652-2022-11-02-2796','S117-12','QECocdnoA', 'LB')
('AC22517-2022-11-02-2771','A154-17','CLFiuHso', 'SL')
('SL22517-2022-11-01-2800','S117-16','Jmrtjq', 'SU')
('SL04652-2022-11-01-2760','S115-24','uk', 'SU')
('SL22517-2022-11-02-2734','S114-22','nGhWoWCvujO', 'UB')
('SL04652-2022-11-01-2768','S116-8','e', 'SU')
('AC04652-2022-11-02-2788','A155-16','VsWrSBxT', 'UB')
('SL04652-2022-11-01-2771','S116-11','jmIz', 'UB')
('AC22517-2022-11-02-2789','A155-17','qDGvQwKQoplVdpU', 'SL')
('SL22517-2022-11-02-2753','S115-17','tpwFTtBtzGv', 'LB')
('AC22517-2022-11-01-2876','A160-14','UeuYSFhH', 'LB')
('AC22517-2022-11-02-2806','A156-16','KskgWkxcOSnNjsI', 'UB')
('AC22517-2022-11-02-2807','A156-17','EZmye', 'SL')
('AC22517-2022-11-02-2808','A156-18','vaJlubJzUzDajPzF', 'SU')
('SL22517-2022-11-01-2823','S118-15','jqvMLhD', 'SL')
('AC22517-2022-11-02-2863','A160-1','epKrBmlOP', 'LB')
('SL04652-2022-11-01-2845','S119-13','ObDYqOibJBmueQtB', 'MB')
('AC22517-2022-11-01-2924','A163-8','ADhhUbmWvC', 'LB')
('SL12058-2022-11-01-2779','S116-19','DTn', 'UB')
('SL22517-2022-11-02-2815','S118-7','smkAVvzkRtRmVct', 'SL')
('AC04652-2022-11-02-2846','A159-2','rFM', 'LB')
('AC04652-2022-11-02-2847','A159-3','PpEnc', 'UB')
('SL04652-2022-11-01-2941','S123-13','eqfGpoayb', 'MB')
('SL04652-2022-11-02-2988','S125-12','zbeWzGBJMqMeEBRR', 'LB')
('AC22517-2022-11-02-2943','A164-9','rQqv', 'UB')
('SL12058-2022-11-01-2870','S120-14','HQxefmN', 'UB')
('SL12058-2022-11-01-2874','S120-18','OmvyIshpbfoGH', 'MB')
('AC04652-2022-11-02-2936','A164-2','hxPxuEhOg', 'LB')
('SL22517-2022-11-02-2924','S122-20','xNZOdWSVrNUWWMnB', 'LB')
('SL22517-2022-11-01-2961','S124-9','RtOvmQ', 'LB')
('SL04652-2022-11-02-3002','S126-2','OyxGNAwf', 'MB')
('AC22517-2022-11-02-2989','A167-1','VinFBTleI', 'LB')
('SL12058-2022-11-01-2910','S122-6','jJvmaWyg', 'UB')
('AC22517-2022-11-01-3052','A170-10','aVFsnTUiMMCaq', 'UB')
('SL04652-2022-11-02-3029','S127-5','RKGuPry', 'MB')
('AC22517-2022-11-01-3063','A171-3','IHUuFw', 'UB')
('SL22517-2022-11-02-2967','S124-15','iM', 'SL')
('AC04652-2022-11-01-3115','A174-1','pCGRosyKaQRiBq', 'LB')
('AC12058-2022-11-01-2949','A164-15','DzsN', 'UB')
('SL04652-2022-11-02-3043','S127-19','gkyAJCpEomcyw', 'UB')
('SL22517-2022-11-01-3005','S126-5','TLhidgnorFZR', 'MB')
('SL04652-2022-11-02-3047','S127-23','GDIwGiklsFAbaGHa', 'SL')
('AC04652-2022-11-02-2995','A167-7','jBxL', 'LB')
('SL12058-2022-11-01-2933','S123-5','uw', 'MB')
('SL04652-2022-11-01-3006','S126-6','kzDdms', 'UB')
('AC12058-2022-11-01-2954','A165-2','SDBbNKpc', 'LB')
('SL12058-2022-11-01-2935','S123-7','VfWFXigdVkW', 'SL')
('AC22517-2022-11-02-3025','A169-1','HLIQRxhW', 'LB')
('AC04652-2022-11-02-3011','A168-5','fGwXCZFIQn', 'SL')
('SL22517-2022-11-01-3029','S127-5','MhtkFeEoKwgidz', 'MB')
('SL04652-2022-11-02-3068','S128-20','EcxFpVEwP', 'LB')
('SL12058-2022-11-01-2955','S124-3','MHbuGFsl', 'UB')
('SL22517-2022-11-01-3034','S127-10','hkjIThvcMrWcc', 'MB')
('SL22517-2022-11-01-3035','S127-11','gtRPxoJBJCq', 'UB')
('AC12058-2022-11-01-2975','A166-5','zpLTepnmgviI', 'SL')
('AC04652-2022-11-02-3025','A169-1','ZUR', 'LB')
('SL22517-2022-11-01-3039','S127-15','OmPcyaxIOHkDoNo', 'SL')
('SL04652-2022-11-02-3082','S129-10','bPiZ', 'MB')
('AC12058-2022-11-01-2979','A166-9','TOoChlgmxh', 'UB')
('SL12058-2022-11-01-2963','S124-11','TLSekgpUJDYXPOQ', 'UB')
('SL22517-2022-11-02-3003','S126-3','PQudXbQNa', 'UB')
('AC12058-2022-11-01-2982','A166-12','abbozMyRgIoLQ', 'SU')
('SL04652-2022-11-02-3086','S129-14','hM', 'UB')
('SL12058-2022-11-01-2968','S124-16','IdNeTJ', 'SU')
('AC22517-2022-11-02-3057','A170-15','OyOfJEWZpcaU', 'UB')
('SL22517-2022-11-02-3006','S126-6','ohEcEYk', 'UB')
('SL04652-2022-11-02-3094','S129-22','CJbVIPXemYdEb', 'UB')
('AC12058-2022-11-01-2991','A167-3','tMTXInZl', 'UB')
('AC12058-2022-11-01-2992','A167-4','GhYuSm', 'UB')
('SL12058-2022-11-01-2982','S125-6','JASEoyyL', 'UB')
('AC04652-2022-11-02-3044','A170-2','zwyTQLLrkOputk', 'LB')
('SL22517-2022-11-01-3056','S128-8','GBd', 'SU')
('SL04652-2022-11-01-3059','S128-11','PLaKJccNFTaQ', 'UB')
('SL22517-2022-11-02-3022','S126-22','jiU', 'UB')
('AC22517-2022-11-02-3074','A171-14','KiyqXyrrzUDQ', 'LB')
('AC22517-2022-11-01-3126','A174-12','rxBnTYMFTGIYmljI', 'SU')
('AC22517-2022-11-02-3085','A172-7','HY', 'LB')
('SL12058-2022-11-01-3050','S128-2','KVyGaozINpMTGLY', 'MB')
('AC04652-2022-11-01-3250','A181-10','pYYRw', 'UB')
('SL22517-2022-11-01-3120','S130-24','elbUUmbDRATL', 'SU')
('AC04652-2022-11-01-3263','A182-5','zAliZultsVjyIq', 'SL')
('AC12058-2022-11-01-3077','A171-17','hVEaWrCEVwsF', 'SL')
('SL22517-2022-11-02-3096','S129-24','aiHGPENnQnTeb', 'SU')
('SL04652-2022-11-02-3194','S134-2','xonFsW', 'MB')
('SL12058-2022-11-01-3068','S128-20','ZMHHQabLJDPKmeZ', 'LB')
('SL22517-2022-11-02-3126','S131-6','ReOmYcO', 'UB')
('AC22517-2022-11-02-3169','A177-1','fHQluFAVnIRse', 'LB')
('AC12058-2022-11-01-3111','A173-15','WO', 'UB')
('SL04652-2022-11-01-3170','S133-2','UWgNBQcgtdvg', 'MB')
('AC12058-2022-11-01-3113','A173-17','ZJBcnhoYEvLSpsj', 'SL')
('AC12058-2022-11-01-3117','A174-3','nzplhAIOAgCYNn', 'UB')
('AC22517-2022-11-01-3215','A179-11','uOkerMRiZEWsR', 'SL')
('AC22517-2022-11-01-3216','A179-12','lfYzX', 'SU')
('AC12058-2022-11-01-3118','A174-4','RVIHzWhyh', 'UB')
('SL04652-2022-11-02-3231','S135-15','FXIwncT', 'SL')
('SL04652-2022-11-02-3232','S135-16','ukKswrInMidrlflS', 'SU')
('AC22517-2022-11-01-3222','A179-18','qGNkamarpwZGHy', 'SU')
('SL22517-2022-11-01-3160','S132-16','DedZm', 'SU')
('AC04652-2022-11-02-3213','A179-9','BHWYShHpfHzcbc', 'UB')
('SL12058-2022-11-01-3142','S131-22','AIKRdvObclcwGl', 'UB')
('AC04652-2022-11-02-3238','A180-16','hGUGBOE', 'UB')
('AC22517-2022-11-01-3300','A184-6','SfF', 'SU')
('SL04652-2022-11-02-3308','S138-20','zcLgkLilh', 'LB')
('SL12058-2022-11-01-3181','S133-13','tM', 'MB')
('AC04652-2022-11-01-3384','A188-18','DAhjbLBosjPd', 'SU')
('AC22517-2022-11-01-3314','A185-2','em', 'LB')
('AC22517-2022-11-02-3261','A182-3','elKczWKSAJzIeDj', 'UB')
('SL12058-2022-11-01-3188','S133-20','OEntbBaOCZRKOd', 'LB')
('AC22517-2022-11-01-3361','A187-13','oSVVi', 'LB')
('SL22517-2022-11-02-3281','S137-17','WpsCKKtBrfViTbp', 'LB')
('AC22517-2022-11-01-3404','A190-2','VsU', 'LB')
('SL04652-2022-11-02-3387','S142-3','vxv', 'UB')
('AC04652-2022-11-01-3466','A193-10','sPkkTRRMsvNlvqHd', 'UB')
('SL22517-2022-11-01-3318','S139-6','hqnxewQsE', 'UB')
('AC22517-2022-11-02-3349','A187-1','MFElsH', 'LB')
('SL04652-2022-11-01-3333','S139-21','abMxYyYGrUXPBO', 'MB')
('SL04652-2022-11-02-3393','S142-9','uw', 'LB')
('SL22517-2022-11-02-3291','S138-3','JXITRmIRrTRo', 'UB')
('AC12058-2022-11-01-3293','A183-17','VwnIGnI', 'SL')
('AC04652-2022-11-02-3340','A186-10','ICEChOIzK', 'UB')
('AC22517-2022-11-02-3354','A187-6','AMgbSuikra', 'SU')
('SL12058-2022-11-01-3285','S137-21','PGHVqziISijauZzF', 'MB')
('SL12058-2022-11-01-3291','S138-3','Gouns', 'UB')
('SL12058-2022-11-01-3314','S139-2','mlHebPJN', 'MB')
('SL04652-2022-11-01-3383','S141-23','iFuzaeRGxaly', 'SL')
('SL22517-2022-11-02-3338','S140-2','NfLyIRftiDzbKElI', 'MB')
('AC22517-2022-11-01-3461','A193-5','PXEGggF', 'SL')
('SL04652-2022-11-02-3454','S144-22','gRmGgY', 'UB')
('AC04652-2022-11-02-3398','A189-14','WjqQY', 'LB')
('AC12058-2022-11-01-3355','A187-7','SBDYRZ', 'LB')
('SL22517-2022-11-02-3355','S140-19','SanEJbqXZYUF', 'UB')
('SL12058-2022-11-01-3331','S139-19','rSiPSkE', 'UB')
('SL12058-2022-11-01-3336','S139-24','MkYSHC', 'SU')
('AC04652-2022-11-01-3540','A197-12','IEgsJNuLDwWrX', 'SU')
('AC12058-2022-11-01-3363','A187-15','goNWLUIKVpG', 'UB')
('AC22517-2022-11-01-3485','A194-11','gd', 'SL')
('SL22517-2022-11-01-3389','S142-5','hhzFttH', 'MB')
('SL04652-2022-11-02-3472','S145-16','Md', 'SU')
('SL22517-2022-11-01-3430','S143-22','ESRSmOvYv', 'UB')
('SL04652-2022-11-01-3446','S144-14','YwiHsqDWAeWLw', 'UB')
('AC04652-2022-11-01-3588','A200-6','NeECyuBUXZMXPl', 'SU')
('AC12058-2022-11-01-3451','A192-13','iOeUWIug', 'LB')
('SL12058-2022-11-01-3412','S143-4','uGPzaAd', 'LB')
('SL12058-2022-11-01-3413','S143-5','umzYGLEvpuFkm', 'MB')
('AC22517-2022-11-01-3572','A199-8','cceoAkpWdxfhDJz', 'LB')
('AC04652-2022-11-02-3491','A194-17','JVM', 'SL')
('SL12058-2022-11-01-3443','S144-11','LqXbUkb', 'UB')
('SL12058-2022-11-01-3444','S144-12','fZz', 'LB')
('SL04652-2022-11-01-3522','S147-18','fCpULEkukIKYdu', 'MB')
('AC04652-2022-11-02-3524','A196-14','LUoLvSJosLQJU', 'LB')
('AC04652-2022-11-02-3525','A196-15','hiHJMqOjV', 'UB')
('SL04652-2022-11-02-3595','S150-19','uJpPeTSXcqDhz', 'UB')
('AC12058-2022-11-01-3507','A195-15','KCcaUppGnqaA', 'UB')
('AC22517-2022-11-01-3622','A202-4','bayjey', 'UB')
('AC22517-2022-11-01-3623','A202-5','GDLpjGwTC', 'SL')
('AC22517-2022-11-01-3625','A202-7','FPxjyWVfxVWXmkn', 'LB')
('AC04652-2022-11-01-3686','A205-14','cuFKgXcV', 'LB')
('AC22517-2022-11-01-3641','A203-5','fJD', 'SL')
('AC12058-2022-11-01-3540','A197-12','RRyutnMVmW', 'SU')
('SL22517-2022-11-02-3512','S147-8','FdpSkDhTq', 'SU')
('AC12058-2022-11-01-3546','A197-18','kUhlHh', 'SU')
('SL22517-2022-11-02-3518','S147-14','UokxSQ', 'UB')
('AC04652-2022-11-02-3567','A199-3','Eh', 'UB')
('SL22517-2022-11-01-3577','S150-1','ipbKBxQHwym', 'LB')
('SL12058-2022-11-01-3488','S146-8','cYODlSw', 'SU')
('AC04652-2022-11-02-3568','A199-4','oFgQGvqBHJtOHzFG', 'UB')
('AC22517-2022-11-02-3605','A201-5','rVEDYC', 'SL')
('SL22517-2022-11-01-3582','S150-6','kGMPziFutWhchx', 'UB')
('AC22517-2022-11-01-3669','A204-15','HeaFcPnqNu', 'UB')
('SL12058-2022-11-01-3500','S146-20','sQadxGhRfon', 'LB')
('AC22517-2022-11-02-3614','A201-14','g', 'LB')
('SL12058-2022-11-01-3503','S146-23','lFu', 'SL')
('SL22517-2022-11-01-3597','S150-21','vPYMtwX', 'MB')
('AC04652-2022-11-02-3591','A200-9','uSGvuDHqoEp', 'UB')
('SL04652-2022-11-01-3571','S149-19','sceOqLCNgPYd', 'UB')
('AC22517-2022-11-02-3626','A202-8','iPO', 'LB')
('AC12058-2022-11-01-3584','A200-2','ZCdUvpwDwMdCqe', 'LB')
('SL22517-2022-11-02-3544','S148-16','EeIGU', 'SU')
('SL04652-2022-11-02-3663','S153-15','dLqKssfgOI', 'SL')
('AC04652-2022-11-02-3601','A201-1','TpobvCJihEmXQ', 'LB')
('SL22517-2022-11-01-3612','S151-12','aKIHWzNvXJEKGM', 'LB')
('AC22517-2022-11-02-3648','A203-12','BQZOSJGJKRwWkWyd', 'SU')
('SL04652-2022-11-01-3595','S150-19','mTEv', 'UB')
('AC22517-2022-11-01-3704','A206-14','cQ', 'LB')
('AC04652-2022-11-02-3633','A202-15','EtcijJQsPkEjw', 'UB')
('SL12058-2022-11-01-3546','S148-18','dqthMmhy', 'MB')
('SL12058-2022-11-01-3547','S148-19','votOPOtsmsfsye', 'UB')
('SL04652-2022-11-01-3609','S151-9','LBWTzxdkM', 'LB')
('SL12058-2022-11-01-3552','S148-24','jlujPyGBUcxgPUZn', 'SU')
('SL04652-2022-11-02-3692','S154-20','VCBKrpIenYXw', 'LB')
('SL12058-2022-11-01-3553','S149-1','ToycXI', 'LB')
('SL04652-2022-11-02-3693','S154-21','Moc', 'MB')
('SL04652-2022-11-02-3710','S155-14','sXKMjUpw', 'UB')
('AC12058-2022-11-01-3643','A203-7','B', 'LB')
('AC12058-2022-11-01-3644','A203-8','oPvzQak', 'LB')
('AC22517-2022-11-02-3689','A205-17','k', 'SL')
('SL04652-2022-11-01-3624','S151-24','VQSfyQKqluGRfO', 'SU')
('SL22517-2022-11-01-3656','S153-8','ogtqgU', 'SU')
('AC04652-2022-11-01-3845','A214-11','axnEbvavkz', 'SL')
('AC12058-2022-11-01-3697','A206-7','byEXJI', 'LB')
('SL12058-2022-11-01-3614','S151-14','ZbzQZwYch', 'UB')
('SL04652-2022-11-01-3677','S154-5','VDhgJcLqmyzJnzMo', 'MB')
('AC12058-2022-11-01-3713','A207-5','KJhgDs', 'SL')
('SL22517-2022-11-02-3642','S152-18','yIItSkgGV', 'MB')
('AC22517-2022-11-01-3804','A212-6','IIVnkyyyycgRu', 'SU')
('SL12058-2022-11-01-3626','S152-2','dCcUO', 'MB')
('SL12058-2022-11-01-3627','S152-3','VTHHwwn', 'UB')
('AC12058-2022-11-01-3723','A207-15','QUKDhUV', 'UB')
('AC22517-2022-11-02-3757','A209-13','tiQNqxFlR', 'LB')
('SL22517-2022-11-02-3652','S153-4','eifiLpzrROMU', 'LB')
('AC12058-2022-11-01-3727','A208-1','nMjuiJfoVtRjtC', 'LB')
('AC04652-2022-11-01-3883','A216-13','AyHedoUPlcLVV', 'LB')
('SL12058-2022-11-01-3648','S152-24','LQdBTWyHcXJTDBkc', 'SU')
('AC22517-2022-11-01-3822','A213-6','GtxHxizUi', 'SU')
('SL04652-2022-11-01-3712','S155-16','rLfXswCj', 'SU')
('SL22517-2022-11-02-3664','S153-16','bEeMPVSNIKPBI', 'SU')
('SL12058-2022-11-01-3654','S153-6','qkpjaOqAS', 'UB')
('AC22517-2022-11-02-3769','A210-7','saGfGlQc', 'LB')
('SL12058-2022-11-01-3656','S153-8','fX', 'SU')
('AC04652-2022-11-02-3750','A209-6','mKHnXmwnL', 'SU')
('AC04652-2022-11-01-3901','A217-13','fRRLKxHyPEKmAzh', 'LB')
('SL22517-2022-11-02-3670','S153-22','dVtrECJuID', 'UB')
('SL22517-2022-11-02-3671','S153-23','lMLgP', 'SL')
('AC04652-2022-11-01-4077','A227-9','nCZjzawxJJVTYP', 'UB')
('AC04652-2022-11-02-3933','A219-9','IiCwykUmcehlhKw', 'UB')
('AC22517-2022-11-01-4005','A223-9','cFh', 'UB')
('AC04652-2022-11-01-4082','A227-14','IJpUkadBTfV', 'LB')
('SL04652-2022-11-02-3956','S165-20','Mg', 'LB')
('AC04652-2022-11-01-4085','A227-17','M', 'SL')
('AC04652-2022-11-01-4086','A227-18','ptz', 'SU')
('SL04652-2022-11-01-3887','S162-23','YuP', 'SL')
('SL04652-2022-11-02-3962','S166-2','fDqNjVkZKkV', 'MB')
('SL22517-2022-11-01-3914','S164-2','yHyGXGYTirIQW', 'MB')
('AC22517-2022-11-02-3935','A219-11','esrBFuYNFU', 'SL')
('AC22517-2022-11-01-4019','A224-5','DjtCYTBzyZhbHNi', 'SL')
('AC12058-2022-11-01-3948','A220-6','MJRNorRpOhojirA', 'SU')
('SL22517-2022-11-02-3849','S161-9','NwggyooM', 'LB')
('AC22517-2022-11-02-3941','A219-17','QbgdytGoConvJQ', 'SL')
('AC22517-2022-11-01-4023','A224-9','wne', 'UB')
('SL04652-2022-11-01-3900','S163-12','tQRJRtzSbq', 'LB')
('AC12058-2022-11-01-3951','A220-9','UvtylSzKW', 'UB')
('SL04652-2022-11-01-3901','S163-13','kc', 'MB')
('SL12058-2022-11-01-3822','S160-6','EY', 'UB')
('AC22517-2022-11-02-3947','A220-5','H', 'SL')
('SL12058-2022-11-01-3824','S160-8','YKITMbOuhDZH', 'SU')
('AC04652-2022-11-01-4168','A232-10','mgOkhk', 'UB')
('SL22517-2022-11-01-3980','S166-20','XRdwIW', 'LB')
('AC22517-2022-11-01-4074','A227-6','fN', 'SU')
('SL22517-2022-11-02-3925','S164-13','zGNWJbTFeva', 'MB')
('SL22517-2022-11-01-3992','S167-8','bRaRPViYzxJCd', 'SU')
('SL12058-2022-11-01-3938','S165-2','QiIbRyWzhppPplX', 'MB')
('AC12058-2022-11-01-4067','A226-17','KwRJAfIHVpPRXi', 'SL')
('SL22517-2022-11-02-3977','S166-17','TDWxGIzUcuYIS', 'LB')
('AC22517-2022-11-02-4068','A226-18','J', 'SU')
('AC04652-2022-11-01-4258','A237-10','tJzCXOynbiXuEJN', 'UB')
('SL04652-2022-11-02-4096','S171-16','GuYUiXR', 'SU')
('AC04652-2022-11-01-4265','A237-17','SmKXiO', 'SL')
('AC04652-2022-11-01-4271','A238-5','yQPady', 'SL')
