('SL04652-2022-11-01-4194','S175-18','MtgNXAfqzrogWU', 'MB')
('AC22517-2022-11-01-4437','A247-9','rffmNCnzqiZpYV', 'UB')
('SL12058-2022-11-01-4249','S178-1','c', 'LB')
('AC04652-2022-11-01-4541','A253-5','mFjC', 'SL')
('AC22517-2022-11-01-4440','A247-12','FfbGpeAVncSaZg', 'SU')
('AC04652-2022-11-02-4400','A245-8','izujNVqzBPWBiUa', 'LB')
('AC04652-2022-11-02-4401','A245-9','DReqdgK', 'UB')
('SL22517-2022-11-01-4329','S181-9','hLLWfsptnL', 'LB')
('SL12058-2022-11-01-4258','S178-10','GsOtT', 'MB')
('SL04652-2022-11-01-4315','S180-19','OgfF', 'UB')
('SL22517-2022-11-01-4334','S181-14','xdFH', 'UB')
('SL04652-2022-11-02-4398','S184-6','BJvOrfoZoh', 'UB')
('SL04652-2022-11-02-4400','S184-8','omaIWXrtZMey', 'SU')
('SL22517-2022-11-01-4366','S182-22','AOIvHFHM', 'UB')
('AC04652-2022-11-02-4437','A247-9','eIqEJKnBkBOgeX', 'UB')
('AC04652-2022-11-01-4582','A255-10','JQVoWzfRVphh', 'UB')
('AC04652-2022-11-01-4592','A256-2','MeTERCpoxQ', 'LB')
('AC04652-2022-11-01-4593','A256-3','CjX', 'UB')
('AC04652-2022-11-02-4459','A248-13','dfcTyZezSCquz', 'LB')
('AC12058-2022-11-01-4441','A247-13','PjdgsnzAdGoKL', 'LB')
('AC22517-2022-11-01-4492','A250-10','HJIjhqBEz', 'UB')
('AC22517-2022-11-01-4497','A250-15','pPaJfMwWyxFllHdx', 'UB')
('AC22517-2022-11-02-4444','A247-16','wYeVZH', 'UB')
('SL04652-2022-11-02-4425','S185-9','xrA', 'LB')
('SL12058-2022-11-01-4328','S181-8','ln', 'SU')
('SL12058-2022-11-01-4329','S181-9','EWifu', 'LB')
('SL12058-2022-11-01-4332','S181-12','XVXKdCBoasTuh', 'LB')
('AC22517-2022-11-01-4509','A251-9','wcBRFNBrARNnlj', 'UB')
('SL04652-2022-11-02-4450','S186-10','qLZnRVsztyJH', 'MB')
('AC22517-2022-11-02-4475','A249-11','jwBIICUHcwK', 'SL')
('SL22517-2022-11-02-4370','S183-2','bZuf', 'MB')
('AC04652-2022-11-02-4495','A250-13','KfEAaVJJmiq', 'LB')
('SL22517-2022-11-01-4415','S184-23','YbWkfJZWDYnAQ', 'SL')
('AC12058-2022-11-01-4485','A250-3','PCyTJZcapD', 'UB')
('AC22517-2022-11-02-4480','A249-16','o', 'UB')
('AC04652-2022-11-01-4643','A258-17','bonOinQqEP', 'SL')
('SL04652-2022-11-01-4407','S184-15','oc', 'SL')
('AC12058-2022-11-01-4496','A250-14','qIVyYf', 'LB')
('AC22517-2022-11-02-4519','A252-1','fWSJWmdifjiU', 'LB')
('AC04652-2022-11-02-4533','A252-15','WBw', 'UB')
('AC04652-2022-11-01-4687','A261-7','sPKPZgwEBWQD', 'LB')
('SL04652-2022-11-01-4442','S186-2','KuqsjwseNZTjk', 'MB')
('SL04652-2022-11-01-4443','S186-3','naFuT', 'UB')
('AC04652-2022-11-02-4538','A253-2','qQoDWkltQvvtB', 'LB')
('SL12058-2022-11-01-4394','S184-2','OLYWIWWkNpQBhp', 'MB')
('AC04652-2022-11-01-4693','A261-13','LCpk', 'LB')
('SL04652-2022-11-01-4448','S186-8','rvkmdXLQyONaFQeL', 'SU')
('AC22517-2022-11-02-4532','A252-14','loKgs', 'LB')
('SL04652-2022-11-02-4499','S188-11','yMaQjXxFO', 'UB')
('SL22517-2022-11-02-4427','S185-11','OXqzMBDRsQY', 'UB')
('SL22517-2022-11-01-4459','S186-19','YTomkE', 'UB')
('AC12058-2022-11-01-4533','A252-15','ITKxosB', 'UB')
('SL12058-2022-11-01-4409','S184-17','cpfEBiwojkTiMqmL', 'LB')
('SL22517-2022-11-01-4492','S188-4','HfFyhxg', 'LB')
('SL22517-2022-11-02-4451','S186-11','iRLjKBP', 'UB')
('AC04652-2022-11-01-4741','A264-7','SNIixQ', 'LB')
('AC04652-2022-11-01-4748','A264-14','rtzhCv', 'LB')
('SL12058-2022-11-01-4454','S186-14','LNYDAqdwnsiWkzRh', 'UB')
('SL04652-2022-11-01-4532','S189-20','bPfux', 'LB')
('AC04652-2022-11-01-4783','A266-13','uyZlLBhpeiLWtG', 'LB')
('AC22517-2022-11-01-4642','A258-16','w', 'UB')
('SL22517-2022-11-02-4498','S188-10','sQqnreDq', 'MB')
('AC22517-2022-11-01-4643','A258-17','lWeft', 'SL')
('SL04652-2022-11-02-4588','S192-4','LAEAfArjcaSa', 'LB')
('SL22517-2022-11-02-4502','S188-14','PHuUxeg', 'UB')
('AC12058-2022-11-01-4610','A257-2','dIDNxkeFCm', 'LB')
('SL04652-2022-11-02-4589','S192-5','kOxrKFvsiGh', 'MB')
('SL22517-2022-11-02-4505','S188-17','wcKxm', 'LB')
('AC12058-2022-11-01-4612','A257-4','ODkZnW', 'UB')
('AC22517-2022-11-02-4645','A259-1','uWBHTeKiN', 'LB')
('AC12058-2022-11-01-4615','A257-7','EUSQjmNX', 'LB')
('AC22517-2022-11-01-4651','A259-7','r', 'LB')
('AC04652-2022-11-02-4650','A259-6','udZDuIJeZ', 'SU')
('AC12058-2022-11-01-4643','A258-17','QwmooceDzuCNrA', 'SL')
('AC04652-2022-11-02-4675','A260-13','cebUpAaXBLL', 'LB')
('AC12058-2022-11-01-4672','A260-10','eui', 'UB')
('AC12058-2022-11-01-4675','A260-13','eFyWtRdycIVvk', 'LB')
('AC22517-2022-11-01-4702','A262-4','WbZzEDeQ', 'UB')
('SL04652-2022-11-01-4610','S193-2','YznOqHWkFSsG', 'MB')
('SL04652-2022-11-02-4655','S194-23','t', 'SL')
('AC22517-2022-11-02-4736','A264-2','zNeWcFrN', 'LB')
('SL04652-2022-11-02-4660','S195-4','VkcQ', 'LB')
('SL22517-2022-11-01-4616','S193-8','cL', 'SU')
('AC04652-2022-11-01-4890','A272-12','EQUOqbtbl', 'SU')
('SL04652-2022-11-01-4619','S193-11','ijy', 'UB')
('SL22517-2022-11-01-4621','S193-13','R', 'MB')
('SL12058-2022-11-01-4589','S192-5','YuOLeNqmr', 'MB')
('AC04652-2022-11-02-4703','A262-5','paZwcHZ', 'SL')
('AC12058-2022-11-01-4703','A262-5','FuKAD', 'SL')
('AC12058-2022-11-01-4704','A262-6','xgDczOsVM', 'SU')
('SL22517-2022-11-01-4658','S195-2','LgvnakYAZShzDISS', 'MB')
('SL22517-2022-11-02-4638','S194-6','sae', 'UB')
('AC04652-2022-11-01-4952','A276-2','ZwaAEaA', 'LB')
('SL22517-2022-11-02-4695','S196-15','PoFkYaVt', 'SL')
('AC22517-2022-11-02-4854','A270-12','qNicVzPXKfgTpn', 'SU')
('SL22517-2022-11-02-4713','S197-9','TktJJQByvNhi', 'LB')
('AC22517-2022-11-02-4869','A271-9','cEbI', 'UB')
('SL04652-2022-11-01-4810','S201-10','HtNNomgCcBCvv', 'MB')
('SL12058-2022-11-01-4760','S199-8','qimOakL', 'SU')
('SL04652-2022-11-02-4833','S202-9','f', 'LB')
('AC04652-2022-11-01-5107','A284-13','a', 'LB')
('SL12058-2022-11-01-4773','S199-21','BpnBsfdahFab', 'MB')
('AC12058-2022-11-01-4883','A272-5','oNNaBIdAdg', 'SL')
('SL22517-2022-11-02-4795','S200-19','cXKeYajjwI', 'UB')
('AC04652-2022-11-01-5115','A285-3','NROylmfgNrqsywF', 'UB')
('SL04652-2022-11-02-4848','S202-24','RJICNmD', 'SU')
('SL22517-2022-11-01-4853','S203-5','yHeCYYaLWYG', 'MB')
('AC04652-2022-11-02-4955','A276-5','mJu', 'SL')
('AC04652-2022-11-02-4958','A276-8','ooyCLAP', 'LB')
('AC22517-2022-11-02-4989','A278-3','JKAxUiHSScyuLARu', 'UB')
('AC04652-2022-11-02-4961','A276-11','dkFgRPoVUnaqEDDl', 'SL')
('AC22517-2022-11-01-4954','A276-4','HVQP', 'UB')
('AC22517-2022-11-01-4955','A276-5','vuJpZoTUefZzT', 'SL')
('SL12058-2022-11-01-4828','S202-4','WIgXsiDXvVwkpMaW', 'LB')
('AC22517-2022-11-02-4993','A278-7','KEuiszKI', 'LB')
('SL22517-2022-11-02-4865','S203-17','xs', 'LB')
('AC12058-2022-11-01-4949','A275-17','gIGkvrtQqZJW', 'SL')
('AC04652-2022-11-02-4980','A277-12','fFbBUtIl', 'SU')
('SL12058-2022-11-01-4843','S202-19','SJJMDvcfoxljoq', 'UB')
('SL04652-2022-11-02-4909','S205-13','qsnGeXTeAHKiVWy', 'MB')
('AC12058-2022-11-01-4953','A276-3','hzMrdAzHS', 'UB')
('SL22517-2022-11-02-4869','S203-21','oyGKtk', 'MB')
('AC04652-2022-11-01-5183','A288-17','tTnjnsQvokt', 'SL')
('AC22517-2022-11-02-5009','A279-5','kCkUOYCEBrgHBa', 'SL')
('AC12058-2022-11-01-4960','A276-10','BjuAL', 'UB')
('AC22517-2022-11-01-4977','A277-9','xrlYniV', 'UB')
('SL04652-2022-11-02-4918','S205-22','ovOgMKkU', 'UB')
('AC22517-2022-11-02-5018','A279-14','zhFtpujZTvXuBsa', 'LB')
('AC22517-2022-11-02-5019','A279-15','ObirOgIAnXoUfZ', 'UB')
('SL22517-2022-11-02-4880','S204-8','WIDPleT', 'SU')
('AC04652-2022-11-02-5005','A279-1','KfuhLmqTAIds', 'LB')
('AC22517-2022-11-01-4996','A278-10','wOpXdOv', 'UB')
('SL12058-2022-11-01-4855','S203-7','xiPeBzdZd', 'SL')
('SL04652-2022-11-01-4917','S205-21','VEvinMNSubCVyxJ', 'MB')
('AC04652-2022-11-02-5026','A280-4','tXtlogIFs', 'UB')
('AC04652-2022-11-01-5225','A291-5','MTyVd', 'SL')
('AC22517-2022-11-01-5012','A279-8','vffZYNNsdJ', 'LB')
('AC12058-2022-11-01-4989','A278-3','DbSK', 'UB')
('SL04652-2022-11-01-4930','S206-10','dHzPTJ', 'MB')
('SL22517-2022-11-01-4904','S205-8','GvfKxPSWVVgctGOM', 'SU')
('SL04652-2022-11-01-4931','S206-11','FLxTVOSWPoo', 'UB')
('SL12058-2022-11-01-4876','S204-4','ALJjvAtuGMMl', 'LB')
('SL04652-2022-11-02-4946','S207-2','TBHfQr', 'MB')
('SL04652-2022-11-02-4947','S207-3','GCBJDnSeiFa', 'UB')
('SL22517-2022-11-01-4907','S205-11','VfULUHoHRqSIa', 'UB')
('SL04652-2022-11-01-4936','S206-16','YVtHUirNp', 'SU')
('AC22517-2022-11-02-5056','A281-16','vzbVtmkDdEfA', 'UB')
('AC04652-2022-11-02-5035','A280-13','SnzDqggfU', 'LB')
('SL12058-2022-11-01-4882','S204-10','BEu', 'MB')
('SL04652-2022-11-01-4939','S206-19','LplZOBPpuNvM', 'UB')
('SL12058-2022-11-01-4883','S204-11','Ii', 'UB')
('AC12058-2022-11-01-5001','A278-15','tqmdRTScSqw', 'UB')
('AC22517-2022-11-01-5025','A280-3','NziGqFWjIWRN', 'UB')
('SL22517-2022-11-01-4914','S205-18','uZX', 'MB')
('SL04652-2022-11-01-4941','S206-21','GDm', 'MB')
('AC22517-2022-11-02-5091','A283-15','bEaPgHKLLdGEiGT', 'UB')
('AC12058-2022-11-01-5025','A280-3','eRNesFogcvaWc', 'UB')
('SL04652-2022-11-02-5006','S209-14','PsmMWAbWigaR', 'UB')
('SL22517-2022-11-01-4956','S207-12','nDVJAck', 'LB')
('AC04652-2022-11-02-5097','A284-3','VFDwbGiff', 'UB')
('AC12058-2022-11-01-5042','A281-2','gOOCFelGtuHOq', 'LB')
('SL04652-2022-11-02-5021','S210-5','uz', 'MB')
('SL04652-2022-11-01-4994','S209-2','JmdMrPHBdhqRQwxT', 'MB')
('AC04652-2022-11-02-5114','A285-2','upg', 'LB')
('AC12058-2022-11-01-5056','A281-16','cVOXRsDOryqqSA', 'UB')
('SL04652-2022-11-02-5024','S210-8','IZYwEB', 'SU')
('SL12058-2022-11-01-4933','S206-13','EuFVSyDEmUzX', 'MB')
('SL22517-2022-11-01-4972','S208-4','xwaKt', 'LB')
('AC22517-2022-11-01-5086','A283-10','MGdsbYQwW', 'UB')
('SL22517-2022-11-01-4975','S208-7','xurn', 'SL')
('AC22517-2022-11-02-5137','A286-7','UUWwJoA', 'LB')
('AC12058-2022-11-01-5062','A282-4','nZTSNGjjsuss', 'UB')
('AC04652-2022-11-02-5124','A285-12','LAXUhTQZltuPaJp', 'SU')
('AC22517-2022-11-01-5097','A284-3','aOZvHQzWInO', 'UB')
('SL22517-2022-11-02-5052','S211-12','qPQX', 'LB')
('SL04652-2022-11-01-5054','S211-14','bArpihNmwed', 'UB')
('SL22517-2022-11-01-5027','S210-11','FCWEbQyMgeQzdgQ', 'UB')
('SL22517-2022-11-02-5059','S211-19','Rl', 'UB')
('SL04652-2022-11-02-5132','S214-20','ghwDSjsbhE', 'LB')
('SL04652-2022-11-01-5097','S213-9','vqmpFWXmEz', 'LB')
('AC04652-2022-11-02-5216','A290-14','HfKVvpDg', 'LB')
('SL12058-2022-11-01-5073','S212-9','C', 'LB')
('SL12058-2022-11-01-5074','S212-10','IUGFK', 'MB')
('AC22517-2022-11-02-5264','A293-8','eOShjAnBpSxO', 'LB')
('SL22517-2022-11-01-5114','S214-2','coWmlHf', 'MB')
('AC04652-2022-11-01-5449','A303-13','PpsVKWEfS', 'LB')
('AC04652-2022-11-02-5290','A294-16','DCeTAdIddsXfQhBc', 'UB')
('SL04652-2022-11-02-5218','S218-10','TZKioFZasWqEEnM', 'MB')
('AC22517-2022-11-01-5275','A294-1','BpKawkH', 'LB')
('AC22517-2022-11-01-5276','A294-2','iRgd', 'LB')
('AC12058-2022-11-01-5292','A294-18','ubbactqgaTnMhsZ', 'SU')
('AC04652-2022-11-01-5534','A308-8','IppJBxPmPkUZYK', 'LB')
('SL04652-2022-11-01-5213','S218-5','IIsIYaMzOEy', 'MB')
('SL04652-2022-11-02-5292','S221-12','OopVYbYcP', 'LB')
('SL04652-2022-11-01-5229','S218-21','vw', 'MB')
('AC22517-2022-11-01-5343','A297-15','MsxN', 'UB')
('AC22517-2022-11-01-5347','A298-1','eSMWZQzYoTZ', 'LB')
('SL12058-2022-11-01-5254','S219-22','hYdgCTnOhXx', 'UB')
('AC04652-2022-11-02-5424','A302-6','RPC', 'SU')
('AC04652-2022-11-02-5425','A302-7','FOLC', 'LB')
('AC22517-2022-11-02-5424','A302-6','QSrRTiMANUxejcqx', 'SU')
('AC04652-2022-11-02-5427','A302-9','d', 'UB')
('SL22517-2022-11-01-5274','S220-18','xtYWfB', 'MB')
('SL04652-2022-11-01-5330','S223-2','HkXRxvljRQT', 'MB')
('SL22517-2022-11-02-5356','S224-4','DNgxIwctJ', 'LB')
('AC12058-2022-11-01-5423','A302-5','ypbQOjwPwVH', 'SL')
('SL04652-2022-11-02-5385','S225-9','mkYViYRN', 'LB')
('SL22517-2022-11-02-5394','S225-18','lZljVMLINOf', 'MB')
('SL12058-2022-11-01-5333','S223-5','cpcuDah', 'MB')
('SL22517-2022-11-02-5396','S225-20','KbnEoFGfmajOo', 'LB')
('AC04652-2022-11-02-5514','A307-6','FBzxoytpCUM', 'SU')
('AC04652-2022-11-02-5516','A307-8','BXehztIvtUMGcfu', 'LB')
('SL04652-2022-11-02-5432','S227-8','VEX', 'SU')
('SL22517-2022-11-01-5361','S224-9','H', 'LB')
('AC04652-2022-11-02-5522','A307-14','LIY', 'LB')
('SL22517-2022-11-01-5363','S224-11','LrDTRfzLuPl', 'UB')
('AC22517-2022-11-02-5528','A308-2','P', 'LB')
('SL12058-2022-11-01-5345','S223-17','qbsQLok', 'LB')
('AC04652-2022-11-02-5525','A307-17','ksgYNYNvY', 'SL')
('SL22517-2022-11-02-5403','S226-3','CffacGrpBPUJTXyu', 'UB')
('SL12058-2022-11-01-5349','S223-21','dJlyezMSDi', 'MB')
('SL22517-2022-11-02-5406','S226-6','CwqIpcF', 'UB')
('SL04652-2022-11-01-5386','S225-10','JxKDIhZrIQYPCUuH', 'MB')
('SL04652-2022-11-01-5387','S225-11','aaTopfuOeU', 'UB')
('SL22517-2022-11-01-5385','S225-9','vbufSVUzzCWGRvl', 'LB')
('AC04652-2022-11-02-5546','A309-2','VblsbTJrhs', 'LB')
('AC22517-2022-11-02-5543','A308-17','HhTB', 'SL')
('AC04652-2022-11-01-5739','A319-15','FkMnnZwXdRtqpXU', 'UB')
('SL12058-2022-11-01-5370','S224-18','jRo', 'MB')
('SL04652-2022-11-01-5410','S226-10','gcGSYHagXXBE', 'MB')
('AC22517-2022-11-01-5563','A310-1','ouNFqWAAt', 'LB')
('AC04652-2022-11-02-5609','A312-11','qZFcmpE', 'SL')
('AC04652-2022-11-02-5610','A312-12','TcCBUBU', 'SU')
('AC22517-2022-11-01-5566','A310-4','RaAwRIobJwELuUa', 'UB')
('SL04652-2022-11-01-5472','S228-24','gt', 'SU')
('SL04652-2022-11-01-5473','S229-1','wClVFaBATLXn', 'LB')
('SL22517-2022-11-01-5454','S228-6','zfkbNqxcv', 'UB')
('AC22517-2022-11-01-5581','A311-1','UTKWPElrrHSXgH', 'LB')
('AC04652-2022-11-02-5633','A313-17','zdZqyEbJ', 'SL')
('AC22517-2022-11-02-5617','A313-1','Gc', 'LB')
('SL04652-2022-11-01-5491','S229-19','YjxUZkPMuKGT', 'UB')
('SL04652-2022-11-01-5492','S229-20','UjpTgEmtEG', 'LB')
('SL22517-2022-11-02-5512','S230-16','Jw', 'SU')
('SL22517-2022-11-02-5513','S230-17','cntAjHCSP', 'LB')
('SL12058-2022-11-01-5494','S229-22','watkzDQNv', 'UB')
('AC12058-2022-11-01-5643','A314-9','kJxxIMZeFukuBsG', 'UB')
('AC22517-2022-11-02-5661','A315-9','gzqyUlCp', 'UB')
('SL12058-2022-11-01-5498','S230-2','IglzkzOlAFmiecTF', 'MB')
('SL22517-2022-11-01-5514','S230-18','cFklWFOyBKQNse', 'MB')
('SL12058-2022-11-01-5500','S230-4','WgggdxkCEsdPJRN', 'LB')
('AC04652-2022-11-02-5691','A317-3','C', 'UB')
('SL12058-2022-11-01-5501','S230-5','oMmKXWG', 'MB')
('SL22517-2022-11-01-5515','S230-19','fcqmvRtgemRgO', 'UB')
('AC04652-2022-11-02-5697','A317-9','USn', 'UB')
('SL04652-2022-11-01-5543','S231-23','ZhjzsuVtXXek', 'SL')
('SL12058-2022-11-01-5529','S231-9','RzWLYSQTNzbRy', 'LB')
('SL22517-2022-11-02-5602','S234-10','bzgMZaI', 'MB')
('AC22517-2022-11-01-5689','A317-1','u', 'LB')
('SL04652-2022-11-01-5575','S233-7','PGMHnodsw', 'SL')
('SL22517-2022-11-01-5556','S232-12','cPs', 'LB')
('AC22517-2022-11-02-5719','A318-13','XROxUuJuScwFpe', 'LB')
('AC22517-2022-11-02-5720','A318-14','RJ', 'LB')
('SL04652-2022-11-02-5674','S237-10','EKU', 'MB')
('SL04652-2022-11-01-5628','S235-12','d', 'LB')
('AC04652-2022-11-02-5771','A321-11','Usepe', 'SL')
('AC22517-2022-11-01-5746','A320-4','crXugmzoPKveLiM', 'UB')
('AC04652-2022-11-02-5775','A321-15','yOABUSDk', 'UB')
('SL04652-2022-11-02-5682','S237-18','aJNjzvPtlppqgyYF', 'MB')
('SL04652-2022-11-01-5636','S235-20','WnFqNPYhFhk', 'LB')
('SL04652-2022-11-01-5638','S235-22','excsZHaPVUV', 'UB')
('SL22517-2022-11-02-5669','S237-5','aVkuVgnlbP', 'MB')
('SL04652-2022-11-02-5687','S237-23','afshBkJSXvWNkb', 'SL')
('SL04652-2022-11-02-5690','S238-2','qRtEEFeNlkEgF', 'MB')
('AC12058-2022-11-01-5739','A319-15','MFTbCEXJEaWPx', 'UB')
('AC04652-2022-11-02-5789','A322-11','wWf', 'SL')
('AC12058-2022-11-01-5746','A320-4','xOmBtQiF', 'UB')
('AC04652-2022-11-01-5966','A332-8','i', 'LB')
('AC22517-2022-11-01-5792','A322-14','JwtbNxpRdTE', 'LB')
('AC04652-2022-11-01-5996','A334-2','yTlVYFvCaliUgew', 'LB')
('SL22517-2022-11-01-5676','S237-12','qEQlr', 'LB')
('AC22517-2022-11-01-5832','A324-18','xEOGZZDxE', 'SU')
('SL04652-2022-11-01-5712','S238-24','JiXQXoztsoU', 'SU')
('AC22517-2022-11-02-5810','A323-14','r', 'LB')
('SL04652-2022-11-02-5770','S241-10','jsFZkEKGfnJL', 'MB')
('SL22517-2022-11-02-5762','S241-2','aiaYXkRtqctjcn', 'MB')
('AC22517-2022-11-01-5849','A325-17','BnWplUMBX', 'SL')
('SL22517-2022-11-02-5768','S241-8','XuQSPeLAtIswuA', 'SU')
('AC22517-2022-11-02-5839','A325-7','DGPiYvIuJRycQDs', 'LB')
('AC04652-2022-11-01-6081','A338-15','VpjSmTI', 'UB')
('AC04652-2022-11-02-5896','A328-10','PsAhvz', 'UB')
('SL12058-2022-11-01-5702','S238-14','eWkDj', 'UB')
('SL12058-2022-11-01-5705','S238-17','W', 'LB')
('SL04652-2022-11-02-5808','S242-24','rAYpw', 'SU')
('AC04652-2022-11-02-5906','A329-2','d', 'LB')
('SL12058-2022-11-01-5709','S238-21','WjvBeroxIggyVsqI', 'MB')
('SL22517-2022-11-02-5827','S243-19','RNCKArCPBYY', 'UB')
('AC22517-2022-11-02-5887','A328-1','vhdP', 'LB')
('SL22517-2022-11-02-5883','S246-3','RYdSfV', 'UB')
('SL04652-2022-11-02-5890','S246-10','GCBdRD', 'MB')
('SL22517-2022-11-01-5807','S242-23','QBMoAovxOdQ', 'SL')
('SL22517-2022-11-02-5887','S246-7','SsEmmqgfugl', 'SL')
('SL22517-2022-11-01-5836','S244-4','zDzjwDY', 'LB')
('AC22517-2022-11-02-5954','A331-14','HMPdOhSfGReoVXy', 'LB')
('SL12058-2022-11-01-5796','S242-12','UkfYWJvoCrux', 'LB')
('SL22517-2022-11-02-5916','S247-12','aOIlpEiDrmMTUDda', 'LB')
('AC12058-2022-11-01-5945','A331-5','AhncaZSlNW', 'SL')
('SL04652-2022-11-02-5937','S248-9','VVhIxvooLQYKXb', 'LB')
('AC04652-2022-11-02-6017','A335-5','NXjJuNXFBPGtO', 'SL')
('AC04652-2022-11-01-6204','A345-12','OQzOODMPT', 'SU')
('SL22517-2022-11-02-5940','S248-12','iRzla', 'LB')
('AC12058-2022-11-01-5977','A333-1','pmoIZAyRQEz', 'LB')
('AC04652-2022-11-02-6029','A335-17','MTNmZo', 'SL')
('SL04652-2022-11-02-5955','S249-3','HdMysFlbsZWu', 'UB')
('SL04652-2022-11-02-5958','S249-6','vFHOxYRtDUyQdDS', 'UB')
('AC04652-2022-11-01-6229','A347-1','HDW', 'LB')
('AC22517-2022-11-02-5990','A333-14','wRZ', 'LB')
('AC22517-2022-11-01-6006','A334-12','II', 'SU')
('SL22517-2022-11-01-5891','S246-11','CWyZCGgVhsvKT', 'UB')
('AC04652-2022-11-01-6263','A348-17','mKaEjHsussBXlSt', 'SL')
('SL04652-2022-11-02-6000','S250-24','CiGKkaYSvYxqByNj', 'SU')
('SL04652-2022-11-02-6001','S251-1','FCXLGWqV', 'LB')
('AC12058-2022-11-01-6031','A336-1','OI', 'LB')
('AC04652-2022-11-01-6271','A349-7','hCQaZw', 'LB')
('AC22517-2022-11-02-6035','A336-5','Kzxq', 'SL')
('SL04652-2022-11-01-5907','S247-3','XQDsRndNQVoEqp', 'UB')
('SL22517-2022-11-01-5918','S247-14','CijhHtHo', 'UB')
('AC12058-2022-11-01-6036','A336-6','lH', 'SU')
('AC22517-2022-11-02-6051','A337-3','wsBVBoXnidaKp', 'UB')
('SL22517-2022-11-02-6007','S251-7','PYksSVorJvVqOS', 'SL')
('SL22517-2022-11-01-5937','S248-9','MvRSTAoSGWngcGN', 'LB')
('AC22517-2022-11-02-6104','A340-2','w', 'LB')
('SL22517-2022-11-01-6000','S250-24','HslrRJM', 'SU')
('AC12058-2022-11-01-6119','A340-17','MJDhGoxAseI', 'SL')
('AC12058-2022-11-01-6120','A340-18','vblqpLrsFfgJo', 'SU')
('AC04652-2022-11-01-6397','A356-7','UyjHOgXCv', 'LB')
('AC04652-2022-11-01-6398','A356-8','tEKaOnRmW', 'LB')
('SL22517-2022-11-02-6106','S255-10','eoTzVsjLrE', 'MB')
('AC22517-2022-11-01-6154','A342-16','KQCb', 'UB')
('SL04652-2022-11-01-6023','S251-23','FDgkVVzBLvROI', 'SL')
('AC22517-2022-11-01-6159','A343-3','TsUUgRBz', 'UB')
('AC22517-2022-11-01-6161','A343-5','SZoRcZFDHsopKxv', 'SL')
('AC22517-2022-11-01-6163','A343-7','LVEYydtb', 'LB')
('SL22517-2022-11-02-6113','S255-17','hU', 'LB')
('AC04652-2022-11-02-6194','A345-2','ZXKGBvP', 'LB')
('SL04652-2022-11-01-6078','S254-6','JUZwor', 'UB')
('AC04652-2022-11-02-6238','A347-10','sQDQNgaGUb', 'UB')
('AC04652-2022-11-01-6460','A359-16','h', 'UB')
('AC04652-2022-11-01-6461','A359-17','CtHrMJsZQtIVmRn', 'SL')
('SL22517-2022-11-01-6087','S254-15','xqioSTWZK', 'SL')
('AC04652-2022-11-01-6485','A361-5','vcfYzXtwrMrCTfO', 'SL')
