('AC04652-2022-11-02-25','A2-7','LhDI', 'LB')
('SL04652-2022-11-01-127','S6-7','PikpTZLiIkdrMR', 'SL')
('AC12058-2022-11-01-140','A8-14','PKYhMQEcXaWJSx', 'LB')
('AC22517-2022-11-02-142','A8-16','adxLgPxegIIVnH', 'UB')
('AC22517-2022-11-02-143','A8-17','pMamnElAPnWD', 'SL')
('SL04652-2022-11-02-116','S5-20','AMeKjZw', 'LB')
('AC12058-2022-11-01-144','A8-18','csFf', 'SU')
('SL12058-2022-11-01-145','S7-1','cToN', 'LB')
('SL04652-2022-11-01-133','S6-13','GwmnYHrTfVoecLQq', 'MB')
('SL22517-2022-11-02-136','S6-16','JaQwW', 'SU')
('SL04652-2022-11-02-121','S6-1','YILKtWrHcclaOf', 'LB')
('AC22517-2022-11-02-150','A9-6','bDgyFCdO', 'SU')
('SL22517-2022-11-02-140','S6-20','CemNTBYtixX', 'LB')
('AC04652-2022-11-02-135','A8-9','PjRSW', 'UB')
('SL04652-2022-11-02-125','S6-5','NDzZIDbQfPZS', 'MB')
('SL04652-2022-11-02-133','S6-13','xSRi', 'MB')
('AC12058-2022-11-01-163','A10-1','p', 'LB')
('AC12058-2022-11-01-164','A10-2','vn', 'LB')
('AC04652-2022-11-02-151','A9-7','cyTcsmZhKwOcTGNS', 'LB')
('SL22517-2022-11-01-172','S8-4','pc', 'LB')
('AC12058-2022-11-01-172','A10-10','LLAdgmPsyzXZs', 'UB')
('AC04652-2022-11-01-160','A9-16','WCIPehgYmdRwO', 'UB')
('AC04652-2022-11-01-161','A9-17','DpWYJAUB', 'SL')
('SL22517-2022-11-02-175','S8-7','wybXjMIobtZO', 'SL')
('AC04652-2022-11-02-152','A9-8','l', 'LB')
('SL04652-2022-11-01-170','S8-2','bOasjtXl', 'MB')
('SL12058-2022-11-01-173','S8-5','VZp', 'MB')
('AC22517-2022-11-01-175','A10-13','IvEqTXfRQxyqkX', 'LB')
('AC12058-2022-11-01-181','A11-1','iUYPrvA', 'LB')
('SL04652-2022-11-02-146','S7-2','xHOhZivSU', 'MB')
('AC12058-2022-11-01-182','A11-2','Y', 'LB')
('SL22517-2022-11-02-178','S8-10','GrsgEOZlHr', 'MB')
('AC22517-2022-11-02-188','A11-8','VcTalLHYXmR', 'LB')
('AC04652-2022-11-02-171','A10-9','TICWrimcS', 'UB')
('SL04652-2022-11-01-190','S8-22','fXewy', 'UB')
('AC22517-2022-11-02-197','A11-17','r', 'SL')
('AC22517-2022-11-02-198','A11-18','vuPRikyvM', 'SU')
('AC04652-2022-11-02-196','A11-16','ddjiTm', 'UB')
('SL22517-2022-11-01-217','S10-1','sESrvjWqMhXq', 'LB')
('AC22517-2022-11-02-224','A13-8','JTiBFipHv', 'LB')
('SL04652-2022-11-02-190','S8-22','qbpkDx', 'UB')
('SL22517-2022-11-02-225','S10-9','ay', 'LB')
('SL22517-2022-11-02-227','S10-11','nhbPmLnfWijg', 'UB')
('AC12058-2022-11-01-224','A13-8','o', 'LB')
('AC04652-2022-11-02-206','A12-8','Qz', 'LB')
('SL04652-2022-11-01-218','S10-2','HYAWsMV', 'MB')
('AC22517-2022-11-01-226','A13-10','umSS', 'UB')
('AC04652-2022-11-01-239','A14-5','vQmYDcW', 'SL')
('SL22517-2022-11-01-236','S10-20','LaicJORIibcKOy', 'LB')
('AC22517-2022-11-01-229','A13-13','Gm', 'LB')
('SL04652-2022-11-02-200','S9-8','Q', 'SU')
('AC22517-2022-11-01-231','A13-15','PKp', 'UB')
('AC22517-2022-11-01-232','A13-16','Y', 'UB')
('SL04652-2022-11-02-204','S9-12','oMECWzFCWKHFpK', 'LB')
('SL12058-2022-11-01-231','S10-15','ljQ', 'SL')
('AC04652-2022-11-01-242','A14-8','cOBMYhJjY', 'LB')
('SL04652-2022-11-02-208','S9-16','nhmpmSGaLKAgbF', 'SU')
('SL22517-2022-11-02-236','S10-20','gdVMiQqhlhLdWaVR', 'LB')
('AC04652-2022-11-01-247','A14-13','bN', 'LB')
('SL04652-2022-11-01-239','S10-23','yfzAiIkyKIXBw', 'SL')
('AC22517-2022-11-02-254','A15-2','V', 'LB')
('AC12058-2022-11-01-248','A14-14','eJjyMWq', 'LB')
('SL22517-2022-11-02-239','S10-23','uRjfvASeXOYPo', 'SL')
('AC12058-2022-11-01-249','A14-15','yzbqmYZRVj', 'UB')
('AC12058-2022-11-01-254','A15-2','sBZPUDEEOyGGzec', 'LB')
('AC04652-2022-11-01-257','A15-5','h', 'SL')
('AC22517-2022-11-02-263','A15-11','lC', 'SL')
('SL12058-2022-11-01-244','S11-4','MycFWu', 'LB')
('AC04652-2022-11-01-260','A15-8','mohFFuXLaMIAP', 'LB')
('SL04652-2022-11-02-218','S10-2','RqsO', 'MB')
('AC22517-2022-11-02-266','A15-14','ywiDj', 'LB')
('SL12058-2022-11-01-247','S11-7','nfKGgCY', 'SL')
('AC12058-2022-11-01-261','A15-9','YJqZXMtsgdvxqx', 'UB')
('AC04652-2022-11-02-250','A14-16','fAbdv', 'UB')
('SL22517-2022-11-01-267','S12-3','piXr', 'UB')
('SL12058-2022-11-01-260','S11-20','CcvCDVfsuqTYl', 'LB')
('AC04652-2022-11-01-281','A16-11','UPlcANCHHPtEsbO', 'SL')
('AC04652-2022-11-01-284','A16-14','Z', 'LB')
('SL04652-2022-11-02-241','S11-1','LZDyOkAN', 'LB')
('AC22517-2022-11-01-259','A15-7','iAepKY', 'LB')
('SL22517-2022-11-01-272','S12-8','clOorJUnZzOoPD', 'SU')
('AC04652-2022-11-02-259','A15-7','YQTKDO', 'LB')
('AC22517-2022-11-01-261','A15-9','aX', 'UB')
('AC12058-2022-11-01-285','A16-15','EVmY', 'UB')
('SL12058-2022-11-01-266','S12-2','Y', 'MB')
('AC22517-2022-11-02-293','A17-5','qKwcLWVIwE', 'SL')
('AC04652-2022-11-01-292','A17-4','oQIzXOqOnxBgisD', 'UB')
('SL04652-2022-11-02-250','S11-10','o', 'MB')
('SL22517-2022-11-02-270','S12-6','ceqedASQNX', 'UB')
('SL04652-2022-11-01-262','S11-22','PjVOyPh', 'UB')
('SL22517-2022-11-02-291','S13-3','lpEjl', 'UB')
('SL12058-2022-11-01-320','S14-8','fDczexRotwocWjPD', 'SU')
('AC04652-2022-11-01-345','A20-3','MDm', 'UB')
('AC04652-2022-11-02-313','A18-7','EulsWwTzFDOBRj', 'LB')
('AC04652-2022-11-01-347','A20-5','kwSnnuKWP', 'SL')
('AC22517-2022-11-02-353','A20-11','cZqzkcJGDFo', 'SL')
('SL12058-2022-11-01-326','S14-14','DpPDqUXgfkmR', 'UB')
('AC12058-2022-11-01-335','A19-11','cZjJINeKjVES', 'SL')
('AC12058-2022-11-01-452','A26-2','cmorrqBKLJAd', 'LB')
('AC22517-2022-11-02-471','A27-3','LFeFIYLLMrsosP', 'UB')
('SL04652-2022-11-01-423','S18-15','iQwB', 'SL')
('AC22517-2022-11-01-400','A23-4','IOnajJYsIKnZsvrm', 'UB')
('AC22517-2022-11-01-401','A23-5','c', 'SL')
('AC04652-2022-11-02-437','A25-5','rOIcjSouwJbFiBD', 'SL')
('AC04652-2022-11-02-438','A25-6','KQLJkKQFIBxn', 'SU')
('AC12058-2022-11-01-455','A26-5','DhMIiZDjHZfFaqX', 'SL')
('SL04652-2022-11-02-399','S17-15','BYqDeUrLT', 'SL')
('AC12058-2022-11-01-457','A26-7','jNIApfs', 'LB')
('AC22517-2022-11-02-474','A27-6','HI', 'SU')
('SL12058-2022-11-01-445','S19-13','hmufXQFxu', 'MB')
('SL22517-2022-11-01-428','S18-20','UHd', 'LB')
('AC04652-2022-11-02-445','A25-13','eGfIVyzTvaDvwV', 'LB')
('SL12058-2022-11-01-449','S19-17','pSLiYOmTntm', 'LB')
('AC22517-2022-11-02-476','A27-8','kYnPIwhjCOCJjI', 'LB')
('AC12058-2022-11-01-462','A26-12','Wk', 'SU')
('SL12058-2022-11-01-451','S19-19','fGzitFXoxuGKIm', 'UB')
('SL12058-2022-11-01-452','S19-20','at', 'LB')
('SL22517-2022-11-02-425','S18-17','FUjpQukxWFv', 'LB')
('AC04652-2022-11-01-461','A26-11','rLLP', 'SL')
('SL04652-2022-11-02-403','S17-19','meEtbIRAP', 'UB')
('SL04652-2022-11-01-433','S19-1','GAWne', 'LB')
('AC04652-2022-11-02-448','A25-16','tVczPqQX', 'UB')
('AC12058-2022-11-01-465','A26-15','VMsNJDJpXfQOMld', 'UB')
('AC04652-2022-11-02-450','A25-18','JcYCJQzPU', 'SU')
('SL22517-2022-11-02-426','S18-18','zymkQVZid', 'MB')
('SL22517-2022-11-01-434','S19-2','WJ', 'MB')
('AC04652-2022-11-02-453','A26-3','AkfN', 'UB')
('SL22517-2022-11-02-430','S18-22','aoMyKISzDSzqqGEE', 'UB')
('SL22517-2022-11-01-437','S19-5','eYzDldSxMO', 'MB')
('AC12058-2022-11-01-467','A26-17','lUbKLlyVlFzXo', 'SL')
('SL04652-2022-11-02-408','S17-24','WpN', 'SU')
('SL22517-2022-11-02-433','S19-1','E', 'LB')
('SL12058-2022-11-01-455','S19-23','hsduLK', 'SL')
('SL04652-2022-11-01-436','S19-4','moUA', 'LB')
('AC04652-2022-11-02-458','A26-8','rKokLTNfTC', 'LB')
('SL04652-2022-11-02-410','S18-2','tHbgTcVIBDsh', 'MB')
('SL22517-2022-11-02-436','S19-4','cq', 'LB')
('AC12058-2022-11-01-477','A27-9','VCYXwissCiV', 'UB')
('AC04652-2022-11-01-466','A26-16','mXcMPVckMPVs', 'UB')
('SL12058-2022-11-01-458','S20-2','drgtsvrGF', 'MB')
('SL12058-2022-11-01-459','S20-3','pYIZjUNSgl', 'UB')
('SL04652-2022-11-02-415','S18-7','UQqqmAbSsYhwsW', 'SL')
('AC04652-2022-11-02-460','A26-10','UEXvuJk', 'UB')
('SL22517-2022-11-02-440','S19-8','brfuMqmYlQ', 'SU')
('SL22517-2022-11-02-441','S19-9','huGk', 'LB')
('AC04652-2022-11-02-461','A26-11','kApwTVrxpsJ', 'SL')
('AC22517-2022-11-02-486','A27-18','peyUvEg', 'SU')
('SL22517-2022-11-01-447','S19-15','ctcFxcB', 'SL')
('AC22517-2022-11-02-489','A28-3','zQjNPBXb', 'UB')
('AC04652-2022-11-02-463','A26-13','uDvnXgQgldZdhQ', 'LB')
('AC12058-2022-11-01-486','A27-18','gIimDWQoxpITEnGk', 'SU')
('AC12058-2022-11-01-487','A28-1','mNeniQluvopSbcQj', 'LB')
('SL04652-2022-11-01-444','S19-12','ydxKAoLeXpAal', 'LB')
('AC22517-2022-11-01-413','A23-17','mvhgS', 'SL')
('AC04652-2022-11-01-473','A27-5','oGOzcdPcdVFVzwc', 'SL')
('AC04652-2022-11-02-468','A26-18','bneBgUnAgRnv', 'SU')
('AC04652-2022-11-02-469','A27-1','oCQEpWhJbuF', 'LB')
('AC04652-2022-11-02-470','A27-2','HfWZxFZenHcK', 'LB')
('AC22517-2022-11-01-415','A24-1','qsbcikFoFBYLwW', 'LB')
('SL04652-2022-11-01-446','S19-14','kFDrqqubrN', 'UB')
('AC04652-2022-11-02-473','A27-5','boQzEPxia', 'SL')
('SL12058-2022-11-01-468','S20-12','xbKFwNLOYuGGwoNz', 'LB')
('AC04652-2022-11-01-479','A27-11','qmgFKTYapiG', 'SL')
('SL22517-2022-11-01-458','S20-2','R', 'MB')
('AC04652-2022-11-02-474','A27-6','NiYp', 'SU')
('AC04652-2022-11-02-475','A27-7','ZFg', 'LB')
('SL04652-2022-11-02-422','S18-14','XKIAthcMUvuCxb', 'UB')
('AC12058-2022-11-01-492','A28-6','DNlnt', 'SU')
('AC22517-2022-11-02-502','A28-16','NT', 'UB')
('AC22517-2022-11-01-421','A24-7','gyFXjVNvg', 'LB')
('AC22517-2022-11-02-503','A28-17','ODKUcGMJbDcPjlH', 'SL')
('AC04652-2022-11-02-477','A27-9','AkcOyUi', 'UB')
('SL22517-2022-11-02-453','S19-21','lO', 'MB')
('SL22517-2022-11-01-461','S20-5','CZfNxXLeuuh', 'MB')
('SL22517-2022-11-01-462','S20-6','MrNHVocV', 'UB')
('SL04652-2022-11-02-430','S18-22','FtUueOPOS', 'UB')
('SL04652-2022-11-01-468','S20-12','K', 'LB')
('AC12058-2022-11-01-508','A29-4','iKUmQ', 'UB')
('AC04652-2022-11-01-495','A28-9','gPVxkIOhr', 'UB')
('SL22517-2022-11-02-466','S20-10','P', 'MB')
('AC22517-2022-11-02-532','A30-10','myDGcVpeI', 'UB')
('AC12058-2022-11-01-528','A30-6','cIUaWflMoWd', 'SU')
('AC22517-2022-11-01-453','A26-3','MOLuBeha', 'UB')
('AC04652-2022-11-02-516','A29-12','NWo', 'SU')
('SL04652-2022-11-02-464','S20-8','mCmxQugFr', 'SU')
('AC22517-2022-11-02-578','A33-2','CJUZDXNjbEWPHlYl', 'LB')
('SL12058-2022-11-01-526','S22-22','S', 'UB')
('SL12058-2022-11-01-527','S22-23','AJfscrtqEDn', 'SL')
('AC22517-2022-11-01-488','A28-2','oRre', 'LB')
('SL04652-2022-11-01-532','S23-4','G', 'LB')
('AC04652-2022-11-01-548','A31-8','TInonm', 'LB')
('SL22517-2022-11-01-543','S23-15','QMprzQEEkfVLtuE', 'SL')
('SL22517-2022-11-01-545','S23-17','jokxOuLwmfN', 'LB')
('SL22517-2022-11-02-540','S23-12','QFpETKNFjmNVQj', 'LB')
('AC04652-2022-11-02-551','A31-11','dvmKQThPin', 'SL')
('SL12058-2022-11-01-545','S23-17','dShMBRGDEj', 'LB')
('SL12058-2022-11-01-546','S23-18','mfwpTG', 'MB')
('AC22517-2022-11-02-607','A34-13','VWCxSMtvJCVprupN', 'LB')
('SL04652-2022-11-02-512','S22-8','nhlAFvY', 'SU')
('SL22517-2022-11-02-553','S24-1','JJnRibjdVPvxafb', 'LB')
('AC22517-2022-11-02-615','A35-3','YOrrHIlWlg', 'UB')
('AC04652-2022-11-02-566','A32-8','SsP', 'LB')
('AC04652-2022-11-02-567','A32-9','GTT', 'UB')
('AC04652-2022-11-02-568','A32-10','aLpC', 'UB')
('AC22517-2022-11-02-616','A35-4','oJU', 'UB')
('AC04652-2022-11-01-567','A32-9','jPgaWwdS', 'UB')
('SL12058-2022-11-01-562','S24-10','coUTlfAYlp', 'MB')
('AC22517-2022-11-01-514','A29-10','iIUSNGyCEMiUAZL', 'UB')
('AC04652-2022-11-01-569','A32-11','XMwMuEihkiTvFYPW', 'SL')
('AC04652-2022-11-02-574','A32-16','dg', 'UB')
('SL12058-2022-11-01-567','S24-15','zgTd', 'SL')
('SL04652-2022-11-01-561','S24-9','TKMCPqC', 'LB')
('SL04652-2022-11-02-521','S22-17','MGRcIyWNZkpDYO', 'LB')
('AC12058-2022-11-01-601','A34-7','dwYcRDrGW', 'LB')
('SL04652-2022-11-01-563','S24-11','CwNnDzuaMUADgXrP', 'UB')
('AC12058-2022-11-01-602','A34-8','dNBtm', 'LB')
('SL04652-2022-11-02-523','S22-19','yVAnwEkGAKV', 'UB')
('SL22517-2022-11-01-578','S25-2','Hkz', 'MB')
('SL04652-2022-11-01-567','S24-15','kHBw', 'SL')
('AC04652-2022-11-01-577','A33-1','vczkBnf', 'LB')
('SL22517-2022-11-01-585','S25-9','FGwTrmJRS', 'LB')
('SL04652-2022-11-01-584','S25-8','uxYIoAsKATJHSA', 'SU')
('AC22517-2022-11-02-634','A36-4','jhGMmpFeSWjirDgZ', 'UB')
('AC04652-2022-11-01-587','A33-11','oMwMEv', 'SL')
('AC04652-2022-11-02-604','A34-10','XjtLUfTlmaWGNUs', 'UB')
('AC12058-2022-11-01-615','A35-3','QBEPzZIfz', 'UB')
('AC04652-2022-11-01-616','A35-4','xkyfRmbhyJc', 'UB')
('AC04652-2022-11-02-622','A35-10','KdEyrDs', 'UB')
('SL04652-2022-11-01-615','S26-15','ZeWA', 'SL')
('SL12058-2022-11-01-610','S26-10','oHSssJFbC', 'MB')
('SL22517-2022-11-02-602','S26-2','D', 'MB')
('AC04652-2022-11-01-618','A35-6','gdi', 'SU')
('SL22517-2022-11-02-604','S26-4','QtaPCBO', 'LB')
('AC22517-2022-11-02-680','A38-14','sTjxGkZ', 'LB')
('SL22517-2022-11-01-647','S27-23','RZnFA', 'SL')
('SL04652-2022-11-02-596','S25-20','MILbClWem', 'LB')
('AC22517-2022-11-01-599','A34-5','myYWRSCgyLPm', 'SL')
('SL22517-2022-11-02-632','S27-8','MKXyBGOjFtlGXlZ', 'SU')
('AC22517-2022-11-02-685','A39-1','IFUIbrnkergIBl', 'LB')
('AC12058-2022-11-01-659','A37-11','NogSXIqNBnj', 'SL')
('AC04652-2022-11-01-643','A36-13','gnbjaxkJZb', 'LB')
('SL12058-2022-11-01-634','S27-10','cQzUrkyzg', 'MB')
('AC22517-2022-11-01-602','A34-8','TGp', 'LB')
('AC22517-2022-11-02-706','A40-4','EDmK', 'UB')
('AC12058-2022-11-01-681','A38-15','U', 'UB')
('AC22517-2022-11-01-619','A35-7','aUcwYBitw', 'LB')
('SL04652-2022-11-01-670','S28-22','ESLJTI', 'UB')
('AC04652-2022-11-02-673','A38-7','ivJFOEEAJJ', 'LB')
('AC04652-2022-11-01-665','A37-17','CPnUWdArUgEjFvn', 'SL')
('SL22517-2022-11-01-680','S29-8','Nxlmw', 'SU')
('SL04652-2022-11-02-631','S27-7','YoQfnwLpnoTjV', 'SL')
('AC04652-2022-11-02-674','A38-8','AyZKJcoCDGnGLuQl', 'LB')
('SL12058-2022-11-01-670','S28-22','YtzBPyw', 'UB')
('AC04652-2022-11-02-675','A38-9','bnEVrDvh', 'UB')
('SL22517-2022-11-02-666','S28-18','TJW', 'MB')
('SL12058-2022-11-01-673','S29-1','YhawsNQrUM', 'LB')
('SL12058-2022-11-01-675','S29-3','Z', 'UB')
('SL22517-2022-11-01-681','S29-9','FR', 'LB')
('SL12058-2022-11-01-677','S29-5','mudeMXpdzhDLHOme', 'MB')
('AC04652-2022-11-02-677','A38-11','DkB', 'SL')
('AC22517-2022-11-01-688','A39-4','GfbQGzPCk', 'UB')
('SL22517-2022-11-02-729','S31-9','hbWWkHVKa', 'LB')
('AC12058-2022-11-01-739','A42-1','SITaftGIzaEW', 'LB')
('SL22517-2022-11-01-743','S31-23','bpdLiPN', 'SL')
('SL12058-2022-11-01-752','S32-8','OBdMMFdxaZF', 'SU')
('SL04652-2022-11-02-710','S30-14','YZzgNtGdoMkd', 'UB')
('AC04652-2022-11-02-732','A41-12','EQbhyNFWPcHMhZQ', 'SU')
('AC22517-2022-11-01-697','A39-13','NszNqICVWSNMdKO', 'LB')
('SL04652-2022-11-02-711','S30-15','bikjTZPBIHdHCBIn', 'SL')
('AC22517-2022-11-02-774','A43-18','eqKfLEXqMEUb', 'SU')
('AC12058-2022-11-01-747','A42-9','iTfRgBIo', 'UB')
('SL22517-2022-11-01-752','S32-8','i', 'SU')
('SL04652-2022-11-02-713','S30-17','HECbG', 'LB')
('SL22517-2022-11-01-754','S32-10','wWLnJIdtqEVeequ', 'MB')
('SL12058-2022-11-01-757','S32-13','uDCgSQtiW', 'MB')
('SL22517-2022-11-02-757','S32-13','vPsJUYVJsxtKx', 'MB')
('AC04652-2022-11-02-744','A42-6','sv', 'SU')
('AC04652-2022-11-02-746','A42-8','unNoCnjBw', 'LB')
('AC22517-2022-11-02-797','A45-5','ddaCRNpFmoQL', 'SL')
('AC04652-2022-11-01-750','A42-12','aGkSuK', 'SU')
('SL22517-2022-11-01-766','S32-22','SEtaX', 'UB')
('SL12058-2022-11-01-773','S33-5','moL', 'MB')
('AC12058-2022-11-01-766','A43-10','yobROhzFLAExCRF', 'UB')
('SL22517-2022-11-01-771','S33-3','VtVofUhrP', 'UB')
('AC04652-2022-11-02-750','A42-12','vGCzWgQKX', 'SU')
('AC12058-2022-11-01-774','A43-18','SBRcLqBqQ', 'SU')
('SL12058-2022-11-01-778','S33-10','ynYCpIUj', 'MB')
('AC22517-2022-11-02-811','A46-1','qXAnbPwDViLCHTwc', 'LB')
('AC04652-2022-11-02-764','A43-8','FWCS', 'LB')
('AC12058-2022-11-01-785','A44-11','DmD', 'SL')
('AC04652-2022-11-01-764','A43-8','SwMLtNhaHxXFUPk', 'LB')
('AC22517-2022-11-02-814','A46-4','mrUDGzzuaabqQ', 'UB')
('SL04652-2022-11-02-736','S31-16','NiBOEIDXWeIYbp', 'SU')
('AC04652-2022-11-01-767','A43-11','AFRBldip', 'SL')
('AC04652-2022-11-02-766','A43-10','qmhBblRfZlM', 'UB')
('AC04652-2022-11-01-768','A43-12','EcplaMRBtSF', 'SU')
('AC12058-2022-11-01-791','A44-17','ZQ', 'SL')
('SL04652-2022-11-02-739','S31-19','FaxpimDmko', 'UB')
('SL12058-2022-11-01-791','S33-23','cQV', 'SL')
('AC12058-2022-11-01-793','A45-1','rGoF', 'LB')
('SL12058-2022-11-01-793','S34-1','WnyQn', 'LB')
('SL12058-2022-11-01-794','S34-2','vm', 'MB')
('SL04652-2022-11-01-782','S33-14','HVDe', 'UB')
('SL22517-2022-11-02-786','S33-18','jvxlmhvaGPlA', 'MB')
('AC22517-2022-11-01-744','A42-6','wXFquSMRAIpEZ', 'SU')
('AC22517-2022-11-02-827','A46-17','ZsEuvO', 'SL')
('AC22517-2022-11-02-828','A46-18','qNrt', 'SU')
('AC04652-2022-11-02-772','A43-16','eL', 'UB')
('AC04652-2022-11-01-774','A43-18','cwVuX', 'SU')
('SL12058-2022-11-01-804','S34-12','FeKtVcGZpucsHr', 'LB')
('SL04652-2022-11-02-749','S32-5','PF', 'MB')
('AC22517-2022-11-02-855','A48-9','jInZF', 'UB')
('SL04652-2022-11-01-811','S34-19','VR', 'UB')
('SL22517-2022-11-01-822','S35-6','ua', 'UB')
('SL22517-2022-11-02-825','S35-9','BpzQP', 'LB')
('AC04652-2022-11-02-798','A45-6','HoOQRoQNe', 'SU')
('AC12058-2022-11-01-825','A46-15','GvUzqQjNZkSwx', 'UB')
('AC22517-2022-11-02-858','A48-12','iMh', 'SU')
('AC22517-2022-11-01-778','A44-4','BCHMe', 'UB')
('SL04652-2022-11-02-776','S33-8','yOrvSOzwNsCxlhgc', 'SU')
('SL22517-2022-11-02-830','S35-14','khrvs', 'UB')
('AC22517-2022-11-01-785','A44-11','dQuQq', 'SL')
('AC12058-2022-11-01-831','A47-3','OQT', 'UB')
('SL04652-2022-11-02-781','S33-13','NzKi', 'MB')
('SL12058-2022-11-01-836','S35-20','WzGNfp', 'LB')
('AC04652-2022-11-01-826','A46-16','RlqCt', 'UB')
('AC04652-2022-11-01-827','A46-17','XcEoBhdyR', 'SL')
('AC22517-2022-11-02-871','A49-7','litDCW', 'LB')
('AC12058-2022-11-01-836','A47-8','RHaCksGMz', 'LB')
('SL22517-2022-11-02-837','S35-21','LxNIBAanaCRap', 'MB')
('SL12058-2022-11-01-844','S36-4','nGuhcWrfdEKaQLV', 'LB')
('SL12058-2022-11-01-846','S36-6','rvB', 'UB')
('SL22517-2022-11-01-836','S35-20','erqUWDVcHNRa', 'LB')
('AC04652-2022-11-01-836','A47-8','cmAQuBEEfsQ', 'LB')
('AC22517-2022-11-02-877','A49-13','HJJ', 'LB')
('AC12058-2022-11-01-870','A49-6','pyYcpnQNlcmIkxiT', 'SU')
('SL22517-2022-11-01-862','S36-22','tECCWxXPqB', 'UB')
('SL22517-2022-11-02-871','S37-7','Wi', 'SL')
('AC22517-2022-11-02-913','A51-13','bFdSoUUz', 'LB')
('AC04652-2022-11-02-857','A48-11','hAxmhdqhjNqiuTq', 'SL')
('SL04652-2022-11-01-859','S36-19','IhKdooenSluo', 'UB')
('AC12058-2022-11-01-908','A51-8','dJ', 'LB')
('SL04652-2022-11-01-896','S38-8','CYOvTYVZsn', 'SU')
('SL22517-2022-11-01-955','S40-19','umFzegzIwbsv', 'UB')
('SL04652-2022-11-01-937','S40-1','n', 'LB')
('AC04652-2022-11-01-957','A54-3','UcxEgWuYCdCVuE', 'UB')
('SL22517-2022-11-01-958','S40-22','HIUtcCR', 'UB')
('AC04652-2022-11-01-959','A54-5','v', 'SL')
('SL22517-2022-11-02-969','S41-9','gZo', 'LB')
('AC04652-2022-11-02-931','A52-13','s', 'LB')
('SL22517-2022-11-02-974','S41-14','zRMjtM', 'UB')
('AC04652-2022-11-02-933','A52-15','KxIe', 'UB')
('AC04652-2022-11-02-934','A52-16','hitqpoPqeXdZP', 'UB')
('SL04652-2022-11-02-916','S39-4','XDHdtyjx', 'LB')
('SL04652-2022-11-01-952','S40-16','NQLOTM', 'SU')
('AC22517-2022-11-02-1006','A56-16','wfNTPJftagxnT', 'UB')
('AC04652-2022-11-01-971','A54-17','inWwrUEtzxUliR', 'SL')
('AC04652-2022-11-01-972','A54-18','ettoiPPxnqhx', 'SU')
('AC12058-2022-11-01-961','A54-7','QBnKyGfNHXUUXdN', 'LB')
('SL04652-2022-11-01-965','S41-5','xNfpUdmrjEu', 'MB')
('AC04652-2022-11-02-950','A53-14','BzTrrOxY', 'LB')
('SL12058-2022-11-01-990','S42-6','H', 'UB')
('AC22517-2022-11-02-1016','A57-8','hgvBKCj', 'LB')
('AC22517-2022-11-01-940','A53-4','ZHjrTdaCpZcRDsv', 'UB')
('AC22517-2022-11-02-1017','A57-9','HYBBGDhrpvip', 'UB')
('AC04652-2022-11-01-984','A55-12','gcX', 'SU')
('SL04652-2022-11-02-922','S39-10','BjzBM', 'MB')
('SL12058-2022-11-01-995','S42-11','XxGbXxBsA', 'UB')
('AC04652-2022-11-01-991','A56-1','oOZCTwHUGpQC', 'LB')
('SL12058-2022-11-01-997','S42-13','iKl', 'MB')
