('AC22517-2022-11-01-390','A22-12','mKnVzhaEMqsDar', 'SU')
('SL22517-2022-11-02-522','S22-18','mUNMYpQxtVzed', 'MB')
('SL22517-2022-11-01-543','S23-15','N', 'SL')
('AC22517-2022-11-01-523','A30-1','gbDyfNRiXrypaMZC', 'LB')
('AC04652-2022-11-01-557','A31-17','aVhyMIWYLlhbC', 'SL')
('AC12058-2022-11-01-516','A29-12','shQibmxIUiuqvMyE', 'SU')
('AC12058-2022-11-01-517','A29-13','zLEqD', 'LB')
('SL12058-2022-11-01-529','S23-1','meMa', 'LB')
('AC04652-2022-11-01-559','A32-1','ZHtdpilQnmHted', 'LB')
('AC04652-2022-11-01-560','A32-2','ecgIkXYiMso', 'LB')
('AC22517-2022-11-01-525','A30-3','buPqRxa', 'UB')
('AC12058-2022-11-01-518','A29-14','FrXQupxViQH', 'LB')
('AC04652-2022-11-01-563','A32-5','HOWtzDXUvKLfUsh', 'SL')
('SL04652-2022-11-02-543','S23-15','gmy', 'SL')
('SL04652-2022-11-01-556','S24-4','ipOXTPW', 'LB')
('AC22517-2022-11-02-551','A31-11','faGGtuxg', 'SL')
('AC12058-2022-11-01-521','A29-17','IxwUqGcn', 'SL')
('SL04652-2022-11-02-544','S23-16','FxuHIfnftDeacP', 'SU')
('SL04652-2022-11-02-545','S23-17','NyzPWgddiiWBY', 'LB')
('SL22517-2022-11-01-553','S24-1','zAvkCCeMz', 'LB')
('SL22517-2022-11-02-532','S23-4','GTTg', 'LB')
('AC04652-2022-11-01-568','A32-10','UBkDbQBAgKXuvP', 'UB')
('AC22517-2022-11-01-532','A30-10','RxghiEEwq', 'UB')
('AC22517-2022-11-02-555','A31-15','QlcLE', 'UB')
('SL22517-2022-11-02-533','S23-5','tdKqHRDFC', 'MB')
('AC04652-2022-11-02-578','A33-2','xkWZn', 'LB')
('SL22517-2022-11-02-534','S23-6','Df', 'UB')
('AC04652-2022-11-01-570','A32-12','yLb', 'SU')
('SL22517-2022-11-01-558','S24-6','luLL', 'UB')
('SL22517-2022-11-02-535','S23-7','oWtTV', 'SL')
('AC04652-2022-11-01-573','A32-15','fSgKMWXNHeU', 'UB')
('AC12058-2022-11-01-524','A30-2','UgVkc', 'LB')
('SL22517-2022-11-02-538','S23-10','YNcqVUvekwf', 'MB')
('SL04652-2022-11-01-564','S24-12','XDgKivoXYniAhFUd', 'LB')
('SL04652-2022-11-02-548','S23-20','TuuFJB', 'LB')
('SL12058-2022-11-01-539','S23-11','kqRDw', 'UB')
('SL04652-2022-11-02-549','S23-21','sAObkpI', 'MB')
('SL22517-2022-11-02-543','S23-15','LWAS', 'SL')
('SL04652-2022-11-01-566','S24-14','xhH', 'UB')
('AC22517-2022-11-01-540','A30-18','P', 'SU')
('AC22517-2022-11-02-565','A32-7','NSQxlnEXtkzIy', 'LB')
('SL12058-2022-11-01-543','S23-15','SYGC', 'SL')
('AC22517-2022-11-01-541','A31-1','Qt', 'LB')
('SL04652-2022-11-01-570','S24-18','UHIFhKnvrzReX', 'MB')
('AC22517-2022-11-01-542','A31-2','wusN', 'LB')
('AC04652-2022-11-02-584','A33-8','y', 'LB')
('AC04652-2022-11-01-577','A33-1','TnsDjypY', 'LB')
('AC12058-2022-11-01-531','A30-9','wlWicWJYr', 'UB')
('AC04652-2022-11-01-581','A33-5','sqI', 'SL')
('SL04652-2022-11-01-574','S24-22','HVUhgsajJiOonJB', 'UB')
('AC22517-2022-11-02-571','A32-13','cxyu', 'LB')
('AC22517-2022-11-01-548','A31-8','VKuMwDWjJIqE', 'LB')
('AC04652-2022-11-02-587','A33-11','VOXTwlMGBn', 'SL')
('AC04652-2022-11-02-588','A33-12','Bw', 'SU')
('AC04652-2022-11-02-589','A33-13','LCILQp', 'LB')
('AC04652-2022-11-01-587','A33-11','SzAP', 'SL')
('SL22517-2022-11-02-554','S24-2','NuJXU', 'MB')
('SL12058-2022-11-01-546','S23-18','Kqc', 'MB')
('SL04652-2022-11-01-576','S24-24','dbOszqqhiEBo', 'SU')
('SL22517-2022-11-02-556','S24-4','ELEUNCfOmKEYfyAI', 'LB')
('AC04652-2022-11-01-590','A33-14','RNWwtlx', 'LB')
('SL04652-2022-11-01-579','S25-3','DETSzURhYCURZTsB', 'UB')
('AC04652-2022-11-01-592','A33-16','DSOZl', 'UB')
('AC12058-2022-11-01-538','A30-16','rhuiOjvstAjjdp', 'UB')
('SL04652-2022-11-02-564','S24-12','Ml', 'LB')
('SL22517-2022-11-02-562','S24-10','wwFflBeFdGvpIEVh', 'MB')
('AC12058-2022-11-01-539','A30-17','sIymIW', 'SL')
('SL04652-2022-11-02-565','S24-13','qOzm', 'MB')
('AC04652-2022-11-01-599','A34-5','wFd', 'SL')
('SL22517-2022-11-01-572','S24-20','wkabPx', 'LB')
('SL22517-2022-11-01-573','S24-21','hqOeMgJcAblfmHx', 'MB')
('SL22517-2022-11-01-574','S24-22','rblOTJp', 'UB')
('SL12058-2022-11-01-548','S23-20','ITwj', 'LB')
('AC04652-2022-11-01-600','A34-6','TC', 'SU')
('SL12058-2022-11-01-549','S23-21','CWnhYPY', 'MB')
('SL12058-2022-11-01-550','S23-22','Tllgf', 'UB')
('AC04652-2022-11-01-717','A40-15','Qx', 'UB')
('AC22517-2022-11-01-682','A38-16','jqRHaIWLaplH', 'UB')
('SL04652-2022-11-01-702','S30-6','ZOptsq', 'UB')
('AC12058-2022-11-01-676','A38-10','ES', 'UB')
('SL04652-2022-11-02-697','S30-1','UouMMchnjNXaYgG', 'LB')
('AC22517-2022-11-02-702','A39-18','NLNtZoFsUu', 'SU')
('AC22517-2022-11-01-686','A39-2','veHFNUNBZH', 'LB')
('SL22517-2022-11-02-685','S29-13','XoBTBPATL', 'MB')
('AC22517-2022-11-01-688','A39-4','ktgEuLLifo', 'UB')
('SL04652-2022-11-01-708','S30-12','bZ', 'LB')
('AC12058-2022-11-01-678','A38-12','HqdScwbjMDMfMf', 'SU')
('SL04652-2022-11-02-701','S30-5','CA', 'MB')
('AC04652-2022-11-02-755','A42-17','sKeimyDtlroi', 'SL')
('AC22517-2022-11-01-691','A39-7','FiO', 'LB')
('SL04652-2022-11-02-703','S30-7','UpZnT', 'SL')
('SL04652-2022-11-01-712','S30-16','cDvDqOBbaEJ', 'SU')
('SL22517-2022-11-01-702','S30-6','i', 'UB')
('SL12058-2022-11-01-700','S30-4','ZCXGMyzA', 'LB')
('AC22517-2022-11-02-712','A40-10','aNbjVhQrBZcPnGkp', 'UB')
('SL04652-2022-11-02-704','S30-8','oCebjVqT', 'SU')
('AC22517-2022-11-02-717','A40-15','snItLLBIRZvi', 'UB')
('AC12058-2022-11-01-691','A39-7','VQxwo', 'LB')
('SL04652-2022-11-02-715','S30-19','avGhYgO', 'UB')
('AC12058-2022-11-01-692','A39-8','MIBNWgMyUBM', 'LB')
('SL12058-2022-11-01-709','S30-13','B', 'MB')
('SL04652-2022-11-02-718','S30-22','UOtbfJVDdL', 'UB')
('AC12058-2022-11-01-695','A39-11','zrJWuoT', 'SL')
('AC22517-2022-11-02-793','A45-1','ImhfYwrwVPjUQnqg', 'LB')
('AC04652-2022-11-02-839','A47-11','XuOPIbicdbHd', 'SL')
('AC22517-2022-11-01-766','A43-10','MXI', 'UB')
('AC22517-2022-11-02-798','A45-6','eYLhQzphqle', 'SU')
('SL22517-2022-11-01-798','S34-6','dCwnwu', 'UB')
('AC04652-2022-11-02-840','A47-12','xA', 'SU')
('SL22517-2022-11-02-790','S33-22','AzGtN', 'UB')
('SL22517-2022-11-02-791','S33-23','UcrsSmNojD', 'SL')
('AC22517-2022-11-01-769','A43-13','UfawSVoX', 'LB')
('SL04652-2022-11-02-786','S33-18','FroXqnxJfBqiBWXg', 'MB')
('AC04652-2022-11-01-795','A45-3','tgPNNgmPlplgQXue', 'UB')
('AC22517-2022-11-01-770','A43-14','sanhiwBdhcjzu', 'LB')
('SL04652-2022-11-01-790','S33-22','kGTIjUqrInwcyc', 'UB')
('SL04652-2022-11-01-791','S33-23','mOcLoHklY', 'SL')
('SL12058-2022-11-01-794','S34-2','laWxziLjVQ', 'MB')
('AC22517-2022-11-01-771','A43-15','yAlekeoNrMfCgvh', 'UB')
('SL04652-2022-11-02-794','S34-2','EWabTFUljTNydSR', 'MB')
('SL22517-2022-11-02-798','S34-6','vgxhOfyqwGD', 'UB')
('AC22517-2022-11-02-805','A45-13','TPK', 'LB')
('AC12058-2022-11-01-765','A43-9','JYXofYeqonccPdp', 'UB')
('AC12058-2022-11-01-766','A43-10','fZ', 'UB')
('AC04652-2022-11-01-800','A45-8','FcWLQameuBPfND', 'LB')
('AC22517-2022-11-01-779','A44-5','k', 'SL')
('AC04652-2022-11-01-802','A45-10','aDHNitzJ', 'UB')
('AC22517-2022-11-01-780','A44-6','yrobNwdHPOaTVfZ', 'SU')
('AC22517-2022-11-01-811','A46-1','iQvJyDzLRY', 'LB')
('SL22517-2022-11-01-825','S35-9','ki', 'LB')
('SL04652-2022-11-01-823','S35-7','FrYT', 'SL')
('SL04652-2022-11-02-822','S35-6','MKrojsjeUcFOG', 'UB')
('SL12058-2022-11-01-825','S35-9','ktxHVVUAnENgPVCM', 'LB')
('AC04652-2022-11-01-829','A47-1','CThnGAoket', 'LB')
('AC04652-2022-11-02-884','A50-2','DrwRlEUPvmelV', 'LB')
('AC22517-2022-11-02-842','A47-14','vNRRCuLJrqp', 'LB')
('SL04652-2022-11-02-831','S35-15','hpkD', 'SL')
('AC22517-2022-11-01-824','A46-14','kXONITQx', 'LB')
('AC04652-2022-11-02-892','A50-10','UQkR', 'UB')
('AC04652-2022-11-02-893','A50-11','hSqjnLctWVckw', 'SL')
('SL12058-2022-11-01-840','S35-24','kbmmGzfv', 'SU')
('SL22517-2022-11-01-844','S36-4','gLMEt', 'LB')
('SL04652-2022-11-01-838','S35-22','ljtZskNXTPxW', 'UB')
('SL22517-2022-11-02-847','S36-7','ixNUhIRyUUumEyJ', 'SL')
('SL22517-2022-11-01-848','S36-8','taifxcznxVrARy', 'SU')
('AC04652-2022-11-02-904','A51-4','QUH', 'UB')
('AC12058-2022-11-01-819','A46-9','sgkxNuuYVEvgx', 'UB')
('AC04652-2022-11-01-855','A48-9','uCpETKmuM', 'UB')
('SL04652-2022-11-01-845','S36-5','erEuloUljzmEm', 'MB')
('SL04652-2022-11-02-850','S36-10','JckDjScOcIdntJfC', 'MB')
('SL04652-2022-11-02-851','S36-11','u', 'UB')
('SL22517-2022-11-02-859','S36-19','zUhZLCXjalYrwnF', 'UB')
('SL22517-2022-11-02-888','S37-24','UgQzrKBgMiWGx', 'SU')
('SL22517-2022-11-01-890','S38-2','bgEfs', 'MB')
('SL22517-2022-11-01-891','S38-3','kPSntZCgnMcW', 'UB')
('AC22517-2022-11-02-917','A51-17','xrfhZpr', 'SL')
('AC04652-2022-11-02-951','A53-15','UwlmMltv', 'UB')
('SL04652-2022-11-01-928','S39-16','tya', 'SU')
('SL04652-2022-11-02-926','S39-14','Q', 'UB')
('SL12058-2022-11-01-920','S39-8','NpujlfyAADYZmsh', 'SU')
('SL22517-2022-11-01-953','S40-17','ondM', 'LB')
('AC04652-2022-11-02-970','A54-16','my', 'UB')
('SL04652-2022-11-01-938','S40-2','eLBWfYKTd', 'MB')
('SL04652-2022-11-02-936','S39-24','vCIFWeFdi', 'SU')
('AC12058-2022-11-01-915','A51-15','mwcpRVkqa', 'UB')
('SL04652-2022-11-02-940','S40-4','nSHZEfZslNwinQ', 'LB')
('SL22517-2022-11-01-966','S41-6','IKcatyP', 'UB')
('SL22517-2022-11-02-950','S40-14','WpZnZqXqQ', 'UB')
('AC04652-2022-11-01-960','A54-6','wfApy', 'SU')
('AC12058-2022-11-01-929','A52-11','dmUlEKPOsJ', 'SL')
('SL22517-2022-11-02-967','S41-7','wePWWbVESuQfei', 'SL')
('SL04652-2022-11-02-957','S40-21','geWGJSthI', 'MB')
('AC22517-2022-11-02-974','A55-2','UJekVtOdTeqkQtAA', 'LB')
('SL22517-2022-11-01-982','S41-22','bI', 'UB')
('SL04652-2022-11-02-959','S40-23','MyZPubYfmbD', 'SL')
('SL04652-2022-11-01-963','S41-3','HbSAMv', 'UB')
('SL22517-2022-11-01-985','S42-1','mFtCWw', 'LB')
('SL12058-2022-11-01-949','S40-13','WPhJSUuYo', 'MB')
('AC04652-2022-11-01-976','A55-4','wukjgeSsLaVGpI', 'UB')
('SL22517-2022-11-02-981','S41-21','SmYXvQT', 'MB')
('SL22517-2022-11-01-996','S42-12','zJzZEdCujNpPNi', 'LB')
('AC22517-2022-11-02-995','A56-5','imSBnh', 'SL')
('SL04652-2022-11-02-973','S41-13','gtu', 'MB')
('AC04652-2022-11-01-989','A55-17','C', 'SL')
('AC22517-2022-11-02-1002','A56-12','TsmvjBdcnE', 'SU')
('AC04652-2022-11-02-1007','A56-17','zsEXXOdqwaz', 'SL')
('AC22517-2022-11-02-1003','A56-13','AapdjNwGuV', 'LB')
('SL22517-2022-11-02-993','S42-9','PSLAkBmn', 'LB')
('SL22517-2022-11-01-1005','S42-21','JyOjmZGrBt', 'MB')
('SL22517-2022-11-01-1006','S42-22','YwdfxuMJvzg', 'UB')
('SL04652-2022-11-01-993','S42-9','bULFaDTJHQxtEkI', 'LB')
('AC22517-2022-11-01-965','A54-11','xnYoFsHiUzLPmY', 'SL')
('SL22517-2022-11-02-998','S42-14','stkbmqFcLzQX', 'UB')
('AC12058-2022-11-01-955','A54-1','BwLfMPbSQeQjzdlG', 'LB')
('AC22517-2022-11-02-1008','A56-18','PA', 'SU')
('SL04652-2022-11-01-997','S42-13','SqHXRslUh', 'MB')
('AC04652-2022-11-02-1019','A57-11','fvNbFimwvCZhfSte', 'SL')
('AC12058-2022-11-01-958','A54-4','wTkOrfrTlRLQJk', 'UB')
('SL22517-2022-11-01-1008','S42-24','gpzLyjNQWSg', 'SU')
('AC22517-2022-11-02-1013','A57-5','wLsQCJT', 'SL')
('SL04652-2022-11-01-1000','S42-16','JTpGi', 'SU')
('AC12058-2022-11-01-961','A54-7','SAsUKzvEJxCuzF', 'LB')
('SL22517-2022-11-02-1005','S42-21','pGlOqbU', 'MB')
('AC04652-2022-11-01-1001','A56-11','I', 'SL')
('SL04652-2022-11-01-1004','S42-20','ZhgTuD', 'LB')
('AC22517-2022-11-02-1020','A57-12','GJDavlVHpM', 'SU')
('AC12058-2022-11-01-968','A54-14','gynuoxRVEpDKky', 'LB')
('SL04652-2022-11-01-1007','S42-23','mWKsIoizMVGm', 'SL')
('AC22517-2022-11-01-976','A55-4','szgVZTz', 'UB')
('SL22517-2022-11-02-1009','S43-1','tzVEpKNXqqS', 'LB')
('AC12058-2022-11-01-973','A55-1','sAuephPSVoOGRXZ', 'LB')
('SL22517-2022-11-01-1022','S43-14','nAAtQDUQhUyMTfA', 'UB')
('SL04652-2022-11-02-993','S42-9','BZANzxLudTO', 'LB')
('AC22517-2022-11-01-979','A55-7','LgFTVKmGSMNfmr', 'LB')
('SL22517-2022-11-02-1011','S43-3','YRfZf', 'UB')
('AC12058-2022-11-01-977','A55-5','zFSRbBhQdGFcQEem', 'SL')
('AC12058-2022-11-01-978','A55-6','MxZennHFfkWJrkl', 'SU')
('AC04652-2022-11-02-1040','A58-14','vMcJ', 'LB')
('AC04652-2022-11-01-1013','A57-5','s', 'SL')
('SL04652-2022-11-01-1017','S43-9','POmmzlcJLtxVhs', 'LB')
('SL04652-2022-11-01-1018','S43-10','diC', 'MB')
('AC22517-2022-11-01-984','A55-12','PWEIsHRbEwcTyN', 'SU')
('SL04652-2022-11-02-999','S42-15','pFagjKFrpmBba', 'SL')
('SL04652-2022-11-01-1021','S43-13','VsHKV', 'MB')
('SL22517-2022-11-02-1014','S43-6','PaUsQonMmtCxfoZx', 'UB')
('AC04652-2022-11-02-1046','A59-2','TarWGDvHXNOGURP', 'LB')
('SL04652-2022-11-01-1029','S43-21','qEZDNWWwhusdIX', 'MB')
('SL04652-2022-11-01-1030','S43-22','XMdExR', 'UB')
('AC04652-2022-11-01-1020','A57-12','QSbdBAahpXWXxJJ', 'SU')
('AC12058-2022-11-01-985','A55-13','diGk', 'LB')
('AC04652-2022-11-02-1052','A59-8','XbOJW', 'LB')
('AC22517-2022-11-02-1035','A58-9','ZMIQlDAQeOYsp', 'UB')
('AC04652-2022-11-01-1025','A57-17','DqyXE', 'SL')
('SL22517-2022-11-01-1034','S44-2','X', 'MB')
('AC22517-2022-11-01-995','A56-5','NBjBlBrogXshsx', 'SL')
('AC12058-2022-11-01-986','A55-14','oor', 'LB')
('AC04652-2022-11-02-1057','A59-13','vFGvWPq', 'LB')
('SL04652-2022-11-01-1033','S44-1','xmMzfHrWrduFPb', 'LB')
('SL22517-2022-11-01-1038','S44-6','yxYCbQJj', 'UB')
('AC22517-2022-11-01-996','A56-6','eK', 'SU')
('AC22517-2022-11-02-1038','A58-12','vC', 'SU')
('AC04652-2022-11-02-1058','A59-14','bNCzICNrAQu', 'LB')
('SL04652-2022-11-02-1014','S43-6','vpjxzpBaKJWUiD', 'UB')
('AC22517-2022-11-01-998','A56-8','K', 'LB')
('SL22517-2022-11-01-1044','S44-12','icSaIdSMR', 'LB')
('SL12058-2022-11-01-1011','S43-3','S', 'UB')
('SL04652-2022-11-01-1042','S44-10','uoTDUECI', 'MB')
('SL12058-2022-11-01-1013','S43-5','exQuqeANIq', 'MB')
('SL04652-2022-11-01-1043','S44-11','zSgBoFtpjqE', 'UB')
('AC22517-2022-11-02-1047','A59-3','JpTLhrN', 'UB')
('AC04652-2022-11-02-1063','A60-1','bYGMrUROEsqSp', 'LB')
('SL12058-2022-11-01-1018','S43-10','HqtOMlSzgR', 'MB')
('AC04652-2022-11-02-1065','A60-3','bUIZDuDjMNvWe', 'UB')
('SL04652-2022-11-01-1048','S44-16','vKUvGNvc', 'SU')
('AC22517-2022-11-02-1050','A59-6','PZx', 'SU')
('AC22517-2022-11-01-1007','A56-17','zBAjWjTix', 'SL')
('SL12058-2022-11-01-1024','S43-16','DZRgZUfDghW', 'SU')
('AC04652-2022-11-02-1074','A60-12','MhIWgAldkC', 'SU')
('AC12058-2022-11-01-1007','A56-17','ZkQYA', 'SL')
('AC04652-2022-11-02-1083','A61-3','niUgYOtfLcOZpC', 'UB')
('AC04652-2022-11-02-1084','A61-4','THmKa', 'UB')
('AC04652-2022-11-02-1086','A61-6','JRjctMSVikZGDwPH', 'SU')
('AC04652-2022-11-02-1087','A61-7','xUaSebDKb', 'LB')
('SL22517-2022-11-01-1073','S45-17','BoFuGtlvaERkV', 'LB')
('AC04652-2022-11-01-1056','A59-12','tnBKgLp', 'SU')
('SL12058-2022-11-01-1037','S44-5','PzLfEzJtJMpkme', 'MB')
('AC12058-2022-11-01-1020','A57-12','fPcinKNDQ', 'SU')
('AC12058-2022-11-01-1021','A57-13','sNdvDuMEwNNOHkG', 'LB')
('AC22517-2022-11-02-1075','A60-13','kMDTRrdBYLBB', 'LB')
('SL22517-2022-11-01-1078','S45-22','ETwBlssrtI', 'UB')
('SL04652-2022-11-02-1048','S44-16','LcUXMbI', 'SU')
('AC04652-2022-11-01-1072','A60-10','gpgQjsKY', 'UB')
('AC12058-2022-11-01-1031','A58-5','PJlo', 'SL')
('AC12058-2022-11-01-1032','A58-6','aEHaSLbPa', 'SU')
('SL22517-2022-11-01-1086','S46-6','wxqwyF', 'UB')
('SL22517-2022-11-01-1089','S46-9','cSpZWHlKbEN', 'LB')
('AC04652-2022-11-02-1108','A62-10','rjLxSlaIux', 'UB')
('AC04652-2022-11-01-1077','A60-15','MCUa', 'UB')
('AC04652-2022-11-01-1078','A60-16','xy', 'UB')
('AC04652-2022-11-02-1110','A62-12','kBnDFyG', 'SU')
('AC04652-2022-11-02-1111','A62-13','EOBuhPnuRcVdzP', 'LB')
('SL22517-2022-11-02-1066','S45-10','xPO', 'MB')
('AC22517-2022-11-01-1052','A59-8','FDMVo', 'LB')
('SL22517-2022-11-02-1068','S45-12','CmK', 'LB')
('AC04652-2022-11-01-1081','A61-1','CB', 'LB')
('AC04652-2022-11-01-1082','A61-2','nRHY', 'LB')
('SL22517-2022-11-01-1163','S49-11','sfYTIKdSF', 'UB')
('SL12058-2022-11-01-1137','S48-9','QQXMgJyf', 'LB')
('AC22517-2022-11-02-1177','A66-7','nZvBSce', 'LB')
('AC04652-2022-11-02-1199','A67-11','OkoCdVkxSCim', 'SL')
('AC22517-2022-11-02-1179','A66-9','eMesgblvmaPs', 'UB')
('AC04652-2022-11-02-1203','A67-15','zVL', 'UB')
('SL22517-2022-11-01-1170','S49-18','ZjmiqvgMsWEh', 'MB')
('SL04652-2022-11-01-1171','S49-19','zq', 'UB')
('SL22517-2022-11-01-1175','S49-23','srwuwmzFhMkdumQ', 'SL')
('AC12058-2022-11-01-1128','A63-12','xZMOestTortU', 'SU')
('SL04652-2022-11-02-1155','S49-3','iUSbyaADTmQBfhtY', 'UB')
('AC22517-2022-11-01-1155','A65-3','ssynXnTEawXXKwb', 'UB')
('AC12058-2022-11-01-1140','A64-6','eiVkrurM', 'SU')
('SL12058-2022-11-01-1159','S49-7','KI', 'SL')
('AC04652-2022-11-02-1226','A69-2','oeiFxHbTrvrQNdWE', 'LB')
('SL04652-2022-11-02-1174','S49-22','xyfQRLLa', 'UB')
('SL22517-2022-11-02-1198','S50-22','Q', 'UB')
('SL04652-2022-11-01-1192','S50-16','BKldFOL', 'SU')
('AC04652-2022-11-01-1185','A66-15','ZCDVdtlviSzmx', 'UB')
('SL12058-2022-11-01-1167','S49-15','wCS', 'SL')
('SL04652-2022-11-01-1195','S50-19','N', 'UB')
('SL04652-2022-11-02-1183','S50-7','Kps', 'SL')
('SL04652-2022-11-02-1186','S50-10','ENYBLdsNK', 'MB')
('AC12058-2022-11-01-1156','A65-4','hVQJvlwv', 'UB')
('SL12058-2022-11-01-1174','S49-22','paEcVAQQKJR', 'UB')
('SL04652-2022-11-02-1189','S50-13','vjBiuSK', 'MB')
('AC04652-2022-11-02-1249','A70-7','ShRMqIniy', 'LB')
('SL22517-2022-11-02-1213','S51-13','xtrhaJze', 'MB')
('SL22517-2022-11-01-1222','S51-22','OkTB', 'UB')
('AC04652-2022-11-01-1213','A68-7','B', 'LB')
('SL04652-2022-11-02-1204','S51-4','XWD', 'LB')
('SL04652-2022-11-01-1217','S51-17','sCEVl', 'LB')
('AC22517-2022-11-02-1224','A68-18','WdiLxboWYhqyDDeA', 'SU')
('SL22517-2022-11-02-1218','S51-18','xrTJdRDzrYGV', 'MB')
('SL22517-2022-11-02-1219','S51-19','MZfaLKYkLTCNTj', 'UB')
('SL22517-2022-11-02-1221','S51-21','hpZiBwOwhLudBgW', 'MB')
('SL12058-2022-11-01-1197','S50-21','GwvZWw', 'MB')
('SL22517-2022-11-01-1232','S52-8','Yer', 'SU')
('AC12058-2022-11-01-1179','A66-9','hqSQEQobcvmDqeFt', 'UB')
('AC22517-2022-11-01-1196','A67-8','ZhSaPStkmr', 'LB')
('SL22517-2022-11-02-1222','S51-22','eGGpoqJdHs', 'UB')
('SL04652-2022-11-02-1212','S51-12','wjqv', 'LB')
('SL04652-2022-11-02-1213','S51-13','pqJMICOuMkqELb', 'MB')
('AC04652-2022-11-02-1264','A71-4','hqTsqMiddbEKzzE', 'UB')
('SL22517-2022-11-02-1225','S52-1','xabgHhVhgc', 'LB')
('SL04652-2022-11-02-1217','S51-17','pBdbajCsuOjLKC', 'LB')
('SL12058-2022-11-01-1205','S51-5','NDsj', 'MB')
('SL22517-2022-11-01-1239','S52-15','FdutQqcmbu', 'SL')
('AC12058-2022-11-01-1189','A67-1','DVrGCsqgOmyHLXY', 'LB')
('AC12058-2022-11-01-1190','A67-2','jQhRohV', 'LB')
('SL04652-2022-11-02-1221','S51-21','sKbydEiqHBtqqpXf', 'MB')
('SL04652-2022-11-01-1232','S52-8','kqesHq', 'SU')
('SL12058-2022-11-01-1207','S51-7','mYOiKoRULZw', 'SL')
('SL04652-2022-11-02-1260','S53-12','rGOzCsLXSOW', 'LB')
('AC04652-2022-11-01-1274','A71-14','ohQlGNJHuzVCYeh', 'LB')
