('SL22517-2022-11-02-4922','S206-2','pI', 'MB')
('SL22517-2022-11-02-6612','S276-12','EaevxypIpU', 'LB')
('SL22517-2022-11-01-6528','S272-24','VDrZCupSzEY', 'SU')
('AC12058-2022-11-01-6640','A369-16','RN', 'UB')
('SL12058-2022-11-01-6455','S269-23','Yqsn', 'SL')
('SL04652-2022-11-01-6539','S273-11','qqvKiyIsBEpcyW', 'UB')
('AC22517-2022-11-01-6667','A371-7','LGXfZmtojOtPop', 'LB')
('AC22517-2022-11-01-6668','A371-8','kTX', 'LB')
('SL22517-2022-11-02-6643','S277-19','ocEDHoYGQnimyDCW', 'UB')
('AC04652-2022-11-01-6951','A387-3','xLxlnZoEQdrD', 'UB')
('SL22517-2022-11-02-6650','S278-2','SZoXvHalCmQIGq', 'MB')
('AC12058-2022-11-01-6683','A372-5','MEpvROycZTJRK', 'SL')
('AC22517-2022-11-02-6724','A374-10','kpFPNmet', 'UB')
('AC12058-2022-11-01-6723','A374-9','m', 'UB')
('SL22517-2022-11-01-6582','S275-6','UvYEGzUUIjee', 'UB')
('SL04652-2022-11-01-6684','S279-12','OiBxdmmUayGU', 'LB')
('SL04652-2022-11-02-6732','S281-12','pyBJWFiasNRHTsEn', 'LB')
('SL04652-2022-11-01-6687','S279-15','SABkDxqbPxBu', 'SL')
('AC22517-2022-11-02-6795','A378-9','tRdQ', 'UB')
('AC12058-2022-11-01-6788','A378-2','BjRrYALIrjqM', 'LB')
('SL04652-2022-11-02-6741','S281-21','zjAxvLfJsv', 'MB')
('AC12058-2022-11-01-6791','A378-5','YWU', 'SL')
('SL12058-2022-11-01-6586','S275-10','Azgn', 'MB')
('SL04652-2022-11-01-6695','S279-23','TCtTGJgrCCncXlt', 'SL')
('AC04652-2022-11-01-7051','A392-13','HBpLCwhtGbqlprSF', 'LB')
('AC12058-2022-11-01-6813','A379-9','vAbsVuL', 'UB')
('AC22517-2022-11-01-6793','A378-7','VixwBnMij', 'LB')
('AC04652-2022-11-01-7061','A393-5','RkTttZzvCEU', 'SL')
('AC22517-2022-11-01-6798','A378-12','WgxGheiC', 'SU')
('SL12058-2022-11-01-6595','S275-19','Inq', 'UB')
('AC12058-2022-11-01-6820','A379-16','gslTUar', 'UB')
('AC04652-2022-11-01-7068','A393-12','PGxqvveeGbjmnpNj', 'SU')
('SL04652-2022-11-02-6773','S283-5','NbBmIupSjEnx', 'MB')
('AC22517-2022-11-02-6865','A382-7','r', 'LB')
('SL12058-2022-11-01-6648','S277-24','BibXr', 'SU')
('AC22517-2022-11-02-6867','A382-9','HabdF', 'UB')
('SL04652-2022-11-02-6812','S284-20','sXLKFQHBIdl', 'LB')
('SL22517-2022-11-01-6705','S280-9','qmzSzUgqERQmsVB', 'LB')
('AC04652-2022-11-01-7124','A396-14','Rqe', 'LB')
('SL12058-2022-11-01-6658','S278-10','rOcEkKuEQwuwLD', 'MB')
('SL22517-2022-11-02-6851','S286-11','pmjVlRgrwudumw', 'UB')
('SL22517-2022-11-01-6735','S281-15','REAcmjuc', 'SL')
('AC12058-2022-11-01-6901','A384-7','dqfRFslT', 'LB')
('AC22517-2022-11-01-6882','A383-6','RMtFmIFDJVz', 'SU')
('SL12058-2022-11-01-6694','S279-22','SFmAsOCsGaJVtuX', 'UB')
('SL12058-2022-11-01-6695','S279-23','XqBJjwGEimn', 'SL')
('AC22517-2022-11-02-6905','A384-11','Ju', 'SL')
('SL04652-2022-11-01-6826','S285-10','wrAnKTiDk', 'MB')
('AC04652-2022-11-01-7178','A399-14','GEoD', 'LB')
('SL12058-2022-11-01-6731','S281-11','OXMZZfbDTAbc', 'UB')
('AC04652-2022-11-01-7182','A399-18','uiW', 'SU')
('AC22517-2022-11-02-6940','A386-10','jzLsZTQPZzNZzcyv', 'UB')
('SL22517-2022-11-01-6813','S284-21','rySkF', 'MB')
('AC22517-2022-11-01-6946','A386-16','vdqUPiklvrrh', 'UB')
('SL22517-2022-11-01-6820','S285-4','uWxVOuQccDXVz', 'LB')
('SL04652-2022-11-01-6897','S288-9','x', 'LB')
('AC22517-2022-11-02-7002','A389-18','ZSqCcZ', 'SU')
('SL12058-2022-11-01-6791','S283-23','dYVzYXgfumYT', 'SL')
('SL22517-2022-11-01-6862','S286-22','YvyLVSj', 'UB')
('SL12058-2022-11-01-6801','S284-9','UFIWjIjLpo', 'LB')
('SL22517-2022-11-02-6955','S290-19','dw', 'UB')
('AC04652-2022-11-01-7267','A404-13','CKuITIDYdmbqBOFX', 'LB')
('AC22517-2022-11-01-6993','A389-9','cCHw', 'UB')
('SL22517-2022-11-02-6965','S291-5','HiJYoYzSMBOkhtwv', 'MB')
('SL04652-2022-11-01-6949','S290-13','nD', 'MB')
('AC12058-2022-11-01-7017','A390-15','cixTRk', 'UB')
('AC12058-2022-11-01-7018','A390-16','flDLuNoENRRiWXPW', 'UB')
('AC04652-2022-11-01-7396','A411-16','DyIvMrUR', 'UB')
('AC04652-2022-11-01-7397','A411-17','PiDE', 'SL')
('SL04652-2022-11-01-7091','S296-11','TlOUOxZTxs', 'UB')
('SL22517-2022-11-02-7125','S297-21','hFIq', 'MB')
('AC22517-2022-11-02-7213','A401-13','PaDZQp', 'LB')
('SL12058-2022-11-01-6996','S292-12','HnchL', 'LB')
('AC22517-2022-11-01-7192','A400-10','e', 'UB')
('AC04652-2022-11-01-7479','A416-9','eteCdyvYITn', 'UB')
('AC22517-2022-11-01-7212','A401-12','kkJGW', 'SU')
('SL04652-2022-11-01-7138','S298-10','avRtncDgBlJo', 'MB')
('AC22517-2022-11-01-7214','A401-14','i', 'LB')
('AC12058-2022-11-01-7211','A401-11','iH', 'SL')
('AC04652-2022-11-01-7490','A417-2','FKULD', 'LB')
('AC22517-2022-11-02-7243','A403-7','u', 'LB')
('SL04652-2022-11-01-7144','S298-16','NHrRkWRd', 'SU')
('SL12058-2022-11-01-7032','S293-24','nN', 'SU')
('AC22517-2022-11-01-7229','A402-11','YQ', 'SL')
('AC22517-2022-11-01-7232','A402-14','nhSiQxdSNWnJx', 'LB')
('AC04652-2022-11-01-7512','A418-6','ngyZTYjFYQXoqZ', 'SU')
('SL22517-2022-11-01-7090','S296-10','cjtoZzNBgn', 'MB')
('SL22517-2022-11-02-7190','S300-14','Wdt', 'UB')
('SL04652-2022-11-01-7173','S299-21','qlxMJQvIwLECSGl', 'MB')
('SL12058-2022-11-01-7073','S295-17','czmxyeLMsVOsV', 'LB')
('AC22517-2022-11-01-7281','A405-9','uw', 'UB')
('AC04652-2022-11-01-7558','A420-16','eQ', 'UB')
('AC22517-2022-11-01-7285','A405-13','LAE', 'LB')
('AC04652-2022-11-01-7561','A421-1','DYgPQJh', 'LB')
('SL22517-2022-11-02-7257','S303-9','NfXRGBv', 'LB')
('AC04652-2022-11-01-7589','A422-11','PCHRmIwriPyJQKX', 'SL')
('SL04652-2022-11-01-7239','S302-15','wVaalvzHKBnL', 'SL')
('SL04652-2022-11-02-7265','S303-17','nl', 'LB')
('AC04652-2022-11-01-7590','A422-12','cHPfnLnSYvDv', 'SU')
('SL22517-2022-11-01-7169','S299-17','RWAcZXXos', 'LB')
('AC04652-2022-11-01-7627','A424-13','ghdQVbfhFBMxRib', 'LB')
('SL22517-2022-11-02-7303','S305-7','ygSKuwwxAdkly', 'SL')
('SL22517-2022-11-02-7304','S305-8','rrgiuyg', 'SU')
('SL22517-2022-11-02-7305','S305-9','lgPLcFy', 'LB')
('SL12058-2022-11-01-7154','S299-2','xL', 'MB')
('SL04652-2022-11-02-7308','S305-12','ZG', 'LB')
('AC22517-2022-11-01-7397','A411-17','nMmhgx', 'SL')
('SL04652-2022-11-02-7341','S306-21','WOby', 'MB')
