('SL22517-2022-11-02-1698','S71-18','uSuTmFXGE', 'MB')
('AC22517-2022-11-01-2164','A121-4','i', 'UB')
('AC22517-2022-11-02-2124','A118-18','NGYJH', 'SU')
('SL12058-2022-11-01-2100','S88-12','WCGUC', 'LB')
('SL22517-2022-11-01-2156','S90-20','vSOMxOFyzeTeYH', 'LB')
('SL22517-2022-11-01-2157','S90-21','QHXwvp', 'MB')
('AC04652-2022-11-01-2244','A125-12','SUR', 'SU')
('SL04652-2022-11-01-2140','S90-4','JllaaIwlI', 'LB')
('SL22517-2022-11-02-2159','S90-23','GzIOvdAkB', 'SL')
('AC12058-2022-11-01-2155','A120-13','TxWPXYvgRnMRDCj', 'LB')
('SL12058-2022-11-01-2126','S89-14','VmCsStZuoc', 'UB')
('AC22517-2022-11-02-2153','A120-11','DIcSrqiFhR', 'SL')
('SL22517-2022-11-02-2163','S91-3','lh', 'UB')
('AC22517-2022-11-02-2162','A121-2','dHUvXXh', 'LB')
('SL04652-2022-11-01-2151','S90-15','FyfamVfbjCV', 'SL')
('AC22517-2022-11-01-2215','A124-1','VOoRUEVdOmlwquZ', 'LB')
('SL12058-2022-11-01-2142','S90-6','nosmXaye', 'UB')
('AC22517-2022-11-01-2221','A124-7','TRVddXBHVwZsvH', 'LB')
('AC04652-2022-11-02-2171','A121-11','DDERPEdfUJfFIXY', 'SL')
('AC22517-2022-11-01-2225','A124-11','jJMzkrrFWp', 'SL')
('SL22517-2022-11-01-2201','S92-17','xFHOkDgfQP', 'LB')
('AC12058-2022-11-01-2180','A122-2','zUUc', 'LB')
('SL04652-2022-11-02-2210','S93-2','d', 'MB')
('SL12058-2022-11-01-2156','S90-20','oiabsTcNLXwolmd', 'LB')
('AC12058-2022-11-01-2181','A122-3','fOXoB', 'UB')
('AC04652-2022-11-02-2190','A122-12','jROKDEzWHwoG', 'SU')
('AC04652-2022-11-01-2297','A128-11','mRPIxcowtD', 'SL')
('SL22517-2022-11-01-2213','S93-5','czpnVmU', 'MB')
('SL04652-2022-11-02-2217','S93-9','QssqF', 'LB')
('AC04652-2022-11-01-2300','A128-14','ggLGxBrUwbFbc', 'LB')
('SL04652-2022-11-02-2219','S93-11','d', 'UB')
('SL04652-2022-11-01-2185','S92-1','mXZZoXkwgrqajOY', 'LB')
('AC04652-2022-11-01-2308','A129-4','kJmehiRJ', 'UB')
('AC22517-2022-11-01-2273','A127-5','CCZMIcC', 'SL')
('SL04652-2022-11-01-2203','S92-19','iBagyCMAmwVc', 'UB')
('SL04652-2022-11-01-2207','S92-23','soSFKQiVWybLiPn', 'SL')
('AC04652-2022-11-02-2241','A125-9','teNeUEOOcjasheWJ', 'UB')
('SL12058-2022-11-01-2194','S92-10','sETCCvDZLioYeiU', 'MB')
('SL22517-2022-11-02-2224','S93-16','qr', 'SU')
('AC22517-2022-11-02-2242','A125-10','HPBnAkoKFGXlASMq', 'UB')
('AC22517-2022-11-01-2289','A128-3','nDajyA', 'UB')
('SL12058-2022-11-01-2210','S93-2','ttMP', 'MB')
('SL22517-2022-11-02-2240','S94-8','bTTE', 'SU')
('SL04652-2022-11-02-2280','S95-24','pbKzNXCadqk', 'SU')
('AC22517-2022-11-02-2272','A127-4','AHbvIcGGLqiM', 'UB')
('SL22517-2022-11-02-2261','S95-5','aWytkeQTQwmIJd', 'MB')
('AC22517-2022-11-02-2275','A127-7','M', 'LB')
('SL22517-2022-11-02-2263','S95-7','mzvqaFNtf', 'SL')
('AC22517-2022-11-01-2326','A130-4','ufOWCvcNuD', 'UB')
('SL22517-2022-11-01-2280','S95-24','qVEvVDSxH', 'SU')
('SL04652-2022-11-02-2288','S96-8','UFWJjLih', 'SU')
('SL22517-2022-11-02-2266','S95-10','DvUGkJsmPkUwF', 'MB')
('AC04652-2022-11-02-2291','A128-5','YiIgEpnPe', 'SL')
('SL22517-2022-11-02-2268','S95-12','nshMXjJWfBXlfao', 'LB')
('SL04652-2022-11-01-2246','S94-14','pRlx', 'UB')
('SL12058-2022-11-01-2251','S94-19','KmhlpUwidyJBaAHE', 'UB')
('AC12058-2022-11-01-2282','A127-14','hTStuXXI', 'LB')
('SL22517-2022-11-01-2305','S97-1','yJklaIgRrl', 'LB')
('SL04652-2022-11-02-2342','S98-14','IRVezpKtTx', 'UB')
('SL22517-2022-11-01-2342','S98-14','jUPbYXb', 'UB')
('SL12058-2022-11-01-2292','S96-12','rjoHrYzONzQDLPL', 'LB')
('AC12058-2022-11-01-2323','A130-1','BEjsJHrzHoga', 'LB')
('AC12058-2022-11-01-2324','A130-2','CJbNjoqtXpEDxx', 'LB')
('AC04652-2022-11-01-2450','A137-2','MOXZPHbugmN', 'LB')
('AC22517-2022-11-02-2328','A130-6','RNAxkiusgA', 'SU')
('AC04652-2022-11-01-2452','A137-4','GAyrfj', 'UB')
('AC12058-2022-11-01-2327','A130-5','oAbngZ', 'SL')
('SL04652-2022-11-02-2350','S98-22','OZXBNvtSZNOrOQW', 'UB')
('SL04652-2022-11-02-2351','S98-23','Fz', 'SL')
('SL22517-2022-11-02-2336','S98-8','fwbxhryfxDsnqgJM', 'SU')
('SL22517-2022-11-02-2338','S98-10','oxsKrZzmeElMOf', 'MB')
('AC22517-2022-11-01-2403','A134-9','WfXRojDlzqOG', 'UB')
('AC22517-2022-11-01-2408','A134-14','iRg', 'LB')
('AC22517-2022-11-02-2345','A131-5','LxaJ', 'SL')
('SL22517-2022-11-02-2347','S98-19','zAeHpZrDWn', 'UB')
('AC12058-2022-11-01-2340','A130-18','PfJv', 'SU')
('SL22517-2022-11-01-2368','S99-16','epNvIjHhkCXe', 'SU')
('AC04652-2022-11-02-2366','A132-8','u', 'LB')
('SL04652-2022-11-02-2365','S99-13','BWkQIHMevdsgect', 'MB')
('SL22517-2022-11-02-2349','S98-21','PmcDDzTDcTufi', 'MB')
('AC12058-2022-11-01-2356','A131-16','ODy', 'UB')
('SL22517-2022-11-01-2383','S100-7','NJOVFrfZtkgivND', 'SL')
('AC22517-2022-11-02-2366','A132-8','pfvVtMvWWncMFl', 'LB')
('SL22517-2022-11-01-2437','S102-13','tABMfQwI', 'MB')
('SL04652-2022-11-01-2400','S100-24','ZqpmfxDxgmCuG', 'SU')
('AC22517-2022-11-01-2473','A138-7','NCkdALcbax', 'LB')
('SL04652-2022-11-02-2433','S102-9','alv', 'LB')
('AC04652-2022-11-02-2431','A136-1','PNiiCcvIpBYbaFq', 'LB')
('SL04652-2022-11-01-2406','S101-6','XA', 'UB')
('SL04652-2022-11-02-2437','S102-13','caWWE', 'MB')
('AC12058-2022-11-01-2417','A135-5','aiMfGXUkSTQpE', 'SL')
('SL22517-2022-11-02-2418','S101-18','SFLo', 'MB')
('AC04652-2022-11-01-2544','A142-6','cJsWSZYBvRvrbi', 'SU')
('SL04652-2022-11-02-2438','S102-14','NliQfzIt', 'UB')
('SL12058-2022-11-01-2381','S100-5','LgWv', 'MB')
('SL04652-2022-11-02-2442','S102-18','zSNOBoZCoFqSI', 'MB')
('SL22517-2022-11-01-2450','S103-2','lKAuix', 'MB')
('AC04652-2022-11-02-2442','A136-12','o', 'SU')
('AC04652-2022-11-01-2547','A142-9','ohwJNYmT', 'UB')
('AC04652-2022-11-01-2548','A142-10','nXZQBu', 'UB')
('SL12058-2022-11-01-2393','S100-17','UrB', 'LB')
('SL22517-2022-11-01-2457','S103-9','OCz', 'LB')
('SL04652-2022-11-02-2505','S105-9','hBHgaShNKxlMJf', 'LB')
('AC22517-2022-11-01-2543','A142-5','zIgfDkiXUlkct', 'SL')
('AC04652-2022-11-01-2601','A145-9','iAL', 'UB')
('AC22517-2022-11-02-2481','A138-15','fWY', 'UB')
('AC04652-2022-11-01-2603','A145-11','HoVI', 'SL')
('SL12058-2022-11-01-2446','S102-22','UTCxmAgBXkRimWb', 'UB')
('AC04652-2022-11-01-2605','A145-13','YUqTkaT', 'LB')
('SL04652-2022-11-02-2525','S106-5','cSNk', 'MB')
('SL22517-2022-11-01-2534','S106-14','SrEu', 'UB')
('SL12058-2022-11-01-2467','S103-19','bosHhVDYXkB', 'UB')
('AC04652-2022-11-02-2530','A141-10','pBkOhdIM', 'UB')
('AC04652-2022-11-01-2628','A146-18','izcKHpoMs', 'SU')
('AC22517-2022-11-02-2509','A140-7','XVkdnGegj', 'LB')
('SL04652-2022-11-01-2538','S106-18','CRyLotreYXVZtdi', 'MB')
('AC22517-2022-11-01-2613','A146-3','qDOtEtHCYywR', 'UB')
('SL22517-2022-11-01-2593','S109-1','UqfmB', 'LB')
('AC04652-2022-11-02-2573','A143-17','AQ', 'SL')
('AC22517-2022-11-01-2617','A146-7','OmhkvSIaTpRgprv', 'LB')
('AC04652-2022-11-01-2682','A149-18','czFudGvaHePZo', 'SU')
('SL04652-2022-11-01-2592','S108-24','JVxj', 'SU')
('SL04652-2022-11-01-2593','S109-1','SdMwDv', 'LB')
('SL04652-2022-11-01-2594','S109-2','pzACWhY', 'MB')
('SL22517-2022-11-02-2585','S108-17','Ku', 'LB')
('AC22517-2022-11-02-2614','A146-4','pnrnmzgBC', 'UB')
('SL04652-2022-11-02-2633','S110-17','y', 'LB')
('AC04652-2022-11-01-2729','A152-11','EFb', 'SL')
('AC04652-2022-11-02-2628','A146-18','R', 'SU')
('SL04652-2022-11-01-2604','S109-12','oGopJCtRdoGhz', 'LB')
('AC04652-2022-11-02-2630','A147-2','EXJREkO', 'LB')
('SL04652-2022-11-02-2638','S110-22','FtdOJEGPYueIQdKL', 'UB')
('SL22517-2022-11-01-2643','S111-3','MqkDLJnb', 'UB')
('SL12058-2022-11-01-2595','S109-3','vasoILZls', 'UB')
('AC04652-2022-11-02-2636','A147-8','ryDGweHlGTWlqrY', 'LB')
('SL22517-2022-11-01-2646','S111-6','KcvgBZQyrsiSEE', 'UB')
('AC04652-2022-11-01-2735','A152-17','cbbmaOrWWACBSd', 'SL')
('AC04652-2022-11-01-2738','A153-2','Xo', 'LB')
('SL12058-2022-11-01-2601','S109-9','sLeGQezy', 'LB')
('SL22517-2022-11-02-2593','S109-1','erDZkApU', 'LB')
('AC22517-2022-11-01-2695','A150-13','RwMevPBxiJuFk', 'LB')
('SL22517-2022-11-02-2597','S109-5','kVJCT', 'MB')
('SL22517-2022-11-02-2598','S109-6','aeFOBzmLVoWA', 'UB')
('SL04652-2022-11-02-2677','S112-13','OFGTsNdPuyCbEJ', 'MB')
('SL22517-2022-11-01-2703','S113-15','OeXjxFgLRn', 'SL')
('SL04652-2022-11-02-2693','S113-5','fPaBTpryqB', 'MB')
('AC22517-2022-11-01-2736','A152-18','JF', 'SU')
('AC22517-2022-11-02-2717','A151-17','nGNUyjnhHDZjoA', 'SL')
('AC04652-2022-11-02-2741','A153-5','PtAFSJtgkLpzj', 'SL')
('AC04652-2022-11-01-2840','A158-14','GABnyQRlfHd', 'LB')
('SL04652-2022-11-01-2719','S114-7','fcZgkxSGkc', 'SL')
('AC04652-2022-11-02-2745','A153-9','fFHqShOZSAKpld', 'UB')
('SL22517-2022-11-01-2774','S116-14','HzsdmYsvEMHyeRD', 'UB')
('SL12058-2022-11-01-2687','S112-23','KdKsIuZYP', 'SL')
('AC22517-2022-11-02-2744','A153-8','AVZwPCwIgsCwy', 'LB')
('SL12058-2022-11-01-2697','S113-9','fHrU', 'LB')
('SL22517-2022-11-01-2782','S116-22','nmfawAOUHYiZy', 'UB')
('AC04652-2022-11-01-2895','A161-15','ladjAToQc', 'UB')
('SL04652-2022-11-01-2773','S116-13','RdfioXcgGUBYdNh', 'MB')
('SL22517-2022-11-02-2738','S115-2','dQvwQYIKM', 'MB')
('SL22517-2022-11-02-2739','S115-3','DwT', 'UB')
('AC22517-2022-11-01-2867','A160-5','dbooTkvYBrLFg', 'SL')
('SL22517-2022-11-02-2742','S115-6','fQwoAfpYJERnQ', 'UB')
('SL22517-2022-11-01-2811','S118-3','Jf', 'UB')
('AC12058-2022-11-01-2753','A153-17','GHtR', 'SL')
('SL22517-2022-11-02-2744','S115-8','OeHIDbBuhRDlIbxP', 'SU')
('AC22517-2022-11-02-2793','A156-3','rvRnJL', 'UB')
('AC22517-2022-11-01-2868','A160-6','YGzpZM', 'SU')
('AC22517-2022-11-01-2869','A160-7','YwGPS', 'LB')
('AC12058-2022-11-01-2755','A154-1','XHDtzRRkvchIPTV', 'LB')
('SL04652-2022-11-02-2813','S118-5','ftpODZKQNsumU', 'MB')
('AC22517-2022-11-02-2795','A156-5','HyZLkIfX', 'SL')
('SL22517-2022-11-01-2817','S118-9','ySP', 'LB')
('SL04652-2022-11-01-2780','S116-20','WNUHtVKcidw', 'LB')
('SL04652-2022-11-01-2781','S116-21','XDFbUm', 'MB')
('AC22517-2022-11-02-2832','A158-6','sAaBRrQOKEkLSun', 'SU')
('AC22517-2022-11-01-2897','A161-17','Aa', 'SL')
('SL04652-2022-11-02-2912','S122-8','c', 'SU')
('AC04652-2022-11-02-2872','A160-10','cXRQwmPosQRGOBK', 'UB')
('AC22517-2022-11-01-2949','A164-15','vQDCZmFAMpSRv', 'UB')
('AC22517-2022-11-01-2950','A164-16','pvbMXskGovKwlk', 'UB')
('AC22517-2022-11-02-2887','A161-7','vG', 'LB')
('SL04652-2022-11-01-2878','S120-22','TRCPDaXalsszew', 'UB')
('SL22517-2022-11-02-2850','S119-18','jkVlZcwv', 'MB')
('AC04652-2022-11-02-2877','A160-15','ivPpC', 'UB')
('SL04652-2022-11-01-2881','S121-1','zBPgvUvuVvhE', 'LB')
('AC04652-2022-11-02-2879','A160-17','Pzlf', 'SL')
('SL22517-2022-11-02-2855','S119-23','tkox', 'SL')
('AC04652-2022-11-02-2881','A161-1','bRUiwzTdFEIf', 'LB')
('AC22517-2022-11-01-2955','A165-3','YiqJB', 'UB')
('SL12058-2022-11-01-2810','S118-2','DAVSNbn', 'MB')
('SL04652-2022-11-02-2925','S122-21','qVKburHCQpn', 'MB')
('SL22517-2022-11-02-2861','S120-5','wkLnlUdWpIiXodP', 'MB')
('SL22517-2022-11-02-2862','S120-6','SKQTfaD', 'UB')
('SL22517-2022-11-01-2900','S121-20','AKjJXLC', 'LB')
('AC04652-2022-11-01-3009','A168-3','gL', 'UB')
('SL04652-2022-11-02-2931','S123-3','LtWepBvsurT', 'UB')
('SL12058-2022-11-01-2815','S118-7','JGJDjq', 'SL')
('SL22517-2022-11-01-2903','S121-23','MLlff', 'SL')
('SL22517-2022-11-02-2872','S120-16','wTJJglAzcwe', 'SU')
('AC22517-2022-11-01-2965','A165-13','l', 'LB')
('AC22517-2022-11-02-2900','A162-2','QV', 'LB')
('AC04652-2022-11-02-2888','A161-8','XDCuvanoZDpVGLC', 'LB')
('AC04652-2022-11-02-2890','A161-10','AedKloUT', 'UB')
('SL22517-2022-11-01-2908','S122-4','efLQpws', 'LB')
('AC22517-2022-11-02-2904','A162-6','pNqWROFXnuC', 'SU')
('SL04652-2022-11-02-2983','S125-7','YDpdKTOqHBuAauH', 'SL')
('SL04652-2022-11-01-2940','S123-12','IoOgOo', 'LB')
('SL12058-2022-11-01-2882','S121-2','WkNbeIGAuBMi', 'MB')
('AC22517-2022-11-02-2957','A165-5','LoRjWLTkyIUpG', 'SL')
('AC04652-2022-11-02-2974','A166-4','jxZHndVUfg', 'UB')
('AC04652-2022-11-01-3119','A174-5','RzzETTtjl', 'SL')
('SL12058-2022-11-01-2930','S123-2','ncXmpPSfpTKqcga', 'MB')
('AC12058-2022-11-01-2952','A164-18','bWGnXqyQTdQbkJiF', 'SU')
('SL22517-2022-11-02-2979','S125-3','mo', 'UB')
('AC04652-2022-11-01-3130','A174-16','zwNwHxgcb', 'UB')
('SL22517-2022-11-01-3013','S126-13','oLROBCXmfpB', 'MB')
('SL22517-2022-11-01-3014','S126-14','HHlx', 'UB')
('SL04652-2022-11-01-3012','S126-12','FlZZMPa', 'LB')
('SL12058-2022-11-01-2938','S123-10','WW', 'MB')
('AC04652-2022-11-02-3001','A167-13','NchXc', 'LB')
('SL22517-2022-11-02-2984','S125-8','FHQKMSgLD', 'SU')
('AC22517-2022-11-01-3080','A172-2','Esyhid', 'LB')
('AC04652-2022-11-01-3144','A175-12','PJCsxIR', 'SU')
('SL12058-2022-11-01-2952','S123-24','ZhIctmBhkGpjepB', 'SU')
('SL04652-2022-11-02-3069','S128-21','ZrjsmOqjStm', 'MB')
('AC12058-2022-11-01-2968','A165-16','OyZyWeu', 'UB')
('AC22517-2022-11-02-3041','A169-17','XwYyZma', 'SL')
('AC22517-2022-11-01-3097','A173-1','UdX', 'LB')
('SL22517-2022-11-01-3040','S127-16','bG', 'SU')
('SL04652-2022-11-02-3084','S129-12','bq', 'LB')
('AC22517-2022-11-01-3103','A173-7','jMXkdHvqppJ', 'LB')
('SL04652-2022-11-01-3044','S127-20','Akfvs', 'LB')
('SL12058-2022-11-01-2970','S124-18','jOYgttwRY', 'MB')
('AC12058-2022-11-01-2985','A166-15','lujwnZlR', 'UB')
('SL12058-2022-11-01-2973','S124-21','HCpIknJxcbo', 'MB')
('SL22517-2022-11-02-3004','S126-4','PXgAceVFRHpWc', 'LB')
('SL04652-2022-11-02-3089','S129-17','uA', 'LB')
('AC22517-2022-11-02-3058','A170-16','gQBOu', 'UB')
('AC04652-2022-11-02-3048','A170-6','hrylDBHXhSQhxup', 'SU')
('AC04652-2022-11-02-3061','A171-1','qDFzeDSEsZ', 'LB')
('SL04652-2022-11-01-3075','S129-3','pzGTL', 'UB')
('AC22517-2022-11-02-3134','A175-2','TeUqcIRXlH', 'LB')
('AC22517-2022-11-01-3182','A177-14','lCOkjDckbcbWJv', 'LB')
('AC04652-2022-11-02-3134','A175-2','JsWHEwhAYToWqs', 'LB')
('SL22517-2022-11-02-3084','S129-12','Z', 'LB')
('AC04652-2022-11-02-3136','A175-4','Ch', 'UB')
('SL12058-2022-11-01-3059','S128-11','zSliBIS', 'UB')
('SL22517-2022-11-01-3122','S131-2','UAuxERV', 'MB')
('SL22517-2022-11-02-3090','S129-18','GOobPLoWlmm', 'MB')
('AC22517-2022-11-02-3148','A175-16','OfZHcv', 'UB')
('AC12058-2022-11-01-3081','A172-3','ASpwn', 'UB')
('SL22517-2022-11-02-3099','S130-3','K', 'UB')
('SL04652-2022-11-02-3196','S134-4','iz', 'LB')
('SL12058-2022-11-01-3072','S128-24','KAgeIqHcvEZ', 'SU')
('SL22517-2022-11-02-3103','S130-7','JRNNWxGxmTECj', 'SL')
('AC04652-2022-11-02-3158','A176-8','xAoOdFFpaJLanW', 'LB')
('SL04652-2022-11-01-3164','S132-20','qlN', 'LB')
('AC12058-2022-11-01-3105','A173-9','Ue', 'UB')
('SL04652-2022-11-01-3195','S134-3','okeEJMVCXg', 'UB')
('AC04652-2022-11-02-3220','A179-16','wwiRchAqqJPpq', 'UB')
('AC22517-2022-11-02-3221','A179-17','ATIdecBNNNYvV', 'SL')
('AC12058-2022-11-01-3199','A178-13','vRX', 'LB')
('SL04652-2022-11-02-3299','S138-11','KwvJTydn', 'UB')
('AC22517-2022-11-02-3251','A181-11','ptCjVfyNVN', 'SL')
('SL22517-2022-11-02-3205','S134-13','vxmEJqrd', 'MB')
('AC12058-2022-11-01-3208','A179-4','hMqY', 'UB')
('SL22517-2022-11-02-3209','S134-17','poyDi', 'LB')
('SL04652-2022-11-02-3304','S138-16','ybVIynuJNpIu', 'SU')
('AC04652-2022-11-01-3374','A188-8','cNAcJfvmDH', 'LB')
('AC22517-2022-11-01-3303','A184-9','jQ', 'UB')
('SL22517-2022-11-01-3231','S135-15','PK', 'SL')
('SL04652-2022-11-02-3313','S139-1','h', 'LB')
('AC04652-2022-11-02-3290','A183-14','xXM', 'LB')
('AC04652-2022-11-02-3296','A184-2','jkKkBrjSmXekJE', 'LB')
('AC22517-2022-11-01-3363','A187-15','DPJsjQFRBWkaNhmz', 'UB')
('SL04652-2022-11-02-3359','S140-23','NUDoIFAxnGYNBQ', 'SL')
('AC22517-2022-11-01-3365','A187-17','Cuv', 'SL')
('SL04652-2022-11-02-3361','S141-1','gljanWcsrU', 'LB')
('AC22517-2022-11-01-3373','A188-7','vgczgSsuuKQDiiD', 'LB')
('AC22517-2022-11-01-3375','A188-9','ujEjFMkZv', 'UB')
('SL22517-2022-11-01-3285','S137-21','REKT', 'MB')
('AC04652-2022-11-02-3306','A184-12','fM', 'SU')
('SL22517-2022-11-01-3287','S137-23','cuNX', 'SL')
('SL04652-2022-11-01-3299','S138-11','yK', 'UB')
('AC04652-2022-11-02-3309','A184-15','xxweFi', 'UB')
('SL22517-2022-11-01-3291','S138-3','GZLkYbrEQkvxDQ', 'UB')
('SL12058-2022-11-01-3251','S136-11','QWIv', 'UB')
('AC04652-2022-11-01-3456','A192-18','ngdwUKjqJmyml', 'SU')
('SL04652-2022-11-01-3318','S139-6','d', 'UB')
('AC04652-2022-11-01-3458','A193-2','Pi', 'LB')
('AC04652-2022-11-01-3459','A193-3','nZ', 'UB')
('AC12058-2022-11-01-3282','A183-6','rMklFcspqPzROdDl', 'SU')
('AC22517-2022-11-01-3399','A189-15','j', 'UB')
