('SL12058-2022-11-01-1','S1-1','thYjYi', 'LB')
('AC04652-2022-11-02-359','A20-17','QkGvnFFML', 'SL')
('AC22517-2022-11-02-404','A23-8','PZKhDzdCClux', 'LB')
('SL04652-2022-11-01-358','S15-22','PHwnVUHscnhKvVb', 'UB')
('SL04652-2022-11-01-467','S20-11','ijqLxfehijnxpZ', 'UB')
('AC04652-2022-11-02-492','A28-6','IXIKRRkj', 'SU')
('SL22517-2022-11-01-467','S20-11','bgbHxzUbV', 'UB')
('SL04652-2022-11-01-472','S20-16','PUtjkUJlChmbr', 'SU')
('SL22517-2022-11-02-476','S20-20','tnUCcXPFadsAjk', 'LB')
('SL22517-2022-11-02-480','S20-24','nvsfWRwzmlx', 'SU')
('AC04652-2022-11-02-504','A28-18','UUokFxvBLLcLXXO', 'SU')
('SL22517-2022-11-01-478','S20-22','TWQKTSkvY', 'UB')
('AC22517-2022-11-02-522','A29-18','cyncvAliHysti', 'SU')
('SL22517-2022-11-02-485','S21-5','DbOSLhzWhXB', 'MB')
('SL04652-2022-11-02-455','S19-23','hKdDawWJZXTBgEJw', 'SL')
('SL22517-2022-11-01-484','S21-4','sddEbOdqRNHQ', 'LB')
('AC04652-2022-11-01-506','A29-2','oivQsIBUdlzH', 'LB')
('SL22517-2022-11-01-486','S21-6','HwTzeGMTfU', 'UB')
('AC22517-2022-11-02-527','A30-5','YFjiHWDUBOBy', 'SL')
('SL22517-2022-11-01-487','S21-7','LluS', 'SL')
('SL22517-2022-11-01-488','S21-8','NpPg', 'SU')
('AC22517-2022-11-02-529','A30-7','KMKAYhUNIUm', 'LB')
('AC22517-2022-11-02-530','A30-8','aWjtH', 'LB')
('AC04652-2022-11-02-514','A29-10','WvVjyFlgqKOzTUu', 'UB')
('SL12058-2022-11-01-494','S21-14','KQN', 'UB')
('AC22517-2022-11-02-534','A30-12','whBeLuTykLXXxq', 'SU')
('AC22517-2022-11-01-455','A26-5','TRR', 'SL')
('AC04652-2022-11-01-512','A29-8','fFdoUQuvECmko', 'LB')
('SL12058-2022-11-01-506','S22-2','LCRtbNafFMUTNWKy', 'MB')
('AC12058-2022-11-01-541','A31-1','eloiItUYTfJlHt', 'LB')
('AC12058-2022-11-01-545','A31-5','Ufk', 'SL')
('AC22517-2022-11-01-465','A26-15','glXXlYRPzfN', 'UB')
('AC22517-2022-11-02-564','A32-6','bweLBEDVk', 'SU')
('AC12058-2022-11-01-551','A31-11','xCCZJpB', 'SL')
('SL12058-2022-11-01-516','S22-12','dzKDCjjdtnFLzCaH', 'LB')
('SL22517-2022-11-02-509','S22-5','ouq', 'MB')
('SL04652-2022-11-01-505','S22-1','Kj', 'LB')
('SL22517-2022-11-01-513','S22-9','srBW', 'LB')
('SL12058-2022-11-01-517','S22-13','kUNJttV', 'MB')
('SL22517-2022-11-01-515','S22-11','UiFPmjiiggFdPG', 'UB')
('SL04652-2022-11-02-483','S21-3','aqoiOVb', 'UB')
('SL12058-2022-11-01-520','S22-16','Uff', 'SU')
('SL22517-2022-11-01-524','S22-20','kqRLWcBBDRVHKpES', 'LB')
('AC04652-2022-11-02-581','A33-5','kiIgaDE', 'SL')
('AC04652-2022-11-02-582','A33-6','OKVgKAf', 'SU')
('SL22517-2022-11-01-579','S25-3','cuErmN', 'UB')
('SL04652-2022-11-02-524','S22-20','EzxCoBRLPFy', 'LB')
('SL04652-2022-11-02-526','S22-22','FINSMQDxuT', 'UB')
('SL04652-2022-11-02-527','S22-23','WchpXqJgvSLMzob', 'SL')
('SL22517-2022-11-02-567','S24-15','QgLGkAyxcvtIZ', 'SL')
('SL22517-2022-11-01-584','S25-8','DZLS', 'SU')
('SL04652-2022-11-01-578','S25-2','MMvKboCItaOlwu', 'MB')
('AC12058-2022-11-01-607','A34-13','IWbW', 'LB')
('SL04652-2022-11-01-587','S25-11','bQULBvTeJddVKCJX', 'UB')
('SL04652-2022-11-02-539','S23-11','BiXHGuqYEZWb', 'UB')
('SL04652-2022-11-01-588','S25-12','UavBS', 'LB')
('SL22517-2022-11-01-676','S29-4','LRbeZcgDmH', 'LB')
('SL12058-2022-11-01-663','S28-15','G', 'SL')
('AC22517-2022-11-02-716','A40-14','lAvBHXOcG', 'LB')
('SL12058-2022-11-01-743','S31-23','FylNW', 'SL')
('SL04652-2022-11-02-700','S30-4','EWNrg', 'LB')
('SL04652-2022-11-01-734','S31-14','SyxblMz', 'UB')
('AC22517-2022-11-02-767','A43-11','udZGPRFc', 'SL')
('AC22517-2022-11-01-701','A39-17','zorMgyO', 'SL')
('SL22517-2022-11-01-756','S32-12','PsbfTrme', 'LB')
('AC04652-2022-11-01-741','A42-3','xG', 'UB')
('SL12058-2022-11-01-761','S32-17','blJ', 'LB')
('AC04652-2022-11-01-744','A42-6','bUYkpxlyEc', 'SU')
('AC04652-2022-11-02-741','A42-3','odSAXNOZtiu', 'UB')
('SL04652-2022-11-01-750','S32-6','rTFL', 'UB')
('SL12058-2022-11-01-763','S32-19','bTfWdMPKSggWOXhB', 'UB')
('SL04652-2022-11-01-752','S32-8','PcQrmr', 'SU')
('SL12058-2022-11-01-766','S32-22','BairAJli', 'UB')
('AC12058-2022-11-01-799','A45-7','NwwdHtTAvwMCuc', 'LB')
('SL22517-2022-11-02-791','S33-23','RkFWzh', 'SL')
('SL04652-2022-11-01-788','S33-20','gBsYuVVedxWVEmYv', 'LB')
('AC12058-2022-11-01-802','A45-10','WMZvXp', 'UB')
('SL04652-2022-11-02-744','S31-24','MmMePYP', 'SU')
('SL04652-2022-11-01-789','S33-21','ostWWsEzaLmjlz', 'MB')
('AC04652-2022-11-01-794','A45-2','gpK', 'LB')
('SL04652-2022-11-01-805','S34-13','l', 'MB')
('AC04652-2022-11-02-790','A44-16','hlQPsochTsuCVQp', 'UB')
('AC12058-2022-11-01-820','A46-10','KWIBJhAnVme', 'UB')
('AC22517-2022-11-02-851','A48-5','EPDRWQzOwqfG', 'SL')
('AC04652-2022-11-02-794','A45-2','nIA', 'LB')
('SL22517-2022-11-01-818','S35-2','MygbJS', 'MB')
('AC22517-2022-11-02-854','A48-8','waCcBVWE', 'LB')
('SL12058-2022-11-01-828','S35-12','IZEl', 'LB')
('AC04652-2022-11-01-821','A46-11','NMp', 'SL')
('AC04652-2022-11-02-804','A45-12','dDAYtTkAWUU', 'SU')
('SL04652-2022-11-01-820','S35-4','OowiqluIPKL', 'LB')
('AC04652-2022-11-01-825','A46-15','fOnrRtRwwyb', 'UB')
('AC04652-2022-11-01-830','A47-2','hwqccX', 'LB')
('SL04652-2022-11-02-816','S34-24','QAWuIEE', 'SU')
('AC04652-2022-11-01-867','A49-3','sRswM', 'UB')
('AC04652-2022-11-02-840','A47-12','ZoGVjqjSEpMUVjjJ', 'SU')
('AC04652-2022-11-01-868','A49-4','XHThs', 'UB')
('SL04652-2022-11-02-827','S35-11','JpHTRYWSGgrhXUQI', 'UB')
('AC22517-2022-11-01-828','A46-18','GqVbUQYfTrbkOlcE', 'SU')
('AC22517-2022-11-01-829','A47-1','SojwNMKKMbsQ', 'LB')
('AC04652-2022-11-02-862','A48-16','ZepZLyGnb', 'UB')
('AC22517-2022-11-02-916','A51-16','NlqtIBqQT', 'UB')
('SL22517-2022-11-02-882','S37-18','YGNBtoXy', 'MB')
('SL12058-2022-11-01-893','S38-5','cnltBfNzj', 'MB')
('SL12058-2022-11-01-894','S38-6','WAydlNsSZPpF', 'UB')
('AC12058-2022-11-01-886','A50-4','Kkpa', 'UB')
('SL04652-2022-11-02-837','S35-21','KNQifMd', 'MB')
('SL12058-2022-11-01-899','S38-11','xyQXFvIypI', 'UB')
('AC04652-2022-11-02-868','A49-4','TFBtO', 'UB')
('SL12058-2022-11-01-900','S38-12','XqJIywOAScCAYAxR', 'LB')
('SL22517-2022-11-01-879','S37-15','qebXcColeNg', 'SL')
('AC04652-2022-11-02-871','A49-7','hjudJbDMuU', 'LB')
('SL04652-2022-11-01-869','S37-5','dgtrDuNEZhfGq', 'MB')
('SL04652-2022-11-01-870','S37-6','qdGcMeWUbjZC', 'UB')
('AC04652-2022-11-01-902','A51-2','cqUGnBQ', 'LB')
('SL04652-2022-11-02-843','S36-3','XqMRaFyzNd', 'UB')
('AC04652-2022-11-01-905','A51-5','rZ', 'SL')
('SL12058-2022-11-01-907','S38-19','zTpKjCDzesbD', 'UB')
('SL04652-2022-11-02-844','S36-4','xWJW', 'LB')
('AC04652-2022-11-02-875','A49-11','GJGxIF', 'SL')
('AC22517-2022-11-01-849','A48-3','FEXLgsmYZXruvYJ', 'UB')
('SL04652-2022-11-01-878','S37-14','JK', 'UB')
('SL04652-2022-11-01-879','S37-15','KiNIXFpQQb', 'SL')
('AC22517-2022-11-01-852','A48-6','HjgGCwBlumxUE', 'SU')
('SL12058-2022-11-01-916','S39-4','EBJVU', 'LB')
('AC12058-2022-11-01-901','A51-1','FX', 'LB')
('SL04652-2022-11-02-851','S36-11','uNXINAtHTFaPNXR', 'UB')
('SL22517-2022-11-01-893','S38-5','XRync', 'MB')
('AC04652-2022-11-01-917','A51-17','XKQHXFf', 'SL')
('SL22517-2022-11-01-897','S38-9','PWNLfggCBybnYz', 'LB')
('SL22517-2022-11-02-936','S39-24','pIw', 'SU')
('SL22517-2022-11-02-937','S40-1','NdJTUqZ', 'LB')
('AC22517-2022-11-01-888','A50-6','wZWPp', 'SU')
('SL12058-2022-11-01-952','S40-16','XObIWgjOP', 'SU')
('AC12058-2022-11-01-926','A52-8','Jm', 'LB')
('AC22517-2022-11-01-897','A50-15','RSaHs', 'UB')
('SL22517-2022-11-01-938','S40-2','oX', 'MB')
('SL12058-2022-11-01-958','S40-22','KYWue', 'UB')
('SL04652-2022-11-01-928','S39-16','ypCZeKyvyekEYvas', 'SU')
('SL22517-2022-11-02-948','S40-12','ZrVWAuvhqDF', 'LB')
('AC12058-2022-11-01-932','A52-14','dsDxtrLbREbBwUD', 'LB')
('SL04652-2022-11-02-898','S38-10','qWp', 'MB')
('AC12058-2022-11-01-937','A53-1','INdR', 'LB')
('AC22517-2022-11-02-986','A55-14','ShHscrjTTBoytNx', 'LB')
('AC22517-2022-11-01-909','A51-9','iaW', 'UB')
('SL22517-2022-11-02-956','S40-20','tXwaLb', 'LB')
('SL22517-2022-11-02-960','S40-24','yIsfHbl', 'SU')
('AC22517-2022-11-01-913','A51-13','wCOlCrozwHAJrn', 'LB')
('AC22517-2022-11-01-914','A51-14','TDlCXzb', 'LB')
('SL04652-2022-11-02-902','S38-14','NztglkXcaOS', 'UB')
('SL04652-2022-11-01-939','S40-3','Vk', 'UB')
('AC22517-2022-11-01-917','A51-17','iESVyxxsVGCcl', 'SL')
('AC04652-2022-11-01-962','A54-8','KeOZTXy', 'LB')
('AC22517-2022-11-01-922','A52-4','oDhEg', 'UB')
('AC04652-2022-11-02-929','A52-11','vCXgmiTAGtoB', 'SL')
('SL04652-2022-11-01-950','S40-14','mXr', 'UB')
('SL22517-2022-11-02-975','S41-15','tUhamOe', 'SL')
('SL04652-2022-11-02-914','S39-2','KOeghtjmAUuT', 'MB')
('SL22517-2022-11-02-977','S41-17','BwFX', 'LB')
('AC04652-2022-11-01-968','A54-14','YjKhmIEFhYxWcbec', 'LB')
('SL04652-2022-11-01-951','S40-15','rFteVGVceREebZ', 'SL')
('SL22517-2022-11-01-968','S41-8','FEsEC', 'SU')
('SL12058-2022-11-01-985','S42-1','h', 'LB')
('SL22517-2022-11-02-985','S42-1','xpknHKPsKg', 'LB')
('SL04652-2022-11-01-955','S40-19','bzleulGPmsuyeDcg', 'UB')
('AC22517-2022-11-02-1011','A57-3','wX', 'UB')
('AC04652-2022-11-02-949','A53-13','XzptZbGaMWfYam', 'LB')
('SL22517-2022-11-01-973','S41-13','fwRLalcGlY', 'MB')
('AC04652-2022-11-01-979','A55-7','YmIFCTGMSrdaE', 'LB')
('SL22517-2022-11-01-974','S41-14','UysaG', 'UB')
('AC04652-2022-11-02-953','A53-17','ljektWV', 'SL')
('SL22517-2022-11-01-975','S41-15','MLFYdRfJKPB', 'SL')
('AC12058-2022-11-01-963','A54-9','EQluZDpNwJtm', 'UB')
('AC04652-2022-11-01-989','A55-17','QGpzWuXXU', 'SL')
('SL04652-2022-11-01-969','S41-9','tMQmQwxsEnir', 'LB')
('SL22517-2022-11-01-980','S41-20','Gb', 'LB')
('AC04652-2022-11-01-993','A56-3','qAz', 'UB')
('AC22517-2022-11-01-950','A53-14','ooZIVeUenHi', 'LB')
('AC22517-2022-11-01-951','A53-15','QQhJTIloEVUCBy', 'UB')
('SL22517-2022-11-02-1012','S43-4','sKOEgkQiLa', 'LB')
('AC12058-2022-11-01-976','A55-4','tCwtihz', 'UB')
('SL04652-2022-11-02-931','S39-19','ZwoxlTHYOA', 'UB')
('AC22517-2022-11-01-1000','A56-10','sujwuopbkxPzMR', 'UB')
('AC04652-2022-11-01-1035','A58-9','fOm', 'UB')
('SL04652-2022-11-01-1025','S43-17','NqKlfSUOHKOgYyB', 'LB')
('SL04652-2022-11-02-978','S41-18','MGYyjszjEoIuIWn', 'MB')
('AC04652-2022-11-01-1040','A58-14','VfwDV', 'LB')
('AC12058-2022-11-01-1024','A57-16','BnkYgC', 'UB')
('AC04652-2022-11-01-1047','A59-3','nz', 'UB')
('SL22517-2022-11-02-1086','S46-6','UTh', 'UB')
('AC04652-2022-11-02-1027','A58-1','aZRcQfihhZX', 'LB')
('AC22517-2022-11-01-1018','A57-10','oERzUV', 'UB')
('AC04652-2022-11-02-1031','A58-5','eDVVbDmGLdFoux', 'SL')
('AC04652-2022-11-01-1058','A59-14','aeBnEziNlrdCeYB', 'LB')
('AC22517-2022-11-02-1086','A61-6','WoeUmOxUf', 'SU')
('AC04652-2022-11-01-1060','A59-16','FCUZRibz', 'UB')
('AC22517-2022-11-02-1087','A61-7','VOhQYdwthfvvw', 'LB')
('AC04652-2022-11-01-1062','A59-18','DyBUisr', 'SU')
('AC04652-2022-11-01-1063','A60-1','w', 'LB')
('AC22517-2022-11-02-1089','A61-9','jMUziHPZ', 'UB')
('AC12058-2022-11-01-1040','A58-14','ctRgqMrFd', 'LB')
('SL12058-2022-11-01-1061','S45-5','Fph', 'MB')
('SL04652-2022-11-02-1012','S43-4','kiWuLyQHjEyFbYpt', 'LB')
('AC04652-2022-11-01-1074','A60-12','vt', 'SU')
('SL22517-2022-11-02-1105','S47-1','ptlZnHjXDeYFJW', 'LB')
('SL22517-2022-11-02-1136','S48-8','JPZc', 'SU')
('AC22517-2022-11-02-1149','A64-15','XbCI', 'UB')
('SL22517-2022-11-01-1126','S47-22','JZpHcAKtGdfZYt', 'UB')
('AC22517-2022-11-01-1106','A62-8','cPOTmZ', 'LB')
('AC22517-2022-11-01-1107','A62-9','AhoRQx', 'UB')
('AC22517-2022-11-02-1158','A65-6','BPzzm', 'SU')
