('SL12058-2022-11-01-175','S8-7','dXKgfuSBDPKiDjI', 'SL')
('AC04652-2022-11-02-459','A26-9','tWoFeChGJUJt', 'UB')
('SL04652-2022-11-01-449','S19-17','gxUzFI', 'LB')
('SL22517-2022-11-02-413','S18-5','vJd', 'MB')
('AC22517-2022-11-01-423','A24-9','kuhqZk', 'UB')
('AC22517-2022-11-01-424','A24-10','Wc', 'UB')
('SL12058-2022-11-01-423','S18-15','TwnTlgLxlt', 'SL')
('AC22517-2022-11-02-440','A25-8','KBJCGWTffRqy', 'LB')
('AC22517-2022-11-01-427','A24-13','RZFL', 'LB')
('SL22517-2022-11-02-416','S18-8','oPqLra', 'SU')
('SL22517-2022-11-02-418','S18-10','ixKL', 'MB')
('SL04652-2022-11-01-454','S19-22','FpK', 'UB')
('SL04652-2022-11-01-455','S19-23','TX', 'SL')
('AC22517-2022-11-02-445','A25-13','TBqXnMHGjoN', 'LB')
('AC12058-2022-11-01-430','A24-16','pMpyMDOFpp', 'UB')
('SL04652-2022-11-01-456','S19-24','tgFWycFc', 'SU')
('SL04652-2022-11-02-446','S19-14','FHqHOqtFr', 'UB')
('SL04652-2022-11-02-447','S19-15','jAtpODQw', 'SL')
('AC04652-2022-11-01-459','A26-9','FfCHSEk', 'UB')
('SL12058-2022-11-01-426','S18-18','UUxIfmKvVayFwxK', 'MB')
('AC12058-2022-11-01-431','A24-17','xSVmwxLyfDcpvW', 'SL')
('SL04652-2022-11-02-449','S19-17','cFLbLYCIc', 'LB')
('SL04652-2022-11-02-450','S19-18','iwcOzAlE', 'MB')
('SL22517-2022-11-01-442','S19-10','LGUOUHNEFVz', 'MB')
('SL04652-2022-11-02-452','S19-20','NaMxoWt', 'LB')
('AC22517-2022-11-01-435','A25-3','tW', 'UB')
('SL12058-2022-11-01-427','S18-19','YDrjQAhj', 'UB')
('SL12058-2022-11-01-428','S18-20','xGd', 'LB')
('SL22517-2022-11-02-427','S18-19','cNoNrrljRgw', 'UB')
('SL04652-2022-11-01-464','S20-8','JOJORdWnOdcEJcPX', 'SU')
('AC22517-2022-11-01-438','A25-6','yqYvuFK', 'SU')
('AC04652-2022-11-02-467','A26-17','jYsKcBVsesmvK', 'SL')
('AC04652-2022-11-02-468','A26-18','BgwLAPCF', 'SU')
('AC22517-2022-11-02-453','A26-3','HDFI', 'UB')
('SL22517-2022-11-01-444','S19-12','rhJBwotFMpgL', 'LB')
('AC22517-2022-11-02-454','A26-4','xlMZrEJMmtXrZp', 'UB')
('AC12058-2022-11-01-436','A25-4','wSBqUbtpACIbb', 'UB')
('SL12058-2022-11-01-432','S18-24','u', 'SU')
('SL22517-2022-11-02-431','S18-23','Nn', 'SL')
('AC04652-2022-11-01-465','A26-15','SIsiwUrzwT', 'UB')
('AC04652-2022-11-02-473','A27-5','SmBIWjkBJU', 'SL')
('AC04652-2022-11-02-474','A27-6','ECunuLPFjI', 'SU')
('SL22517-2022-11-02-435','S19-3','WvQFLaO', 'UB')
('SL04652-2022-11-02-457','S20-1','jI', 'LB')
('SL04652-2022-11-01-471','S20-15','FSk', 'SL')
('SL22517-2022-11-01-449','S19-17','EMC', 'LB')
('SL22517-2022-11-01-451','S19-19','JqIIWIinflKBoTLQ', 'UB')
('SL22517-2022-11-02-568','S24-16','FV', 'SU')
('SL04652-2022-11-01-584','S25-8','yQkPlsArhiXuyhd', 'SU')
('AC04652-2022-11-02-604','A34-10','vhnTUXTWIEJXxP', 'UB')
('SL22517-2022-11-01-577','S25-1','PE', 'LB')
('SL22517-2022-11-02-571','S24-19','ClIjNi', 'UB')
('AC22517-2022-11-01-561','A32-3','iFxWXTz', 'UB')
('AC22517-2022-11-01-562','A32-4','ZwuqXLBWKOKyQ', 'UB')
('SL12058-2022-11-01-560','S24-8','xYVCKjLDUVnJJQ', 'SU')
('AC22517-2022-11-01-563','A32-5','jGJMxPCWjp', 'SL')
('SL12058-2022-11-01-564','S24-12','QJaiBagRnAX', 'LB')
('SL22517-2022-11-01-583','S25-7','mUrYWIJLtr', 'SL')
('SL22517-2022-11-01-584','S25-8','QaTAxCAaejLGawu', 'SU')
('AC04652-2022-11-01-610','A34-16','YHxWLGso', 'UB')
('SL22517-2022-11-02-575','S24-23','pQNiHyXXOyYBYWFR', 'SL')
('SL22517-2022-11-02-576','S24-24','FkTQhXZCnm', 'SU')
('SL04652-2022-11-02-575','S24-23','EFpd', 'SL')
('AC22517-2022-11-02-594','A33-18','RJ', 'SU')
('AC12058-2022-11-01-558','A31-18','DLIlFoAaQAWZX', 'SU')
('SL12058-2022-11-01-568','S24-16','WpewBljVLFFr', 'SU')
('SL04652-2022-11-02-576','S24-24','Pyvj', 'SU')
('SL12058-2022-11-01-569','S24-17','j', 'LB')
('AC04652-2022-11-02-614','A35-2','OccrGLSZE', 'LB')
('AC12058-2022-11-01-559','A32-1','zmMNu', 'LB')
('AC04652-2022-11-02-618','A35-6','aoPTIRJkcfHlBjf', 'SU')
('SL04652-2022-11-02-581','S25-5','nvVMc', 'MB')
('SL04652-2022-11-02-582','S25-6','SpKwzftWUZicqYAk', 'UB')
('AC22517-2022-11-02-602','A34-8','WxnjVSwRWPUp', 'LB')
('AC22517-2022-11-01-573','A32-15','cfwDYjLIhiUWU', 'UB')
('AC12058-2022-11-01-561','A32-3','gQdCVSdTk', 'UB')
('AC04652-2022-11-02-621','A35-9','bQnazLC', 'UB')
('SL04652-2022-11-01-594','S25-18','RhEmTDoapEipx', 'MB')
('AC22517-2022-11-01-578','A33-2','ghi', 'LB')
('AC04652-2022-11-01-617','A35-5','arYRaifxOgXTvH', 'SL')
('SL22517-2022-11-02-585','S25-9','JvYniaYGtQVEoXGm', 'LB')
('AC12058-2022-11-01-567','A32-9','ubGfVeXF', 'UB')
('SL04652-2022-11-02-589','S25-13','zpGUpWWGF', 'MB')
('AC04652-2022-11-01-620','A35-8','woa', 'LB')
('SL04652-2022-11-02-590','S25-14','oClukOU', 'UB')
('SL12058-2022-11-01-579','S25-3','QwRrodIXRJv', 'UB')
('AC22517-2022-11-01-582','A33-6','qPEKUEHj', 'SU')
('AC04652-2022-11-01-623','A35-11','QujA', 'SL')
('AC22517-2022-11-01-583','A33-7','WYRVnF', 'LB')
('SL04652-2022-11-01-600','S25-24','BuXnyNHjFZjHQs', 'SU')
('SL12058-2022-11-01-583','S25-7','wzPlcPnlUrFslvGI', 'SL')
('AC04652-2022-11-02-635','A36-5','tnHS', 'SL')
('AC12058-2022-11-01-581','A33-5','LcORgwhlGs', 'SL')
('SL04652-2022-11-02-605','S26-5','JscFGkh', 'MB')
('AC04652-2022-11-01-634','A36-4','jlDWJb', 'UB')
('SL04652-2022-11-01-614','S26-14','UDyQwpYS', 'UB')
('SL04652-2022-11-02-607','S26-7','coH', 'SL')
('SL22517-2022-11-02-597','S25-21','Qahd', 'MB')
('AC12058-2022-11-01-585','A33-9','evpUoM', 'UB')
('AC04652-2022-11-02-638','A36-8','HHcCe', 'LB')
('SL22517-2022-11-01-603','S26-3','QhZRrVtQMgHU', 'UB')
('SL04652-2022-11-02-608','S26-8','TVM', 'SU')
('AC04652-2022-11-01-637','A36-7','iLNlxsWvt', 'LB')
('SL12058-2022-11-01-599','S25-23','hhMrPnjYORu', 'SL')
('AC22517-2022-11-02-630','A35-18','rmypKgkxV', 'SU')
('AC04652-2022-11-02-641','A36-11','BRWDDpxxaG', 'SL')
('AC22517-2022-11-02-632','A36-2','jwlYNfNqlKnClD', 'LB')
('SL04652-2022-11-01-621','S26-21','cMrIGiVPog', 'MB')
('SL12058-2022-11-01-601','S26-1','aRhl', 'LB')
('SL22517-2022-11-01-608','S26-8','n', 'SU')
('SL04652-2022-11-02-613','S26-13','YWk', 'MB')
('AC04652-2022-11-02-650','A37-2','aRZRLcEVxCmkBCd', 'LB')
('AC22517-2022-11-01-604','A34-10','aegnG', 'UB')
('AC12058-2022-11-01-594','A33-18','xwBPPaGlxT', 'SU')
('AC22517-2022-11-02-635','A36-5','itJRvTktl', 'SL')
('AC04652-2022-11-01-644','A36-14','xVJNPN', 'LB')
('SL04652-2022-11-02-617','S26-17','d', 'LB')
('AC04652-2022-11-02-655','A37-7','IwvFxdeoynv', 'LB')
('AC12058-2022-11-01-597','A34-3','RmkxGck', 'UB')
('AC22517-2022-11-01-609','A34-15','kdKksodbCEep', 'UB')
('SL04652-2022-11-02-618','S26-18','IXCaSgbbSRwsAShl', 'MB')
('AC12058-2022-11-01-600','A34-6','pcRFhpHEGXTDxFE', 'SU')
('SL22517-2022-11-02-609','S26-9','mHBfmbgiSlRBfAAE', 'LB')
('SL04652-2022-11-01-635','S27-11','fBuGO', 'UB')
('AC22517-2022-11-01-611','A34-17','Q', 'SL')
('SL22517-2022-11-01-617','S26-17','mJwKflfUG', 'LB')
('SL12058-2022-11-01-613','S26-13','KWMVJvQSTyyxgUUV', 'MB')
('AC22517-2022-11-02-638','A36-8','sZqOt', 'LB')
('AC22517-2022-11-01-614','A35-2','eKDFVtuU', 'LB')
('AC04652-2022-11-01-653','A37-5','hINLzcSpjqQ', 'SL')
('SL04652-2022-11-01-639','S27-15','GenwfaPIB', 'SL')
('AC04652-2022-11-01-654','A37-6','fP', 'SU')
('AC22517-2022-11-02-640','A36-10','RyxygIL', 'UB')
('AC12058-2022-11-01-605','A34-11','vAaQY', 'SL')
('SL12058-2022-11-01-617','S26-17','aRSIIHb', 'LB')
('SL12058-2022-11-01-618','S26-18','vYvn', 'MB')
('AC22517-2022-11-02-643','A36-13','jqEKp', 'LB')
('AC04652-2022-11-01-660','A37-12','sZnybqMAVKZe', 'SU')
('AC22517-2022-11-02-645','A36-15','HdiijcSloH', 'UB')
('SL04652-2022-11-01-644','S27-20','zdvaABkFimn', 'LB')
('AC04652-2022-11-02-669','A38-3','SVimHLzD', 'UB')
('SL04652-2022-11-01-646','S27-22','MYOHUS', 'UB')
('AC22517-2022-11-02-647','A36-17','XkodpoJkyigcv', 'SL')
('SL04652-2022-11-02-626','S27-2','ysfA', 'MB')
('SL04652-2022-11-02-627','S27-3','RcnITMpegrh', 'UB')
('SL22517-2022-11-02-621','S26-21','Lzkj', 'MB')
('AC04652-2022-11-02-677','A38-11','MdCZoMei', 'SL')
('AC04652-2022-11-01-667','A38-1','GMb', 'LB')
('SL22517-2022-11-02-622','S26-22','nxnXeKjivXYMMdal', 'UB')
('AC12058-2022-11-01-618','A35-6','ONkKMb', 'SU')
('AC04652-2022-11-02-678','A38-12','hC', 'SU')
('SL22517-2022-11-02-625','S27-1','DebZwvWOWVUTz', 'LB')
('AC22517-2022-11-02-657','A37-9','rCXrDcOMeevH', 'UB')
('AC12058-2022-11-01-619','A35-7','n', 'LB')
('SL22517-2022-11-01-634','S27-10','wuPikltRCcDEPqFy', 'MB')
('AC04652-2022-11-02-682','A38-16','quiiVIr', 'UB')
('AC04652-2022-11-02-683','A38-17','IWppZuclUjJm', 'SL')
('AC22517-2022-11-02-658','A37-10','FEyWsuOSxfuuf', 'UB')
('AC04652-2022-11-02-684','A38-18','qdpQjzZGkQvFtIJA', 'SU')
('SL12058-2022-11-01-637','S27-13','cAOrkvkhBGdUBrY', 'MB')
('SL22517-2022-11-02-629','S27-5','mbSUSUsoFBUG', 'MB')
('SL22517-2022-11-01-636','S27-12','a', 'LB')
('SL22517-2022-11-01-637','S27-13','Ke', 'MB')
('SL04652-2022-11-02-640','S27-16','PGDTAQm', 'SU')
('SL04652-2022-11-02-641','S27-17','rZCHBVe', 'LB')
('AC04652-2022-11-02-688','A39-4','HAMdiUjhxe', 'UB')
('SL22517-2022-11-01-639','S27-15','gtHDcRNFnroQNtyQ', 'SL')
('SL22517-2022-11-02-631','S27-7','Kbip', 'SL')
('AC22517-2022-11-01-634','A36-4','hkVmrh', 'UB')
('AC04652-2022-11-01-678','A38-12','wW', 'SU')
('SL22517-2022-11-02-632','S27-8','BFyNGvC', 'SU')
('SL04652-2022-11-02-642','S27-18','sMtKcJVz', 'MB')
('SL22517-2022-11-01-640','S27-16','GlJDK', 'SU')
('SL04652-2022-11-01-660','S28-12','fy', 'LB')
('AC12058-2022-11-01-628','A35-16','HhZoNCX', 'UB')
('SL04652-2022-11-02-643','S27-19','OZalXmBIIiuUoIS', 'UB')
('SL04652-2022-11-02-645','S27-21','uFuQptWi', 'MB')
('SL22517-2022-11-01-645','S27-21','bsCkcrVoGMy', 'MB')
('SL22517-2022-11-01-646','S27-22','GTKzRSMeawdC', 'UB')
('AC12058-2022-11-01-631','A36-1','uqIPVLcawpgZA', 'LB')
('AC04652-2022-11-01-683','A38-17','biXjB', 'SL')
('AC04652-2022-11-02-697','A39-13','QNZzCQOsefGlPoSE', 'LB')
('SL04652-2022-11-02-648','S27-24','XFMHsCZVRUJfUZgZ', 'SU')
('AC22517-2022-11-01-644','A36-14','itPiVNNLSY', 'LB')
('AC04652-2022-11-02-701','A39-17','bfxeWsQIJbTf', 'SL')
('SL04652-2022-11-02-650','S28-2','aJdJMPCkJfqd', 'MB')
('AC04652-2022-11-02-703','A40-1','ykzTj', 'LB')
('AC04652-2022-11-02-706','A40-4','noGhAXdHcbhKkc', 'UB')
('SL12058-2022-11-01-649','S28-1','CPJUVKQK', 'LB')
('SL04652-2022-11-01-671','S28-23','HQxPXLiODTvVgrVl', 'SL')
('SL04652-2022-11-02-655','S28-7','BhtsJ', 'SL')
('AC22517-2022-11-01-649','A37-1','xCsyxihxBTU', 'LB')
('AC22517-2022-11-02-678','A38-12','FkIjNS', 'SU')
('AC22517-2022-11-02-679','A38-13','mxZpGriyxsSozfnq', 'LB')
('SL22517-2022-11-02-643','S27-19','oRIbnopaplFVz', 'UB')
('AC04652-2022-11-02-713','A40-11','qAGXEtiNSfscLoZX', 'SL')
('AC04652-2022-11-02-714','A40-12','KZYOVpmxKeQvkc', 'SU')
('AC04652-2022-11-02-715','A40-13','RbZbubIJVjl', 'LB')
('SL12058-2022-11-01-655','S28-7','DaCcOZGu', 'SL')
('SL12058-2022-11-01-656','S28-8','Jf', 'SU')
('SL12058-2022-11-01-657','S28-9','JmGuJdaENCooNEFq', 'LB')
('AC22517-2022-11-02-683','A38-17','nVbVgbEzDR', 'SL')
('AC04652-2022-11-01-694','A39-10','eHgFJda', 'UB')
('SL22517-2022-11-02-649','S28-1','RMJH', 'LB')
('SL22517-2022-11-01-663','S28-15','Tjaq', 'SL')
('SL22517-2022-11-01-750','S32-6','SlklYxilmgfAVl', 'UB')
('SL04652-2022-11-02-743','S31-23','YMEWXWLYpTLOc', 'SL')
('SL22517-2022-11-02-736','S31-16','uUlJCKMn', 'SU')
('AC04652-2022-11-01-762','A43-6','twRmKJjkGmEqSE', 'SU')
('SL04652-2022-11-02-745','S32-1','biFhGRob', 'LB')
('SL04652-2022-11-01-756','S32-12','EKRQsXLy', 'LB')
('SL22517-2022-11-01-753','S32-9','ghu', 'LB')
('SL22517-2022-11-02-742','S31-22','lBQto', 'UB')
('SL22517-2022-11-01-754','S32-10','fucf', 'MB')
('SL12058-2022-11-01-754','S32-10','hhgPVbrDHwewfLi', 'MB')
('AC22517-2022-11-02-763','A43-7','nDzkh', 'LB')
('SL12058-2022-11-01-755','S32-11','qZLvLvRpikA', 'UB')
('SL22517-2022-11-02-746','S32-2','IcNRezXgu', 'MB')
('SL22517-2022-11-01-756','S32-12','ynVlboUzmKKELBH', 'LB')
('SL22517-2022-11-01-757','S32-13','SVst', 'MB')
('SL12058-2022-11-01-757','S32-13','oQ', 'MB')
('AC22517-2022-11-02-765','A43-9','LKsT', 'UB')
('AC22517-2022-11-01-731','A41-11','TEJ', 'SL')
('SL04652-2022-11-01-766','S32-22','JkCX', 'UB')
('AC22517-2022-11-02-770','A43-14','MiI', 'LB')
('AC22517-2022-11-01-734','A41-14','mrYYmtuEgonZ', 'LB')
('AC04652-2022-11-01-774','A43-18','Nouo', 'SU')
('SL22517-2022-11-01-765','S32-21','xvuJFI', 'MB')
('AC22517-2022-11-02-773','A43-17','NGghrCdemOPTN', 'SL')
('AC12058-2022-11-01-735','A41-15','XCx', 'UB')
('AC22517-2022-11-01-737','A41-17','kF', 'SL')
('AC22517-2022-11-01-738','A41-18','EqudisBhb', 'SU')
('AC22517-2022-11-02-774','A43-18','ZpPRcTgftiYLjK', 'SU')
('SL04652-2022-11-01-771','S33-3','IAcgtIN', 'UB')
('SL04652-2022-11-01-772','S33-4','srnME', 'LB')
('AC12058-2022-11-01-736','A41-16','aJYzvLV', 'UB')
('AC22517-2022-11-01-739','A42-1','wRBUwTcxsPmYcH', 'LB')
('AC04652-2022-11-02-815','A46-5','JJqQTUh', 'SL')
('AC22517-2022-11-01-740','A42-2','XmHVvenlcqbI', 'LB')
('SL04652-2022-11-01-775','S33-7','FIe', 'SL')
('AC12058-2022-11-01-738','A41-18','AveTy', 'SU')
('SL04652-2022-11-01-776','S33-8','lEvY', 'SU')
('AC12058-2022-11-01-740','A42-2','jjIVZbouiAH', 'LB')
('SL04652-2022-11-01-778','S33-10','LjPmNJdvFowywyIk', 'MB')
('SL22517-2022-11-01-773','S33-5','pbJ', 'MB')
('AC04652-2022-11-01-782','A44-8','zhMbJIsNwFD', 'LB')
('SL22517-2022-11-02-766','S32-22','ACuHT', 'UB')
('AC22517-2022-11-01-742','A42-4','H', 'UB')
('SL12058-2022-11-01-770','S33-2','iRNZSIuFMwO', 'MB')
('SL22517-2022-11-01-775','S33-7','snkSm', 'SL')
('SL22517-2022-11-02-767','S32-23','Df', 'SL')
('AC12058-2022-11-01-744','A42-6','ArGMQLNjBIEEJTH', 'SU')
('SL04652-2022-11-02-767','S32-23','wjvgVgZvQ', 'SL')
('AC12058-2022-11-01-746','A42-8','AyfnjkuRLmb', 'LB')
('SL12058-2022-11-01-775','S33-7','yjUOMQUpwvCjlcdI', 'SL')
('AC22517-2022-11-02-780','A44-6','VhhMgYr', 'SU')
('SL12058-2022-11-01-777','S33-9','aujd', 'LB')
('SL22517-2022-11-02-773','S33-5','QyXnJx', 'MB')
('AC12058-2022-11-01-749','A42-11','KcmwGWaHu', 'SL')
('SL12058-2022-11-01-780','S33-12','syMVyw', 'LB')
('SL12058-2022-11-01-781','S33-13','vqJL', 'MB')
('SL22517-2022-11-02-775','S33-7','P', 'SL')
('SL22517-2022-11-01-784','S33-16','CQYObci', 'SU')
('SL04652-2022-11-02-775','S33-7','NRw', 'SL')
('SL22517-2022-11-02-779','S33-11','qXTDdNWIsfh', 'UB')
('AC22517-2022-11-01-754','A42-16','HFd', 'UB')
('SL04652-2022-11-02-778','S33-10','HDE', 'MB')
('SL04652-2022-11-01-785','S33-17','HXqzjePJc', 'LB')
('AC22517-2022-11-01-758','A43-2','kd', 'LB')
('SL22517-2022-11-02-783','S33-15','BZhyzsVjFimkPnqp', 'SL')
('AC04652-2022-11-02-837','A47-9','JLM', 'UB')
('AC04652-2022-11-02-838','A47-10','iEtsXgHV', 'UB')
('SL22517-2022-11-02-786','S33-18','qIOePNPrpqw', 'MB')
('AC12058-2022-11-01-760','A43-4','kIdUK', 'UB')
('SL22517-2022-11-02-787','S33-19','GWqZWj', 'UB')
('SL22517-2022-11-01-796','S34-4','bozX', 'LB')
('AC22517-2022-11-01-767','A43-11','WWQimdKb', 'SL')
('SL22517-2022-11-02-788','S33-20','apJfCEHpWvO', 'LB')
('AC22517-2022-11-01-768','A43-12','tFVTHXERV', 'SU')
