('AC22517-2022-11-01-5512','A307-4','Ni', 'UB')
('AC22517-2022-11-01-5779','A322-1','RIuDJgYu', 'LB')
('SL12058-2022-11-01-5618','S235-2','qEOeOAiwEWbIWtS', 'MB')
('AC22517-2022-11-01-5780','A322-2','rcn', 'LB')
('SL22517-2022-11-02-5698','S238-10','AlCgHxUVSfAFfAfF', 'MB')
('AC04652-2022-11-01-5982','A333-6','QaGBJLlX', 'SU')
('SL22517-2022-11-01-5632','S235-16','LjgUjllmq', 'SU')
('AC04652-2022-11-02-5809','A323-13','WoEwROX', 'LB')
('SL12058-2022-11-01-5629','S235-13','pYoVpNMsgj', 'MB')
('AC04652-2022-11-01-6002','A334-8','uZyzpMsP', 'LB')
('SL22517-2022-11-01-5675','S237-11','zz', 'UB')
('AC12058-2022-11-01-5799','A323-3','AhvYGtDRhvqt', 'UB')
('SL22517-2022-11-02-5745','S240-9','Oi', 'LB')
('AC04652-2022-11-01-6039','A336-9','RYOof', 'UB')
('SL22517-2022-11-01-5678','S237-14','PkFCZjQLLifOl', 'UB')
('AC12058-2022-11-01-5800','A323-4','VikOIJbERMv', 'UB')
('AC12058-2022-11-01-5822','A324-8','wmfJakZ', 'LB')
('SL12058-2022-11-01-5690','S238-2','tFxRLZFdsENGs', 'MB')
('AC22517-2022-11-01-5861','A326-11','nTAyKbrSd', 'SL')
('SL22517-2022-11-02-5785','S242-1','siu', 'LB')
('AC22517-2022-11-02-5846','A325-14','qZoNW', 'LB')
('SL04652-2022-11-02-5801','S242-17','pnZn', 'LB')
('SL04652-2022-11-01-5747','S240-11','bWYqtu', 'UB')
('SL12058-2022-11-01-5699','S238-11','DavHWfeSp', 'UB')
('AC12058-2022-11-01-5835','A325-3','ZUZhYS', 'UB')
('SL22517-2022-11-02-5795','S242-11','sriW', 'UB')
('SL22517-2022-11-01-5738','S240-2','TwyxYeokNyHsWhR', 'MB')
('SL04652-2022-11-01-5756','S240-20','CexvfB', 'LB')
('SL04652-2022-11-02-5816','S243-8','ImPNRBRHFnVo', 'SU')
('AC22517-2022-11-02-5868','A326-18','XceG', 'SU')
('SL04652-2022-11-02-5819','S243-11','bPvDYxwbLr', 'UB')
('SL12058-2022-11-01-5721','S239-9','pF', 'LB')
('AC22517-2022-11-02-5873','A327-5','RzQStXUSYsrPFR', 'SL')
('AC12058-2022-11-01-5851','A326-1','PchKthJKDSZS', 'LB')
('SL04652-2022-11-02-5827','S243-19','khSYumH', 'UB')
('SL22517-2022-11-02-5841','S244-9','VbKdLnOvCP', 'LB')
('AC22517-2022-11-02-5898','A328-12','hFu', 'SU')
('AC04652-2022-11-01-6123','A341-3','nzIJPRCx', 'UB')
('SL04652-2022-11-01-5789','S242-5','oVX', 'MB')
('SL04652-2022-11-02-5855','S244-23','kToCNoqfo', 'SL')
('AC12058-2022-11-01-5873','A327-5','zcNbjrg', 'SL')
('AC22517-2022-11-01-5906','A329-2','OOQsDJTEQLeu', 'LB')
('SL22517-2022-11-02-5870','S245-14','aPhqKcFsYl', 'UB')
('SL04652-2022-11-02-5911','S247-7','lulurkIy', 'SL')
('AC22517-2022-11-01-5957','A331-17','ie', 'SL')
('AC22517-2022-11-01-5980','A333-4','gyWboNqwZaaMmkU', 'UB')
('AC04652-2022-11-02-6021','A335-9','ptUdD', 'UB')
('AC04652-2022-11-01-6214','A346-4','tuQUvckMl', 'UB')
('SL22517-2022-11-01-5867','S245-11','AygUEDRNWZzSPAF', 'UB')
('SL22517-2022-11-02-5942','S248-14','JMnzoeuJulUA', 'UB')
('AC22517-2022-11-01-5989','A333-13','PfmzJSilJEhhZuhq', 'LB')
('AC04652-2022-11-02-6035','A336-5','LaLECxMnT', 'SL')
('AC22517-2022-11-01-6040','A336-10','aCSfbd', 'UB')
('SL12058-2022-11-01-5874','S245-18','AxwsidfxBT', 'MB')
('SL12058-2022-11-01-5875','S245-19','nsgTGw', 'UB')
('SL04652-2022-11-01-5934','S248-6','RTAUwUAtN', 'UB')
('SL12058-2022-11-01-5881','S246-1','qGHVqL', 'LB')
('AC22517-2022-11-01-6062','A337-14','AEGvNObaLB', 'LB')
('SL04652-2022-11-01-5942','S248-14','BtDHAdRwrKJ', 'UB')
('SL22517-2022-11-01-5948','S248-20','GrMC', 'LB')
('SL22517-2022-11-02-6021','S251-21','nNoeBrHtUK', 'MB')
('AC22517-2022-11-02-6134','A341-14','wAzBXSurOeUDi', 'LB')
('AC12058-2022-11-01-6114','A340-12','rPFxfUFjgRRuDv', 'SU')
('AC22517-2022-11-01-6131','A341-11','rtl', 'SL')
('SL04652-2022-11-01-6027','S252-3','KLNAvKV', 'UB')
('SL22517-2022-11-02-6112','S255-16','FePQupzwgujIZ', 'SU')
('SL04652-2022-11-02-6109','S255-13','BAxHr', 'MB')
('AC04652-2022-11-02-6193','A345-1','rfn', 'LB')
('AC22517-2022-11-02-6210','A345-18','LCvYyjgWBaJeeVsw', 'SU')
('AC12058-2022-11-01-6195','A345-3','tRsUVrURcJvP', 'UB')
('SL22517-2022-11-01-6089','S254-17','WX', 'LB')
('SL22517-2022-11-02-6190','S258-22','cHPLcBeaymbqkxE', 'UB')
('SL04652-2022-11-02-6173','S258-5','wjKCZJGVceJtGzB', 'MB')
('AC12058-2022-11-01-6226','A346-16','AuxuzOGxmjmvo', 'UB')
('SL12058-2022-11-01-6038','S252-14','sIKPYLOMXyMcKq', 'UB')
('AC04652-2022-11-01-6515','A362-17','sND', 'SL')
('SL22517-2022-11-01-6131','S256-11','qBXUZLtrrKuKMB', 'UB')
('SL22517-2022-11-02-6214','S259-22','IXKgvAItwt', 'UB')
('AC12058-2022-11-01-6248','A348-2','zFyEOxw', 'LB')
('AC22517-2022-11-01-6265','A349-1','pPaqiZpb', 'LB')
('AC12058-2022-11-01-6250','A348-4','UVNaDDHLHhbBAeS', 'UB')
('AC12058-2022-11-01-6251','A348-5','TwABUdhqzKMk', 'SL')
('SL04652-2022-11-01-6134','S256-14','xYy', 'UB')
('AC22517-2022-11-01-6267','A349-3','ks', 'UB')
('SL04652-2022-11-01-6138','S256-18','YUgQ', 'MB')
('AC22517-2022-11-02-6267','A349-3','M', 'UB')
('AC12058-2022-11-01-6264','A348-18','fhPalGghKWtBYgW', 'SU')
('AC22517-2022-11-02-6268','A349-4','vjMAvJrVBdFsrA', 'UB')
('AC22517-2022-11-02-6269','A349-5','nQcW', 'SL')
('SL22517-2022-11-01-6147','S257-3','CWAssDnqqZ', 'UB')
('SL22517-2022-11-01-6151','S257-7','TTrbRuviDINVJdBz', 'SL')
('SL22517-2022-11-01-6154','S257-10','jaSZ', 'MB')
('AC22517-2022-11-01-6285','A350-3','s', 'UB')
('SL22517-2022-11-01-6158','S257-14','zwRke', 'UB')
('AC04652-2022-11-01-6543','A364-9','kmAQNzQST', 'UB')
('AC22517-2022-11-01-6294','A350-12','ir', 'SU')
('AC12058-2022-11-01-6285','A350-3','hDJvpR', 'UB')
('AC12058-2022-11-01-6291','A350-9','qmhDXlMZKE', 'UB')
('SL12058-2022-11-01-6088','S254-16','isFzcFFGpyMeSMfW', 'SU')
('SL22517-2022-11-02-6260','S261-20','SpoAnprDVsSxUTG', 'LB')
('AC12058-2022-11-01-6308','A351-8','ClalqNfX', 'LB')
('AC04652-2022-11-01-6586','A366-16','wsOEjg', 'UB')
('SL04652-2022-11-01-6193','S259-1','ReexnHvmDYAnd', 'LB')
('SL12058-2022-11-01-6126','S256-6','lxrDNORcsfrORCC', 'UB')
('SL22517-2022-11-02-6286','S262-22','qI', 'UB')
('AC22517-2022-11-02-6342','A353-6','uBcHIFyEmVJPEh', 'SU')
('AC22517-2022-11-02-6343','A353-7','gbFXmMiTZdBbMVY', 'LB')
('SL04652-2022-11-02-6293','S263-5','FssSWmmZd', 'MB')
('SL04652-2022-11-02-6294','S263-6','wsFlluaSpcYaUBVO', 'UB')
('AC22517-2022-11-01-6364','A354-10','yMSWI', 'UB')
('AC22517-2022-11-02-6357','A354-3','UZwQOaVjww', 'UB')
('AC04652-2022-11-02-6377','A355-5','IYpTDqPmNbWWOQ', 'SL')
('SL04652-2022-11-01-6232','S260-16','yf', 'SU')
('AC04652-2022-11-01-6665','A371-5','oO', 'SL')
('AC12058-2022-11-01-6397','A356-7','GNeTulI', 'LB')
('SL22517-2022-11-01-6322','S264-10','DjpJCtRmHxmLV', 'MB')
('AC04652-2022-11-02-6459','A359-15','qUBwvxLgtrBAI', 'UB')
('SL12058-2022-11-01-6243','S261-3','mwq', 'UB')
('SL04652-2022-11-02-6399','S267-15','HdPjKmTauUEI', 'SL')
('AC04652-2022-11-02-6477','A360-15','VeFJUAIVbDUM', 'UB')
('SL04652-2022-11-01-6354','S265-18','MxjgmSKGHXi', 'MB')
('SL22517-2022-11-02-6459','S270-3','Ku', 'UB')
('AC04652-2022-11-01-6779','A377-11','N', 'SL')
('SL22517-2022-11-01-6413','S268-5','jDSU', 'MB')
('AC04652-2022-11-01-6787','A378-1','KkSgPbi', 'LB')
('AC04652-2022-11-01-6790','A378-4','m', 'UB')
('AC12058-2022-11-01-6514','A362-16','stCTYNjOqi', 'UB')
('SL22517-2022-11-01-6419','S268-11','c', 'UB')
('AC04652-2022-11-02-6527','A363-11','NEoorRaPpVIDwdF', 'SL')
('AC04652-2022-11-01-6794','A378-8','bABuxPH', 'LB')
('AC22517-2022-11-02-6526','A363-10','r', 'UB')
('AC12058-2022-11-01-6531','A363-15','zVPlLCuXoa', 'UB')
('AC04652-2022-11-01-6809','A379-5','CIKCQCCUM', 'SL')
('SL04652-2022-11-01-6433','S269-1','cOOXNDYdU', 'LB')
('SL12058-2022-11-01-6353','S265-17','sBBxNt', 'LB')
('AC12058-2022-11-01-6549','A364-15','cSo', 'UB')
('SL22517-2022-11-02-6516','S272-12','WzdItzj', 'LB')
('AC04652-2022-11-02-6570','A365-18','caJZvA', 'SU')
('AC04652-2022-11-02-6595','A367-7','tKBxzhaCKxkSzXSk', 'LB')
('AC04652-2022-11-01-6865','A382-7','OVyDfNiiY', 'LB')
('AC04652-2022-11-02-6597','A367-9','LccrgaobjCxqO', 'UB')
('AC22517-2022-11-01-6602','A367-14','CAj', 'LB')
('SL04652-2022-11-01-6495','S271-15','m', 'SL')
('AC04652-2022-11-02-6601','A367-13','hnlSRKEYb', 'LB')
('SL22517-2022-11-02-6562','S274-10','mctYiAxuhERJGAqG', 'MB')
('SL12058-2022-11-01-6429','S268-21','dflQAufmFCA', 'MB')
('AC12058-2022-11-01-6620','A368-14','yCBRuklmQdQgkh', 'LB')
('SL22517-2022-11-02-6601','S276-1','PXOjr', 'LB')
('SL12058-2022-11-01-6443','S269-11','J', 'UB')
('SL22517-2022-11-02-6607','S276-7','jTpPd', 'SL')
('AC22517-2022-11-02-6639','A369-15','EJtVddn', 'UB')
('AC12058-2022-11-01-6634','A369-10','WMQzdb', 'UB')
('AC22517-2022-11-02-6657','A370-15','aKG', 'UB')
('SL04652-2022-11-01-6595','S275-19','bkGXqB', 'UB')
('AC22517-2022-11-01-6704','A373-8','wMnRsRTDjKog', 'LB')
('SL22517-2022-11-01-6575','S274-23','NliYWVhyyjbTrWk', 'SL')
('AC12058-2022-11-01-6715','A374-1','IgQGvQXGMFDc', 'LB')
('SL04652-2022-11-01-6631','S277-7','HBJlzYLbOin', 'SL')
('SL12058-2022-11-01-6527','S272-23','fpKaSShwk', 'SL')
('SL22517-2022-11-02-6700','S280-4','GxTeXmJcOIcBzxMP', 'LB')
('AC22517-2022-11-01-6722','A374-8','xrCg', 'LB')
('AC04652-2022-11-01-6995','A389-11','lmMpbGFRBxkKzu', 'SL')
('AC22517-2022-11-01-6724','A374-10','mmXuP', 'UB')
('SL22517-2022-11-01-6593','S275-17','y', 'LB')
('SL22517-2022-11-01-6594','S275-18','bLtGyIEZP', 'MB')
('SL22517-2022-11-01-6595','S275-19','gNyOvOzqgGvbMdYz', 'UB')
('AC04652-2022-11-01-6997','A389-13','ZWR', 'LB')
('AC22517-2022-11-01-6728','A374-14','RzULyiJbJRL', 'LB')
('SL22517-2022-11-01-6598','S275-22','SMmdpJl', 'UB')
('AC22517-2022-11-01-6732','A374-18','MVgh', 'SU')
('SL04652-2022-11-02-6701','S280-5','sUhHRscUSNbwMhXK', 'MB')
('SL04652-2022-11-01-6650','S278-2','ZzP', 'MB')
('SL04652-2022-11-01-6651','S278-3','dOGl', 'UB')
('SL22517-2022-11-02-6717','S280-21','qndlFKXsvbWmCz', 'MB')
('SL22517-2022-11-02-6718','S280-22','gQPmFdMRlkoVvAXh', 'UB')
('SL04652-2022-11-02-6715','S280-19','SouzCosVpmeSGeqJ', 'UB')
('AC22517-2022-11-02-6774','A377-6','iDWQNyzHsNPouNaz', 'SU')
('SL04652-2022-11-01-6665','S278-17','pqRAb', 'LB')
('SL04652-2022-11-02-6737','S281-17','UK', 'LB')
('SL12058-2022-11-01-6577','S275-1','JbDtzgGsIv', 'LB')
('AC04652-2022-11-02-6778','A377-10','zZMjoAMoKAqiPUSQ', 'UB')
('SL04652-2022-11-01-6767','S282-23','tSSKjLwmNdCwhQ', 'SL')
('AC22517-2022-11-01-6847','A381-7','Ww', 'LB')
('AC12058-2022-11-01-6866','A382-8','icBUfsEkyisDm', 'LB')
('AC12058-2022-11-01-6867','A382-9','eiHVYJ', 'UB')
('AC04652-2022-11-02-6832','A380-10','M', 'UB')
('AC12058-2022-11-01-6870','A382-12','aqrcav', 'SU')
('SL04652-2022-11-02-6809','S284-17','B', 'LB')
('SL04652-2022-11-02-6810','S284-18','BYUjBzaSaDITNk', 'MB')
('SL04652-2022-11-01-6790','S283-22','kAaw', 'UB')
('SL12058-2022-11-01-6688','S279-16','ZEWJrXXbcZ', 'SU')
('SL22517-2022-11-02-6856','S286-16','rKVmhqRkPu', 'SU')
('SL04652-2022-11-02-6843','S286-3','OLcEBox', 'UB')
('AC22517-2022-11-02-6902','A384-8','eMpEef', 'LB')
('AC04652-2022-11-02-6880','A383-4','VM', 'UB')
('AC04652-2022-11-01-7236','A402-18','GIKZuECb', 'SU')
('AC04652-2022-11-01-7237','A403-1','gYZNwSYyMleIX', 'LB')
('SL22517-2022-11-01-6844','S286-4','si', 'LB')
('SL22517-2022-11-01-6846','S286-6','qQAD', 'UB')
('SL22517-2022-11-02-6936','S289-24','DiTIdqgtJ', 'SU')
('AC22517-2022-11-02-6996','A389-12','JEAC', 'SU')
('AC22517-2022-11-01-6973','A388-7','HcukpuGYyUWMhQy', 'LB')
('AC12058-2022-11-01-6987','A389-3','pEAXRAqiNsJqN', 'UB')
('SL22517-2022-11-01-6848','S286-8','gQQqSFr', 'SU')
('SL12058-2022-11-01-6789','S283-21','sBagCNVC', 'MB')
('AC12058-2022-11-01-6993','A389-9','fUPVd', 'UB')
('AC12058-2022-11-01-6994','A389-10','tI', 'UB')
('SL22517-2022-11-02-6942','S290-6','nMcMQTnYl', 'UB')
('SL04652-2022-11-02-6959','S290-23','oRaRWvAoArBijX', 'SL')
('SL04652-2022-11-02-6963','S291-3','izTsk', 'UB')
('SL12058-2022-11-01-6804','S284-12','Tojxk', 'LB')
('SL22517-2022-11-01-6868','S287-4','zxYAyINCAIXzNRbW', 'LB')
('AC12058-2022-11-01-7009','A390-7','HDWLJEaimDEfzd', 'LB')
('AC04652-2022-11-01-7266','A404-12','SBVxdwFXzMdD', 'SU')
('SL12058-2022-11-01-6815','S284-23','RYuABJiPAEfb', 'SL')
('SL22517-2022-11-02-6968','S291-8','gmMpcvao', 'SU')
('AC04652-2022-11-02-7006','A390-4','NCfIMBS', 'UB')
('SL22517-2022-11-02-6991','S292-7','QbmuR', 'SL')
('AC04652-2022-11-01-7311','A407-3','kLjxsYTGF', 'UB')
('SL04652-2022-11-01-6979','S291-19','cjgVKbUnz', 'UB')
('AC12058-2022-11-01-7082','A394-8','SxDlkJfcYu', 'LB')
('AC22517-2022-11-01-7133','A397-5','Ty', 'SL')
('AC22517-2022-11-01-7159','A398-13','jeCEJPgVFn', 'LB')
('AC22517-2022-11-02-7198','A400-16','fHXHFJHGwDvZiw', 'UB')
('AC04652-2022-11-01-7453','A415-1','bPgpchGz', 'LB')
('AC04652-2022-11-01-7455','A415-3','uYYjFLFK', 'UB')
('AC12058-2022-11-01-7186','A400-4','pjjeM', 'UB')
('AC22517-2022-11-01-7183','A400-1','Pz', 'LB')
('SL04652-2022-11-02-7137','S298-9','g', 'LB')
('AC04652-2022-11-01-7481','A416-11','fsGuThZQtD', 'SL')
('AC04652-2022-11-01-7482','A416-12','oiwxMIvF', 'SU')
('SL04652-2022-11-02-7165','S299-13','bRxKpis', 'MB')
('AC12058-2022-11-01-7219','A402-1','QRWaNVCtoTjiGCYj', 'LB')
('SL04652-2022-11-01-7148','S298-20','XTfUpiSiKdb', 'LB')
('AC04652-2022-11-01-7507','A418-1','qAPodzuELDKqDnyh', 'LB')
('AC22517-2022-11-02-7261','A404-7','mpuoqbAqWjobH', 'LB')
('AC04652-2022-11-01-7575','A421-15','zFDTfk', 'UB')
('SL12058-2022-11-01-7148','S298-20','qlBXgIwzaXWpoyJJ', 'LB')
('AC22517-2022-11-02-7427','A413-11','lFpKJgfVieXT', 'SL')
('SL12058-2022-11-01-7176','S299-24','qUFQtYiWJEa', 'SU')
('AC04652-2022-11-02-7367','A410-5','mlEioVlKMANbu', 'SL')
('SL22517-2022-11-01-7240','S302-16','HxkvHGitKs', 'SU')
('SL22517-2022-11-02-7339','S306-19','Stkoc', 'UB')
('AC04652-2022-11-01-7657','A426-7','BMehv', 'LB')
('SL04652-2022-11-02-7334','S306-14','vPnrlSu', 'UB')
('SL22517-2022-11-01-7246','S302-22','OaOgSzmar', 'UB')
('AC22517-2022-11-02-7442','A414-8','WNNdTLLbw', 'LB')
('SL12058-2022-11-01-7184','S300-8','TiKINBBCHkGG', 'SU')
('AC04652-2022-11-02-7381','A411-1','CvyibIzlta', 'LB')
('SL12058-2022-11-01-7187','S300-11','dtD', 'UB')
('SL04652-2022-11-01-7330','S306-10','mzIKhHrcM', 'MB')
('AC04652-2022-11-02-7530','A419-6','yfUqIiEjxhKyAT', 'SU')
('AC04652-2022-11-01-7791','A433-15','PKifPBQDLQQTt', 'UB')
('SL04652-2022-11-01-7460','S311-20','OZaU', 'LB')
('AC12058-2022-11-01-7538','A419-14','nsI', 'LB')
('SL22517-2022-11-01-7385','S308-17','ygJQMga', 'LB')
('SL22517-2022-11-02-7504','S313-16','RhmNLMOJHlnojP', 'SU')
('AC22517-2022-11-02-7597','A423-1','GncbCdPNzeEIXSt', 'LB')
('AC22517-2022-11-02-7598','A423-2','M', 'LB')
('AC22517-2022-11-02-7601','A423-5','d', 'SL')
('SL22517-2022-11-02-7506','S313-18','FunWrBgImkCOAUaf', 'MB')
('AC04652-2022-11-02-7542','A419-18','vkRdbHFfCzbu', 'SU')
('AC04652-2022-11-02-7543','A420-1','spnahoBMDnIZFN', 'LB')
('SL22517-2022-11-01-7393','S309-1','W', 'LB')
('AC04652-2022-11-02-7545','A420-3','TXPhQLlfwEOlW', 'UB')
('SL22517-2022-11-02-7508','S313-20','gVOXlimUFvONbH', 'LB')
('AC22517-2022-11-01-7544','A420-2','SCMyFcekjd', 'LB')
('AC04652-2022-11-01-7800','A434-6','FDhPKSChFAaXDtP', 'SU')
('AC12058-2022-11-01-7546','A420-4','AH', 'UB')
('AC04652-2022-11-01-7802','A434-8','mbS', 'LB')
('AC22517-2022-11-01-7547','A420-5','GlNZrheIw', 'SL')
('SL22517-2022-11-02-7513','S314-1','STxFASqF', 'LB')
('SL04652-2022-11-01-7477','S312-13','WvJFHSbsjICY', 'MB')
('SL04652-2022-11-01-7483','S312-19','nRcnIjYPfI', 'UB')
('AC04652-2022-11-01-7818','A435-6','VX', 'SU')
('AC12058-2022-11-01-7561','A421-1','GSuevNHIjTiig', 'LB')
('AC22517-2022-11-01-7563','A421-3','Qypla', 'UB')
('SL04652-2022-11-02-7509','S313-21','NfWSduPNT', 'MB')
('AC22517-2022-11-02-7624','A424-10','WxeoLwkHoHMVuvl', 'UB')
('SL22517-2022-11-02-7530','S314-18','FyWoZAKrdDGMZIgu', 'MB')
('AC04652-2022-11-02-7588','A422-10','EKIILXaY', 'UB')
('AC04652-2022-11-02-7589','A422-11','EhwYfIqzsyNiuGZ', 'SL')
('SL22517-2022-11-01-7438','S310-22','QgtitqLnFrnuZB', 'UB')
('AC04652-2022-11-01-7849','A437-1','NbmmGzoR', 'LB')
('SL04652-2022-11-01-7516','S314-4','YfufFwcSmcRNg', 'LB')
('AC04652-2022-11-02-7594','A422-16','XqegyDmDVZhtou', 'UB')
('AC22517-2022-11-02-7652','A426-2','RoDW', 'LB')
('AC22517-2022-11-01-7596','A422-18','q', 'SU')
('AC12058-2022-11-01-7599','A423-3','xRCSsAV', 'UB')
('SL12058-2022-11-01-7386','S308-18','cTeSddvimXpZfPWI', 'MB')
('SL12058-2022-11-01-7387','S308-19','JsXWtxil', 'UB')
('AC12058-2022-11-01-7602','A423-6','WMOAeBr', 'SU')
('AC22517-2022-11-01-7599','A423-3','gJeDYUqi', 'UB')
('SL22517-2022-11-02-7558','S315-22','H', 'UB')
('SL12058-2022-11-01-7400','S309-8','cfkrycjGQvIu', 'SU')
('AC04652-2022-11-02-7631','A424-17','cNYVrn', 'SL')
('AC22517-2022-11-01-7626','A424-12','zTwkBxtZgugkDA', 'SU')
('AC04652-2022-11-02-7635','A425-3','xSocrRr', 'UB')
('AC04652-2022-11-01-7886','A439-2','Qp', 'LB')
('SL12058-2022-11-01-7430','S310-14','HXnmVRcc', 'UB')
('SL04652-2022-11-02-7580','S316-20','cyQuY', 'LB')
('SL12058-2022-11-01-7432','S310-16','nig', 'SU')
('SL22517-2022-11-01-7520','S314-8','Ghvqpu', 'SU')
('AC22517-2022-11-02-7751','A431-11','f', 'SL')
('AC04652-2022-11-02-7698','A428-12','Z', 'SU')
('SL04652-2022-11-01-7613','S318-5','wJsp', 'MB')
('SL04652-2022-11-02-7639','S319-7','Tl', 'SL')
('SL04652-2022-11-01-7627','S318-19','YeVwgwHIK', 'UB')
('SL22517-2022-11-01-7553','S315-17','gQzoLQp', 'LB')
('AC22517-2022-11-02-7781','A433-5','TFTJJrmxEYlBwngu', 'SL')
('SL04652-2022-11-01-7632','S318-24','g', 'SU')
('SL22517-2022-11-02-7668','S320-12','hJpFxIcQ', 'LB')
('AC12058-2022-11-01-7715','A429-11','edZOmn', 'SL')
('AC04652-2022-11-02-7737','A430-15','RMOLPrsMp', 'UB')
('SL12058-2022-11-01-7497','S313-9','pmx', 'LB')
('SL04652-2022-11-01-7642','S319-10','nAwczqTshCTghy', 'MB')
('AC22517-2022-11-01-7728','A430-6','wAfxgwrLgvkuK', 'SU')
('AC04652-2022-11-01-7988','A444-14','VWDEkbAyS', 'LB')
('AC22517-2022-11-01-7731','A430-9','mZUBD', 'UB')
('AC22517-2022-11-01-7732','A430-10','WTlkUYsy', 'UB')
('AC22517-2022-11-02-7802','A434-8','LAoJoX', 'LB')
('AC04652-2022-11-01-7992','A444-18','qQ', 'SU')
('SL22517-2022-11-02-7683','S321-3','gNNCKQnmPo', 'UB')
('AC12058-2022-11-01-7728','A430-6','GDl', 'SU')
('SL22517-2022-11-01-7585','S317-1','sFgmR', 'LB')
('AC04652-2022-11-01-7997','A445-5','gnZLWwoDhGHW', 'SL')
('SL04652-2022-11-01-7672','S320-16','znNduzjiHCKunzJq', 'SU')
('SL12058-2022-11-01-7525','S314-13','omSLInXXDEtVSQeL', 'MB')
('AC22517-2022-11-01-7758','A431-18','diGssDBNm', 'SU')
('SL04652-2022-11-01-7674','S320-18','hnhfO', 'MB')
('AC22517-2022-11-02-7833','A436-3','MFrIoAxsYhLbglf', 'UB')
('SL12058-2022-11-01-7532','S314-20','AJmGzZWcndKA', 'LB')
('SL22517-2022-11-01-7606','S317-22','ELlmO', 'UB')
('SL04652-2022-11-02-7692','S321-12','XuRybtAQAP', 'LB')
('AC12058-2022-11-01-7750','A431-10','VnfJTsEdwg', 'UB')
('AC22517-2022-11-02-7837','A436-7','RzTZbDG', 'LB')
('SL04652-2022-11-02-7701','S321-21','SIjvDiJlSbjVKJa', 'MB')
('AC04652-2022-11-01-8141','A453-5','IB', 'SL')
('AC22517-2022-11-01-7900','A439-16','lbyLuPXZxPKFo', 'UB')
('AC12058-2022-11-01-7980','A444-6','UtzeZrsX', 'SU')
('SL04652-2022-11-02-7930','S331-10','X', 'MB')
('AC12058-2022-11-01-7993','A445-1','P', 'LB')
('AC12058-2022-11-01-7994','A445-2','GAagwuX', 'LB')
('SL04652-2022-11-01-7930','S331-10','JFC', 'MB')
('SL22517-2022-11-02-7927','S331-7','d', 'SL')
