('SL22517-2022-11-01-4','S1-4','nqDhZGaTO', 'LB')
('SL12058-2022-11-01-303','S13-15','DqZUK', 'SL')
('SL22517-2022-11-01-304','S13-16','TBPpInqunnLx', 'SU')
('SL04652-2022-11-02-273','S12-9','degUIjpy', 'LB')
('AC22517-2022-11-02-330','A19-6','ORzSKX', 'SU')
('SL04652-2022-11-02-274','S12-10','eoTvJkTOmwgNMh', 'MB')
('SL04652-2022-11-01-300','S13-12','qUkoljjMFNJWBAnM', 'LB')
('AC22517-2022-11-01-291','A17-3','gGLbhwo', 'UB')
('AC04652-2022-11-02-294','A17-6','v', 'SU')
('AC22517-2022-11-01-295','A17-7','tPfOxDeODribS', 'LB')
('AC04652-2022-11-02-298','A17-10','tB', 'UB')
('SL22517-2022-11-01-317','S14-5','mOhnwVlflep', 'MB')
('AC22517-2022-11-02-336','A19-12','g', 'SU')
('SL22517-2022-11-02-309','S13-21','AvISOdQr', 'MB')
('AC22517-2022-11-02-339','A19-15','dAtKymJy', 'UB')
('AC04652-2022-11-02-305','A17-17','qWzExcdeliObRpr', 'SL')
('SL04652-2022-11-02-287','S12-23','ZnrolMTkRYjfmSrF', 'SL')
('AC04652-2022-11-02-316','A18-10','EbnpXTPvpib', 'UB')
('AC22517-2022-11-01-306','A17-18','AiHFvtKQU', 'SU')
('SL04652-2022-11-01-316','S14-4','ZOnrFvqpLW', 'LB')
('AC04652-2022-11-02-319','A18-13','WeQgqsFJwJ', 'LB')
('SL22517-2022-11-01-329','S14-17','pcxQ', 'LB')
('SL22517-2022-11-02-323','S14-11','bmcGUXYgSWdoMyQ', 'UB')
('AC04652-2022-11-01-354','A20-12','TmnAnTYW', 'SU')
('SL04652-2022-11-01-324','S14-12','NDdRyWPkoaVTWav', 'LB')
('AC22517-2022-11-02-363','A21-3','UtCqKiY', 'UB')
('AC22517-2022-11-01-314','A18-8','vLuny', 'LB')
('SL04652-2022-11-01-325','S14-13','cLYEI', 'MB')
('SL04652-2022-11-02-302','S13-14','CNSWURWYcahsAh', 'UB')
('AC22517-2022-11-02-384','A22-6','pPvKVcMvL', 'SU')
('AC22517-2022-11-01-328','A19-4','lbVWYgrvLWioDqk', 'UB')
('AC12058-2022-11-01-367','A21-7','daNbEuwVcsOi', 'LB')
('AC22517-2022-11-01-329','A19-5','mMyssOnuKS', 'SL')
('SL22517-2022-11-02-338','S15-2','hQZdhwaGGbk', 'MB')
('AC04652-2022-11-02-346','A20-4','zRmzl', 'UB')
('SL22517-2022-11-02-342','S15-6','OirUOBAxPbzY', 'UB')
('AC04652-2022-11-01-382','A22-4','YOHdvzBV', 'UB')
('AC04652-2022-11-02-356','A20-14','YaylDmv', 'LB')
('AC22517-2022-11-02-399','A23-3','zC', 'UB')
('AC22517-2022-11-02-400','A23-4','hCdaJ', 'UB')
('SL04652-2022-11-02-322','S14-10','h', 'MB')
('AC12058-2022-11-01-380','A22-2','zLfxM', 'LB')
('SL22517-2022-11-01-367','S16-7','pTnabRqjx', 'SL')
('AC04652-2022-11-01-387','A22-9','RdFDTsaYNVyy', 'UB')
('SL04652-2022-11-02-329','S14-17','BmrxVBS', 'LB')
('AC04652-2022-11-01-393','A22-15','yVZlugJkbFu', 'UB')
('AC22517-2022-11-02-410','A23-14','KRDPYKDMa', 'LB')
('AC12058-2022-11-01-386','A22-8','DnxQEswdIci', 'LB')
('SL04652-2022-11-02-333','S14-21','hqddbdDsbbKhnO', 'MB')
('SL22517-2022-11-02-356','S15-20','VaChNkijU', 'LB')
('SL04652-2022-11-01-365','S16-5','JGNXDMS', 'MB')
('AC12058-2022-11-01-390','A22-12','yCdoDgJxxmJpSXXA', 'SU')
('AC12058-2022-11-01-391','A22-13','EPnip', 'LB')
('AC04652-2022-11-02-371','A21-11','MaNrYgzvtnzgRh', 'SL')
('SL04652-2022-11-02-337','S15-1','PyhBhs', 'LB')
('AC12058-2022-11-01-393','A22-15','xUnaJhR', 'UB')
('SL22517-2022-11-02-360','S15-24','vYfZh', 'SU')
('SL04652-2022-11-02-340','S15-4','KrgkZtuE', 'LB')
('SL04652-2022-11-02-341','S15-5','elQnM', 'MB')
('AC04652-2022-11-02-376','A21-16','eNSeNnuzMc', 'UB')
('AC04652-2022-11-01-400','A23-4','peOR', 'UB')
('AC04652-2022-11-02-378','A21-18','TtqBHGJYOyhY', 'SU')
('SL04652-2022-11-02-344','S15-8','lgax', 'SU')
('AC04652-2022-11-01-402','A23-6','RDNlinyYjZj', 'SU')
('SL04652-2022-11-02-346','S15-10','USnpZSerylPlmqg', 'MB')
('SL12058-2022-11-01-392','S17-8','AUzJsi', 'SU')
('AC22517-2022-11-02-426','A24-12','rnikTaCs', 'SU')
('SL22517-2022-11-02-369','S16-9','cXnsrb', 'LB')
('SL12058-2022-11-01-397','S17-13','NxaTdD', 'MB')
('AC12058-2022-11-01-407','A23-11','wfHViMtN', 'SL')
('AC12058-2022-11-01-408','A23-12','lpaEjunV', 'SU')
('AC12058-2022-11-01-409','A23-13','eYEuXmIoXqn', 'LB')
('AC22517-2022-11-01-356','A20-14','CFvjVAyJRnWqM', 'LB')
('AC22517-2022-11-01-357','A20-15','XDBfeKVkUJW', 'UB')
('SL12058-2022-11-01-402','S17-18','vNeZgzYLZmwThIx', 'MB')
('AC04652-2022-11-02-390','A22-12','LgzoJCLcmk', 'SU')
('AC04652-2022-11-02-391','A22-13','QKKDsswQrwJjnsO', 'LB')
('SL22517-2022-11-01-396','S17-12','iqBrBpqMg', 'LB')
('SL22517-2022-11-01-398','S17-14','CbrncOnF', 'UB')
('SL12058-2022-11-01-406','S17-22','gjUcfbvIqyVLg', 'UB')
('AC04652-2022-11-02-394','A22-16','qdNQFKI', 'UB')
('AC12058-2022-11-01-416','A24-2','XKhwFQa', 'LB')
('SL04652-2022-11-01-382','S16-22','MC', 'UB')
('AC22517-2022-11-02-437','A25-5','hwPyBBXC', 'SL')
('AC22517-2022-11-02-438','A25-6','QeTJeOyVecAaoX', 'SU')
('AC22517-2022-11-02-439','A25-7','rIyNOhHXali', 'LB')
('SL12058-2022-11-01-413','S18-5','MyjlHxbOHL', 'MB')
('AC22517-2022-11-02-441','A25-9','ewwyRfu', 'UB')
('SL12058-2022-11-01-416','S18-8','EKl', 'SU')
('AC04652-2022-11-01-414','A23-18','f', 'SU')
('AC04652-2022-11-01-415','A24-1','odQGNrnAJVHfl', 'LB')
('SL22517-2022-11-01-404','S17-20','Fj', 'LB')
('AC22517-2022-11-01-366','A21-6','RIVDGpFCPLiordZk', 'SU')
('SL04652-2022-11-01-391','S17-7','Is', 'SL')
('AC04652-2022-11-01-419','A24-5','JjHbCHxTuZd', 'SL')
('AC04652-2022-11-01-420','A24-6','oowkhqydeupJzr', 'SU')
('AC04652-2022-11-02-408','A23-12','IoLgF', 'SU')
('AC12058-2022-11-01-426','A24-12','KOjcepFSPk', 'SU')
('AC22517-2022-11-02-445','A25-13','yjEigdOcpRjhWLmw', 'LB')
('AC04652-2022-11-01-421','A24-7','wiaAHVfUnzmHfmWm', 'LB')
('SL22517-2022-11-01-407','S17-23','nNFCYbprfHRAYHt', 'SL')
('SL04652-2022-11-01-394','S17-10','spqLA', 'MB')
('SL04652-2022-11-01-401','S17-17','sOoqiO', 'LB')
('SL12058-2022-11-01-429','S18-21','lDX', 'MB')
('AC04652-2022-11-02-416','A24-2','v', 'LB')
('AC12058-2022-11-01-432','A24-18','PjqeNIVA', 'SU')
('AC04652-2022-11-02-417','A24-3','NReRVuluaEcGIK', 'UB')
('AC04652-2022-11-02-418','A24-4','vc', 'UB')
('AC22517-2022-11-02-451','A26-1','WkPnCHGwbeBH', 'LB')
('SL22517-2022-11-01-417','S18-9','sumeGB', 'LB')
('SL04652-2022-11-01-407','S17-23','wNacoE', 'SL')
('SL12058-2022-11-01-432','S18-24','GweBydqbE', 'SU')
('AC04652-2022-11-01-438','A25-6','fFUeZRuPo', 'SU')
('SL22517-2022-11-01-418','S18-10','JGClnrDzvs', 'MB')
('AC22517-2022-11-01-386','A22-8','HHABJeBthmX', 'LB')
('SL04652-2022-11-02-383','S16-23','vwmFyjVIWVX', 'SL')
('AC04652-2022-11-01-439','A25-7','YDHH', 'LB')
('SL12058-2022-11-01-434','S19-2','xkvDktsQkYdnc', 'MB')
('SL04652-2022-11-02-389','S17-5','BmUVPMeWwCIU', 'MB')
('SL22517-2022-11-02-406','S17-22','ESB', 'UB')
('SL22517-2022-11-02-407','S17-23','iRjiYKYwKlWnhnm', 'SL')
('SL22517-2022-11-01-423','S18-15','xKncQpmmYrRF', 'SL')
('AC12058-2022-11-01-438','A25-6','bsBgimxwXuppSlJI', 'SU')
('AC04652-2022-11-01-442','A25-10','AALHRrhFE', 'UB')
('SL04652-2022-11-02-393','S17-9','MMdnTxoobsYzVY', 'LB')
('AC22517-2022-11-02-463','A26-13','IOYnXLQA', 'LB')
('AC04652-2022-11-02-432','A24-18','aCEuqikfI', 'SU')
('AC22517-2022-11-02-466','A26-16','hBjuVVLqqLVnYGcx', 'UB')
('AC22517-2022-11-01-392','A22-14','BBGfzDqzPCcO', 'LB')
('SL22517-2022-11-01-425','S18-17','f', 'LB')
('AC04652-2022-11-01-446','A25-14','DStGZGRSuxmm', 'LB')
('AC04652-2022-11-01-447','A25-15','nhuD', 'UB')
('AC12058-2022-11-01-449','A25-17','ctMNrdy', 'SL')
('AC12058-2022-11-01-450','A25-18','N', 'SU')
('AC22517-2022-11-01-394','A22-16','SfuwtTmWvDN', 'UB')
('AC22517-2022-11-02-469','A27-1','YiOBB', 'LB')
('AC22517-2022-11-01-396','A22-18','jlUB', 'SU')
('AC22517-2022-11-01-397','A23-1','miiwxSXnas', 'LB')
('SL22517-2022-11-01-427','S18-19','VzMIcnU', 'UB')
('SL04652-2022-11-02-397','S17-13','EcuiBDZVny', 'MB')
('SL04652-2022-11-01-422','S18-14','inKXC', 'UB')
('AC12058-2022-11-01-454','A26-4','XCME', 'UB')
('SL12058-2022-11-01-443','S19-11','TaR', 'UB')
('AC04652-2022-11-01-454','A26-4','mRRwHAHboHLadtBh', 'UB')
('SL22517-2022-11-02-421','S18-13','XpwdzIHJ', 'MB')
('SL04652-2022-11-02-398','S17-14','fLFMIGHvgGJM', 'UB')
('AC04652-2022-11-02-439','A25-7','WzXHHfZWa', 'LB')
('SL22517-2022-11-02-423','S18-15','iQDhLCiBmcnhdcyP', 'SL')
('AC04652-2022-11-02-440','A25-8','BCYqU', 'LB')
('AC04652-2022-11-02-441','A25-9','dAKZWyrxfL', 'UB')
('AC12058-2022-11-01-459','A26-9','FzJIRWQrCDmVsH', 'UB')
('AC04652-2022-11-02-443','A25-11','TiDbyRKAtAn', 'SL')
('SL04652-2022-11-01-429','S18-21','DVESjbsMC', 'MB')
('SL12058-2022-11-01-450','S19-18','n', 'MB')
('SL22517-2022-11-01-429','S18-21','WDscwXIGtu', 'MB')
('SL04652-2022-11-02-402','S17-18','frq', 'MB')
('SL22517-2022-11-01-430','S18-22','HNrcyGj', 'UB')
('SL12058-2022-11-01-453','S19-21','m', 'MB')
('AC22517-2022-11-02-479','A27-11','rtctYHhYKiZKbqV', 'SL')
('AC12058-2022-11-01-464','A26-14','LEffCc', 'LB')
('AC22517-2022-11-02-480','A27-12','ezWuKuPdzztRO', 'SU')
('AC04652-2022-11-02-451','A26-1','jHxIRNeTOYKD', 'LB')
('SL22517-2022-11-02-427','S18-19','Qv', 'UB')
('AC22517-2022-11-02-481','A27-13','FnicReXZ', 'LB')
('AC12058-2022-11-01-466','A26-16','XzwvzZulDiy', 'UB')
('SL04652-2022-11-02-404','S17-20','vpwXtUJwlbVS', 'LB')
('SL04652-2022-11-01-434','S19-2','NjqWJdNCUNRZYsTW', 'MB')
('SL22517-2022-11-01-436','S19-4','HK', 'LB')
('AC22517-2022-11-02-482','A27-14','XcVwjuPiAxbzlS', 'LB')
('AC12058-2022-11-01-469','A27-1','UZHLqovhBa', 'LB')
('AC12058-2022-11-01-470','A27-2','UVoPLrWfvmmI', 'LB')
('AC22517-2022-11-02-483','A27-15','NeGJydEN', 'UB')
('SL12058-2022-11-01-456','S19-24','SuGxbBGmEQlnCmf', 'SU')
('AC12058-2022-11-01-472','A27-4','fFwSZx', 'UB')
('SL22517-2022-11-01-440','S19-8','VSxMBC', 'SU')
('AC22517-2022-11-01-407','A23-11','gzNT', 'SL')
('AC12058-2022-11-01-473','A27-5','aPgAobktgNkmpRRn', 'SL')
('SL12058-2022-11-01-460','S20-4','dDpNUNUlECAKip', 'LB')
('SL04652-2022-11-02-416','S18-8','pycxS', 'SU')
('AC22517-2022-11-01-410','A23-14','yogjGba', 'LB')
('AC12058-2022-11-01-484','A27-16','iOrDZtLrOGVhXPgy', 'UB')
('SL04652-2022-11-02-417','S18-9','PPGVfEtggJk', 'LB')
('SL22517-2022-11-02-443','S19-11','bBCZXYyOM', 'UB')
('SL22517-2022-11-02-444','S19-12','VYSVnzGUhh', 'LB')
('AC22517-2022-11-01-412','A23-16','aeMnZQsRNG', 'UB')
('AC04652-2022-11-01-471','A27-3','JoUuCRBarNLiTi', 'UB')
('SL22517-2022-11-01-450','S19-18','HIJCYQhLmcjYJ', 'MB')
('SL22517-2022-11-01-451','S19-19','t', 'UB')
('AC04652-2022-11-02-466','A26-16','cUQme', 'UB')
('SL22517-2022-11-02-446','S19-14','JctUjxD', 'UB')
('SL12058-2022-11-01-464','S20-8','vKrwheRp', 'SU')
('SL12058-2022-11-01-465','S20-9','CFNOMW', 'LB')
('AC22517-2022-11-01-414','A23-18','Z', 'SU')
('SL04652-2022-11-01-445','S19-13','TxlM', 'MB')
('SL22517-2022-11-01-454','S19-22','BKOKHhpLnCTl', 'UB')
('SL22517-2022-11-01-455','S19-23','YV', 'SL')
('AC22517-2022-11-02-496','A28-10','nWgJ', 'UB')
('SL04652-2022-11-01-447','S19-15','IrWrkYmzSeMpC', 'SL')
('AC22517-2022-11-02-497','A28-11','QB', 'SL')
('SL12058-2022-11-01-469','S20-13','NzCiIYi', 'MB')
('SL22517-2022-11-02-448','S19-16','zKWdKu', 'SU')
('AC04652-2022-11-01-480','A27-12','vsXsQOxZXO', 'SU')
('AC04652-2022-11-01-481','A27-13','uVBkIjbA', 'LB')
('SL04652-2022-11-01-454','S19-22','Przj', 'UB')
('AC22517-2022-11-02-501','A28-15','cO', 'UB')
('SL04652-2022-11-02-426','S18-18','FotnjzVjugu', 'MB')
('SL12058-2022-11-01-472','S20-16','qaOrEjKqlvwbuuA', 'SU')
('SL12058-2022-11-01-473','S20-17','bbKqbQEgkmUcBB', 'LB')
('AC04652-2022-11-01-487','A28-1','MclFKijllg', 'LB')
('AC04652-2022-11-02-478','A27-10','iv', 'UB')
('SL04652-2022-11-02-429','S18-21','DYTzaN', 'MB')
('SL22517-2022-11-02-456','S19-24','LxCLMNpFwEFuHk', 'SU')
('AC22517-2022-11-01-423','A24-9','YDpdQ', 'UB')
('AC22517-2022-11-01-424','A24-10','otbK', 'UB')
('AC22517-2022-11-02-512','A29-8','dOzGOgDDimTrnTZy', 'LB')
('SL04652-2022-11-02-432','S18-24','WDFFleBgzrktw', 'SU')
('SL22517-2022-11-02-483','S21-3','Dhra', 'UB')
('AC04652-2022-11-01-505','A29-1','zuJtgjxCJQwYVN', 'LB')
('AC04652-2022-11-02-507','A29-3','YqMCWIunx', 'UB')
('AC12058-2022-11-01-538','A30-16','enrAdkMbq', 'UB')
('SL22517-2022-11-02-502','S21-22','gwykXKKh', 'UB')
('AC22517-2022-11-02-557','A31-17','mlIJPK', 'SL')
('SL12058-2022-11-01-511','S22-7','gOBQwogG', 'SL')
('AC22517-2022-11-01-464','A26-14','aUcRDAJDmqFvZg', 'LB')
('SL04652-2022-11-02-478','S20-22','ACFwBticadDcFJD', 'UB')
('AC22517-2022-11-01-466','A26-16','HW', 'UB')
('AC22517-2022-11-02-592','A33-16','T', 'UB')
('AC22517-2022-11-02-611','A34-17','jnboHlZKUtGR', 'SL')
('AC04652-2022-11-02-562','A32-4','ASZjkeeRUiC', 'UB')
('AC22517-2022-11-01-507','A29-3','zvoGcffifUIlqjPr', 'UB')
('SL04652-2022-11-01-549','S23-21','XzspYauzuMzXu', 'MB')
('AC12058-2022-11-01-594','A33-18','FOdBkgGJoiI', 'SU')
('SL12058-2022-11-01-560','S24-8','GEAnAprccvMtWd', 'SU')
('SL22517-2022-11-02-556','S24-4','ibOqsMrP', 'LB')
('SL22517-2022-11-01-569','S24-17','qauLlkEHLaOF', 'LB')
('SL12058-2022-11-01-561','S24-9','glFPlu', 'LB')
('AC22517-2022-11-01-512','A29-8','lm', 'LB')
('SL22517-2022-11-02-593','S25-17','Uq', 'LB')
('SL04652-2022-11-02-556','S24-4','hESROkpgUAHBLxZC', 'LB')
('AC04652-2022-11-02-620','A35-8','gUKayepzc', 'LB')
('AC22517-2022-11-02-655','A37-7','aYXNtEFu', 'LB')
('SL22517-2022-11-01-635','S27-11','DDlnXlGkpIF', 'UB')
('SL12058-2022-11-01-617','S26-17','TEVNYlHjlovqwg', 'LB')
('AC12058-2022-11-01-640','A36-10','fADLwxWNO', 'UB')
('AC22517-2022-11-02-660','A37-12','NZ', 'SU')
('SL04652-2022-11-01-628','S27-4','nTlKynJTNUNei', 'LB')
('AC22517-2022-11-01-577','A33-1','ICCAAvy', 'LB')
('AC22517-2022-11-01-578','A33-2','NeVYFiGXs', 'LB')
('AC12058-2022-11-01-644','A36-14','fbHPTGJtpbOPAcZ', 'LB')
('AC04652-2022-11-02-631','A36-1','VQFpUMPdyBZfe', 'LB')
('AC12058-2022-11-01-647','A36-17','SD', 'SL')
('AC04652-2022-11-01-633','A36-3','iaFSs', 'UB')
('SL22517-2022-11-02-620','S26-20','oQ', 'LB')
('SL04652-2022-11-02-588','S25-12','bXerRWY', 'LB')
('AC04652-2022-11-02-641','A36-11','K', 'SL')
('AC22517-2022-11-01-622','A35-10','BqEaJRH', 'UB')
('AC22517-2022-11-01-642','A36-12','Ucg', 'SU')
('SL12058-2022-11-01-696','S29-24','a', 'SU')
('AC22517-2022-11-01-644','A36-14','Qn', 'LB')
('AC12058-2022-11-01-702','A39-18','wGqXrMZbV', 'SU')
('SL12058-2022-11-01-699','S30-3','Odzanz', 'UB')
('AC04652-2022-11-01-688','A39-4','PUViLyOGSvrd', 'UB')
('SL12058-2022-11-01-702','S30-6','eBaVXEarnb', 'UB')
('SL12058-2022-11-01-704','S30-8','oxjXYVdkhcZVmotL', 'SU')
('SL04652-2022-11-02-669','S28-21','sTRVTbGegJXFqce', 'MB')
('AC22517-2022-11-02-730','A41-10','DILbxJfLqwUCVCLI', 'UB')
('AC22517-2022-11-01-653','A37-5','FGjaNsDVzKrf', 'SL')
('AC04652-2022-11-02-694','A39-10','mFc', 'UB')
('SL22517-2022-11-01-712','S30-16','FOXqpDfaRDugHs', 'SU')
('SL22517-2022-11-02-688','S29-16','JKyHwhkorgiR', 'SU')
('AC04652-2022-11-01-696','A39-12','CRRteyFrrTOA', 'SU')
('SL04652-2022-11-02-671','S28-23','NEqOqnnJRCRcfgx', 'SL')
('SL22517-2022-11-02-691','S29-19','rbvbFXLAXW', 'UB')
('AC04652-2022-11-02-699','A39-15','SOdIrJb', 'UB')
('AC22517-2022-11-01-661','A37-13','OIxoGpps', 'LB')
('AC04652-2022-11-01-703','A40-1','LAwlmKDwRBnrPU', 'LB')
('AC04652-2022-11-01-704','A40-2','QjAP', 'LB')
('AC12058-2022-11-01-710','A40-8','jqbMvYqavbiICOBT', 'LB')
('SL22517-2022-11-02-698','S30-2','SciNvnamNuIHn', 'MB')
('AC22517-2022-11-02-740','A42-2','JaBBMkNidU', 'LB')
('SL04652-2022-11-02-678','S29-6','SsIVO', 'UB')
('SL04652-2022-11-01-712','S30-16','gbfltLPflCE', 'SU')
('SL22517-2022-11-02-699','S30-3','nNQZZOdVMb', 'UB')
('SL22517-2022-11-02-700','S30-4','wf', 'LB')
('AC22517-2022-11-01-667','A38-1','otwZTSwZgPOmtf', 'LB')
('AC12058-2022-11-01-715','A40-13','aNKbb', 'LB')
('AC22517-2022-11-01-669','A38-3','U', 'UB')
('AC04652-2022-11-02-706','A40-4','CHDTlbTUH', 'UB')
('SL22517-2022-11-02-726','S31-6','DGTZZPR', 'UB')
('SL22517-2022-11-01-740','S31-20','xcBdvuUZGqdiBl', 'LB')
('AC04652-2022-11-02-723','A41-3','KVsmCumntffYl', 'UB')
('AC22517-2022-11-02-793','A45-1','PMeq', 'LB')
('SL22517-2022-11-02-789','S33-21','WeHcFC', 'MB')
('AC22517-2022-11-02-826','A46-16','eKzN', 'UB')
('AC22517-2022-11-01-747','A42-9','krBKoHF', 'UB')
('AC22517-2022-11-01-748','A42-10','SL', 'UB')
('AC22517-2022-11-02-830','A47-2','UzMcSbzSomoFu', 'LB')
('AC04652-2022-11-01-775','A44-1','U', 'LB')
('AC04652-2022-11-01-776','A44-2','DrOnd', 'LB')
('SL22517-2022-11-01-796','S34-4','BIRqcs', 'LB')
('AC04652-2022-11-02-775','A44-1','mPmZj', 'LB')
('SL12058-2022-11-01-806','S34-14','KwkdfUbYRsexeLU', 'UB')
('AC12058-2022-11-01-810','A45-18','Z', 'SU')
('SL22517-2022-11-01-801','S34-9','ZWHcrtRZmtjbeay', 'LB')
('AC22517-2022-11-02-836','A47-8','lvVUNqICBcfEVok', 'LB')
('AC22517-2022-11-02-837','A47-9','ORDSaMfSdnAXcj', 'UB')
('SL22517-2022-11-02-814','S34-22','KvNHLLtNy', 'UB')
('AC22517-2022-11-02-845','A47-17','L', 'SL')
('AC22517-2022-11-01-767','A43-11','v', 'SL')
('SL04652-2022-11-01-803','S34-11','NcA', 'UB')
('AC12058-2022-11-01-817','A46-7','Cuw', 'LB')
('AC04652-2022-11-01-846','A47-18','ZjUhzg', 'SU')
('SL22517-2022-11-01-844','S36-4','mEGTojbYWX', 'LB')
('AC04652-2022-11-01-851','A48-5','wZisUBUBGcDt', 'SL')
('SL22517-2022-11-01-851','S36-11','mQXGmaWyicwn', 'UB')
