('SL22517-2022-11-01-162','S7-18','NafyRpCpw', 'MB')
('SL04652-2022-11-01-360','S15-24','iaZWYAM', 'SU')
('SL22517-2022-11-02-319','S14-7','sMltcZXHOghhqvbO', 'SL')
('SL04652-2022-11-02-426','S18-18','xSbg', 'MB')
('AC22517-2022-11-02-420','A24-6','WXoRoRwmucj', 'SU')
('AC22517-2022-11-02-423','A24-9','Qf', 'UB')
('SL22517-2022-11-02-401','S17-17','ZXLo', 'LB')
('SL04652-2022-11-02-431','S18-23','bumKGhrDTIePBuOJ', 'SL')
('SL22517-2022-11-02-403','S17-19','kB', 'UB')
('SL04652-2022-11-01-442','S19-10','wlsdNvTaLsDRYE', 'MB')
('SL22517-2022-11-01-427','S18-19','xTblTtOfLejO', 'UB')
('AC12058-2022-11-01-417','A24-3','OgpJIlNUAB', 'UB')
('AC12058-2022-11-01-418','A24-4','jHNlfutN', 'UB')
('SL22517-2022-11-02-406','S17-22','b', 'UB')
('SL22517-2022-11-01-429','S18-21','CAQeEAK', 'MB')
('AC22517-2022-11-01-417','A24-3','wmFUkJAXGNfL', 'UB')
('AC04652-2022-11-01-449','A25-17','qHLNfw', 'SL')
('SL22517-2022-11-01-431','S18-23','Hd', 'SL')
('SL22517-2022-11-02-409','S18-1','obauLyEBNoTu', 'LB')
('AC22517-2022-11-02-429','A24-15','OVidHI', 'UB')
('AC12058-2022-11-01-421','A24-7','Jl', 'LB')
('AC22517-2022-11-01-419','A24-5','HeXohSqEKG', 'SL')
('AC12058-2022-11-01-423','A24-9','jJHwTxYsQQs', 'UB')
('SL22517-2022-11-02-412','S18-4','AwKbQzvpEYm', 'LB')
('AC22517-2022-11-01-421','A24-7','gHJuYpX', 'LB')
('SL04652-2022-11-01-448','S19-16','MrqpIJKHriWygWzM', 'SU')
('SL12058-2022-11-01-419','S18-11','ggHjlty', 'UB')
('AC04652-2022-11-02-458','A26-8','TAjqYslETmfJK', 'LB')
('SL12058-2022-11-01-420','S18-12','dAkRxkDU', 'LB')
('SL04652-2022-11-01-450','S19-18','nSZdQbKWGD', 'MB')
('SL22517-2022-11-01-438','S19-6','XMxLKMkzGsCXDnyD', 'UB')
('AC22517-2022-11-01-425','A24-11','aZpnUfbcDXiAh', 'SL')
('SL04652-2022-11-02-440','S19-8','FmBMn', 'SU')
('AC22517-2022-11-01-426','A24-12','ndcuZ', 'SU')
('SL04652-2022-11-01-452','S19-20','zsajQxaFhs', 'LB')
('SL04652-2022-11-02-441','S19-9','HZeZfWcqnmnxjJ', 'LB')
('SL22517-2022-11-02-417','S18-9','A', 'LB')
('SL12058-2022-11-01-425','S18-17','gVNNNcnkwU', 'LB')
('AC22517-2022-11-01-429','A24-15','yjRLJD', 'UB')
('SL04652-2022-11-02-444','S19-12','XxdoDOPMQwgxJ', 'LB')
('AC22517-2022-11-01-431','A24-17','chpaAGrsuxCs', 'SL')
('AC22517-2022-11-02-446','A25-14','fd', 'LB')
('SL04652-2022-11-01-457','S20-1','AI', 'LB')
('SL04652-2022-11-01-458','S20-2','Pz', 'MB')
('AC22517-2022-11-02-448','A25-16','eaKyaX', 'UB')
('SL22517-2022-11-02-422','S18-14','t', 'UB')
('AC04652-2022-11-02-464','A26-14','aRrT', 'LB')
('AC22517-2022-11-02-449','A25-17','sBOztI', 'SL')
('SL04652-2022-11-01-462','S20-6','LaGbd', 'UB')
('SL04652-2022-11-02-453','S19-21','GmMPcwORssnuNBo', 'MB')
('AC22517-2022-11-01-436','A25-4','cZoUhOgriawJ', 'UB')
('AC04652-2022-11-01-579','A33-3','JtbEe', 'UB')
('SL22517-2022-11-01-562','S24-10','dIEswRhHczcA', 'MB')
('AC22517-2022-11-01-546','A31-6','Wm', 'SU')
('AC04652-2022-11-02-586','A33-10','RLM', 'UB')
('AC22517-2022-11-01-554','A31-14','c', 'LB')
('AC12058-2022-11-01-536','A30-14','qsqvHDdAvXpJAi', 'LB')
('SL22517-2022-11-01-567','S24-15','kX', 'SL')
('SL04652-2022-11-01-578','S25-2','EOqLCqKwgCDViij', 'MB')
('AC04652-2022-11-02-595','A34-1','BXUUVSdjqI', 'LB')
('SL22517-2022-11-02-560','S24-8','MWvDtObiFzwMas', 'SU')
('SL22517-2022-11-01-570','S24-18','qAohKBWzTO', 'MB')
('AC22517-2022-11-02-576','A32-18','qsFIpqFpTxbB', 'SU')
('AC04652-2022-11-01-595','A34-1','cRljhzpKiakg', 'LB')
('AC04652-2022-11-01-596','A34-2','hJMe', 'LB')
('AC04652-2022-11-01-597','A34-3','RtjHQdKpu', 'UB')
('SL22517-2022-11-01-571','S24-19','rnW', 'UB')
('SL22517-2022-11-02-563','S24-11','yBONuZUcIoYt', 'UB')
('AC12058-2022-11-01-541','A31-1','KIarzKphY', 'LB')
('AC12058-2022-11-01-542','A31-2','AcVIG', 'LB')
('AC04652-2022-11-01-601','A34-7','cpBuyoTcjCUNsMj', 'LB')
('AC22517-2022-11-02-583','A33-7','Wdb', 'LB')
('AC12058-2022-11-01-549','A31-9','DYmzEDfm', 'UB')
('SL04652-2022-11-02-567','S24-15','sRvWcBmLyh', 'SL')
('SL04652-2022-11-02-569','S24-17','ZDAhOUlT', 'LB')
('SL22517-2022-11-02-569','S24-17','IMqdwsRCjrRZYK', 'LB')
('SL04652-2022-11-01-585','S25-9','AHdje', 'LB')
('AC04652-2022-11-01-604','A34-10','mzRMNndtr', 'UB')
('SL22517-2022-11-01-578','S25-2','CYBeNp', 'MB')
('SL12058-2022-11-01-558','S24-6','NzDhoxEOoBnV', 'UB')
('AC04652-2022-11-01-605','A34-11','QEcyIlJGgaluVl', 'SL')
('AC04652-2022-11-01-606','A34-12','AqYkD', 'SU')
('SL12058-2022-11-01-561','S24-9','Yl', 'LB')
('AC12058-2022-11-01-556','A31-16','qfajRN', 'UB')
('SL12058-2022-11-01-565','S24-13','ODvtIAAM', 'MB')
('AC04652-2022-11-02-609','A34-15','mRm', 'UB')
('SL04652-2022-11-01-589','S25-13','tQ', 'MB')
('AC22517-2022-11-01-566','A32-8','d', 'LB')
('AC22517-2022-11-02-593','A33-17','jVQm', 'SL')
('AC22517-2022-11-01-568','A32-10','rvUSAnIFdR', 'UB')
('AC22517-2022-11-01-569','A32-11','piWfOwqAU', 'SL')
('AC22517-2022-11-01-570','A32-12','lxyQVCTATsanrx', 'SU')
('SL12058-2022-11-01-572','S24-20','pzubEpyEpHwdESO', 'LB')
('AC22517-2022-11-02-599','A34-5','XDopLRK', 'SL')
('AC04652-2022-11-01-612','A34-18','kACLerdV', 'SU')
('AC04652-2022-11-02-617','A35-5','sSPZwOQahXE', 'SL')
('SL04652-2022-11-02-580','S25-4','KLMy', 'LB')
('AC22517-2022-11-01-572','A32-14','MCVURrqHDyETp', 'LB')
('AC04652-2022-11-02-619','A35-7','v', 'LB')
('SL22517-2022-11-02-582','S25-6','SnBbvkIHmFQ', 'UB')
('AC04652-2022-11-01-615','A35-3','jkYtcCJ', 'UB')
('AC22517-2022-11-01-575','A32-17','gBLrDGHE', 'SL')
('AC12058-2022-11-01-562','A32-4','cyVKhHUeSgx', 'UB')
('AC22517-2022-11-02-604','A34-10','SgLfrTRkA', 'UB')
('AC04652-2022-11-01-616','A35-4','TxBrrpUzRm', 'UB')
('AC04652-2022-11-02-623','A35-11','GMTK', 'SL')
('AC22517-2022-11-02-606','A34-12','XrlXCWBfJzg', 'SU')
('AC12058-2022-11-01-564','A32-6','WXE', 'SU')
('SL04652-2022-11-02-587','S25-11','Egdc', 'UB')
('AC04652-2022-11-01-618','A35-6','zrkZ', 'SU')
('AC22517-2022-11-02-607','A34-13','jTAnFoxw', 'LB')
('SL22517-2022-11-02-586','S25-10','ikdnxgaZubNhAVW', 'MB')
('AC04652-2022-11-02-626','A35-14','vobKS', 'LB')
('AC22517-2022-11-01-581','A33-5','qaUr', 'SL')
('AC04652-2022-11-01-621','A35-9','sGMw', 'UB')
('SL04652-2022-11-02-700','S30-4','zxNSfnVTFlealBGS', 'LB')
('SL12058-2022-11-01-696','S29-24','S', 'SU')
('AC22517-2022-11-02-706','A40-4','MNuxrykFAu', 'UB')
('AC04652-2022-11-01-725','A41-5','DrEpfd', 'SL')
('SL22517-2022-11-01-701','S30-5','iAV', 'MB')
('AC04652-2022-11-02-758','A43-2','YDnRqrGPeEOeE', 'LB')
('AC22517-2022-11-01-693','A39-9','CoLUKsTAJ', 'UB')
('AC22517-2022-11-01-694','A39-10','Qk', 'UB')
('AC22517-2022-11-02-713','A40-11','CrMPh', 'SL')
('SL04652-2022-11-02-706','S30-10','xr', 'MB')
('SL22517-2022-11-01-707','S30-11','AhHLxdJSmeSMtCq', 'UB')
('SL04652-2022-11-02-711','S30-15','bIVfTtw', 'SL')
('SL22517-2022-11-01-720','S30-24','XKsNlEBBmmFtyqK', 'SU')
('SL04652-2022-11-02-719','S30-23','SEmdy', 'SL')
('SL22517-2022-11-02-703','S30-7','HYkEWa', 'SL')
('AC04652-2022-11-02-776','A44-2','rQHQFYvQBcvlZ', 'LB')
('AC12058-2022-11-01-698','A39-14','pxYxvQNDXN', 'LB')
('SL22517-2022-11-02-706','S30-10','uPOQUzKwKG', 'MB')
('AC04652-2022-11-02-778','A44-4','PbZTPdIUfFOAX', 'UB')
('SL12058-2022-11-01-717','S30-21','sndyPkWfrLA', 'MB')
('AC12058-2022-11-01-700','A39-16','idBbxGhBYeXJbmC', 'UB')
('AC22517-2022-11-02-736','A41-16','DEjANlqJ', 'UB')
('SL12058-2022-11-01-721','S31-1','iIzxwAhfEMMxmzUQ', 'LB')
('SL12058-2022-11-01-722','S31-2','MAurhgDOZfDE', 'MB')
('AC04652-2022-11-02-779','A44-5','anjaiFfpKBSWuqT', 'SL')
('SL04652-2022-11-01-737','S31-17','vThwhy', 'LB')
('SL12058-2022-11-01-724','S31-4','sWolKUZohRiEm', 'LB')
('SL22517-2022-11-02-710','S30-14','fYIZVehCxslvY', 'UB')
('SL22517-2022-11-01-735','S31-15','XYxPLBdfsJRbTm', 'SL')
('AC04652-2022-11-02-785','A44-11','ktru', 'SL')
('SL12058-2022-11-01-731','S31-11','X', 'UB')
('AC04652-2022-11-02-788','A44-14','po', 'LB')
('SL12058-2022-11-01-738','S31-18','vDqzlbQuxDbtX', 'MB')
('AC12058-2022-11-01-713','A40-11','gtVQsMYvIhYjA', 'SL')
('AC04652-2022-11-02-792','A44-18','AHhFBB', 'SU')
('AC04652-2022-11-02-793','A45-1','LzzPpEu', 'LB')
('SL22517-2022-11-01-744','S31-24','FvRWQBJm', 'SU')
('SL04652-2022-11-02-737','S31-17','PjkfwDoh', 'LB')
('SL04652-2022-11-01-747','S32-3','LJFAkD', 'UB')
('SL12058-2022-11-01-744','S31-24','pIHl', 'SU')
('SL22517-2022-11-02-729','S31-9','NKTPhOaBJtL', 'LB')
('SL22517-2022-11-01-748','S32-4','EeYOJJ', 'LB')
('AC12058-2022-11-01-718','A40-16','WjCSLla', 'UB')
('AC04652-2022-11-02-797','A45-5','dSKGZghN', 'SL')
('SL22517-2022-11-02-733','S31-13','CQMSK', 'MB')
('SL22517-2022-11-02-734','S31-14','uAddsZ', 'UB')
('AC04652-2022-11-01-759','A43-3','bAYHqqZfwurMe', 'UB')
('AC04652-2022-11-01-761','A43-5','puVICbqebwkF', 'SL')
('SL04652-2022-11-01-753','S32-9','LRANMVZSysCp', 'LB')
('SL04652-2022-11-01-754','S32-10','wL', 'MB')
('AC04652-2022-11-02-800','A45-8','WOryrtX', 'LB')
('AC04652-2022-11-01-764','A43-8','WxvitxGBgByqFq', 'LB')
('SL22517-2022-11-02-743','S31-23','mGoodeyi', 'SL')
('AC22517-2022-11-01-727','A41-7','MHEtoKGlXUGLami', 'LB')
('AC04652-2022-11-02-802','A45-10','dtxgczpEAb', 'UB')
('SL04652-2022-11-01-760','S32-16','pnRnKXjuPsyFeJR', 'SU')
('AC22517-2022-11-01-729','A41-9','XdGLuwDXNFSjks', 'UB')
('AC12058-2022-11-01-728','A41-8','YlwcsWE', 'LB')
('SL22517-2022-11-01-755','S32-11','EeogiBs', 'UB')
('AC04652-2022-11-01-766','A43-10','RzBCuskWROr', 'UB')
('SL04652-2022-11-02-749','S32-5','DqHWxDS', 'MB')
('AC04652-2022-11-01-769','A43-13','IjwyoMnWbOeZfLL', 'LB')
('AC04652-2022-11-01-770','A43-14','TMYtmHjG', 'LB')
('AC22517-2022-11-02-767','A43-11','SeRhdEoqNWUjqzFt', 'SL')
('SL22517-2022-11-01-771','S33-3','JrAzQNUFJyQM', 'UB')
('SL12058-2022-11-01-766','S32-22','dUy', 'UB')
('AC04652-2022-11-01-780','A44-6','RlHZnUflYywoTw', 'SU')
('SL22517-2022-11-02-762','S32-18','XTPkjHHZCtgr', 'MB')
('AC12058-2022-11-01-739','A42-1','dmM', 'LB')
('SL22517-2022-11-02-764','S32-20','syxubL', 'LB')
('AC22517-2022-11-02-777','A44-3','LreiLgZsYBSlM', 'UB')
('AC04652-2022-11-01-781','A44-7','nIANzHHxrC', 'LB')
('AC12058-2022-11-01-741','A42-3','RUkBTtfreNtcDM', 'UB')
('AC04652-2022-11-02-855','A48-9','voQVSYQxoNTD', 'UB')
('AC12058-2022-11-01-772','A43-16','NQzj', 'UB')
('SL12058-2022-11-01-808','S34-16','MzyyFzNXvfFkb', 'SU')
('SL12058-2022-11-01-810','S34-18','HxRVWjX', 'MB')
