('SL22517-2022-11-02-178','S8-10','UnXnBY', 'MB')
('AC22517-2022-11-02-397','A23-1','JuDH', 'LB')
('SL22517-2022-11-02-367','S16-7','hMAYQWR', 'SL')
('AC04652-2022-11-02-415','A24-1','rNViuguXmfNvpp', 'LB')
('AC12058-2022-11-01-385','A22-7','LNcumTClFr', 'LB')
('SL12058-2022-11-01-386','S17-2','jvKaNarBTctU', 'MB')
('AC04652-2022-11-01-426','A24-12','ly', 'SU')
('SL04652-2022-11-01-418','S18-10','cNwvpQhvhDk', 'MB')
('SL22517-2022-11-02-375','S16-15','WyFg', 'SL')
('SL22517-2022-11-02-376','S16-16','Prvw', 'SU')
('SL04652-2022-11-02-408','S17-24','sXmFIZnu', 'SU')
('AC04652-2022-11-02-423','A24-9','nKMPrUdhNJQy', 'UB')
('SL12058-2022-11-01-395','S17-11','MYwTWkIVIxpoZ', 'UB')
('SL12058-2022-11-01-397','S17-13','GhhOtDH', 'MB')
('SL22517-2022-11-02-383','S16-23','xsqcxsbtJIwFt', 'SL')
('SL04652-2022-11-02-410','S18-2','cRcImWqtBLgPKG', 'MB')
('SL04652-2022-11-02-411','S18-3','R', 'UB')
('SL22517-2022-11-02-385','S17-1','Nxa', 'LB')
('AC04652-2022-11-01-434','A25-2','KTVi', 'LB')
('SL04652-2022-11-02-415','S18-7','vsygoBhUUtmppOnR', 'SL')
('AC22517-2022-11-02-410','A23-14','ZgfJnXaVmZZFEso', 'LB')
('AC04652-2022-11-01-439','A25-7','sEanlyTqNPszX', 'LB')
('AC04652-2022-11-02-440','A25-8','McaNgg', 'LB')
('SL12058-2022-11-01-403','S17-19','yawp', 'UB')
('AC04652-2022-11-01-442','A25-10','iUjpju', 'UB')
('SL04652-2022-11-01-434','S19-2','lzXBiSTyiADwtC', 'MB')
('AC22517-2022-11-02-413','A23-17','DrCDhnGhOwWcL', 'SL')
('SL04652-2022-11-01-435','S19-3','eX', 'UB')
('SL22517-2022-11-01-418','S18-10','yb', 'MB')
('SL04652-2022-11-02-423','S18-15','tzTwpEzC', 'SL')
('AC22517-2022-11-02-416','A24-2','UV', 'LB')
('SL04652-2022-11-01-439','S19-7','aqmqugwP', 'SL')
('SL22517-2022-11-01-422','S18-14','vlfegnLBi', 'UB')
('AC22517-2022-11-01-411','A23-15','vOXmflYvh', 'UB')
('SL04652-2022-11-02-454','S19-22','CBfSojVAoHdDhF', 'UB')
('AC22517-2022-11-01-439','A25-7','SZAbpi', 'LB')
('AC22517-2022-11-02-568','A32-10','YPFxpOzOLvuOzdan', 'UB')
('AC22517-2022-11-02-569','A32-11','QKiSztn', 'SL')
('SL22517-2022-11-02-549','S23-21','R', 'MB')
('AC04652-2022-11-02-585','A33-9','FAmMB', 'UB')
('SL22517-2022-11-02-565','S24-13','bWkTORHO', 'MB')
('SL12058-2022-11-01-552','S23-24','ByDBxrrPAqbbzg', 'SU')
('AC22517-2022-11-02-585','A33-9','ewNfiJvTAG', 'UB')
('SL12058-2022-11-01-555','S24-3','oHcRRtZxVQYObK', 'UB')
('AC12058-2022-11-01-553','A31-13','oBaRdsLuufAES', 'LB')
('SL22517-2022-11-02-570','S24-18','qstpbFdGL', 'MB')
('SL22517-2022-11-02-572','S24-20','hSxPuEp', 'LB')
('SL04652-2022-11-02-572','S24-20','flPveuoaBTniIak', 'LB')
('SL04652-2022-11-01-586','S25-10','ZGhJx', 'MB')
('AC12058-2022-11-01-555','A31-15','hy', 'UB')
('AC22517-2022-11-02-590','A33-14','PpFEcYXaIJ', 'LB')
('AC04652-2022-11-01-608','A34-14','eDwaTNrSHCEop', 'LB')
('AC04652-2022-11-01-609','A34-15','I', 'UB')
('AC22517-2022-11-01-565','A32-7','zLByMudEqDSP', 'LB')
('SL12058-2022-11-01-567','S24-15','lnPbCxjMvX', 'SL')
('AC22517-2022-11-01-567','A32-9','zLn', 'UB')
('SL04652-2022-11-01-591','S25-15','AUZFuUnFwWVwB', 'SL')
('AC22517-2022-11-02-595','A34-1','nDBuRXNprOuzl', 'LB')
('SL22517-2022-11-01-588','S25-12','fsIDqEko', 'LB')
('SL04652-2022-11-02-577','S25-1','ThWlvMlqOF', 'LB')
('SL12058-2022-11-01-571','S24-19','JzjUI', 'UB')
('SL22517-2022-11-02-578','S25-2','IFOStjJDP', 'MB')
('SL04652-2022-11-02-579','S25-3','pbRJ', 'UB')
('SL22517-2022-11-01-589','S25-13','ulAZpcC', 'MB')
('AC04652-2022-11-02-616','A35-4','NKfBTheGUHatT', 'UB')
('SL04652-2022-11-01-593','S25-17','mnYArpYl', 'LB')
('SL22517-2022-11-02-581','S25-5','yWf', 'MB')
('AC04652-2022-11-01-613','A35-1','GFZxTruvQ', 'LB')
('SL22517-2022-11-01-591','S25-15','jbiFdUXT', 'SL')
('SL22517-2022-11-01-592','S25-16','iSfkj', 'SU')
('AC22517-2022-11-01-574','A32-16','NhRx', 'UB')
('SL12058-2022-11-01-574','S24-22','kNINjnz', 'UB')
('AC22517-2022-11-01-576','A32-18','FCljhZQIgWHvyEn', 'SU')
('AC04652-2022-11-02-622','A35-10','unScYJfELhc', 'UB')
('SL04652-2022-11-02-585','S25-9','IEakaFamDi', 'LB')
('SL12058-2022-11-01-576','S24-24','ttZeuPKHCuAPzgz', 'SU')
('SL22517-2022-11-02-584','S25-8','QlnrLhAIBOZY', 'SU')
('AC04652-2022-11-02-624','A35-12','KRsbmTEEdmfJQS', 'SU')
('SL04652-2022-11-01-596','S25-20','opKgiaUlqYy', 'LB')
('SL04652-2022-11-02-588','S25-12','AIWQPgtiSOVra', 'LB')
('AC04652-2022-11-01-619','A35-7','YOZOlBqqKSQwTx', 'LB')
('SL12058-2022-11-01-577','S25-1','hfT', 'LB')
('AC22517-2022-11-02-609','A34-15','onB', 'UB')
('SL22517-2022-11-01-594','S25-18','CRinMBDLX', 'MB')
('AC04652-2022-11-01-622','A35-10','KnqywCOqZNTKCmQI', 'UB')
('SL04652-2022-11-02-591','S25-15','mBvtVSuXOFyaCQK', 'SL')
('SL12058-2022-11-01-581','S25-5','PbXWKmvDNOGIW', 'MB')
('SL22517-2022-11-02-587','S25-11','UBobGabYS', 'UB')
('SL04652-2022-11-01-599','S25-23','KRMUbwvBC', 'SL')
('SL22517-2022-11-02-589','S25-13','GZmJdBEazGMEXz', 'MB')
('SL12058-2022-11-01-584','S25-8','lBDOVIupgNCLvv', 'SU')
('SL12058-2022-11-01-585','S25-9','xCbpWN', 'LB')
('SL04652-2022-11-02-596','S25-20','kpsxi', 'LB')
('AC22517-2022-11-01-585','A33-9','D', 'UB')
('SL04652-2022-11-01-603','S26-3','d', 'UB')
('AC04652-2022-11-02-633','A36-3','Qmxwp', 'UB')
('SL04652-2022-11-01-606','S26-6','oZchjtQFsPX', 'UB')
('SL04652-2022-11-02-601','S26-1','Wdha', 'LB')
('AC12058-2022-11-01-579','A33-3','zhA', 'UB')
('AC22517-2022-11-02-620','A35-8','JeuxTbkeCr', 'LB')
('SL12058-2022-11-01-589','S25-13','WSFd', 'MB')
('AC04652-2022-11-01-628','A35-16','Re', 'UB')
('AC04652-2022-11-01-629','A35-17','ToYUdieigF', 'SL')
('SL12058-2022-11-01-592','S25-16','sYhsDmVFPEBIIac', 'SU')
('AC04652-2022-11-01-630','A35-18','ow', 'SU')
('AC04652-2022-11-01-631','A36-1','FRiqPNMTkatUeL', 'LB')
('SL22517-2022-11-01-599','S25-23','s', 'SL')
('AC04652-2022-11-01-632','A36-2','R', 'LB')
('AC04652-2022-11-01-633','A36-3','NCVuPOX', 'UB')
('AC04652-2022-11-01-636','A36-6','tukFFKR', 'SU')
('AC12058-2022-11-01-584','A33-8','IdRd', 'LB')
('SL12058-2022-11-01-595','S25-19','UrNXldYvPPOXbP', 'UB')
('SL04652-2022-11-01-616','S26-16','VjwhZ', 'SU')
('SL04652-2022-11-01-617','S26-17','hXWhU', 'LB')
('AC12058-2022-11-01-586','A33-10','gVtzNaKTtKzfkTC', 'UB')
('SL22517-2022-11-01-604','S26-4','wuHbeeYGgYanUoG', 'LB')
('AC04652-2022-11-01-639','A36-9','niTbilEBbktHxc', 'UB')
('AC12058-2022-11-01-588','A33-12','Bq', 'SU')
('SL04652-2022-11-01-619','S26-19','MjjWMGAKuApNLdM', 'UB')
('AC04652-2022-11-01-641','A36-11','H', 'SL')
('AC22517-2022-11-02-633','A36-3','BNSOgMRSMUsKvA', 'UB')
('AC12058-2022-11-01-591','A33-15','qODdRkAWkjEZKWo', 'UB')
('SL12058-2022-11-01-603','S26-3','Ptta', 'UB')
('AC22517-2022-11-01-602','A34-8','QxwRePqqpwFh', 'LB')
('SL04652-2022-11-01-625','S27-1','Wgllka', 'LB')
('AC04652-2022-11-02-648','A36-18','PIHfNoix', 'SU')
('AC04652-2022-11-02-649','A37-1','v', 'LB')
('SL04652-2022-11-02-614','S26-14','QnN', 'UB')
('SL22517-2022-11-02-605','S26-5','YadUKfvH', 'MB')
('SL22517-2022-11-02-606','S26-6','SLYfhljaKL', 'UB')
('SL12058-2022-11-01-607','S26-7','IT', 'SL')
('AC04652-2022-11-01-646','A36-16','ueayyDVJkAIpo', 'UB')
('SL22517-2022-11-01-612','S26-12','PsAdCYnrqOXY', 'LB')
('AC12058-2022-11-01-598','A34-4','PtiHzAjLq', 'UB')
('SL22517-2022-11-01-613','S26-13','HuUUxKjtRKAq', 'MB')
('SL04652-2022-11-01-633','S27-9','fGOAAc', 'LB')
('SL04652-2022-11-01-634','S27-10','KhvswoqGCnlOsLyv', 'MB')
('AC04652-2022-11-02-660','A37-12','ldKVJCa', 'SU')
('AC04652-2022-11-01-655','A37-7','wGodyuSrS', 'LB')
('SL22517-2022-11-01-620','S26-20','iEGPkxi', 'LB')
('SL22517-2022-11-01-622','S26-22','atfFfUNQYagoNx', 'UB')
('AC04652-2022-11-02-663','A37-15','C', 'UB')
('AC04652-2022-11-01-659','A37-11','Ut', 'SL')
('AC22517-2022-11-02-644','A36-14','fi', 'LB')
('SL04652-2022-11-01-642','S27-18','yDUrREbOy', 'MB')
('AC12058-2022-11-01-607','A34-13','cUWyvNNFzKTL', 'LB')
('AC12058-2022-11-01-608','A34-14','dNTTLi', 'LB')
('AC12058-2022-11-01-609','A34-15','qh', 'UB')
('SL04652-2022-11-02-620','S26-20','dPibPxmXwmABU', 'LB')
('SL12058-2022-11-01-626','S27-2','RbeWOGVixCCO', 'MB')
('AC22517-2022-11-01-624','A35-12','CmlYktCYidZhkY', 'SU')
('AC22517-2022-11-01-625','A35-13','EzydAMDRkHTdFv', 'LB')
('SL12058-2022-11-01-629','S27-5','mvFq', 'MB')
('SL12058-2022-11-01-630','S27-6','pdaglmwrnxRecRu', 'UB')
('SL12058-2022-11-01-633','S27-9','XeFehyrGyLKbiFRo', 'LB')
('AC12058-2022-11-01-616','A35-4','IrrGUJTZrMb', 'UB')
('AC22517-2022-11-02-652','A37-4','STw', 'UB')
('AC12058-2022-11-01-617','A35-5','sjART', 'SL')
('SL04652-2022-11-02-633','S27-9','IW', 'LB')
('SL22517-2022-11-02-623','S26-23','mrAkDiMuaTEGR', 'SL')
('SL22517-2022-11-02-624','S26-24','zlDhj', 'SU')
('SL22517-2022-11-01-632','S27-8','dnSbpCeB', 'SU')
('AC04652-2022-11-02-680','A38-14','UtUpaA', 'LB')
('AC04652-2022-11-01-672','A38-6','pxvuG', 'SU')
('SL04652-2022-11-02-637','S27-13','fwpZXBvRV', 'MB')
('AC04652-2022-11-02-681','A38-15','ynDW', 'UB')
('SL04652-2022-11-02-638','S27-14','fZSENR', 'UB')
('SL22517-2022-11-02-628','S27-4','Lt', 'LB')
('AC12058-2022-11-01-753','A42-15','ljsrzCe', 'UB')
('SL22517-2022-11-02-777','S33-9','t', 'LB')
('SL04652-2022-11-02-776','S33-8','dYR', 'SU')
('SL22517-2022-11-01-789','S33-21','PftpHdbR', 'MB')
('AC22517-2022-11-01-755','A42-17','ooHoFCxnfGtpXWQq', 'SL')
('AC04652-2022-11-02-833','A47-5','omzoMWPI', 'SL')
('AC04652-2022-11-01-787','A44-13','TzHvBNZ', 'LB')
('SL22517-2022-11-02-781','S33-13','AIp', 'MB')
('SL04652-2022-11-01-786','S33-18','OsidkmvVRoPI', 'MB')
('SL22517-2022-11-02-784','S33-16','eTl', 'SU')
('SL22517-2022-11-02-785','S33-17','ECVhAzqlk', 'LB')
('AC22517-2022-11-01-807','A45-15','HXUqxOGnMrtUDC', 'UB')
('AC12058-2022-11-01-786','A44-12','vqM', 'SU')
('AC04652-2022-11-02-869','A49-5','vrjWXU', 'SL')
('SL04652-2022-11-02-820','S35-4','Qu', 'LB')
('SL22517-2022-11-02-830','S35-14','zeHuv', 'UB')
('SL22517-2022-11-01-833','S35-17','eFbMXQysGI', 'LB')
('AC04652-2022-11-01-827','A46-17','URAoXLfYaRdJjsC', 'SL')
('AC04652-2022-11-01-828','A46-18','jwmyIqGAffxlpNB', 'SU')
('SL04652-2022-11-02-826','S35-10','lPYwTLWSNQbuU', 'MB')
('SL04652-2022-11-01-827','S35-11','hn', 'UB')
('AC22517-2022-11-02-840','A47-12','YIKhLqiCesryM', 'SU')
('AC12058-2022-11-01-802','A45-10','cVuhvyQjrNx', 'UB')
('SL04652-2022-11-01-829','S35-13','bcOzjksDHOPnAr', 'MB')
('AC04652-2022-11-01-834','A47-6','vacZJxNUntg', 'SU')
('SL04652-2022-11-02-832','S35-16','xCSEjVYg', 'SU')
('AC22517-2022-11-01-820','A46-10','vAVAVpIiEHSJTA', 'UB')
('AC04652-2022-11-02-890','A50-8','jsytuIe', 'LB')
('AC22517-2022-11-02-843','A47-15','IvVnWhtvfoB', 'UB')
('AC22517-2022-11-02-844','A47-16','ehZXdafCLgP', 'UB')
('AC04652-2022-11-02-895','A50-13','OvTnpgdFzTCk', 'LB')
('SL22517-2022-11-02-844','S36-4','wgTinpxdVnlr', 'LB')
('AC22517-2022-11-02-850','A48-4','YQubqDuMjuRL', 'UB')
('SL22517-2022-11-02-851','S36-11','aqOckkicftrQ', 'UB')
('AC04652-2022-11-01-851','A48-5','BUusinXNcLpzJF', 'SL')
('SL22517-2022-11-02-854','S36-14','fciuyWMUOYeDX', 'UB')
('SL04652-2022-11-02-845','S36-5','FkoNxVaA', 'MB')
('SL22517-2022-11-01-855','S36-15','yyM', 'SL')
('AC04652-2022-11-02-907','A51-7','tiSAfQgSci', 'LB')
('SL22517-2022-11-01-857','S36-17','iwVEP', 'LB')
('SL22517-2022-11-02-855','S36-15','SGseepmLpEvGK', 'SL')
('SL22517-2022-11-02-856','S36-16','KyogBCQCvySARtZf', 'SU')
('SL22517-2022-11-02-857','S36-17','KXMiUCoMYnzZnK', 'LB')
('AC04652-2022-11-01-856','A48-10','XzyTsRBliIpvnK', 'UB')
('SL12058-2022-11-01-870','S37-6','CizOub', 'UB')
('SL12058-2022-11-01-871','S37-7','VVanRdbQoTp', 'SL')
('SL12058-2022-11-01-872','S37-8','yJuWgs', 'SU')
('AC04652-2022-11-01-885','A50-3','vHYCXsSZpGMIysu', 'UB')
('AC04652-2022-11-01-886','A50-4','XHOkI', 'UB')
('AC22517-2022-11-01-866','A49-2','oiirslNhHeH', 'LB')
('SL04652-2022-11-02-877','S37-13','UYXBPqypccuJ', 'MB')
('SL22517-2022-11-01-894','S38-6','qc', 'UB')
('AC04652-2022-11-02-933','A52-15','XR', 'UB')
('SL04652-2022-11-02-879','S37-15','UTZRHKfONMHNXyWM', 'SL')
('SL22517-2022-11-01-898','S38-10','yIRfFEmSPCGCB', 'MB')
('AC22517-2022-11-02-888','A50-6','aupwETiraRvVp', 'SU')
('AC12058-2022-11-01-855','A48-9','AwmKQLDapXOi', 'UB')
('SL22517-2022-11-01-899','S38-11','IPsvBj', 'UB')
('AC22517-2022-11-02-890','A50-8','OgvjcBrYrT', 'LB')
('AC22517-2022-11-02-891','A50-9','us', 'UB')
('SL22517-2022-11-01-903','S38-15','PHhaFoDSwa', 'SL')
('AC12058-2022-11-01-860','A48-14','F', 'LB')
('AC22517-2022-11-02-893','A50-11','EG', 'SL')
('SL22517-2022-11-02-900','S38-12','JpUhebT', 'LB')
('AC12058-2022-11-01-861','A48-15','ltTt', 'UB')
('SL04652-2022-11-01-887','S37-23','nyrkLSPjpsuVP', 'SL')
('SL04652-2022-11-01-914','S39-2','xXLItTrGUVx', 'MB')
('AC22517-2022-11-01-909','A51-9','Moq', 'UB')
('AC04652-2022-11-01-929','A52-11','twWgVKJk', 'SL')
('AC22517-2022-11-02-930','A52-12','bAdVKoBAXt', 'SU')
('SL22517-2022-11-01-941','S40-5','GINzRIhvH', 'MB')
('SL22517-2022-11-01-944','S40-8','lqRCXYOADtVU', 'SU')
('SL22517-2022-11-01-945','S40-9','f', 'LB')
('AC12058-2022-11-01-889','A50-7','MbgcBeAsOWp', 'LB')
('AC04652-2022-11-01-932','A52-14','zQyAtVxuyKzIbyvq', 'LB')
('SL22517-2022-11-02-929','S39-17','cpu', 'LB')
('AC04652-2022-11-02-961','A54-7','vrqJJhDmLJxFSHA', 'LB')
('SL04652-2022-11-01-925','S39-13','kHKKuOkQtgTmiILU', 'MB')
('SL22517-2022-11-01-948','S40-12','WeK', 'LB')
('AC12058-2022-11-01-894','A50-12','l', 'SU')
('SL12058-2022-11-01-913','S39-1','rkBGLFPhHwIlU', 'LB')
('AC12058-2022-11-01-897','A50-15','rZEtkBEBG', 'UB')
('AC22517-2022-11-02-953','A53-17','NSqm', 'SL')
('SL04652-2022-11-01-933','S39-21','XvLduBZAZlnCvnO', 'MB')
('AC22517-2022-11-01-925','A52-7','vYRyLBPIOXL', 'LB')
('SL22517-2022-11-02-937','S40-1','xqbBvqeYbLNv', 'LB')
('SL22517-2022-11-02-938','S40-2','vyYHWVEoa', 'MB')
('AC04652-2022-11-01-943','A53-7','BKkiDfSou', 'LB')
('AC22517-2022-11-02-959','A54-5','vzTweqWAhUB', 'SL')
('SL12058-2022-11-01-928','S39-16','lCrwoTCPy', 'SU')
('AC12058-2022-11-01-911','A51-11','SrmlbhMFQRgMk', 'SL')
('AC22517-2022-11-01-931','A52-13','ETnfpIrQIYn', 'LB')
('AC04652-2022-11-02-975','A55-3','epN', 'UB')
('SL12058-2022-11-01-932','S39-20','pFGwhesVBC', 'LB')
('SL22517-2022-11-02-947','S40-11','BSRBMjqhLePKV', 'UB')
('SL12058-2022-11-01-934','S39-22','luiYorENIZhRhfzA', 'UB')
('AC04652-2022-11-01-1030','A58-4','NJx', 'UB')
('SL22517-2022-11-01-1040','S44-8','UXc', 'SU')
('AC04652-2022-11-01-1032','A58-6','iZJGvFSrELznfZeT', 'SU')
('SL22517-2022-11-02-1035','S44-3','meyjc', 'UB')
('AC22517-2022-11-02-1049','A59-5','HsJhHcmjGBRU', 'SL')
('SL22517-2022-11-02-1039','S44-7','R', 'SL')
('SL22517-2022-11-01-1055','S44-23','XAtjD', 'SL')
('AC22517-2022-11-02-1051','A59-7','AhzBqdWQGGIPGd', 'LB')
('AC04652-2022-11-02-1067','A60-5','rhleqFM', 'SL')
('SL12058-2022-11-01-1060','S45-4','OREtToKausHHnY', 'LB')
('SL22517-2022-11-02-1072','S45-16','xXuvgwtsnd', 'SU')
('AC22517-2022-11-01-1059','A59-15','xwDDLGVqG', 'UB')
('AC22517-2022-11-02-1095','A61-15','BB', 'UB')
('AC22517-2022-11-01-1061','A59-17','HWgpbRkFtl', 'SL')
('AC22517-2022-11-01-1063','A60-1','AfwXhyWKEVF', 'LB')
('SL04652-2022-11-01-1092','S46-12','EhEqGwWh', 'LB')
('SL22517-2022-11-02-1084','S46-4','QCYJqOq', 'LB')
('SL04652-2022-11-01-1095','S46-15','WjNQC', 'SL')
('AC04652-2022-11-02-1125','A63-9','fZUAHExaf', 'UB')
('AC22517-2022-11-02-1106','A62-8','xv', 'LB')
('AC04652-2022-11-01-1095','A61-15','rxoyvGWc', 'UB')
('SL12058-2022-11-01-1075','S45-19','Ba', 'UB')
('SL22517-2022-11-01-1107','S47-3','xNfxeTVD', 'UB')
('SL22517-2022-11-02-1090','S46-10','AhpJoTksg', 'MB')
('AC12058-2022-11-01-1057','A59-13','QgFi', 'LB')
('AC04652-2022-11-02-1134','A63-18','TDhidZYUwiyysVFW', 'SU')
('AC12058-2022-11-01-1061','A59-17','i', 'SL')
('SL04652-2022-11-01-1104','S46-24','QDGabaAhKvYoIL', 'SU')
('AC12058-2022-11-01-1063','A60-1','nNwgpit', 'LB')
('SL22517-2022-11-02-1101','S46-21','LRsLFRpLGnZpDN', 'MB')
('AC12058-2022-11-01-1068','A60-6','LPrqJlvG', 'SU')
('AC12058-2022-11-01-1071','A60-9','MyKBbAMegNORBbUc', 'UB')
('AC04652-2022-11-02-1142','A64-8','YVoihAXzZBnIPIe', 'LB')
('SL12058-2022-11-01-1090','S46-10','ymGMNjUiIMkdNFKp', 'MB')
('SL04652-2022-11-01-1116','S47-12','HTbIEY', 'LB')
('SL22517-2022-11-02-1105','S47-1','u', 'LB')
('SL12058-2022-11-01-1092','S46-12','Xeycc', 'LB')
('SL22517-2022-11-02-1106','S47-2','Uxlar', 'MB')
('AC22517-2022-11-01-1094','A61-14','CErDuglkX', 'LB')
('AC22517-2022-11-02-1126','A63-10','AlczKJJGYgv', 'UB')
('AC12058-2022-11-01-1078','A60-16','aY', 'UB')
('SL22517-2022-11-02-1108','S47-4','KHDxdrBaruhU', 'LB')
('SL12058-2022-11-01-1095','S46-15','XENAxcgsxvxU', 'SL')
('SL22517-2022-11-02-1110','S47-6','VGlCS', 'UB')
('AC12058-2022-11-01-1081','A61-1','QxQHITU', 'LB')
('SL22517-2022-11-02-1111','S47-7','TTPXJjnSC', 'SL')
('SL04652-2022-11-02-1103','S46-23','JUCcSWfWMTqX', 'SL')
('AC12058-2022-11-01-1084','A61-4','pjQuaa', 'UB')
('SL04652-2022-11-01-1126','S47-22','TmWQJdUFVai', 'UB')
('SL22517-2022-11-01-1128','S47-24','jUwh', 'SU')
('AC22517-2022-11-02-1137','A64-3','fiGMWsvkHvGUZahH', 'UB')
('AC04652-2022-11-02-1159','A65-7','cSnnQttdiRKUMyQQ', 'LB')
('AC22517-2022-11-01-1101','A62-3','wWIkUWwQOgDMypPH', 'UB')
('AC12058-2022-11-01-1090','A61-10','PGg', 'UB')
('SL22517-2022-11-02-1122','S47-18','dWJOffVD', 'MB')
('SL04652-2022-11-01-1134','S48-6','zpqOR', 'UB')
('SL04652-2022-11-02-1115','S47-11','GQxdutcH', 'UB')
('SL22517-2022-11-02-1133','S48-5','ndjHHvzEXIGqHVgq', 'MB')
('AC04652-2022-11-02-1167','A65-15','dvfI', 'UB')
('AC04652-2022-11-01-1132','A63-16','buVAoNIE', 'UB')
('SL04652-2022-11-01-1142','S48-14','phVRMm', 'UB')
('SL04652-2022-11-01-1143','S48-15','cqILiKczJMzIL', 'SL')
('AC04652-2022-11-01-1135','A64-1','WbCrXme', 'LB')
('AC04652-2022-11-01-1136','A64-2','v', 'LB')
('SL04652-2022-11-01-1148','S48-20','CglxgVMCmwvRtJQc', 'LB')
('SL12058-2022-11-01-1122','S47-18','J', 'MB')
('SL12058-2022-11-01-1123','S47-19','nHpDkvyiYATOasi', 'UB')
('SL22517-2022-11-01-1164','S49-12','iAEUg', 'LB')
('SL12058-2022-11-01-1142','S48-14','sQTYznQLo', 'UB')
('AC22517-2022-11-02-1195','A67-7','odMzCoqh', 'LB')
('SL12058-2022-11-01-1156','S49-4','zhvRV', 'LB')
('SL22517-2022-11-02-1187','S50-11','jLCLK', 'UB')
('AC22517-2022-11-01-1151','A64-17','eM', 'SL')
('SL22517-2022-11-01-1198','S50-22','PqQBN', 'UB')
('AC22517-2022-11-01-1160','A65-8','vDdTspsVEqaavP', 'LB')
('AC22517-2022-11-01-1161','A65-9','NgNSQSRhh', 'UB')
('AC12058-2022-11-01-1150','A64-16','aVjx', 'UB')
('SL12058-2022-11-01-1164','S49-12','bO', 'LB')
('AC04652-2022-11-01-1187','A66-17','elnhvpOByTFv', 'SL')
('AC22517-2022-11-01-1171','A66-1','TUgw', 'LB')
('SL12058-2022-11-01-1183','S50-7','wDNMz', 'SL')
('SL04652-2022-11-01-1210','S51-10','HtGBjiECPzViQIdE', 'MB')
('AC04652-2022-11-02-1245','A70-3','Pp', 'UB')
('SL12058-2022-11-01-1188','S50-12','XBCOKOjWgiYQ', 'LB')
('SL12058-2022-11-01-1191','S50-15','yWXImvcsic', 'SL')
('AC04652-2022-11-01-1210','A68-4','VGBBsqGBKiMMJ', 'UB')
('AC04652-2022-11-02-1251','A70-9','BFpEhCvcOFlQvcQT', 'UB')
('SL04652-2022-11-02-1249','S53-1','zt', 'LB')
('AC12058-2022-11-01-1219','A68-13','wCqmVWCyahmpMBl', 'LB')
