('SL12058-2022-11-01-4','S1-4','BsEjQkPmDajeGhn', 'LB')
('SL12058-2022-11-01-387','S17-3','WFpB', 'UB')
('SL22517-2022-11-01-386','S17-2','WfxIHkasCQW', 'MB')
('AC04652-2022-11-01-399','A23-3','rZwkAInbJR', 'UB')
('AC22517-2022-11-01-352','A20-10','Toz', 'UB')
('AC12058-2022-11-01-395','A22-17','FkKTdxppFyJF', 'SL')
('AC12058-2022-11-01-396','A22-18','MWJeKHjhCD', 'SU')
('SL22517-2022-11-01-388','S17-4','p', 'LB')
('AC12058-2022-11-01-398','A23-2','mtk', 'LB')
('SL04652-2022-11-01-374','S16-14','X', 'UB')
('SL04652-2022-11-02-345','S15-9','TtMXtSPFfcmqeUS', 'LB')
('AC12058-2022-11-01-401','A23-5','uABgyl', 'SL')
('AC04652-2022-11-02-381','A22-3','mCOwvrqgCJV', 'UB')
('SL04652-2022-11-02-353','S15-17','zLISfLAWQP', 'LB')
('SL12058-2022-11-01-411','S18-3','WnF', 'UB')
('SL12058-2022-11-01-412','S18-4','wYThkFhjFvbhrpp', 'LB')
('SL22517-2022-11-01-403','S17-19','AQejEeUNhMrSqqx', 'UB')
('AC04652-2022-11-02-403','A23-7','ZcIUbISPfwK', 'LB')
('AC22517-2022-11-02-442','A25-10','BcP', 'UB')
('AC12058-2022-11-01-420','A24-6','uMAuPPpUCH', 'SU')
('AC04652-2022-11-01-413','A23-17','dKaNfYuHm', 'SL')
('AC22517-2022-11-02-443','A25-11','Mf', 'SL')
('AC04652-2022-11-01-418','A24-4','MiedzcWPU', 'UB')
('AC12058-2022-11-01-425','A24-11','pu', 'SL')
('SL12058-2022-11-01-417','S18-9','Uu', 'LB')
('SL12058-2022-11-01-418','S18-10','YFYRNtxdBXFy', 'MB')
('AC04652-2022-11-02-409','A23-13','GrTZqNdKr', 'LB')
('AC04652-2022-11-01-425','A24-11','tJVddGpUJPfrkGVE', 'SL')
('AC22517-2022-11-01-370','A21-10','qqMgavdJLJ', 'UB')
('SL22517-2022-11-01-410','S18-2','CyNKeR', 'MB')
('SL12058-2022-11-01-426','S18-18','tg', 'MB')
('AC22517-2022-11-01-375','A21-15','hWNXnE', 'UB')
('SL22517-2022-11-01-413','S18-5','czUIXPHFc', 'MB')
('SL22517-2022-11-02-471','S20-15','UGCYSIhNadex', 'SL')
('SL22517-2022-11-01-472','S20-16','JeLCJeTeO', 'SU')
('AC12058-2022-11-01-513','A29-9','OEnErlFFEPsaLEIm', 'UB')
('SL04652-2022-11-02-448','S19-16','LLFFG', 'SU')
('SL22517-2022-11-02-478','S20-22','IYvl', 'UB')
('AC12058-2022-11-01-542','A31-2','GRZvKlrVBwrCgo', 'LB')
('SL22517-2022-11-01-527','S22-23','n', 'SL')
('AC22517-2022-11-01-481','A27-13','foBAmeqGkQqA', 'LB')
('SL12058-2022-11-01-532','S23-4','iZbHBjSGiONzNVay', 'LB')
('SL22517-2022-11-02-526','S22-22','IfasegWDr', 'UB')
('AC22517-2022-11-01-490','A28-4','TQ', 'UB')
('SL22517-2022-11-02-541','S23-13','dJWNaxDexBJ', 'MB')
('SL22517-2022-11-01-553','S24-1','hBZlomTtoKC', 'LB')
('SL04652-2022-11-02-507','S22-3','eWhrwDeFUtCh', 'UB')
('AC12058-2022-11-01-585','A33-9','HYHweHokIebajt', 'UB')
('AC04652-2022-11-01-555','A31-15','bzNKcEfKN', 'UB')
('AC04652-2022-11-01-556','A31-16','HYStHjiwNqVgo', 'UB')
('SL04652-2022-11-01-541','S23-13','JiDQUOxsAAGbB', 'MB')
('SL04652-2022-11-01-550','S23-22','lAblapqLDT', 'UB')
('SL04652-2022-11-01-552','S23-24','BuHPDYukHGNaCeDg', 'SU')
('AC22517-2022-11-01-513','A29-9','PbbS', 'UB')
('AC12058-2022-11-01-596','A34-2','q', 'LB')
('SL22517-2022-11-01-573','S24-21','foblzDQfgKYE', 'MB')
('AC22517-2022-11-01-517','A29-13','bocyilMm', 'LB')
('AC04652-2022-11-02-575','A32-17','XRbTYfPuieXY', 'SL')
('AC22517-2022-11-01-524','A30-2','KYOp', 'LB')
('SL22517-2022-11-02-565','S24-13','KARCNofOLECmEqq', 'MB')
('AC04652-2022-11-02-583','A33-7','JcVvxrSVC', 'LB')
('AC22517-2022-11-02-624','A35-12','IUJaeoHEKrotaaa', 'SU')
('SL12058-2022-11-01-578','S25-2','HfwAjGpXCYkVolE', 'MB')
('SL04652-2022-11-01-585','S25-9','LTrEJhLsxGtvx', 'LB')
('SL12058-2022-11-01-607','S26-7','rHzzkHj', 'SL')
('SL22517-2022-11-02-601','S26-1','tdCKLJjXreXgzq', 'LB')
('SL04652-2022-11-02-566','S24-14','AEqcHvNhq', 'UB')
('AC04652-2022-11-02-624','A35-12','QXW', 'SU')
('SL22517-2022-11-01-627','S27-3','GABUeji', 'UB')
('SL22517-2022-11-01-628','S27-4','tTqLgpMnuuHN', 'LB')
('SL04652-2022-11-02-569','S24-17','jaPrv', 'LB')
('SL12058-2022-11-01-611','S26-11','YYCbWAXHadb', 'UB')
('SL22517-2022-11-02-605','S26-5','TWdSFWC', 'MB')
('SL04652-2022-11-01-619','S26-19','eYWijyMPvCcgyDw', 'UB')
('AC12058-2022-11-01-634','A36-4','npinte', 'UB')
('SL12058-2022-11-01-613','S26-13','k', 'MB')
('SL04652-2022-11-02-574','S24-22','pWvkaDJuhX', 'UB')
('SL22517-2022-11-02-607','S26-7','HKlOoYnsypInF', 'SL')
('SL22517-2022-11-01-631','S27-7','AnejqUyDLy', 'SL')
('AC04652-2022-11-01-620','A35-8','vLA', 'LB')
('SL22517-2022-11-01-677','S29-5','SYynBWZ', 'MB')
('SL04652-2022-11-01-676','S29-4','i', 'LB')
('AC04652-2022-11-01-667','A38-1','lfHczpjzxwVGhozn', 'LB')
('AC04652-2022-11-02-676','A38-10','YCuAIJBxyvtP', 'UB')
('SL22517-2022-11-02-668','S28-20','Ow', 'LB')
('AC12058-2022-11-01-687','A39-3','pqC', 'UB')
('SL22517-2022-11-01-682','S29-10','CKhWKTENBPtoBanK', 'MB')
('AC22517-2022-11-01-643','A36-13','SJhfq', 'LB')
('AC04652-2022-11-01-685','A39-1','RsGJIVukUt', 'LB')
('AC22517-2022-11-01-646','A36-16','neXmZHBhUJwYn', 'UB')
('SL12058-2022-11-01-744','S31-24','HBZ', 'SU')
('AC22517-2022-11-02-764','A43-8','CtFr', 'LB')
('AC12058-2022-11-01-738','A41-18','nEioUwzDaQrVA', 'SU')
('SL22517-2022-11-01-744','S31-24','lUpJNIsqUbR', 'SU')
('SL12058-2022-11-01-755','S32-11','VE', 'UB')
('AC12058-2022-11-01-754','A42-16','wyEvBhpFWZsUhPdS', 'UB')
('AC22517-2022-11-01-708','A40-6','TNiVTPbxWYj', 'SU')
('SL22517-2022-11-01-762','S32-18','Lodx', 'MB')
('AC22517-2022-11-01-714','A40-12','uQLmVekXsXIOG', 'SU')
('SL12058-2022-11-01-769','S33-1','ITnbWLmDEerIyX', 'LB')
('AC22517-2022-11-02-799','A45-7','ixHdExC', 'LB')
('AC12058-2022-11-01-764','A43-8','W', 'LB')
('AC12058-2022-11-01-765','A43-9','yeS', 'UB')
('AC22517-2022-11-01-717','A40-15','hvjnksVtLb', 'UB')
('SL12058-2022-11-01-774','S33-6','SHVEQ', 'UB')
('AC22517-2022-11-01-719','A40-17','ESSxDdl', 'SL')
('AC12058-2022-11-01-772','A43-16','ofotSJWkEoT', 'UB')
('AC12058-2022-11-01-790','A44-16','UwXMX', 'UB')
('SL12058-2022-11-01-788','S33-20','nsqdxdCENtBWBYwc', 'LB')
('AC22517-2022-11-02-819','A46-9','bufpBxAas', 'UB')
('AC22517-2022-11-01-740','A42-2','ieH', 'LB')
('SL22517-2022-11-02-782','S33-14','VjvcKXNYJKzGlESl', 'UB')
('AC22517-2022-11-01-741','A42-3','zsblgEvyjdyiG', 'UB')
('AC12058-2022-11-01-794','A45-2','UVUU', 'LB')
('SL22517-2022-11-02-815','S34-23','unMXNyDV', 'SL')
('SL12058-2022-11-01-823','S35-7','kkvfKxDzJaLVX', 'SL')
('AC22517-2022-11-01-770','A43-14','zxvtuYu', 'LB')
('AC04652-2022-11-02-793','A45-1','wQBWeCuY', 'LB')
('AC22517-2022-11-02-853','A48-7','NazgdBECI', 'LB')
('SL22517-2022-11-01-819','S35-3','LX', 'UB')
('SL22517-2022-11-01-820','S35-4','bCwd', 'LB')
('AC04652-2022-11-02-796','A45-4','KPWbUvNv', 'UB')
('AC04652-2022-11-01-850','A48-4','xkolJLZQFU', 'UB')
('AC12058-2022-11-01-850','A48-4','UpnOuT', 'UB')
('SL12058-2022-11-01-867','S37-3','LersQ', 'UB')
('AC04652-2022-11-01-858','A48-12','MyrzQTW', 'SU')
('SL04652-2022-11-01-844','S36-4','nxi', 'LB')
('SL22517-2022-11-02-852','S36-12','zHSHZThpokUkZxoC', 'LB')
('AC12058-2022-11-01-881','A49-17','EiViAKVcMRUSYlSP', 'SL')
('SL22517-2022-11-01-870','S37-6','zTjpRDgIVfiT', 'UB')
('SL04652-2022-11-02-834','S35-18','qjU', 'MB')
('SL04652-2022-11-02-835','S35-19','hnZiTF', 'UB')
('SL22517-2022-11-02-883','S37-19','dThkrDkYtBP', 'UB')
('AC04652-2022-11-01-893','A50-11','zZWfPOLEqurVICvZ', 'SL')
('AC12058-2022-11-01-887','A50-5','ZaEBw', 'SL')
('AC22517-2022-11-02-921','A52-3','eYFuzTdl', 'UB')
('AC04652-2022-11-02-870','A49-6','rOAatkNNk', 'SU')
('SL22517-2022-11-01-880','S37-16','NDQveZXOpdPByEm', 'SU')
('SL04652-2022-11-01-910','S38-22','CPgkccFaybmv', 'UB')
('AC22517-2022-11-01-935','A52-17','fbKn', 'SL')
('SL04652-2022-11-01-964','S41-4','Gh', 'LB')
('AC22517-2022-11-01-990','A55-18','wZZMOZirzTbzc', 'SU')
('SL22517-2022-11-01-1021','S43-13','LG', 'MB')
('AC22517-2022-11-02-1060','A59-16','CKydRGoXE', 'UB')
('AC04652-2022-11-01-1027','A58-1','SlCcSnmMum', 'LB')
('AC12058-2022-11-01-1006','A56-16','WbiL', 'UB')
('AC12058-2022-11-01-1007','A56-17','wcbSXsrPenbK', 'SL')
('AC12058-2022-11-01-1011','A57-3','Bi', 'UB')
('AC22517-2022-11-02-1064','A60-2','oLwNkfMpOkIAUkd', 'LB')
('AC04652-2022-11-02-1004','A56-14','ncIV', 'LB')
('SL12058-2022-11-01-1040','S44-8','aawmiFcwqjrXIqhG', 'SU')
('SL22517-2022-11-01-1036','S44-4','AyMYEeoPjobzEt', 'LB')
('AC22517-2022-11-02-1069','A60-7','xUaKkkGqxobWrL', 'LB')
('AC12058-2022-11-01-1025','A57-17','HWOtoeepTyeQ', 'SL')
('AC04652-2022-11-01-1046','A59-2','h', 'LB')
('SL04652-2022-11-02-984','S41-24','MwmSrAhA', 'SU')
('SL04652-2022-11-02-985','S42-1','VyO', 'LB')
('AC22517-2022-11-01-1010','A57-2','CvfczhphwUKhzKLz', 'LB')
('SL04652-2022-11-01-1030','S43-22','AwnljW', 'UB')
('AC04652-2022-11-01-1051','A59-7','HiMMzEpYA', 'LB')
('SL04652-2022-11-01-1033','S44-1','vOufd', 'LB')
('AC04652-2022-11-01-1052','A59-8','wreQUhAkFdDBBy', 'LB')
('SL04652-2022-11-02-991','S42-7','IAMROStFFUHtcqJ', 'SL')
('AC04652-2022-11-01-1054','A59-10','oRUmoGC', 'UB')
('SL22517-2022-11-01-1053','S44-21','HpCfCqYBuzE', 'MB')
('SL22517-2022-11-02-1091','S46-11','uJRAX', 'UB')
('AC22517-2022-11-01-1020','A57-12','ZRreVucaa', 'SU')
('AC04652-2022-11-02-1033','A58-7','uDYfWsodaGh', 'LB')
('SL04652-2022-11-02-998','S42-14','dZbNMicaMuBw', 'UB')
('SL04652-2022-11-01-1042','S44-10','JEHzG', 'MB')
('AC12058-2022-11-01-1037','A58-11','WfDTpTJM', 'SL')
('AC22517-2022-11-02-1109','A62-11','jI', 'SL')
('SL04652-2022-11-02-1032','S43-24','IyKZXUm', 'SU')
('SL22517-2022-11-02-1115','S47-11','jprI', 'UB')
('AC22517-2022-11-01-1057','A59-13','BTphG', 'LB')
('AC22517-2022-11-02-1112','A62-14','WUQN', 'LB')
('AC04652-2022-11-01-1092','A61-12','BbFEjhkJeUGew', 'SU')
('AC04652-2022-11-01-1093','A61-13','fneJ', 'LB')
('AC12058-2022-11-01-1079','A60-17','PzuXkxbqBSr', 'SL')
('AC22517-2022-11-01-1067','A60-5','Ae', 'SL')
('AC04652-2022-11-02-1061','A59-17','YYvcSiBUrgPeYqAT', 'SL')
('SL04652-2022-11-02-1047','S44-15','syWjxsAkdDDrXdQJ', 'SL')
('AC22517-2022-11-01-1072','A60-10','PVfBVSAZhT', 'UB')
('SL22517-2022-11-01-1087','S46-7','boIHiwkyQMlwnsU', 'SL')
('AC22517-2022-11-01-1076','A60-14','eHbCXBYbeZCRZkA', 'LB')
('AC12058-2022-11-01-1085','A61-5','QElRhXT', 'SL')
('AC22517-2022-11-02-1126','A63-10','gkKI', 'UB')
('SL04652-2022-11-02-1063','S45-7','yisnMUFeIbytA', 'SL')
('AC12058-2022-11-01-1095','A61-15','e', 'UB')
('AC04652-2022-11-02-1075','A60-13','mYxFqxMmyhC', 'LB')
('AC04652-2022-11-01-1120','A63-4','fYICyezRTqOOy', 'UB')
('AC04652-2022-11-02-1086','A61-6','omHxu', 'SU')
('AC22517-2022-11-01-1090','A61-10','if', 'UB')
('AC22517-2022-11-02-1135','A64-1','dvADtBrEUyG', 'LB')
('AC04652-2022-11-02-1088','A61-8','gRElGHeC', 'LB')
('SL04652-2022-11-01-1110','S47-6','nCt', 'UB')
('SL04652-2022-11-02-1077','S45-21','m', 'MB')
('AC04652-2022-11-01-1126','A63-10','eNyQ', 'UB')
('SL12058-2022-11-01-1102','S46-22','kswBkazfmCjIk', 'UB')
('AC22517-2022-11-01-1093','A61-13','otukveonHyo', 'LB')
('AC04652-2022-11-02-1092','A61-12','ECYoGYxDib', 'SU')
('SL22517-2022-11-02-1151','S48-23','LqqVPflpKQKAyRR', 'SL')
('SL04652-2022-11-02-1084','S46-4','J', 'LB')
('SL22517-2022-11-02-1155','S49-3','fVPzSTYyEq', 'UB')
('AC22517-2022-11-02-1148','A64-14','iHuI', 'LB')
('AC22517-2022-11-01-1104','A62-6','MnYvR', 'SU')
('SL22517-2022-11-02-1161','S49-9','Vk', 'LB')
('AC04652-2022-11-02-1103','A62-5','GrSlxrIJglaoIrU', 'SL')
('SL22517-2022-11-01-1127','S47-23','Ccol', 'SL')
('AC22517-2022-11-02-1152','A64-18','mniPV', 'SU')
('SL22517-2022-11-01-1129','S48-1','daTuAMGXRFgCP', 'LB')
('AC22517-2022-11-01-1112','A62-14','fhI', 'LB')
('SL22517-2022-11-02-1165','S49-13','uYV', 'MB')
('SL12058-2022-11-01-1113','S47-9','pOFVrF', 'LB')
('SL22517-2022-11-02-1167','S49-15','qbCNIud', 'SL')
('AC04652-2022-11-02-1114','A62-16','cayYAYAHReQXN', 'UB')
('SL04652-2022-11-01-1138','S48-10','LOmNC', 'MB')
('SL12058-2022-11-01-1121','S47-17','sbxgtvuJgbRq', 'LB')
('SL22517-2022-11-02-1171','S49-19','jFdBkkx', 'UB')
('SL22517-2022-11-01-1142','S48-14','FFYiEPGOpZNBrN', 'UB')
('AC22517-2022-11-02-1169','A65-17','ReLlidtwonH', 'SL')
('SL22517-2022-11-02-1178','S50-2','kSV', 'MB')
('AC04652-2022-11-01-1158','A65-6','gfNHoLgGjK', 'SU')
('AC04652-2022-11-02-1128','A63-12','ZUZpAQVz', 'SU')
('SL22517-2022-11-02-1184','S50-8','fXBEIKvwfDfSjmv', 'SU')
('AC04652-2022-11-02-1131','A63-15','deamm', 'UB')
('SL12058-2022-11-01-1138','S48-10','D', 'MB')
('AC12058-2022-11-01-1141','A64-7','sYhlflIkGfIkd', 'LB')
('SL04652-2022-11-01-1155','S49-3','flOKxSmrzAC', 'UB')
('SL12058-2022-11-01-1143','S48-15','AUBSMKoGqWbo', 'SL')
('AC12058-2022-11-01-1144','A64-10','JnCjUM', 'UB')
('AC12058-2022-11-01-1146','A64-12','ADBH', 'SU')
('AC12058-2022-11-01-1147','A64-13','YMjoRPla', 'LB')
('AC04652-2022-11-02-1143','A64-9','VoZu', 'UB')
('SL22517-2022-11-02-1201','S51-1','M', 'LB')
('AC04652-2022-11-02-1144','A64-10','goCgsGCtT', 'UB')
('SL22517-2022-11-02-1202','S51-2','TEZU', 'MB')
('AC04652-2022-11-01-1181','A66-11','HnfEZB', 'SL')
('AC22517-2022-11-02-1197','A67-9','rIjXtxaAetsrtSHb', 'UB')
('AC04652-2022-11-02-1149','A64-15','xGFMcqVTiVOWQ', 'UB')
('SL12058-2022-11-01-1154','S49-2','jZxg', 'MB')
('AC04652-2022-11-02-1152','A64-18','zSZmGoMlaVKABqMh', 'SU')
('SL12058-2022-11-01-1156','S49-4','XmmipyAD', 'LB')
('AC04652-2022-11-01-1188','A66-18','GhZLIgDAnS', 'SU')
('SL22517-2022-11-02-1210','S51-10','UMtPYJjb', 'MB')
('SL04652-2022-11-01-1169','S49-17','YICFWfLRunDmBP', 'LB')
('SL04652-2022-11-02-1141','S48-13','EecnuFIxHEnpNqZY', 'MB')
('SL04652-2022-11-02-1142','S48-14','QCFM', 'UB')
('AC04652-2022-11-01-1196','A67-8','tUWMoNH', 'LB')
