('AC04652-2022-11-02-233','A13-17','YfSpLRmwwS', 'SL')
('AC04652-2022-11-02-596','A34-2','MefIkFXoHLh', 'LB')
('AC04652-2022-11-02-597','A34-3','MeEQF', 'UB')
('AC04652-2022-11-01-594','A33-18','VMnZBV', 'SU')
('SL04652-2022-11-01-580','S25-4','hboUIUHTUoG', 'LB')
('AC22517-2022-11-02-578','A33-2','nowaVxzNsE', 'LB')
('AC22517-2022-11-02-579','A33-3','HkG', 'UB')
('SL22517-2022-11-02-616','S26-16','katNdagtnuHy', 'SU')
('AC22517-2022-11-01-628','A35-16','ZmaRaygVnIqYK', 'UB')
('AC04652-2022-11-02-674','A38-8','VVOcImdafHUXkDx', 'LB')
('SL04652-2022-11-02-628','S27-4','S', 'LB')
('SL04652-2022-11-02-629','S27-5','eBOg', 'MB')
('SL22517-2022-11-02-619','S26-19','jFPoCsonuuqDexe', 'UB')
('AC04652-2022-11-02-676','A38-10','baEMCkjnCUU', 'UB')
('SL22517-2022-11-01-631','S27-7','lIEJxHbJk', 'SL')
('SL04652-2022-11-02-632','S27-8','juFFSmdYJDFxWvNd', 'SU')
('SL12058-2022-11-01-635','S27-11','MbhlNdOTMiGjaP', 'UB')
('AC22517-2022-11-02-655','A37-7','c', 'LB')
('SL04652-2022-11-02-634','S27-10','VU', 'MB')
('SL04652-2022-11-01-650','S28-2','WWTeIpdULs', 'MB')
('SL22517-2022-11-01-633','S27-9','fJSEBMFuaGJGet', 'LB')
('SL22517-2022-11-02-627','S27-3','hMAKsyzAeQDKJo', 'UB')
('AC12058-2022-11-01-621','A35-9','STYjD', 'UB')
('SL22517-2022-11-02-690','S29-18','mRKzFZgKcGZ', 'MB')
('AC22517-2022-11-02-715','A40-13','OVFslm', 'LB')
('SL04652-2022-11-02-708','S30-12','Xz', 'LB')
('SL22517-2022-11-01-713','S30-17','rd', 'LB')
('SL22517-2022-11-02-696','S29-24','j', 'SU')
('SL22517-2022-11-02-697','S30-1','PdZLVRDm', 'LB')
('SL04652-2022-11-02-712','S30-16','Ub', 'SU')
('AC04652-2022-11-01-732','A41-12','nqgyMFw', 'SU')
('SL22517-2022-11-02-701','S30-5','DNiditv', 'MB')
('SL22517-2022-11-01-717','S30-21','ds', 'MB')
('SL04652-2022-11-02-717','S30-21','GLgZo', 'MB')
('AC12058-2022-11-01-693','A39-9','AINWjzQFSclcP', 'UB')
('SL04652-2022-11-01-730','S31-10','ABiydZQjESUV', 'MB')
('AC04652-2022-11-01-743','A42-5','liBbzGyBtshI', 'SL')
('SL22517-2022-11-01-733','S31-13','ffPzz', 'MB')
('SL22517-2022-11-01-734','S31-14','DjguhYEOUn', 'UB')
('AC04652-2022-11-01-751','A42-13','ZYlmNyvBnAJjiJ', 'LB')
('SL22517-2022-11-02-718','S30-22','kdTlsWqfUaWhKr', 'UB')
('AC22517-2022-11-01-716','A40-14','jzdsAhA', 'LB')
('AC12058-2022-11-01-709','A40-7','DjxQEBKJRT', 'LB')
('SL12058-2022-11-01-734','S31-14','yhtbbpxBKlcxwC', 'UB')
('SL04652-2022-11-02-733','S31-13','HuxZm', 'MB')
('AC22517-2022-11-01-724','A41-4','kWMWyyxZ', 'UB')
('SL12058-2022-11-01-740','S31-20','KYGL', 'LB')
('SL22517-2022-11-02-727','S31-7','yXbwRMIyMjpvKlP', 'SL')
('AC04652-2022-11-02-794','A45-2','q', 'LB')
('AC04652-2022-11-02-795','A45-3','VMLmmPktgQO', 'UB')
('SL04652-2022-11-02-742','S31-22','THgPQdwRIe', 'UB')
('AC12058-2022-11-01-719','A40-17','RyIYedk', 'SL')
('AC04652-2022-11-01-760','A43-4','oQ', 'UB')
('AC04652-2022-11-02-798','A45-6','faMsisVOkF', 'SU')
('AC22517-2022-11-02-758','A43-2','xpNhEfWIM', 'LB')
('SL22517-2022-11-02-738','S31-18','qiU', 'MB')
('SL04652-2022-11-02-746','S32-2','GpstoVMORxh', 'MB')
('AC22517-2022-11-01-726','A41-6','ujw', 'SU')
('AC12058-2022-11-01-763','A43-7','AhBWxnkzH', 'LB')
('SL22517-2022-11-01-807','S34-15','sxQzwrRQkGQiv', 'SL')
('AC22517-2022-11-01-774','A43-18','fks', 'SU')
('AC22517-2022-11-01-775','A44-1','DXrFyVMhhxs', 'LB')
('AC22517-2022-11-01-776','A44-2','y', 'LB')
('SL12058-2022-11-01-798','S34-6','rrdABlWX', 'UB')
('SL04652-2022-11-02-818','S35-2','wOJd', 'MB')
('AC12058-2022-11-01-799','A45-7','ApnEGul', 'LB')
('SL22517-2022-11-02-840','S35-24','ctnkdOeWcCIM', 'SU')
('AC22517-2022-11-02-841','A47-13','FzBtFGuqEx', 'LB')
('SL04652-2022-11-02-830','S35-14','DVND', 'UB')
('SL12058-2022-11-01-832','S35-16','ktCsggez', 'SU')
('SL22517-2022-11-02-841','S36-1','JEBKTkcjvGGIRJk', 'LB')
('AC22517-2022-11-01-823','A46-13','YexptMjj', 'LB')
('SL04652-2022-11-01-830','S35-14','qydvOiaH', 'UB')
('AC22517-2022-11-02-845','A47-17','V', 'SL')
('SL22517-2022-11-01-841','S36-1','akLfNmxDbZr', 'LB')
('SL04652-2022-11-02-835','S35-19','PWNDBZ', 'UB')
('SL22517-2022-11-01-842','S36-2','XQJPfuYPXWTCM', 'MB')
('AC22517-2022-11-02-848','A48-2','TEDuwHFGMNCnOaFa', 'LB')
('AC04652-2022-11-01-840','A47-12','yQ', 'SU')
('AC04652-2022-11-01-841','A47-13','ftLpM', 'LB')
('AC22517-2022-11-02-849','A48-3','FePArf', 'UB')
('AC22517-2022-11-02-851','A48-5','WfzbZmKorKLgP', 'SL')
('SL22517-2022-11-01-845','S36-5','YLTFk', 'MB')
('AC04652-2022-11-01-847','A48-1','oBPKkTCkAvhZqmE', 'LB')
('AC22517-2022-11-01-833','A47-5','ymrme', 'SL')
('SL22517-2022-11-02-852','S36-12','IsqNy', 'LB')
('SL22517-2022-11-01-853','S36-13','PIggDq', 'MB')
('AC12058-2022-11-01-821','A46-11','tB', 'SL')
('SL04652-2022-11-01-843','S36-3','MCWDFimCgZGvGD', 'UB')
('AC04652-2022-11-01-854','A48-8','fncABYDorTc', 'LB')
('AC22517-2022-11-02-860','A48-14','BSlZzFIGqdrdUJm', 'LB')
('SL22517-2022-11-02-858','S36-18','TWbL', 'MB')
('SL12058-2022-11-01-852','S36-12','rJDrYyZqqlAl', 'LB')
('SL22517-2022-11-01-866','S37-2','xjvalU', 'MB')
('AC04652-2022-11-02-914','A51-14','MmVKivRzXKOsEY', 'LB')
('SL04652-2022-11-02-858','S36-18','PBWzfMcHDeHMdeJ', 'MB')
('AC22517-2022-11-02-880','A49-16','iY', 'UB')
('AC22517-2022-11-01-857','A48-11','VuAlZJnfP', 'SL')
('SL04652-2022-11-01-876','S37-12','qIKbWjOUVxjSfDI', 'LB')
('AC22517-2022-11-02-885','A50-3','OOfSFXt', 'UB')
('AC04652-2022-11-01-887','A50-5','QoL', 'SL')
('AC04652-2022-11-01-888','A50-6','OKREFLvO', 'SU')
('SL22517-2022-11-02-894','S38-6','bqZfMdJBGUHoWffW', 'UB')
('AC22517-2022-11-02-886','A50-4','DmWlVeX', 'UB')
('AC22517-2022-11-02-887','A50-5','WgoZmkkWuTGW', 'SL')
('SL04652-2022-11-02-881','S37-17','AWyhAym', 'LB')
('SL12058-2022-11-01-876','S37-12','coqfoWwnoVAxmt', 'LB')
('AC12058-2022-11-01-856','A48-10','dNthCiiKD', 'UB')
('SL22517-2022-11-02-897','S38-9','FWiN', 'LB')
('AC04652-2022-11-02-936','A52-18','b', 'SU')
('AC12058-2022-11-01-857','A48-11','shPdqReWewbg', 'SL')
('SL04652-2022-11-01-883','S37-19','ffjdvGY', 'UB')
('SL04652-2022-11-02-884','S37-20','iiDYN', 'LB')
('AC04652-2022-11-02-937','A53-1','PhRuoPsMgmS', 'LB')
('SL04652-2022-11-02-887','S37-23','wHBfYZjcgDsqF', 'SL')
('AC22517-2022-11-02-896','A50-14','zlXpQzjVAwdRH', 'LB')
('SL22517-2022-11-01-906','S38-18','UhBgfXq', 'MB')
('AC22517-2022-11-02-897','A50-15','JgbWGewqQOZLltX', 'UB')
('AC04652-2022-11-01-896','A50-14','PxaXJpbyXMcjDuw', 'LB')
('AC22517-2022-11-02-898','A50-16','fVBQ', 'UB')
('SL04652-2022-11-01-888','S37-24','sSbSjD', 'SU')
('AC04652-2022-11-02-938','A53-2','fIiFFp', 'LB')
('SL22517-2022-11-01-937','S40-1','gcYTJQf', 'LB')
('SL22517-2022-11-02-922','S39-10','aqmFosSSkbIsSK', 'MB')
('AC04652-2022-11-01-925','A52-7','qcAamU', 'LB')
('AC22517-2022-11-01-906','A51-6','wKNLvvRd', 'SU')
('SL22517-2022-11-02-923','S39-11','llqGVYr', 'UB')
('AC12058-2022-11-01-884','A50-2','dHFDJsKeG', 'LB')
('AC04652-2022-11-02-957','A54-3','BzsHwCT', 'UB')
('AC22517-2022-11-01-908','A51-8','xA', 'LB')
('SL04652-2022-11-01-916','S39-4','hadAxTACNKTAOQM', 'LB')
('SL22517-2022-11-01-942','S40-6','rfhxT', 'UB')
('SL12058-2022-11-01-900','S38-12','qN', 'LB')
('SL12058-2022-11-01-905','S38-17','J', 'LB')
('AC22517-2022-11-02-937','A53-1','kyWoBof', 'LB')
('AC22517-2022-11-02-940','A53-4','bAeICUXTKTCIAr', 'UB')
('SL04652-2022-11-02-921','S39-9','Ei', 'LB')
('AC22517-2022-11-02-944','A53-8','FCbhBo', 'LB')
('SL22517-2022-11-02-932','S39-20','wNyvq', 'LB')
('AC12058-2022-11-01-895','A50-13','igmFervRzhIs', 'LB')
('AC04652-2022-11-01-933','A52-15','BLEcKixHiaiCL', 'UB')
('AC04652-2022-11-01-934','A52-16','YJYCOQRLNYxqN', 'UB')
('AC04652-2022-11-02-966','A54-12','tAd', 'SU')
('SL12058-2022-11-01-923','S39-11','gQZJLFbXDsG', 'UB')
('SL22517-2022-11-01-955','S40-19','ETnCxPX', 'UB')
('AC04652-2022-11-02-971','A54-17','qSdX', 'SL')
('SL22517-2022-11-01-957','S40-21','kUFoGDv', 'MB')
('AC22517-2022-11-01-926','A52-8','YRtUG', 'LB')
('SL22517-2022-11-02-939','S40-3','LFmDKWPeACsyYdtM', 'UB')
('SL04652-2022-11-02-932','S39-20','jxmPveoWPoA', 'LB')
('SL22517-2022-11-02-941','S40-5','p', 'MB')
('SL22517-2022-11-02-943','S40-7','CvEPBJ', 'SL')
('AC12058-2022-11-01-916','A51-16','JiWqHvLlfUTSBub', 'UB')
('SL22517-2022-11-01-965','S41-5','awaUhlKwLHgNH', 'MB')
('SL04652-2022-11-01-944','S40-8','bRSDKhXlRxARc', 'SU')
('AC12058-2022-11-01-917','A51-17','mkPLIkIzCawF', 'SL')
('AC22517-2022-11-01-937','A53-1','tLav', 'LB')
('AC04652-2022-11-01-955','A54-1','tbQB', 'LB')
('SL22517-2022-11-02-954','S40-18','aPwHOssSO', 'MB')
('AC12058-2022-11-01-921','A52-3','IZiLmAQlqHWsWElX', 'UB')
('AC22517-2022-11-01-943','A53-7','F', 'LB')
('SL22517-2022-11-02-957','S40-21','ZEldXfGNZO', 'MB')
('AC12058-2022-11-01-925','A52-7','zA', 'LB')
('SL22517-2022-11-02-962','S41-2','o', 'MB')
('AC04652-2022-11-01-1031','A58-5','jnyQZbhIM', 'SL')
('SL12058-2022-11-01-1009','S43-1','SAayPNpUqecTG', 'LB')
('AC04652-2022-11-02-1059','A59-15','CHkzpxGClfx', 'UB')
('SL04652-2022-11-01-1040','S44-8','EmDettLWR', 'SU')
('AC12058-2022-11-01-993','A56-3','comCtuvCHVE', 'UB')
('AC22517-2022-11-02-1044','A58-18','VMrOoNYtElZ', 'SU')
('AC22517-2022-11-01-999','A56-9','sicC', 'UB')
('AC04652-2022-11-01-1034','A58-8','PMTfINTHaPdag', 'LB')
('AC04652-2022-11-02-1060','A59-16','uk', 'UB')
('AC22517-2022-11-02-1046','A59-2','LqwqmbIMhEsIYR', 'LB')
('SL22517-2022-11-02-1036','S44-4','RglVVeEYtacwAE', 'LB')
('AC04652-2022-11-02-1064','A60-2','Nw', 'LB')
('SL12058-2022-11-01-1020','S43-12','BPbIJCdfWr', 'LB')
('AC04652-2022-11-01-1044','A58-18','rEyMHdHPIiZLWtY', 'SU')
('AC12058-2022-11-01-1006','A56-16','MJKBnXSPAOZE', 'UB')
('SL22517-2022-11-01-1057','S45-1','Owgdwxgt', 'LB')
('AC22517-2022-11-02-1054','A59-10','EBPIWdNZTJ', 'UB')
('AC04652-2022-11-02-1071','A60-9','IKXHkE', 'UB')
('SL04652-2022-11-01-1051','S44-19','ekylQpcjwWYV', 'UB')
('SL04652-2022-11-01-1052','S44-20','HDptMADpdOrHz', 'LB')
('AC22517-2022-11-01-1011','A57-3','xArsgTuUMva', 'UB')
('AC12058-2022-11-01-1014','A57-6','EKSlxGoalC', 'SU')
('AC22517-2022-11-02-1069','A60-7','IoGoERol', 'LB')
('SL04652-2022-11-01-1062','S45-6','xVJ', 'UB')
('SL04652-2022-11-01-1063','S45-7','ZaWwCYllXE', 'SL')
('AC22517-2022-11-02-1071','A60-9','EZVxFpkPIivV', 'UB')
('SL04652-2022-11-01-1064','S45-8','SAvJSDHbO', 'SU')
('AC22517-2022-11-01-1029','A58-3','WX', 'UB')
('SL22517-2022-11-01-1074','S45-18','WiXzoVmvriC', 'MB')
('AC04652-2022-11-01-1058','A59-14','DPP', 'LB')
('SL04652-2022-11-02-1040','S44-8','VwhvHbRTGZojisg', 'SU')
('SL22517-2022-11-02-1050','S44-18','xQs', 'MB')
('SL12058-2022-11-01-1039','S44-7','TRdlFrkgiWsjtZk', 'SL')
('SL04652-2022-11-02-1046','S44-14','FQBVgb', 'UB')
('SL22517-2022-11-01-1079','S45-23','ugfOuOXjn', 'SL')
('SL04652-2022-11-02-1049','S44-17','LqFqYOtTWwe', 'LB')
('SL22517-2022-11-01-1082','S46-2','EwvlSOtMtAZ', 'MB')
('SL04652-2022-11-02-1051','S44-19','FXcGEU', 'UB')
('SL22517-2022-11-02-1056','S44-24','qLhUL', 'SU')
('AC04652-2022-11-02-1106','A62-8','lxumLidj', 'LB')
('AC22517-2022-11-01-1046','A59-2','fXMs', 'LB')
('AC22517-2022-11-01-1048','A59-4','EIsyFa', 'UB')
('SL12058-2022-11-01-1053','S44-21','dEbxUbSOJZZxxyzg', 'MB')
('AC22517-2022-11-02-1089','A61-9','bbLAiaHBFZqjh', 'UB')
('AC04652-2022-11-01-1080','A60-18','gaGY', 'SU')
('SL22517-2022-11-02-1067','S45-11','hcwdDP', 'UB')
('SL22517-2022-11-01-1094','S46-14','MdFAesdv', 'UB')
('SL22517-2022-11-02-1125','S47-21','aUUSPezy', 'MB')
('AC04652-2022-11-01-1127','A63-11','ZclKpoHRDG', 'SL')
('SL12058-2022-11-01-1112','S47-8','QqEKjRpfL', 'SU')
('SL22517-2022-11-02-1134','S48-6','UETHFIELVJLnMrgH', 'UB')
('SL22517-2022-11-02-1135','S48-7','vem', 'SL')
('AC12058-2022-11-01-1095','A61-15','OxtcNKFrqo', 'UB')
('AC22517-2022-11-02-1151','A64-17','bhngTyEzcx', 'SL')
('AC04652-2022-11-01-1133','A63-17','af', 'SL')
('AC22517-2022-11-01-1111','A62-13','DqNHqBw', 'LB')
('AC22517-2022-11-01-1115','A62-17','ifaKiiETazq', 'SL')
('SL22517-2022-11-01-1148','S48-20','pjjfgnktcifRL', 'LB')
('SL22517-2022-11-02-1149','S48-21','MmVsLAfZrhJgqVNP', 'MB')
('AC22517-2022-11-02-1165','A65-13','GfPtNMHiIxNuati', 'LB')
('AC04652-2022-11-02-1181','A66-11','OhpEbAUheONxVz', 'SL')
('SL04652-2022-11-02-1133','S48-5','TzqQ', 'MB')
('SL22517-2022-11-01-1156','S49-4','kjwEXorbJmgN', 'LB')
('SL12058-2022-11-01-1129','S48-1','rgmVRekRQcIi', 'LB')
('SL04652-2022-11-01-1182','S50-6','GAnHLow', 'UB')
('AC22517-2022-11-01-1145','A64-11','rkMXfqn', 'SL')
('AC04652-2022-11-02-1218','A68-12','lojPau', 'SU')
('SL22517-2022-11-02-1186','S50-10','pVupmXbdGIFDh', 'MB')
('SL22517-2022-11-01-1194','S50-18','cKZFUZAATbVjb', 'MB')
('AC04652-2022-11-01-1180','A66-10','XGiiXUjPzikbzh', 'UB')
('SL22517-2022-11-02-1189','S50-13','xpyuGsYCTnOe', 'MB')
('AC22517-2022-11-01-1152','A64-18','Ca', 'SU')
('AC12058-2022-11-01-1139','A64-5','TZLqIGLARlTX', 'SL')
('AC04652-2022-11-01-1183','A66-13','qGaVAuGVBO', 'LB')
('SL22517-2022-11-02-1194','S50-18','RNTTGkaUrkiv', 'MB')
('AC12058-2022-11-01-1141','A64-7','OwDZDzgaeKqlZUaH', 'LB')
('AC12058-2022-11-01-1142','A64-8','TFduEjibdWykY', 'LB')
('SL22517-2022-11-02-1195','S50-19','oSnk', 'UB')
('SL22517-2022-11-02-1196','S50-20','NnkxGqMXh', 'LB')
('AC12058-2022-11-01-1145','A64-11','TcaNTBaYC', 'SL')
('AC12058-2022-11-01-1149','A64-15','uJbUS', 'UB')
('AC22517-2022-11-02-1201','A67-13','mOyHXZFo', 'LB')
('AC12058-2022-11-01-1152','A64-18','SwJbHlpnoBrPgT', 'SU')
('AC04652-2022-11-02-1233','A69-9','YOxFTuV', 'UB')
('SL22517-2022-11-02-1204','S51-4','qHQn', 'LB')
('AC22517-2022-11-02-1206','A67-18','ysUAJVKJsHmWrFnt', 'SU')
('SL04652-2022-11-02-1188','S50-12','SDgIILZTVsIo', 'LB')
('AC04652-2022-11-01-1198','A67-10','kRvBg', 'UB')
('AC04652-2022-11-02-1239','A69-15','tp', 'UB')
('AC22517-2022-11-01-1181','A66-11','oHKTYoDUqcgO', 'SL')
('AC22517-2022-11-02-1215','A68-9','mXNgnZ', 'UB')
('SL04652-2022-11-02-1196','S50-20','J', 'LB')
('SL12058-2022-11-01-1186','S50-10','ZdEAKinKPC', 'MB')
('AC12058-2022-11-01-1162','A65-10','cve', 'UB')
('AC04652-2022-11-01-1208','A68-2','kJWUbGYFcw', 'LB')
('SL04652-2022-11-02-1203','S51-3','pRCb', 'UB')
('AC22517-2022-11-01-1192','A67-4','SjyTJvbktlGMk', 'UB')
('SL22517-2022-11-01-1231','S52-7','siul', 'SL')
('SL04652-2022-11-01-1220','S51-20','czYRLORK', 'LB')
('SL12058-2022-11-01-1199','S50-23','ZYRokNV', 'SL')
('AC04652-2022-11-02-1267','A71-7','Dqa', 'LB')
('AC12058-2022-11-01-1185','A66-15','APqUEi', 'UB')
('AC22517-2022-11-02-1238','A69-14','QHypjF', 'LB')
('SL22517-2022-11-01-1238','S52-14','Twz', 'UB')
('SL22517-2022-11-02-1232','S52-8','PhkAK', 'SU')
('AC22517-2022-11-01-1202','A67-14','vpsNXjldg', 'LB')
('SL22517-2022-11-01-1243','S52-19','VHOPuPYvqPG', 'UB')
('SL22517-2022-11-02-1235','S52-11','gdSdqbQaa', 'UB')
('SL04652-2022-11-01-1235','S52-11','QCmLb', 'UB')
('AC22517-2022-11-01-1207','A68-1','pOVPkpXuIlsNG', 'LB')
('SL04652-2022-11-01-1236','S52-12','efaaiUTp', 'LB')
('AC22517-2022-11-02-1250','A70-8','eoDystNpIACHohmQ', 'LB')
('AC22517-2022-11-02-1251','A70-9','NDUbMCN', 'UB')
('AC04652-2022-11-01-1242','A69-18','xPEo', 'SU')
('SL22517-2022-11-02-1242','S52-18','tpgtbGHEvdkWN', 'MB')
('SL22517-2022-11-01-1254','S53-6','No', 'UB')
('SL22517-2022-11-01-1255','S53-7','DGYjNCcRuWlXE', 'SL')
('AC22517-2022-11-02-1253','A70-11','iioDwLNTXWJ', 'SL')
('AC12058-2022-11-01-1205','A67-17','tae', 'SL')
('AC04652-2022-11-02-1281','A72-3','ookSjzPK', 'UB')
('SL22517-2022-11-02-1246','S52-22','svu', 'UB')
('AC04652-2022-11-01-1276','A71-16','KiXwVFb', 'UB')
('AC22517-2022-11-01-1242','A69-18','vGRbD', 'SU')
('AC12058-2022-11-01-1237','A69-13','mAEBg', 'LB')
('AC22517-2022-11-01-1244','A70-2','kbBkrWkrTbEnE', 'LB')
('AC04652-2022-11-02-1315','A74-1','cXsgORJy', 'LB')
('SL04652-2022-11-02-1273','S54-1','ZTwrZhLKtPzGC', 'LB')
('AC04652-2022-11-01-1284','A72-6','PmTnDLDLaymstIS', 'SU')
('SL22517-2022-11-02-1274','S54-2','FdP', 'MB')
('AC22517-2022-11-01-1264','A71-4','nxhp', 'UB')
('SL04652-2022-11-01-1287','S54-15','sLWIXmJSXzoMv', 'SL')
('SL22517-2022-11-01-1312','S55-16','QuDyl', 'SU')
('AC04652-2022-11-01-1309','A73-13','yrmuFMlNgqYN', 'LB')
('AC22517-2022-11-02-1292','A72-14','jhWU', 'LB')
('SL12058-2022-11-01-1264','S53-16','fsFkYzzrRZmDbFw', 'SU')
('AC04652-2022-11-02-1332','A74-18','mgkCsLzHQeggClO', 'SU')
('AC12058-2022-11-01-1260','A70-18','SOyfibrKYmI', 'SU')
('SL22517-2022-11-01-1319','S55-23','cLmM', 'SL')
('AC22517-2022-11-01-1282','A72-4','GYp', 'UB')
('SL22517-2022-11-01-1323','S56-3','BXskMAdKI', 'UB')
('AC04652-2022-11-01-1374','A77-6','aLJnE', 'SU')
('AC22517-2022-11-02-1340','A75-8','fpPOtWSiKSD', 'LB')
('SL12058-2022-11-01-1307','S55-11','igUuJud', 'UB')
('SL04652-2022-11-02-1359','S57-15','USEYEOtVDZaoTqwI', 'SL')
('AC12058-2022-11-01-1337','A75-5','KFXJd', 'SL')
('AC04652-2022-11-01-1379','A77-11','UXcOD', 'SL')
('AC04652-2022-11-02-1388','A78-2','bVlwGVTQRbk', 'LB')
('SL04652-2022-11-02-1363','S57-19','Htfa', 'UB')
('AC04652-2022-11-01-1381','A77-13','INWSiuAuL', 'LB')
('SL22517-2022-11-02-1352','S57-8','miKDXGpWCyc', 'SU')
('AC12058-2022-11-01-1348','A75-16','cgREopV', 'UB')
('SL22517-2022-11-01-1382','S58-14','DoFm', 'UB')
('SL04652-2022-11-02-1378','S58-10','jlfdmsEnEfw', 'MB')
('AC04652-2022-11-01-1396','A78-10','FyQgDOFSFHY', 'UB')
('AC12058-2022-11-01-1352','A76-2','xx', 'LB')
('AC04652-2022-11-01-1397','A78-11','sxt', 'SL')
('AC12058-2022-11-01-1353','A76-3','pOudE', 'UB')
('SL04652-2022-11-02-1385','S58-17','QnODXnR', 'LB')
('SL04652-2022-11-02-1388','S58-20','CdKhXaOHiCtwWzA', 'LB')
('AC04652-2022-11-01-1405','A79-1','E', 'LB')
('SL04652-2022-11-02-1392','S58-24','DhE', 'SU')
('SL04652-2022-11-02-1395','S59-3','bjPYRM', 'UB')
('AC04652-2022-11-02-1416','A79-12','r', 'SU')
('SL04652-2022-11-02-1397','S59-5','W', 'MB')
('AC22517-2022-11-02-1376','A77-8','felJKpFCyaMmv', 'LB')
('AC22517-2022-11-01-1373','A77-5','Pu', 'SL')
('AC04652-2022-11-01-1417','A79-13','lWKXZpQhpA', 'LB')
('SL04652-2022-11-02-1404','S59-12','FSzMoPOwBzAmMV', 'LB')
('SL04652-2022-11-01-1383','S58-15','ykbjYokYOKAPJCoX', 'SL')
('SL12058-2022-11-01-1344','S56-24','FcmVJjQzAHf', 'SU')
('SL12058-2022-11-01-1345','S57-1','VnbZMtEmWrpz', 'LB')
('AC22517-2022-11-02-1380','A77-12','zGsj', 'SU')
('SL04652-2022-11-01-1386','S58-18','vDrWCaKfXDqSBRm', 'MB')
('SL22517-2022-11-02-1383','S58-15','tbnXusokAihO', 'SL')
('AC12058-2022-11-01-1381','A77-13','YIrIbOwUpGo', 'LB')
('AC22517-2022-11-02-1385','A77-17','jFJoeaeLztskSNAI', 'SL')
('SL04652-2022-11-02-1418','S60-2','NtasYUGqILDqtv', 'MB')
('SL04652-2022-11-02-1419','S60-3','RorOohqYRlpzk', 'UB')
('AC12058-2022-11-01-1394','A78-8','RImLnimEG', 'LB')
('SL04652-2022-11-02-1421','S60-5','ZXK', 'MB')
('SL12058-2022-11-01-1360','S57-16','AxTJ', 'SU')
('AC22517-2022-11-02-1402','A78-16','argPSJF', 'UB')
('SL12058-2022-11-01-1362','S57-18','pFOagQh', 'MB')
('SL22517-2022-11-02-1397','S59-5','txLiVnmiim', 'MB')
('AC04652-2022-11-02-1434','A80-12','UlTaVpXQnBrYmo', 'SU')
('AC22517-2022-11-02-1406','A79-2','fXihXNTTGWzAYx', 'LB')
('SL04652-2022-11-01-1395','S59-3','dh', 'UB')
('AC04652-2022-11-01-1435','A80-13','FbKCBpQK', 'LB')
('SL22517-2022-11-01-1428','S60-12','lBigvqK', 'LB')
('SL12058-2022-11-01-1369','S58-1','LZa', 'LB')
('SL04652-2022-11-02-1430','S60-14','hH', 'UB')
('AC04652-2022-11-02-1438','A80-16','fZkB', 'UB')
('AC12058-2022-11-01-1406','A79-2','zqABLJu', 'LB')
('SL22517-2022-11-01-1469','S62-5','FATtOuNDJiMscZxx', 'MB')
('SL04652-2022-11-01-1439','S60-23','vw', 'SL')
('SL22517-2022-11-01-1471','S62-7','AHBioHF', 'SL')
('AC04652-2022-11-02-1479','A83-3','GMgDkbxDnInvt', 'UB')
