('AC04652-2022-11-01-8','A1-8','cvwtnIncQ', 'LB')
('SL04652-2022-11-02-451','S19-19','h', 'UB')
('AC04652-2022-11-01-503','A28-17','esPONWIXyIfIqbGH', 'SL')
('AC04652-2022-11-02-506','A29-2','KaXcwLwRqOezgl', 'LB')
('AC12058-2022-11-01-520','A29-16','JRXQdiEDKDQgCBWb', 'UB')
('AC22517-2022-11-02-523','A30-1','rdMNbWRbsoiNGb', 'LB')
('SL12058-2022-11-01-489','S21-9','du', 'LB')
('SL22517-2022-11-01-482','S21-2','kv', 'MB')
('SL22517-2022-11-02-489','S21-9','eFVVKgfMMHEgkes', 'LB')
('SL12058-2022-11-01-515','S22-11','JhFQPuVMFXjCT', 'UB')
('AC04652-2022-11-01-525','A30-3','FgJ', 'UB')
('AC04652-2022-11-01-526','A30-4','MsHjRx', 'UB')
('SL04652-2022-11-01-506','S22-2','tY', 'MB')
('AC12058-2022-11-01-556','A31-16','AtufRAFJfmYRPDE', 'UB')
('AC22517-2022-11-02-570','A32-12','L', 'SU')
('SL22517-2022-11-01-518','S22-14','yWKNOSsVAnP', 'UB')
('SL04652-2022-11-01-511','S22-7','HMj', 'SL')
('AC22517-2022-11-01-472','A27-4','xPfCWNbrFn', 'UB')
('SL22517-2022-11-02-516','S22-12','fBaGRqUVSDUM', 'LB')
('AC04652-2022-11-01-529','A30-7','ifciSx', 'LB')
('AC22517-2022-11-01-473','A27-5','ZjWDqfGpbXHwttva', 'SL')
('AC04652-2022-11-02-533','A30-11','HyPBWuEmf', 'SL')
('AC04652-2022-11-01-530','A30-8','LDGZpFSYOIplk', 'LB')
('AC22517-2022-11-02-574','A32-16','vcdRyRvPmgoA', 'UB')
('SL22517-2022-11-02-518','S22-14','FAzwsuW', 'UB')
('SL12058-2022-11-01-522','S22-18','BsyoEswR', 'MB')
('AC22517-2022-11-02-577','A33-1','t', 'LB')
('AC04652-2022-11-01-533','A30-11','uXTTOJXlYCFAV', 'SL')
('AC12058-2022-11-01-567','A32-9','DRyJBrSdA', 'UB')
('AC12058-2022-11-01-568','A32-10','QKnoYCqSME', 'UB')
('SL12058-2022-11-01-577','S25-1','wrkHYvjvIdPjYx', 'LB')
('SL04652-2022-11-01-580','S25-4','IEtek', 'LB')
('AC12058-2022-11-01-611','A34-17','P', 'SL')
('AC04652-2022-11-01-586','A33-10','PMpgmz', 'UB')
('AC22517-2022-11-02-632','A36-2','KDeXTRrNTDFqJrye', 'LB')
('SL22517-2022-11-02-575','S24-23','ndFiuSrMYEDjW', 'SL')
('SL12058-2022-11-01-589','S25-13','mdxMxmlTaseMU', 'MB')
('AC22517-2022-11-02-637','A36-7','eVSKVWj', 'LB')
('AC22517-2022-11-02-638','A36-8','ABrpSAzuArJpJW', 'LB')
('SL22517-2022-11-01-595','S25-19','eIywC', 'UB')
('AC04652-2022-11-01-595','A34-1','wemMwroyPrC', 'LB')
('AC22517-2022-11-01-542','A31-2','pHWXyZVjHbmpoVy', 'LB')
('AC12058-2022-11-01-617','A35-5','og', 'SL')
('AC22517-2022-11-01-545','A31-5','qNAGnc', 'SL')
('AC04652-2022-11-01-601','A34-7','tdzLw', 'LB')
('SL04652-2022-11-01-599','S25-23','kbdYwvnzglOLmhG', 'SL')
('SL22517-2022-11-01-610','S26-10','nMDw', 'MB')
('SL12058-2022-11-01-600','S25-24','hangNzWTWAuSu', 'SU')
('SL22517-2022-11-02-589','S25-13','ICCkwPSbS', 'MB')
('SL04652-2022-11-01-602','S26-2','HUZnmDT', 'MB')
('SL22517-2022-11-02-590','S25-14','yqhdowikiEnzy', 'UB')
('SL22517-2022-11-01-617','S26-17','PbbMWFbWtypSsEaG', 'LB')
('SL22517-2022-11-01-618','S26-18','nW', 'MB')
('AC22517-2022-11-01-557','A31-17','BdeS', 'SL')
('AC04652-2022-11-02-618','A35-6','HuDdbeBBww', 'SU')
('SL04652-2022-11-01-607','S26-7','WIhbrhHNQElhzQE', 'SL')
('AC22517-2022-11-02-653','A37-5','hpVf', 'SL')
('SL22517-2022-11-01-633','S27-9','uAd', 'LB')
('AC04652-2022-11-02-626','A35-14','H', 'LB')
('SL04652-2022-11-01-675','S29-3','LFlOpKIMb', 'UB')
('SL04652-2022-11-02-637','S27-13','IcQhgcHq', 'MB')
('AC04652-2022-11-01-672','A38-6','BnNtYHgbHySx', 'SU')
('SL12058-2022-11-01-683','S29-11','eLupqfNeABwLaVY', 'UB')
('AC22517-2022-11-01-629','A35-17','pIHjkpwFV', 'SL')
('AC04652-2022-11-02-680','A38-14','tjpyrpkXz', 'LB')
('SL04652-2022-11-02-645','S27-21','m', 'MB')
('AC22517-2022-11-01-632','A36-2','hNrDKrqPCAWZNJnj', 'LB')
('AC12058-2022-11-01-693','A39-9','Q', 'UB')
('AC22517-2022-11-01-635','A36-5','orudSv', 'SL')
('SL04652-2022-11-02-657','S28-9','ZGIdXai', 'LB')
('AC22517-2022-11-01-638','A36-8','uhVD', 'LB')
('AC22517-2022-11-02-725','A41-5','v', 'SL')
('SL12058-2022-11-01-694','S29-22','VTWPwXZfaRxvvCaN', 'UB')
('SL12058-2022-11-01-705','S30-9','vSAmcXIfezGWppzx', 'LB')
('SL12058-2022-11-01-708','S30-12','MF', 'LB')
('AC22517-2022-11-02-728','A41-8','PCrSDSqsZVHuFJS', 'LB')
('SL04652-2022-11-01-701','S30-5','qIrq', 'MB')
('SL22517-2022-11-01-708','S30-12','nPEzHx', 'LB')
('SL22517-2022-11-01-709','S30-13','JFzKHxhOOYNoHSi', 'MB')
('AC22517-2022-11-01-654','A37-6','TQwNkcneiUmNu', 'SU')
('SL22517-2022-11-01-711','S30-15','pnMHenEAx', 'SL')
('SL04652-2022-11-01-703','S30-7','VIle', 'SL')
('AC22517-2022-11-02-735','A41-15','SKw', 'UB')
('SL04652-2022-11-02-672','S28-24','CFCbouoorDeSZEk', 'SU')
('AC04652-2022-11-01-697','A39-13','VcRmpdVvXbWowU', 'LB')
('SL12058-2022-11-01-712','S30-16','astKoyYAcmtLalx', 'SU')
('SL04652-2022-11-01-705','S30-9','VGSPw', 'LB')
('SL12058-2022-11-01-713','S30-17','RMSKIBtAXzxcqB', 'LB')
('AC22517-2022-11-01-674','A38-8','gNXGgamYsK', 'LB')
('AC12058-2022-11-01-719','A40-17','XLNIPE', 'SL')
('AC04652-2022-11-02-712','A40-10','YxvzQzsvgvDAEZhL', 'UB')
('AC04652-2022-11-01-716','A40-14','aF', 'LB')
('SL22517-2022-11-01-735','S31-15','fUzafgHmK', 'SL')
('SL22517-2022-11-02-718','S30-22','utHkLCqgE', 'UB')
('AC12058-2022-11-01-723','A41-3','JkHaIybwdiTK', 'UB')
('AC22517-2022-11-02-756','A42-18','lsoJdNi', 'SU')
('AC04652-2022-11-01-719','A40-17','pHFWrBz', 'SL')
('AC12058-2022-11-01-726','A41-6','hiAmgcyowSBMLP', 'SU')
('SL22517-2022-11-01-736','S31-16','MeAgCDC', 'SU')
('AC22517-2022-11-01-687','A39-3','Xu', 'UB')
('AC04652-2022-11-01-730','A41-10','RanQU', 'UB')
('SL04652-2022-11-02-707','S30-11','NXmKuU', 'UB')
('SL22517-2022-11-02-736','S31-16','SrfWlOMmUYIn', 'SU')
('SL04652-2022-11-02-709','S30-13','iXKYKbTap', 'MB')
('SL04652-2022-11-01-740','S31-20','lCfdJaLtcIt', 'LB')
('AC12058-2022-11-01-753','A42-15','mkXIENsItzKx', 'UB')
('SL12058-2022-11-01-759','S32-15','XByb', 'SL')
('AC04652-2022-11-02-738','A41-18','HrXBMrdVudErl', 'SU')
('AC22517-2022-11-01-742','A42-4','tEjysT', 'UB')
('SL22517-2022-11-02-797','S34-5','AdCdIpGCNXzbFsP', 'MB')
('SL04652-2022-11-02-747','S32-3','qDvbINdL', 'UB')
('SL22517-2022-11-02-799','S34-7','Yenhn', 'SL')
('SL04652-2022-11-01-792','S33-24','ovRGXga', 'SU')
('SL12058-2022-11-01-808','S34-16','u', 'SU')
('SL12058-2022-11-01-809','S34-17','ZVDFbkYAZR', 'LB')
('SL04652-2022-11-02-753','S32-9','dlURFeSGTZMj', 'LB')
('SL12058-2022-11-01-811','S34-19','U', 'UB')
('AC22517-2022-11-01-759','A43-3','AfNhwIP', 'UB')
('AC04652-2022-11-01-800','A45-8','gT', 'LB')
('SL12058-2022-11-01-820','S35-4','rqsGqIUaC', 'LB')
('SL22517-2022-11-02-818','S35-2','yGfvJSctVQOHr', 'MB')
('SL04652-2022-11-02-766','S32-22','jxGNz', 'UB')
('AC22517-2022-11-01-769','A43-13','AYOHdbCpe', 'LB')
('AC04652-2022-11-01-857','A48-11','oEDcogYvplQA', 'SL')
('AC12058-2022-11-01-854','A48-8','blc', 'LB')
('AC22517-2022-11-01-811','A46-1','OwposlFgZmkXHYT', 'LB')
('AC12058-2022-11-01-859','A48-13','RPOpqyyrBo', 'LB')
('AC04652-2022-11-01-874','A49-10','fXhacvYxFrSGmZJq', 'UB')
('AC04652-2022-11-02-844','A47-16','QWnvxm', 'UB')
('AC04652-2022-11-02-846','A47-18','FeFvnGpkx', 'SU')
('AC22517-2022-11-01-824','A46-14','r', 'LB')
('AC04652-2022-11-02-854','A48-8','bpjGchDBBA', 'LB')
('AC04652-2022-11-02-855','A48-9','DY', 'UB')
('AC22517-2022-11-01-827','A46-17','PBwgvHVsQAuruY', 'SL')
('SL04652-2022-11-01-860','S36-20','lqgoszlErKitmPoW', 'LB')
('SL22517-2022-11-01-867','S37-3','nZUYKV', 'UB')
('AC22517-2022-11-01-831','A47-3','eDqPLzBrAsW', 'UB')
('AC22517-2022-11-01-834','A47-6','izxHbdBS', 'SU')
('AC04652-2022-11-01-892','A50-10','NKU', 'UB')
('SL22517-2022-11-02-887','S37-23','aiDefCfcG', 'SL')
('SL22517-2022-11-01-875','S37-11','aVmXfYjhZg', 'UB')
('SL12058-2022-11-01-897','S38-9','w', 'LB')
('AC22517-2022-11-01-838','A47-10','rLgwlncfn', 'UB')
('AC22517-2022-11-02-920','A52-2','GnsOr', 'LB')
('AC22517-2022-11-01-840','A47-12','zIc', 'SU')
('AC04652-2022-11-02-872','A49-8','BZrt', 'LB')
('SL22517-2022-11-02-897','S38-9','XDQRhVw', 'LB')
('SL22517-2022-11-01-882','S37-18','Xwih', 'MB')
('AC22517-2022-11-01-845','A47-17','DlJn', 'SL')
('SL22517-2022-11-01-886','S37-22','TUIcHqkYNfjN', 'UB')
('SL12058-2022-11-01-909','S38-21','djsjIJ', 'MB')
('AC04652-2022-11-02-876','A49-12','IqRHAEtuIuQCS', 'SU')
('SL04652-2022-11-01-876','S37-12','KhKdiQwaqecOzku', 'LB')
('SL04652-2022-11-02-846','S36-6','m', 'UB')
('SL04652-2022-11-01-881','S37-17','AWYIonAofkwOCwns', 'LB')
('AC22517-2022-11-02-933','A52-15','rJHBwgj', 'UB')
('SL22517-2022-11-01-891','S38-3','ugdgTwb', 'UB')
('AC04652-2022-11-01-914','A51-14','awjMIGlGkVsOKMmt', 'LB')
('SL04652-2022-11-02-852','S36-12','aimtO', 'LB')
('SL22517-2022-11-01-894','S38-6','fb', 'UB')
('SL22517-2022-11-01-895','S38-7','ZlYlBJmMvW', 'SL')
('SL22517-2022-11-01-896','S38-8','SRRoKSVmiAYYh', 'SU')
('AC04652-2022-11-01-919','A52-1','B', 'LB')
('AC12058-2022-11-01-905','A51-5','j', 'SL')
('AC04652-2022-11-02-887','A50-5','ViVS', 'SL')
('SL12058-2022-11-01-924','S39-12','ABpBWHVQjO', 'LB')
('AC22517-2022-11-02-945','A53-9','tTQhPIpUAe', 'UB')
('SL22517-2022-11-01-903','S38-15','uOV', 'SL')
('AC22517-2022-11-01-894','A50-12','DpYEUMfKP', 'SU')
('AC22517-2022-11-01-895','A50-13','xPWE', 'LB')
('SL22517-2022-11-01-936','S39-24','JhlqxMQNCdbgfg', 'SU')
('SL04652-2022-11-01-927','S39-15','JTViWHwJuZHmrel', 'SL')
('SL12058-2022-11-01-961','S41-1','BStpLWAy', 'LB')
('SL04652-2022-11-02-895','S38-7','OXUSKdHW', 'SL')
('AC04652-2022-11-01-943','A53-7','oGzFQbdcFqdcZFto', 'LB')
('SL22517-2022-11-02-950','S40-14','qAugHUmMrVf', 'UB')
('AC12058-2022-11-01-939','A53-3','syhtkiLnFRZDdqZ', 'UB')
('SL22517-2022-11-01-953','S40-17','xtn', 'LB')
('SL22517-2022-11-02-965','S41-5','vaIJ', 'MB')
('SL22517-2022-11-01-959','S40-23','CTGz', 'SL')
('AC04652-2022-11-02-930','A52-12','cwiKRDI', 'SU')
('AC04652-2022-11-01-967','A54-13','ukgMsZnv', 'LB')
('SL12058-2022-11-01-984','S41-24','ZVDXHNmLNEtQJdzp', 'SU')
('SL22517-2022-11-02-979','S41-19','YiqVaqn', 'UB')
('SL22517-2022-11-02-981','S41-21','CaZWBlayNHrQ', 'MB')
('SL04652-2022-11-01-953','S40-17','RSOwnXEDI', 'LB')
('AC04652-2022-11-01-973','A55-1','lEUjohFFDxzZYXhH', 'LB')
('SL04652-2022-11-02-917','S39-5','HaSJmsCtP', 'MB')
('AC04652-2022-11-01-974','A55-2','nwdAofNlv', 'LB')
('AC04652-2022-11-02-952','A53-16','rYOrdWlOLz', 'UB')
('SL22517-2022-11-02-1003','S42-19','ojIMpPJfF', 'UB')
('SL04652-2022-11-01-970','S41-10','GYiNUxMQM', 'MB')
('AC22517-2022-11-02-1021','A57-13','wOWRqhQy', 'LB')
('AC04652-2022-11-02-964','A54-10','ALppALnyE', 'UB')
('SL04652-2022-11-01-981','S41-21','tElAIGkZah', 'MB')
('AC22517-2022-11-01-957','A54-3','KkjhuyxPGKkIa', 'UB')
('AC12058-2022-11-01-979','A55-7','IIdJKAEj', 'LB')
('AC22517-2022-11-01-958','A54-4','Kfc', 'UB')
('AC22517-2022-11-01-959','A54-5','jozpaq', 'SL')
('AC22517-2022-11-01-960','A54-6','heZHqMMo', 'SU')
('AC22517-2022-11-01-961','A54-7','XQAnWfeqNl', 'LB')
('SL12058-2022-11-01-1009','S43-1','kZseLTeCLC', 'LB')
('AC04652-2022-11-02-973','A55-1','DK', 'LB')
('AC04652-2022-11-01-1002','A56-12','Z', 'SU')
('SL22517-2022-11-01-996','S42-12','d', 'LB')
('SL04652-2022-11-02-940','S40-4','FGgIaWvjPD', 'LB')
('AC22517-2022-11-02-1035','A58-9','sMZS', 'UB')
('AC22517-2022-11-01-963','A54-9','mNLea', 'UB')
('SL22517-2022-11-02-1025','S43-17','SewZJXgdq', 'LB')
('SL04652-2022-11-01-986','S42-2','LpqlU', 'MB')
('AC22517-2022-11-02-1038','A58-12','Pvl', 'SU')
('SL04652-2022-11-02-941','S40-5','jpLSGpCpgzPFlbU', 'MB')
('SL04652-2022-11-02-942','S40-6','PfdawSrtcOrr', 'UB')
('SL04652-2022-11-01-988','S42-4','yc', 'LB')
('SL04652-2022-11-02-943','S40-7','FYqAytMXxaBf', 'SL')
('AC22517-2022-11-02-1041','A58-15','IewUvctKFTWAejMg', 'UB')
('SL04652-2022-11-01-990','S42-6','bcrYggWvMnLE', 'UB')
('AC04652-2022-11-01-1018','A57-10','ExLRfBHI', 'UB')
('AC22517-2022-11-02-1051','A59-7','fMCUWuS', 'LB')
('AC22517-2022-11-01-979','A55-7','pRbWLTlDhIVBCjVL', 'LB')
('AC12058-2022-11-01-997','A56-7','bUDYgHPqW', 'LB')
('AC04652-2022-11-02-992','A56-2','glLhZtCIK', 'LB')
('SL12058-2022-11-01-1029','S43-21','RnAtckwJdQp', 'MB')
('AC12058-2022-11-01-998','A56-8','sroms', 'LB')
('SL04652-2022-11-01-1001','S42-17','gdEIXEz', 'LB')
('SL22517-2022-11-01-1019','S43-11','pltZtjNaDWoBPq', 'UB')
('AC22517-2022-11-02-1068','A60-6','BQUTiQqjTcMbgR', 'SU')
('AC04652-2022-11-02-1010','A57-2','vrV', 'LB')
('SL04652-2022-11-02-976','S41-16','qlBtqmZsUktRmQFu', 'SU')
('SL12058-2022-11-01-1046','S44-14','yzFeBBOYBZJBFbKc', 'UB')
('SL22517-2022-11-01-1042','S44-10','sipmSd', 'MB')
('AC04652-2022-11-02-1016','A57-8','jVqhfxUWcojkZbEH', 'LB')
('AC22517-2022-11-01-1009','A57-1','SdY', 'LB')
('SL12058-2022-11-01-1050','S44-18','IcxmwT', 'MB')
('AC22517-2022-11-01-1011','A57-3','RQnOBRNJ', 'UB')
('SL04652-2022-11-02-989','S42-5','HD', 'MB')
('SL04652-2022-11-01-1032','S43-24','cBFjOGl', 'SU')
('AC22517-2022-11-01-1015','A57-7','JuQhXJwLnP', 'LB')
('SL04652-2022-11-01-1036','S44-4','PnSAegZ', 'LB')
('AC22517-2022-11-01-1017','A57-9','FRes', 'UB')
('SL12058-2022-11-01-1055','S44-23','fq', 'SL')
('SL04652-2022-11-01-1038','S44-6','rBWeqsvaZD', 'UB')
('SL04652-2022-11-02-996','S42-12','Xr', 'LB')
('SL04652-2022-11-02-997','S42-13','hhLOHNDHHjILnZCn', 'MB')
('SL04652-2022-11-01-1041','S44-9','PZGBlCW', 'LB')
('SL04652-2022-11-01-1045','S44-13','W', 'MB')
('AC04652-2022-11-01-1097','A61-17','CyaWggPqquo', 'SL')
('AC22517-2022-11-01-1071','A60-9','UbiRltnELo', 'UB')
('AC12058-2022-11-01-1089','A61-9','OhKfahle', 'UB')
('SL22517-2022-11-01-1095','S46-15','cIUAc', 'SL')
('SL12058-2022-11-01-1092','S46-12','bJGvdFbnaSywyv', 'LB')
('SL04652-2022-11-02-1060','S45-4','nCQrStoonY', 'LB')
('SL22517-2022-11-01-1100','S46-20','mbxzSisOikjzb', 'LB')
('AC04652-2022-11-02-1072','A60-10','aovBM', 'UB')
('AC04652-2022-11-01-1115','A62-17','DxgByYuPDEgVfJYL', 'SL')
('SL22517-2022-11-01-1101','S46-21','nnROMzjDQ', 'MB')
('AC22517-2022-11-02-1131','A63-15','kWYde', 'UB')
('AC04652-2022-11-02-1076','A60-14','lFZcSCtp', 'LB')
('SL22517-2022-11-02-1142','S48-14','qCjV', 'UB')
('AC22517-2022-11-01-1088','A61-8','vdBX', 'LB')
('SL22517-2022-11-01-1107','S47-3','UF', 'UB')
('SL04652-2022-11-01-1105','S47-1','bNNHwKfqWajA', 'LB')
('SL22517-2022-11-02-1145','S48-17','S', 'LB')
('AC04652-2022-11-01-1123','A63-7','BEs', 'LB')
('SL22517-2022-11-01-1114','S47-10','M', 'MB')
('SL04652-2022-11-01-1108','S47-4','xnTLYPYsJQ', 'LB')
('SL22517-2022-11-02-1148','S48-20','kkDZrrFY', 'LB')
('SL22517-2022-11-02-1149','S48-21','SBfrzPa', 'MB')
('AC22517-2022-11-02-1138','A64-4','HicLlWmUgSxvU', 'UB')
('AC22517-2022-11-01-1094','A61-14','gZvQa', 'LB')
('AC22517-2022-11-02-1140','A64-6','cIiYEn', 'SU')
('AC12058-2022-11-01-1105','A62-7','rZHJf', 'LB')
('AC12058-2022-11-01-1106','A62-8','KXTDUv', 'LB')
('AC04652-2022-11-01-1133','A63-17','qupoxVpeOICqM', 'SL')
('AC22517-2022-11-01-1098','A61-18','ITLvKwyMahMkAQyY', 'SU')
('SL22517-2022-11-01-1160','S49-8','gPhvfpcnTyWeNFz', 'SU')
('SL04652-2022-11-01-1159','S49-7','vyrpJwIN', 'SL')
('SL22517-2022-11-02-1200','S50-24','RpbyBsxzOCmSxTe', 'SU')
('SL12058-2022-11-01-1152','S48-24','QVKKBkHisecOBzU', 'SU')
('AC04652-2022-11-02-1145','A64-11','AQH', 'SL')
('SL04652-2022-11-02-1137','S48-9','o', 'LB')
('SL04652-2022-11-02-1143','S48-15','jjcLqHjRAr', 'SL')
('AC22517-2022-11-01-1156','A65-4','pFIovsj', 'UB')
('SL12058-2022-11-01-1164','S49-12','Emq', 'LB')
('SL04652-2022-11-01-1177','S50-1','SIuYeFL', 'LB')
('AC04652-2022-11-02-1161','A65-9','xFaZUKL', 'UB')
('SL12058-2022-11-01-1168','S49-16','qKjMHypZWPBU', 'SU')
('SL04652-2022-11-02-1151','S48-23','Ixasiaglcjpp', 'SL')
('SL12058-2022-11-01-1171','S49-19','l', 'UB')
('SL04652-2022-11-01-1182','S50-6','mshIHPPLDAJxb', 'UB')
('AC22517-2022-11-01-1162','A65-10','mfcjCGMUfOxg', 'UB')
('SL04652-2022-11-01-1187','S50-11','uTwdaiubVgDvrpZ', 'UB')
