('AC22517-2022-11-02-18','A1-18','fjTg', 'SU')
('AC04652-2022-11-02-220','A13-4','yVggNQRbkbj', 'UB')
('SL04652-2022-11-01-240','S10-24','BDVlAd', 'SU')
('SL22517-2022-11-01-245','S11-5','WrlCIZkW', 'MB')
('SL12058-2022-11-01-241','S11-1','tdWVGWMu', 'LB')
('AC12058-2022-11-01-251','A14-17','SoVBylrD', 'SL')
('AC04652-2022-11-02-227','A13-11','swVhqxojLXwQYuoG', 'SL')
('AC22517-2022-11-02-259','A15-7','dkGRtAU', 'LB')
('SL04652-2022-11-02-214','S9-22','RrbnYzwVRwUzbzPD', 'UB')
('AC22517-2022-11-01-242','A14-8','weDI', 'LB')
('AC04652-2022-11-01-256','A15-4','vmr', 'UB')
('AC22517-2022-11-01-243','A14-9','IQRlnMfynOc', 'UB')
('SL22517-2022-11-01-251','S11-11','jEByHCjKrLugpuiD', 'UB')
('AC04652-2022-11-02-234','A13-18','wPs', 'SU')
('AC04652-2022-11-01-261','A15-9','TXSBIy', 'UB')
('AC04652-2022-11-01-262','A15-10','FOOC', 'UB')
('SL22517-2022-11-01-253','S11-13','RvlvvankODiW', 'MB')
('SL22517-2022-11-02-245','S11-5','boh', 'MB')
('AC04652-2022-11-01-263','A15-11','eev', 'SL')
('SL04652-2022-11-02-221','S10-5','ArpHxgZpTOgRcR', 'MB')
('SL04652-2022-11-02-222','S10-6','pfCNnpYGdIvS', 'UB')
('SL22517-2022-11-02-246','S11-6','xYFnQyEq', 'UB')
('SL22517-2022-11-01-257','S11-17','ZEWYzaTndb', 'LB')
('AC04652-2022-11-01-267','A15-15','eaFeXQ', 'UB')
('AC04652-2022-11-01-276','A16-6','zlUy', 'SU')
('AC12058-2022-11-01-274','A16-4','jOTIVsrlRxrl', 'UB')
('SL12058-2022-11-01-257','S11-17','jHif', 'LB')
('SL22517-2022-11-01-268','S12-4','RKZTUzxYZWKQNtc', 'LB')
('SL04652-2022-11-01-252','S11-12','rklcwjpIVkBc', 'LB')
('SL04652-2022-11-02-234','S10-18','TLsncrE', 'MB')
('SL12058-2022-11-01-259','S11-19','JwOYIBL', 'UB')
('AC04652-2022-11-02-254','A15-2','b', 'LB')
('SL04652-2022-11-02-238','S10-22','oehmTHkXdTS', 'UB')
('AC12058-2022-11-01-280','A16-10','BafrSsZGf', 'UB')
('AC04652-2022-11-02-257','A15-5','iOZtLgJYa', 'SL')
('AC22517-2022-11-02-287','A16-17','lKcZNBHiJALgjcZ', 'SL')
('AC22517-2022-11-02-288','A16-18','FrWqvGTAm', 'SU')
('SL04652-2022-11-02-244','S11-4','F', 'LB')
('AC22517-2022-11-02-290','A17-2','JJwDOKrORMm', 'LB')
('SL04652-2022-11-02-246','S11-6','lZxwsEQmYZElF', 'UB')
('AC22517-2022-11-02-292','A17-4','rakEYca', 'UB')
('SL22517-2022-11-01-274','S12-10','moryV', 'MB')
('SL12058-2022-11-01-267','S12-3','KAyMeobF', 'UB')
('AC04652-2022-11-01-290','A17-2','EBSELUsO', 'LB')
('AC04652-2022-11-02-263','A15-11','JpiSTRTLDQZKcDP', 'SL')
('SL22517-2022-11-02-274','S12-10','bWKj', 'MB')
('AC04652-2022-11-01-298','A17-10','fVMB', 'UB')
('SL04652-2022-11-02-258','S11-18','Gi', 'MB')
('SL04652-2022-11-02-259','S11-19','zsRu', 'UB')
('SL12058-2022-11-01-274','S12-10','NmwclFUSeihKy', 'MB')
('AC04652-2022-11-01-301','A17-13','IiOyZKbcXG', 'LB')
('AC22517-2022-11-02-308','A18-2','AtFG', 'LB')
('AC04652-2022-11-01-302','A17-14','QX', 'LB')
('SL22517-2022-11-01-279','S12-15','gdYGNfQLxnzgiEJ', 'SL')
('SL22517-2022-11-01-280','S12-16','xVUcOJBL', 'SU')
('SL12058-2022-11-01-278','S12-14','KM', 'UB')
('AC12058-2022-11-01-299','A17-11','tVSKtUUI', 'SL')
('AC04652-2022-11-02-275','A16-5','godILBTWj', 'SL')
('SL22517-2022-11-01-283','S12-19','iROQtBuxWzKrpZ', 'UB')
('AC04652-2022-11-01-307','A18-1','sWpyHuQcM', 'LB')
('AC22517-2022-11-02-313','A18-7','snAQ', 'LB')
('AC04652-2022-11-01-309','A18-3','UVwAPKXBLpKq', 'UB')
('AC22517-2022-11-01-276','A16-6','VTWggkuc', 'SU')
('SL22517-2022-11-01-286','S12-22','zlukrb', 'UB')
('AC04652-2022-11-02-278','A16-8','uyKmBfc', 'LB')
('AC04652-2022-11-02-279','A16-9','Wnbo', 'UB')
('SL22517-2022-11-01-288','S12-24','lDJVgvH', 'SU')
('SL04652-2022-11-01-281','S12-17','B', 'LB')
('SL04652-2022-11-02-264','S11-24','dqXInxPR', 'SU')
('SL22517-2022-11-01-290','S13-2','MhLApQQEt', 'MB')
('SL22517-2022-11-02-284','S12-20','oLRGlnXPDAk', 'LB')
('AC12058-2022-11-01-307','A18-1','ubeUAMFH', 'LB')
('SL22517-2022-11-01-293','S13-5','rOZWhLA', 'MB')
('SL12058-2022-11-01-289','S13-1','Rjb', 'LB')
('SL22517-2022-11-01-295','S13-7','ARkV', 'SL')
('SL12058-2022-11-01-291','S13-3','RKKQlbQawBrr', 'UB')
('AC04652-2022-11-02-290','A17-2','vvGp', 'LB')
('SL12058-2022-11-01-304','S13-16','KoyeiKlFQAEJKFXt', 'SU')
('AC22517-2022-11-02-329','A19-5','aYAciU', 'SL')
('SL04652-2022-11-01-299','S13-11','NeDjnfMJZbyv', 'UB')
('SL12058-2022-11-01-308','S13-20','sgwgos', 'LB')
('AC22517-2022-11-01-290','A17-2','RcMMwANQzOkW', 'LB')
('AC22517-2022-11-01-292','A17-4','gKjFPqPFygzdPcv', 'UB')
('AC04652-2022-11-02-293','A17-5','xf', 'SL')
('SL22517-2022-11-01-311','S13-23','DBPqhkAPtLxwkaor', 'SL')
('AC12058-2022-11-01-323','A18-17','aVldMBRuWlwK', 'SL')
('AC04652-2022-11-01-338','A19-14','TCJkKvEYkOqlTHX', 'LB')
('AC22517-2022-11-01-333','A19-9','QhwmZt', 'UB')
('AC04652-2022-11-02-350','A20-8','ny', 'LB')
('AC04652-2022-11-02-351','A20-9','dD', 'UB')
('AC22517-2022-11-01-337','A19-13','eZOT', 'LB')
('SL12058-2022-11-01-361','S16-1','tbFv', 'LB')
('AC22517-2022-11-01-339','A19-15','N', 'UB')
('SL22517-2022-11-01-365','S16-5','rOvDoctQS', 'MB')
('SL12058-2022-11-01-366','S16-6','PY', 'UB')
('AC22517-2022-11-02-403','A23-7','goQmTHseO', 'LB')
('AC22517-2022-11-02-405','A23-9','dMeOQBEiA', 'UB')
('SL04652-2022-11-02-325','S14-13','YSoyKaikZlTTHX', 'MB')
('SL04652-2022-11-01-357','S15-21','rLrHWxlSho', 'MB')
('SL04652-2022-11-02-327','S14-15','ZYbJtU', 'SL')
('AC22517-2022-11-01-346','A20-4','TuFLfTh', 'UB')
('AC04652-2022-11-02-482','A27-14','CXq', 'LB')
('AC12058-2022-11-01-502','A28-16','PmxFu', 'UB')
('AC04652-2022-11-02-483','A27-15','sQQwnrVlgaGCqS', 'UB')
('SL04652-2022-11-01-465','S20-9','JjfHoqDNfn', 'LB')
('SL22517-2022-11-01-466','S20-10','YWsBran', 'MB')
('AC12058-2022-11-01-503','A28-17','AUIoNUSZfBYSoP', 'SL')
('AC04652-2022-11-02-490','A28-4','Kuka', 'UB')
('SL22517-2022-11-02-469','S20-13','CVhEWIQClvetgfm', 'MB')
('SL04652-2022-11-01-475','S20-19','iFiWyNnpm', 'UB')
('AC22517-2022-11-01-438','A25-6','SGEHutNMikj', 'SU')
('AC04652-2022-11-02-499','A28-13','NZQxwbwPCiecE', 'LB')
('SL22517-2022-11-01-473','S20-17','aQFYgIpByMbEB', 'LB')
('AC22517-2022-11-02-531','A30-9','UVWzOMUZYneDKv', 'UB')
('SL04652-2022-11-01-483','S21-3','cNhEAnTuntyp', 'UB')
('SL04652-2022-11-02-461','S20-5','BaeCKorxZWGXWy', 'MB')
('SL04652-2022-11-01-484','S21-4','KnMP', 'LB')
('SL04652-2022-11-02-462','S20-6','mTRFTvvJkf', 'UB')
('AC12058-2022-11-01-527','A30-5','GivieAtQnklW', 'SL')
('SL12058-2022-11-01-498','S21-18','rqXNwgrbLCl', 'MB')
('AC22517-2022-11-02-536','A30-14','FS', 'LB')
('SL22517-2022-11-01-493','S21-13','jtaohjmi', 'MB')
('SL22517-2022-11-01-494','S21-14','Z', 'UB')
('SL22517-2022-11-01-496','S21-16','s', 'SU')
('AC22517-2022-11-01-458','A26-8','a', 'LB')
('AC04652-2022-11-02-520','A29-16','zXXuYbVPPsSYlOmW', 'UB')
('AC12058-2022-11-01-532','A30-10','TErbPSkQC', 'UB')
('SL12058-2022-11-01-502','S21-22','vNKHIkVEFAf', 'UB')
('SL04652-2022-11-01-489','S21-9','xtslURqkKSODJ', 'LB')
('SL04652-2022-11-02-470','S20-14','zsVmjtJkkhgURonj', 'UB')
('SL22517-2022-11-01-504','S21-24','BCMtiUhMHmYE', 'SU')
('SL12058-2022-11-01-505','S22-1','ITB', 'LB')
('AC22517-2022-11-02-554','A31-14','CTEDZtPUwI', 'LB')
('AC22517-2022-11-02-556','A31-16','XsDImIxxBHi', 'UB')
('SL04652-2022-11-01-497','S21-17','hTnYWMuzJAN', 'LB')
('SL04652-2022-11-02-522','S22-18','cr', 'MB')
('SL12058-2022-11-01-572','S24-20','fOgvfLyd', 'LB')
('AC04652-2022-11-01-576','A32-18','P', 'SU')
('AC04652-2022-11-02-585','A33-9','KzpndiN', 'UB')
('SL22517-2022-11-01-583','S25-7','L', 'SL')
('AC04652-2022-11-02-591','A33-15','AgYM', 'UB')
('SL22517-2022-11-01-588','S25-12','bLtYKtRJZuhUPp', 'LB')
('SL04652-2022-11-02-535','S23-7','ZCFbq', 'SL')
('SL04652-2022-11-02-558','S24-6','EgXlUBMrs', 'UB')
('AC22517-2022-11-02-657','A37-9','oximll', 'UB')
('AC22517-2022-11-02-665','A37-17','cHbsMEyTsFKRxdTo', 'SL')
('AC04652-2022-11-01-630','A35-18','vmFgR', 'SU')
('AC04652-2022-11-02-633','A36-3','Wf', 'UB')
('SL04652-2022-11-01-632','S27-8','TTNpULaVYGYUY', 'SU')
('SL04652-2022-11-01-633','S27-9','zUgxknscAsH', 'LB')
('AC04652-2022-11-01-636','A36-6','Mu', 'SU')
('AC04652-2022-11-02-638','A36-8','TozGtqDBZIW', 'LB')
('SL04652-2022-11-01-638','S27-14','gviRuEBLcLerZ', 'UB')
('AC22517-2022-11-01-592','A33-16','WRdhcavPdeLayLM', 'UB')
('AC04652-2022-11-01-640','A36-10','DqiCgGfnQbFPKwDU', 'UB')
('AC22517-2022-11-02-675','A38-9','hBEHllTTL', 'UB')
('AC22517-2022-11-02-676','A38-10','CuPRJ', 'UB')
('SL04652-2022-11-02-606','S26-6','pLXRCSWZzIt', 'UB')
('AC04652-2022-11-02-657','A37-9','vOPlBtBoNimcITs', 'UB')
('AC22517-2022-11-01-611','A34-17','XtXxjcuAVzGzbu', 'SL')
('SL04652-2022-11-01-657','S28-9','WaFUZuYyErTfMHY', 'LB')
('SL22517-2022-11-02-658','S28-10','qavfsKKKzRRGu', 'MB')
('AC04652-2022-11-02-671','A38-5','FXBYv', 'SL')
('AC22517-2022-11-02-710','A40-8','YGFLaUwocb', 'LB')
('AC22517-2022-11-02-717','A40-15','lpFCFTmVcsxBXELH', 'UB')
('AC12058-2022-11-01-694','A39-10','pRqgTHLEniJNj', 'UB')
('AC12058-2022-11-01-695','A39-11','cDI', 'SL')
('SL12058-2022-11-01-690','S29-18','wJcwJoL', 'MB')
('SL04652-2022-11-02-656','S28-8','riXNXt', 'SU')
('SL04652-2022-11-01-693','S29-21','viyhYPTDjJSugBj', 'MB')
('AC04652-2022-11-02-684','A38-18','NyiqjB', 'SU')
('SL04652-2022-11-02-659','S28-11','ePvwgoONLhSp', 'UB')
('SL12058-2022-11-01-693','S29-21','UuMJoPzRhI', 'MB')
('SL04652-2022-11-01-697','S30-1','Qr', 'LB')
('SL04652-2022-11-02-663','S28-15','GsqnUe', 'SL')
('SL22517-2022-11-02-684','S29-12','OIVgzzjulQMWZbyi', 'LB')
('SL22517-2022-11-02-687','S29-15','j', 'SL')
('SL22517-2022-11-02-690','S29-18','mmHnR', 'MB')
('SL12058-2022-11-01-710','S30-14','McOwEbDq', 'UB')
('AC12058-2022-11-01-705','A40-3','jalkQaTSwVNkvou', 'UB')
('SL04652-2022-11-01-704','S30-8','c', 'SU')
('SL22517-2022-11-02-692','S29-20','dYKLfQWZbtPcOFP', 'LB')
('AC22517-2022-11-02-739','A42-1','UZjbyQMslVTx', 'LB')
('AC04652-2022-11-01-701','A39-17','KRXWEypmbz', 'SL')
('SL12058-2022-11-01-716','S30-20','tzmKMl', 'LB')
('AC22517-2022-11-02-762','A43-6','HZgtXxxA', 'SU')
('SL22517-2022-11-01-739','S31-19','dUQNMuEYH', 'UB')
('AC22517-2022-11-02-763','A43-7','PTKTyAzk', 'LB')
('SL04652-2022-11-02-699','S30-3','ajZq', 'UB')
('AC04652-2022-11-01-729','A41-9','veuZd', 'UB')
('SL04652-2022-11-02-706','S30-10','DJzg', 'MB')
('SL04652-2022-11-01-738','S31-18','DsDZnqQ', 'MB')
('AC04652-2022-11-01-733','A41-13','wEDUiUzRoAQyrIl', 'LB')
('AC04652-2022-11-01-734','A41-14','oZAItlY', 'LB')
('AC22517-2022-11-02-784','A44-10','jmzCTKn', 'UB')
('AC04652-2022-11-02-740','A42-2','nzKKdvs', 'LB')
('SL22517-2022-11-02-753','S32-9','beueXehMaUvB', 'LB')
('SL04652-2022-11-01-748','S32-4','WuvUrUeLA', 'LB')
('SL04652-2022-11-01-751','S32-7','RcyFhozIje', 'SL')
('SL22517-2022-11-02-760','S32-16','FqZoU', 'SU')
('SL04652-2022-11-02-723','S31-3','mnWc', 'UB')
('SL04652-2022-11-01-755','S32-11','aWAXDqpqSL', 'UB')
('AC04652-2022-11-01-752','A42-14','l', 'LB')
('AC22517-2022-11-02-801','A45-9','DxDLvnu', 'UB')
('SL22517-2022-11-01-772','S33-4','SAiLAbRLrmWGByBb', 'LB')
('SL22517-2022-11-02-770','S33-2','lGpHuFCCNnrvZCCb', 'MB')
('AC12058-2022-11-01-769','A43-13','OGj', 'LB')
('AC22517-2022-11-02-803','A45-11','VYbh', 'SL')
('SL22517-2022-11-02-772','S33-4','dojWzU', 'LB')
('AC04652-2022-11-01-756','A42-18','FBUnzEyJDrK', 'SU')
('AC12058-2022-11-01-784','A44-10','rrZsmJvtnSCie', 'UB')
('AC22517-2022-11-02-812','A46-2','hNpiLdWRJ', 'LB')
('AC04652-2022-11-01-763','A43-7','giM', 'LB')
('AC22517-2022-11-02-813','A46-3','pyQYVfXSHTuLBwF', 'UB')
('SL04652-2022-11-01-776','S33-8','dkdtqT', 'SU')
('AC04652-2022-11-01-765','A43-9','WzLX', 'UB')
('AC04652-2022-11-01-766','A43-10','hrZyYbCyR', 'UB')
('SL04652-2022-11-01-777','S33-9','hwoTWTmAIWdWNQ', 'LB')
('SL04652-2022-11-02-738','S31-18','djUGpOTozTXUYgn', 'MB')
('AC22517-2022-11-02-818','A46-8','fbtA', 'LB')
('AC22517-2022-11-01-736','A41-16','wXJiogR', 'UB')
('AC04652-2022-11-02-769','A43-13','ncUQBcWuFCpnsO', 'LB')
('SL12058-2022-11-01-790','S33-22','SofNCsps', 'UB')
('SL22517-2022-11-01-789','S33-21','sSgyZQdnNIn', 'MB')
('SL04652-2022-11-01-781','S33-13','vYfaByZQpWX', 'MB')
('SL12058-2022-11-01-795','S34-3','aXwti', 'UB')
('SL22517-2022-11-01-790','S33-22','jnjHCCArlGjqSmNK', 'UB')
('SL22517-2022-11-01-791','S33-23','k', 'SL')
('AC22517-2022-11-02-824','A46-14','HkWBhIxYhxRIZTXI', 'LB')
('SL22517-2022-11-02-788','S33-20','N', 'LB')
('AC04652-2022-11-01-772','A43-16','EELcUWXRwo', 'UB')
('AC22517-2022-11-01-745','A42-7','Ro', 'LB')
('AC04652-2022-11-01-773','A43-17','bNHilvATofPSX', 'SL')
('SL12058-2022-11-01-799','S34-7','Srvea', 'SL')
('SL12058-2022-11-01-800','S34-8','A', 'SU')
('SL04652-2022-11-02-745','S32-1','FEhzi', 'LB')
('AC12058-2022-11-01-805','A45-13','XgcIkSy', 'LB')
('SL04652-2022-11-02-746','S32-2','PwOZNPD', 'MB')
('AC22517-2022-11-02-832','A47-4','HPStVa', 'UB')
('AC12058-2022-11-01-808','A45-16','VMn', 'UB')
('AC04652-2022-11-01-780','A44-6','GdouJi', 'SU')
('SL22517-2022-11-01-825','S35-9','gjEKsH', 'LB')
('AC04652-2022-11-01-813','A46-3','h', 'UB')
('AC04652-2022-11-01-814','A46-4','sCIDJyE', 'UB')
('SL12058-2022-11-01-832','S35-16','tSDTpCSwpPMkp', 'SU')
('AC04652-2022-11-02-802','A45-10','za', 'UB')
('AC04652-2022-11-01-819','A46-9','CUPjgNi', 'UB')
('AC22517-2022-11-01-803','A45-11','DPZb', 'SL')
('AC04652-2022-11-01-863','A48-17','tgbKEXHOwUwCAFZs', 'SL')
('SL22517-2022-11-01-857','S36-17','KjLv', 'LB')
('AC12058-2022-11-01-860','A48-14','tOTpuWfSa', 'LB')
('SL12058-2022-11-01-875','S37-11','xxNVyTNefjwNpjjI', 'UB')
('SL04652-2022-11-01-847','S36-7','s', 'SL')
('AC04652-2022-11-01-875','A49-11','XFaXnLih', 'SL')
('AC04652-2022-11-02-845','A47-17','KwaKGZPMMFiC', 'SL')
('AC22517-2022-11-01-821','A46-11','moOICTmu', 'SL')
('SL22517-2022-11-02-866','S37-2','BFRJKtPhzIIRtCNu', 'MB')
('AC04652-2022-11-02-848','A48-2','RcsUPVTdQ', 'LB')
('SL22517-2022-11-01-861','S36-21','i', 'MB')
('AC12058-2022-11-01-873','A49-9','KUlREhyTXWMSQcL', 'UB')
('SL12058-2022-11-01-884','S37-20','yfGsMmkU', 'LB')
('AC22517-2022-11-01-835','A47-7','wUxlacEdtccbxy', 'LB')
('AC12058-2022-11-01-884','A50-2','SwkdTnvuXADOhiO', 'LB')
('SL22517-2022-11-01-874','S37-10','rUNNuCpzmwmAJq', 'MB')
('SL04652-2022-11-01-867','S37-3','e', 'UB')
('AC22517-2022-11-02-919','A52-1','smV', 'LB')
('SL04652-2022-11-02-839','S35-23','NHg', 'SL')
('AC12058-2022-11-01-889','A50-7','nkoNgTT', 'LB')
('SL04652-2022-11-02-840','S35-24','K', 'SU')
('SL22517-2022-11-02-896','S38-8','vRNezx', 'SU')
('SL04652-2022-11-02-842','S36-2','UfjbgNAkAlk', 'MB')
('SL22517-2022-11-01-884','S37-20','EfEbLSAh', 'LB')
('AC22517-2022-11-01-848','A48-2','DmTavswGgE', 'LB')
('AC04652-2022-11-01-907','A51-7','JQBlCshS', 'LB')
('SL22517-2022-11-02-903','S38-15','rMJcNUuZKi', 'SL')
('AC22517-2022-11-02-927','A52-9','MCEqhR', 'UB')
('SL04652-2022-11-02-847','S36-7','gXMVeCt', 'SL')
('AC22517-2022-11-01-851','A48-5','oSY', 'SL')
('AC12058-2022-11-01-897','A50-15','KXyEqvfuh', 'UB')
('SL12058-2022-11-01-913','S39-1','o', 'LB')
('AC12058-2022-11-01-898','A50-16','EN', 'UB')
('AC04652-2022-11-01-912','A51-12','tKHNidhHRH', 'SU')
('AC12058-2022-11-01-900','A50-18','IvZgcflieJIZIwIj', 'SU')
('SL04652-2022-11-01-882','S37-18','gOM', 'MB')
('AC22517-2022-11-02-936','A52-18','DyUIISYphkz', 'SU')
('AC04652-2022-11-01-915','A51-15','pGRgVnyTtY', 'UB')
('SL04652-2022-11-02-855','S36-15','AqRIMFGEKGLFZnU', 'SL')
('AC12058-2022-11-01-904','A51-4','vk', 'UB')
('AC04652-2022-11-01-922','A52-4','LuWpdRdVJztMkBrc', 'UB')
('SL04652-2022-11-02-859','S36-19','kcmmnxggSxn', 'UB')
('SL04652-2022-11-01-892','S38-4','mbGmJmrAagvz', 'LB')
('SL22517-2022-11-01-906','S38-18','qOtIu', 'MB')
('SL22517-2022-11-02-923','S39-11','bxerOKocdMvMJbtL', 'UB')
('SL12058-2022-11-01-931','S39-19','Ty', 'UB')
('AC04652-2022-11-01-925','A52-7','RFYNYVSQKFKY', 'LB')
('SL12058-2022-11-01-933','S39-21','rCrTVNt', 'MB')
('SL04652-2022-11-01-908','S38-20','MapipWgYXIbuOdPI', 'LB')
('AC22517-2022-11-01-875','A49-11','OssDPnyyEy', 'SL')
('AC22517-2022-11-02-960','A54-6','K', 'SU')
('SL22517-2022-11-02-931','S39-19','ZFvqvoCWAElgLl', 'UB')
('AC04652-2022-11-01-933','A52-15','UOEovKuHivYrjSc', 'UB')
('SL22517-2022-11-01-923','S39-11','VXIvnFfrC', 'UB')
('SL22517-2022-11-01-924','S39-12','SlgEVAaSCyc', 'LB')
('SL22517-2022-11-01-927','S39-15','beAKZbxEugeohN', 'SL')
('AC22517-2022-11-02-966','A54-12','MfgquRWNPqMF', 'SU')
('AC22517-2022-11-02-968','A54-14','mlnnp', 'LB')
('SL12058-2022-11-01-950','S40-14','BHJnjqkSKwkSZFVo', 'UB')
('SL12058-2022-11-01-951','S40-15','YDBANDIYZqjinLh', 'SL')
('SL22517-2022-11-01-934','S39-22','ozE', 'UB')
('AC04652-2022-11-02-905','A51-5','hakbuOwwxxJKlb', 'SL')
('SL12058-2022-11-01-953','S40-17','PMhcUe', 'LB')
('SL04652-2022-11-02-886','S37-22','RFxSXmjzsEO', 'UB')
('SL04652-2022-11-01-923','S39-11','HPYjRCubkR', 'UB')
('SL04652-2022-11-01-924','S39-12','NjfOGsVnaULv', 'LB')
('SL04652-2022-11-02-887','S37-23','svcosQAVH', 'SL')
('AC12058-2022-11-01-933','A52-15','GwKdkqVwKm', 'UB')
('SL12058-2022-11-01-963','S41-3','OPccIMkJ', 'UB')
('SL04652-2022-11-01-931','S39-19','ZwGUzTtt', 'UB')
('SL22517-2022-11-01-947','S40-11','LZNTmMbByhgP', 'UB')
('AC12058-2022-11-01-938','A53-2','OOuJjzIMhLUc', 'LB')
('SL04652-2022-11-02-900','S38-12','EgPPZO', 'LB')
('AC04652-2022-11-02-914','A51-14','WwsnVlKWiS', 'LB')
('AC22517-2022-11-01-912','A51-12','kMrIJI', 'SU')
('AC04652-2022-11-02-918','A51-18','pDBkbZaaMGnSRis', 'SU')
