('AC12058-2022-11-01-2019','A113-3','ejzAKW', 'UB')
('AC12058-2022-11-01-2403','A134-9','FLERFvYRABwx', 'UB')
('SL12058-2022-11-01-2363','S99-11','rvDmUEOTKE', 'UB')
('SL04652-2022-11-01-2390','S100-14','aLPe', 'UB')
('AC04652-2022-11-01-2530','A141-10','IeVSwVWnpVdYmQK', 'UB')
('AC04652-2022-11-02-2422','A135-10','lB', 'UB')
('SL04652-2022-11-01-2395','S100-19','JRldQedXjFiMIGQp', 'UB')
('SL22517-2022-11-01-2439','S102-15','bO', 'SL')
('AC22517-2022-11-01-2474','A138-8','SzbXmnhkSD', 'LB')
('AC12058-2022-11-01-2415','A135-3','ETkzYLkp', 'UB')
('SL04652-2022-11-01-2407','S101-7','bEuMdOhHePMsgbK', 'SL')
('AC04652-2022-11-02-2483','A138-17','QQMEPiGBekSm', 'SL')
('AC04652-2022-11-02-2486','A139-2','lu', 'LB')
('AC04652-2022-11-01-2586','A144-12','atBQhJ', 'SU')
('AC04652-2022-11-01-2589','A144-15','rzmRvUNhoDGza', 'UB')
('SL22517-2022-11-01-2514','S105-18','nPBVntgrcacvuQ', 'MB')
('SL04652-2022-11-01-2461','S103-13','uWthbZYoEdWRcvlU', 'MB')
('AC04652-2022-11-01-2607','A145-15','C', 'UB')
('AC04652-2022-11-02-2508','A140-6','iKRmnP', 'SU')
('AC12058-2022-11-01-2492','A139-8','UYXDaTWxNQIHR', 'LB')
('SL04652-2022-11-02-2511','S105-15','ODQOgZRszbIjNN', 'SL')
('AC22517-2022-11-02-2489','A139-5','uOdMneCjpbXSN', 'SL')
('SL22517-2022-11-02-2477','S104-5','E', 'MB')
('AC04652-2022-11-02-2511','A140-9','txpgJsWNF', 'UB')
('AC12058-2022-11-01-2496','A139-12','MdSOEmTUIKocr', 'SU')
('AC22517-2022-11-02-2493','A139-9','snSCAZP', 'UB')
('SL04652-2022-11-02-2529','S106-9','cXRyerjJ', 'LB')
('SL12058-2022-11-01-2471','S103-23','BcEsQPW', 'SL')
('SL04652-2022-11-02-2532','S106-12','TI', 'LB')
('AC22517-2022-11-02-2510','A140-8','qvEGqXqZHiqAw', 'LB')
('SL22517-2022-11-02-2491','S104-19','CHsUjL', 'UB')
('AC22517-2022-11-02-2512','A140-10','BWDdQa', 'UB')
('SL22517-2022-11-02-2494','S104-22','YZSlXOZKldT', 'UB')
('SL22517-2022-11-01-2549','S107-5','SKYE', 'MB')
('SL22517-2022-11-02-2497','S105-1','NxhYpiaZpXKdPlt', 'LB')
('SL12058-2022-11-01-2479','S104-7','GaTiTtNgPm', 'SL')
('AC04652-2022-11-01-2639','A147-11','RbKs', 'SL')
('SL22517-2022-11-01-2553','S107-9','zbZzVlUmfpY', 'LB')
('SL04652-2022-11-02-2549','S107-5','WVpIpjHRceAM', 'MB')
('SL04652-2022-11-01-2496','S104-24','WQREAIG', 'SU')
('AC12058-2022-11-01-2522','A141-2','scUsKsIKv', 'LB')
('AC22517-2022-11-02-2518','A140-16','URRmng', 'UB')
('AC12058-2022-11-01-2523','A141-3','FS', 'UB')
('AC22517-2022-11-02-2519','A140-17','QhBqC', 'SL')
('AC04652-2022-11-02-2545','A142-7','fu', 'LB')
('AC12058-2022-11-01-2526','A141-6','ygXqTUzv', 'SU')
('SL12058-2022-11-01-2491','S104-19','LkQK', 'UB')
('AC12058-2022-11-01-2531','A141-11','mkyjLQkBeW', 'SL')
('SL04652-2022-11-01-2509','S105-13','H', 'MB')
('AC04652-2022-11-01-2675','A149-11','EUadMEhPlSCP', 'SL')
('AC12058-2022-11-01-2558','A143-2','dyc', 'LB')
('AC04652-2022-11-01-2677','A149-13','eONrhZJkZdGTmK', 'LB')
('AC04652-2022-11-02-2572','A143-16','CKzllFjyfDsbOq', 'UB')
('SL22517-2022-11-02-2538','S106-18','ONsqU', 'MB')
('SL22517-2022-11-01-2601','S109-9','sd', 'LB')
('SL22517-2022-11-02-2539','S106-19','cqlOnrkuSbT', 'UB')
('SL22517-2022-11-02-2540','S106-20','HhiwkbxgeBDxzAFL', 'LB')
('SL22517-2022-11-01-2602','S109-10','nIE', 'MB')
('SL04652-2022-11-02-2602','S109-10','MlVFEZBTkdV', 'MB')
('AC22517-2022-11-02-2589','A144-15','LXIgYUcN', 'UB')
('AC04652-2022-11-01-2712','A151-12','ElPOMstu', 'SU')
('SL12058-2022-11-01-2571','S108-3','lVdN', 'UB')
('AC22517-2022-11-02-2600','A145-8','WVMQSQUiMG', 'LB')
('AC22517-2022-11-01-2655','A148-9','AYCtckD', 'UB')
('SL22517-2022-11-02-2574','S108-6','ceiqNrWakVQhjdIy', 'UB')
('SL12058-2022-11-01-2574','S108-6','In', 'UB')
('SL22517-2022-11-01-2626','S110-10','MsIWAVm', 'MB')
('AC22517-2022-11-01-2663','A148-17','GQdYgIOYFT', 'SL')
('SL04652-2022-11-02-2627','S110-11','EQKPd', 'UB')
('AC12058-2022-11-01-2605','A145-13','JKpTxUwDYmMsL', 'LB')
('AC04652-2022-11-02-2624','A146-14','rBpkY', 'LB')
('SL22517-2022-11-02-2586','S108-18','s', 'MB')
('AC04652-2022-11-01-2727','A152-9','a', 'UB')
('AC22517-2022-11-01-2675','A149-11','QInRLkzgqN', 'SL')
('AC12058-2022-11-01-2612','A146-2','LfKQatLqZv', 'LB')
('SL22517-2022-11-01-2639','S110-23','GCEeEEpM', 'SL')
('SL04652-2022-11-02-2637','S110-21','lZWcQnawYknVW', 'MB')
('AC22517-2022-11-02-2619','A146-9','xDIkhzveq', 'UB')
('AC04652-2022-11-02-2635','A147-7','IxLdaINBxs', 'LB')
('SL22517-2022-11-01-2645','S111-5','KaAGMFALAJFbEwqV', 'MB')
('AC12058-2022-11-01-2620','A146-10','psAOhbYVnHzbeB', 'UB')
('AC22517-2022-11-02-2625','A146-15','UUckjzeJAHalS', 'UB')
('SL12058-2022-11-01-2597','S109-5','jl', 'MB')
('SL22517-2022-11-02-2591','S108-23','Wzxgr', 'SL')
('SL22517-2022-11-01-2651','S111-11','XUCPAmEYVvo', 'UB')
('SL04652-2022-11-01-2613','S109-21','OtIOXrn', 'MB')
('AC04652-2022-11-01-2742','A153-6','vRZBPaqvG', 'SU')
('SL04652-2022-11-01-2618','S110-2','dbWJzRarZkMMR', 'MB')
('AC22517-2022-11-02-2634','A147-6','hRLeKOY', 'SU')
('SL04652-2022-11-01-2619','S110-3','oytzdRhmDiGQj', 'UB')
('AC22517-2022-11-01-2700','A150-18','Qj', 'SU')
('AC12058-2022-11-01-2630','A147-2','OJmkTYQPn', 'LB')
('SL12058-2022-11-01-2610','S109-18','gAgVTAKqrMRUOja', 'MB')
('SL22517-2022-11-01-2665','S112-1','rZBt', 'LB')
('AC04652-2022-11-02-2655','A148-9','z', 'UB')
('AC12058-2022-11-01-2632','A147-4','kBgXy', 'UB')
('SL22517-2022-11-02-2637','S110-21','PD', 'MB')
('SL12058-2022-11-01-2642','S111-2','Nt', 'MB')
('SL22517-2022-11-01-2705','S113-17','dzbVBjhaCpkUfY', 'LB')
('SL04652-2022-11-01-2661','S111-21','mIXuKmfHirZtwH', 'MB')
('SL22517-2022-11-01-2714','S114-2','OwKuBhYc', 'MB')
('AC22517-2022-11-01-2745','A153-9','yRLWUJfIdDu', 'UB')
('AC12058-2022-11-01-2661','A148-15','KCwLv', 'UB')
('SL04652-2022-11-02-2706','S113-18','FlNAlbesWXFzJ', 'MB')
('SL04652-2022-11-01-2678','S112-14','Y', 'UB')
('SL22517-2022-11-01-2724','S114-12','jyFa', 'LB')
('AC22517-2022-11-01-2759','A154-5','omLcIOKiCMvi', 'SL')
('SL04652-2022-11-01-2683','S112-19','lDtgBmCgnWrVXyuO', 'UB')
('AC12058-2022-11-01-2673','A149-9','ndzluAd', 'UB')
('SL22517-2022-11-02-2667','S112-3','kYcUuvlyMVjlpk', 'UB')
('SL22517-2022-11-01-2733','S114-21','yJDjer', 'MB')
('SL22517-2022-11-01-2734','S114-22','YkiTmaJytVPxXL', 'UB')
('SL04652-2022-11-01-2696','S113-8','JEgYNAgBE', 'SU')
('AC12058-2022-11-01-2680','A149-16','jQpAtVoRGVPrC', 'UB')
('AC04652-2022-11-02-2718','A151-18','MvhLyKYdptoTyInH', 'SU')
('AC22517-2022-11-02-2715','A151-15','JE', 'UB')
('SL22517-2022-11-01-2748','S115-12','FbgkgsitZXk', 'LB')
('AC12058-2022-11-01-2687','A150-5','XpUwVau', 'SL')
('AC22517-2022-11-01-2784','A155-12','abYCG', 'SU')
('SL22517-2022-11-02-2685','S112-21','vFwJAts', 'MB')
('SL04652-2022-11-02-2737','S115-1','bOG', 'LB')
('AC22517-2022-11-01-2787','A155-15','RPjwr', 'UB')
('AC22517-2022-11-01-2788','A155-16','uXlNpmIPvK', 'UB')
('SL04652-2022-11-01-2717','S114-5','ZETQ', 'MB')
('AC04652-2022-11-02-2742','A153-6','xBKFvhs', 'SU')
('SL04652-2022-11-02-2757','S115-21','VWherkSRR', 'MB')
('SL04652-2022-11-02-2763','S116-3','hMCQDiLNqbXf', 'UB')
('SL04652-2022-11-02-2765','S116-5','lYncgYsfDNLqP', 'MB')
('AC12058-2022-11-01-2720','A152-2','NyVgzglNMnAzF', 'LB')
('SL04652-2022-11-01-2728','S114-16','yBCUqgnVVTPwp', 'SU')
('SL12058-2022-11-01-2696','S113-8','iAvTRWNEBa', 'SU')
('SL12058-2022-11-01-2699','S113-11','tbNoPtdn', 'UB')
('AC04652-2022-11-01-2901','A162-3','DtCBemFzxthLsBzk', 'UB')
('SL22517-2022-11-01-2810','S118-2','PhyBneOwXby', 'MB')
('SL12058-2022-11-01-2730','S114-18','VXNF', 'MB')
('SL04652-2022-11-02-2810','S118-2','WMdh', 'MB')
('AC22517-2022-11-02-2792','A156-2','Bnc', 'LB')
('SL22517-2022-11-02-2745','S115-9','nIa', 'LB')
('SL22517-2022-11-02-2746','S115-10','QVwRl', 'MB')
('SL22517-2022-11-01-2815','S118-7','IzGINA', 'SL')
('AC22517-2022-11-02-2794','A156-4','rr', 'UB')
('SL12058-2022-11-01-2731','S114-19','ssYpkJONlBb', 'UB')
('AC22517-2022-11-02-2796','A156-6','IRENbHhHUDLD', 'SU')
('SL12058-2022-11-01-2733','S114-21','AmlJAgqKIgngUfau', 'MB')
('SL12058-2022-11-01-2734','S114-22','wzEydN', 'UB')
('AC12058-2022-11-01-2783','A155-11','ZnLWtemcTDaP', 'SL')
('AC12058-2022-11-01-2784','A155-12','HLSiVpWkvdXAPAzA', 'SU')
('SL12058-2022-11-01-2753','S115-17','Ip', 'LB')
('SL12058-2022-11-01-2754','S115-18','RBPMxHmiaB', 'MB')
('AC04652-2022-11-02-2819','A157-11','TvBK', 'SL')
('AC12058-2022-11-01-2789','A155-17','cdCLqHrrYbaoKswh', 'SL')
('SL04652-2022-11-01-2870','S120-14','btRWpQoSCTf', 'UB')
('SL12058-2022-11-01-2802','S117-18','mBttfaIDdWtbmdf', 'MB')
('AC22517-2022-11-01-2946','A164-12','Tc', 'SU')
('SL22517-2022-11-02-2847','S119-15','PyVhkjoBdsbIIh', 'SL')
('SL12058-2022-11-01-2831','S118-23','yaDqXgReqUQqw', 'SL')
('AC22517-2022-11-01-2974','A166-4','f', 'UB')
('AC04652-2022-11-01-3031','A169-7','RTBtjQIsqkSWUz', 'LB')
('SL12058-2022-11-01-2834','S119-2','PXaJ', 'MB')
('AC22517-2022-11-02-2919','A163-3','X', 'UB')
('AC22517-2022-11-02-2920','A163-4','NrPfEfGrrx', 'UB')
('SL22517-2022-11-01-2926','S122-22','UwLm', 'UB')
('SL12058-2022-11-01-2839','S119-7','cMIQVH', 'SL')
('AC22517-2022-11-01-2978','A166-8','YXjYatcmBdBkSqd', 'LB')
('AC22517-2022-11-02-2926','A163-10','eaCAEDWN', 'UB')
('SL22517-2022-11-01-2928','S122-24','hVAbZY', 'SU')
('AC22517-2022-11-02-2929','A163-13','xaFkRGGcnZ', 'LB')
('SL04652-2022-11-01-2915','S122-11','hmlrMrUwHlfEjhu', 'UB')
('AC04652-2022-11-01-3047','A170-5','VXtcaGcr', 'SL')
('AC04652-2022-11-02-2909','A162-11','BGgXQK', 'SL')
('SL04652-2022-11-02-2969','S124-17','yR', 'LB')
('AC04652-2022-11-01-3055','A170-13','tMyYMvEZJxyBBV', 'LB')
('AC22517-2022-11-01-2994','A167-6','B', 'SU')
('AC12058-2022-11-01-2899','A162-1','RjyXdgcnXYFEq', 'LB')
('AC12058-2022-11-01-2900','A162-2','opUkPptSHjcz', 'LB')
('SL04652-2022-11-02-2984','S125-8','NiaOcemW', 'SU')
('AC04652-2022-11-02-2926','A163-10','IFyvkQwmWoDgYREh', 'UB')
('AC04652-2022-11-01-3066','A171-6','cekaJSqFUCwMGZsg', 'SU')
('SL04652-2022-11-01-2946','S123-18','UFaXyOaM', 'MB')
('SL22517-2022-11-02-2918','S122-14','KVxuRuVZfMPYqNv', 'UB')
('SL22517-2022-11-01-2955','S124-3','xhNjLOCXdlucpn', 'UB')
('SL04652-2022-11-02-2997','S125-21','MLFznlLerrWS', 'MB')
('SL04652-2022-11-01-2954','S124-2','iZVynW', 'MB')
('AC12058-2022-11-01-2912','A162-14','IIZmotzLSTjCJcDA', 'LB')
('SL22517-2022-11-02-2925','S122-21','iBqHRbiIkCAScI', 'MB')
('AC04652-2022-11-02-2939','A164-5','etFqIoTnbc', 'SL')
('SL22517-2022-11-02-2929','S123-1','UtdC', 'LB')
('AC04652-2022-11-01-3077','A171-17','dGffFenjP', 'SL')
('SL04652-2022-11-02-3004','S126-4','cR', 'LB')
('SL12058-2022-11-01-2886','S121-6','fLLqg', 'UB')
('AC04652-2022-11-02-2945','A164-11','wtLYBQkpwgESSLh', 'SL')
('AC22517-2022-11-02-2962','A165-10','xLfziHEimwIWKIW', 'UB')
('AC22517-2022-11-01-3021','A168-15','JF', 'UB')
('SL04652-2022-11-02-3008','S126-8','WxNojLblF', 'SU')
('AC22517-2022-11-02-2965','A165-13','np', 'LB')
('SL22517-2022-11-02-2938','S123-10','b', 'MB')
('AC12058-2022-11-01-2922','A163-6','KEYZ', 'SU')
('AC12058-2022-11-01-2923','A163-7','WdQOm', 'LB')
('AC04652-2022-11-01-3087','A172-9','AEDjKadOCoAA', 'UB')
('SL04652-2022-11-01-2974','S124-22','cqdJwaLU', 'UB')
('SL12058-2022-11-01-2903','S121-23','BXcyWq', 'SL')
('SL22517-2022-11-01-2980','S125-4','rfEehtMqE', 'LB')
('AC22517-2022-11-02-2988','A166-18','H', 'SU')
('AC04652-2022-11-01-3106','A173-10','pGIihjhEIJDk', 'UB')
('SL22517-2022-11-02-2956','S124-4','UW', 'LB')
('AC22517-2022-11-01-3056','A170-14','r', 'LB')
('AC22517-2022-11-02-3002','A167-14','siykT', 'LB')
('SL22517-2022-11-01-2992','S125-16','pxBPOwo', 'SU')
('AC04652-2022-11-01-3112','A173-16','agBoohiONWthVEIB', 'UB')
('SL04652-2022-11-01-2998','S125-22','zgdDofJyZP', 'UB')
('AC22517-2022-11-02-3019','A168-13','h', 'LB')
('AC04652-2022-11-02-2998','A167-10','M', 'UB')
('SL22517-2022-11-01-3015','S126-15','tTKWa', 'SL')
('SL12058-2022-11-01-2992','S125-16','RGR', 'SU')
('AC22517-2022-11-02-3073','A171-13','wQEAo', 'LB')
('AC12058-2022-11-01-3011','A168-5','HeoarlOAlU', 'SL')
('AC04652-2022-11-02-3058','A170-16','DzcKJjulJA', 'UB')
('SL22517-2022-11-02-3026','S127-2','ZDoVCjHksKM', 'MB')
('AC22517-2022-11-02-3078','A171-18','BdyUnARib', 'SU')
('SL04652-2022-11-02-3119','S130-23','eatJExhQGuJzcORX', 'SL')
('AC04652-2022-11-01-3196','A178-10','mZdCNyDR', 'UB')
('AC22517-2022-11-02-3092','A172-14','eMZevmbyjlUdZNlt', 'LB')
('AC04652-2022-11-01-3200','A178-14','WTOkvGA', 'LB')
('SL04652-2022-11-02-3126','S131-6','udxQCpUeD', 'UB')
('AC22517-2022-11-02-3096','A172-18','vOpiWegjnX', 'SU')
('AC12058-2022-11-01-3026','A169-2','sFmGEzofhqFKVX', 'LB')
('SL22517-2022-11-02-3037','S127-13','IWGxwEY', 'MB')
('AC04652-2022-11-01-3201','A178-15','S', 'UB')
('SL04652-2022-11-02-3134','S131-14','uIgXEgfqY', 'UB')
('AC22517-2022-11-01-3144','A175-12','ouDknSIUtjpj', 'SU')
('SL04652-2022-11-02-3160','S132-16','aNKfSdgLnoi', 'SU')
('AC22517-2022-11-01-3168','A176-18','qbSCWKhIzoiQDc', 'SU')
('SL04652-2022-11-01-3128','S131-8','xFGQMthVu', 'SU')
('SL12058-2022-11-01-3038','S127-14','YinrDJoOOAv', 'UB')
('AC22517-2022-11-01-3170','A177-2','kmGMeqkLNrkx', 'LB')
('AC22517-2022-11-01-3171','A177-3','sZ', 'UB')
('AC22517-2022-11-01-3172','A177-4','hbAwMpIdld', 'UB')
('SL04652-2022-11-01-3134','S131-14','GbkXGc', 'UB')
('SL22517-2022-11-02-3077','S129-5','FDNBEOPCNhlCHX', 'MB')
('SL04652-2022-11-02-3172','S133-4','BLxCNuEsbLAtylT', 'LB')
('SL04652-2022-11-02-3173','S133-5','CpSx', 'MB')
('AC12058-2022-11-01-3062','A171-2','boKLxWGSImqPx', 'LB')
('AC04652-2022-11-01-3253','A181-13','CCss', 'LB')
('SL04652-2022-11-02-3177','S133-9','h', 'LB')
('AC22517-2022-11-02-3136','A175-4','BprxtEkk', 'UB')
('SL04652-2022-11-02-3179','S133-11','OgHfTcHQBD', 'UB')
('AC22517-2022-11-02-3137','A175-5','UcZk', 'SL')
('AC04652-2022-11-02-3137','A175-5','Slobaqq', 'SL')
('SL22517-2022-11-02-3086','S129-14','KNWgkTS', 'UB')
('SL04652-2022-11-02-3183','S133-15','AtUbCtDW', 'SL')
('AC22517-2022-11-01-3184','A177-16','vuEFq', 'UB')
('AC04652-2022-11-01-3288','A183-12','arOyVFtGhECGtXLW', 'SU')
('SL12058-2022-11-01-3099','S130-3','DztLbOUlirLxe', 'UB')
('SL22517-2022-11-01-3169','S133-1','OZEQnXDvValCxoV', 'LB')
('AC12058-2022-11-01-3143','A175-11','mCLrUrRdDWX', 'SL')
('SL12058-2022-11-01-3131','S131-11','OwVxfcSxbBqq', 'UB')
('AC22517-2022-11-01-3242','A181-2','TPwRuXFFyMYpRQGQ', 'LB')
('AC04652-2022-11-02-3214','A179-10','VDtMBfpVQUfJvLPY', 'UB')
('AC12058-2022-11-01-3171','A177-3','aUynQGAAHf', 'UB')
('AC22517-2022-11-01-3262','A182-4','sS', 'UB')
('AC12058-2022-11-01-3173','A177-5','SLK', 'SL')
('AC22517-2022-11-02-3219','A179-15','ivrDVuWOZXMeSoo', 'UB')
('AC12058-2022-11-01-3176','A177-8','ZtMkvrsfUq', 'LB')
('SL04652-2022-11-01-3211','S134-19','yoravqW', 'UB')
('AC12058-2022-11-01-3200','A178-14','gWxDWeJJPgYSWpn', 'LB')
('AC22517-2022-11-02-3245','A181-5','IiL', 'SL')
('SL12058-2022-11-01-3163','S132-19','zgrEGvuqFoYwsvtL', 'UB')
('SL22517-2022-11-02-3204','S134-12','OUNRH', 'LB')
('SL04652-2022-11-01-3237','S135-21','TUorEoVOjKN', 'MB')
('SL22517-2022-11-01-3228','S135-12','fM', 'LB')
('SL22517-2022-11-01-3265','S137-1','uu', 'LB')
('AC04652-2022-11-01-3474','A193-18','eG', 'SU')
('SL12058-2022-11-01-3276','S137-12','SxwCJLNtIHRj', 'LB')
('SL12058-2022-11-01-3277','S137-13','uiPIG', 'MB')
('SL04652-2022-11-02-3403','S142-19','Qnvtzr', 'UB')
('AC22517-2022-11-02-3363','A187-15','WspmAwR', 'UB')
('SL04652-2022-11-01-3340','S140-4','Wf', 'LB')
('SL22517-2022-11-01-3329','S139-17','MUZMM', 'LB')
('AC22517-2022-11-02-3365','A187-17','JnFYEWFtOqp', 'SL')
('AC12058-2022-11-01-3302','A184-8','d', 'LB')
('AC12058-2022-11-01-3303','A184-9','H', 'UB')
('AC22517-2022-11-01-3420','A190-18','lPpcEsbAjyQV', 'SU')
('SL04652-2022-11-01-3346','S140-10','hbpIRP', 'MB')
('SL22517-2022-11-01-3333','S139-21','X', 'MB')
