('AC22517-2022-11-02-6895','A384-1','JbfwnAZTarnl', 'LB')
('SL04652-2022-11-02-6790','S283-22','VNbtkwhGGOCoeJ', 'UB')
('SL22517-2022-11-01-6854','S286-14','hWBODItrVzC', 'UB')
('SL12058-2022-11-01-6798','S284-6','gixIlxG', 'UB')
('AC12058-2022-11-01-6803','A378-17','MG', 'SL')
('SL22517-2022-11-01-6856','S286-16','mC', 'SU')
('SL12058-2022-11-01-6800','S284-8','rjXMuDJaGUFZACgV', 'SU')
('AC22517-2022-11-02-6926','A385-14','TzcAiEAZmzpF', 'LB')
('SL04652-2022-11-02-6795','S284-3','nzkmUgVS', 'UB')
('SL22517-2022-11-01-6862','S286-22','ojpSiWqatOg', 'UB')
('SL04652-2022-11-02-6800','S284-8','VQrTSPMxtqqBA', 'SU')
('AC04652-2022-11-02-6940','A386-10','RKppowurWIOPW', 'UB')
('AC22517-2022-11-02-6929','A385-17','AdASZeJprhCep', 'SL')
('AC22517-2022-11-01-6831','A380-9','jSudddNlpa', 'UB')
('AC04652-2022-11-02-6943','A386-13','mIkxL', 'LB')
('AC04652-2022-11-01-6888','A383-12','Wlh', 'SU')
('SL04652-2022-11-02-6805','S284-13','ikTSSmSsxNrRm', 'MB')
('SL22517-2022-11-02-7020','S293-12','RZWZIknVfH', 'LB')
('AC22517-2022-11-02-6934','A386-4','qF', 'UB')
('AC04652-2022-11-01-6890','A383-14','EHlgJiGtDk', 'LB')
('AC12058-2022-11-01-6811','A379-7','OFNlNwAaDrpT', 'LB')
('SL04652-2022-11-02-6808','S284-16','QKOzxYEhKvNaD', 'SU')
('AC04652-2022-11-02-6948','A386-18','DigoZqszJNlNH', 'SU')
('AC04652-2022-11-02-6949','A387-1','ZeMU', 'LB')
('AC22517-2022-11-01-6834','A380-12','sgwvArhsyF', 'SU')
('SL12058-2022-11-01-6809','S284-17','RZMK', 'LB')
('AC12058-2022-11-01-6814','A379-10','YQECHIxqilUyRQ', 'UB')
('SL12058-2022-11-01-6810','S284-18','EFUGcUW', 'MB')
('SL04652-2022-11-02-6811','S284-19','u', 'UB')
('SL22517-2022-11-02-7026','S293-18','dltrKXZE', 'MB')
('AC22517-2022-11-01-6837','A380-15','QZLi', 'UB')
('SL04652-2022-11-02-6813','S284-21','SnzzFgU', 'MB')
('AC22517-2022-11-02-6939','A386-9','coqyspyJb', 'UB')
('SL04652-2022-11-02-6814','S284-22','EGCopf', 'UB')
('SL04652-2022-11-01-6946','S290-10','rzTBTYlqvARycoW', 'MB')
('AC22517-2022-11-01-6840','A380-18','fxBaAJhJYkJ', 'SU')
('SL12058-2022-11-01-6813','S284-21','WUxpjpo', 'MB')
('SL22517-2022-11-02-7028','S293-20','L', 'LB')
('SL04652-2022-11-01-6947','S290-11','iPnEX', 'UB')
('AC04652-2022-11-02-6957','A387-9','RU', 'UB')
('AC12058-2022-11-01-6820','A379-16','lXDWmTAK', 'UB')
('AC22517-2022-11-02-6945','A386-15','VyenkFApYHeVf', 'UB')
('SL12058-2022-11-01-6814','S284-22','O', 'UB')
('SL12058-2022-11-01-6815','S284-23','ethOEnSDfPJsRGV', 'SL')
('AC22517-2022-11-02-6950','A387-2','TUHUoYOvXqsfal', 'LB')
('SL04652-2022-11-02-6820','S285-4','ulxrdZGdUJEJz', 'LB')
('SL04652-2022-11-01-6952','S290-16','boMtAwXzUAwjctT', 'SU')
('AC22517-2022-11-02-6953','A387-5','S', 'SL')
('SL04652-2022-11-01-6953','S290-17','KhobX', 'LB')
('SL04652-2022-11-01-6954','S290-18','ynuezeUHOdHMwq', 'MB')
('SL22517-2022-11-02-7035','S294-3','sh', 'UB')
('SL12058-2022-11-01-6819','S285-3','bvkOUDNJnaMNtRza', 'UB')
('AC22517-2022-11-01-6847','A381-7','HescZCQNwa', 'LB')
('SL04652-2022-11-01-6955','S290-19','zLrPTNlhv', 'UB')
('AC04652-2022-11-02-6965','A387-17','syiZdYZkRaFRCOk', 'SL')
('AC22517-2022-11-01-6848','A381-8','JoUUpqAyxN', 'LB')
('SL04652-2022-11-02-6825','S285-9','fmZHLb', 'LB')
('SL22517-2022-11-02-7038','S294-6','ZYcpWmyNvC', 'UB')
('AC12058-2022-11-01-6831','A380-9','GcOQvU', 'UB')
('SL04652-2022-11-02-6827','S285-11','Bh', 'UB')
('SL04652-2022-11-02-6828','S285-12','WrsuseOo', 'LB')
('SL04652-2022-11-01-6956','S290-20','KrMmguBN', 'LB')
('AC22517-2022-11-02-6956','A387-8','MEHYDYmdKYbTvy', 'LB')
('AC22517-2022-11-02-6957','A387-9','jyToLFt', 'UB')
('AC04652-2022-11-01-6906','A384-12','IXTKfqKJZ', 'SU')
('AC04652-2022-11-02-6967','A388-1','WZtJBDGlJjAG', 'LB')
('SL04652-2022-11-01-6957','S290-21','JBXSOrNSEdPb', 'MB')
('AC22517-2022-11-02-6960','A387-12','sEZrTC', 'SU')
('SL04652-2022-11-01-6958','S290-22','pdsQTmCBuWdpnNw', 'UB')
('AC04652-2022-11-01-6909','A384-15','VGvVfH', 'UB')
('AC22517-2022-11-01-6854','A381-14','eaEvrOcgWjKgAWkq', 'LB')
('SL22517-2022-11-02-7041','S294-9','MQTdIQboW', 'LB')
('AC04652-2022-11-02-6970','A388-4','RnVxsavqXZlUSg', 'UB')
('SL12058-2022-11-01-6835','S285-19','iLBnu', 'UB')
('AC12058-2022-11-01-6832','A380-10','kINyFOxUBcRVtwfF', 'UB')
('SL04652-2022-11-02-6834','S285-18','qQWHcULiNPjmNi', 'MB')
('AC22517-2022-11-01-6857','A381-17','qHk', 'SL')
('AC22517-2022-11-01-6859','A382-1','yucxbtIU', 'LB')
('AC04652-2022-11-02-6975','A388-9','grlSRLiagxthtY', 'UB')
('SL04652-2022-11-01-6968','S291-8','WqTJPZWji', 'SU')
('SL04652-2022-11-02-6836','S285-20','nXXpKj', 'LB')
('AC04652-2022-11-01-6916','A385-4','IKxaWAjXdD', 'UB')
('AC04652-2022-11-02-6976','A388-10','zvdtnsbKLIaK', 'UB')
('SL12058-2022-11-01-6840','S285-24','IEtzaOUChjztlvC', 'SU')
('AC12058-2022-11-01-6835','A380-13','EvbkbgDXvM', 'LB')
('SL04652-2022-11-02-6841','S286-1','DjbehU', 'LB')
('AC04652-2022-11-02-6978','A388-12','KkHsYWv', 'SU')
('AC12058-2022-11-01-6836','A380-14','eCX', 'LB')
('SL22517-2022-11-01-6904','S288-16','QjpPdnLtmGLjsIJ', 'SU')
('SL04652-2022-11-01-6971','S291-11','lwnKzEonXQRz', 'UB')
('SL12058-2022-11-01-6847','S286-7','dMwmZ', 'SL')
('SL12058-2022-11-01-6848','S286-8','LVwbdjWH', 'SU')
('SL22517-2022-11-01-6905','S288-17','ibRyWXCEWCkQ', 'LB')
('AC04652-2022-11-01-6922','A385-10','lANJqYx', 'UB')
('SL12058-2022-11-01-6852','S286-12','JsMzvqR', 'LB')
('AC22517-2022-11-01-6866','A382-8','JDdFZIWfoLMj', 'LB')
('SL04652-2022-11-01-6973','S291-13','yMFM', 'MB')
('SL12058-2022-11-01-6853','S286-13','uyQptb', 'MB')
('AC12058-2022-11-01-6842','A381-2','KW', 'LB')
('SL04652-2022-11-02-6849','S286-9','voYekAjyjzMcJW', 'LB')
('AC22517-2022-11-01-6871','A382-13','EuBVVxsU', 'LB')
('AC22517-2022-11-02-6975','A388-9','TnoME', 'UB')
('AC12058-2022-11-01-6844','A381-4','C', 'UB')
('SL22517-2022-11-01-6912','S288-24','tbmuEVs', 'SU')
('SL04652-2022-11-02-6853','S286-13','xeFDdeAbzR', 'MB')
('SL12058-2022-11-01-6857','S286-17','iJqbOgyf', 'LB')
('AC22517-2022-11-02-6977','A388-11','Evb', 'SL')
('AC22517-2022-11-02-6978','A388-12','jaDSrUUrbMY', 'SU')
('AC04652-2022-11-02-6984','A388-18','KeCtdtMUMxzvhmY', 'SU')
('SL04652-2022-11-01-6981','S291-21','ZWuCD', 'MB')
('SL04652-2022-11-01-6982','S291-22','THiFpgIR', 'UB')
('SL22517-2022-11-02-7056','S294-24','lTacMMzdIfO', 'SU')
('AC04652-2022-11-01-6931','A386-1','CULbgXeLGixSLk', 'LB')
('AC04652-2022-11-02-6987','A389-3','cmPATR', 'UB')
('SL12058-2022-11-01-6861','S286-21','UtXlMVHcOyPACTf', 'MB')
('SL22517-2022-11-02-7059','S295-3','bHKAxJ', 'UB')
('SL04652-2022-11-01-6984','S291-24','u', 'SU')
('AC22517-2022-11-02-6981','A388-15','QVrjYwk', 'UB')
('SL12058-2022-11-01-6864','S286-24','HU', 'SU')
('AC12058-2022-11-01-6850','A381-10','brmPumtdpc', 'UB')
('AC22517-2022-11-02-6984','A388-18','XjRZABvqth', 'SU')
('AC12058-2022-11-01-6851','A381-11','grazeMJanYp', 'SL')
('AC22517-2022-11-02-6985','A389-1','XrfunkqpytkklY', 'LB')
('SL22517-2022-11-02-7061','S295-5','jECyWPNGICx', 'MB')
('AC04652-2022-11-02-6993','A389-9','UkBR', 'UB')
('SL04652-2022-11-02-6859','S286-19','qYZnkXDvAnjIQgEs', 'UB')
('SL04652-2022-11-01-6986','S292-2','jQCyXWDqgN', 'MB')
('AC22517-2022-11-02-6989','A389-5','BKLpGOjuXkB', 'SL')
('SL04652-2022-11-02-6862','S286-22','zD', 'UB')
('SL22517-2022-11-01-6918','S289-6','jT', 'UB')
('AC04652-2022-11-01-6939','A386-9','jukFVRrd', 'UB')
('AC12058-2022-11-01-6852','A381-12','FE', 'SU')
('AC22517-2022-11-02-6992','A389-8','kSxAkOWEYB', 'LB')
('SL22517-2022-11-02-7063','S295-7','aTBpJDAVZMw', 'SL')
('AC04652-2022-11-02-6998','A389-14','zgGVCrfNzGcS', 'LB')
('SL04652-2022-11-01-6988','S292-4','sgA', 'LB')
('AC04652-2022-11-02-7000','A389-16','ZvYFfMeZXZN', 'UB')
('AC12058-2022-11-01-6855','A381-15','yrmjAOxrWreCsL', 'UB')
('AC04652-2022-11-01-6942','A386-12','SALQVOZjzFL', 'SU')
('SL22517-2022-11-01-6922','S289-10','TzHZyhEPTN', 'MB')
('SL04652-2022-11-02-6865','S287-1','B', 'LB')
('AC22517-2022-11-02-6995','A389-11','eBlPMoIrDMOa', 'SL')
('AC04652-2022-11-01-6943','A386-13','UTNDA', 'LB')
('SL22517-2022-11-02-7069','S295-13','zzUNbEL', 'MB')
('SL04652-2022-11-01-6990','S292-6','oddhqwGfurgXyi', 'UB')
('SL04652-2022-11-02-6868','S287-4','SkuhvTypvggFrX', 'LB')
('AC04652-2022-11-02-7005','A390-3','EkdKOs', 'UB')
('AC22517-2022-11-01-6885','A383-9','CLaNIYu', 'UB')
('AC12058-2022-11-01-6860','A382-2','pqyqrYkax', 'LB')
('SL04652-2022-11-02-6869','S287-5','BSlBIEoNvG', 'MB')
('AC04652-2022-11-02-7014','A390-12','NKtrSyL', 'SU')
('SL04652-2022-11-02-6872','S287-8','lHHAHRQQQIwFAxzB', 'SU')
('SL04652-2022-11-01-6998','S292-14','WSqWEKBiGcSIhk', 'UB')
('SL04652-2022-11-02-6873','S287-9','IbwHP', 'LB')
('SL04652-2022-11-01-7001','S292-17','vrLfWnHoagaVtl', 'LB')
('AC12058-2022-11-01-6864','A382-6','XFs', 'SU')
('AC12058-2022-11-01-6865','A382-7','UxKhHxPiJFdN', 'LB')
('SL22517-2022-11-01-6929','S289-17','QdrxRM', 'LB')
('SL22517-2022-11-01-6930','S289-18','su', 'MB')
('SL22517-2022-11-02-7073','S295-17','ZvUqOYnAfa', 'LB')
('AC12058-2022-11-01-6868','A382-10','aOCXDjHCoNnghQ', 'UB')
('AC22517-2022-11-02-7004','A390-2','QKPfwj', 'LB')
('AC22517-2022-11-02-7008','A390-6','uRHV', 'SU')
('AC12058-2022-11-01-6869','A382-11','I', 'SL')
('SL04652-2022-11-02-6876','S287-12','FvGijjYF', 'LB')
('AC04652-2022-11-01-6958','A387-10','zsPwGnmmt', 'UB')
('AC04652-2022-11-01-6959','A387-11','GpoeyIGeNi', 'SL')
('SL22517-2022-11-01-6932','S289-20','fQ', 'LB')
('AC04652-2022-11-02-7024','A391-4','UIb', 'UB')
('SL04652-2022-11-01-7009','S293-1','NGERzLiLsAKbUYW', 'LB')
('AC22517-2022-11-01-6898','A384-4','EOTYJB', 'UB')
('AC12058-2022-11-01-6870','A382-12','guEyCuZFSp', 'SU')
('SL22517-2022-11-02-7077','S295-21','fCETHMBsXhTeq', 'MB')
('AC04652-2022-11-01-6961','A387-13','ZV', 'LB')
('SL04652-2022-11-01-7012','S293-4','aL', 'LB')
('SL04652-2022-11-02-6880','S287-16','LqVItXfmwcPGnMH', 'SU')
('SL22517-2022-11-01-6935','S289-23','hCkduTSBIScLR', 'SL')
('SL04652-2022-11-01-7015','S293-7','ZgWdUUvG', 'SL')
('AC22517-2022-11-02-7012','A390-10','PspDVfXAoENf', 'UB')
('AC04652-2022-11-01-6966','A387-18','f', 'SU')
('AC12058-2022-11-01-6874','A382-16','joTbYqDctHVJ', 'UB')
('SL04652-2022-11-01-7018','S293-10','oDTVNmoybpgXQ', 'MB')
('AC04652-2022-11-01-6969','A388-3','ptAxWFlRmKuuY', 'UB')
('SL12058-2022-11-01-6884','S287-20','iJBmIJfPUwJg', 'LB')
('AC22517-2022-11-01-6907','A384-13','LqLjGbIsULvTp', 'LB')
('AC04652-2022-11-02-7032','A391-12','lYjnkcsYSQD', 'SU')
('SL22517-2022-11-01-6941','S290-5','GsAMbgETjd', 'MB')
('AC04652-2022-11-01-6973','A388-7','AyORmQvpmNa', 'LB')
('AC04652-2022-11-01-6974','A388-8','flVyOpHZn', 'LB')
('AC22517-2022-11-02-7017','A390-15','mkBVpnHPmZXrB', 'UB')
('AC04652-2022-11-01-6977','A388-11','jQyqUClobIvy', 'SL')
('AC22517-2022-11-02-7020','A390-18','otfAHVvFJy', 'SU')
('AC04652-2022-11-01-6978','A388-12','RWEvT', 'SU')
('SL22517-2022-11-02-7086','S296-6','GmNKgW', 'UB')
('SL04652-2022-11-02-6893','S288-5','eS', 'MB')
('SL04652-2022-11-01-7023','S293-15','mFDg', 'SL')
('AC04652-2022-11-02-7039','A392-1','Xa', 'LB')
('AC12058-2022-11-01-6881','A383-5','HWXLBPcnOYEy', 'SL')
('SL22517-2022-11-02-7090','S296-10','dOoGsO', 'MB')
('AC12058-2022-11-01-6883','A383-7','UywLEPoWZmgi', 'LB')
('SL04652-2022-11-01-7026','S293-18','qbgxUwsqMxVCxo', 'MB')
('AC04652-2022-11-01-6981','A388-15','VkmLIVcoJGBSq', 'UB')
('SL22517-2022-11-02-7092','S296-12','mVURpIWPpAwHo', 'LB')
('SL22517-2022-11-01-6951','S290-15','XNdRIVFLen', 'SL')
('SL12058-2022-11-01-6897','S288-9','bdQCRgoJRKak', 'LB')
('AC22517-2022-11-01-6917','A385-5','zOmEcF', 'SL')
('SL12058-2022-11-01-6898','S288-10','rSUpXUvTn', 'MB')
('AC04652-2022-11-01-6982','A388-16','oj', 'UB')
('AC04652-2022-11-02-7045','A392-7','QR', 'LB')
('AC22517-2022-11-01-6921','A385-9','k', 'UB')
('SL04652-2022-11-01-7030','S293-22','jqx', 'UB')
('AC22517-2022-11-02-7029','A391-9','VaY', 'UB')
('SL04652-2022-11-02-6907','S288-19','SLkdWRECuCnCnyc', 'UB')
('AC22517-2022-11-01-6925','A385-13','sjbJXAZeWsJU', 'LB')
('AC12058-2022-11-01-6891','A383-15','XsUvrdihhobU', 'UB')
('AC04652-2022-11-02-7052','A392-14','CiRlbmDP', 'LB')
('SL22517-2022-11-01-6962','S291-2','wgruVJKRAzCWim', 'MB')
('AC22517-2022-11-01-6926','A385-14','d', 'LB')
('AC04652-2022-11-01-6988','A389-4','XxPq', 'UB')
('AC22517-2022-11-02-7032','A391-12','hragBtvFXKPxMxG', 'SU')
('SL12058-2022-11-01-6907','S288-19','MXlFuiHN', 'UB')
('AC22517-2022-11-02-7035','A391-15','QGjF', 'UB')
('AC12058-2022-11-01-6894','A383-18','mJCndP', 'SU')
('AC22517-2022-11-01-6929','A385-17','bwRiHU', 'SL')
('SL22517-2022-11-01-6967','S291-7','HTUSuKFtwpeoMJU', 'SL')
('AC22517-2022-11-01-6931','A386-1','RxWPgK', 'LB')
('SL22517-2022-11-01-6968','S291-8','O', 'SU')
('SL04652-2022-11-02-6916','S289-4','mqnnFuOHcsdJe', 'LB')
('AC22517-2022-11-01-6933','A386-3','fsqBMr', 'UB')
('SL04652-2022-11-02-6917','S289-5','HI', 'MB')
('SL12058-2022-11-01-6915','S289-3','usXXhYUe', 'UB')
('AC04652-2022-11-01-6995','A389-11','PzIBHGBDbbVFI', 'SL')
('SL22517-2022-11-01-6972','S291-12','AMhdxDWvcA', 'LB')
('SL12058-2022-11-01-6918','S289-6','IGJXBrnXWy', 'UB')
('SL22517-2022-11-01-6973','S291-13','OYpKKpDRhFD', 'MB')
('AC22517-2022-11-02-7045','A392-7','ZNibIIcaqV', 'LB')
('SL22517-2022-11-01-6974','S291-14','UmwhkFPfKFXbcg', 'UB')
('AC04652-2022-11-01-6996','A389-12','xkH', 'SU')
('SL04652-2022-11-01-7040','S294-8','SXbzhWXAI', 'SU')
('SL04652-2022-11-02-6921','S289-9','xVTabFoSpYB', 'LB')
('AC22517-2022-11-01-6944','A386-14','pggS', 'LB')
('AC04652-2022-11-02-7063','A393-7','YtDLViSwD', 'LB')
('AC22517-2022-11-01-6946','A386-16','UEQfkvWBAIPPbxMn', 'UB')
('SL22517-2022-11-01-6980','S291-20','KKnobD', 'LB')
('AC22517-2022-11-02-7050','A392-12','bUdwTgP', 'SU')
('AC12058-2022-11-01-6903','A384-9','fB', 'UB')
('SL04652-2022-11-02-6924','S289-12','BppbD', 'LB')
('AC04652-2022-11-01-7002','A389-18','ziPlKaJiPtkKT', 'SU')
('AC22517-2022-11-02-7053','A392-15','QuPPqBzgeznVoU', 'UB')
('AC22517-2022-11-02-7054','A392-16','PAmKZmLZh', 'UB')
('AC22517-2022-11-02-7055','A392-17','EIoosJaVWGHO', 'SL')
('AC22517-2022-11-01-6949','A387-1','mhrEBFPcQUkGV', 'LB')
('SL22517-2022-11-02-7118','S297-14','zhyqXteSYVtmCq', 'UB')
('AC04652-2022-11-01-7004','A390-2','YvFzbqk', 'LB')
('SL04652-2022-11-01-7052','S294-20','HJjhzIO', 'LB')
('SL04652-2022-11-01-7053','S294-21','NEfeauQVsE', 'MB')
('AC22517-2022-11-01-6952','A387-4','PqXzDQzquKgwd', 'UB')
('AC04652-2022-11-02-7069','A393-13','CflKiqmQs', 'LB')
('AC22517-2022-11-01-6953','A387-5','XuQJbpjeG', 'SL')
('SL22517-2022-11-01-6986','S292-2','dkMAkehVADeIZsB', 'MB')
('SL22517-2022-11-02-7122','S297-18','IxcSoqlnRAtgG', 'MB')
('AC22517-2022-11-02-7060','A393-4','yYa', 'UB')
('SL04652-2022-11-02-6931','S289-19','kdXDEqZtpttb', 'UB')
('AC12058-2022-11-01-6911','A384-17','QiOuGdJVMoKnuxRh', 'SL')
('AC04652-2022-11-01-7008','A390-6','wlyxcDBekpccgt', 'SU')
('AC22517-2022-11-02-7064','A393-8','nU', 'LB')
('SL04652-2022-11-01-7055','S294-23','IHlyCSs', 'SL')
('AC22517-2022-11-01-6956','A387-8','YKnKnM', 'LB')
('SL12058-2022-11-01-6935','S289-23','qURVsrTDeHDvFfng', 'SL')
('SL22517-2022-11-02-7126','S297-22','hXYxdzLEXEPMRgqZ', 'UB')
('SL04652-2022-11-02-6937','S290-1','hInRfMwiDzIhUZ', 'LB')
('AC04652-2022-11-02-7077','A394-3','hxmSOIJDWVvOglUK', 'UB')
('AC22517-2022-11-01-6959','A387-11','O', 'SL')
('SL22517-2022-11-02-7130','S298-2','EbA', 'MB')
('SL22517-2022-11-01-6995','S292-11','gpGdtWQeGLjotf', 'UB')
('SL22517-2022-11-01-6996','S292-12','StIjuzeWq', 'LB')
('AC04652-2022-11-02-7080','A394-6','mb', 'SU')
('SL04652-2022-11-01-7064','S295-8','xnJAomwmt', 'SU')
('AC04652-2022-11-02-7081','A394-7','iysBn', 'LB')
('SL12058-2022-11-01-6942','S290-6','VnYKXshq', 'UB')
('SL22517-2022-11-01-7002','S292-18','oGHdsH', 'MB')
('AC22517-2022-11-02-7073','A393-17','ZrEBHHICpu', 'SL')
('SL04652-2022-11-01-7070','S295-14','And', 'UB')
('SL12058-2022-11-01-6946','S290-10','uaHFfh', 'MB')
('AC04652-2022-11-01-7014','A390-12','kzNmymI', 'SU')
('AC22517-2022-11-02-7076','A394-2','fRT', 'LB')
('AC04652-2022-11-02-7086','A394-12','er', 'SU')
('SL04652-2022-11-01-7074','S295-18','WjyWkrIqlkBY', 'MB')
('AC22517-2022-11-02-7077','A394-3','LJHdKGWmuneweC', 'UB')
('AC04652-2022-11-01-7017','A390-15','VBBNHZYuIRx', 'UB')
('AC12058-2022-11-01-6924','A385-12','jrZbzfNNYAEb', 'SU')
('SL22517-2022-11-01-7007','S292-23','jS', 'SL')
('SL04652-2022-11-01-7076','S295-20','KEpXXwOoYj', 'LB')
('SL22517-2022-11-01-7008','S292-24','DfYtDMNUOXJ', 'SU')
('SL22517-2022-11-02-7138','S298-10','SnzNlAQJqs', 'MB')
('AC22517-2022-11-02-7079','A394-5','KvurpcLxBaFxb', 'SL')
('AC04652-2022-11-02-7088','A394-14','crueYYi', 'LB')
('AC12058-2022-11-01-6928','A385-16','XzMJQBIUOcUgdf', 'UB')
('SL04652-2022-11-02-6954','S290-18','RJvQFjIzu', 'MB')
('AC22517-2022-11-02-7080','A394-6','gDS', 'SU')
('AC04652-2022-11-01-7022','A391-2','lxi', 'LB')
('SL12058-2022-11-01-6952','S290-16','cURMfacrsA', 'SU')
('SL12058-2022-11-01-6953','S290-17','twBGhXEIkBz', 'LB')
('AC22517-2022-11-02-7082','A394-8','JACHSNPE', 'LB')
('SL22517-2022-11-01-7010','S293-2','ipzZ', 'MB')
('SL22517-2022-11-02-7145','S298-17','LaoCi', 'LB')
('AC04652-2022-11-01-7024','A391-4','XFvywTSNZALxhur', 'UB')
('AC22517-2022-11-01-6976','A388-10','ADE', 'UB')
('SL22517-2022-11-01-7012','S293-4','hnME', 'LB')
('SL04652-2022-11-02-6960','S290-24','vphw', 'SU')
('SL04652-2022-11-01-7087','S296-7','oRV', 'SL')
('SL04652-2022-11-01-7091','S296-11','kjCoJbaoojXn', 'UB')
('AC22517-2022-11-01-6981','A388-15','huL', 'UB')
('AC22517-2022-11-02-7088','A394-14','WCPIysGErDsIZqwh', 'LB')
('SL12058-2022-11-01-6960','S290-24','QPOygNRfKl', 'SU')
('AC22517-2022-11-01-6982','A388-16','HtynaIQF', 'UB')
('AC22517-2022-11-01-6983','A388-17','nbKIFpyg', 'SL')
('SL04652-2022-11-02-6967','S291-7','hTOrZbQCGIUcv', 'SL')
('AC22517-2022-11-02-7089','A394-15','LNJdvdvu', 'UB')
('AC22517-2022-11-02-7090','A394-16','eAuSLYujsyeMgzTH', 'UB')
('SL12058-2022-11-01-6963','S291-3','SHHAvtyMjXJVmP', 'UB')
('AC22517-2022-11-01-6984','A388-18','sDcxJCCQLNkNwva', 'SU')
('SL12058-2022-11-01-6966','S291-6','loLcMBDUEMlNg', 'UB')
('AC22517-2022-11-01-6987','A389-3','gUVJqnMoyM', 'UB')
