('AC22517-2022-11-02-4216','A235-4','cTmBYlcAoxl', 'UB')
('AC22517-2022-11-02-4258','A237-10','sVrpeUmqkXaADnBm', 'UB')
('SL22517-2022-11-02-4250','S178-2','ESKVrWwXBxEeMBuE', 'MB')
('SL22517-2022-11-01-4167','S174-15','YpOSYGTJmKeiitg', 'SL')
('SL22517-2022-11-01-4168','S174-16','BDntqQDpakQ', 'SU')
('SL22517-2022-11-02-4252','S178-4','mcLQGrvkKCKeaDm', 'LB')
('SL04652-2022-11-01-4254','S178-6','MZ', 'UB')
('AC04652-2022-11-02-4233','A236-3','OrtxHOWiVljj', 'UB')
('SL22517-2022-11-02-4254','S178-6','uZuXxQiBsEivXOL', 'UB')
('AC22517-2022-11-01-4186','A233-10','xIZmo', 'UB')
('SL04652-2022-11-02-4096','S171-16','ehi', 'SU')
('SL04652-2022-11-02-4097','S171-17','OYVY', 'LB')
('SL22517-2022-11-01-4170','S174-18','Dxyz', 'MB')
('AC22517-2022-11-02-4263','A237-15','TPWXVTElkBvhEla', 'UB')
('AC12058-2022-11-01-4187','A233-11','SKrwbFYhXPEFZU', 'SL')
('AC12058-2022-11-01-4188','A233-12','a', 'SU')
('SL12058-2022-11-01-4169','S174-17','xXuhYWZCKD', 'LB')
('AC04652-2022-11-02-4236','A236-6','GzCQoOJesRXrU', 'SU')
('SL22517-2022-11-01-4174','S174-22','zvyskpfZXKu', 'UB')
('AC22517-2022-11-01-4193','A233-17','GDSWuCS', 'SL')
('AC04652-2022-11-02-4237','A236-7','TBRhQEsH', 'LB')
('AC22517-2022-11-01-4194','A233-18','JefDXOPY', 'SU')
('SL12058-2022-11-01-4173','S174-21','rnKDufIIIR', 'MB')
('AC22517-2022-11-02-4267','A238-1','XCpYulsMQzsbsYWs', 'LB')
('AC04652-2022-11-02-4240','A236-10','FpGkXwClMxaeP', 'UB')
('AC22517-2022-11-02-4268','A238-2','yZvTLZePpIveaxf', 'LB')
('SL12058-2022-11-01-4175','S174-23','LtBeJazLRePBglX', 'SL')
('AC04652-2022-11-02-4243','A236-13','tciPykGVWb', 'LB')
('SL12058-2022-11-01-4176','S174-24','GBxAnvPSqTSvcEO', 'SU')
('SL04652-2022-11-01-4264','S178-16','hTPZcSWBnR', 'SU')
('SL04652-2022-11-01-4265','S178-17','jLXJahinylBCHYLj', 'LB')
('AC04652-2022-11-02-4246','A236-16','oa', 'UB')
('AC22517-2022-11-02-4272','A238-6','AsVlQrnkuG', 'SU')
('SL22517-2022-11-01-4177','S175-1','QCQ', 'LB')
('SL22517-2022-11-01-4178','S175-2','KqmMQ', 'MB')
('AC12058-2022-11-01-4195','A234-1','zcohuSljKbEVPam', 'LB')
('AC12058-2022-11-01-4196','A234-2','bqJscdp', 'LB')
('SL04652-2022-11-02-4106','S172-2','qVNwUaLFrIrLz', 'MB')
('SL04652-2022-11-02-4107','S172-3','F', 'UB')
('AC04652-2022-11-01-4194','A233-18','UChnRBjpHnyWI', 'SU')
('SL22517-2022-11-01-4180','S175-4','ceoXXv', 'LB')
('SL04652-2022-11-02-4108','S172-4','QxENMD', 'LB')
('SL04652-2022-11-01-4269','S178-21','jaUXPTAWLB', 'MB')
('SL04652-2022-11-02-4109','S172-5','GAI', 'MB')
('AC22517-2022-11-01-4201','A234-7','oJV', 'LB')
('SL04652-2022-11-02-4111','S172-7','gf', 'SL')
('AC04652-2022-11-02-4259','A237-11','SRZFuh', 'SL')
('SL04652-2022-11-01-4273','S179-1','c', 'LB')
('AC04652-2022-11-02-4261','A237-13','hmBunklvMxRhritJ', 'LB')
('AC22517-2022-11-01-4207','A234-13','sCk', 'LB')
('AC04652-2022-11-02-4263','A237-15','XBFess', 'UB')
('SL22517-2022-11-01-4182','S175-6','HrQRbd', 'UB')
('AC22517-2022-11-02-4281','A238-15','lNT', 'UB')
('AC04652-2022-11-01-4201','A234-7','XoiCUjQvrDEg', 'LB')
('SL04652-2022-11-01-4275','S179-3','bBcOHnUk', 'UB')
('SL12058-2022-11-01-4185','S175-9','yocgbJlbPuv', 'LB')
('SL04652-2022-11-01-4276','S179-4','aR', 'LB')
('SL22517-2022-11-02-4275','S179-3','vKmOXEUhMqN', 'UB')
('SL04652-2022-11-01-4278','S179-6','bfaIRZF', 'UB')
('AC04652-2022-11-02-4268','A238-2','pdhytioLIWE', 'LB')
('SL22517-2022-11-01-4184','S175-8','Ez', 'SU')
('SL22517-2022-11-01-4185','S175-9','LPdIpVzQfM', 'LB')
('SL12058-2022-11-01-4187','S175-11','mLPnKsNnqiE', 'UB')
('AC22517-2022-11-02-4289','A239-5','FbzdHRXXxm', 'SL')
('AC12058-2022-11-01-4209','A234-15','xnxCZPKaKPAGj', 'UB')
('SL22517-2022-11-02-4284','S179-12','vfmHsPRGE', 'LB')
('SL04652-2022-11-02-4129','S173-1','aF', 'LB')
('SL04652-2022-11-01-4285','S179-13','MiQMjBfOFrdI', 'MB')
('AC22517-2022-11-01-4215','A235-3','xopzSTZjXug', 'UB')
('SL04652-2022-11-02-4131','S173-3','LVLJgaac', 'UB')
('AC04652-2022-11-02-4270','A238-4','WJMLLb', 'UB')
('SL04652-2022-11-01-4287','S179-15','q', 'SL')
('SL22517-2022-11-02-4288','S179-16','XIoPYAEz', 'SU')
('AC04652-2022-11-01-4209','A234-15','TkaGkftscniWt', 'UB')
('AC04652-2022-11-02-4273','A238-7','aIrt', 'LB')
('AC12058-2022-11-01-4212','A234-18','gZsdQXYg', 'SU')
('AC04652-2022-11-02-4274','A238-8','TijZzHKvZ', 'LB')
('SL22517-2022-11-01-4196','S175-20','jTibuKOig', 'LB')
('AC12058-2022-11-01-4213','A235-1','IjEKvXs', 'LB')
('AC22517-2022-11-01-4217','A235-5','KOyuQu', 'SL')
('AC04652-2022-11-01-4212','A234-18','xQOR', 'SU')
('AC04652-2022-11-02-4282','A238-16','JKEeepnSFu', 'UB')
('SL12058-2022-11-01-4198','S175-22','NFcvwKyDjnd', 'UB')
('SL12058-2022-11-01-4199','S175-23','QMi', 'SL')
('SL22517-2022-11-01-4202','S176-2','dKbWTGRJcnv', 'MB')
('AC22517-2022-11-01-4221','A235-9','HjhyNgplFP', 'UB')
('AC04652-2022-11-02-4285','A239-1','GmRnguzWj', 'LB')
('AC22517-2022-11-02-4305','A240-3','TtUVOQ', 'UB')
('AC22517-2022-11-02-4306','A240-4','xgBYiuPT', 'UB')
('SL12058-2022-11-01-4200','S175-24','KpOYaXdbCdO', 'SU')
('AC22517-2022-11-02-4308','A240-6','OnnnMtLfykGNz', 'SU')
('SL04652-2022-11-01-4301','S180-5','lGXPfrFvS', 'MB')
('AC22517-2022-11-01-4225','A235-13','mXBUBhZO', 'LB')
('SL04652-2022-11-02-4144','S173-16','KDcoSD', 'SU')
('AC04652-2022-11-01-4220','A235-8','rMoWwF', 'LB')
('AC22517-2022-11-01-4227','A235-15','iOuaffdFYZCZEV', 'UB')
('SL04652-2022-11-01-4304','S180-8','HLgVliNeUyAapaC', 'SU')
('SL12058-2022-11-01-4205','S176-5','J', 'MB')
('AC22517-2022-11-02-4310','A240-8','VmvxnCBccY', 'LB')
('AC22517-2022-11-02-4312','A240-10','olLJbVZ', 'UB')
('AC22517-2022-11-01-4232','A236-2','QmaSrtmTdjUfZ', 'LB')
('SL04652-2022-11-01-4309','S180-13','rXqosaBlzcyD', 'MB')
('SL22517-2022-11-02-4306','S180-10','XCqWyDiqVS', 'MB')
('AC22517-2022-11-02-4315','A240-13','OqqZBMboFp', 'LB')
('SL22517-2022-11-02-4308','S180-12','NErBmnDFSmiXHLH', 'LB')
('AC22517-2022-11-02-4316','A240-14','Wslsk', 'LB')
('AC12058-2022-11-01-4227','A235-15','SEC', 'UB')
('SL04652-2022-11-02-4149','S173-21','SL', 'MB')
('AC12058-2022-11-01-4228','A235-16','dGlVHoX', 'UB')
('AC22517-2022-11-02-4318','A240-16','EcEGJz', 'UB')
('SL22517-2022-11-01-4213','S176-13','cxx', 'MB')
('SL04652-2022-11-01-4314','S180-18','bkVWMN', 'MB')
('AC12058-2022-11-01-4231','A236-1','KCfyIlZeALzBLEWX', 'LB')
('AC22517-2022-11-01-4239','A236-9','JziXEO', 'UB')
('AC22517-2022-11-02-4319','A240-17','tnBjNnMLQ', 'SL')
('SL04652-2022-11-01-4317','S180-21','wQn', 'MB')
('AC04652-2022-11-01-4230','A235-18','OqzrambcqpUuuh', 'SU')
('SL22517-2022-11-02-4314','S180-18','KNXCZAEofrZBtCZ', 'MB')
('SL22517-2022-11-01-4222','S176-22','XlvbMNmMGlZMdST', 'UB')
('SL22517-2022-11-02-4319','S180-23','dZxTDmcAMpYiRPn', 'SL')
('AC22517-2022-11-01-4247','A236-17','SsgSkbFIZMOFWL', 'SL')
('AC22517-2022-11-01-4248','A236-18','iDB', 'SU')
('AC04652-2022-11-02-4305','A240-3','GujnnacK', 'UB')
('AC22517-2022-11-02-4324','A241-4','DRPtm', 'UB')
('SL04652-2022-11-01-4319','S180-23','bHQKjwzCigQCyE', 'SL')
('AC04652-2022-11-01-4232','A236-2','FvpuoKo', 'LB')
('SL22517-2022-11-01-4227','S177-3','aIoUuIoyTngBfa', 'UB')
('AC22517-2022-11-01-4252','A237-4','bMuDdQuJn', 'UB')
('SL04652-2022-11-01-4323','S181-3','JVCujkGHBroeuZ', 'UB')
('AC12058-2022-11-01-4238','A236-8','lLESulDALsLTg', 'LB')
('SL22517-2022-11-01-4230','S177-6','UVPQerbHESx', 'UB')
('SL22517-2022-11-01-4231','S177-7','e', 'SL')
('SL12058-2022-11-01-4225','S177-1','GQMQqeESQRc', 'LB')
('SL22517-2022-11-02-4327','S181-7','GprXzOjaMtT', 'SL')
('SL04652-2022-11-01-4329','S181-9','OXpJEtiHdF', 'LB')
('SL04652-2022-11-01-4330','S181-10','yM', 'MB')
('SL12058-2022-11-01-4229','S177-5','hwUGmKEsCcy', 'MB')
('AC22517-2022-11-02-4330','A241-10','XMXtJLhFJodjZ', 'UB')
('AC04652-2022-11-01-4239','A236-9','koNBYA', 'UB')
('SL04652-2022-11-02-4164','S174-12','JPdNXXybLVH', 'LB')
('SL22517-2022-11-01-4235','S177-11','IpGDJcJCT', 'UB')
('AC22517-2022-11-02-4332','A241-12','BAONUs', 'SU')
('AC22517-2022-11-01-4264','A237-16','xXYJqawUUlfqE', 'UB')
('SL12058-2022-11-01-4232','S177-8','CHlbUvgOIwqqamO', 'SU')
('AC22517-2022-11-02-4333','A241-13','NLBzAsjrMpYpt', 'LB')
('AC04652-2022-11-01-4244','A236-14','zh', 'LB')
('AC22517-2022-11-01-4269','A238-3','Kzdm', 'UB')
('AC04652-2022-11-01-4246','A236-16','oXm', 'UB')
('SL22517-2022-11-02-4338','S181-18','fYczU', 'MB')
('AC04652-2022-11-01-4247','A236-17','C', 'SL')
('AC22517-2022-11-01-4271','A238-5','chvuFROrRk', 'SL')
('SL22517-2022-11-02-4339','S181-19','oYqPRVMpPDYyw', 'UB')
('AC22517-2022-11-01-4273','A238-7','gPHQznNAxbnzcpj', 'LB')
('AC04652-2022-11-02-4319','A240-17','DKvQoxp', 'SL')
('SL12058-2022-11-01-4235','S177-11','EhfR', 'UB')
('AC22517-2022-11-01-4276','A238-10','lEBIgZtAEGUpuM', 'UB')
('AC04652-2022-11-01-4251','A237-3','dYhqgB', 'UB')
('AC04652-2022-11-02-4321','A241-1','UwYZ', 'LB')
('SL04652-2022-11-01-4345','S182-1','avWZW', 'LB')
('SL22517-2022-11-02-4343','S181-23','jBJhZ', 'SL')
('SL12058-2022-11-01-4237','S177-13','rAhLz', 'MB')
('AC04652-2022-11-01-4254','A237-6','yeuWZpmaVHSSDyr', 'SU')
('AC22517-2022-11-02-4341','A242-3','OiTKPO', 'UB')
('SL04652-2022-11-01-4348','S182-4','PIUbsYi', 'LB')
('SL22517-2022-11-02-4345','S182-1','k', 'LB')
('AC04652-2022-11-01-4258','A237-10','PvWfbzD', 'UB')
('AC12058-2022-11-01-4256','A237-8','Q', 'LB')
('SL04652-2022-11-02-4176','S174-24','FKCOjNagIhrdPh', 'SU')
('AC22517-2022-11-02-4345','A242-7','D', 'LB')
('AC22517-2022-11-01-4280','A238-14','GOUgibfeLeWFDY', 'LB')
('SL12058-2022-11-01-4239','S177-15','arAI', 'SL')
('AC04652-2022-11-02-4325','A241-5','GxPQAEqsH', 'SL')
('AC04652-2022-11-01-4259','A237-11','sBwGWiJTpSzyO', 'SL')
('AC12058-2022-11-01-4259','A237-11','J', 'SL')
('SL04652-2022-11-01-4350','S182-6','WJCHOHllF', 'UB')
('SL22517-2022-11-02-4349','S182-5','aUnZThLMpnrb', 'MB')
('SL22517-2022-11-01-4254','S178-6','BltuNabLSUDS', 'UB')
('AC04652-2022-11-01-4261','A237-13','FKEBpz', 'LB')
('SL04652-2022-11-01-4353','S182-9','CSPsQX', 'LB')
('SL22517-2022-11-02-4350','S182-6','bp', 'UB')
('AC04652-2022-11-01-4263','A237-15','fSGBy', 'UB')
('AC12058-2022-11-01-4263','A237-15','ztzZLCiGEIawZHUG', 'UB')
('AC04652-2022-11-02-4332','A241-12','mnSBiUBu', 'SU')
('SL22517-2022-11-02-4351','S182-7','AtQTlrtVYnQWQg', 'SL')
('AC22517-2022-11-02-4353','A242-15','fHxupZnMvY', 'UB')
('AC22517-2022-11-02-4357','A243-1','smzMudUEhShq', 'LB')
('AC12058-2022-11-01-4267','A238-1','RKZpoKnOzKcnVPjl', 'LB')
('AC22517-2022-11-02-4358','A243-2','zsvJCWsQKuaUpr', 'LB')
('SL04652-2022-11-01-4358','S182-14','WFqTvaz', 'UB')
('AC04652-2022-11-01-4269','A238-3','F', 'UB')
('SL04652-2022-11-02-4185','S175-9','cts', 'LB')
('AC04652-2022-11-02-4337','A241-17','i', 'SL')
('AC12058-2022-11-01-4268','A238-2','uoompsAZWlgGDH', 'LB')
('SL22517-2022-11-02-4353','S182-9','GueR', 'LB')
('AC22517-2022-11-02-4363','A243-7','EOmurHlvmgZ', 'LB')
('SL12058-2022-11-01-4252','S178-4','cPAIoIxgX', 'LB')
('SL22517-2022-11-02-4354','S182-10','krDWp', 'MB')
('SL22517-2022-11-01-4265','S178-17','ydIjmOekOdp', 'LB')
('SL22517-2022-11-02-4355','S182-11','UhaSZySrPHq', 'UB')
('SL22517-2022-11-01-4266','S178-18','Q', 'MB')
('AC12058-2022-11-01-4271','A238-5','JgWhDLSxhyHmEbyG', 'SL')
('AC22517-2022-11-02-4367','A243-11','kOzKdQXKWA', 'SL')
('AC04652-2022-11-02-4340','A242-2','mzAnMH', 'LB')
('AC04652-2022-11-01-4274','A238-8','cxqHMuQZHOtMKu', 'LB')
('AC04652-2022-11-01-4275','A238-9','MFixV', 'UB')
('SL22517-2022-11-02-4359','S182-15','gbQdFDjBjvKyhrg', 'SL')
('AC04652-2022-11-01-4277','A238-11','TVVRbq', 'SL')
('SL04652-2022-11-02-4192','S175-16','RaXztW', 'SU')
('AC12058-2022-11-01-4274','A238-8','xptsdQBV', 'LB')
('AC22517-2022-11-01-4298','A239-14','QeopEfXD', 'LB')
('AC04652-2022-11-02-4341','A242-3','SqAnRzsjZxzd', 'UB')
('AC04652-2022-11-02-4342','A242-4','dkcjnzOf', 'UB')
('AC04652-2022-11-02-4343','A242-5','kQGZVtbvSGAsO', 'SL')
('SL22517-2022-11-02-4362','S182-18','rJOzoWWKtzYpX', 'MB')
('AC22517-2022-11-02-4372','A243-16','lJcxVZLjFpNp', 'UB')
('SL04652-2022-11-01-4368','S182-24','uKjHoysP', 'SU')
('AC22517-2022-11-02-4374','A243-18','de', 'SU')
('AC12058-2022-11-01-4279','A238-13','GtUycCOZYITI', 'LB')
('AC22517-2022-11-02-4377','A244-3','dgEVcInUGAPKvP', 'UB')
('AC12058-2022-11-01-4281','A238-15','uilkvnfSVGw', 'UB')
('AC22517-2022-11-02-4378','A244-4','lMIjXjPGLnz', 'UB')
('AC04652-2022-11-02-4348','A242-10','wITT', 'UB')
('SL22517-2022-11-01-4272','S178-24','VJpdSJnqu', 'SU')
('AC22517-2022-11-02-4379','A244-5','qT', 'SL')
('SL04652-2022-11-02-4197','S175-21','ZzXYYpRxMBST', 'MB')
('AC22517-2022-11-02-4380','A244-6','BVoKqFJgHZQI', 'SU')
('AC22517-2022-11-02-4381','A244-7','YpZeFZCaLoAr', 'LB')
('AC22517-2022-11-01-4308','A240-6','tao', 'SU')
('SL04652-2022-11-01-4374','S183-6','UiMdNZNBMkaNmEfj', 'UB')
('SL22517-2022-11-01-4278','S179-6','QHTcGWiNHtEmrGF', 'UB')
('AC04652-2022-11-01-4288','A239-4','JCBBRUMVtlI', 'UB')
('SL22517-2022-11-01-4282','S179-10','brkzQqdGsDWskU', 'MB')
('AC12058-2022-11-01-4286','A239-2','TgOzaTwEBptiNaG', 'LB')
('SL04652-2022-11-02-4203','S176-3','XDX', 'UB')
('SL22517-2022-11-02-4369','S183-1','ruHxJaPQVXuDu', 'LB')
('SL04652-2022-11-02-4206','S176-6','bd', 'UB')
('AC04652-2022-11-02-4357','A243-1','TJYqJRHSqbCihkNl', 'LB')
('SL12058-2022-11-01-4271','S178-23','KrxNaBV', 'SL')
('SL04652-2022-11-01-4381','S183-13','jZIybOxC', 'MB')
('AC22517-2022-11-01-4315','A240-13','MdRodKnMKpmvLp', 'LB')
('AC04652-2022-11-01-4294','A239-10','xZOsFrSoG', 'UB')
('AC04652-2022-11-01-4295','A239-11','FfGENxq', 'SL')
('SL22517-2022-11-02-4371','S183-3','PQ', 'UB')
('SL22517-2022-11-02-4372','S183-4','KbDXQe', 'LB')
('AC04652-2022-11-01-4297','A239-13','pFzXqwpEiAIiPozz', 'LB')
('AC22517-2022-11-02-4392','A244-18','kiatoJSsMzV', 'SU')
('SL04652-2022-11-02-4212','S176-12','KMWyFguP', 'LB')
('SL22517-2022-11-02-4374','S183-6','uqfFoHndNbRO', 'UB')
('AC22517-2022-11-01-4317','A240-15','rZNezffaH', 'UB')
('AC22517-2022-11-01-4318','A240-16','Jls', 'UB')
('SL22517-2022-11-02-4375','S183-7','YCphkdEBaaP', 'SL')
('SL22517-2022-11-01-4292','S179-20','eEpTonKasOUT', 'LB')
('AC12058-2022-11-01-4295','A239-11','smZpRw', 'SL')
('SL12058-2022-11-01-4278','S179-6','ofVPrjlbT', 'UB')
('SL04652-2022-11-02-4220','S176-20','WWTqZjiqek', 'LB')
('SL12058-2022-11-01-4280','S179-8','tMeQOKgSwzQ', 'SU')
('AC22517-2022-11-01-4324','A241-4','SiLfVnqJ', 'UB')
('SL22517-2022-11-02-4378','S183-10','PQwUJVyTWqzifW', 'MB')
('AC04652-2022-11-01-4303','A240-1','GgTtQviGV', 'LB')
('AC12058-2022-11-01-4298','A239-14','pcV', 'LB')
('SL04652-2022-11-01-4388','S183-20','bLPxH', 'LB')
('SL04652-2022-11-01-4389','S183-21','uWdPjKMmXLhC', 'MB')
('AC22517-2022-11-02-4403','A245-11','UJBfgCyzfJXhp', 'SL')
('AC04652-2022-11-01-4307','A240-5','YYeIsnhnI', 'SL')
('AC04652-2022-11-01-4308','A240-6','mfQbGyEBoq', 'SU')
('SL12058-2022-11-01-4285','S179-13','Mfp', 'MB')
('SL22517-2022-11-02-4382','S183-14','j', 'UB')
('AC04652-2022-11-02-4370','A243-14','ctcMMQK', 'LB')
('SL12058-2022-11-01-4288','S179-16','jEfuv', 'SU')
('AC22517-2022-11-02-4406','A245-14','WPTmyyMIpt', 'LB')
('AC04652-2022-11-01-4310','A240-8','xLLoLinPfsADPZJ', 'LB')
('SL12058-2022-11-01-4290','S179-18','xRFx', 'MB')
('AC12058-2022-11-01-4299','A239-15','RhSvdRF', 'UB')
('SL04652-2022-11-01-4394','S184-2','ndsFbYENv', 'MB')
('SL04652-2022-11-02-4229','S177-5','BkjxegBaieOYaLv', 'MB')
('AC04652-2022-11-01-4311','A240-9','azstVY', 'UB')
('SL22517-2022-11-01-4303','S180-7','DcIvZ', 'SL')
('SL22517-2022-11-01-4304','S180-8','HFQdwtojG', 'SU')
('SL04652-2022-11-01-4401','S184-9','GKQtWtbdS', 'LB')
('SL22517-2022-11-02-4389','S183-21','xjxTw', 'MB')
('AC12058-2022-11-01-4302','A239-18','msgvfkf', 'SU')
('AC12058-2022-11-01-4303','A240-1','yrHWdBqXaUPaE', 'LB')
('AC22517-2022-11-02-4413','A246-3','nYuwz', 'UB')
('AC04652-2022-11-01-4317','A240-15','ecDBEWnGeNwYLD', 'UB')
('SL04652-2022-11-01-4403','S184-11','XSgAJiVXsOSl', 'UB')
('SL04652-2022-11-01-4406','S184-14','aIwYJthUuQtceeYg', 'UB')
('AC04652-2022-11-02-4376','A244-2','TrlrBfPl', 'LB')
('AC04652-2022-11-01-4319','A240-17','MjDgVrGiOfKTdauR', 'SL')
('SL22517-2022-11-02-4391','S183-23','lwdm', 'SL')
('SL04652-2022-11-01-4407','S184-15','VIefGMRKFjtQl', 'SL')
('SL22517-2022-11-02-4392','S183-24','Ixnj', 'SU')
('SL04652-2022-11-02-4239','S177-15','oaAtPBqgIgWQ', 'SL')
('SL04652-2022-11-02-4240','S177-16','Hi', 'SU')
('SL22517-2022-11-02-4394','S184-2','KDVHjWTiEfVFWTS', 'MB')
('SL04652-2022-11-02-4241','S177-17','KBZDTglXsVbykL', 'LB')
('SL04652-2022-11-01-4409','S184-17','pyKO', 'LB')
('AC04652-2022-11-02-4380','A244-6','FP', 'SU')
('AC12058-2022-11-01-4316','A240-14','m', 'LB')
('SL04652-2022-11-01-4410','S184-18','jCkiJAA', 'MB')
('AC12058-2022-11-01-4317','A240-15','p', 'UB')
('SL22517-2022-11-02-4398','S184-6','ZeykCGhpflIJY', 'UB')
('AC12058-2022-11-01-4318','A240-16','SWbqPoaDpPI', 'UB')
('AC22517-2022-11-01-4338','A241-18','Wvp', 'SU')
('SL12058-2022-11-01-4297','S180-1','lJPPNwgAfxyrW', 'LB')
('SL12058-2022-11-01-4298','S180-2','NbfvceVnTuaNQ', 'MB')
('SL04652-2022-11-01-4412','S184-20','DnQBqiMprLNjtXZ', 'LB')
('AC04652-2022-11-01-4324','A241-4','Qy', 'UB')
