('SL12058-2022-11-01-4988','S208-20','ZyEnunWOI', 'LB')
('AC12058-2022-11-01-5348','A298-2','tBrbwNUSbVFWgGg', 'LB')
('SL04652-2022-11-02-5324','S222-20','Cdwifju', 'LB')
('AC04652-2022-11-01-5583','A311-3','cFXziIzFTWaR', 'UB')
('AC22517-2022-11-01-5373','A299-9','dREHe', 'UB')
('SL04652-2022-11-02-5327','S222-23','YtINhZNylcrbgmV', 'SL')
('AC22517-2022-11-01-5379','A299-15','aDMD', 'UB')
('AC12058-2022-11-01-5361','A298-15','IdjpMFp', 'UB')
('AC22517-2022-11-01-5384','A300-2','ThDKXdRgSo', 'LB')
('AC22517-2022-11-01-5385','A300-3','OoUv', 'UB')
('AC04652-2022-11-02-5421','A302-3','ySSUQzx', 'UB')
('AC22517-2022-11-02-5421','A302-3','CNM', 'UB')
('SL22517-2022-11-02-5312','S222-8','ovLNUJjmfi', 'SU')
('SL04652-2022-11-02-5346','S223-18','KkyPAy', 'MB')
('AC04652-2022-11-01-5614','A312-16','oJRUlVpaB', 'UB')
('SL12058-2022-11-01-5268','S220-12','bVBV', 'LB')
('SL04652-2022-11-02-5352','S223-24','NorfllwPn', 'SU')
('AC04652-2022-11-02-5443','A303-7','zAfeppMvfetqwj', 'LB')
('AC04652-2022-11-01-5621','A313-5','ydYJE', 'SL')
('AC04652-2022-11-01-5625','A313-9','ttCOCUDqqsZJ', 'UB')
('AC22517-2022-11-02-5444','A303-8','PuL', 'LB')
('AC04652-2022-11-02-5449','A303-13','f', 'LB')
('AC04652-2022-11-01-5634','A313-18','gWgS', 'SU')
('AC04652-2022-11-02-5452','A303-16','fcvcmZwTm', 'UB')
('SL12058-2022-11-01-5287','S221-7','emuFFcGj', 'SL')
('SL04652-2022-11-02-5395','S225-19','RYWTYnF', 'UB')
('SL22517-2022-11-02-5369','S224-17','yRXnLDQFfwJYiTZx', 'LB')
('SL12058-2022-11-01-5310','S222-6','izijODbzdczeUgxy', 'UB')
('SL22517-2022-11-02-5379','S225-3','FnLHIshcNCZyN', 'UB')
('AC12058-2022-11-01-5447','A303-11','zAt', 'SL')
('AC12058-2022-11-01-5454','A303-18','XfkCcllE', 'SU')
('SL12058-2022-11-01-5326','S222-22','kzyGeBNrWTuqLl', 'UB')
('AC22517-2022-11-01-5483','A305-11','byFfmDvstxyMBvD', 'SL')
('AC04652-2022-11-02-5505','A306-15','CDQmDgXbvldeD', 'UB')
('AC12058-2022-11-01-5462','A304-8','TRbPTZEp', 'LB')
('AC04652-2022-11-02-5507','A306-17','OXI', 'SL')
('SL22517-2022-11-02-5421','S226-21','iAHEIRe', 'MB')
('SL04652-2022-11-02-5456','S228-8','CskwKtj', 'SU')
('AC04652-2022-11-02-5554','A309-10','IcrO', 'UB')
('SL22517-2022-11-02-5447','S227-23','CcAjb', 'SL')
('AC04652-2022-11-01-5755','A320-13','vSxo', 'LB')
('AC22517-2022-11-01-5580','A310-18','xFd', 'SU')
('AC22517-2022-11-02-5608','A312-10','WYmyAKPBIVrIyBPY', 'UB')
('AC22517-2022-11-01-5592','A311-12','ihIvjcsyiOPj', 'SU')
('SL22517-2022-11-02-5511','S230-15','HvUj', 'SL')
('AC04652-2022-11-02-5636','A314-2','YoOfZIpQjYoqwIi', 'LB')
('AC22517-2022-11-02-5620','A313-4','iRygu', 'UB')
('SL04652-2022-11-01-5493','S229-21','cxLTGFnREgvEZNA', 'MB')
('SL22517-2022-11-02-5515','S230-19','zdTVrFV', 'UB')
('SL22517-2022-11-01-5481','S229-9','YHUbR', 'LB')
('AC04652-2022-11-01-5824','A324-10','qX', 'UB')
('SL22517-2022-11-01-5484','S229-12','C', 'LB')
('SL22517-2022-11-01-5485','S229-13','NGzQ', 'MB')
('AC12058-2022-11-01-5616','A312-18','zaPgcbtL', 'SU')
('SL04652-2022-11-01-5524','S231-4','A', 'LB')
('AC22517-2022-11-01-5642','A314-8','CSruRHlfYOKFlmNV', 'LB')
('AC22517-2022-11-01-5643','A314-9','VeZGmg', 'UB')
('AC04652-2022-11-01-5846','A325-14','UFavIAShHJJjIs', 'LB')
('AC04652-2022-11-01-5847','A325-15','bNMGxOmChUtfNtv', 'UB')
('SL22517-2022-11-02-5557','S232-13','lVXERn', 'MB')
('SL12058-2022-11-01-5492','S229-20','PhemmwjnnjLdG', 'LB')
('AC22517-2022-11-02-5684','A316-14','nEfnoNNpirR', 'LB')
('SL22517-2022-11-01-5545','S232-1','aOvXDmRzN', 'LB')
('AC04652-2022-11-01-5913','A329-9','ZElZMxAaOFKi', 'UB')
('AC12058-2022-11-01-5706','A317-18','wmLvNwbnjBDAzjS', 'SU')
('AC04652-2022-11-02-5742','A319-18','eln', 'SU')
('AC04652-2022-11-01-5915','A329-11','HVb', 'SL')
('SL12058-2022-11-01-5558','S232-14','vrSAkUg', 'UB')
('SL04652-2022-11-02-5657','S236-17','DCJVcONuq', 'LB')
('AC04652-2022-11-02-5746','A320-4','ajpB', 'UB')
('AC22517-2022-11-01-5720','A318-14','h', 'LB')
('SL04652-2022-11-02-5658','S236-18','NwYojk', 'MB')
('AC22517-2022-11-01-5722','A318-16','QtaljzFgYzcoHcy', 'UB')
('SL12058-2022-11-01-5562','S232-18','PEPgBimvkYjFO', 'MB')
('SL04652-2022-11-01-5609','S234-17','VZxSsrbAjRS', 'LB')
('SL12058-2022-11-01-5563','S232-19','kUUtSThr', 'UB')
('SL22517-2022-11-01-5585','S233-17','GUmnlRNiINtp', 'LB')
('AC04652-2022-11-01-5942','A331-2','mKSnEQmJaVrkAAMY', 'LB')
('SL22517-2022-11-02-5655','S236-15','A', 'SL')
('AC04652-2022-11-01-5944','A331-4','LPKeOTOGajuPC', 'UB')
('SL22517-2022-11-02-5658','S236-18','Mxx', 'MB')
('SL22517-2022-11-01-5598','S234-6','sFYWE', 'UB')
('SL22517-2022-11-02-5661','S236-21','hdcIdmsMsPk', 'MB')
('AC04652-2022-11-02-5783','A322-5','vKwS', 'SL')
('SL12058-2022-11-01-5596','S234-4','XIvJyljqBJuUe', 'LB')
('AC22517-2022-11-01-5790','A322-12','TwiQelXdOeswyv', 'SU')
('AC22517-2022-11-01-5793','A322-15','qgVHlulyNDGGv', 'UB')
('AC22517-2022-11-02-5773','A321-13','asQbTiuAr', 'LB')
('SL04652-2022-11-02-5726','S239-14','XwvDsOuf', 'UB')
('SL04652-2022-11-01-5675','S237-11','SH', 'UB')
('SL12058-2022-11-01-5639','S235-23','GAeuintnrsekf', 'SL')
('SL12058-2022-11-01-5643','S236-3','kPb', 'UB')
('SL12058-2022-11-01-5662','S236-22','LHODSorwq', 'UB')
('AC04652-2022-11-01-6038','A336-8','afTd', 'LB')
('AC04652-2022-11-01-6041','A336-11','VgMnZZoixMgPTh', 'SL')
('SL12058-2022-11-01-5667','S237-3','NEWvhesbvGnu', 'UB')
('SL22517-2022-11-02-5761','S241-1','mQxKc', 'LB')
('AC22517-2022-11-02-5821','A324-7','mbXYCVvaA', 'LB')
('SL04652-2022-11-01-5725','S239-13','HghnmClyQwi', 'MB')
('SL22517-2022-11-01-5698','S238-10','WPDV', 'MB')
('SL04652-2022-11-01-5727','S239-15','MQTKMfpn', 'SL')
('AC22517-2022-11-02-5826','A324-12','vCIYDC', 'SU')
('SL22517-2022-11-01-5700','S238-12','IymkdH', 'LB')
('AC12058-2022-11-01-5816','A324-2','vxUwVreo', 'LB')
('AC22517-2022-11-02-5834','A325-2','fXMhxB', 'LB')
('SL22517-2022-11-02-5776','S241-16','IaAVQNhuy', 'SU')
('SL12058-2022-11-01-5751','S240-15','scW', 'SL')
('AC22517-2022-11-02-5904','A328-18','DIt', 'SU')
('SL12058-2022-11-01-5755','S240-19','NYtfmgVQtz', 'UB')
('AC04652-2022-11-02-5949','A331-9','C', 'UB')
('AC12058-2022-11-01-5887','A328-1','pBd', 'LB')
('SL22517-2022-11-02-5863','S245-7','hKXf', 'SL')
('SL12058-2022-11-01-5756','S240-20','JaKNxwVuc', 'LB')
('AC04652-2022-11-02-5955','A331-15','VJrxwTglMUMVfK', 'UB')
('SL04652-2022-11-02-5906','S247-2','R', 'MB')
('SL04652-2022-11-01-5834','S244-2','mCDkpJcpwq', 'MB')
('SL22517-2022-11-01-5831','S243-23','fPcEaRjq', 'SL')
('SL22517-2022-11-01-5832','S243-24','qy', 'SU')
('SL12058-2022-11-01-5792','S242-8','mXaHmEivcWN', 'SU')
('AC04652-2022-11-02-5997','A334-3','kCaWm', 'UB')
('SL04652-2022-11-01-5838','S244-6','gXREzCiaxJxVrYM', 'UB')
('AC12058-2022-11-01-5937','A330-15','pJaxD', 'UB')
('SL04652-2022-11-02-5919','S247-15','tJrVrvHW', 'SL')
('AC12058-2022-11-01-5940','A330-18','O', 'SU')
('AC04652-2022-11-01-6187','A344-13','xaV', 'LB')
('SL22517-2022-11-02-5913','S247-9','MABY', 'LB')
('SL22517-2022-11-02-5934','S248-6','BpCqDh', 'UB')
('SL22517-2022-11-02-5982','S250-6','zIdpsUoTkfEhSlCK', 'UB')
('SL22517-2022-11-02-5983','S250-7','xyRUOQQNoUDHtGW', 'SL')
('SL12058-2022-11-01-5845','S244-13','JwJ', 'MB')
('AC12058-2022-11-01-6024','A335-12','jRmVx', 'SU')
('AC04652-2022-11-02-6076','A338-10','GFk', 'UB')
('AC04652-2022-11-01-6294','A350-12','ElXJraSvczt', 'SU')
('AC22517-2022-11-02-6101','A339-17','BsIHqoIeqpKMHMD', 'SL')
('AC22517-2022-11-02-6102','A339-18','aQHw', 'SU')
('AC04652-2022-11-02-6137','A341-17','aLY', 'SL')
('AC04652-2022-11-02-6138','A341-18','uaGomeXUnwXL', 'SU')
('SL22517-2022-11-01-5996','S250-20','ZuZOWmj', 'LB')
('AC22517-2022-11-02-6141','A342-3','ewNDkolUExcwZV', 'UB')
('AC04652-2022-11-02-6174','A343-18','KHbBy', 'SU')
('AC22517-2022-11-01-6140','A342-2','oKX', 'LB')
('SL04652-2022-11-02-6095','S254-23','j', 'SL')
('AC22517-2022-11-02-6152','A342-14','L', 'LB')
('AC12058-2022-11-01-6131','A341-11','WgdNcIUpXrgP', 'SL')
('SL12058-2022-11-01-5964','S249-12','iC', 'LB')
('AC04652-2022-11-01-6409','A357-1','qJvUYJeeTJmHFR', 'LB')
('SL04652-2022-11-01-6028','S252-4','LkU', 'LB')
('AC04652-2022-11-01-6412','A357-4','SbpohtgHEqDoQL', 'UB')
('AC04652-2022-11-02-6195','A345-3','fMYD', 'UB')
('SL22517-2022-11-01-6090','S254-18','AIA', 'MB')
('SL04652-2022-11-01-6089','S254-17','r', 'LB')
('SL22517-2022-11-01-6129','S256-9','pfOVsrOMFY', 'LB')
('AC04652-2022-11-02-6307','A351-7','KsQZvqD', 'LB')
('AC22517-2022-11-01-6298','A350-16','kRe', 'UB')
('AC04652-2022-11-01-6557','A365-5','jPJ', 'SL')
('AC04652-2022-11-02-6318','A351-18','Tywfg', 'SU')
('AC12058-2022-11-01-6299','A350-17','MZCWFDBzQjsnPPr', 'SL')
('AC04652-2022-11-01-6567','A365-15','NUBHGGdx', 'UB')
('SL04652-2022-11-02-6250','S261-10','VEyGkHZow', 'MB')
('AC22517-2022-11-01-6320','A352-2','kar', 'LB')
('AC22517-2022-11-02-6322','A352-4','XZemhzQ', 'UB')
('AC22517-2022-11-02-6323','A352-5','gMWFaQjKjM', 'SL')
('SL22517-2022-11-01-6204','S259-12','PfOHomgkRpRJZk', 'LB')
('AC04652-2022-11-02-6383','A355-11','SHgMZPdqBNyCNEJ', 'SL')
('SL22517-2022-11-02-6328','S264-16','ERzMxVmDcmsi', 'SU')
('SL12058-2022-11-01-6167','S257-23','jbwdOonaPTylXC', 'SL')
('SL22517-2022-11-01-6261','S261-21','sRnONmHA', 'MB')
('AC22517-2022-11-02-6390','A355-18','rhZkmReViEYPP', 'SU')
('SL22517-2022-11-01-6274','S262-10','FyKCxoGHLqw', 'MB')
('SL22517-2022-11-02-6356','S265-20','IWbgmjhfNx', 'LB')
('SL22517-2022-11-02-6357','S265-21','dR', 'MB')
('AC22517-2022-11-02-6395','A356-5','IZtXlAIP', 'SL')
('AC22517-2022-11-01-6410','A357-2','ZVVfIGEokMEa', 'LB')
('SL12058-2022-11-01-6203','S259-11','XofzomgvKdhJqN', 'UB')
('SL04652-2022-11-01-6355','S265-19','FjxLzlXH', 'UB')
('AC12058-2022-11-01-6454','A359-10','fSIwo', 'UB')
('SL22517-2022-11-01-6390','S267-6','KGHltGtwVxG', 'UB')
('AC22517-2022-11-02-6483','A361-3','EnFwukcBJHRSuwI', 'UB')
('AC22517-2022-11-02-6484','A361-4','iVuapb', 'UB')
('SL04652-2022-11-02-6446','S269-14','pgfshlEUkOn', 'UB')
('AC12058-2022-11-01-6511','A362-13','QqRZBPXpnIy', 'LB')
('SL04652-2022-11-01-6435','S269-3','wmtsvdF', 'UB')
('AC22517-2022-11-01-6561','A365-9','dRG', 'UB')
('SL04652-2022-11-02-6556','S274-4','DvKCTNb', 'LB')
('SL04652-2022-11-02-6610','S276-10','wWwOypMbVswy', 'MB')
('SL04652-2022-11-01-6557','S274-5','ojkkT', 'MB')
('AC22517-2022-11-02-6739','A375-7','dLEUfHkddSIv', 'LB')
('SL22517-2022-11-01-6592','S275-16','wXiDXTeYNiY', 'SU')
('AC22517-2022-11-02-6740','A375-8','pqfvKr', 'LB')
('AC22517-2022-11-02-6747','A375-15','zUSbytEg', 'UB')
('AC12058-2022-11-01-6744','A375-12','RBH', 'SU')
('AC04652-2022-11-02-6736','A375-4','ykRJeYwrPJu', 'UB')
('SL04652-2022-11-01-6642','S277-18','oha', 'MB')
('SL04652-2022-11-01-6646','S277-22','otkpIpt', 'UB')
('AC12058-2022-11-01-6750','A375-18','OIGtwJuTmxDPkDkN', 'SU')
('SL12058-2022-11-01-6544','S273-16','x', 'SU')
('AC22517-2022-11-02-6757','A376-7','FOH', 'LB')
('AC22517-2022-11-01-6741','A375-9','V', 'UB')
('SL12058-2022-11-01-6549','S273-21','suliixhwWzopr', 'MB')
('AC22517-2022-11-01-6754','A376-4','tLzAEerKTGVJt', 'UB')
('AC22517-2022-11-01-6755','A376-5','KXAZQwZqfzABmRcu', 'SL')
('SL22517-2022-11-01-6619','S276-19','yX', 'UB')
('AC12058-2022-11-01-6773','A377-5','QmzMtJIWftEJj', 'SL')
('AC12058-2022-11-01-6775','A377-7','eeHpPsyQlLHkvq', 'LB')
('SL04652-2022-11-01-6727','S281-7','ctblCYfKS', 'SL')
('SL22517-2022-11-02-6789','S283-21','hlIWxdufKEolp', 'MB')
('SL12058-2022-11-01-6614','S276-14','a', 'UB')
('AC12058-2022-11-01-6851','A381-11','oxbMy', 'SL')
('AC12058-2022-11-01-6853','A381-13','MNMBzcV', 'LB')
('SL04652-2022-11-02-6790','S283-22','OGITyjaP', 'UB')
('AC04652-2022-11-02-6819','A379-15','Eevjea', 'UB')
('AC22517-2022-11-02-6852','A381-12','dxBExvIg', 'SU')
('AC04652-2022-11-02-6823','A380-1','NRn', 'LB')
('SL22517-2022-11-02-6809','S284-17','qgQdrtt', 'LB')
('AC04652-2022-11-02-6839','A380-17','LRazhnl', 'SL')
('AC22517-2022-11-02-6868','A382-10','FuEjzGqosLF', 'UB')
('SL22517-2022-11-01-6707','S280-11','sXiuPo', 'UB')
('AC04652-2022-11-02-6860','A382-2','rHPovZobDTPPtWGt', 'LB')
('AC22517-2022-11-01-6874','A382-16','YvgpITWUFJd', 'UB')
('AC22517-2022-11-01-6875','A382-17','J', 'SL')
('SL04652-2022-11-02-6833','S285-17','y', 'LB')
('AC04652-2022-11-01-7148','A398-2','sasRa', 'LB')
('SL22517-2022-11-02-6869','S287-5','BaNIBG', 'MB')
('AC12058-2022-11-01-6918','A385-6','mEG', 'SU')
('AC12058-2022-11-01-6920','A385-8','ife', 'LB')
('SL04652-2022-11-01-6839','S285-23','qwaM', 'SL')
('AC04652-2022-11-01-7191','A400-9','KNR', 'UB')
('SL12058-2022-11-01-6775','S283-7','sHEKJAmm', 'SL')
('AC22517-2022-11-01-6964','A387-16','QxkwyxKiDtWXmnL', 'UB')
('SL04652-2022-11-01-6921','S289-9','xPO', 'LB')
('AC22517-2022-11-02-6991','A389-7','WOUgsZMBMDYkvJV', 'LB')
('SL12058-2022-11-01-6782','S283-14','leAV', 'UB')
('AC22517-2022-11-01-6970','A388-4','LIJvOKO', 'UB')
('SL04652-2022-11-01-6924','S289-12','kLEBlM', 'LB')
('AC04652-2022-11-02-6968','A388-2','dVLIMB', 'LB')
('SL22517-2022-11-02-6937','S290-1','JmNUNVKxZdL', 'LB')
('SL12058-2022-11-01-6787','S283-19','gXCRyPcC', 'UB')
('AC22517-2022-11-02-7000','A389-16','SttCGpTMaQl', 'UB')
('SL22517-2022-11-02-6939','S290-3','vaB', 'UB')
('AC04652-2022-11-02-6971','A388-5','oxrlVWQm', 'SL')
('SL12058-2022-11-01-6788','S283-20','tG', 'LB')
('AC04652-2022-11-01-7243','A403-7','MBfFlBrfUXDHqhk', 'LB')
('SL04652-2022-11-02-6954','S290-18','uuwRlZpHdkL', 'MB')
('SL04652-2022-11-02-6956','S290-20','DCUaeFVU', 'LB')
('AC04652-2022-11-02-6974','A388-8','tzvWnr', 'LB')
('AC04652-2022-11-02-6976','A388-10','FJQOky', 'UB')
('AC04652-2022-11-02-6982','A388-16','YXSkjPRPRYfnFbAR', 'UB')
('SL22517-2022-11-01-6865','S287-1','GMKfojSy', 'LB')
('AC12058-2022-11-01-7006','A390-4','PNOzoaZty', 'UB')
('SL22517-2022-11-02-6960','S290-24','qPFtspRgfYaakJV', 'SU')
('AC22517-2022-11-02-7022','A391-2','doxpZRfmpnoeJ', 'LB')
('AC04652-2022-11-02-6991','A389-7','Xp', 'LB')
('AC22517-2022-11-02-7023','A391-3','JZs', 'UB')
('AC12058-2022-11-01-7021','A391-1','eaxucZklsSchF', 'LB')
('AC04652-2022-11-02-7023','A391-3','uJxxctnVIDZRbap', 'UB')
('AC12058-2022-11-01-7056','A392-18','esbLlFTjIvD', 'SU')
('SL12058-2022-11-01-6845','S286-5','Haiz', 'MB')
('AC04652-2022-11-02-7043','A392-5','MWijQSWRI', 'SL')
('AC22517-2022-11-02-7067','A393-11','AmOvicOJzFhJiNB', 'SL')
('AC22517-2022-11-01-7037','A391-17','NrEHggZuEWnOIf', 'SL')
('AC04652-2022-11-02-7046','A392-8','gTJCOyLweUzKt', 'LB')
('AC04652-2022-11-02-7047','A392-9','GQILoNS', 'UB')
('SL22517-2022-11-01-6913','S289-1','QkX', 'LB')
('SL12058-2022-11-01-6852','S286-12','zCqc', 'LB')
('SL12058-2022-11-01-6853','S286-13','PFVstbQYeUIvTMz', 'MB')
('SL12058-2022-11-01-6854','S286-14','ruM', 'UB')
('AC04652-2022-11-02-7056','A392-18','dTyRfGqymfC', 'SU')
('AC12058-2022-11-01-7073','A393-17','pNHED', 'SL')
('AC22517-2022-11-02-7076','A394-2','NrfLGkNUU', 'LB')
('SL04652-2022-11-01-6993','S292-9','gfpRnoRhsvryleX', 'LB')
('AC04652-2022-11-02-7061','A393-5','eJnTPilme', 'SL')
('SL12058-2022-11-01-6866','S287-2','ucK', 'MB')
('AC12058-2022-11-01-7140','A397-12','GHfFne', 'SU')
('AC04652-2022-11-01-7402','A412-4','PnzHu', 'UB')
('SL12058-2022-11-01-6941','S290-5','mrqymOMtQLo', 'MB')
('AC22517-2022-11-01-7132','A397-4','pKVWpGp', 'UB')
('SL22517-2022-11-02-7079','S295-23','VTwRMJPWvxqlo', 'SL')
('AC12058-2022-11-01-7144','A397-16','IJJABiIovRUIHZHt', 'UB')
('AC04652-2022-11-02-7142','A397-14','SxURRLFWTkRpdy', 'LB')
('AC22517-2022-11-02-7190','A400-8','lD', 'LB')
('AC22517-2022-11-01-7171','A399-7','StgSCfYTDSHzj', 'LB')
('SL12058-2022-11-01-7003','S292-19','TuAXAB', 'UB')
('AC22517-2022-11-02-7226','A402-8','YuyOKh', 'LB')
('AC12058-2022-11-01-7197','A400-15','yYjIIHCD', 'UB')
('AC12058-2022-11-01-7198','A400-16','uVuXBloZ', 'UB')
('AC22517-2022-11-01-7204','A401-4','VYIrXWmwBAYy', 'UB')
('SL12058-2022-11-01-7006','S292-22','vHhrE', 'UB')
('AC22517-2022-11-01-7205','A401-5','eBJN', 'SL')
('SL04652-2022-11-02-7156','S299-4','WNq', 'LB')
('AC12058-2022-11-01-7206','A401-6','OUhJTGpb', 'SU')
('SL04652-2022-11-02-7159','S299-7','RwtAdacPyCMzf', 'SL')
('SL22517-2022-11-02-7154','S299-2','UBpSipcnQVNZJ', 'MB')
('SL12058-2022-11-01-7023','S293-15','BJmriDxgvHY', 'SL')
('AC04652-2022-11-02-7205','A401-5','jYwsRMyR', 'SL')
('SL12058-2022-11-01-7027','S293-19','ExQMhArYIKztECA', 'UB')
('SL04652-2022-11-02-7184','S300-8','FXXsr', 'SU')
('AC22517-2022-11-01-7234','A402-16','qkPTkgNqeIAmBQ', 'UB')
('SL22517-2022-11-02-7185','S300-9','EQdp', 'LB')
('SL22517-2022-11-02-7186','S300-10','HweyT', 'MB')
('SL22517-2022-11-01-7102','S296-22','lzrYtdGI', 'UB')
('AC04652-2022-11-02-7229','A402-11','aeTKvUB', 'SL')
('AC12058-2022-11-01-7240','A403-4','khWD', 'UB')
('SL22517-2022-11-01-7135','S298-7','gwX', 'SL')
('SL22517-2022-11-02-7298','S305-2','AIS', 'MB')
('AC04652-2022-11-01-7625','A424-11','wGbQprjvtDXJtWpq', 'SL')
('AC04652-2022-11-02-7329','A408-3','z', 'UB')
('SL22517-2022-11-02-7314','S305-18','pWqAppRJYnHF', 'MB')
('SL04652-2022-11-02-7307','S305-11','jhxDjsf', 'UB')
('SL12058-2022-11-01-7160','S299-8','HNckhQCIgVvYqL', 'SU')
('SL22517-2022-11-01-7222','S301-22','R', 'UB')
('SL04652-2022-11-01-7300','S305-4','PAWLmEiOtlbdNa', 'LB')
('AC22517-2022-11-02-7422','A413-6','ivtlmtzj', 'SU')
('SL04652-2022-11-01-7316','S305-20','aIajsq', 'LB')
('AC12058-2022-11-01-7386','A411-6','nv', 'SU')
('SL04652-2022-11-02-7327','S306-7','igt', 'SL')
('SL12058-2022-11-01-7178','S300-2','PtPvSYgkRxH', 'MB')
('SL12058-2022-11-01-7179','S300-3','mIshxDxK', 'UB')
('AC04652-2022-11-02-7419','A413-3','PtBS', 'UB')
('AC22517-2022-11-02-7491','A417-3','unXvWddyji', 'UB')
('SL12058-2022-11-01-7223','S301-23','vT', 'SL')
('SL22517-2022-11-02-7417','S310-1','QRdftWyUxuR', 'LB')
('AC12058-2022-11-01-7461','A415-9','DNtAHxkvMUj', 'UB')
('SL04652-2022-11-01-7398','S309-6','qiAYpPlc', 'UB')
('SL22517-2022-11-02-7420','S310-4','sB', 'LB')
('SL04652-2022-11-01-7403','S309-11','hJuRutjecHTx', 'UB')
('AC22517-2022-11-01-7462','A415-10','yaRmYGXdChGCGHAo', 'UB')
('SL04652-2022-11-01-7406','S309-14','XsHQEpjNgHDrdE', 'UB')
('SL12058-2022-11-01-7259','S303-11','a', 'UB')
('AC04652-2022-11-02-7470','A415-18','NzdomJZvxalaxIjz', 'SU')
('SL22517-2022-11-01-7342','S306-22','ppX', 'UB')
('AC04652-2022-11-01-7747','A431-7','vnxFZG', 'LB')
('AC04652-2022-11-01-7748','A431-8','FzTrCLyr', 'LB')
('SL04652-2022-11-02-7439','S310-23','I', 'SL')
('SL12058-2022-11-01-7284','S304-12','AO', 'LB')
('SL04652-2022-11-02-7442','S311-2','ugHHBlnhZpi', 'MB')
('AC22517-2022-11-01-7492','A417-4','dr', 'UB')
('AC04652-2022-11-01-7754','A431-14','FQjxNoxhULIEsJl', 'LB')
('AC22517-2022-11-02-7566','A421-6','lG', 'SU')
('AC22517-2022-11-02-7567','A421-7','SyfRMxLHeELUT', 'LB')
('SL04652-2022-11-02-7447','S311-7','aIcqnd', 'SL')
('SL04652-2022-11-01-7446','S311-6','QLCtzEvv', 'UB')
('SL22517-2022-11-01-7366','S307-22','SNRNcVXMElH', 'UB')
('SL12058-2022-11-01-7304','S305-8','xuePNBsbxE', 'SU')
('AC22517-2022-11-02-7591','A422-13','yYGGDoZwtXmt', 'LB')
('AC04652-2022-11-01-7803','A434-9','CwpxMZoOyU', 'UB')
('AC22517-2022-11-01-7549','A420-7','l', 'LB')
('AC04652-2022-11-01-7805','A434-11','TOSfjd', 'SL')
('AC22517-2022-11-02-7614','A423-18','qiwIvZQSZDiLIms', 'SU')
('SL12058-2022-11-01-7350','S307-6','fvCrUCXnUjyfMUK', 'UB')
('SL04652-2022-11-01-7485','S312-21','EtUeQkTRUrZp', 'MB')
('AC22517-2022-11-01-7564','A421-4','uuJKCjxNgJGLRmao', 'UB')
('SL04652-2022-11-02-7558','S315-22','oYPx', 'UB')
('AC04652-2022-11-02-7643','A425-11','UYWzGo', 'SL')
