('SL04652-2022-11-02-11','S1-11','Cfih', 'UB')
('SL22517-2022-11-02-1174','S49-22','AObNJqeQvLjNv', 'UB')
('SL12058-2022-11-01-1126','S47-22','Ytcot', 'UB')
('AC04652-2022-11-02-1122','A63-6','CtrmoJfAwafogYJ', 'SU')
('AC12058-2022-11-01-1132','A63-16','wXQ', 'UB')
('SL04652-2022-11-02-1108','S47-4','bIKAF', 'LB')
('SL04652-2022-11-01-1146','S48-18','MjYYlMOjvqU', 'MB')
('SL22517-2022-11-01-1149','S48-21','AyVoUSUM', 'MB')
('AC22517-2022-11-01-1129','A63-13','gXQKw', 'LB')
('AC12058-2022-11-01-1137','A64-3','eyrfXaLlORfnLdf', 'UB')
('AC12058-2022-11-01-1138','A64-4','iuDdbIzRFjUVP', 'UB')
('SL22517-2022-11-01-1151','S48-23','r', 'SL')
('AC04652-2022-11-01-1167','A65-15','GXbQkPWveSoKxO', 'UB')
('SL22517-2022-11-02-1189','S50-13','PNQHWfAmJLQDSkc', 'MB')
('SL04652-2022-11-02-1119','S47-15','jfGQD', 'SL')
('SL22517-2022-11-02-1191','S50-15','mlhrl', 'SL')
('AC22517-2022-11-01-1144','A64-10','uQsgWyKs', 'UB')
('AC04652-2022-11-01-1214','A68-8','AeVWEogoK', 'LB')
('AC22517-2022-11-02-1222','A68-16','jnUXm', 'UB')
('AC04652-2022-11-02-1178','A66-8','VftkniLyeQKU', 'LB')
('AC12058-2022-11-01-1190','A67-2','JDECYgSxlVjPNOth', 'LB')
('SL04652-2022-11-01-1197','S50-21','sKol', 'MB')
('AC22517-2022-11-02-1226','A69-2','NKOMrTpthGqXOjnn', 'LB')
('SL04652-2022-11-02-1174','S49-22','sMgtYrOONk', 'UB')
('SL12058-2022-11-01-1190','S50-14','VaoSyDqR', 'UB')
('AC04652-2022-11-02-1187','A66-17','STVdEdm', 'SL')
('AC04652-2022-11-02-1188','A66-18','OduvhokQb', 'SU')
('SL22517-2022-11-02-1239','S52-15','qNkKktACHiIf', 'SL')
('SL04652-2022-11-01-1204','S51-4','vBUjLzHsszczWPxP', 'LB')
('SL04652-2022-11-01-1210','S51-10','NbNwc', 'MB')
('AC22517-2022-11-02-1234','A69-10','tb', 'UB')
('AC12058-2022-11-01-1202','A67-14','T', 'LB')
('SL22517-2022-11-01-1221','S51-21','TMKOmkY', 'MB')
('AC22517-2022-11-02-1237','A69-13','igFehjcivIpEmX', 'LB')
('SL12058-2022-11-01-1198','S50-22','PIBXRUptpNyyKN', 'UB')
('SL22517-2022-11-01-1224','S51-24','PbmHNw', 'SU')
('AC04652-2022-11-02-1197','A67-9','EBmEwDpr', 'UB')
('SL22517-2022-11-01-1229','S52-5','caFjBz', 'MB')
('AC22517-2022-11-01-1193','A67-5','OJVLaGL', 'SL')
('SL22517-2022-11-02-1249','S53-1','MLttpSKnRYgtdZ', 'LB')
('SL12058-2022-11-01-1210','S51-10','kTVmdbbmbClFFRwx', 'MB')
('SL22517-2022-11-02-1255','S53-7','xvJPIpZVYKBNRhi', 'SL')
('SL04652-2022-11-02-1198','S50-22','cOAppgcLy', 'UB')
('AC22517-2022-11-02-1255','A70-13','LTFWjEX', 'LB')
('SL22517-2022-11-02-1262','S53-14','crOK', 'UB')
('AC12058-2022-11-01-1223','A68-17','axsOzQrCNQ', 'SL')
('SL22517-2022-11-01-1248','S52-24','rNtBfLA', 'SU')
('SL22517-2022-11-02-1267','S53-19','NRDdgkRIMiwFQn', 'UB')
('SL04652-2022-11-02-1204','S51-4','d', 'LB')
('AC12058-2022-11-01-1228','A69-4','mefnT', 'UB')
('SL22517-2022-11-01-1251','S53-3','dMfst', 'UB')
('AC12058-2022-11-01-1230','A69-6','uyVRkeMcArjy', 'SU')
('SL04652-2022-11-01-1235','S52-11','zhOuNw', 'UB')
('AC04652-2022-11-02-1219','A68-13','pGqVquvGZuboSYA', 'LB')
('AC12058-2022-11-01-1232','A69-8','EyaPOKvDaPaU', 'LB')
('AC04652-2022-11-02-1220','A68-14','LsKPys', 'LB')
('SL04652-2022-11-01-1239','S52-15','wejZRQJcy', 'SL')
('SL04652-2022-11-02-1212','S51-12','kiinwilkLMMXE', 'LB')
('SL04652-2022-11-01-1241','S52-17','PqIGyZmYSjAVfW', 'LB')
('AC04652-2022-11-01-1262','A71-2','rkGNdP', 'LB')
('SL22517-2022-11-02-1276','S54-4','IQGDT', 'LB')
('AC22517-2022-11-02-1268','A71-8','vjTChsXKdhdez', 'LB')
('SL22517-2022-11-02-1278','S54-6','YKVcdwd', 'UB')
('AC12058-2022-11-01-1240','A69-16','Alwad', 'UB')
('AC22517-2022-11-01-1217','A68-11','IVohvWJlohW', 'SL')
('SL12058-2022-11-01-1232','S52-8','QAoYBBTvxbaWhm', 'SU')
('AC04652-2022-11-01-1272','A71-12','e', 'SU')
('AC12058-2022-11-01-1248','A70-6','eGZEnHJzJHZjGVym', 'SU')
('AC12058-2022-11-01-1249','A70-7','zPPd', 'LB')
('SL22517-2022-11-02-1290','S54-18','MfTAQBqLuNfi', 'MB')
('AC12058-2022-11-01-1252','A70-10','dwUlvEp', 'UB')
('AC22517-2022-11-02-1279','A72-1','hmCY', 'LB')
('AC12058-2022-11-01-1254','A70-12','JOflJEsMaANRS', 'SU')
('AC12058-2022-11-01-1256','A70-14','qAeNTJ', 'LB')
('AC04652-2022-11-02-1240','A69-16','wYw', 'UB')
('SL04652-2022-11-02-1231','S52-7','qdCIX', 'SL')
('SL12058-2022-11-01-1239','S52-15','vzIGir', 'SL')
('AC22517-2022-11-02-1289','A72-11','aPVDJJquHLUVFioK', 'SL')
('SL22517-2022-11-02-1305','S55-9','g', 'LB')
('AC04652-2022-11-01-1288','A72-10','rUzGLuLzBfoA', 'UB')
('SL04652-2022-11-01-1275','S54-3','yzAbrf', 'UB')
('AC22517-2022-11-02-1294','A72-16','DHSKxHj', 'UB')
('AC12058-2022-11-01-1276','A71-16','yj', 'UB')
('SL04652-2022-11-01-1279','S54-7','vJEuLaf', 'SL')
('SL22517-2022-11-02-1318','S55-22','Xccx', 'UB')
('AC04652-2022-11-02-1258','A70-16','PyBDMfZnYsWVaEm', 'UB')
('AC04652-2022-11-01-1297','A73-1','GNSByKYBKfWIK', 'LB')
('AC22517-2022-11-02-1323','A74-9','RIOU', 'UB')
('SL12058-2022-11-01-1280','S54-8','lZcaqmvOgDNNsA', 'SU')
('AC04652-2022-11-02-1275','A71-15','p', 'UB')
('SL22517-2022-11-02-1340','S56-20','detgbzeDoeqQX', 'LB')
('AC12058-2022-11-01-1344','A75-12','JEutmOGavakEPbkX', 'SU')
('SL04652-2022-11-02-1321','S56-1','K', 'LB')
('SL22517-2022-11-02-1379','S58-11','bDEQdVoSP', 'UB')
('AC22517-2022-11-02-1373','A77-5','lT', 'SL')
('SL12058-2022-11-01-1319','S55-23','A', 'SL')
('SL12058-2022-11-01-1320','S55-24','tdVNTs', 'SU')
('AC22517-2022-11-02-1377','A77-9','eZpTTsOlBIAdxNl', 'UB')
('SL04652-2022-11-02-1327','S56-7','zcVC', 'SL')
('SL22517-2022-11-01-1346','S57-2','ElLa', 'MB')
('AC12058-2022-11-01-1350','A75-18','IZYwsHD', 'SU')
('AC22517-2022-11-02-1383','A77-15','lhBoscW', 'UB')
('AC12058-2022-11-01-1358','A76-8','u', 'LB')
('AC04652-2022-11-01-1374','A77-6','zbQxKsbsnyb', 'SU')
('SL04652-2022-11-01-1356','S57-12','ZIRPqmjimB', 'LB')
('AC04652-2022-11-01-1376','A77-8','RVww', 'LB')
('AC22517-2022-11-02-1391','A78-5','LV', 'SL')
('AC04652-2022-11-02-1370','A77-2','uyY', 'LB')
('AC12058-2022-11-01-1392','A78-6','mLVM', 'SU')
