('AC04652-2022-11-01-1730','A97-2','ZupvcVggEpzE', 'LB')
('SL12058-2022-11-01-1983','S83-15','JcPMzShmRK', 'SL')
('AC04652-2022-11-02-2002','A112-4','eibDIeyQgUZhFn', 'UB')
('SL04652-2022-11-02-2024','S85-8','RZHOKxDBUNo', 'SU')
('AC22517-2022-11-02-1994','A111-14','apDLJrTjf', 'LB')
('AC04652-2022-11-02-2004','A112-6','WhLslwC', 'SU')
('SL22517-2022-11-01-2026','S85-10','K', 'MB')
('AC22517-2022-11-02-1999','A112-1','DYprzw', 'LB')
('AC22517-2022-11-01-2056','A115-4','dnHYaGJGQCiQ', 'UB')
('SL22517-2022-11-02-2006','S84-14','vhNyqwRvAF', 'UB')
('AC22517-2022-11-02-2008','A112-10','amNdWyM', 'UB')
('AC04652-2022-11-01-2104','A117-16','e', 'UB')
('AC04652-2022-11-01-2106','A117-18','pIItftLjdTADTZW', 'SU')
('SL22517-2022-11-01-2052','S86-12','XlRCGDoXws', 'LB')
('SL22517-2022-11-02-2027','S85-11','aSIyJCyPdy', 'UB')
('SL12058-2022-11-01-2026','S85-10','IWQY', 'MB')
('AC04652-2022-11-01-2122','A118-16','iBmORBsqQEkmUt', 'UB')
('SL22517-2022-11-01-2062','S86-22','YxcHNnY', 'UB')
('AC04652-2022-11-01-2124','A118-18','ZccgjXBPuDzb', 'SU')
('AC04652-2022-11-02-2040','A114-6','ZGnExyiQ', 'SU')
('AC04652-2022-11-01-2125','A119-1','IRkbVwk', 'LB')
('SL22517-2022-11-01-2066','S87-2','YOTNsUSxVl', 'MB')
('SL22517-2022-11-02-2041','S86-1','ovsNceWlNiIwMkM', 'LB')
('AC04652-2022-11-01-2129','A119-5','bw', 'SL')
('SL12058-2022-11-01-2031','S85-15','WLxCxMjo', 'SL')
('SL12058-2022-11-01-2032','S85-16','vuMcGucAXQJb', 'SU')
('SL22517-2022-11-02-2045','S86-5','mBWtTLyZaX', 'MB')
('AC04652-2022-11-01-2135','A119-11','nqX', 'SL')
('SL22517-2022-11-01-2079','S87-15','fSABHlxUIE', 'SL')
('AC22517-2022-11-01-2109','A118-3','DBkbkRz', 'UB')
('SL04652-2022-11-02-2092','S88-4','JtPBeTFj', 'LB')
('AC12058-2022-11-01-2069','A115-17','cwnSNkyxntHxX', 'SL')
('AC12058-2022-11-01-2070','A115-18','pqnERx', 'SU')
('SL22517-2022-11-02-2071','S87-7','TAaE', 'SL')
('AC04652-2022-11-02-2077','A116-7','EdVgzwXHuPeBCR', 'LB')
('AC12058-2022-11-01-2074','A116-4','DBtbxCSzMPkraN', 'UB')
('SL22517-2022-11-01-2098','S88-10','HrPc', 'MB')
('SL22517-2022-11-01-2102','S88-14','WDkBi', 'UB')
('SL22517-2022-11-01-2151','S90-15','pePQbwqoyCh', 'SL')
('SL22517-2022-11-01-2152','S90-16','ENVMHjrvbUZZbph', 'SU')
('SL22517-2022-11-02-2135','S89-23','Mr', 'SL')
('SL22517-2022-11-01-2158','S90-22','JFUUjqdXEMCJ', 'UB')
('SL04652-2022-11-01-2118','S89-6','EgozXBa', 'UB')
('SL04652-2022-11-01-2136','S89-24','fdDgtMQo', 'SU')
('AC04652-2022-11-01-2245','A125-13','XCPchCkhjL', 'LB')
('SL22517-2022-11-02-2158','S90-22','WG', 'UB')
('SL12058-2022-11-01-2121','S89-9','akZSLLS', 'LB')
('AC22517-2022-11-02-2155','A120-13','UoDYCbex', 'LB')
('SL22517-2022-11-02-2164','S91-4','KBxnpvanzuew', 'LB')
('AC04652-2022-11-02-2156','A120-14','qePElii', 'LB')
('AC22517-2022-11-02-2166','A121-6','PSuJoDJoY', 'SU')
('AC22517-2022-11-02-2167','A121-7','ywyhLcFDxeW', 'LB')
('SL04652-2022-11-01-2154','S90-18','W', 'MB')
('AC12058-2022-11-01-2160','A120-18','deGR', 'SU')
('AC04652-2022-11-01-2271','A127-3','XHmFGfDEjlHpsP', 'UB')
('AC12058-2022-11-01-2162','A121-2','VCnmjRoBBy', 'LB')
('SL22517-2022-11-02-2172','S91-12','SJqMrsPuLKiGDC', 'LB')
('SL22517-2022-11-01-2192','S92-8','cIuKpgkKhsOB', 'SU')
('SL22517-2022-11-02-2174','S91-14','LsedCMTFTOoWr', 'UB')
('SL04652-2022-11-01-2162','S91-2','d', 'MB')
('AC22517-2022-11-02-2173','A121-13','CAtYDtShvt', 'LB')
('AC04652-2022-11-02-2189','A122-11','qXBttGmiJPf', 'SL')
('SL04652-2022-11-02-2214','S93-6','njqGTwWkaHEraz', 'UB')
('SL04652-2022-11-02-2215','S93-7','pO', 'SL')
('AC12058-2022-11-01-2184','A122-6','jTspNyCwe', 'SU')
('AC22517-2022-11-02-2198','A123-2','mGxxmKFZfpbqMgR', 'LB')
('AC12058-2022-11-01-2186','A122-8','ZsD', 'LB')
('AC22517-2022-11-01-2267','A126-17','xOVJd', 'SL')
('SL12058-2022-11-01-2181','S91-21','nrOdKLElLE', 'MB')
('SL22517-2022-11-01-2231','S93-23','RWHyenenNtOzgfS', 'SL')
('AC22517-2022-11-01-2277','A127-9','lpZasXjItk', 'UB')
('SL22517-2022-11-01-2244','S94-12','ShAbkYGdMmyhwR', 'LB')
('AC22517-2022-11-02-2236','A125-4','OekSUSYhUYWEF', 'UB')
('SL22517-2022-11-02-2227','S93-19','kTwlH', 'UB')
('AC04652-2022-11-01-2337','A130-15','BAhtFxephvWrJrMD', 'UB')
('AC22517-2022-11-02-2246','A125-14','dfkLuyToJqTrSmoq', 'LB')
('SL04652-2022-11-02-2277','S95-21','pM', 'MB')
('SL12058-2022-11-01-2236','S94-4','BleAjgk', 'LB')
('SL04652-2022-11-02-2279','S95-23','pxzJQFepSeupjDD', 'SL')
('SL22517-2022-11-02-2259','S95-3','YJLsECIVX', 'UB')
('AC22517-2022-11-01-2338','A130-16','qNMZipovzPQ', 'UB')
('AC04652-2022-11-01-2388','A133-12','soNIaTfAKiKvk', 'SU')
('SL04652-2022-11-01-2249','S94-17','hqMwI', 'LB')
('SL22517-2022-11-02-2273','S95-17','dWZsJiitimUX', 'LB')
('SL22517-2022-11-01-2286','S96-6','YLwoWwyqbwootIz', 'UB')
('SL22517-2022-11-01-2287','S96-7','mMKkTwSAWUGqfNDK', 'SL')
('SL04652-2022-11-02-2295','S96-15','OlWEOmqUO', 'SL')
('AC22517-2022-11-01-2344','A131-4','lvCFihbwbf', 'UB')
('SL22517-2022-11-01-2290','S96-10','OaiJdVZnDAzlsx', 'MB')
('SL22517-2022-11-02-2278','S95-22','Inf', 'UB')
('SL22517-2022-11-02-2279','S95-23','yxdOwjlpouEXnzjC', 'SL')
('AC04652-2022-11-01-2398','A134-4','nUsgBrcYDjsfdZEc', 'UB')
('AC04652-2022-11-01-2399','A134-5','eMyzAL', 'SL')
('SL22517-2022-11-01-2293','S96-13','bbgkjlpreBpKV', 'MB')
('SL04652-2022-11-01-2260','S95-4','cdqzhNbsCkRd', 'LB')
('SL12058-2022-11-01-2262','S95-6','adDytvxWfAjY', 'UB')
('AC04652-2022-11-01-2405','A134-11','oDZcGMk', 'SL')
('SL12058-2022-11-01-2264','S95-8','ATlVNm', 'SU')
('SL22517-2022-11-01-2299','S96-19','Gh', 'UB')
('SL22517-2022-11-01-2302','S96-22','fcuQuEhvsKZItgwN', 'UB')
('AC12058-2022-11-01-2278','A127-10','aWnhWr', 'UB')
('SL22517-2022-11-01-2304','S96-24','nl', 'SU')
('AC22517-2022-11-01-2356','A131-16','VwtgPj', 'UB')
('SL04652-2022-11-02-2313','S97-9','UpVIyeOlqE', 'LB')
('AC04652-2022-11-01-2414','A135-2','jGJGotBOpl', 'LB')
('AC04652-2022-11-02-2321','A129-17','CbEulSYeg', 'SL')
('SL04652-2022-11-02-2316','S97-12','UrvDpLDOOWbdvVl', 'LB')
('AC12058-2022-11-01-2288','A128-2','APMuhNLiAmRIaW', 'LB')
('AC12058-2022-11-01-2292','A128-6','OqRWYWJUJWykqt', 'SU')
('SL04652-2022-11-01-2277','S95-21','Aa', 'MB')
('AC12058-2022-11-01-2294','A128-8','rtE', 'LB')
('AC04652-2022-11-02-2329','A130-7','j', 'LB')
('AC04652-2022-11-01-2423','A135-11','vNwUaQa', 'SL')
('SL22517-2022-11-02-2306','S97-2','JouxTlI', 'MB')
('SL22517-2022-11-02-2307','S97-3','pBZXjeCeu', 'UB')
('SL04652-2022-11-01-2286','S96-6','FRxqoQiusedV', 'UB')
('AC04652-2022-11-02-2333','A130-11','eqRjKSXbHztKnDYy', 'SL')
('AC22517-2022-11-01-2378','A133-2','V', 'LB')
('AC22517-2022-11-01-2379','A133-3','koQAUolRe', 'UB')
('AC04652-2022-11-02-2336','A130-14','QOoiDzGO', 'LB')
('AC04652-2022-11-01-2433','A136-3','y', 'UB')
('AC12058-2022-11-01-2348','A131-8','XggniGFJN', 'LB')
('SL22517-2022-11-02-2355','S99-3','QVNSFtcSWFHB', 'UB')
('AC04652-2022-11-01-2481','A138-15','mnIw', 'UB')
('SL12058-2022-11-01-2316','S97-12','xuczaSwCvQCSaTOH', 'LB')
('AC12058-2022-11-01-2359','A132-1','ySfvrliKgGJkw', 'LB')
('AC22517-2022-11-02-2356','A131-16','uwMcDf', 'UB')
('AC04652-2022-11-01-2483','A138-17','rbyl', 'SL')
('AC22517-2022-11-02-2365','A132-7','niAxe', 'LB')
('SL22517-2022-11-02-2366','S99-14','vRSXTiIKEFJukPKM', 'UB')
('AC22517-2022-11-02-2370','A132-12','SIqimCJvbo', 'SU')
('AC04652-2022-11-02-2395','A134-1','V', 'LB')
('AC22517-2022-11-01-2438','A136-8','GaFZOFfFVT', 'LB')
('AC12058-2022-11-01-2376','A132-18','pyq', 'SU')
('SL12058-2022-11-01-2340','S98-12','ajpBa', 'LB')
('SL04652-2022-11-01-2364','S99-12','XrMCKeoa', 'LB')
('SL12058-2022-11-01-2343','S98-15','sNcLhhl', 'SL')
('AC12058-2022-11-01-2381','A133-5','U', 'SL')
('SL04652-2022-11-01-2370','S99-18','FQqPqvuXP', 'MB')
('SL04652-2022-11-01-2371','S99-19','sQESGlrKfqYZ', 'UB')
('SL04652-2022-11-02-2407','S101-7','CW', 'SL')
('AC04652-2022-11-01-2513','A140-11','tODxYSwlrTIP', 'SL')
('SL22517-2022-11-01-2415','S101-15','ZkK', 'SL')
('SL12058-2022-11-01-2356','S99-4','uaoPrIXZsLKHk', 'LB')
('AC22517-2022-11-02-2392','A133-16','YFTTadjoCebrmnbm', 'UB')
('SL04652-2022-11-02-2414','S101-14','eaRTcuzdrBt', 'UB')
('SL04652-2022-11-02-2416','S101-16','sR', 'SU')
('SL22517-2022-11-01-2422','S101-22','io', 'UB')
('AC22517-2022-11-01-2458','A137-10','bBOsQBT', 'UB')
('AC12058-2022-11-01-2404','A134-10','MRFgK', 'UB')
('SL22517-2022-11-02-2402','S101-2','uhVefYIGq', 'MB')
('SL22517-2022-11-01-2428','S102-4','jcUecwphxPcIFGkJ', 'LB')
('AC22517-2022-11-02-2458','A137-10','DwxhkmtTka', 'UB')
('SL12058-2022-11-01-2418','S101-18','yf', 'MB')
('SL04652-2022-11-01-2431','S102-7','DqhtNIULfR', 'SL')
('AC22517-2022-11-02-2461','A137-13','tz', 'LB')
('SL04652-2022-11-02-2484','S104-12','yQCxrarxfhYBCixT', 'LB')
('AC22517-2022-11-02-2465','A137-17','GMmiXikvdBl', 'SL')
('AC04652-2022-11-02-2477','A138-11','sQGgMcb', 'SL')
('SL04652-2022-11-02-2485','S104-13','Pzvmz', 'MB')
('AC04652-2022-11-02-2478','A138-12','fJqo', 'SU')
('SL04652-2022-11-02-2486','S104-14','HMcOzkcDZZbazG', 'UB')
('SL22517-2022-11-02-2449','S103-1','MYLSSsFh', 'LB')
('SL04652-2022-11-02-2488','S104-16','MO', 'SU')
('AC12058-2022-11-01-2475','A138-9','pZA', 'UB')
('SL04652-2022-11-02-2513','S105-17','RvNw', 'LB')
('AC04652-2022-11-01-2611','A146-1','fg', 'LB')
('SL22517-2022-11-01-2525','S106-5','tinGhGTQymwYeDl', 'MB')
('SL22517-2022-11-01-2570','S108-2','JqKgtdXeTwJJ', 'MB')
('AC04652-2022-11-01-2654','A148-8','ZvJzjgcx', 'LB')
('AC22517-2022-11-02-2531','A141-11','IBwwD', 'SL')
('AC22517-2022-11-01-2584','A144-10','RCmII', 'UB')
('AC22517-2022-11-02-2533','A141-13','VWNWWLbUdnu', 'LB')
('SL22517-2022-11-01-2575','S108-7','TQAAZrP', 'SL')
('SL04652-2022-11-01-2514','S105-18','Fjte', 'MB')
('AC12058-2022-11-01-2538','A141-18','k', 'SU')
('AC04652-2022-11-02-2554','A142-16','zabzcOet', 'UB')
('AC22517-2022-11-02-2538','A141-18','rLEnGapjUbxxbRA', 'SU')
('SL04652-2022-11-02-2565','S107-21','VGllngICSAVKzpX', 'MB')
('SL22517-2022-11-01-2579','S108-11','zgtzvcNAwodPws', 'UB')
('AC22517-2022-11-02-2546','A142-8','keWvaCRpuJtULnnv', 'LB')
('SL04652-2022-11-01-2531','S106-11','iwTuyHazewBiaEuc', 'UB')
('AC12058-2022-11-01-2553','A142-15','ArClAN', 'UB')
('SL22517-2022-11-01-2586','S108-18','MjviJNOfvlTyEUSK', 'MB')
('AC22517-2022-11-02-2554','A142-16','jqsmjo', 'UB')
('SL04652-2022-11-02-2579','S108-11','yelNH', 'UB')
('AC22517-2022-11-01-2608','A145-16','kTcaVJwaREJz', 'UB')
('SL04652-2022-11-02-2583','S108-15','xYHKaPnueM', 'SL')
('AC04652-2022-11-02-2571','A143-15','BRD', 'UB')
('SL22517-2022-11-01-2594','S109-2','eXbEzda', 'MB')
('SL22517-2022-11-01-2595','S109-3','URIsrhom', 'UB')
('AC04652-2022-11-02-2574','A143-18','rciDkc', 'SU')
('AC12058-2022-11-01-2563','A143-7','lhMwVlVMBMty', 'LB')
('SL12058-2022-11-01-2534','S106-14','XmmZEYchF', 'UB')
('AC04652-2022-11-01-2684','A150-2','OYlBHzLKoee', 'LB')
('AC04652-2022-11-02-2579','A144-5','fUDwPYjqVQ', 'SL')
('SL22517-2022-11-01-2627','S110-11','OvL', 'UB')
('AC22517-2022-11-01-2665','A149-1','FxpghxxvtaPvNRui', 'LB')
('AC12058-2022-11-01-2601','A145-9','dGtCmBaBDL', 'UB')
('AC12058-2022-11-01-2602','A145-10','ZWmzyXd', 'UB')
('SL22517-2022-11-02-2583','S108-15','EQ', 'SL')
('AC04652-2022-11-02-2626','A146-16','PEnNrll', 'UB')
('SL04652-2022-11-01-2599','S109-7','TYh', 'SL')
('SL04652-2022-11-01-2605','S109-13','TuLRuG', 'MB')
('AC12058-2022-11-01-2615','A146-5','hAlnUXdjCS', 'SL')
('AC04652-2022-11-02-2633','A147-5','UOIzySjG', 'SL')
('SL22517-2022-11-02-2589','S108-21','At', 'MB')
('SL04652-2022-11-02-2640','S110-24','nOmkkkmkfPwZePsA', 'SU')
('AC22517-2022-11-02-2623','A146-13','V', 'LB')
('SL22517-2022-11-02-2590','S108-22','ziZlf', 'UB')
('SL22517-2022-11-02-2594','S109-2','guhG', 'MB')
('SL22517-2022-11-01-2653','S111-13','PMmNLuUYYLGGoWvG', 'MB')
('AC04652-2022-11-02-2645','A147-17','AJVUkCSQLwWMMPE', 'SL')
('AC04652-2022-11-02-2646','A147-18','jQZTzThaQI', 'SU')
('SL04652-2022-11-02-2649','S111-9','BoWV', 'LB')
('AC22517-2022-11-02-2637','A147-9','zXvftlx', 'UB')
('AC22517-2022-11-02-2638','A147-10','eEPobqjIAxtI', 'UB')
('SL22517-2022-11-01-2674','S112-10','dqtyDkUutIuGdL', 'MB')
('SL04652-2022-11-01-2638','S110-22','QUx', 'UB')
('AC22517-2022-11-02-2667','A149-3','lncPskxBuuucHHXl', 'UB')
('SL12058-2022-11-01-2636','S110-20','HnRMIcgLHal', 'LB')
('SL22517-2022-11-01-2694','S113-6','yIhi', 'UB')
('AC22517-2022-11-02-2669','A149-5','ZnaTAHbbsQoaZRax', 'SL')
('SL22517-2022-11-01-2695','S113-7','EWFIdZWweFiwh', 'SL')
('SL04652-2022-11-02-2689','S113-1','wspfDHAir', 'LB')
('SL04652-2022-11-01-2657','S111-17','eChWThgUTO', 'LB')
('AC04652-2022-11-01-2794','A156-4','LYVjvOCHQkv', 'UB')
('AC22517-2022-11-02-2689','A150-7','COWiDf', 'LB')
('SL22517-2022-11-02-2647','S111-7','pyBSjLcuoRReGJxc', 'SL')
('SL12058-2022-11-01-2652','S111-12','Hp', 'LB')
('AC04652-2022-11-01-2798','A156-8','wHrQqhiLsaAELIpW', 'LB')
('SL12058-2022-11-01-2653','S111-13','RUQAEgids', 'MB')
('SL22517-2022-11-02-2651','S111-11','k', 'UB')
('SL04652-2022-11-02-2702','S113-14','WJLftS', 'UB')
('AC22517-2022-11-02-2695','A150-13','cWZogSmBAtx', 'LB')
('AC22517-2022-11-02-2697','A150-15','DCFoPBMnQjof', 'UB')
('SL22517-2022-11-02-2658','S111-18','wNWUybKKWXjSCJ', 'MB')
('SL12058-2022-11-01-2655','S111-15','XDfZCydBFaZc', 'SL')
('SL04652-2022-11-02-2714','S114-2','nWYVc', 'MB')
('SL04652-2022-11-01-2715','S114-3','DyLvRSIvZRv', 'UB')
('AC04652-2022-11-02-2739','A153-3','aJGl', 'UB')
('AC04652-2022-11-01-2838','A158-12','QlRSPszMaUrnXHy', 'SU')
('SL04652-2022-11-02-2767','S116-7','aASyQXBTKowdIhN', 'SL')
('SL04652-2022-11-01-2730','S114-18','IhiuqTeUZXf', 'MB')
('SL04652-2022-11-01-2731','S114-19','QWwAm', 'UB')
('AC04652-2022-11-01-2875','A160-13','KNLTVmOl', 'LB')
('SL22517-2022-11-01-2797','S117-13','nEsGNEUJ', 'MB')
('AC04652-2022-11-01-2879','A160-17','hGYEyhjkjzTVUWUy', 'SL')
('AC04652-2022-11-01-2899','A162-1','jpWUqz', 'LB')
('AC04652-2022-11-01-2906','A162-8','mkABnKE', 'LB')
('SL22517-2022-11-01-2819','S118-11','spbSUcHxfSbDyvn', 'UB')
('AC22517-2022-11-02-2801','A156-11','VcFkXMwh', 'SL')
('AC04652-2022-11-01-2909','A162-11','xypy', 'SL')
('SL22517-2022-11-01-2820','S118-12','Bd', 'LB')
('SL22517-2022-11-02-2750','S115-14','vwRFhYDBqZneWHYp', 'UB')
('AC22517-2022-11-01-2875','A160-13','RSA', 'LB')
('AC04652-2022-11-01-2941','A164-7','XTxryfEvvL', 'LB')
('SL22517-2022-11-02-2781','S116-21','vgbvdXrDFTiBwQWP', 'MB')
('AC04652-2022-11-02-2826','A157-18','XN', 'SU')
('SL22517-2022-11-02-2782','S116-22','ONzVKhZzx', 'UB')
('AC04652-2022-11-01-2943','A164-9','RQTz', 'UB')
('AC12058-2022-11-01-2797','A156-7','fbvaEUAVzW', 'LB')
('AC12058-2022-11-01-2798','A156-8','TJaiqyatHByaRHWo', 'LB')
('AC12058-2022-11-01-2799','A156-9','ARKn', 'UB')
('AC22517-2022-11-01-2905','A162-7','CkcEBBnb', 'LB')
('AC12058-2022-11-01-2800','A156-10','HedSF', 'UB')
('AC22517-2022-11-01-2963','A165-11','bTIVyVThx', 'SL')
