('SL04652-2022-11-02-4719','S197-15','zrRrZAQJGkTlsUpR', 'SL')
('SL04652-2022-11-02-5016','S209-24','ljdY', 'SU')
('SL04652-2022-11-01-4998','S209-6','LimnNsZdTM', 'UB')
('SL04652-2022-11-01-4999','S209-7','PMjrLJUbYWj', 'SL')
('AC22517-2022-11-01-5089','A283-13','Mu', 'LB')
('AC04652-2022-11-01-5300','A295-8','DkRduvqQydESqzwm', 'LB')
('SL04652-2022-11-02-5031','S210-15','A', 'SL')
('AC12058-2022-11-01-5061','A282-3','o', 'UB')
('AC12058-2022-11-01-5070','A282-12','xjdSzyKkat', 'SU')
('AC12058-2022-11-01-5077','A283-1','icTPmdBzhYXXVbyt', 'LB')
('SL12058-2022-11-01-4954','S207-10','YpdbVFTj', 'MB')
('SL04652-2022-11-02-5047','S211-7','PSukpVf', 'SL')
('SL12058-2022-11-01-4958','S207-14','HLKRBty', 'UB')
('AC04652-2022-11-02-5141','A286-11','x', 'SL')
('AC22517-2022-11-02-5197','A289-13','QHvrGqBLUV', 'LB')
('AC04652-2022-11-02-5178','A288-12','ssg', 'SU')
('SL22517-2022-11-01-5030','S210-14','FJPcpOsXoUg', 'UB')
('AC22517-2022-11-01-5155','A287-7','V', 'LB')
('AC04652-2022-11-02-5180','A288-14','fVwwoUKfey', 'LB')
('SL04652-2022-11-02-5096','S213-8','mD', 'SU')
('AC12058-2022-11-01-5124','A285-12','rUWpjVeYqaEyiOK', 'SU')
('AC04652-2022-11-01-5362','A298-16','H', 'UB')
('SL22517-2022-11-01-5037','S210-21','NHINwFKzHNZ', 'MB')
('SL22517-2022-11-02-5061','S211-21','RZzKldowAVCCR', 'MB')
('SL12058-2022-11-01-5000','S209-8','gtXP', 'SU')
('SL04652-2022-11-02-5103','S213-15','ooknhvN', 'SL')
('AC04652-2022-11-02-5191','A289-7','IhQJtv', 'LB')
('SL12058-2022-11-01-5003','S209-11','apTMKAjyyICHNdGy', 'UB')
('AC22517-2022-11-02-5218','A290-16','jOVOODM', 'UB')
('AC22517-2022-11-01-5172','A288-6','gRzYsdU', 'SU')
('AC04652-2022-11-01-5386','A300-4','lyJJIeoUCNRDb', 'UB')
('SL22517-2022-11-01-5063','S211-23','XptOJUuMZ', 'SL')
('AC12058-2022-11-01-5158','A287-10','AkJpwRRcgXENcl', 'UB')
('AC12058-2022-11-01-5160','A287-12','nhf', 'SU')
('AC04652-2022-11-01-5398','A300-16','fYfFB', 'UB')
('SL04652-2022-11-02-5183','S216-23','SXDtTDTVMksMUjL', 'SL')
('AC22517-2022-11-01-5249','A292-11','BW', 'SL')
('AC12058-2022-11-01-5247','A292-9','aLuCOYqkJGK', 'UB')
('SL04652-2022-11-01-5168','S216-8','JqrprtAZUqeFN', 'SU')
('AC04652-2022-11-01-5484','A305-12','oVmoD', 'SU')
('AC22517-2022-11-01-5278','A294-4','wjXQQIlDCGZ', 'UB')
('SL22517-2022-11-02-5179','S216-19','MRiyozYxFMLKBe', 'UB')
('SL04652-2022-11-01-5177','S216-17','aqoLgpoFCjii', 'LB')
('AC22517-2022-11-01-5281','A294-7','OfNmsnnZBIX', 'LB')
('SL22517-2022-11-02-5182','S216-22','NlYhEdqHePJyZrnq', 'UB')
('SL22517-2022-11-02-5183','S216-23','cVUYXsDEEOtbm', 'SL')
('SL12058-2022-11-01-5152','S215-16','QJNx', 'SU')
('AC04652-2022-11-01-5526','A307-18','MORkTOVTJKsL', 'SU')
('SL22517-2022-11-02-5236','S219-4','DMujeJOtxGjVVe', 'LB')
('SL12058-2022-11-01-5187','S217-3','suAeJZfCVXCH', 'UB')
('SL04652-2022-11-02-5284','S221-4','BOzCMnbWfsNL', 'LB')
('SL22517-2022-11-02-5238','S219-6','pXV', 'UB')
('SL04652-2022-11-01-5226','S218-18','NepvRKzEH', 'MB')
('SL12058-2022-11-01-5195','S217-11','oDYGRDtlMAsemSe', 'UB')
('SL22517-2022-11-02-5242','S219-10','iSLmzO', 'MB')
('AC04652-2022-11-01-5549','A309-5','vnDhcXHwDTZ', 'SL')
('SL04652-2022-11-02-5293','S221-13','syIUdCQfG', 'MB')
('SL22517-2022-11-01-5234','S219-2','GVgyyZIETreG', 'MB')
('SL22517-2022-11-02-5320','S222-16','FsHlgYwH', 'SU')
('SL22517-2022-11-02-5323','S222-19','Iv', 'UB')
('AC22517-2022-11-01-5406','A301-6','yJIMntUG', 'SU')
('AC04652-2022-11-01-5615','A312-17','srVwR', 'SL')
('SL04652-2022-11-01-5297','S221-17','EDhOmbwUMgScd', 'LB')
('SL04652-2022-11-01-5301','S221-21','GVgrkMJpwTvP', 'MB')
('AC22517-2022-11-01-5482','A305-10','N', 'UB')
('AC22517-2022-11-02-5516','A307-8','VKeczapH', 'LB')
('AC22517-2022-11-01-5490','A305-18','zzvOnZLz', 'SU')
('SL22517-2022-11-01-5359','S224-7','xjOmuNEYImcmHMP', 'SL')
('AC12058-2022-11-01-5471','A304-17','Ee', 'SL')
('SL04652-2022-11-02-5452','S228-4','SyDowNHWy', 'LB')
('SL22517-2022-11-01-5378','S225-2','KRRxopHzNBb', 'MB')
('SL22517-2022-11-01-5384','S225-8','HPyFObZkpl', 'SU')
('AC22517-2022-11-01-5530','A308-4','sIrLTJWrOb', 'UB')
('SL04652-2022-11-01-5439','S227-15','RBkEPLzBnpUKybTD', 'SL')
('AC22517-2022-11-02-5582','A311-2','me', 'LB')
('SL22517-2022-11-02-5466','S228-18','pMOG', 'MB')
('AC22517-2022-11-01-5550','A309-6','d', 'SU')
('SL12058-2022-11-01-5414','S226-14','l', 'UB')
('AC04652-2022-11-02-5603','A312-5','QqZjfXnFvd', 'SL')
('SL04652-2022-11-02-5516','S230-20','gjEjgO', 'LB')
('SL04652-2022-11-01-5466','S228-18','XXrARmoTzo', 'MB')
('SL22517-2022-11-02-5490','S229-18','lAlIvGduPy', 'MB')
('SL22517-2022-11-01-5452','S228-4','hCYCsVlACNzX', 'LB')
('AC04652-2022-11-01-5793','A322-15','wX', 'UB')
('SL12058-2022-11-01-5426','S227-2','WMyZichQRKVXJ', 'MB')
('AC04652-2022-11-02-5615','A312-17','EjREBwaRcU', 'SL')
('SL04652-2022-11-02-5537','S231-17','NXQoDSPfUBb', 'LB')
('SL12058-2022-11-01-5499','S230-3','ipJiS', 'UB')
('AC04652-2022-11-01-5855','A326-5','ntpoIQLVNUWEp', 'SL')
('SL22517-2022-11-01-5517','S230-21','JOipfSju', 'MB')
('AC04652-2022-11-01-5885','A327-17','tVLDXqaTIQMdL', 'SL')
('SL12058-2022-11-01-5537','S231-17','cLxt', 'LB')
('SL12058-2022-11-01-5551','S232-7','FUKldBAZ', 'SL')
('AC04652-2022-11-01-5909','A329-5','Esui', 'SL')
('SL22517-2022-11-01-5564','S232-20','hDUXKsMfiRF', 'LB')
('AC22517-2022-11-01-5709','A318-3','WBejjwPBxyGi', 'UB')
('AC22517-2022-11-01-5726','A319-2','vUFVBG', 'LB')
('AC04652-2022-11-01-5926','A330-4','IldoWzVWEmFz', 'UB')
('SL22517-2022-11-02-5645','S236-5','NJkomlrWmpS', 'MB')
('AC12058-2022-11-01-5717','A318-11','rC', 'SL')
('AC22517-2022-11-01-5755','A320-13','voVwzoluwLK', 'LB')
('SL12058-2022-11-01-5595','S234-3','Jg', 'UB')
('SL22517-2022-11-02-5672','S237-8','bgF', 'SU')
('AC12058-2022-11-01-5738','A319-14','Vcb', 'LB')
('AC04652-2022-11-02-5787','A322-9','YiWuDc', 'UB')
('AC04652-2022-11-01-5978','A333-2','aeHup', 'LB')
('SL04652-2022-11-01-5660','S236-20','lbhQnQTuQKlxX', 'LB')
('AC04652-2022-11-01-5979','A333-3','wiysCUJXg', 'UB')
('AC12058-2022-11-01-5761','A321-1','NHQzd', 'LB')
('AC04652-2022-11-01-5991','A333-15','IeXnYO', 'UB')
('AC12058-2022-11-01-5767','A321-7','iEQLYfFNEOLhF', 'LB')
('AC12058-2022-11-01-5768','A321-8','hgDqZIzIUevJO', 'LB')
('AC22517-2022-11-02-5769','A321-9','Cc', 'UB')
('AC12058-2022-11-01-5769','A321-9','VVVIGuJTxFrPulo', 'UB')
('SL12058-2022-11-01-5632','S235-16','XALLMQN', 'SU')
('AC04652-2022-11-01-5995','A334-1','c', 'LB')
('AC04652-2022-11-02-5821','A324-7','ooODmnoXeqp', 'LB')
('SL22517-2022-11-02-5712','S238-24','nPOPmJ', 'SU')
('SL04652-2022-11-02-5729','S239-17','oxtkyzNNxharsGXZ', 'LB')
('AC22517-2022-11-01-5797','A323-1','MKrSfZbygiadRTQ', 'LB')
('SL12058-2022-11-01-5648','S236-8','K', 'SU')
('SL22517-2022-11-02-5723','S239-11','kpkTwbHwoeqCn', 'UB')
('AC04652-2022-11-01-6022','A335-10','NKQkOrajuQT', 'UB')
('AC22517-2022-11-02-5784','A322-6','jzYWwKrQa', 'SU')
('AC22517-2022-11-02-5788','A322-10','M', 'UB')
('AC22517-2022-11-01-5812','A323-16','pNfDWdmygXDx', 'UB')
('SL04652-2022-11-02-5751','S240-15','WhzXAQRD', 'SL')
('AC22517-2022-11-01-5816','A324-2','LUMYxOoPXwmqyPrv', 'LB')
('AC22517-2022-11-01-5817','A324-3','ePyQNScfTaU', 'UB')
('SL04652-2022-11-01-5701','S238-13','YMYzAnXehCSKEPHt', 'MB')
('SL04652-2022-11-02-5757','S240-21','Dy', 'MB')
('AC12058-2022-11-01-5795','A322-17','eaEeARRqinn', 'SL')
('SL22517-2022-11-02-5739','S240-3','QHjbukiBscBREB', 'UB')
('SL22517-2022-11-02-5741','S240-5','DuJ', 'MB')
('SL04652-2022-11-01-5735','S239-23','ojve', 'SL')
('SL12058-2022-11-01-5688','S237-24','FnpyST', 'SU')
('SL22517-2022-11-01-5711','S238-23','OSWiDsQbAX', 'SL')
('SL12058-2022-11-01-5692','S238-4','jIozaQDBoiqquzrt', 'LB')
('SL12058-2022-11-01-5693','S238-5','c', 'MB')
('AC04652-2022-11-01-6088','A339-4','OrBjGKMlofAp', 'UB')
('SL22517-2022-11-02-5791','S242-7','RFEbTniqBMOw', 'SL')
('SL12058-2022-11-01-5706','S238-18','BfvxmwQfpfWLZkA', 'MB')
('SL04652-2022-11-02-5810','S243-2','WBwAqRtGAMwVk', 'MB')
('SL22517-2022-11-02-5823','S243-15','uLQBVxk', 'SL')
('AC22517-2022-11-01-5881','A327-13','ymBQsoEgxJJOyDY', 'LB')
('AC22517-2022-11-02-5879','A327-11','Ey', 'SL')
('SL04652-2022-11-01-5780','S241-20','IM', 'LB')
('AC22517-2022-11-01-5909','A329-5','gdYjhuQ', 'SL')
('AC12058-2022-11-01-5880','A327-12','OnbzPvVoBiapPFY', 'SU')
('SL12058-2022-11-01-5753','S240-17','HyUheUstjjQCP', 'LB')
('AC04652-2022-11-02-5946','A331-6','POhvFVrv', 'SU')
('SL22517-2022-11-02-5858','S245-2','ptByideMV', 'MB')
('SL22517-2022-11-02-5873','S245-17','BOTNHDkgtoD', 'LB')
('SL22517-2022-11-01-5800','S242-16','BycNrTjABWthXl', 'SU')
('SL12058-2022-11-01-5767','S241-7','ZNV', 'SL')
('SL04652-2022-11-02-5886','S246-6','hCfltiDZFhI', 'UB')
('AC22517-2022-11-02-5921','A329-17','rPpA', 'SL')
('SL22517-2022-11-01-5826','S243-18','jNMIpCgP', 'MB')
('AC04652-2022-11-02-5991','A333-15','rIxtvWBiWanVkAFY', 'UB')
('SL04652-2022-11-02-5926','S247-22','Xm', 'UB')
('AC22517-2022-11-01-6035','A336-5','qWroKheAm', 'SL')
('SL04652-2022-11-02-6005','S251-5','EyXmsuJJxYxj', 'MB')
('SL22517-2022-11-01-5930','S248-2','voXLulDSAYCJY', 'MB')
('AC22517-2022-11-01-6085','A339-1','WwcDK', 'LB')
('SL12058-2022-11-01-5912','S247-8','KWXlWcbO', 'SU')
('AC12058-2022-11-01-6084','A338-18','LemfZLknnPHdvu', 'SU')
('SL12058-2022-11-01-5913','S247-9','HhBFUDcwBNSiDo', 'LB')
('SL22517-2022-11-02-6042','S252-18','EQDSbO', 'MB')
('SL04652-2022-11-01-5981','S250-5','ga', 'MB')
('SL22517-2022-11-01-5995','S250-19','KoN', 'UB')
('SL22517-2022-11-01-6032','S252-8','nOfcyBAT', 'SU')
('AC12058-2022-11-01-6146','A342-8','LVOMeQznBoBmlk', 'LB')
('AC22517-2022-11-01-6164','A343-8','OZAfwOkcuIp', 'LB')
('AC22517-2022-11-02-6177','A344-3','Uv', 'UB')
('AC04652-2022-11-01-6421','A357-13','JPzVwhPDste', 'LB')
('AC22517-2022-11-01-6171','A343-15','nKATNBA', 'UB')
('AC12058-2022-11-01-6152','A342-14','lLpiNVGwroalMHa', 'LB')
('SL22517-2022-11-02-6120','S255-24','Yh', 'SU')
('SL04652-2022-11-02-6122','S256-2','hItdUQ', 'MB')
('AC22517-2022-11-01-6177','A344-3','jqqQqaBun', 'UB')
('AC04652-2022-11-02-6212','A346-2','gqsNnzDirVX', 'LB')
('AC22517-2022-11-01-6179','A344-5','yRAsmtXlayYirSkT', 'SL')
('AC12058-2022-11-01-6161','A343-5','YwfdLPgOQLFVdo', 'SL')
('AC22517-2022-11-01-6180','A344-6','uZFcESdsFwF', 'SU')
('AC22517-2022-11-02-6185','A344-11','aeAWQ', 'SL')
('AC22517-2022-11-02-6187','A344-13','jUHpsFkFNO', 'LB')
('AC04652-2022-11-02-6221','A346-11','gBXntuAnLcydteCd', 'SL')
('SL22517-2022-11-01-6059','S253-11','SgvcKeU', 'UB')
('AC22517-2022-11-01-6223','A346-13','puYfXeS', 'LB')
('SL22517-2022-11-02-6172','S258-4','trbOdKDkdBrtQL', 'LB')
('AC22517-2022-11-02-6224','A346-14','WyVPkVEaRbG', 'LB')
('AC22517-2022-11-01-6227','A346-17','sXLuxgq', 'SL')
('SL04652-2022-11-02-6167','S257-23','dpSOUmjJrFIYjqPW', 'SL')
('SL12058-2022-11-01-6023','S251-23','fcJyARXIC', 'SL')
('SL12058-2022-11-01-6025','S252-1','QgwvUcpbVLehczjG', 'LB')
('SL12058-2022-11-01-6026','S252-2','FARXW', 'MB')
('AC12058-2022-11-01-6217','A346-7','iM', 'LB')
('SL12058-2022-11-01-6030','S252-6','EmLs', 'UB')
('AC04652-2022-11-01-6483','A361-3','yyA', 'UB')
('AC04652-2022-11-02-6254','A348-8','etwYZs', 'LB')
('SL12058-2022-11-01-6034','S252-10','Wnn', 'MB')
('AC22517-2022-11-02-6234','A347-6','bVvhsMst', 'SU')
('AC22517-2022-11-01-6238','A347-10','U', 'UB')
('SL22517-2022-11-01-6112','S255-16','etO', 'SU')
('SL22517-2022-11-02-6192','S258-24','s', 'SU')
('SL12058-2022-11-01-6039','S252-15','OAyBTqvkwHSjAa', 'SL')
('AC04652-2022-11-02-6260','A348-14','IOixCKCQhlkBm', 'LB')
('AC22517-2022-11-02-6239','A347-11','uehYNN', 'SL')
('AC04652-2022-11-01-6496','A361-16','fvSNKVeFhyaWKNTH', 'UB')
('AC12058-2022-11-01-6231','A347-3','jzirZEUyFqai', 'UB')
('SL04652-2022-11-02-6176','S258-8','OuPZptzAtdynhjzN', 'SU')
('SL04652-2022-11-02-6178','S258-10','pPmG', 'MB')
('SL04652-2022-11-01-6110','S255-14','afXGC', 'UB')
('AC22517-2022-11-01-6249','A348-3','mWHMQ', 'UB')
('AC22517-2022-11-01-6250','A348-4','VByTgI', 'UB')
('AC12058-2022-11-01-6237','A347-9','hJapuygoNKbTTP', 'UB')
('AC22517-2022-11-02-6248','A348-2','fphvjFnitEof', 'LB')
('AC12058-2022-11-01-6238','A347-10','NnPrayXb', 'UB')
('AC22517-2022-11-01-6256','A348-10','AQUgcWo', 'UB')
('AC04652-2022-11-02-6268','A349-4','AtsxTYusEInywGY', 'UB')
('AC22517-2022-11-02-6252','A348-6','fZiCdILWZwpxcP', 'SU')
('SL04652-2022-11-01-6123','S256-3','zQPCzFkEJCUdDXC', 'UB')
('SL04652-2022-11-02-6194','S259-2','bUlbX', 'MB')
('SL04652-2022-11-01-6127','S256-7','wLTVRN', 'SL')
('AC12058-2022-11-01-6247','A348-1','WUCPIbKKCzW', 'LB')
('AC22517-2022-11-02-6258','A348-12','GhjYfCcuCuwdg', 'SU')
('AC04652-2022-11-01-6520','A363-4','YteVnpmA', 'UB')
('AC04652-2022-11-01-6521','A363-5','ceZooVlozpuYdaWV', 'SL')
('AC22517-2022-11-01-6269','A349-5','qrMzlG', 'SL')
('SL04652-2022-11-02-6201','S259-9','ObRefRouSoJ', 'LB')
('AC12058-2022-11-01-6259','A348-13','nVJK', 'LB')
('AC22517-2022-11-01-6275','A349-11','BJSnbqoi', 'SL')
('SL04652-2022-11-02-6209','S259-17','PVwGzIfZ', 'LB')
('SL12058-2022-11-01-6061','S253-13','EjGEXQB', 'MB')
('AC12058-2022-11-01-6266','A349-2','J', 'LB')
('AC04652-2022-11-02-6291','A350-9','zXHp', 'UB')
('SL04652-2022-11-01-6145','S257-1','RptqtAefW', 'LB')
('SL12058-2022-11-01-6065','S253-17','pwkcdRTn', 'LB')
('SL22517-2022-11-01-6172','S258-4','ladSrpIXrRnSJ', 'LB')
('AC22517-2022-11-02-6299','A350-17','fnRz', 'SL')
('SL22517-2022-11-01-6187','S258-19','FDsoAUjtROw', 'UB')
('SL22517-2022-11-01-6188','S258-20','EqevRggUCBv', 'LB')
('AC04652-2022-11-01-6573','A366-3','ZVXQNsszOsHyGL', 'UB')
('SL04652-2022-11-02-6259','S261-19','poDOAapr', 'UB')
('AC04652-2022-11-02-6340','A353-4','lWxXtTZnFz', 'UB')
('SL04652-2022-11-01-6187','S258-19','uayYzvsRHX', 'UB')
('AC04652-2022-11-02-6342','A353-6','zkuJXpTGzhPd', 'SU')
('AC22517-2022-11-01-6335','A352-17','brMayqtITA', 'SL')
('SL22517-2022-11-02-6288','S262-24','cyBBpAVfDzhZWpZ', 'SU')
('AC04652-2022-11-01-6612','A368-6','QKCKrUcYECCIpD', 'SU')
('AC22517-2022-11-02-6348','A353-12','NG', 'SU')
('SL22517-2022-11-01-6241','S261-1','GxLrbkSGelrl', 'LB')
('SL12058-2022-11-01-6162','S257-18','bghPCXEVq', 'MB')
('AC22517-2022-11-01-6369','A354-15','ifcRfxmgZqU', 'UB')
('AC04652-2022-11-02-6389','A355-17','OKzJVH', 'SL')
('AC04652-2022-11-02-6403','A356-13','ylmNE', 'LB')
('AC12058-2022-11-01-6378','A355-6','Rh', 'SU')
('SL22517-2022-11-01-6262','S261-22','BqwACLRFJSbkNXU', 'UB')
('SL12058-2022-11-01-6186','S258-18','fzdHeydGDMXgeOW', 'MB')
('AC22517-2022-11-02-6382','A355-10','WUcahUogBZ', 'UB')
('AC04652-2022-11-02-6409','A357-1','qsZWGeS', 'LB')
('AC12058-2022-11-01-6384','A355-12','aJhATmPuPP', 'SU')
('AC04652-2022-11-01-6658','A370-16','eOoq', 'UB')
('SL22517-2022-11-01-6280','S262-16','luiGNvLHXoPmV', 'SU')
('SL04652-2022-11-01-6278','S262-14','MSmnhvDxB', 'UB')
('AC22517-2022-11-01-6414','A357-6','uKlssH', 'SU')
('AC22517-2022-11-02-6400','A356-10','bXcICjYDee', 'UB')
('SL04652-2022-11-02-6358','S265-22','JInrEGpu', 'UB')
('SL04652-2022-11-02-6359','S265-23','vrfKWqKigS', 'SL')
('AC04652-2022-11-02-6428','A358-2','LDAEhoiqTa', 'LB')
('SL04652-2022-11-02-6362','S266-2','ifsOpjd', 'MB')
('SL22517-2022-11-02-6386','S267-2','aFZqvBpM', 'MB')
('SL04652-2022-11-01-6324','S264-12','FRTKMhMII', 'LB')
('SL04652-2022-11-02-6395','S267-11','JjQCDHlM', 'UB')
('AC22517-2022-11-02-6442','A358-16','G', 'UB')
('SL04652-2022-11-02-6398','S267-14','HTkNP', 'UB')
('AC22517-2022-11-01-6448','A359-4','bsNO', 'UB')
('AC04652-2022-11-02-6463','A360-1','fkhNPbk', 'LB')
('AC12058-2022-11-01-6441','A358-15','ZT', 'UB')
('SL04652-2022-11-01-6343','S265-7','kKJpwOXTVeMge', 'SL')
('SL22517-2022-11-01-6394','S267-10','DOrpXsghQrZKqJuh', 'MB')
('AC22517-2022-11-01-6494','A361-14','cyGORmnCK', 'LB')
('AC12058-2022-11-01-6493','A361-13','sPY', 'LB')
('AC12058-2022-11-01-6494','A361-14','j', 'LB')
('AC22517-2022-11-01-6511','A362-13','XqLtgiYlPjipend', 'LB')
('AC22517-2022-11-02-6508','A362-10','G', 'UB')
('AC22517-2022-11-01-6515','A362-17','ioEgyqJqHmoPdXz', 'SL')
('SL22517-2022-11-02-6468','S270-12','iOXjiS', 'LB')
('AC04652-2022-11-02-6528','A363-12','cR', 'SU')
('AC22517-2022-11-01-6531','A363-15','MfENMilvUAOXL', 'UB')
('AC04652-2022-11-01-6806','A379-2','RPue', 'LB')
('AC04652-2022-11-01-6807','A379-3','BuUfSgLwjz', 'UB')
('AC12058-2022-11-01-6533','A363-17','ajdg', 'SL')
('AC04652-2022-11-02-6554','A365-2','XLzoOokXTQnfxuXj', 'LB')
('SL12058-2022-11-01-6351','S265-15','lWBTaFnu', 'SL')
('AC04652-2022-11-02-6555','A365-3','DBhnevN', 'UB')
('AC22517-2022-11-01-6553','A365-1','ubSkxbwqHsYS', 'LB')
('SL22517-2022-11-01-6461','S270-5','GXWrrSfs', 'MB')
('AC04652-2022-11-02-6572','A366-2','hHoxtZDZxpBmlOBR', 'LB')
('SL22517-2022-11-01-6466','S270-10','UhDFiCvUtaUGnBU', 'MB')
('AC04652-2022-11-01-6844','A381-4','WQabdsT', 'UB')
('SL04652-2022-11-02-6530','S273-2','TyUaPVHWeoAAgr', 'MB')
('AC12058-2022-11-01-6566','A365-14','nfhGgPCA', 'LB')
('AC12058-2022-11-01-6567','A365-15','YqlNvGWIkEL', 'UB')
('AC04652-2022-11-02-6578','A366-8','M', 'LB')
('SL22517-2022-11-02-6538','S273-10','ohmHP', 'MB')
('AC12058-2022-11-01-6570','A365-18','ySbJPHe', 'SU')
('AC12058-2022-11-01-6574','A366-4','MEtJw', 'UB')
('AC12058-2022-11-01-6575','A366-5','oiUwwURQ', 'SL')
('SL22517-2022-11-02-6539','S273-11','HcUESbbDmM', 'UB')
('SL04652-2022-11-01-6480','S270-24','cSRQSGXze', 'SU')
('SL04652-2022-11-01-6481','S271-1','RnYr', 'LB')
('AC12058-2022-11-01-6579','A366-9','bKdALorO', 'UB')
('SL04652-2022-11-01-6483','S271-3','ALhiJ', 'UB')
('SL22517-2022-11-01-6479','S270-23','T', 'SL')
('SL22517-2022-11-02-6544','S273-16','CJq', 'SU')
('AC22517-2022-11-01-6591','A367-3','FPNJrxIEShczFFG', 'UB')
('SL22517-2022-11-01-6481','S271-1','VcVomFrkIEIA', 'LB')
('AC04652-2022-11-01-6855','A381-15','rDWZuSQJ', 'UB')
('AC04652-2022-11-02-6591','A367-3','pAThJMw', 'UB')
('SL12058-2022-11-01-6395','S267-11','iIFdPkm', 'UB')
('SL04652-2022-11-01-6516','S272-12','aUrJqmZeBUfhvj', 'LB')
('AC22517-2022-11-02-6623','A368-17','cnhDAQLUW', 'SL')
('SL04652-2022-11-01-6517','S272-13','hieLLDhxpoVRbwk', 'MB')
('SL22517-2022-11-02-6611','S276-11','UrndHOLYbvvFA', 'UB')
('AC12058-2022-11-01-6637','A369-13','oRlHIbJGSOpveUqx', 'LB')
('AC22517-2022-11-01-6676','A371-16','pBKMf', 'UB')
('SL04652-2022-11-01-6640','S277-16','VhPgqt', 'SU')
('SL12058-2022-11-01-6542','S273-14','U', 'UB')
('AC22517-2022-11-02-6768','A376-18','cHHRMZPEkrvtmgaV', 'SU')
('SL22517-2022-11-02-6720','S280-24','jmezwiAZJmZHlSA', 'SU')
