('AC22517-2022-11-02-3902','A217-14','hwELuFRnWxIzuk', 'LB')
('AC22517-2022-11-02-3921','A218-15','elNlARVGySjmJC', 'UB')
('AC04652-2022-11-01-3854','A215-2','NsGWTXSohpbLbBRF', 'LB')
('AC12058-2022-11-01-3881','A216-11','bVVeNdecZ', 'SL')
('AC12058-2022-11-01-3882','A216-12','yfdkZuCoAcIt', 'SU')
('SL22517-2022-11-02-3954','S165-18','WsyVRGZlkxzmKFrp', 'MB')
('SL22517-2022-11-02-3955','S165-19','ZFMu', 'UB')
('SL22517-2022-11-01-3837','S160-21','OFclQrGjjnbagwTZ', 'MB')
('AC22517-2022-11-01-3873','A216-3','WZO', 'UB')
('AC12058-2022-11-01-3887','A216-17','cxkVXWeqgPtiI', 'SL')
('SL04652-2022-11-02-3762','S157-18','iCXPHnHL', 'MB')
('SL04652-2022-11-02-3763','S157-19','nYiCzUSDBrvwStzf', 'UB')
('AC12058-2022-11-01-3890','A217-2','STwXIX', 'LB')
('SL04652-2022-11-01-3943','S165-7','dVQWLcO', 'SL')
('SL22517-2022-11-02-3958','S165-22','YzvD', 'UB')
('SL22517-2022-11-02-3962','S166-2','keAQlLdAFBxID', 'MB')
('SL04652-2022-11-02-3769','S158-1','LwoagzJaCnsHjou', 'LB')
('SL04652-2022-11-01-3947','S165-11','BmqgspjJEHDrw', 'UB')
('SL22517-2022-11-01-3844','S161-4','NGrDEStiXAbeoGFv', 'LB')
('SL04652-2022-11-02-3771','S158-3','mFMXrsk', 'UB')
('SL22517-2022-11-02-3963','S166-3','EgQ', 'UB')
('AC22517-2022-11-02-3936','A219-12','wNNMTzr', 'SU')
('AC04652-2022-11-01-3862','A215-10','uFeptJ', 'UB')
('SL22517-2022-11-01-3849','S161-9','FSPCeZ', 'LB')
('SL04652-2022-11-02-3775','S158-7','BPA', 'SL')
('AC22517-2022-11-02-3939','A219-15','wKAzEjdMIAW', 'UB')
('SL04652-2022-11-02-3777','S158-9','CqYdCVqx', 'LB')
('AC22517-2022-11-02-3941','A219-17','WrguXlsJpWBB', 'SL')
('AC22517-2022-11-02-3942','A219-18','HIovSVfAncQbllHE', 'SU')
('AC04652-2022-11-02-3937','A219-13','MPtnYuKHq', 'LB')
('AC04652-2022-11-01-3867','A215-15','OmobOwzK', 'UB')
('AC04652-2022-11-02-3939','A219-15','QpcTExKOCcipi', 'UB')
('SL04652-2022-11-02-3780','S158-12','AZyzstNqaaIOwUGQ', 'LB')
('AC12058-2022-11-01-3898','A217-10','KriUxcx', 'UB')
('SL22517-2022-11-01-3852','S161-12','axBLAGik', 'LB')
('AC04652-2022-11-02-3942','A219-18','I', 'SU')
('AC22517-2022-11-01-3885','A216-15','qtTOmXMauuaTkW', 'UB')
('SL04652-2022-11-02-3781','S158-13','aZvA', 'MB')
('AC04652-2022-11-02-3944','A220-2','szYcbNmkBNtpPXjb', 'LB')
('SL22517-2022-11-01-3854','S161-14','ahveBux', 'UB')
('SL22517-2022-11-02-3969','S166-9','Cged', 'LB')
('SL22517-2022-11-02-3970','S166-10','sJUhgJAseait', 'MB')
('AC12058-2022-11-01-3903','A217-15','MaNKhfPnb', 'UB')
('SL22517-2022-11-02-3972','S166-12','PWIW', 'LB')
('AC22517-2022-11-02-3950','A220-8','GBhiW', 'LB')
('AC12058-2022-11-01-3906','A217-18','kW', 'SU')
('SL22517-2022-11-01-3855','S161-15','xcJwdIUAbWfK', 'SL')
('AC04652-2022-11-02-3947','A220-5','rHhLu', 'SL')
('SL04652-2022-11-02-3790','S158-22','RlDmSPZrUQT', 'UB')
('AC12058-2022-11-01-3912','A218-6','ve', 'SU')
('AC22517-2022-11-01-3894','A217-6','RbB', 'SU')
('SL22517-2022-11-01-3863','S161-23','fkzwBHXDoXCGtjox', 'SL')
('AC22517-2022-11-02-3957','A220-15','aVSDTPLmJzPL', 'UB')
('AC22517-2022-11-02-3958','A220-16','kinnKdZcuKBGTrC', 'UB')
('SL04652-2022-11-02-3792','S158-24','eCD', 'SU')
('AC04652-2022-11-01-3878','A216-8','piq', 'LB')
('AC12058-2022-11-01-3914','A218-8','gKDNyBQVzRd', 'LB')
('SL04652-2022-11-01-3958','S165-22','kjijwWffKL', 'UB')
('SL04652-2022-11-02-3797','S159-5','YMxLB', 'MB')
('SL04652-2022-11-01-3960','S165-24','JjyYBJeLjNiWO', 'SU')
('AC04652-2022-11-01-3880','A216-10','URMNxiqJ', 'UB')
('SL22517-2022-11-02-3978','S166-18','dHNgdSiKZohm', 'MB')
('AC22517-2022-11-02-3962','A221-2','fFdrpoKVaZI', 'LB')
('SL12058-2022-11-01-3897','S163-9','vKDHvPJ', 'LB')
('SL22517-2022-11-01-3866','S162-2','WVtFuDtsvviL', 'MB')
('SL12058-2022-11-01-3900','S163-12','MpkZJKj', 'LB')
('AC04652-2022-11-01-3883','A216-13','oNOiGaStbF', 'LB')
('AC04652-2022-11-02-3953','A220-11','bUUMiSM', 'SL')
('SL04652-2022-11-01-3964','S166-4','G', 'LB')
('SL04652-2022-11-01-3965','S166-5','MroxHMuEbGTQLjd', 'MB')
('AC04652-2022-11-02-3954','A220-12','wkLY', 'SU')
('SL22517-2022-11-01-3874','S162-10','uAydWzXbrRa', 'MB')
('AC22517-2022-11-01-3906','A217-18','bjutaHQjHpfMZUQp', 'SU')
('AC04652-2022-11-01-3887','A216-17','lYhMgQunR', 'SL')
('AC04652-2022-11-02-3958','A220-16','yJuJdTFOIXl', 'UB')
('SL04652-2022-11-02-3805','S159-13','wyNsiXWd', 'MB')
('AC12058-2022-11-01-3932','A219-8','XtK', 'LB')
('AC04652-2022-11-02-3960','A220-18','vCzjmRZ', 'SU')
('SL04652-2022-11-01-3970','S166-10','KlwdqyvoCVHEOA', 'MB')
('SL04652-2022-11-01-3971','S166-11','owiBzaabNDE', 'UB')
('SL12058-2022-11-01-3907','S163-19','pHTuOyXEGsjBgM', 'UB')
('SL22517-2022-11-01-3877','S162-13','rApvYp', 'MB')
('SL22517-2022-11-01-3878','S162-14','JoPbk', 'UB')
('SL22517-2022-11-01-3879','S162-15','eeun', 'SL')
('SL12058-2022-11-01-3909','S163-21','tpydPmfCc', 'MB')
('AC22517-2022-11-02-3973','A221-13','fZWF', 'LB')
('AC22517-2022-11-01-3911','A218-5','loRLPeVBKLmkRprx', 'SL')
('SL04652-2022-11-01-3975','S166-15','OPefDFpzUsGtbPeH', 'SL')
('AC12058-2022-11-01-3934','A219-10','GLEHaJuFJYTg', 'UB')
('SL12058-2022-11-01-3910','S163-22','AfFjRajyoQaWtUcv', 'UB')
('AC22517-2022-11-01-3917','A218-11','lvbeczeCwJ', 'SL')
('AC22517-2022-11-02-3978','A221-18','poOxjurKb', 'SU')
('AC22517-2022-11-02-3979','A222-1','NDilmQGWeeAduzP', 'LB')
('SL04652-2022-11-01-3978','S166-18','GsnvCXckCyjQmKC', 'MB')
('AC22517-2022-11-02-3981','A222-3','BaiOfm', 'UB')
('SL04652-2022-11-01-3979','S166-19','QdwwCioXhCR', 'UB')
('AC12058-2022-11-01-3940','A219-16','JfmgUOajZhsakt', 'UB')
('SL04652-2022-11-02-3812','S159-20','mcPd', 'LB')
('AC22517-2022-11-01-3920','A218-14','sgsZga', 'LB')
('AC04652-2022-11-02-3973','A221-13','YkEUiVLWChGVcJzz', 'LB')
('SL12058-2022-11-01-3915','S164-3','jtchEVw', 'UB')
('SL22517-2022-11-01-3888','S162-24','JyUtZMTqq', 'SU')
('SL04652-2022-11-02-3815','S159-23','NLSapOtfbhvf', 'SL')
('AC04652-2022-11-02-3976','A221-16','qkJNu', 'UB')
('SL04652-2022-11-01-3983','S166-23','bDshxLaMPAb', 'SL')
('AC22517-2022-11-02-3986','A222-8','gN', 'LB')
('SL22517-2022-11-01-3889','S163-1','xgpZZ', 'LB')
('SL22517-2022-11-02-3996','S167-12','wtQhw', 'LB')
('SL22517-2022-11-01-3890','S163-2','nKOOYBWNW', 'MB')
('SL22517-2022-11-02-3997','S167-13','tXsqxeCUnDjsIP', 'MB')
('AC22517-2022-11-01-3924','A218-18','qEFrcmurVvpdrC', 'SU')
('AC22517-2022-11-01-3925','A219-1','IJnG', 'LB')
('AC04652-2022-11-02-3978','A221-18','yLyBWU', 'SU')
('AC22517-2022-11-02-3989','A222-11','bBkjupKlQL', 'SL')
('SL22517-2022-11-02-4000','S167-16','U', 'SU')
('SL22517-2022-11-02-4001','S167-17','VvDSIRgR', 'LB')
('SL04652-2022-11-01-3990','S167-6','o', 'UB')
('AC22517-2022-11-02-3993','A222-15','tORZJAOvwovg', 'UB')
('SL04652-2022-11-01-3992','S167-8','FaprDZXAYkcAcf', 'SU')
('AC04652-2022-11-02-3981','A222-3','twwvmD', 'UB')
('AC12058-2022-11-01-3948','A220-6','wtBK', 'SU')
('AC12058-2022-11-01-3949','A220-7','rroHvg', 'LB')
('SL04652-2022-11-01-3994','S167-10','sCOwGserNYGLn', 'MB')
('SL12058-2022-11-01-3923','S164-11','AlJbqzJPM', 'UB')
('AC12058-2022-11-01-3951','A220-9','VItQKSkz', 'UB')
('SL04652-2022-11-01-3995','S167-11','IcAOGpPFKdOcDZzX', 'UB')
('SL12058-2022-11-01-3928','S164-16','XhcNBNhNaWnqW', 'SU')
('SL04652-2022-11-02-3826','S160-10','bNVrPZTlOwv', 'MB')
('AC12058-2022-11-01-3954','A220-12','VEgFSzSMlzAUtX', 'SU')
('SL12058-2022-11-01-3930','S164-18','q', 'MB')
('AC22517-2022-11-01-3934','A219-10','lUbQxjfvPGcfT', 'UB')
('SL12058-2022-11-01-3931','S164-19','wwd', 'UB')
('AC12058-2022-11-01-3959','A220-17','g', 'SL')
('AC04652-2022-11-02-3987','A222-9','UJjPdBiLoIdlE', 'UB')
('AC04652-2022-11-01-3918','A218-12','Sho', 'SU')
('SL22517-2022-11-01-3898','S163-10','hAWolTZPqaB', 'MB')
('SL22517-2022-11-02-4010','S168-2','ruBZdbjEYXSNEqcs', 'MB')
('AC04652-2022-11-01-3919','A218-13','EhmyuI', 'LB')
('SL22517-2022-11-02-4013','S168-5','hJvlUkoswHEpK', 'MB')
('AC22517-2022-11-02-4008','A223-12','s', 'SU')
('AC22517-2022-11-02-4009','A223-13','AVIQPpgtAy', 'LB')
('AC12058-2022-11-01-3962','A221-2','Lr', 'LB')
('AC04652-2022-11-01-3920','A218-14','LeWQ', 'LB')
('SL22517-2022-11-01-3901','S163-13','MMD', 'MB')
('AC04652-2022-11-01-3921','A218-15','TwmfzfeQipKpG', 'UB')
('AC04652-2022-11-01-3922','A218-16','VYHXnpWrMOgwTDn', 'UB')
('SL04652-2022-11-01-4010','S168-2','DIjdGoiCIpdFe', 'MB')
('SL22517-2022-11-02-4016','S168-8','lsHnHBXiJxlOq', 'SU')
('SL04652-2022-11-01-4012','S168-4','snvyj', 'LB')
('AC12058-2022-11-01-3965','A221-5','vOMP', 'SL')
('SL04652-2022-11-02-3836','S160-20','nZLwO', 'LB')
('SL22517-2022-11-01-3909','S163-21','Eh', 'MB')
('AC04652-2022-11-02-3993','A222-15','pllcg', 'UB')
('SL22517-2022-11-02-4019','S168-11','Lmsu', 'UB')
('AC04652-2022-11-02-3996','A222-18','NAOKhwaL', 'SU')
('SL22517-2022-11-02-4022','S168-14','ZNmnt', 'UB')
('AC22517-2022-11-01-3949','A220-7','gkDHAAQuWwGdgXy', 'LB')
('SL22517-2022-11-01-3912','S163-24','SjrRGkoSZUk', 'SU')
('AC04652-2022-11-01-3927','A219-3','NTPl', 'UB')
('SL04652-2022-11-02-3841','S161-1','opEKrQ', 'LB')
('AC04652-2022-11-01-3928','A219-4','tAQayCYUFhoM', 'UB')
('SL22517-2022-11-02-4023','S168-15','FTsFIg', 'SL')
('SL04652-2022-11-01-4019','S168-11','mVZ', 'UB')
('SL22517-2022-11-02-4025','S168-17','oMJBMbkxUP', 'LB')
('SL04652-2022-11-01-4021','S168-13','w', 'MB')
('AC22517-2022-11-01-3950','A220-8','rCLwgKjIXGLMPO', 'LB')
('AC04652-2022-11-02-4004','A223-8','YHWUazxdTpxAu', 'LB')
('SL04652-2022-11-02-3844','S161-4','rVxbdS', 'LB')
('AC22517-2022-11-02-4022','A224-8','sU', 'LB')
('AC04652-2022-11-02-4007','A223-11','fazZASKnxDS', 'SL')
('AC12058-2022-11-01-3975','A221-15','OPRWvexwIaTC', 'UB')
('AC12058-2022-11-01-3976','A221-16','vJrYCpMRKpjHfGq', 'UB')
('SL12058-2022-11-01-3943','S165-7','PcmCmHWZMjgVLFZd', 'SL')
('AC22517-2022-11-02-4028','A224-14','SvxRBkPKwBbO', 'LB')
('AC22517-2022-11-02-4029','A224-15','OskvdDvXRlNDZbRm', 'UB')
('SL22517-2022-11-01-3917','S164-5','wBLTDx', 'MB')
('AC04652-2022-11-02-4012','A223-16','fIGfkeZArQ', 'UB')
('AC12058-2022-11-01-3983','A222-5','aheGHJdmiKAM', 'SL')
('AC04652-2022-11-01-3937','A219-13','mhcKcPJk', 'LB')
('SL04652-2022-11-01-4025','S168-17','VeqZTKZn', 'LB')
('SL04652-2022-11-01-4026','S168-18','Rmm', 'MB')
('AC12058-2022-11-01-3985','A222-7','rlrNzpKf', 'LB')
('SL04652-2022-11-02-3860','S161-20','qozxZQPdyeK', 'LB')
('SL12058-2022-11-01-3950','S165-14','VozOMRDauoskVDi', 'UB')
('SL04652-2022-11-02-3862','S161-22','ePntbbTeGGsF', 'UB')
('AC04652-2022-11-01-3941','A219-17','PFrEkvJHrcCYflU', 'SL')
('SL22517-2022-11-01-3922','S164-10','ONxXhGNhKtS', 'MB')
('SL22517-2022-11-02-4032','S168-24','guYtUHpx', 'SU')
('AC22517-2022-11-02-4038','A225-6','ueSpprUkTyPg', 'SU')
('SL04652-2022-11-01-4032','S168-24','mQLKSE', 'SU')
('AC04652-2022-11-01-3944','A220-2','xUMsKtUUUhlRZmI', 'LB')
('AC04652-2022-11-01-3945','A220-3','YmkYuZM', 'UB')
('AC12058-2022-11-01-3990','A222-12','wmthzUcMpAcPFkF', 'SU')
('SL12058-2022-11-01-3955','S165-19','lqidccsKAQi', 'UB')
('AC22517-2022-11-01-3963','A221-3','Tdirz', 'UB')
('SL04652-2022-11-02-3866','S162-2','diPjvppIDh', 'MB')
('SL04652-2022-11-01-4037','S169-5','QvqoJMOlAUb', 'MB')
('SL04652-2022-11-02-3867','S162-3','Hs', 'UB')
('AC04652-2022-11-01-3947','A220-5','rYhltM', 'SL')
('SL22517-2022-11-02-4035','S169-3','cfpWLspFvwqmZith', 'UB')
('AC22517-2022-11-01-3965','A221-5','eTXO', 'SL')
('SL04652-2022-11-01-4038','S169-6','EDDPCLFezJBwYHRb', 'UB')
('AC12058-2022-11-01-3996','A222-18','HPGYtsSGr', 'SU')
('SL04652-2022-11-01-4039','S169-7','qNEshI', 'SL')
('AC04652-2022-11-01-3948','A220-6','QK', 'SU')
('SL04652-2022-11-02-3872','S162-8','KTs', 'SU')
('SL04652-2022-11-02-3873','S162-9','acZSgzj', 'LB')
('AC12058-2022-11-01-3999','A223-3','gpTAkVCVvuk', 'UB')
('AC22517-2022-11-02-4046','A225-14','qGMbCm', 'LB')
('AC22517-2022-11-02-4047','A225-15','hulBQohYtHdbC', 'UB')
('SL04652-2022-11-01-4041','S169-9','yUbrHRv', 'LB')
('SL22517-2022-11-01-3931','S164-19','eLmEYZzw', 'UB')
('SL04652-2022-11-02-3875','S162-11','QrLIkiGbqiMK', 'UB')
('SL04652-2022-11-01-4042','S169-10','paXKOadvCSlv', 'MB')
('SL22517-2022-11-01-3934','S164-22','HRkBllOnQRbmAum', 'UB')
('AC22517-2022-11-02-4050','A225-18','pOiK', 'SU')
('AC22517-2022-11-01-3971','A221-11','WEQSYMEOsOpMOp', 'SL')
('SL22517-2022-11-01-3935','S164-23','lTmryzaYxuCn', 'SL')
('SL22517-2022-11-01-3936','S164-24','OFdIi', 'SU')
('SL12058-2022-11-01-3965','S166-5','NOrgkMNtbHoIpwC', 'MB')
('AC22517-2022-11-01-3975','A221-15','FXfTId', 'UB')
('AC22517-2022-11-02-4052','A226-2','toIPTDhFrb', 'LB')
('SL04652-2022-11-02-3880','S162-16','lOMbhSKwDcVb', 'SU')
('AC22517-2022-11-01-3976','A221-16','hfJobis', 'UB')
('AC12058-2022-11-01-4004','A223-8','SNFGP', 'LB')
('AC04652-2022-11-01-3955','A220-13','puGjMmzRidqWpma', 'LB')
('SL12058-2022-11-01-3968','S166-8','perKWBHJ', 'SU')
('SL04652-2022-11-01-4045','S169-13','kCXgLS', 'MB')
('AC12058-2022-11-01-4006','A223-10','QACAfCSrpm', 'UB')
('SL22517-2022-11-02-4048','S169-16','ckob', 'SU')
('SL12058-2022-11-01-3970','S166-10','oduFdkKzLwsq', 'MB')
('AC12058-2022-11-01-4008','A223-12','MqkdwdbA', 'SU')
('AC22517-2022-11-01-3979','A222-1','s', 'LB')
('SL22517-2022-11-01-3943','S165-7','jjufK', 'SL')
('SL04652-2022-11-01-4050','S169-18','zRPShXRLczb', 'MB')
('SL12058-2022-11-01-3972','S166-12','CklwqXUiXrY', 'LB')
('AC22517-2022-11-01-3983','A222-5','DXkmVyz', 'SL')
('AC22517-2022-11-02-4059','A226-9','fZ', 'UB')
('SL22517-2022-11-02-4050','S169-18','pOkXcAHIlKBh', 'MB')
('SL12058-2022-11-01-3974','S166-14','DJH', 'UB')
('SL22517-2022-11-01-3947','S165-11','vOWSJp', 'UB')
('AC04652-2022-11-01-3965','A221-5','PsAeRHImxdpozrcu', 'SL')
('AC22517-2022-11-02-4060','A226-10','wqCIen', 'UB')
('AC22517-2022-11-01-3985','A222-7','hH', 'LB')
('AC04652-2022-11-02-4037','A225-5','ZjaxLY', 'SL')
('AC04652-2022-11-02-4038','A225-6','mDSaxq', 'SU')
('SL04652-2022-11-01-4057','S170-1','BBPfvqhwCHtK', 'LB')
('AC04652-2022-11-02-4039','A225-7','ZByNuifVpjORUpz', 'LB')
('AC04652-2022-11-01-3973','A221-13','eqCUNbiCqic', 'LB')
('SL12058-2022-11-01-3977','S166-17','SuKS', 'LB')
('SL04652-2022-11-01-4059','S170-3','XzHcqGKI', 'UB')
('SL12058-2022-11-01-3978','S166-18','wnsWfHWgp', 'MB')
('SL12058-2022-11-01-3979','S166-19','MCYuM', 'UB')
('SL04652-2022-11-01-4060','S170-4','skF', 'LB')
('AC04652-2022-11-02-4040','A225-8','CLsKqeqcoRtYgR', 'LB')
('AC22517-2022-11-02-4068','A226-18','uhroJmkjqXdUih', 'SU')
('SL04652-2022-11-02-3894','S163-6','FrTyVKfbJiDyX', 'UB')
('AC22517-2022-11-01-3996','A222-18','sQRkQMlJZlLD', 'SU')
('AC04652-2022-11-02-4042','A225-10','qoEYuIjhNCq', 'UB')
('AC04652-2022-11-02-4043','A225-11','UIEdnLp', 'SL')
('SL04652-2022-11-02-3895','S163-7','EaRaRAPzt', 'SL')
('AC12058-2022-11-01-4018','A224-4','ILgFLrEDMun', 'UB')
('SL04652-2022-11-01-4063','S170-7','tjhUTCn', 'SL')
('SL04652-2022-11-02-3896','S163-8','H', 'SU')
('SL04652-2022-11-02-3897','S163-9','oLfDjNiEFHG', 'LB')
('SL04652-2022-11-01-4064','S170-8','JfyH', 'SU')
('SL12058-2022-11-01-3983','S166-23','oNGxthNIIzy', 'SL')
('AC12058-2022-11-01-4020','A224-6','JumXxqHcfa', 'SU')
('SL04652-2022-11-02-3899','S163-11','nxozISsbsbW', 'UB')
('SL04652-2022-11-02-3903','S163-15','osiiu', 'SL')
('AC22517-2022-11-01-4000','A223-4','OOqmlrdcoVhNiBQ', 'UB')
('SL22517-2022-11-02-4065','S170-9','LhITmVbtoTcubt', 'LB')
('SL04652-2022-11-01-4070','S170-14','LiFiNVYJ', 'UB')
('AC04652-2022-11-02-4050','A225-18','tYghdaFyzQ', 'SU')
('SL22517-2022-11-02-4067','S170-11','LaitkQEV', 'UB')
('SL22517-2022-11-01-3965','S166-5','OSIUqXGIgb', 'MB')
('AC22517-2022-11-01-4008','A223-12','qX', 'SU')
('SL04652-2022-11-02-3911','S163-23','PNAwutOHuFEoRvs', 'SL')
('SL22517-2022-11-01-3968','S166-8','NT', 'SU')
('AC04652-2022-11-01-3989','A222-11','runJjCeLcgX', 'SL')
('AC22517-2022-11-02-4080','A227-12','EJ', 'SU')
('AC04652-2022-11-01-3990','A222-12','Vj', 'SU')
('AC04652-2022-11-01-3991','A222-13','eYXmkCSZQQCIzugy', 'LB')
('SL04652-2022-11-02-3917','S164-5','xicyRYirfjUHI', 'MB')
('AC04652-2022-11-02-4061','A226-11','MtVPxvJTZg', 'SL')
('SL22517-2022-11-02-4076','S170-20','B', 'LB')
('AC22517-2022-11-01-4010','A223-14','mBtaRferWb', 'LB')
('AC12058-2022-11-01-4031','A224-17','tdm', 'SL')
('SL04652-2022-11-01-4081','S171-1','xQtXAnftviVjRyJ', 'LB')
('SL04652-2022-11-02-3918','S164-6','lpU', 'UB')
('SL22517-2022-11-01-3975','S166-15','VPhoKkqDYJeD', 'SL')
('SL22517-2022-11-01-3976','S166-16','MrmSjqqrb', 'SU')
('AC22517-2022-11-01-4011','A223-15','aFJbuesnSfZNPYfP', 'UB')
('AC04652-2022-11-02-4062','A226-12','BXDMNB', 'SU')
('AC04652-2022-11-01-3997','A223-1','LEbmUZqE', 'LB')
('SL12058-2022-11-01-4000','S167-16','ulkOLIVKsshoJ', 'SU')
('SL22517-2022-11-02-4085','S171-5','gu', 'MB')
('SL12058-2022-11-01-4002','S167-18','lDBwsdJHmzOlAEEF', 'MB')
('AC04652-2022-11-02-4067','A226-17','e', 'SL')
('SL22517-2022-11-02-4088','S171-8','SDOopENPln', 'SU')
('AC04652-2022-11-01-4000','A223-4','otVB', 'UB')
('AC04652-2022-11-02-4071','A227-3','fPtn', 'UB')
('SL22517-2022-11-01-3985','S167-1','hfWqyxmmMc', 'LB')
('SL12058-2022-11-01-4005','S167-21','jiTKocF', 'MB')
('SL04652-2022-11-01-4088','S171-8','blRwhDZqBezBqaI', 'SU')
('SL12058-2022-11-01-4007','S167-23','daNRaTUncTckmH', 'SL')
('AC04652-2022-11-01-4003','A223-7','mITFKb', 'LB')
('AC04652-2022-11-02-4074','A227-6','m', 'SU')
('AC22517-2022-11-01-4017','A224-3','PTG', 'UB')
('SL22517-2022-11-01-3990','S167-6','loTIDFUyYPcf', 'UB')
('AC12058-2022-11-01-4043','A225-11','Sn', 'SL')
('SL04652-2022-11-01-4093','S171-13','pGglPvSzxLakgGl', 'MB')
('SL04652-2022-11-01-4094','S171-14','eZipXefXA', 'UB')
('SL04652-2022-11-01-4095','S171-15','iShlfqF', 'SL')
('AC22517-2022-11-02-4099','A228-13','zErmqiK', 'LB')
('SL04652-2022-11-01-4097','S171-17','cVCwPMw', 'LB')
('AC04652-2022-11-02-4076','A227-8','QDxCcPBhDCQvh', 'LB')
('AC22517-2022-11-02-4100','A228-14','ayCEYl', 'LB')
('AC04652-2022-11-01-4006','A223-10','wUiFD', 'UB')
('AC22517-2022-11-02-4102','A228-16','MciwfHqkSbQG', 'UB')
('AC04652-2022-11-02-4080','A227-12','XFFcm', 'SU')
('AC22517-2022-11-02-4104','A228-18','p', 'SU')
('AC04652-2022-11-02-4081','A227-13','RlbuBTXinqmyD', 'LB')
('AC04652-2022-11-01-4011','A223-15','bGdbgaGwJfQLXg', 'UB')
('AC22517-2022-11-02-4110','A229-6','lXGlydBSVowh', 'SU')
('AC22517-2022-11-02-4111','A229-7','FKJLSIU', 'LB')
('AC22517-2022-11-02-4112','A229-8','MqDteFwOMqBafYqg', 'LB')
('SL22517-2022-11-01-3995','S167-11','QPpENBSdFxljuUA', 'UB')
('AC04652-2022-11-02-4085','A227-17','kqpjvraV', 'SL')
('AC04652-2022-11-01-4018','A224-4','vGFtxUAUP', 'UB')
('AC22517-2022-11-02-4113','A229-9','DZurQYLqhXUphMgf', 'UB')
('SL22517-2022-11-01-3997','S167-13','FmuEuiNWEnCfy', 'MB')
('AC04652-2022-11-02-4087','A228-1','ReFBDJeioDUy', 'LB')
('SL12058-2022-11-01-4023','S168-15','r', 'SL')
('SL22517-2022-11-02-4099','S171-19','vN', 'UB')
('SL22517-2022-11-02-4100','S171-20','tnNgQkbPn', 'LB')
('SL04652-2022-11-02-3941','S165-5','HFKkcMtNeOcbst', 'MB')
('SL22517-2022-11-01-4002','S167-18','mcha', 'MB')
('SL12058-2022-11-01-4027','S168-19','bbHPSTrQLKakLRtC', 'UB')
('SL04652-2022-11-01-4107','S172-3','UN', 'UB')
('AC22517-2022-11-02-4117','A229-13','BveONjjXhgUI', 'LB')
('SL12058-2022-11-01-4029','S168-21','zMlUqPmHirPvgBnL', 'MB')
('AC22517-2022-11-02-4118','A229-14','RyDlkrXthzY', 'LB')
('AC04652-2022-11-02-4091','A228-5','W', 'SL')
('SL12058-2022-11-01-4032','S168-24','SgbFOtbR', 'SU')
('AC04652-2022-11-01-4021','A224-7','vQvjAxtlcrMvlf', 'LB')
('SL12058-2022-11-01-4033','S169-1','JbppADvGmfN', 'LB')
('AC12058-2022-11-01-4053','A226-3','XGGjR', 'UB')
('AC04652-2022-11-01-4023','A224-9','yTp', 'UB')
('SL04652-2022-11-01-4109','S172-5','KDWWUMPVnXkj', 'MB')
('SL04652-2022-11-02-3945','S165-9','naLNjfcryLzkPyc', 'LB')
('SL04652-2022-11-02-3946','S165-10','WltpltwokxK', 'MB')
('AC04652-2022-11-01-4024','A224-10','cgLUbJGqwgBEFJW', 'UB')
