('SL12058-2022-11-01-1133','S48-5','udhGaWlU', 'MB')
('SL22517-2022-11-02-1344','S56-24','ufQZDJxmYcKPMW', 'SU')
('SL04652-2022-11-01-1342','S56-22','FHbhG', 'UB')
('SL04652-2022-11-02-1355','S57-11','TeCiGFVInifb', 'UB')
('AC04652-2022-11-02-1385','A77-17','YQhFdbIFnKV', 'SL')
('SL04652-2022-11-02-1357','S57-13','qYqD', 'MB')
('SL04652-2022-11-01-1348','S57-4','JMOKvn', 'LB')
('SL22517-2022-11-02-1349','S57-5','YnUs', 'MB')
('AC12058-2022-11-01-1335','A75-3','ZIUtxOT', 'UB')
('AC12058-2022-11-01-1336','A75-4','xwxUkyfxYPFjjNL', 'UB')
('AC12058-2022-11-01-1341','A75-9','mRHukgEsrpg', 'UB')
('AC22517-2022-11-02-1344','A75-12','MOU', 'SU')
('SL04652-2022-11-02-1365','S57-21','R', 'MB')
('AC04652-2022-11-02-1393','A78-7','YlgKgBultWOtWFz', 'LB')
('SL12058-2022-11-01-1311','S55-15','jtIoFH', 'SL')
('SL04652-2022-11-01-1356','S57-12','KcHphtJAVWzhe', 'LB')
('AC22517-2022-11-02-1347','A75-15','YNA', 'UB')
('AC12058-2022-11-01-1345','A75-13','HeURwbeS', 'LB')
('AC04652-2022-11-02-1400','A78-14','UWWIVlXNY', 'LB')
('AC04652-2022-11-02-1401','A78-15','pcCVoYevuDlHKTO', 'UB')
('AC12058-2022-11-01-1347','A75-15','OxvekxMMg', 'UB')
('SL22517-2022-11-01-1379','S58-11','aXjItrlLqWyTsC', 'UB')
('AC04652-2022-11-02-1403','A78-17','wD', 'SL')
('AC22517-2022-11-01-1348','A75-16','QizHcs', 'UB')
('SL12058-2022-11-01-1317','S55-21','ddouCrir', 'MB')
('SL12058-2022-11-01-1319','S55-23','ifd', 'SL')
('SL04652-2022-11-02-1382','S58-14','h', 'UB')
('SL12058-2022-11-01-1321','S56-1','EXqPVWsPN', 'LB')
('AC22517-2022-11-02-1362','A76-12','CfEfgltIlZEgFav', 'SU')
('AC22517-2022-11-01-1357','A76-7','PE', 'LB')
('AC04652-2022-11-02-1408','A79-4','LsagZBzlx', 'UB')
('SL04652-2022-11-01-1366','S57-22','mCKXAyQv', 'UB')
('AC22517-2022-11-01-1361','A76-11','yKuzUuxaVZ', 'SL')
('AC04652-2022-11-02-1410','A79-6','OUZHcvxKBAkm', 'SU')
('AC04652-2022-11-01-1407','A79-3','qm', 'UB')
('AC12058-2022-11-01-1392','A78-6','TOcfrDPXz', 'SU')
('SL22517-2022-11-02-1392','S58-24','gPTbMRfm', 'SU')
('AC22517-2022-11-02-1401','A78-15','seJrE', 'UB')
('AC04652-2022-11-02-1433','A80-11','GvKRGqOFZzS', 'SL')
('AC12058-2022-11-01-1395','A78-9','vNDeuCzv', 'UB')
('SL04652-2022-11-02-1425','S60-9','ofsGJmRejOgTjC', 'LB')
('AC22517-2022-11-01-1390','A78-4','LTgVByfcK', 'UB')
('SL12058-2022-11-01-1366','S57-22','KHoiYY', 'UB')
('SL04652-2022-11-02-1428','S60-12','YHnZYkbZ', 'LB')
('AC22517-2022-11-02-1410','A79-6','cfVKsiSRMtTY', 'SU')
('AC22517-2022-11-02-1411','A79-7','I', 'LB')
('SL04652-2022-11-01-1400','S59-8','poabXdEn', 'SU')
('SL22517-2022-11-02-1405','S59-13','SXYsUcRkLOD', 'MB')
('SL22517-2022-11-02-1406','S59-14','oYwWySRX', 'UB')
('AC12058-2022-11-01-1401','A78-15','nxKYhqvPlXv', 'UB')
('AC04652-2022-11-02-1448','A81-8','bmPfFrO', 'LB')
('SL22517-2022-11-02-1414','S59-22','JUgbkuxTMtoR', 'UB')
('SL22517-2022-11-02-1415','S59-23','GuebhPUuDoYygjLw', 'SL')
('SL12058-2022-11-01-1386','S58-18','Sx', 'MB')
('SL22517-2022-11-02-1419','S60-3','g', 'UB')
('AC12058-2022-11-01-1412','A79-8','ZLLwTEKlNjih', 'LB')
('SL04652-2022-11-01-1420','S60-4','BjMJPgumoSCWN', 'LB')
('AC04652-2022-11-01-1462','A82-4','vmMpkcWoy', 'UB')
('AC22517-2022-11-02-1431','A80-9','g', 'UB')
('AC22517-2022-11-02-1432','A80-10','mFQ', 'UB')
('SL22517-2022-11-02-1424','S60-8','omyCnY', 'SU')
('AC22517-2022-11-02-1434','A80-12','mhgyfkTOMQ', 'SU')
('SL04652-2022-11-02-1447','S61-7','mWoCEQpsbwyLww', 'SL')
('AC04652-2022-11-01-1467','A82-9','BqVMlO', 'UB')
('AC22517-2022-11-01-1424','A80-2','GwPFfCPSQuVGUKld', 'LB')
('AC12058-2022-11-01-1422','A79-18','BeSaglcUVPAJQiG', 'SU')
('AC22517-2022-11-01-1426','A80-4','JgqUAkQNHHowvkG', 'UB')
('AC22517-2022-11-02-1439','A80-17','QsSuRV', 'SL')
('SL22517-2022-11-02-1433','S60-17','aguHBAK', 'LB')
('AC04652-2022-11-01-1473','A82-15','wGHosaQnuyWe', 'UB')
('SL12058-2022-11-01-1402','S59-10','aKqPtEe', 'MB')
('AC22517-2022-11-02-1444','A81-4','FtGIIJYlQKtWIV', 'UB')
('AC12058-2022-11-01-1429','A80-7','tHrnOzNWElKu', 'LB')
('SL04652-2022-11-01-1435','S60-19','jMZRtMF', 'UB')
('AC04652-2022-11-01-1477','A83-1','MgCgHzpUYPlXH', 'LB')
('SL04652-2022-11-02-1458','S61-18','pqxzCtTXWUSmUT', 'MB')
('SL22517-2022-11-02-1496','S63-8','ipzXVXHhe', 'SU')
('AC04652-2022-11-01-1524','A85-12','Jm', 'SU')
('AC22517-2022-11-01-1505','A84-11','kZHFwCYkWve', 'SL')
('AC04652-2022-11-01-1533','A86-3','EoSbmg', 'UB')
('SL22517-2022-11-01-1531','S64-19','smE', 'UB')
('AC22517-2022-11-02-1515','A85-3','sWiEyE', 'UB')
('AC04652-2022-11-01-1536','A86-6','XdXIwZUZy', 'SU')
('AC04652-2022-11-02-1540','A86-10','K', 'UB')
('AC12058-2022-11-01-1494','A83-18','xocRB', 'SU')
('AC12058-2022-11-01-1498','A84-4','prRsvF', 'UB')
('AC12058-2022-11-01-1502','A84-8','W', 'LB')
('SL22517-2022-11-01-1539','S65-3','UOgTAYzZ', 'UB')
('SL22517-2022-11-01-1540','S65-4','HSbUejxMsGu', 'LB')
('AC12058-2022-11-01-1505','A84-11','ystUHU', 'SL')
('AC12058-2022-11-01-1506','A84-12','biW', 'SU')
('SL22517-2022-11-02-1524','S64-12','JCsv', 'LB')
('AC12058-2022-11-01-1511','A84-17','xg', 'SL')
('SL12058-2022-11-01-1490','S63-2','jtoT', 'MB')
('AC22517-2022-11-02-1557','A87-9','DTJlQMCuczj', 'UB')
('AC04652-2022-11-02-1578','A88-12','PhlkHzcG', 'SU')
('SL12058-2022-11-01-1557','S65-21','xmOXNjhifUKDCo', 'MB')
('AC12058-2022-11-01-1571','A88-5','DTjSCOG', 'SL')
('SL04652-2022-11-01-1580','S66-20','VOKDOI', 'LB')
('AC04652-2022-11-02-1613','A90-11','ittxsjpdPwSIOVAD', 'SL')
('SL04652-2022-11-02-1579','S66-19','fvQZnG', 'UB')
('AC04652-2022-11-01-1685','A94-11','RRdrqKlVJEZPs', 'SL')
('SL12058-2022-11-01-1607','S67-23','cxluHV', 'SL')
('AC04652-2022-11-02-1666','A93-10','iLUWvVjnaeYLhtvv', 'UB')
('SL12058-2022-11-01-1609','S68-1','lpUkWNokaWEy', 'LB')
('AC04652-2022-11-02-1669','A93-13','FI', 'LB')
('AC22517-2022-11-02-1647','A92-9','GkZ', 'UB')
('SL12058-2022-11-01-1616','S68-8','RCaCZxQawOQnVJ', 'SU')
('AC04652-2022-11-01-1701','A95-9','nYBtrpSArSY', 'UB')
('AC04652-2022-11-02-1678','A94-4','TbcyuYiouxwYxfZL', 'UB')
('AC22517-2022-11-01-1676','A94-2','XssWosEqW', 'LB')
('AC04652-2022-11-01-1704','A95-12','KRsITpNBy', 'SU')
('SL22517-2022-11-02-1647','S69-15','xFK', 'SL')
('AC04652-2022-11-02-1680','A94-6','lpS', 'SU')
('SL04652-2022-11-02-1661','S70-5','ZtqJoiAyI', 'MB')
('SL22517-2022-11-02-1650','S69-18','DqFZFWFrYKpl', 'MB')
('AC04652-2022-11-01-1708','A95-16','WNSfN', 'UB')
('SL22517-2022-11-02-1652','S69-20','PTpFqwBh', 'LB')
('AC22517-2022-11-01-1684','A94-10','cdddmUd', 'UB')
('AC12058-2022-11-01-1648','A92-10','YdwKlh', 'UB')
('SL22517-2022-11-01-1677','S70-21','irwCZTq', 'MB')
('SL12058-2022-11-01-1635','S69-3','VtpLYOfuBrtjCEYJ', 'UB')
('AC12058-2022-11-01-1652','A92-14','H', 'LB')
('AC22517-2022-11-01-1692','A94-18','FIQenExmGBzrTsB', 'SU')
('AC04652-2022-11-02-1690','A94-16','HdzxodQRmX', 'UB')
('SL22517-2022-11-01-1686','S71-6','uAt', 'UB')
('SL22517-2022-11-02-1667','S70-11','lzNLwnDDo', 'UB')
('SL22517-2022-11-02-1668','S70-12','ZjkRRkFiUFxPfIY', 'LB')
('AC04652-2022-11-02-1693','A95-1','czZFTfwdjKezfSJ', 'LB')
('AC04652-2022-11-01-1731','A97-3','NpQYFIQnDvoMKErz', 'UB')
('AC22517-2022-11-02-1678','A94-4','BVZsZ', 'UB')
('SL22517-2022-11-01-1689','S71-9','mKYCXKpgoTPiw', 'LB')
('AC22517-2022-11-02-1681','A94-7','YBDxiEGbwOXtg', 'LB')
('AC22517-2022-11-02-1682','A94-8','YlAMuCCsd', 'LB')
('SL04652-2022-11-02-1705','S72-1','J', 'LB')
('AC22517-2022-11-02-1703','A95-11','BlOHJiK', 'SL')
('AC22517-2022-11-01-1733','A97-5','tvDRckOLyef', 'SL')
('SL22517-2022-11-02-1691','S71-11','SaCyBikzeMdV', 'UB')
('AC22517-2022-11-02-1708','A95-16','hvkhNtMlaPCq', 'UB')
('SL04652-2022-11-01-1694','S71-14','tziqKCqs', 'UB')
('AC22517-2022-11-02-1710','A95-18','IrCWfpgf', 'SU')
('AC22517-2022-11-02-1711','A96-1','cb', 'LB')
('AC12058-2022-11-01-1707','A95-15','LllTArTSHdPqaTzt', 'UB')
('SL22517-2022-11-02-1713','S72-9','mM', 'LB')
('SL22517-2022-11-01-1783','S75-7','jh', 'SL')
('SL04652-2022-11-01-1769','S74-17','pyeT', 'LB')
('SL04652-2022-11-01-1770','S74-18','ljuGwCu', 'MB')
('AC22517-2022-11-02-1769','A99-5','kVNGAimWIbVbZ', 'SL')
('AC22517-2022-11-02-1770','A99-6','WZzPJkBxms', 'SU')
('SL04652-2022-11-02-1781','S75-5','DEz', 'MB')
('SL22517-2022-11-02-1762','S74-10','MJfMVJzp', 'MB')
('SL22517-2022-11-01-1791','S75-15','PLpkCvcegY', 'SL')
('AC04652-2022-11-02-1840','A103-4','QKMIQqSuTYWxjEW', 'UB')
('SL22517-2022-11-02-1809','S76-9','ltbBeIzyrnTj', 'LB')
('SL22517-2022-11-01-1836','S77-12','IliygYJQgWcbSHO', 'LB')
('AC04652-2022-11-01-1887','A105-15','Y', 'UB')
('AC22517-2022-11-02-1811','A101-11','UiSvEirie', 'SL')
('SL04652-2022-11-02-1825','S77-1','BHclq', 'LB')
('AC12058-2022-11-01-1811','A101-11','YNnDR', 'SL')
('SL22517-2022-11-02-1811','S76-11','aoyTAh', 'UB')
('AC22517-2022-11-01-1861','A104-7','nCCqBt', 'LB')
('SL04652-2022-11-02-1829','S77-5','cUEWAw', 'MB')
('AC22517-2022-11-02-1831','A102-13','ojlkbBTkeCSxgS', 'LB')
('AC12058-2022-11-01-1833','A102-15','XWFGC', 'UB')
('AC12058-2022-11-01-1835','A102-17','NvfYuepAySHu', 'SL')
('SL22517-2022-11-01-1860','S78-12','VXUaMgbldzpyrn', 'LB')
('SL22517-2022-11-01-1861','S78-13','zIOutEIIBt', 'MB')
('SL22517-2022-11-02-1839','S77-15','b', 'SL')
('SL22517-2022-11-01-1864','S78-16','FL', 'SU')
('SL22517-2022-11-02-1843','S77-19','ug', 'UB')
('SL04652-2022-11-02-1855','S78-7','yBbqCeIjuBqSnCXQ', 'SL')
('SL12058-2022-11-01-1824','S76-24','hbrwGbhn', 'SU')
('SL12058-2022-11-01-1827','S77-3','zghyAUFeRv', 'UB')
('AC12058-2022-11-01-1841','A103-5','nr', 'SL')
('AC22517-2022-11-02-1842','A103-6','NidsULnLwEja', 'SU')
('AC04652-2022-11-01-1935','A108-9','TNpuKcpsAuTj', 'UB')
('AC04652-2022-11-01-1940','A108-14','WNDLJPCcmMS', 'LB')
('AC12058-2022-11-01-1853','A103-17','SWTQaJbfdztp', 'SL')
('AC04652-2022-11-01-1942','A108-16','eUXCFbIZ', 'UB')
('SL12058-2022-11-01-1846','S77-22','rH', 'UB')
('SL22517-2022-11-02-1857','S78-9','opyrTc', 'LB')
('AC12058-2022-11-01-1859','A104-5','LXMloOcHgaJ', 'SL')
('AC04652-2022-11-02-1879','A105-7','szwzND', 'LB')
('AC12058-2022-11-01-1897','A106-7','CdhIjQwrNuyTDd', 'LB')
('AC04652-2022-11-02-1942','A108-16','etuNtGtHFAz', 'UB')
('SL22517-2022-11-01-1952','S82-8','IaPSE', 'SU')
('SL22517-2022-11-02-1921','S81-1','sQqKy', 'LB')
('SL12058-2022-11-01-1908','S80-12','ru', 'LB')
('SL04652-2022-11-02-1954','S82-10','gmv', 'MB')
('AC22517-2022-11-01-1976','A110-14','FEAFgZbEwPUXcem', 'LB')
('AC04652-2022-11-02-1950','A109-6','OCWNWSREPnUIvn', 'SU')
('AC12058-2022-11-01-1904','A106-14','ESrfgWAwICR', 'LB')
('SL04652-2022-11-01-1930','S81-10','PSRbtVB', 'MB')
('SL22517-2022-11-02-1928','S81-8','cBvLbFTVo', 'SU')
('SL22517-2022-11-02-1931','S81-11','EcXqmhAwTe', 'UB')
('SL22517-2022-11-02-1932','S81-12','xIdlPhxdFmzwngC', 'LB')
('AC04652-2022-11-02-1953','A109-9','mJBuP', 'UB')
('AC22517-2022-11-01-1984','A111-4','wUlewADHZJOhmj', 'UB')
('AC12058-2022-11-01-1915','A107-7','DR', 'LB')
('SL22517-2022-11-02-1933','S81-13','UToIHUyBdOSkgjdZ', 'MB')
('AC04652-2022-11-02-1956','A109-12','wWMnktI', 'SU')
('SL22517-2022-11-02-1935','S81-15','zjCj', 'SL')
('SL04652-2022-11-02-1968','S82-24','MEoWfleBRx', 'SU')
('AC12058-2022-11-01-1920','A107-12','vJGAcZsVeBJoVh', 'SU')
('AC12058-2022-11-01-1921','A107-13','iAz', 'LB')
('SL22517-2022-11-01-1968','S82-24','kbfvXYexZ', 'SU')
('AC22517-2022-11-01-1991','A111-11','pataxTu', 'SL')
('SL22517-2022-11-01-1971','S83-3','pvyBkyMxz', 'UB')
('SL04652-2022-11-01-1945','S82-1','kAIXnYZVBdac', 'LB')
('SL22517-2022-11-01-1974','S83-6','geMMaU', 'UB')
('SL22517-2022-11-02-1945','S82-1','zBtyDjC', 'LB')
('AC04652-2022-11-01-2034','A113-18','AYDYgTzje', 'SU')
('AC12058-2022-11-01-1935','A108-9','IQzBdafRTgB', 'UB')
('SL22517-2022-11-02-1949','S82-5','uFw', 'MB')
('AC04652-2022-11-01-2037','A114-3','eIicPvzGey', 'UB')
('SL12058-2022-11-01-1940','S81-20','uTxniiSKELluupx', 'LB')
('SL22517-2022-11-01-1982','S83-14','ihQmOo', 'UB')
('SL04652-2022-11-01-1957','S82-13','iZTEbfzTFHkvkgf', 'MB')
('AC22517-2022-11-01-2002','A112-4','NABBvcn', 'UB')
('SL22517-2022-11-02-1954','S82-10','WBxyHQ', 'MB')
('SL04652-2022-11-02-1981','S83-13','Slx', 'MB')
('SL22517-2022-11-02-1956','S82-12','AUse', 'LB')
('AC22517-2022-11-02-1950','A109-6','gQylk', 'SU')
('AC04652-2022-11-02-1971','A110-9','XYnJpFnjTZ', 'UB')
('SL22517-2022-11-01-1989','S83-21','gUSWSmNMszzY', 'MB')
('AC04652-2022-11-02-1973','A110-11','LC', 'SL')
('AC04652-2022-11-01-2050','A114-16','gzWefxBrOVAUNCY', 'UB')
('SL04652-2022-11-02-1985','S83-17','NsZxVkCwLwJq', 'LB')
('AC22517-2022-11-01-2017','A113-1','OghFmTQKdg', 'LB')
('SL04652-2022-11-02-1987','S83-19','QsGtzBtqW', 'UB')
('SL12058-2022-11-01-1953','S82-9','llhhtPNblTpz', 'LB')
('AC12058-2022-11-01-1959','A109-15','LUKnWD', 'UB')
('SL22517-2022-11-01-1992','S83-24','I', 'SU')
('SL12058-2022-11-01-1956','S82-12','eXkXkotLIL', 'LB')
('AC04652-2022-11-02-1976','A110-14','lhUnIAPpCoMevx', 'LB')
('SL12058-2022-11-01-1958','S82-14','zFe', 'UB')
('AC22517-2022-11-01-2022','A113-6','pNBuOsMfhrE', 'SU')
('AC22517-2022-11-01-2023','A113-7','ZRgU', 'LB')
('SL22517-2022-11-02-1971','S83-3','udJLlsiIqwzn', 'UB')
('AC22517-2022-11-01-2026','A113-10','eeEVEkuB', 'UB')
('AC22517-2022-11-01-2028','A113-12','cl', 'SU')
('SL04652-2022-11-02-1997','S84-5','JLMXCRV', 'MB')
('SL04652-2022-11-01-1973','S83-5','Iw', 'MB')
('AC12058-2022-11-01-1968','A110-6','lajcJLUYxJPek', 'SU')
('SL12058-2022-11-01-1969','S83-1','OuUBMe', 'LB')
('AC04652-2022-11-01-2063','A115-11','FlLzXlggPAFuaLRd', 'SL')
('SL04652-2022-11-02-2002','S84-10','fHzfFcFE', 'MB')
('AC22517-2022-11-01-2033','A113-17','QFlBs', 'SL')
('SL04652-2022-11-01-1980','S83-12','mngEjibjjvc', 'LB')
('SL04652-2022-11-01-1981','S83-13','KxswQK', 'MB')
('SL22517-2022-11-02-1984','S83-16','HHHdhQLwuCnWSAZ', 'SU')
('SL22517-2022-11-02-1985','S83-17','Xf', 'LB')
('AC04652-2022-11-01-2069','A115-17','IfcOPcpyZt', 'SL')
('SL22517-2022-11-01-2009','S84-17','ZhfJam', 'LB')
('AC12058-2022-11-01-1979','A110-17','NitFGuJMnzU', 'SL')
('AC12058-2022-11-01-1980','A110-18','UvMHHSsAyMy', 'SU')
('SL22517-2022-11-01-2010','S84-18','pqLxvsIemf', 'MB')
('SL04652-2022-11-01-1987','S83-19','wUj', 'UB')
('AC12058-2022-11-01-2000','A112-2','DLjiMJITbORT', 'LB')
('AC12058-2022-11-01-2001','A112-3','IiWoZILDUOxvGmh', 'UB')
('SL04652-2022-11-02-2028','S85-12','aRIYNlbBRT', 'LB')
('SL12058-2022-11-01-1990','S83-22','RNOhgRmjUDhYEcg', 'UB')
('AC04652-2022-11-02-2008','A112-10','kpXgAcbQFKs', 'UB')
('SL04652-2022-11-01-2004','S84-12','uqvdNZyXBT', 'LB')
('SL04652-2022-11-02-2039','S85-23','HP', 'SL')
('AC04652-2022-11-02-2015','A112-17','tAzvrEfDkWIFrMYk', 'SL')
('AC22517-2022-11-01-2069','A115-17','zMCFUqnEuLbmCQxT', 'SL')
('SL04652-2022-11-01-2026','S85-10','oaZcn', 'MB')
('AC04652-2022-11-02-2026','A113-10','jlu', 'UB')
('SL22517-2022-11-01-2048','S86-8','jZRXkIQKEMAf', 'SU')
('SL22517-2022-11-01-2050','S86-10','uVKAIn', 'MB')
('AC04652-2022-11-02-2033','A113-17','DFaVoHC', 'SL')
('AC04652-2022-11-02-2034','A113-18','RYauXTdKoJNuBMI', 'SU')
('SL22517-2022-11-02-2035','S85-19','yDaSZXVQNKnxzTAl', 'UB')
('AC04652-2022-11-02-2045','A114-11','ncCblaxG', 'SL')
('AC22517-2022-11-02-2053','A115-1','PaXpWk', 'LB')
('SL22517-2022-11-01-2087','S87-23','cSrqaYe', 'SL')
('AC22517-2022-11-01-2103','A117-15','UZhtxgH', 'UB')
('AC22517-2022-11-01-2110','A118-4','h', 'UB')
('AC22517-2022-11-02-2074','A116-4','GnH', 'UB')
('SL04652-2022-11-01-2065','S87-1','wIIIvuGSnOcaOjdI', 'LB')
('AC22517-2022-11-02-2079','A116-9','DEeY', 'UB')
('AC04652-2022-11-01-2166','A121-6','cxddpqVwAQUZ', 'SU')
('SL04652-2022-11-02-2101','S88-13','zBEltTHRli', 'MB')
('AC04652-2022-11-01-2168','A121-8','RWLpFfbMjvO', 'LB')
('SL04652-2022-11-02-2103','S88-15','fq', 'SL')
('SL22517-2022-11-02-2078','S87-14','AmZtztliRNWVq', 'UB')
('AC04652-2022-11-01-2171','A121-11','iRKoRADaPGMnt', 'SL')
('AC04652-2022-11-02-2088','A116-18','YBazCKTfNonvcLdO', 'SU')
('SL04652-2022-11-02-2109','S88-21','IGepYlIyAV', 'MB')
('AC22517-2022-11-01-2126','A119-2','gIKzfHrBxLso', 'LB')
('SL12058-2022-11-01-2063','S86-23','glWNFwiCB', 'SL')
('AC04652-2022-11-01-2175','A121-15','xkpgpkxnSKZUEyuR', 'UB')
('SL12058-2022-11-01-2066','S87-2','JuaNpOBKADNtq', 'MB')
('SL22517-2022-11-02-2087','S87-23','xSB', 'SL')
('AC22517-2022-11-02-2091','A117-3','NBuGVj', 'UB')
('SL04652-2022-11-01-2084','S87-20','tQpWAxwFHlLBJ', 'LB')
('AC04652-2022-11-02-2092','A117-4','PfGdTlDg', 'UB')
('AC04652-2022-11-01-2181','A122-3','i', 'UB')
('AC22517-2022-11-02-2094','A117-6','HnnCppKVTwez', 'SU')
('AC04652-2022-11-01-2183','A122-5','MyeRMLunPh', 'SL')
('SL12058-2022-11-01-2069','S87-5','DvIiSNiGeOprWZqs', 'MB')
('AC22517-2022-11-01-2140','A119-16','JTDg', 'UB')
('AC22517-2022-11-01-2141','A119-17','HRvaZXMYE', 'SL')
('SL04652-2022-11-02-2128','S89-16','hJYPMxSP', 'SU')
('SL12058-2022-11-01-2072','S87-8','NJDHlde', 'SU')
('AC12058-2022-11-01-2098','A117-10','OvvlHyPDSF', 'UB')
('SL22517-2022-11-02-2104','S88-16','IlDcBbYtGLX', 'SU')
('AC04652-2022-11-02-2102','A117-14','fCNZEbFzDcAhDbHR', 'LB')
('SL04652-2022-11-01-2093','S88-5','eobXHkuioeeEYnPl', 'MB')
('SL22517-2022-11-02-2106','S88-18','MGQFcZyt', 'MB')
('SL22517-2022-11-02-2119','S89-7','RYzbcI', 'SL')
('AC12058-2022-11-01-2115','A118-9','smDHzLrX', 'UB')
('AC22517-2022-11-01-2158','A120-16','AyFSJRRCKf', 'UB')
('SL12058-2022-11-01-2091','S88-3','zqng', 'UB')
('AC04652-2022-11-02-2116','A118-10','VgAPTztje', 'UB')
('AC22517-2022-11-02-2114','A118-8','KRkfhUZaJKds', 'LB')
('SL12058-2022-11-01-2094','S88-6','jEOUHDYCyCw', 'UB')
('AC22517-2022-11-02-2115','A118-9','QgyOM', 'UB')
('SL22517-2022-11-02-2124','S89-12','oSYkQlxC', 'LB')
('SL22517-2022-11-02-2125','S89-13','GGVxKOBTEu', 'MB')
('SL22517-2022-11-02-2126','S89-14','O', 'UB')
('SL22517-2022-11-01-2144','S90-8','fqlF', 'SU')
('AC22517-2022-11-01-2161','A121-1','lEYDCZxMSDLFR', 'LB')
('SL04652-2022-11-02-2148','S90-12','R', 'LB')
('AC22517-2022-11-01-2162','A121-2','GTWVrbdNOxxmVyBj', 'LB')
('SL04652-2022-11-02-2149','S90-13','i', 'MB')
('AC12058-2022-11-01-2127','A119-3','otsNEX', 'UB')
('AC04652-2022-11-02-2128','A119-4','sDHzooQAPyZpvn', 'UB')
('SL22517-2022-11-01-2155','S90-19','uTYYXWPkMkqbDzVK', 'UB')
('AC04652-2022-11-02-2130','A119-6','vSbbaOCNcnafE', 'SU')
('AC22517-2022-11-01-2169','A121-9','TaClEJi', 'UB')
('SL12058-2022-11-01-2103','S88-15','rOHeuxvtnkWjMb', 'SL')
('SL12058-2022-11-01-2104','S88-16','af', 'SU')
('SL22517-2022-11-02-2144','S90-8','LSPBzsuPA', 'SU')
('SL22517-2022-11-01-2163','S91-3','oDJHcabY', 'UB')
