('SL04652-2022-11-02-16991','S708-23','F', 'SL')
('SL04652-2022-11-01-17106','S713-18','npjxyTHNjZcUJEi', 'MB')
('AC22517-2022-11-02-17112','A951-12','sUCpuJlGfSlSp', 'SU')
('AC22517-2022-11-01-17109','A951-9','rrq', 'UB')
('SL22517-2022-11-01-16886','S704-14','gwNuS', 'UB')
('AC04652-2022-11-02-17207','A956-17','QlYtBs', 'SL')
('AC04652-2022-11-01-17073','A949-9','imyMHjGDbidFEJx', 'UB')
('SL04652-2022-11-02-17014','S709-22','kOLABVIYAtwAVgHi', 'UB')
('SL04652-2022-11-01-17109','S713-21','ZCOZuPxb', 'MB')
('AC04652-2022-11-02-17208','A956-18','oxc', 'SU')
('SL04652-2022-11-01-17110','S713-22','Gj', 'UB')
('AC22517-2022-11-02-17114','A951-14','ZHHPUDl', 'LB')
('SL12058-2022-11-01-16949','S707-5','hGPEekSIKpm', 'MB')
('AC04652-2022-11-02-17212','A957-4','ZmOYMgzaR', 'UB')
('SL12058-2022-11-01-16950','S707-6','tMXlXZsjaG', 'UB')
('AC12058-2022-11-01-16919','A940-17','bAjCw', 'SL')
('SL04652-2022-11-02-17016','S709-24','lHda', 'SU')
('AC22517-2022-11-01-17115','A951-15','BZACbKAKGZaMZJUE', 'UB')
('AC04652-2022-11-01-17079','A949-15','OdObazR', 'UB')
('AC22517-2022-11-02-17118','A951-18','josxRNudJIavagam', 'SU')
('SL04652-2022-11-01-17115','S714-3','WEbI', 'UB')
('SL22517-2022-11-01-16889','S704-17','tzfzHI', 'LB')
('AC12058-2022-11-01-16927','A941-7','keJ', 'LB')
('SL12058-2022-11-01-16957','S707-13','mKIeFGEHlPWdxs', 'MB')
('AC04652-2022-11-02-17218','A957-10','FrdsTqm', 'UB')
('SL22517-2022-11-02-17123','S714-11','zghhya', 'UB')
('AC04652-2022-11-02-17220','A957-12','LoYaQFhFMJk', 'SU')
('SL04652-2022-11-02-17023','S710-7','yblwxFxjxTuD', 'SL')
('SL04652-2022-11-01-17123','S714-11','uf', 'UB')
('SL22517-2022-11-02-17126','S714-14','AnQcJcOCw', 'UB')
('AC12058-2022-11-01-16930','A941-10','rnBtUVRklTfAa', 'UB')
('SL22517-2022-11-01-16890','S704-18','ehqjQZajXJoZSG', 'MB')
('SL22517-2022-11-02-17127','S714-15','GFTKnZAwJlbwOLB', 'SL')
('AC22517-2022-11-02-17126','A952-8','vYHxuXpjIc', 'LB')
('SL22517-2022-11-01-16892','S704-20','LKmQeLxkxZao', 'LB')
('SL22517-2022-11-01-16893','S704-21','DTciEyRxwWBBL', 'MB')
('SL22517-2022-11-01-16894','S704-22','FVkCdDHxdsdm', 'UB')
('AC04652-2022-11-01-17083','A950-1','SORENKhZol', 'LB')
('SL04652-2022-11-01-17129','S714-17','fx', 'LB')
('AC22517-2022-11-02-17130','A952-12','SZG', 'SU')
('SL22517-2022-11-02-17128','S714-16','ClXkyypHNxFeAHNU', 'SU')
('AC22517-2022-11-01-17127','A952-9','coqafhSjIYwIR', 'UB')
('AC12058-2022-11-01-16935','A941-15','FFfgKakBhipSPC', 'UB')
('SL22517-2022-11-01-16897','S705-1','oFqyakfLNofxaZdO', 'LB')
('AC04652-2022-11-01-17084','A950-2','soOFjoSVLDfda', 'LB')
('AC12058-2022-11-01-16937','A941-17','As', 'SL')
('AC22517-2022-11-01-17128','A952-10','absNatyiM', 'UB')
('AC22517-2022-11-02-17136','A952-18','t', 'SU')
('AC22517-2022-11-02-17137','A953-1','fbq', 'LB')
('AC22517-2022-11-02-17138','A953-2','Muy', 'LB')
('SL12058-2022-11-01-16971','S708-3','FXnRFJ', 'UB')
('SL22517-2022-11-02-17134','S714-22','Va', 'UB')
('SL22517-2022-11-02-17135','S714-23','ndfAZoSNRFu', 'SL')
('SL04652-2022-11-02-17031','S710-15','RvLm', 'SL')
('SL04652-2022-11-01-17137','S715-1','DmT', 'LB')
('AC12058-2022-11-01-16943','A942-5','ESbBzt', 'SL')
('SL04652-2022-11-01-17140','S715-4','gN', 'LB')
('SL22517-2022-11-02-17145','S715-9','cLULDZCmYUvMUD', 'LB')
('SL12058-2022-11-01-16974','S708-6','kvXqBpao', 'UB')
('AC22517-2022-11-01-17140','A953-4','WEuhPPrtc', 'UB')
('AC22517-2022-11-01-17141','A953-5','ONfqupuF', 'SL')
('SL22517-2022-11-02-17147','S715-11','UmCZHmZOvlQc', 'UB')
('AC04652-2022-11-01-17091','A950-9','iPxRvGIAHMRJbwan', 'UB')
('SL04652-2022-11-02-17034','S710-18','yTnlmTXuOoP', 'MB')
('AC04652-2022-11-02-17237','A958-11','dgpnIE', 'SL')
('SL22517-2022-11-02-17149','S715-13','DlAshgMLwBDlJDUi', 'MB')
('AC04652-2022-11-02-17238','A958-12','PPYXir', 'SU')
('SL22517-2022-11-01-16907','S705-11','ioZ', 'UB')
('SL04652-2022-11-02-17038','S710-22','eY', 'UB')
('AC22517-2022-11-02-17152','A953-16','ju', 'UB')
('AC12058-2022-11-01-16953','A942-15','hqqweOA', 'UB')
('AC12058-2022-11-01-16954','A942-16','QzyElJWolKBr', 'UB')
('AC04652-2022-11-02-17240','A958-14','wtLlfCZhTuCDU', 'LB')
('AC04652-2022-11-02-17241','A958-15','N', 'UB')
('AC04652-2022-11-01-17095','A950-13','ESUGsfApnQdmONq', 'LB')
('SL12058-2022-11-01-16980','S708-12','dptWzhXBMMPHIXS', 'LB')
('AC22517-2022-11-02-17154','A953-18','lgQoiAJn', 'SU')
('SL04652-2022-11-02-17050','S711-10','HHDV', 'MB')
('AC12058-2022-11-01-16957','A943-1','XrrwWdKjeFejO', 'LB')
('SL12058-2022-11-01-16983','S708-15','KdANW', 'SL')
('SL22517-2022-11-01-16916','S705-20','IIMdbgQUWjmHhFek', 'LB')
('SL22517-2022-11-02-17158','S715-22','OiXeSVHHVR', 'UB')
('AC22517-2022-11-02-17159','A954-5','lSseg', 'SL')
('SL04652-2022-11-01-17156','S715-20','xMrjyvC', 'LB')
('AC12058-2022-11-01-16961','A943-5','ZmjdOyhbMoHW', 'SL')
('AC04652-2022-11-01-17101','A951-1','JfNKESMs', 'LB')
('AC22517-2022-11-02-17163','A954-9','lTEzJMDAYIQ', 'UB')
('AC22517-2022-11-01-17154','A953-18','GUwJxrfIFwDKIwMb', 'SU')
('SL04652-2022-11-02-17058','S711-18','cSxpWxaSnWCqYqo', 'MB')
('AC04652-2022-11-01-17102','A951-2','VsVSJDzkb', 'LB')
('AC22517-2022-11-01-17158','A954-4','lDxQWrYhdWuaXeD', 'UB')
('AC22517-2022-11-01-17159','A954-5','NSeVTxhISzFfbBCO', 'SL')
('AC04652-2022-11-01-17104','A951-4','FwAf', 'UB')
('AC22517-2022-11-01-17162','A954-8','BqWVRRrkhnarnrdZ', 'LB')
('SL12058-2022-11-01-16988','S708-20','UOHXz', 'LB')
('SL12058-2022-11-01-16989','S708-21','xXymAAhfZXXMgcEe', 'MB')
('AC04652-2022-11-02-17252','A959-8','VxovtzwbyMPF', 'LB')
('AC22517-2022-11-02-17169','A954-15','cc', 'UB')
('AC12058-2022-11-01-16969','A943-13','oCn', 'LB')
('SL04652-2022-11-01-17160','S715-24','ysbLueD', 'SU')
('AC22517-2022-11-01-17164','A954-10','BPnkiVH', 'UB')
('AC12058-2022-11-01-16970','A943-14','ybVEjkQkFyP', 'LB')
('AC04652-2022-11-01-17107','A951-7','XKulIjw', 'LB')
('AC12058-2022-11-01-16971','A943-15','KrwSgdFjWdER', 'UB')
('AC22517-2022-11-01-17165','A954-11','pJvZhFPJenElErL', 'SL')
('AC22517-2022-11-01-17166','A954-12','DVlwdcWHjZPysmB', 'SU')
('AC04652-2022-11-01-17109','A951-9','FpZFYBnFZVs', 'UB')
('SL22517-2022-11-01-16929','S706-9','TsXb', 'LB')
('AC04652-2022-11-01-17111','A951-11','SeuHNtYNvPwG', 'SL')
('SL04652-2022-11-02-17068','S712-4','BcutkmQTCoMC', 'LB')
('AC04652-2022-11-02-17258','A959-14','qhwVkGksIytAlY', 'LB')
('AC04652-2022-11-02-17259','A959-15','zerwfXWDeOtW', 'UB')
('SL04652-2022-11-01-17167','S716-7','RHeugTFkAk', 'SL')
('SL12058-2022-11-01-16998','S709-6','cXlGlkcgAtXn', 'UB')
('AC12058-2022-11-01-16980','A944-6','ivaQrXNyfgTGh', 'SU')
('AC22517-2022-11-02-17179','A955-7','AuyMLrfxmnb', 'LB')
('SL04652-2022-11-02-17071','S712-7','uCQNWWnsE', 'SL')
('SL04652-2022-11-02-17072','S712-8','regTlVcqV', 'SU')
('SL04652-2022-11-01-17170','S716-10','bVFeqzOfSpS', 'MB')
('SL04652-2022-11-01-17171','S716-11','HC', 'UB')
('SL22517-2022-11-02-17175','S716-15','AlvpaERC', 'SL')
('AC04652-2022-11-01-17113','A951-13','tyAkWBsBgLkt', 'LB')
('AC04652-2022-11-02-17265','A960-3','yYZnoZcQORYQz', 'UB')
('SL12058-2022-11-01-17001','S709-9','Hq', 'LB')
('SL22517-2022-11-02-17178','S716-18','y', 'MB')
('SL04652-2022-11-02-17075','S712-11','x', 'UB')
('SL22517-2022-11-02-17180','S716-20','yqkbc', 'LB')
('AC22517-2022-11-02-17185','A955-13','lpDieDxMVH', 'LB')
('SL12058-2022-11-01-17004','S709-12','txEoyZ', 'LB')
('SL22517-2022-11-01-16939','S706-19','vHyJa', 'UB')
('AC04652-2022-11-02-17269','A960-7','DxSOUjcAPppvLa', 'LB')
('AC22517-2022-11-01-17179','A955-7','Qfupx', 'LB')
('SL22517-2022-11-02-17182','S716-22','Jap', 'UB')
('SL22517-2022-11-01-16944','S706-24','CkkEmqCVvz', 'SU')
('AC04652-2022-11-01-17120','A952-2','qLQwmTXmx', 'LB')
('AC04652-2022-11-01-17121','A952-3','PutfjvfKf', 'UB')
('SL04652-2022-11-02-17079','S712-15','ChBGDzwlL', 'SL')
('AC04652-2022-11-02-17271','A960-9','NGkrqUXaRmoxpY', 'UB')
('SL22517-2022-11-01-16945','S707-1','SObrcVPhP', 'LB')
('SL22517-2022-11-02-17188','S717-4','KMCx', 'LB')
('AC22517-2022-11-02-17195','A956-5','SbBmUMTZ', 'SL')
('AC22517-2022-11-02-17196','A956-6','qTzB', 'SU')
('AC12058-2022-11-01-16994','A945-2','OCUWQfOeW', 'LB')
('AC22517-2022-11-02-17198','A956-8','tdUmSO', 'LB')
('AC04652-2022-11-01-17123','A952-5','C', 'SL')
('AC04652-2022-11-02-17278','A960-16','RfFyBv', 'UB')
('SL04652-2022-11-01-17177','S716-17','zllGQhSeqqvBeTRb', 'LB')
('SL12058-2022-11-01-17014','S709-22','JoYzES', 'UB')
('AC04652-2022-11-01-17125','A952-7','cz', 'LB')
('SL22517-2022-11-02-17193','S717-9','nYHBQF', 'LB')
('SL04652-2022-11-01-17179','S716-19','yEKfopdrkdsJ', 'UB')
('SL04652-2022-11-02-17084','S712-20','WnXPEBNJKfeFpYDw', 'LB')
('SL04652-2022-11-01-17181','S716-21','QrwaifqCDCEyjU', 'MB')
('AC22517-2022-11-02-17202','A956-12','cEEN', 'SU')
('AC04652-2022-11-02-17281','A961-1','BvANpboQO', 'LB')
('AC04652-2022-11-01-17127','A952-9','cseJgDLUeyohZetr', 'UB')
('AC22517-2022-11-02-17203','A956-13','AvXtMHyMMdPvWr', 'LB')
('SL22517-2022-11-02-17197','S717-13','NpveCDSyimpV', 'MB')
('AC04652-2022-11-01-17128','A952-10','bGeyuu', 'UB')
('SL22517-2022-11-02-17198','S717-14','KfKFAmIbwiSR', 'UB')
('SL12058-2022-11-01-17017','S710-1','pIYPEQfAEZPlTYvy', 'LB')
('SL12058-2022-11-01-17018','S710-2','Nyv', 'MB')
('SL22517-2022-11-02-17199','S717-15','NERZvJGMmZAVoGom', 'SL')
('AC22517-2022-11-02-17209','A957-1','uNjfZh', 'LB')
('SL22517-2022-11-02-17201','S717-17','WLjokkVZvTJM', 'LB')
('SL22517-2022-11-02-17202','S717-18','wjpAUtZepI', 'MB')
('AC22517-2022-11-01-17187','A955-15','YOtsBlfp', 'UB')
('AC12058-2022-11-01-17008','A945-16','ujZJU', 'UB')
('AC22517-2022-11-01-17188','A955-16','tvMOKwjUU', 'UB')
('AC22517-2022-11-02-17212','A957-4','exKBVCi', 'UB')
('AC12058-2022-11-01-17009','A945-17','bkGyzisC', 'SL')
('AC04652-2022-11-02-17287','A961-7','KmwPPJwmrvuj', 'LB')
('SL04652-2022-11-02-17093','S713-5','PdUCwbZkSqzGQ', 'MB')
('SL04652-2022-11-01-17191','S717-7','zKOevWO', 'SL')
('AC12058-2022-11-01-17015','A946-5','RSqnkivw', 'SL')
('AC12058-2022-11-01-17023','A946-13','rQxcDiqw', 'LB')
('AC04652-2022-11-02-17288','A961-8','kDtaxRBxpVwouPkd', 'LB')
('AC22517-2022-11-01-17198','A956-8','ZyDczNYsPhV', 'LB')
('SL22517-2022-11-01-16959','S707-15','gIom', 'SL')
('SL22517-2022-11-02-17210','S718-2','MJDvFdIqcSsCg', 'MB')
('AC12058-2022-11-01-17025','A946-15','xReV', 'UB')
('SL22517-2022-11-01-16961','S707-17','rwXxfcUj', 'LB')
('SL12058-2022-11-01-17032','S710-16','SP', 'SU')
('SL04652-2022-11-02-17104','S713-16','gLgQtWGPcbWzHkh', 'SU')
('SL12058-2022-11-01-17033','S710-17','konnBjwOj', 'LB')
('AC12058-2022-11-01-17028','A946-18','oWmwyUdNabCLVvhT', 'SU')
('AC12058-2022-11-01-17029','A947-1','lWhfvlIQef', 'LB')
('SL12058-2022-11-01-17035','S710-19','RYa', 'UB')
('SL04652-2022-11-02-17107','S713-19','ainK', 'UB')
('AC12058-2022-11-01-17033','A947-5','fFFIfBbgDq', 'SL')
('AC04652-2022-11-01-17144','A953-8','ZeUwYsNnQznfKMqj', 'LB')
('AC04652-2022-11-01-17145','A953-9','IrYdeBbUYhRTGD', 'UB')
('AC04652-2022-11-01-17147','A953-11','neLf', 'SL')
('SL04652-2022-11-02-17111','S713-23','zAjDxU', 'SL')
('AC04652-2022-11-01-17148','A953-12','ZKadFYnFlnN', 'SU')
('SL22517-2022-11-01-16968','S707-24','YgYpcoPNewmbn', 'SU')
('AC22517-2022-11-01-17202','A956-12','HFIjBJR', 'SU')
('SL04652-2022-11-01-17208','S717-24','JYnFMBgB', 'SU')
('AC22517-2022-11-02-17227','A958-1','PHolu', 'LB')
('SL12058-2022-11-01-17043','S711-3','YZfDmNw', 'UB')
('AC04652-2022-11-02-17295','A961-15','GIvAGmYaImx', 'UB')
('AC12058-2022-11-01-17039','A947-11','TTXAjK', 'SL')
('AC04652-2022-11-01-17151','A953-15','YDIPFh', 'UB')
('AC04652-2022-11-02-17297','A961-17','p', 'SL')
('SL04652-2022-11-02-17114','S714-2','IGSigJqfgvjk', 'MB')
('SL12058-2022-11-01-17044','S711-4','cabwf', 'LB')
('SL04652-2022-11-01-17214','S718-6','shIUMPEDvMHDkR', 'UB')
('AC04652-2022-11-01-17155','A954-1','rweevyBgORiQxS', 'LB')
('AC04652-2022-11-01-17156','A954-2','wLT', 'LB')
('AC12058-2022-11-01-17042','A947-14','p', 'LB')
('SL22517-2022-11-02-17219','S718-11','ZT', 'UB')
('AC12058-2022-11-01-17043','A947-15','CkvCrhzkg', 'UB')
('AC22517-2022-11-01-17212','A957-4','XjiMupewz', 'UB')
('AC22517-2022-11-02-17237','A958-11','NjbRVltq', 'SL')
('AC04652-2022-11-01-17158','A954-4','ttvqDKdyVUrQSc', 'UB')
('SL22517-2022-11-02-17221','S718-13','ALyRiawVXBZg', 'MB')
('SL22517-2022-11-01-16974','S708-6','qEORIc', 'UB')
('SL22517-2022-11-02-17222','S718-14','AgJJCC', 'UB')
('AC04652-2022-11-01-17159','A954-5','lJxqDe', 'SL')
('AC12058-2022-11-01-17050','A948-4','lWoL', 'UB')
('SL12058-2022-11-01-17047','S711-7','vIlG', 'SL')
('SL22517-2022-11-02-17223','S718-15','KiZP', 'SL')
('SL12058-2022-11-01-17048','S711-8','ebrgju', 'SU')
('SL04652-2022-11-01-17221','S718-13','ibOirB', 'MB')
('AC04652-2022-11-01-17162','A954-8','gezEg', 'LB')
('AC04652-2022-11-02-17306','A962-8','LFAnyBILHNN', 'LB')
('AC04652-2022-11-01-17163','A954-9','GjfiWzr', 'UB')
('AC04652-2022-11-01-17164','A954-10','K', 'UB')
('SL04652-2022-11-02-17122','S714-10','h', 'MB')
('AC22517-2022-11-02-17246','A959-2','IIutyeZ', 'LB')
('AC04652-2022-11-01-17165','A954-11','SYXeFNSnkOeW', 'SL')
('SL04652-2022-11-02-17123','S714-11','gNzsfw', 'UB')
('SL04652-2022-11-02-17124','S714-12','WWYuPn', 'LB')
('AC22517-2022-11-01-17225','A957-17','LRDpoSCcPVV', 'SL')
('SL04652-2022-11-02-17125','S714-13','dynS', 'MB')
('SL04652-2022-11-01-17226','S718-18','gcJ', 'MB')
('SL04652-2022-11-02-17126','S714-14','vbFxQGc', 'UB')
('SL22517-2022-11-02-17227','S718-19','YhcwME', 'UB')
('SL04652-2022-11-02-17128','S714-16','qqCXsrHJtQXplx', 'SU')
('AC04652-2022-11-01-17169','A954-15','UPaMn', 'UB')
('AC22517-2022-11-02-17247','A959-3','fIFhQGgRU', 'UB')
('SL12058-2022-11-01-17056','S711-16','endNKrsLkPauxa', 'SU')
('AC22517-2022-11-02-17248','A959-4','nljcrmiJFjsTkN', 'UB')
('SL22517-2022-11-01-16987','S708-19','YuMSpJ', 'UB')
('AC22517-2022-11-01-17230','A958-4','swKAfRNjpVSbv', 'UB')
('AC12058-2022-11-01-17065','A949-1','IcPucBsEjiQpQ', 'LB')
('AC22517-2022-11-01-17239','A958-13','cnqQ', 'LB')
('AC22517-2022-11-02-17253','A959-9','Z', 'UB')
('AC04652-2022-11-02-17322','A963-6','faZhpXtxjpeir', 'SU')
('SL12058-2022-11-01-17061','S711-21','Ay', 'MB')
('AC04652-2022-11-02-17323','A963-7','nMnRBtMCi', 'LB')
('SL12058-2022-11-01-17066','S712-2','MVfkMdteHMiM', 'MB')
('AC04652-2022-11-02-17324','A963-8','z', 'LB')
('SL22517-2022-11-02-17241','S719-9','vVxGxKoVa', 'LB')
('SL04652-2022-11-01-17237','S719-5','FiDBagQfmen', 'MB')
('SL04652-2022-11-01-17238','S719-6','eA', 'UB')
('SL22517-2022-11-01-16995','S709-3','mgIvKYL', 'UB')
('SL04652-2022-11-02-17145','S715-9','iukZVmvhwoVQdysl', 'LB')
('AC04652-2022-11-01-17184','A955-12','fBzmDjEjzzIDnbyS', 'SU')
('SL12058-2022-11-01-17069','S712-5','pwzCMwOSWvKzXu', 'MB')
('SL04652-2022-11-01-17242','S719-10','xwopSmnNa', 'MB')
('AC04652-2022-11-02-17332','A963-16','DJzuwBEUaqYN', 'UB')
('SL22517-2022-11-02-17243','S719-11','SUjGZts', 'UB')
('AC04652-2022-11-01-17186','A955-14','TEWCNmgbvCdbP', 'LB')
('SL22517-2022-11-01-16998','S709-6','ZFzs', 'UB')
('SL12058-2022-11-01-17071','S712-7','ZkNJmjOXcwTwO', 'SL')
('AC04652-2022-11-01-17189','A955-17','WztgNtPfnlXEMBwJ', 'SL')
('SL22517-2022-11-01-16999','S709-7','uHmjHMfJLKFC', 'SL')
('SL04652-2022-11-01-17243','S719-11','hYyWpgjKGwtgmZGh', 'UB')
('SL04652-2022-11-01-17244','S719-12','CyMamJP', 'LB')
('SL12058-2022-11-01-17072','S712-8','fDiVJEQcDOKi', 'SU')
('SL12058-2022-11-01-17073','S712-9','VZHPHCHrHaiejOb', 'LB')
('AC04652-2022-11-01-17190','A955-18','nlwxxKqtyZP', 'SU')
('AC04652-2022-11-01-17192','A956-2','ThtAGYrGwFvPz', 'LB')
('SL22517-2022-11-01-17002','S709-10','nQgqfPshrTrfLDgq', 'MB')
('AC22517-2022-11-01-17248','A959-4','IjcFS', 'UB')
('SL04652-2022-11-01-17251','S719-19','gdDhkPqaaVV', 'UB')
('AC04652-2022-11-01-17199','A956-9','qabnQXJkJL', 'UB')
('SL12058-2022-11-01-17078','S712-14','gnASvJw', 'UB')
('SL22517-2022-11-01-17004','S709-12','S', 'LB')
('AC04652-2022-11-02-17344','A964-10','sYopqHtswpAKp', 'UB')
('SL22517-2022-11-02-17252','S719-20','sInZ', 'LB')
('SL04652-2022-11-01-17259','S720-3','nIaeIdzOZOk', 'UB')
('AC22517-2022-11-02-17267','A960-5','Imdj', 'SL')
('AC22517-2022-11-01-17257','A959-13','ANuWGQvozSY', 'LB')
('SL04652-2022-11-01-17261','S720-5','iUq', 'MB')
('SL22517-2022-11-02-17255','S719-23','BcpamAb', 'SL')
('AC04652-2022-11-02-17351','A964-17','qpNfSmzu', 'SL')
('AC04652-2022-11-02-17352','A964-18','GAqMvRb', 'SU')
('SL22517-2022-11-01-17011','S709-19','FW', 'UB')
('AC04652-2022-11-01-17203','A956-13','zXzMjdSiA', 'LB')
('AC04652-2022-11-02-17355','A965-3','XOcNh', 'UB')
('SL04652-2022-11-01-17267','S720-11','hTymC', 'UB')
('SL04652-2022-11-01-17268','S720-12','ZHIDuxQtL', 'LB')
('SL04652-2022-11-02-17161','S716-1','STT', 'LB')
('AC22517-2022-11-02-17268','A960-6','TLESoSuGqygEQa', 'SU')
('AC12058-2022-11-01-17088','A950-6','SfdmWsMaHfx', 'SU')
('AC22517-2022-11-02-17269','A960-7','MgxwGHeSQfKFG', 'LB')
('AC04652-2022-11-01-17204','A956-14','yzYlyBK', 'LB')
('SL12058-2022-11-01-17084','S712-20','lPRTQTcUjjrSrw', 'LB')
('AC22517-2022-11-01-17265','A960-3','IhYDiNlxQforx', 'UB')
('SL04652-2022-11-02-17165','S716-5','fi', 'MB')
('SL22517-2022-11-02-17264','S720-8','XSKlVFnYnbtDiRRr', 'SU')
('SL04652-2022-11-02-17167','S716-7','t', 'SL')
('SL04652-2022-11-02-17168','S716-8','MpZu', 'SU')
('SL04652-2022-11-02-17169','S716-9','LPzE', 'LB')
('AC04652-2022-11-02-17362','A965-10','JAzbholePYYvbMFF', 'UB')
('SL12058-2022-11-01-17087','S712-23','iSI', 'SL')
('AC12058-2022-11-01-17095','A950-13','cmTwCT', 'LB')
('SL12058-2022-11-01-17089','S713-1','xv', 'LB')
('SL12058-2022-11-01-17090','S713-2','egZtvTMfdWVmYBL', 'MB')
('SL22517-2022-11-02-17267','S720-11','IiugGBxDQWDbYk', 'UB')
('AC22517-2022-11-01-17269','A960-7','oSZiXz', 'LB')
('SL12058-2022-11-01-17096','S713-8','gzMbBYOxt', 'SU')
('AC22517-2022-11-01-17273','A960-11','cmVaP', 'SL')
('SL04652-2022-11-02-17173','S716-13','mlyVWRRo', 'MB')
('AC22517-2022-11-02-17278','A960-16','N', 'UB')
('AC22517-2022-11-01-17274','A960-12','TCaZ', 'SU')
('AC12058-2022-11-01-17103','A951-3','eMKGWpjscUgEqju', 'UB')
('AC12058-2022-11-01-17104','A951-4','vM', 'UB')
('AC22517-2022-11-02-17280','A960-18','rBkK', 'SU')
('AC04652-2022-11-01-17212','A957-4','pIc', 'UB')
('SL12058-2022-11-01-17100','S713-12','GgCUEXUngqm', 'LB')
('AC22517-2022-11-02-17283','A961-3','uhKykFCtTZibHlER', 'UB')
('SL22517-2022-11-01-17028','S710-12','CJDwF', 'LB')
('SL12058-2022-11-01-17103','S713-15','yTBzfLQtrHV', 'SL')
('AC22517-2022-11-02-17287','A961-7','tu', 'LB')
('SL22517-2022-11-01-17036','S710-20','XGdnlnvCtTyTcITZ', 'LB')
('AC04652-2022-11-02-17375','A966-5','FopXvFUJp', 'SL')
('AC04652-2022-11-01-17216','A957-8','VxfaOBkRUOvWhgpy', 'LB')
('AC22517-2022-11-01-17282','A961-2','eZPZ', 'LB')
('AC04652-2022-11-02-17376','A966-6','L', 'SU')
('SL22517-2022-11-02-17278','S720-22','SsPIXKm', 'UB')
('SL22517-2022-11-02-17280','S720-24','qtxtEaAdQjnR', 'SU')
('AC04652-2022-11-01-17217','A957-9','iOUN', 'UB')
('SL22517-2022-11-01-17040','S710-24','AuWiXhbub', 'SU')
('AC12058-2022-11-01-17114','A951-14','Bd', 'LB')
('SL04652-2022-11-01-17288','S721-8','jsKyffZBdZRJSgl', 'SU')
('SL12058-2022-11-01-17106','S713-18','KBNPRUhJFYNgTJFM', 'MB')
('AC04652-2022-11-01-17219','A957-11','wHjzXBeYXk', 'SL')
('SL04652-2022-11-01-17290','S721-10','x', 'MB')
('AC12058-2022-11-01-17117','A951-17','aemOro', 'SL')
('SL12058-2022-11-01-17108','S713-20','GXRMuNy', 'LB')
('AC04652-2022-11-01-17222','A957-14','e', 'LB')
('AC22517-2022-11-01-17289','A961-9','jb', 'UB')
('SL04652-2022-11-01-17291','S721-11','OgGZiS', 'UB')
('AC12058-2022-11-01-17120','A952-2','KXKZKpg', 'LB')
('AC04652-2022-11-02-17378','A966-8','rStVYLlp', 'LB')
('AC12058-2022-11-01-17123','A952-5','afVEidYB', 'SL')
('AC04652-2022-11-01-17223','A957-15','FxRcicJInOrQTlTZ', 'UB')
('SL04652-2022-11-01-17295','S721-15','gtcctltYUz', 'SL')
('SL22517-2022-11-01-17051','S711-11','lMkzBopgGAzHCZ', 'UB')
('AC12058-2022-11-01-17128','A952-10','r', 'UB')
('SL22517-2022-11-02-17290','S721-10','nZRGTSmp', 'MB')
('AC04652-2022-11-01-17228','A958-2','FVTnWXjC', 'LB')
('SL04652-2022-11-01-17301','S721-21','MiZrMDT', 'MB')
