('SL12058-2022-11-01-6','S1-6','mZAbQzsEZg', 'UB')
('AC04652-2022-11-01-190','A11-10','cAwI', 'UB')
('SL22517-2022-11-01-193','S9-1','W', 'LB')
('AC04652-2022-11-01-191','A11-11','ERAncUwnShYIcD', 'SL')
('SL12058-2022-11-01-194','S9-2','YUVeaBO', 'MB')
('AC12058-2022-11-01-198','A11-18','ob', 'SU')
('AC22517-2022-11-02-199','A12-1','aWpaDmRYuVLgt', 'LB')
('SL04652-2022-11-02-165','S7-21','tjactYKk', 'MB')
('SL22517-2022-11-01-195','S9-3','PvhrFoxkIQtKs', 'UB')
('SL04652-2022-11-01-191','S8-23','CwSx', 'SL')
('AC12058-2022-11-01-199','A12-1','bJXNygnaCd', 'LB')
('AC04652-2022-11-02-174','A10-12','ZwwRnPYKTJbRMi', 'SU')
('AC12058-2022-11-01-200','A12-2','u', 'LB')
('AC12058-2022-11-01-201','A12-3','dACwzPWfjfRyeh', 'UB')
('SL22517-2022-11-02-195','S9-3','fvl', 'UB')
('SL22517-2022-11-02-196','S9-4','Lc', 'LB')
('SL04652-2022-11-01-196','S9-4','IQuHs', 'LB')
('AC04652-2022-11-01-197','A11-17','dbqqUZzLv', 'SL')
('AC04652-2022-11-02-179','A10-17','Bc', 'SL')
('AC04652-2022-11-02-180','A10-18','LKtRuBPAZ', 'SU')
('AC04652-2022-11-01-201','A12-3','DovNv', 'UB')
('AC04652-2022-11-01-202','A12-4','sdsAIxiOEPEz', 'UB')
('AC22517-2022-11-01-206','A12-8','aIYklhn', 'LB')
('AC04652-2022-11-01-205','A12-7','qdTlOJ', 'LB')
('AC12058-2022-11-01-205','A12-7','ghWqJngRR', 'LB')
('SL22517-2022-11-01-204','S9-12','lfzzeh', 'LB')
('AC22517-2022-11-02-213','A12-15','Mybp', 'UB')
('AC04652-2022-11-01-222','A13-6','LUwWORZGlQfjaFSH', 'SU')
('SL12058-2022-11-01-204','S9-12','a', 'LB')
('SL04652-2022-11-02-181','S8-13','BiUBGy', 'MB')
('AC22517-2022-11-02-227','A13-11','JYa', 'SL')
('SL22517-2022-11-02-218','S10-2','HjkuaAYIM', 'MB')
('AC04652-2022-11-01-229','A13-13','QuBiGP', 'LB')
('SL22517-2022-11-01-220','S10-4','nfkrxYlOfM', 'LB')
('AC22517-2022-11-02-234','A13-18','pJYNZrJMAch', 'SU')
('SL22517-2022-11-02-220','S10-4','DoKRhcQLg', 'LB')
('SL04652-2022-11-02-188','S8-20','OlLf', 'LB')
('SL22517-2022-11-01-223','S10-7','axTJzJCm', 'SL')
('SL04652-2022-11-02-189','S8-21','BRItovsGPSEwD', 'MB')
('AC12058-2022-11-01-222','A13-6','hUmNsmo', 'SU')
('AC22517-2022-11-02-238','A14-4','LQenbWOdxB', 'UB')
('SL22517-2022-11-02-224','S10-8','ENAWarKzG', 'SU')
('SL04652-2022-11-02-192','S8-24','hujaCADaQrepgdr', 'SU')
('AC04652-2022-11-01-237','A14-3','fBIx', 'UB')
('AC04652-2022-11-02-205','A12-7','TqjirDcpr', 'LB')
('SL12058-2022-11-01-220','S10-4','jlMbHkwTCukN', 'LB')
('SL22517-2022-11-01-231','S10-15','gvCP', 'SL')
('AC22517-2022-11-01-225','A13-9','qRtS', 'UB')
('AC12058-2022-11-01-225','A13-9','pU', 'UB')
('SL22517-2022-11-02-230','S10-14','dBeMDn', 'UB')
('AC12058-2022-11-01-228','A13-12','MGwStmmBjTqB', 'SU')
('SL04652-2022-11-02-196','S9-4','BGiJzukdRRI', 'LB')
('AC12058-2022-11-01-233','A13-17','fpMMibyxuwgp', 'SL')
('AC22517-2022-11-01-233','A13-17','okG', 'SL')
('SL22517-2022-11-01-238','S10-22','nplbCdyvXLGeEW', 'UB')
('AC04652-2022-11-01-241','A14-7','SkLlV', 'LB')
('SL22517-2022-11-01-240','S10-24','KAEXrVqeMz', 'SU')
('SL12058-2022-11-01-232','S10-16','ouyyJts', 'SU')
('AC04652-2022-11-01-318','A18-12','EPH', 'SU')
('SL04652-2022-11-01-289','S13-1','GYKrzrkNbIw', 'LB')
('SL04652-2022-11-02-269','S12-5','EqCaYToGrOEZGl', 'MB')
('SL12058-2022-11-01-294','S13-6','bobqTVVZ', 'UB')
('SL22517-2022-11-01-298','S13-10','vqNTeZmcasC', 'MB')
('SL04652-2022-11-02-270','S12-6','vouVR', 'UB')
('AC04652-2022-11-01-322','A18-16','TTggXYdxBH', 'UB')
('SL22517-2022-11-02-292','S13-4','Jrb', 'LB')
('AC04652-2022-11-01-325','A19-1','RpqtHICpT', 'LB')
('AC04652-2022-11-02-291','A17-3','GjvnBUEzG', 'UB')
('AC22517-2022-11-02-327','A19-3','cXbqWSaNwPQRr', 'UB')
('SL22517-2022-11-02-295','S13-7','GNTuSaMqFAFJKk', 'SL')
('SL12058-2022-11-01-307','S13-19','bxUXiCwtSC', 'UB')
('AC22517-2022-11-02-332','A19-8','bTubqGYuJSOuR', 'LB')
('AC04652-2022-11-01-327','A19-3','NullyJUlayNzoZi', 'UB')
('AC22517-2022-11-01-293','A17-5','uOjKpWcGb', 'SL')
('SL22517-2022-11-02-300','S13-12','Rs', 'LB')
('AC12058-2022-11-01-319','A18-13','scayghRnZRwwrg', 'LB')
('SL22517-2022-11-02-302','S13-14','oPEhrFu', 'UB')
('SL04652-2022-11-01-305','S13-17','GuBEISpQcNpTVkM', 'LB')
('SL22517-2022-11-01-315','S14-3','hd', 'UB')
('AC04652-2022-11-01-334','A19-10','bKGga', 'UB')
('SL04652-2022-11-02-278','S12-14','JOCjj', 'UB')
('SL04652-2022-11-02-279','S12-15','eYVr', 'SL')
('AC04652-2022-11-01-352','A20-10','nPJaKEXbGhahL', 'UB')
('AC12058-2022-11-01-343','A20-1','GDWSrBi', 'LB')
('AC12058-2022-11-01-346','A20-4','KvABHPIYOajvYvS', 'UB')
('SL04652-2022-11-02-296','S13-8','oDOHoUkxY', 'SU')
('SL12058-2022-11-01-329','S14-17','WezLDcYHGqvyF', 'LB')
('SL04652-2022-11-02-297','S13-9','GYb', 'LB')
('SL22517-2022-11-02-325','S14-13','fQoATX', 'MB')
('SL04652-2022-11-02-299','S13-11','ViKSriEJSD', 'UB')
('SL22517-2022-11-02-429','S18-21','TJo', 'MB')
('SL04652-2022-11-02-406','S17-22','CBCpFzFxZ', 'UB')
('AC04652-2022-11-01-463','A26-13','prpAxtcYd', 'LB')
('SL22517-2022-11-02-431','S18-23','AMFlRuMKllbgoaE', 'SL')
('SL04652-2022-11-01-435','S19-3','JXAIHNuLdYikHKa', 'UB')
('SL04652-2022-11-02-409','S18-1','YgXFjzPQCjcDzV', 'LB')
('SL22517-2022-11-01-441','S19-9','yoDHsbSFkzzH', 'LB')
('SL12058-2022-11-01-457','S20-1','rrdcHIWibfV', 'LB')
('AC04652-2022-11-01-464','A26-14','pcCXXz', 'LB')
('SL04652-2022-11-02-412','S18-4','mxZsfjwcrXuxD', 'LB')
('SL04652-2022-11-01-437','S19-5','y', 'MB')
('SL04652-2022-11-02-413','S18-5','pNWVSyIgnqWtBvn', 'MB')
('AC12058-2022-11-01-478','A27-10','kHlfq', 'UB')
('SL22517-2022-11-02-438','S19-6','hrRA', 'UB')
('AC04652-2022-11-02-459','A26-9','IwHnZfHWCaxg', 'UB')
('SL04652-2022-11-01-439','S19-7','SP', 'SL')
('SL12058-2022-11-01-461','S20-5','MDkdlakRdCMQi', 'MB')
('SL22517-2022-11-01-445','S19-13','uWHVIflOm', 'MB')
('AC12058-2022-11-01-485','A27-17','NPsH', 'SL')
('SL12058-2022-11-01-463','S20-7','CKABwCnjQ', 'SL')
('SL22517-2022-11-02-445','S19-13','eznrtZ', 'MB')
('AC22517-2022-11-02-490','A28-4','JwjVPcoJiG', 'UB')
('AC12058-2022-11-01-489','A28-3','ukqTUSrVZw', 'UB')
('AC22517-2022-11-02-498','A28-12','suAZLQZSFYhAEH', 'SU')
('AC22517-2022-11-01-418','A24-4','oZAcUXxkM', 'UB')
('SL04652-2022-11-01-448','S19-16','sFtA', 'SU')
('AC12058-2022-11-01-490','A28-4','Plq', 'UB')
('SL04652-2022-11-01-452','S19-20','IeKb', 'LB')
('SL04652-2022-11-01-453','S19-21','d', 'MB')
('SL04652-2022-11-01-455','S19-23','guxfhoMF', 'SL')
('SL04652-2022-11-02-424','S18-16','XIgsDlzE', 'SU')
('SL22517-2022-11-01-459','S20-3','kiS', 'UB')
('AC12058-2022-11-01-494','A28-8','qrhpZRbvMTMsj', 'LB')
('SL04652-2022-11-02-427','S18-19','IoUZLDnmWriak', 'UB')
('AC22517-2022-11-02-505','A29-1','eVpnNowY', 'LB')
('SL22517-2022-11-02-454','S19-22','AIXHVxxcYXcMfR', 'UB')
('AC04652-2022-11-01-488','A28-2','chuWQle', 'LB')
('AC12058-2022-11-01-498','A28-12','guFYB', 'SU')
('AC04652-2022-11-02-480','A27-12','PjnqEqhbk', 'SU')
('SL04652-2022-11-01-462','S20-6','yTisYtKzaWS', 'UB')
('SL22517-2022-11-02-459','S20-3','tNxU', 'UB')
('SL12058-2022-11-01-478','S20-22','JrqkmXtrl', 'UB')
('SL22517-2022-11-02-460','S20-4','fPlbZvcfYVFuwCIR', 'LB')
('SL12058-2022-11-01-479','S20-23','UztnjWzXX', 'SL')
('SL04652-2022-11-01-469','S20-13','ocLBJjuPqU', 'MB')
('AC22517-2022-11-02-515','A29-11','TIbmXrIjP', 'SL')
('AC12058-2022-11-01-510','A29-6','ikt', 'SU')
('AC04652-2022-11-02-497','A28-11','CbfxWOOusjhqq', 'SL')
('AC22517-2022-11-02-521','A29-17','nPAEmcWptRBePYSR', 'SL')
('AC04652-2022-11-02-509','A29-5','eDTYd', 'SL')
('AC22517-2022-11-01-441','A25-9','lxjGAhYK', 'UB')
('AC22517-2022-11-01-442','A25-10','krMhsGVZQOQ', 'UB')
('AC04652-2022-11-01-507','A29-3','Ddnw', 'UB')
('AC04652-2022-11-01-508','A29-4','iQ', 'UB')
('AC22517-2022-11-02-528','A30-6','AKOuTZ', 'SU')
('AC04652-2022-11-02-513','A29-9','GipHiRkSwz', 'UB')
('SL04652-2022-11-02-458','S20-2','ZeyRZnzHNTFJumh', 'MB')
('AC22517-2022-11-01-449','A25-17','m', 'SL')
('SL22517-2022-11-02-492','S21-12','K', 'LB')
('SL04652-2022-11-02-460','S20-4','hj', 'LB')
('SL22517-2022-11-01-490','S21-10','cW', 'MB')
('SL04652-2022-11-01-485','S21-5','ePMlhorT', 'MB')
('SL12058-2022-11-01-497','S21-17','LGPPRlJi', 'LB')
('AC22517-2022-11-02-544','A31-4','Mk', 'UB')
('SL04652-2022-11-01-490','S21-10','zufdiPeVfL', 'MB')
('AC04652-2022-11-01-518','A29-14','xLy', 'LB')
('AC04652-2022-11-02-522','A29-18','vIM', 'SU')
('AC12058-2022-11-01-539','A30-17','OXjxKsoRNIVHaBo', 'SL')
('AC04652-2022-11-01-520','A29-16','LBRfICJZrAsQPfX', 'UB')
('AC22517-2022-11-02-562','A32-4','j', 'UB')
('SL04652-2022-11-02-479','S20-23','eoHwnWoEsmnPRRQ', 'SL')
('AC04652-2022-11-02-528','A30-6','LAbIqFINoGQiIK', 'SU')
('AC22517-2022-11-02-567','A32-9','rbue', 'UB')
('SL22517-2022-11-02-511','S22-7','GWtsnCNn', 'SL')
('AC22517-2022-11-01-470','A27-2','XJtKrFuEHCCvoQeK', 'LB')
('SL22517-2022-11-02-513','S22-9','Gr', 'LB')
('SL22517-2022-11-01-517','S22-13','pzyU', 'MB')
('AC04652-2022-11-02-531','A30-9','XC', 'UB')
('SL04652-2022-11-02-485','S21-5','eobkJ', 'MB')
('SL04652-2022-11-01-512','S22-8','NmluMFoimfFTgqIx', 'SU')
('SL22517-2022-11-01-519','S22-15','vnkXqRshUytiv', 'SL')
('SL04652-2022-11-02-486','S21-6','ozABWzutvnsrfiCL', 'UB')
('AC04652-2022-11-02-532','A30-10','iesskEiUkpGHg', 'UB')
('AC22517-2022-11-01-476','A27-8','srWeKqDt', 'LB')
('SL22517-2022-11-01-522','S22-18','WdCqAg', 'MB')
('AC04652-2022-11-02-535','A30-13','UgySG', 'LB')
('AC04652-2022-11-01-531','A30-9','z', 'UB')
('SL12058-2022-11-01-524','S22-20','LrdINjLoaBG', 'LB')
('SL04652-2022-11-01-519','S22-15','LjXOPYApL', 'SL')
('AC04652-2022-11-01-536','A30-14','gbplfisFLUYzcImK', 'LB')
('SL22517-2022-11-02-525','S22-21','Xa', 'MB')
('AC22517-2022-11-02-585','A33-9','aLvNtRPI', 'UB')
('SL22517-2022-11-02-528','S22-24','SHdHjNZDtz', 'SU')
('AC04652-2022-11-02-543','A31-3','DUh', 'UB')
('SL22517-2022-11-01-534','S23-6','UXCTntpDn', 'UB')
('AC22517-2022-11-02-596','A34-2','PuToOQdmKzN', 'LB')
('SL12058-2022-11-01-542','S23-14','k', 'UB')
('SL22517-2022-11-01-549','S23-21','PhABbEhdu', 'MB')
('AC04652-2022-11-01-551','A31-11','qp', 'SL')
('SL12058-2022-11-01-548','S23-20','DrwixXAWhVyv', 'LB')
('SL04652-2022-11-01-540','S23-12','TSfEsmcqzuMe', 'LB')
('SL12058-2022-11-01-550','S23-22','AZGkR', 'UB')
('SL22517-2022-11-01-557','S24-5','yRBtX', 'MB')
('SL22517-2022-11-02-546','S23-18','BRcEKyHqFwJkmDQA', 'MB')
('SL22517-2022-11-01-561','S24-9','kneVmNYak', 'LB')
('SL12058-2022-11-01-554','S24-2','OmejUzFyzNSTvgLZ', 'MB')
('AC04652-2022-11-02-559','A32-1','gvjBJGnJHrT', 'LB')
('SL22517-2022-11-02-594','S25-18','fDhwaIe', 'MB')
('AC12058-2022-11-01-629','A35-17','mGgoZfkXOFFFN', 'SL')
('SL04652-2022-11-01-610','S26-10','JVFU', 'MB')
('AC22517-2022-11-02-662','A37-14','wZBbG', 'LB')
('AC22517-2022-11-02-663','A37-15','dORoVSt', 'UB')
('SL04652-2022-11-02-579','S25-3','HXngWcYfw', 'UB')
('SL12058-2022-11-01-620','S26-20','zYs', 'LB')
('SL04652-2022-11-01-630','S27-6','RHfwyqJv', 'UB')
('SL04652-2022-11-01-631','S27-7','KkeL', 'SL')
('AC22517-2022-11-01-583','A33-7','UkZGA', 'LB')
('AC22517-2022-11-01-584','A33-8','LFaNOOSIRPaDTpK', 'LB')
('AC22517-2022-11-01-588','A33-12','mKwrf', 'SU')
('SL22517-2022-11-02-622','S26-22','Kzq', 'UB')
('AC04652-2022-11-01-638','A36-8','Ukqt', 'LB')
('SL22517-2022-11-01-644','S27-20','SfmrXeQUdFvzzLtg', 'LB')
('SL04652-2022-11-02-601','S26-1','Y', 'LB')
('SL04652-2022-11-02-602','S26-2','TZ', 'MB')
('SL22517-2022-11-02-640','S27-16','wwoikz', 'SU')
('SL12058-2022-11-01-638','S27-14','ByTRnMcFDGf', 'UB')
('AC12058-2022-11-01-661','A37-13','xVhOvoWM', 'LB')
('SL04652-2022-11-01-646','S27-22','bLzxsNibC', 'UB')
('AC04652-2022-11-02-658','A37-10','OgfYGjAXyUtmYxc', 'UB')
('AC22517-2022-11-01-605','A34-11','lAfZGmRPTdj', 'SL')
('AC04652-2022-11-02-661','A37-13','aU', 'LB')
('SL04652-2022-11-01-649','S28-1','rXSExoOUHghdhwvV', 'LB')
('SL12058-2022-11-01-645','S27-21','QvjMMABLr', 'MB')
('AC22517-2022-11-01-606','A34-12','HAAwAGBnRBFx', 'SU')
('SL12058-2022-11-01-646','S27-22','l', 'UB')
('AC04652-2022-11-02-665','A37-17','HwdyarIwTSkdHMfA', 'SL')
('AC22517-2022-11-01-607','A34-13','VDmNpsdyG', 'LB')
('SL04652-2022-11-02-615','S26-15','P', 'SL')
('AC04652-2022-11-01-651','A37-3','whJGjEVBtVrqToms', 'UB')
('SL04652-2022-11-01-655','S28-7','IdIGDojIEIXC', 'SL')
('SL22517-2022-11-02-651','S28-3','ywnfB', 'UB')
('SL04652-2022-11-02-618','S26-18','DtetNjZE', 'MB')
('SL04652-2022-11-01-658','S28-10','YdaEXiJvy', 'MB')
('SL22517-2022-11-02-654','S28-6','ZnGjzVimNbaz', 'UB')
('AC22517-2022-11-02-749','A42-11','OoRZvRUJ', 'SL')
('SL12058-2022-11-01-724','S31-4','clvLt', 'LB')
('AC04652-2022-11-01-712','A40-10','LvfwoQ', 'UB')
('AC04652-2022-11-01-713','A40-11','GSilZsKRlgtcO', 'SL')
('SL22517-2022-11-01-730','S31-10','TminIetzfgQZ', 'MB')
('SL04652-2022-11-01-720','S30-24','tmXm', 'SU')
('SL12058-2022-11-01-728','S31-8','BDWWABX', 'SU')
('SL04652-2022-11-02-686','S29-14','UdotqSpZwrhZJen', 'UB')
('SL04652-2022-11-01-722','S31-2','aJMcjicLp', 'MB')
('AC22517-2022-11-01-677','A38-11','ZMxjgYfXRfsh', 'SL')
('SL22517-2022-11-02-717','S30-21','hfENdIUA', 'MB')
('SL04652-2022-11-01-723','S31-3','PZwizujXVcBi', 'UB')
('SL12058-2022-11-01-733','S31-13','pWIEk', 'MB')
('AC12058-2022-11-01-722','A41-2','IZPJfd', 'LB')
('SL04652-2022-11-01-725','S31-5','uceJxmmRzUqn', 'MB')
('SL22517-2022-11-02-725','S31-5','FPrCBOiQoHyiKA', 'MB')
('AC04652-2022-11-01-724','A41-4','xOgZyB', 'UB')
('AC22517-2022-11-01-691','A39-7','MRoHzhLtc', 'LB')
('AC04652-2022-11-02-724','A41-4','qtVqwzYbCpDt', 'UB')
('SL12058-2022-11-01-754','S32-10','BUPxfRziC', 'MB')
('SL04652-2022-11-01-739','S31-19','IF', 'UB')
('AC04652-2022-11-02-731','A41-11','usEZWYe', 'SL')
('AC04652-2022-11-01-736','A41-16','YzVKQwOCxoOi', 'UB')
('SL04652-2022-11-01-741','S31-21','qlpGeTJOPjS', 'MB')
('AC22517-2022-11-02-780','A44-6','VGPoz', 'SU')
('SL04652-2022-11-01-744','S31-24','IPNmyLbWOwKq', 'SU')
('AC04652-2022-11-02-739','A42-1','sZidZFaviHMGMRR', 'LB')
('SL04652-2022-11-02-720','S30-24','GmXo', 'SU')
('SL04652-2022-11-02-721','S31-1','idYCtVdGsUDwhyjk', 'LB')
('AC12058-2022-11-01-759','A43-3','DREvW', 'UB')
('AC04652-2022-11-02-745','A42-7','O', 'LB')
('SL04652-2022-11-02-724','S31-4','cnzuGpItPgW', 'LB')
('SL22517-2022-11-01-765','S32-21','lDcEUYJhaZus', 'MB')
('AC04652-2022-11-02-749','A42-11','zplvHKlspgS', 'SL')
('SL12058-2022-11-01-771','S33-3','GgXpuLHpDAK', 'UB')
('SL12058-2022-11-01-772','S33-4','kOdWvA', 'LB')
('SL22517-2022-11-01-769','S33-1','YgLGAW', 'LB')
('SL22517-2022-11-01-770','S33-2','F', 'MB')
('AC12058-2022-11-01-803','A45-11','faqxSXLPogFcED', 'SL')
('SL12058-2022-11-01-801','S34-9','gMGetqGsHHqCXE', 'LB')
('AC12058-2022-11-01-806','A45-14','QFZNLk', 'LB')
('AC22517-2022-11-01-754','A42-16','W', 'UB')
('AC22517-2022-11-01-755','A42-17','nvdaBzYGnXhqdz', 'SL')
('AC22517-2022-11-01-756','A42-18','ezXlSFAXtVIZMBV', 'SU')
('SL22517-2022-11-01-802','S34-10','KkKhznSUEqTdA', 'MB')
('SL04652-2022-11-02-754','S32-10','LTAooFSDSMtkp', 'MB')
('AC04652-2022-11-01-786','A44-12','yTZJbxDhQtBCury', 'SU')
('AC04652-2022-11-01-808','A45-16','ggYNzlNWzqszs', 'UB')
('SL12058-2022-11-01-830','S35-14','Hniivaxswt', 'UB')
('AC22517-2022-11-01-775','A44-1','JrC', 'LB')
('AC04652-2022-11-01-811','A46-1','mtGFQCEIgtoMlxz', 'LB')
('AC22517-2022-11-02-859','A48-13','JFEpcfJzcFs', 'LB')
('AC04652-2022-11-02-800','A45-8','WZFMTwOajtu', 'LB')
('SL04652-2022-11-01-816','S34-24','GoR', 'SU')
('SL22517-2022-11-02-829','S35-13','ucxrQYB', 'MB')
('AC04652-2022-11-02-801','A45-9','gBrnUbiRcPbRCaZ', 'UB')
('AC04652-2022-11-01-823','A46-13','lUrlSnrWO', 'LB')
('AC12058-2022-11-01-833','A47-5','JYm', 'SL')
('AC04652-2022-11-02-805','A45-13','jBfDZYODB', 'LB')
('AC04652-2022-11-02-806','A45-14','JKMNnuEqh', 'LB')
('SL04652-2022-11-01-823','S35-7','ppQIXEF', 'SL')
('SL04652-2022-11-02-785','S33-17','HjEqZEiIxMxI', 'LB')
('AC22517-2022-11-02-870','A49-6','IXmZaHyvIh', 'SU')
('SL12058-2022-11-01-841','S36-1','SXnKjtEsNAwEnDxw', 'LB')
('AC04652-2022-11-02-809','A45-17','ykVvLKBDtB', 'SL')
('SL04652-2022-11-01-825','S35-9','sovOdiXIk', 'LB')
('SL04652-2022-11-02-786','S33-18','DhFnksUxJDWf', 'MB')
('AC22517-2022-11-02-874','A49-10','lZAFxdPLumJRID', 'UB')
('SL04652-2022-11-02-792','S33-24','JZMCQflllRUQ', 'SU')
('SL22517-2022-11-02-842','S36-2','yfipTKdykJLNoJFe', 'MB')
('SL12058-2022-11-01-852','S36-12','PUwxIaWvT', 'LB')
('SL12058-2022-11-01-853','S36-13','aCdoQPfueHIr', 'MB')
('SL22517-2022-11-01-840','S35-24','UKKS', 'SU')
('SL04652-2022-11-01-834','S35-18','xpYfBlnUdntDB', 'MB')
('AC04652-2022-11-02-823','A46-13','pLvtGHJys', 'LB')
('AC04652-2022-11-02-824','A46-14','gjuBprxpQbM', 'LB')
('AC22517-2022-11-02-891','A50-9','wbYkg', 'UB')
('AC22517-2022-11-02-893','A50-11','pUhpA', 'SL')
('AC04652-2022-11-02-839','A47-11','brwG', 'SL')
('AC22517-2022-11-02-895','A50-13','MXFVklSHdmGMSsn', 'LB')
('SL22517-2022-11-01-856','S36-16','aCHgJaxqOOORh', 'SU')
('SL22517-2022-11-01-858','S36-18','gGkvMrHyCvegASgZ', 'MB')
('SL12058-2022-11-01-874','S37-10','TqQMlqa', 'MB')
('SL04652-2022-11-02-826','S35-10','hsGBTxXBbSJ', 'MB')
('AC22517-2022-11-01-826','A46-16','RxWA', 'UB')
('SL04652-2022-11-02-828','S35-12','iqWhrBfeLrU', 'LB')
('SL04652-2022-11-02-829','S35-13','IbF', 'MB')
('SL12058-2022-11-01-887','S37-23','gyEOxTv', 'SL')
('SL22517-2022-11-01-865','S37-1','EVKD', 'LB')
('AC04652-2022-11-01-889','A50-7','m', 'LB')
('SL12058-2022-11-01-891','S38-3','LneOmG', 'UB')
('AC22517-2022-11-01-864','A48-18','ax', 'SU')
('SL22517-2022-11-01-907','S38-19','rDGZFuWnUCoK', 'UB')
('AC22517-2022-11-01-866','A49-2','SqHclKhQqeROBr', 'LB')
('SL04652-2022-11-02-876','S37-12','WkeAjsvcnYEqOvQ', 'LB')
('AC22517-2022-11-01-932','A52-14','LoqDdf', 'LB')
('AC22517-2022-11-01-934','A52-16','zhzOEp', 'UB')
('AC04652-2022-11-02-951','A53-15','tJgApLRsVgTsrQni', 'UB')
('AC04652-2022-11-01-980','A55-8','EBScNrkBbRlGD', 'LB')
('SL12058-2022-11-01-993','S42-9','ApZAspjx', 'LB')
('SL12058-2022-11-01-994','S42-10','MIv', 'MB')
('AC04652-2022-11-01-990','A55-18','NpYChG', 'SU')
('SL04652-2022-11-02-927','S39-15','hbrkFYEU', 'SL')
('SL22517-2022-11-02-1007','S42-23','KGrflQg', 'SL')
('SL12058-2022-11-01-999','S42-15','XSaHkTmm', 'SL')
('AC22517-2022-11-01-952','A53-16','NOzPnq', 'UB')
('SL04652-2022-11-02-929','S39-17','WZXLMmvVnN', 'LB')
('AC22517-2022-11-02-1026','A57-18','gQt', 'SU')
('AC04652-2022-11-02-966','A54-12','hdQaWR', 'SU')
('SL22517-2022-11-02-1017','S43-9','MQIXINqb', 'LB')
('SL22517-2022-11-02-1018','S43-10','sS', 'MB')
('AC22517-2022-11-02-1027','A58-1','WwebeT', 'LB')
('SL22517-2022-11-01-1025','S43-17','BkUaQYOz', 'LB')
('AC12058-2022-11-01-1005','A56-15','Vwea', 'UB')
('SL04652-2022-11-01-1015','S43-7','SRdJOjGcqY', 'SL')
('AC22517-2022-11-01-996','A56-6','ZJ', 'SU')
('SL04652-2022-11-02-964','S41-4','NQyEqDNpqGH', 'LB')
('AC22517-2022-11-01-1026','A57-18','BitHXn', 'SU')
('SL22517-2022-11-01-1058','S45-2','bQCYvmUUpj', 'MB')
('AC12058-2022-11-01-1042','A58-16','pUMcuVEQbb', 'UB')
('AC22517-2022-11-01-1029','A58-3','wbKhUcuLHUikiZd', 'UB')
