('SL12058-2022-11-01-3','S1-3','nV', 'UB')
('SL04652-2022-11-01-58','S3-10','DqPasamEFoog', 'MB')
('AC22517-2022-11-02-60','A4-6','SJjZIGkwOSGFxPm', 'SU')
('AC22517-2022-11-01-60','A4-6','f', 'SU')
('AC04652-2022-11-02-63','A4-9','w', 'UB')
('AC04652-2022-11-01-66','A4-12','zcjbwkwU', 'SU')
('SL04652-2022-11-02-56','S3-8','HiaWgYjxP', 'SU')
('AC04652-2022-11-02-65','A4-11','LzGkKCjkmAYgxSt', 'SL')
('AC12058-2022-11-01-72','A4-18','btKiDO', 'SU')
('AC04652-2022-11-01-68','A4-14','pT', 'LB')
('AC22517-2022-11-02-69','A4-15','vUVEfkAjazQc', 'UB')
('AC22517-2022-11-01-68','A4-14','uxhmbFOOYwPI', 'LB')
('AC12058-2022-11-01-76','A5-4','MWGSbHtTdTR', 'UB')
('AC12058-2022-11-01-77','A5-5','BU', 'SL')
('AC04652-2022-11-01-70','A4-16','BsZbCHhOH', 'UB')
('SL22517-2022-11-01-78','S4-6','gcTarHAf', 'UB')
('SL12058-2022-11-01-85','S4-13','wgIpMlLI', 'MB')
('AC22517-2022-11-01-95','A6-5','fgNQ', 'SL')
('SL22517-2022-11-01-125','S6-5','VY', 'MB')
('AC22517-2022-11-02-140','A8-14','zZpNswmvG', 'LB')
('AC22517-2022-11-01-133','A8-7','VydOUFHI', 'LB')
('AC22517-2022-11-01-137','A8-11','mixl', 'SL')
('SL22517-2022-11-01-145','S7-1','rqiBsQJgu', 'LB')
('AC22517-2022-11-02-155','A9-11','WpLtjkGrbvzMGsN', 'SL')
('SL22517-2022-11-01-152','S7-8','adp', 'SU')
('AC04652-2022-11-01-143','A8-17','A', 'SL')
('AC22517-2022-11-01-154','A9-10','tjvmcoe', 'UB')
('AC22517-2022-11-01-155','A9-11','gxMs', 'SL')
('SL12058-2022-11-01-162','S7-18','Seo', 'MB')
('SL22517-2022-11-01-158','S7-14','ocjpf', 'UB')
('SL22517-2022-11-01-171','S8-3','obAVnyIQDxKPuUxO', 'UB')
('AC04652-2022-11-02-222','A13-6','sjoq', 'SU')
('AC04652-2022-11-02-223','A13-7','MkbyAVBMYrbUQyTF', 'LB')
('AC04652-2022-11-02-288','A16-18','Kv', 'SU')
('SL22517-2022-11-01-327','S14-15','SxWMozl', 'SL')
('SL12058-2022-11-01-323','S14-11','VCHXBEFuIgaZk', 'UB')
('SL04652-2022-11-01-314','S14-2','GVsGg', 'MB')
('AC12058-2022-11-01-332','A19-8','kHQQCqqUZMQEC', 'LB')
('AC12058-2022-11-01-334','A19-10','Nzjo', 'UB')
('SL22517-2022-11-02-318','S14-6','IIWmTTiYvyZAhPFT', 'UB')
('AC12058-2022-11-01-339','A19-15','qwMAf', 'UB')
('AC04652-2022-11-01-351','A20-9','Gc', 'UB')
('AC04652-2022-11-02-321','A18-15','SnmvHHsNxGbHfA', 'UB')
('AC04652-2022-11-02-322','A18-16','GnFFsZBKoAZF', 'UB')
('AC04652-2022-11-02-323','A18-17','bzfPDeibxcdw', 'SL')
('AC12058-2022-11-01-344','A20-2','nv', 'LB')
('SL22517-2022-11-01-331','S14-19','yAllf', 'UB')
('AC22517-2022-11-02-358','A20-16','fDjE', 'UB')
('AC04652-2022-11-01-358','A20-16','zVFshKLtvKWpJ', 'UB')
('AC22517-2022-11-01-311','A18-5','OuPxAdnGTgYyY', 'SL')
('SL22517-2022-11-02-326','S14-14','wRPWuzQLawif', 'UB')
('SL22517-2022-11-02-327','S14-15','SfgGhJqJUXLjfUbm', 'SL')
('SL04652-2022-11-02-301','S13-13','SZFMMvWSH', 'MB')
('AC22517-2022-11-02-366','A21-6','KxBQUNrGnEfmr', 'SU')
('SL04652-2022-11-01-327','S14-15','WltUxFstVtLtYql', 'SL')
('AC22517-2022-11-02-368','A21-8','LhUkO', 'LB')
('SL22517-2022-11-01-337','S15-1','UA', 'LB')
('AC04652-2022-11-01-361','A21-1','GwpuaCSgblUNfHs', 'LB')
('AC12058-2022-11-01-348','A20-6','vxsbUOk', 'SU')
('SL22517-2022-11-01-340','S15-4','GXBxeRbTbH', 'LB')
('AC04652-2022-11-01-366','A21-6','xQuNsDXVndFS', 'SU')
('SL12058-2022-11-01-339','S15-3','YrlkBu', 'UB')
('SL22517-2022-11-02-332','S14-20','xrYOoCI', 'LB')
('AC04652-2022-11-01-368','A21-8','gEpHOJ', 'LB')
('AC12058-2022-11-01-356','A20-14','UyPe', 'LB')
('SL12058-2022-11-01-343','S15-7','MoQSEDwwx', 'SL')
('AC22517-2022-11-02-375','A21-15','vvWDaFBGvj', 'UB')
('AC22517-2022-11-01-322','A18-16','atLXab', 'UB')
('AC04652-2022-11-02-333','A19-9','yYVyF', 'UB')
('AC04652-2022-11-02-334','A19-10','eqlBmXLfZvGldI', 'UB')
('AC04652-2022-11-02-335','A19-11','DRs', 'SL')
('SL04652-2022-11-02-309','S13-21','mu', 'MB')
('SL12058-2022-11-01-347','S15-11','MJbOV', 'UB')
('AC12058-2022-11-01-360','A20-18','iCcGASFAlsCzb', 'SU')
('SL22517-2022-11-02-336','S14-24','YanC', 'SU')
('AC04652-2022-11-02-341','A19-17','QJxsLgPRYbyBmCby', 'SL')
('AC12058-2022-11-01-364','A21-4','eRLeIofvQlOk', 'UB')
('AC04652-2022-11-02-343','A20-1','FRFDOdynatAqSp', 'LB')
('SL22517-2022-11-01-348','S15-12','uzZd', 'LB')
('SL22517-2022-11-02-337','S15-1','FlAY', 'LB')
('SL04652-2022-11-02-312','S13-24','WCUVuWE', 'SU')
('SL04652-2022-11-01-343','S15-7','FBncvew', 'SL')
('SL12058-2022-11-01-354','S15-18','uZc', 'MB')
('SL04652-2022-11-02-316','S14-4','u', 'LB')
('SL04652-2022-11-01-351','S15-15','BexHmXh', 'SL')
('AC22517-2022-11-02-398','A23-2','jOvDrMZbnklBr', 'LB')
('SL04652-2022-11-02-323','S14-11','ui', 'UB')
('AC22517-2022-11-02-406','A23-10','yelrwEBWq', 'UB')
('SL12058-2022-11-01-372','S16-12','awvvvB', 'LB')
('AC04652-2022-11-02-363','A21-3','ajEGFyRUtppwKxQR', 'UB')
('SL22517-2022-11-01-370','S16-10','bHJGVX', 'MB')
('SL22517-2022-11-02-353','S15-17','ZjAwyFZPDDtIn', 'LB')
('AC04652-2022-11-01-394','A22-16','gAP', 'UB')
('AC22517-2022-11-02-411','A23-15','E', 'UB')
('AC22517-2022-11-01-433','A25-1','tYaWue', 'LB')
('AC04652-2022-11-02-501','A28-15','upxliciXRAnLVu', 'UB')
('SL04652-2022-11-01-491','S21-11','BBadRnuH', 'UB')
('SL04652-2022-11-02-473','S20-17','pXVGy', 'LB')
('SL22517-2022-11-02-498','S21-18','TL', 'MB')
('AC22517-2022-11-01-460','A26-10','necmLMEvfokCI', 'UB')
('SL04652-2022-11-01-495','S21-15','S', 'SL')
('SL04652-2022-11-02-475','S20-19','jeTsbWY', 'UB')
('SL22517-2022-11-01-523','S22-19','irpOVeMVcbsBdDik', 'UB')
('AC04652-2022-11-01-535','A30-13','YLpy', 'LB')
('SL22517-2022-11-02-524','S22-20','IlvmiHl', 'LB')
('SL12058-2022-11-01-533','S23-5','cztNVxsHgFMcNv', 'MB')
('AC22517-2022-11-01-483','A27-15','hU', 'UB')
('SL22517-2022-11-01-535','S23-7','XYeZ', 'SL')
('AC22517-2022-11-02-589','A33-13','qffDF', 'LB')
('SL22517-2022-11-02-532','S23-4','fLgXCVuLvEjozFS', 'LB')
('SL04652-2022-11-02-503','S21-23','GkHpuz', 'SL')
('SL22517-2022-11-02-535','S23-7','vHGnYTYgdyNd', 'SL')
('SL22517-2022-11-02-536','S23-8','vLaKOhTX', 'SU')
('AC22517-2022-11-02-595','A34-1','QY', 'LB')
('AC22517-2022-11-01-498','A28-12','vqSJX', 'SU')
('SL22517-2022-11-01-558','S24-6','JF', 'UB')
('AC04652-2022-11-01-558','A31-18','EeRZynPEvFA', 'SU')
('AC12058-2022-11-01-590','A33-14','yLmAxbEwu', 'LB')
('SL22517-2022-11-02-549','S23-21','UiJUrCLsGUFdRc', 'MB')
('AC04652-2022-11-02-558','A31-18','iJifqtrePKlzM', 'SU')
('SL04652-2022-11-02-513','S22-9','HU', 'LB')
('SL04652-2022-11-02-514','S22-10','zkysIFau', 'MB')
('SL04652-2022-11-01-553','S24-1','HNceBDMyYbsMkaVZ', 'LB')
('SL22517-2022-11-01-570','S24-18','DgZ', 'MB')
('SL04652-2022-11-01-556','S24-4','doJ', 'LB')
('SL12058-2022-11-01-563','S24-11','fngbyYFSQwnkyaa', 'UB')
('AC04652-2022-11-02-572','A32-14','f', 'LB')
('SL04652-2022-11-01-558','S24-6','BGIBbDiXuBSU', 'UB')
('AC04652-2022-11-02-573','A32-15','wtVPK', 'UB')
('AC04652-2022-11-01-573','A32-15','pX', 'UB')
('AC22517-2022-11-01-521','A29-17','V', 'SL')
('AC04652-2022-11-01-574','A32-16','a', 'UB')
('SL12058-2022-11-01-574','S24-22','bKKzajLnEP', 'UB')
('SL04652-2022-11-02-531','S23-3','Tkp', 'UB')
('AC04652-2022-11-02-590','A33-14','znyjQsPkOtuCda', 'LB')
('AC04652-2022-11-01-579','A33-3','JlpPxfGfatP', 'UB')
('AC12058-2022-11-01-606','A34-12','UiUVebpqhNysg', 'SU')
('AC22517-2022-11-01-532','A30-10','UswSHlCUcxca', 'UB')
('AC12058-2022-11-01-609','A34-15','DQBCTeTDklvY', 'UB')
('AC12058-2022-11-01-610','A34-16','LMUJBGUdkaQFQ', 'UB')
('SL04652-2022-11-02-560','S24-8','hNta', 'SU')
('SL04652-2022-11-02-561','S24-9','vziunmU', 'LB')
('SL04652-2022-11-01-612','S26-12','HbTNyWkaYLTMyJ', 'LB')
('AC22517-2022-11-01-564','A32-6','FzvCOwUbCcsYP', 'SU')
('SL04652-2022-11-02-562','S24-10','UxGdKLLPZeaNRCQ', 'MB')
('SL22517-2022-11-02-599','S25-23','cjuTegESnXNfyVoF', 'SL')
('SL12058-2022-11-01-608','S26-8','CsTq', 'SU')
('AC04652-2022-11-02-623','A35-11','oNasmzXmhXevnu', 'SL')
('AC22517-2022-11-01-567','A32-9','DOHzI', 'UB')
('AC22517-2022-11-02-768','A43-12','d', 'SU')
('AC22517-2022-11-01-696','A39-12','hrM', 'SU')
('AC12058-2022-11-01-742','A42-4','YPjujuRxxktFpvz', 'UB')
('SL22517-2022-11-02-737','S31-17','HxQU', 'LB')
('SL22517-2022-11-01-749','S32-5','iruJOYluMKh', 'MB')
('AC12058-2022-11-01-744','A42-6','edDkgyMIRdngtJDG', 'SU')
('SL22517-2022-11-02-742','S31-22','LMYZVNsJMpaaK', 'UB')
('AC12058-2022-11-01-749','A42-11','yGomNFCR', 'SL')
('SL22517-2022-11-02-745','S32-1','MPV', 'LB')
('AC22517-2022-11-02-798','A45-6','SBiCbXStH', 'SU')
('SL22517-2022-11-02-764','S32-20','YltlqFAKWAc', 'LB')
('SL22517-2022-11-02-766','S32-22','vcaLeUfEFKhPTED', 'UB')
('SL22517-2022-11-01-774','S33-6','nVVxxmCsXMkjSik', 'UB')
('AC22517-2022-11-01-726','A41-6','VkN', 'SU')
('SL22517-2022-11-02-773','S33-5','ettSYa', 'MB')
('AC04652-2022-11-02-776','A44-2','TVOPPPCsZLVuPpjG', 'LB')
('SL12058-2022-11-01-810','S34-18','VPGxzyiZgblszD', 'MB')
('SL22517-2022-11-02-803','S34-11','eJM', 'UB')
('SL22517-2022-11-02-806','S34-14','ABXlSJkbyLqvnsu', 'UB')
('AC04652-2022-11-01-788','A44-14','fhNbMF', 'LB')
('SL04652-2022-11-01-796','S34-4','iGMtmbRalez', 'LB')
('AC04652-2022-11-02-782','A44-8','RYmehca', 'LB')
('SL22517-2022-11-02-811','S34-19','hLiTOgXbGc', 'UB')
('SL04652-2022-11-01-798','S34-6','cyoZcpwIuT', 'UB')
('SL04652-2022-11-01-799','S34-7','MNTlGf', 'SL')
('SL04652-2022-11-02-763','S32-19','nChwPZrFc', 'UB')
('AC22517-2022-11-01-766','A43-10','UCRQgj', 'UB')
('AC22517-2022-11-02-849','A48-3','VVoJaZGVWQLe', 'UB')
('AC04652-2022-11-02-795','A45-3','JUQdk', 'UB')
('AC22517-2022-11-02-863','A48-17','INQWNWaJqgynPzk', 'SL')
('AC22517-2022-11-01-781','A44-7','DM', 'LB')
('SL22517-2022-11-01-832','S35-16','bigVlx', 'SU')
('AC04652-2022-11-01-834','A47-6','uystKCXOLh', 'SU')
('AC04652-2022-11-02-814','A46-4','tjISsXSA', 'UB')
('SL22517-2022-11-02-839','S35-23','Cik', 'SL')
('SL12058-2022-11-01-849','S36-9','Qrx', 'LB')
('AC12058-2022-11-01-840','A47-12','AREtnbTE', 'SU')
('SL22517-2022-11-02-857','S36-17','CeaC', 'LB')
('AC04652-2022-11-01-866','A49-2','VzJx', 'LB')
('AC22517-2022-11-02-901','A51-1','fUeGvdyyFupKqVOU', 'LB')
('SL12058-2022-11-01-879','S37-15','XCsnlDCYYe', 'SL')
('AC04652-2022-11-01-878','A49-14','GCrgEf', 'LB')
('AC12058-2022-11-01-880','A49-16','l', 'UB')
('AC04652-2022-11-02-864','A48-18','rsyXnNkF', 'SU')
('SL22517-2022-11-02-885','S37-21','jFx', 'MB')
('AC12058-2022-11-01-883','A50-1','xx', 'LB')
('AC04652-2022-11-01-894','A50-12','oQpEwifJidQh', 'SU')
('AC12058-2022-11-01-885','A50-3','HXmeV', 'UB')
('SL22517-2022-11-02-889','S38-1','KKXwzUmHrVU', 'LB')
('AC04652-2022-11-02-866','A49-2','QDxUZgdoxXWpQj', 'LB')
('SL22517-2022-11-02-892','S38-4','aCCCTzapEM', 'LB')
('AC22517-2022-11-01-841','A47-13','svCuO', 'LB')
('SL22517-2022-11-01-878','S37-14','G', 'UB')
('AC22517-2022-11-02-923','A52-5','IijWpzfaeaHF', 'SL')
('SL22517-2022-11-02-895','S38-7','ptFmrHwKaEFrgkr', 'SL')
('SL04652-2022-11-01-914','S39-2','gDijiUCUVJMXTVtn', 'MB')
('SL12058-2022-11-01-946','S40-10','TbFARHvbVihX', 'MB')
('SL04652-2022-11-02-881','S37-17','tYBXyHc', 'LB')
('AC22517-2022-11-02-962','A54-8','eScMflbdjb', 'LB')
('AC04652-2022-11-01-934','A52-16','cPukLiANowykANG', 'UB')
('AC04652-2022-11-01-935','A52-17','VVVBkjJzlgAvYP', 'SL')
('SL22517-2022-11-02-935','S39-23','dRCrjUkyILDkn', 'SL')
('AC22517-2022-11-02-967','A54-13','NSSaiorgeiSuA', 'LB')
('SL22517-2022-11-01-976','S41-16','TBxG', 'SU')
('AC22517-2022-11-01-942','A53-6','PKdYdoTPRyZrMbn', 'SU')
('SL04652-2022-11-02-923','S39-11','qVrBoWfEqNYQlX', 'UB')
('SL12058-2022-11-01-996','S42-12','G', 'LB')
('SL22517-2022-11-01-978','S41-18','LHocSTFrfPETC', 'MB')
('AC22517-2022-11-01-944','A53-8','nfUPYaklksLWMbGU', 'LB')
('AC04652-2022-11-02-956','A54-2','eKcKRgJBsWJdgSqu', 'LB')
('AC04652-2022-11-02-958','A54-4','uGpK', 'UB')
('SL22517-2022-11-02-1014','S43-6','cJcWRFgCGomrXn', 'UB')
('AC22517-2022-11-02-1031','A58-5','VRigPSeYJlGl', 'SL')
('SL22517-2022-11-02-1020','S43-12','TkqlOPXifPpr', 'LB')
('SL22517-2022-11-01-995','S42-11','Ibohr', 'UB')
('AC22517-2022-11-02-1033','A58-7','cNERAct', 'LB')
('AC22517-2022-11-02-1034','A58-8','pRFefjAGuSK', 'LB')
('SL04652-2022-11-01-985','S42-1','OFhdkaahcG', 'LB')
('SL22517-2022-11-01-1028','S43-20','vdE', 'LB')
('AC22517-2022-11-01-1027','A58-1','Qxh', 'LB')
('AC12058-2022-11-01-1043','A58-17','VGAvpbhawYIrPYp', 'SL')
('SL22517-2022-11-01-1061','S45-5','l', 'MB')
('AC04652-2022-11-01-1071','A60-9','BsWof', 'UB')
('SL04652-2022-11-01-1050','S44-18','qnJxkAm', 'MB')
('AC22517-2022-11-02-1095','A61-15','QmUO', 'UB')
('SL22517-2022-11-02-1104','S46-24','MReBuFgvcL', 'SU')
('AC22517-2022-11-01-1035','A58-9','vrygvio', 'UB')
('AC12058-2022-11-01-1051','A59-7','ecggJH', 'LB')
('SL04652-2022-11-02-1023','S43-15','EmLAVWe', 'SL')
('AC04652-2022-11-02-1048','A59-4','kSFpjphrPjMHyZr', 'UB')
('AC12058-2022-11-01-1063','A60-1','uVQ', 'LB')
('AC12058-2022-11-01-1064','A60-2','LJAYLnmxKQx', 'LB')
('AC22517-2022-11-01-1050','A59-6','DyXkzE', 'SU')
('SL22517-2022-11-02-1114','S47-10','NSWtapG', 'MB')
('SL04652-2022-11-02-1030','S43-22','DaLBir', 'UB')
('AC12058-2022-11-01-1069','A60-7','EelIyjxhg', 'LB')
('AC22517-2022-11-01-1066','A60-4','AA', 'UB')
('SL22517-2022-11-02-1126','S47-22','jTxImluVpYpkvzi', 'UB')
('AC04652-2022-11-01-1100','A62-2','FGAztGnhGL', 'LB')
('AC12058-2022-11-01-1087','A61-7','rHignVmbpjgTQNf', 'LB')
('AC22517-2022-11-02-1122','A63-6','JsHMj', 'SU')
('SL04652-2022-11-01-1089','S46-9','ItypHdVtsRXymnP', 'LB')
('SL04652-2022-11-01-1090','S46-10','ljZxXEJChq', 'MB')
('AC12058-2022-11-01-1091','A61-11','cWYOnbGNbcykj', 'SL')
('AC12058-2022-11-01-1092','A61-12','oBoBM', 'SU')
('SL04652-2022-11-02-1062','S45-6','VWVsK', 'UB')
('SL22517-2022-11-01-1104','S46-24','Cw', 'SU')
('SL22517-2022-11-01-1105','S47-1','NcDGareynTpawbp', 'LB')
('AC22517-2022-11-01-1089','A61-9','ehrHOcZpHqIe', 'UB')
('SL04652-2022-11-01-1103','S46-23','cRmxJkNneoxsc', 'SL')
('SL04652-2022-11-02-1071','S45-15','wAWebK', 'SL')
('AC22517-2022-11-02-1134','A63-18','pXr', 'SU')
('AC04652-2022-11-02-1085','A61-5','sY', 'SL')
('SL22517-2022-11-01-1112','S47-8','THQlfnEtZ', 'SU')
('AC04652-2022-11-01-1124','A63-8','tneaFm', 'LB')
('SL22517-2022-11-01-1156','S49-4','UREnWC', 'LB')
('AC22517-2022-11-02-1182','A66-12','RYeJhx', 'SU')
('SL22517-2022-11-02-1195','S50-19','yfBnLraNrn', 'UB')
('SL04652-2022-11-02-1123','S47-19','ePbFbPHOcpyCL', 'UB')
('AC04652-2022-11-01-1176','A66-6','atSHB', 'SU')
('AC22517-2022-11-02-1193','A67-5','JvBqwJImVn', 'SL')
('AC12058-2022-11-01-1155','A65-3','uPcgNWSBeVxOz', 'UB')
('SL22517-2022-11-02-1205','S51-5','LQaBmolzCz', 'MB')
('AC04652-2022-11-01-1185','A66-15','kZV', 'UB')
('AC22517-2022-11-02-1199','A67-11','gRBxkSN', 'SL')
('AC04652-2022-11-01-1186','A66-16','BM', 'UB')
('AC04652-2022-11-01-1187','A66-17','hEhrnThRqsfzpFN', 'SL')
('AC04652-2022-11-02-1153','A65-1','JoqVjTsPN', 'LB')
('AC04652-2022-11-02-1154','A65-2','OGKRWfWZkcPMIt', 'LB')
('SL04652-2022-11-01-1170','S49-18','LJfPysthNcS', 'MB')
('SL12058-2022-11-01-1158','S49-6','EYzvxkgvT', 'UB')
('AC22517-2022-11-02-1204','A67-16','erdDCAuMgLSueHE', 'UB')
('AC04652-2022-11-01-1194','A67-6','WAS', 'SU')
('SL04652-2022-11-01-1174','S49-22','pBMpaaVc', 'UB')
('AC04652-2022-11-01-1197','A67-9','HGVNdjEOIy', 'UB')
('SL04652-2022-11-02-1146','S48-18','VYgDCtZrBvIuS', 'MB')
('AC04652-2022-11-01-1198','A67-10','briMmlQrKohoAPg', 'UB')
('SL12058-2022-11-01-1165','S49-13','IvE', 'MB')
('SL12058-2022-11-01-1167','S49-15','EkDvtirAJSiOOqV', 'SL')
('AC12058-2022-11-01-1168','A65-16','oKgtdtTfZjREO', 'UB')
('SL12058-2022-11-01-1169','S49-17','uNwLuT', 'LB')
('AC04652-2022-11-01-1202','A67-14','yFTwOdlMce', 'LB')
('SL22517-2022-11-01-1189','S50-13','vPZm', 'MB')
('SL04652-2022-11-02-1154','S49-2','fhbYDXnNgPv', 'MB')
('AC22517-2022-11-02-1215','A68-9','KddFhKolGr', 'UB')
('AC22517-2022-11-02-1216','A68-10','YvGAQ', 'UB')
('AC04652-2022-11-02-1169','A65-17','wEvF', 'SL')
('AC22517-2022-11-01-1168','A65-16','IPXiRClgWyUYtXE', 'UB')
('SL22517-2022-11-01-1219','S51-19','mJKmQKNbXdsNxl', 'UB')
('AC04652-2022-11-02-1194','A67-6','onl', 'SU')
('AC04652-2022-11-02-1234','A69-10','GITNxSXqFM', 'UB')
('SL22517-2022-11-02-1287','S54-15','xhirbJh', 'SL')
('SL04652-2022-11-01-1254','S53-6','YaPOaxNGJLgLvrQT', 'UB')
('SL22517-2022-11-02-1289','S54-17','vIiptXi', 'LB')
('AC22517-2022-11-02-1277','A71-17','qBLjysuf', 'SL')
('AC22517-2022-11-02-1290','A72-12','Ku', 'SU')
('AC04652-2022-11-01-1286','A72-8','bnv', 'LB')
('AC12058-2022-11-01-1266','A71-6','aGR', 'SU')
('AC22517-2022-11-02-1295','A72-17','mncXxhCBcatgx', 'SL')
('AC12058-2022-11-01-1272','A71-12','gECfjSqBksOp', 'SU')
('SL12058-2022-11-01-1251','S53-3','aCj', 'UB')
('SL12058-2022-11-01-1252','S53-4','BhgmvC', 'LB')
('SL04652-2022-11-02-1247','S52-23','eMoDOLweJVSj', 'SL')
('AC04652-2022-11-01-1293','A72-15','g', 'UB')
('SL04652-2022-11-01-1281','S54-9','WS', 'LB')
('AC22517-2022-11-02-1303','A73-7','GjOtCTigDsPfHTEy', 'LB')
('AC22517-2022-11-02-1305','A73-9','wMKKQwRDm', 'UB')
('AC04652-2022-11-02-1260','A70-18','XkjFfnQkIUDIh', 'SU')
('SL04652-2022-11-01-1288','S54-16','csiUPXJzhAPXJn', 'SU')
('SL04652-2022-11-01-1289','S54-17','sOIMJhjWGwp', 'LB')
('AC12058-2022-11-01-1280','A72-2','x', 'LB')
('AC04652-2022-11-02-1262','A71-2','BIwpGJfYGROsZTyE', 'LB')
('SL12058-2022-11-01-1263','S53-15','pPBwNcjaPKQ', 'SL')
('SL22517-2022-11-02-1327','S56-7','PHJ', 'SL')
('AC12058-2022-11-01-1283','A72-5','vXzdqc', 'SL')
('SL12058-2022-11-01-1265','S53-17','PekHs', 'LB')
('SL04652-2022-11-02-1261','S53-13','h', 'MB')
('AC22517-2022-11-01-1259','A70-17','mNSIQyDgoQ', 'SL')
('SL22517-2022-11-02-1332','S56-12','lbgtcvcYsVaSfIL', 'LB')
('SL04652-2022-11-01-1297','S55-1','ufPcGiEogLoJ', 'LB')
('AC04652-2022-11-02-1268','A71-8','SuE', 'LB')
('SL04652-2022-11-02-1269','S53-21','FDexrUhZCGQ', 'MB')
('AC04652-2022-11-01-1307','A73-11','QajSJBXnpZUCu', 'SL')
('SL12058-2022-11-01-1275','S54-3','QMbQpqyxdJMZJI', 'UB')
('SL12058-2022-11-01-1276','S54-4','ynS', 'LB')
('AC04652-2022-11-02-1273','A71-13','q', 'LB')
('AC04652-2022-11-01-1314','A73-18','eHYVuqkBbRoaU', 'SU')
('SL04652-2022-11-01-1303','S55-7','vtPXRbuF', 'SL')
('AC04652-2022-11-02-1280','A72-2','ytetfQltSlZ', 'LB')
('SL22517-2022-11-02-1343','S56-23','lHHZiDkdKC', 'SL')
('AC12058-2022-11-01-1307','A73-11','PGlXDqbfcHVNZYjJ', 'SL')
('AC12058-2022-11-01-1308','A73-12','a', 'SU')
('AC04652-2022-11-02-1284','A72-6','HiKULCnqjoLC', 'SU')
('AC04652-2022-11-02-1285','A72-7','R', 'LB')
('SL04652-2022-11-02-1284','S54-12','rpkACfcdDK', 'LB')
('AC04652-2022-11-02-1286','A72-8','ww', 'LB')
('SL22517-2022-11-01-1303','S55-7','MyriKFZ', 'SL')
('AC22517-2022-11-02-1342','A75-10','qEcYeXkXUhkp', 'UB')
('SL04652-2022-11-02-1287','S54-15','IQv', 'SL')
('SL12058-2022-11-01-1293','S54-21','eZYsiEaYiNd', 'MB')
('AC22517-2022-11-01-1286','A72-8','gxLyDwKR', 'LB')
('SL22517-2022-11-02-1350','S57-6','EOQPnPyMv', 'UB')
('AC04652-2022-11-02-1299','A73-3','ahERoGTaQiH', 'UB')
('SL22517-2022-11-01-1319','S55-23','owXd', 'SL')
('AC22517-2022-11-01-1296','A72-18','EviGLTkgBryGHjzt', 'SU')
('AC22517-2022-11-01-1297','A73-1','rsYkcQ', 'LB')
('AC12058-2022-11-01-1330','A74-16','xCS', 'UB')
('SL22517-2022-11-01-1322','S56-2','kOsUWuGGZmy', 'MB')
('SL22517-2022-11-02-1360','S57-16','DtuBKw', 'SU')
('AC22517-2022-11-02-1357','A76-7','Di', 'LB')
('AC12058-2022-11-01-1334','A75-2','FGdmyuyvetmKlGs', 'LB')
('AC22517-2022-11-01-1302','A73-6','xkgenCtqrcJyew', 'SU')
('AC22517-2022-11-02-1361','A76-11','AqEOwSpFs', 'SL')
('SL04652-2022-11-01-1333','S56-13','mwDrqUCO', 'MB')
('SL22517-2022-11-02-1366','S57-22','pBIHHYRnuo', 'UB')
('AC04652-2022-11-02-1315','A74-1','OPZ', 'LB')
('AC04652-2022-11-01-1346','A75-14','BLhcsewxHGdQssJ', 'LB')
